# _root_ A képmutató terminus technicus jelentése , hogy az egyik etnikum fegyveres alakulatai tömegesen elüldözik a másik népcsoport civil lakosságát , hogy egy adott területet a sajátjai számára " megtisztítson " .
#goldHeads=4,4,4,5,7,7,0,10,10,12,12,14,14,7,17,17,19,19,14,14,14,24,24,29,26,27,29,29,14,29,7,
#predictedHeads=3,3,5,5,7,7,0,10,10,12,12,14,14,7,17,17,19,19,14,14,14,24,24,29,26,27,29,29,14,29,14,
(13,6),-0.410719 # DEPENDENCYPART_ARC
(13,7),-0.71959 # DEPENDENCYPART_ARC
(13,8),-0.359321 # DEPENDENCYPART_ARC
(13,10),-1.14734 # DEPENDENCYPART_ARC
(13,11),-0.141213 # DEPENDENCYPART_ARC
(13,12),-0.73983 # DEPENDENCYPART_ARC
(13,17),-0.89164 # DEPENDENCYPART_ARC
(13,19),-1.61879 # DEPENDENCYPART_ARC
(13,21),-0.553254 # DEPENDENCYPART_ARC
(13,29),-1.6695 # DEPENDENCYPART_ARC
(13,31),0.746272 # DEPENDENCYPART_ARC
(14,1),-0.959128 # DEPENDENCYPART_ARC
(14,2),-1.33167 # DEPENDENCYPART_ARC
(14,3),-0.363366 # DEPENDENCYPART_ARC
(14,4),0.150188 # DEPENDENCYPART_ARC
(14,5),-0.639446 # DEPENDENCYPART_ARC
(14,6),0.202884 # DEPENDENCYPART_ARC
(14,7),0.0204319 # DEPENDENCYPART_ARC
(14,8),-0.763124 # DEPENDENCYPART_ARC
(14,9),-0.418451 # DEPENDENCYPART_ARC
(14,10),0.895462 # DEPENDENCYPART_ARC
(14,11),-0.00546724 # DEPENDENCYPART_ARC
(14,12),2.21313 # DEPENDENCYPART_ARC
(14,13),2.8783 # DEPENDENCYPART_ARC
(14,15),-0.575308 # DEPENDENCYPART_ARC
(14,16),-0.0716866 # DEPENDENCYPART_ARC
(14,17),-0.337905 # DEPENDENCYPART_ARC
(14,18),-0.627085 # DEPENDENCYPART_ARC
(14,19),2.97516 # DEPENDENCYPART_ARC
(14,20),1.44872 # DEPENDENCYPART_ARC
(14,21),1.859 # DEPENDENCYPART_ARC
(14,23),-1.47602 # DEPENDENCYPART_ARC
(14,24),0.912055 # DEPENDENCYPART_ARC
(14,26),-0.538844 # DEPENDENCYPART_ARC
(14,27),0.642233 # DEPENDENCYPART_ARC
(14,28),-0.43515 # DEPENDENCYPART_ARC
(14,29),1.25621 # DEPENDENCYPART_ARC
(14,30),0.0365368 # DEPENDENCYPART_ARC
(14,31),2.75776 # DEPENDENCYPART_ARC
(16,15),0.573454 # DEPENDENCYPART_ARC
(16,17),0.0854471 # DEPENDENCYPART_ARC
(16,19),-0.507931 # DEPENDENCYPART_ARC
(16,20),-0.113621 # DEPENDENCYPART_ARC
(16,24),-1.07621 # DEPENDENCYPART_ARC
(16,26),-0.824376 # DEPENDENCYPART_ARC
(16,28),-0.380267 # DEPENDENCYPART_ARC
(16,29),-0.426508 # DEPENDENCYPART_ARC
(16,30),-0.486698 # DEPENDENCYPART_ARC
(16,31),0.900837 # DEPENDENCYPART_ARC
(17,4),-0.496509 # DEPENDENCYPART_ARC
(17,8),-0.8577 # DEPENDENCYPART_ARC
(17,9),-0.157752 # DEPENDENCYPART_ARC
(17,12),-3.7883 # DEPENDENCYPART_ARC
(17,13),-2.86144 # DEPENDENCYPART_ARC
(17,14),-0.623005 # DEPENDENCYPART_ARC
(17,15),2.35383 # DEPENDENCYPART_ARC
(17,16),3.02014 # DEPENDENCYPART_ARC
(17,19),-0.726344 # DEPENDENCYPART_ARC
(17,20),0.0751575 # DEPENDENCYPART_ARC
(17,24),-1.4028 # DEPENDENCYPART_ARC
(17,27),-0.160912 # DEPENDENCYPART_ARC
(17,28),-0.184948 # DEPENDENCYPART_ARC
(17,29),-1.20441 # DEPENDENCYPART_ARC
(18,7),-0.914984 # DEPENDENCYPART_ARC
(18,10),-1.43743 # DEPENDENCYPART_ARC
(18,12),-1.96772 # DEPENDENCYPART_ARC
(18,13),-0.792456 # DEPENDENCYPART_ARC
(18,15),-0.19975 # DEPENDENCYPART_ARC
(18,16),0.00338096 # DEPENDENCYPART_ARC
(18,17),1.22363 # DEPENDENCYPART_ARC
(18,21),-0.9222 # DEPENDENCYPART_ARC
(18,24),-2.18297 # DEPENDENCYPART_ARC
(19,8),-1.16765 # DEPENDENCYPART_ARC
(19,9),-0.399604 # DEPENDENCYPART_ARC
(19,10),-0.489893 # DEPENDENCYPART_ARC
(19,11),-0.144269 # DEPENDENCYPART_ARC
(19,12),-1.17115 # DEPENDENCYPART_ARC
(19,13),-2.90064 # DEPENDENCYPART_ARC
(19,14),-0.579405 # DEPENDENCYPART_ARC
(19,15),1.03608 # DEPENDENCYPART_ARC
(19,16),1.0544 # DEPENDENCYPART_ARC
(19,17),3.27895 # DEPENDENCYPART_ARC
(19,18),3.53741 # DEPENDENCYPART_ARC
(19,20),-0.233819 # DEPENDENCYPART_ARC
(19,24),-1.3604 # DEPENDENCYPART_ARC
(19,27),-0.628746 # DEPENDENCYPART_ARC
(19,28),-0.184758 # DEPENDENCYPART_ARC
(19,29),-2.48073 # DEPENDENCYPART_ARC
(19,30),-0.736794 # DEPENDENCYPART_ARC
(21,2),-0.576701 # DEPENDENCYPART_ARC
(21,3),-0.880758 # DEPENDENCYPART_ARC
(21,5),-0.851588 # DEPENDENCYPART_ARC
(21,6),0.202239 # DEPENDENCYPART_ARC
(21,7),0.0841691 # DEPENDENCYPART_ARC
(21,9),0.107206 # DEPENDENCYPART_ARC
(21,10),-0.124884 # DEPENDENCYPART_ARC
(21,11),-0.0925758 # DEPENDENCYPART_ARC
(21,12),0.116871 # DEPENDENCYPART_ARC
(21,13),-0.0283238 # DEPENDENCYPART_ARC
(21,14),-0.464221 # DEPENDENCYPART_ARC
(21,16),0.415248 # DEPENDENCYPART_ARC
(21,17),1.12287 # DEPENDENCYPART_ARC
(21,18),1.00062 # DEPENDENCYPART_ARC
(21,19),0.486455 # DEPENDENCYPART_ARC
(21,20),0.852807 # DEPENDENCYPART_ARC
(21,23),-0.0768149 # DEPENDENCYPART_ARC
(21,24),-1.01213 # DEPENDENCYPART_ARC
(21,26),-0.685155 # DEPENDENCYPART_ARC
(21,28),0.023915 # DEPENDENCYPART_ARC
(21,29),0.271296 # DEPENDENCYPART_ARC
(21,30),0.134615 # DEPENDENCYPART_ARC
(21,31),1.60507 # DEPENDENCYPART_ARC
(22,23),0.33565 # DEPENDENCYPART_ARC
(23,19),-1.54361 # DEPENDENCYPART_ARC
(23,21),-0.812428 # DEPENDENCYPART_ARC
(23,22),0.931013 # DEPENDENCYPART_ARC
(23,27),-0.84835 # DEPENDENCYPART_ARC
(24,8),-2.101 # DEPENDENCYPART_ARC
(24,9),-1.49095 # DEPENDENCYPART_ARC
(24,14),-1.89973 # DEPENDENCYPART_ARC
(24,15),-0.400312 # DEPENDENCYPART_ARC
(24,16),-0.58934 # DEPENDENCYPART_ARC
(24,17),-1.34415 # DEPENDENCYPART_ARC
(24,18),0.367177 # DEPENDENCYPART_ARC
(24,19),-3.55944 # DEPENDENCYPART_ARC
(24,20),-0.817955 # DEPENDENCYPART_ARC
(24,21),-0.98446 # DEPENDENCYPART_ARC
(24,22),2.5157 # DEPENDENCYPART_ARC
(24,23),3.4126 # DEPENDENCYPART_ARC
(24,25),-0.901827 # DEPENDENCYPART_ARC
(24,26),-0.768034 # DEPENDENCYPART_ARC
(24,27),0.121 # DEPENDENCYPART_ARC
(24,28),0.608707 # DEPENDENCYPART_ARC
(24,30),0.15385 # DEPENDENCYPART_ARC
(26,15),-2.78825 # DEPENDENCYPART_ARC
(26,16),-1.79975 # DEPENDENCYPART_ARC
(26,21),-1.86419 # DEPENDENCYPART_ARC
(26,22),-0.840092 # DEPENDENCYPART_ARC
(26,23),-0.76904 # DEPENDENCYPART_ARC
(26,24),-1.76889 # DEPENDENCYPART_ARC
(26,25),1.8818 # DEPENDENCYPART_ARC
(26,28),-0.265354 # DEPENDENCYPART_ARC
(26,30),-0.52885 # DEPENDENCYPART_ARC
(27,17),-1.1478 # DEPENDENCYPART_ARC
(27,18),-0.757776 # DEPENDENCYPART_ARC
(27,19),-0.756278 # DEPENDENCYPART_ARC
(27,20),0.146559 # DEPENDENCYPART_ARC
(27,23),-0.303937 # DEPENDENCYPART_ARC
(27,24),-0.191232 # DEPENDENCYPART_ARC
(27,25),0.382475 # DEPENDENCYPART_ARC
(27,26),3.4369 # DEPENDENCYPART_ARC
(27,28),0.187344 # DEPENDENCYPART_ARC
(27,30),0.0540611 # DEPENDENCYPART_ARC
(27,31),-0.292057 # DEPENDENCYPART_ARC
(29,2),-1.74948 # DEPENDENCYPART_ARC
(29,3),-1.14683 # DEPENDENCYPART_ARC
(29,5),-1.68542 # DEPENDENCYPART_ARC
(29,6),-0.270551 # DEPENDENCYPART_ARC
(29,7),0.151519 # DEPENDENCYPART_ARC
(29,8),-0.825912 # DEPENDENCYPART_ARC
(29,9),-2.22372 # DEPENDENCYPART_ARC
(29,10),-0.74328 # DEPENDENCYPART_ARC
(29,11),-1.0787 # DEPENDENCYPART_ARC
(29,12),-0.988718 # DEPENDENCYPART_ARC
(29,13),0.587649 # DEPENDENCYPART_ARC
(29,14),0.247547 # DEPENDENCYPART_ARC
(29,15),-0.65736 # DEPENDENCYPART_ARC
(29,16),-0.690231 # DEPENDENCYPART_ARC
(29,17),0.0385499 # DEPENDENCYPART_ARC
(29,18),-0.440989 # DEPENDENCYPART_ARC
(29,19),-0.418486 # DEPENDENCYPART_ARC
(29,20),0.81241 # DEPENDENCYPART_ARC
(29,21),0.446124 # DEPENDENCYPART_ARC
(29,22),-0.195096 # DEPENDENCYPART_ARC
(29,23),0.0492696 # DEPENDENCYPART_ARC
(29,24),1.08177 # DEPENDENCYPART_ARC
(29,25),-0.593533 # DEPENDENCYPART_ARC
(29,26),0.694328 # DEPENDENCYPART_ARC
(29,27),1.39288 # DEPENDENCYPART_ARC
(29,28),1.58711 # DEPENDENCYPART_ARC
(29,30),1.24071 # DEPENDENCYPART_ARC
(29,31),1.56938 # DEPENDENCYPART_ARC
