# _root_ Szívet melengető érzés , hogy Európában még mindig mekkora kultusza van , és a mostani negyvenévesek milyen nosztalgiával emlegetik őt .
#goldHeads=2,3,5,5,0,11,11,11,10,11,13,13,5,16,16,19,18,19,13,19,5,
#predictedHeads=2,3,5,5,0,11,11,11,10,11,13,13,5,16,16,19,18,19,13,19,13,
(16,12),-0.342155 # DEPENDENCYPART_ARC
(16,13),-0.243511 # DEPENDENCYPART_ARC
(16,14),1.24065 # DEPENDENCYPART_ARC
(16,15),1.89099 # DEPENDENCYPART_ARC
(16,18),-0.0995483 # DEPENDENCYPART_ARC
(16,19),-0.105958 # DEPENDENCYPART_ARC
(17,16),-0.409527 # DEPENDENCYPART_ARC
(17,18),-0.703126 # DEPENDENCYPART_ARC
(18,11),-2.32375 # DEPENDENCYPART_ARC
(18,12),-0.69739 # DEPENDENCYPART_ARC
(18,13),-0.251728 # DEPENDENCYPART_ARC
(18,14),0.684463 # DEPENDENCYPART_ARC
(18,15),0.893264 # DEPENDENCYPART_ARC
(18,16),-0.144118 # DEPENDENCYPART_ARC
(18,17),2.73563 # DEPENDENCYPART_ARC
(19,1),-1.33576 # DEPENDENCYPART_ARC
(19,3),-2.53335 # DEPENDENCYPART_ARC
(19,4),-0.671859 # DEPENDENCYPART_ARC
(19,5),-0.419364 # DEPENDENCYPART_ARC
(19,6),-0.473007 # DEPENDENCYPART_ARC
(19,7),-0.435185 # DEPENDENCYPART_ARC
(19,8),-0.740487 # DEPENDENCYPART_ARC
(19,10),-0.203252 # DEPENDENCYPART_ARC
(19,11),-0.797019 # DEPENDENCYPART_ARC
(19,12),-0.0570148 # DEPENDENCYPART_ARC
(19,13),-0.127615 # DEPENDENCYPART_ARC
(19,14),-1.25843 # DEPENDENCYPART_ARC
(19,15),-0.739179 # DEPENDENCYPART_ARC
(19,16),0.599985 # DEPENDENCYPART_ARC
(19,17),0.109586 # DEPENDENCYPART_ARC
(19,18),2.56047 # DEPENDENCYPART_ARC
(19,20),0.973635 # DEPENDENCYPART_ARC
(19,21),1.60857 # DEPENDENCYPART_ARC
(20,5),-0.234213 # DEPENDENCYPART_ARC
(20,11),0.0489306 # DEPENDENCYPART_ARC
(20,19),0.595429 # DEPENDENCYPART_ARC
(20,21),0.604846 # DEPENDENCYPART_ARC
