# _root_ E párt a gyakorlatban szigorúan hierarchikus rendet szab , még akkor is , ha hivatalos ideológiája — mint a kommunistáké — egalitárius .
#goldHeads=2,8,4,8,6,7,8,0,8,14,14,14,14,8,16,22,18,22,20,18,18,14,8,
#predictedHeads=2,8,4,8,8,7,8,0,8,18,14,18,16,8,16,18,18,8,20,22,22,18,14,
(8,3),-0.929364 # DEPENDENCYPART_ARC
(8,4),1.86793 # DEPENDENCYPART_ARC
(8,5),1.7631 # DEPENDENCYPART_ARC
(8,6),0.662858 # DEPENDENCYPART_ARC
(8,7),3.04885 # DEPENDENCYPART_ARC
(8,9),1.48417 # DEPENDENCYPART_ARC
(8,10),0.508627 # DEPENDENCYPART_ARC
(8,11),0.311086 # DEPENDENCYPART_ARC
(8,12),0.903074 # DEPENDENCYPART_ARC
(8,13),0.806511 # DEPENDENCYPART_ARC
(8,14),1.05693 # DEPENDENCYPART_ARC
(8,15),-0.705957 # DEPENDENCYPART_ARC
(8,16),-1.12449 # DEPENDENCYPART_ARC
(8,17),-0.0498089 # DEPENDENCYPART_ARC
(8,18),0.526693 # DEPENDENCYPART_ARC
(8,20),-2.68707 # DEPENDENCYPART_ARC
(8,21),-0.768058 # DEPENDENCYPART_ARC
(8,22),-1.30686 # DEPENDENCYPART_ARC
(8,23),1.89664 # DEPENDENCYPART_ARC
(10,7),-1.41264 # DEPENDENCYPART_ARC
(10,8),-0.739984 # DEPENDENCYPART_ARC
(10,9),-0.71577 # DEPENDENCYPART_ARC
(10,12),-0.491329 # DEPENDENCYPART_ARC
(10,13),-0.427132 # DEPENDENCYPART_ARC
(10,14),-0.453676 # DEPENDENCYPART_ARC
(10,16),-1.28459 # DEPENDENCYPART_ARC
(10,17),-0.329131 # DEPENDENCYPART_ARC
(10,18),-0.676981 # DEPENDENCYPART_ARC
(10,20),-1.78342 # DEPENDENCYPART_ARC
(10,21),-0.644008 # DEPENDENCYPART_ARC
(10,23),-0.827395 # DEPENDENCYPART_ARC
(11,7),-1.01369 # DEPENDENCYPART_ARC
(11,8),-0.198805 # DEPENDENCYPART_ARC
(11,9),-0.479134 # DEPENDENCYPART_ARC
(11,10),0.243788 # DEPENDENCYPART_ARC
(11,12),-0.270087 # DEPENDENCYPART_ARC
(11,13),-0.462669 # DEPENDENCYPART_ARC
(11,15),-0.590836 # DEPENDENCYPART_ARC
(11,16),-1.04754 # DEPENDENCYPART_ARC
(11,17),-0.211651 # DEPENDENCYPART_ARC
(11,20),-1.74034 # DEPENDENCYPART_ARC
(11,21),-0.402025 # DEPENDENCYPART_ARC
(11,23),0.17066 # DEPENDENCYPART_ARC
(12,5),-1.08942 # DEPENDENCYPART_ARC
(12,7),-1.66423 # DEPENDENCYPART_ARC
(12,8),-0.624031 # DEPENDENCYPART_ARC
(12,9),0.271751 # DEPENDENCYPART_ARC
(12,10),0.139735 # DEPENDENCYPART_ARC
(12,11),0.205013 # DEPENDENCYPART_ARC
(12,13),0.251214 # DEPENDENCYPART_ARC
(12,14),-0.304966 # DEPENDENCYPART_ARC
(12,15),-0.433118 # DEPENDENCYPART_ARC
(12,16),-0.457876 # DEPENDENCYPART_ARC
(12,17),-0.297786 # DEPENDENCYPART_ARC
(12,18),-0.245517 # DEPENDENCYPART_ARC
(12,20),-0.86588 # DEPENDENCYPART_ARC
(12,21),-0.476223 # DEPENDENCYPART_ARC
(12,22),-0.890298 # DEPENDENCYPART_ARC
(12,23),0.87733 # DEPENDENCYPART_ARC
(14,1),-0.319406 # DEPENDENCYPART_ARC
(14,2),-0.124935 # DEPENDENCYPART_ARC
(14,4),0.0521421 # DEPENDENCYPART_ARC
(14,5),0.12344 # DEPENDENCYPART_ARC
(14,6),-0.140626 # DEPENDENCYPART_ARC
(14,7),-0.767506 # DEPENDENCYPART_ARC
(14,8),-0.894909 # DEPENDENCYPART_ARC
(14,9),0.390743 # DEPENDENCYPART_ARC
(14,10),0.917781 # DEPENDENCYPART_ARC
(14,11),0.990029 # DEPENDENCYPART_ARC
(14,12),0.727752 # DEPENDENCYPART_ARC
(14,13),0.916695 # DEPENDENCYPART_ARC
(14,15),-0.307037 # DEPENDENCYPART_ARC
(14,16),-0.222945 # DEPENDENCYPART_ARC
(14,17),-0.0947955 # DEPENDENCYPART_ARC
(14,18),0.257298 # DEPENDENCYPART_ARC
(14,20),-0.907137 # DEPENDENCYPART_ARC
(14,21),-0.247499 # DEPENDENCYPART_ARC
(14,22),-0.737526 # DEPENDENCYPART_ARC
(14,23),1.90472 # DEPENDENCYPART_ARC
(15,10),-1.171 # DEPENDENCYPART_ARC
(15,11),-1.15237 # DEPENDENCYPART_ARC
(15,12),-1.13627 # DEPENDENCYPART_ARC
(15,13),-1.03846 # DEPENDENCYPART_ARC
(15,14),-0.961946 # DEPENDENCYPART_ARC
(15,18),-1.48654 # DEPENDENCYPART_ARC
(15,20),-2.12114 # DEPENDENCYPART_ARC
(16,1),-0.935471 # DEPENDENCYPART_ARC
(16,3),-0.913244 # DEPENDENCYPART_ARC
(16,4),-1.44137 # DEPENDENCYPART_ARC
(16,5),-2.3376 # DEPENDENCYPART_ARC
(16,6),0.165574 # DEPENDENCYPART_ARC
(16,7),-2.82431 # DEPENDENCYPART_ARC
(16,8),-1.85547 # DEPENDENCYPART_ARC
(16,9),0.717517 # DEPENDENCYPART_ARC
(16,10),0.0198397 # DEPENDENCYPART_ARC
(16,11),0.0930134 # DEPENDENCYPART_ARC
(16,12),0.311764 # DEPENDENCYPART_ARC
(16,13),0.991979 # DEPENDENCYPART_ARC
(16,14),0.852868 # DEPENDENCYPART_ARC
(16,15),3.07365 # DEPENDENCYPART_ARC
(16,17),-0.287086 # DEPENDENCYPART_ARC
(16,20),-1.69386 # DEPENDENCYPART_ARC
(16,21),-0.377966 # DEPENDENCYPART_ARC
(16,22),-1.69085 # DEPENDENCYPART_ARC
(18,1),-0.192071 # DEPENDENCYPART_ARC
(18,2),-0.238578 # DEPENDENCYPART_ARC
(18,4),-0.0451613 # DEPENDENCYPART_ARC
(18,5),-0.20549 # DEPENDENCYPART_ARC
(18,6),-0.408711 # DEPENDENCYPART_ARC
(18,7),-0.531526 # DEPENDENCYPART_ARC
(18,8),-0.660635 # DEPENDENCYPART_ARC
(18,9),0.735149 # DEPENDENCYPART_ARC
(18,10),0.952818 # DEPENDENCYPART_ARC
(18,11),0.590493 # DEPENDENCYPART_ARC
(18,12),1.03713 # DEPENDENCYPART_ARC
(18,13),0.587716 # DEPENDENCYPART_ARC
(18,14),0.725504 # DEPENDENCYPART_ARC
(18,15),0.947578 # DEPENDENCYPART_ARC
(18,16),1.06144 # DEPENDENCYPART_ARC
(18,17),1.09339 # DEPENDENCYPART_ARC
(18,20),0.476719 # DEPENDENCYPART_ARC
(18,21),0.625188 # DEPENDENCYPART_ARC
(18,22),-0.0433129 # DEPENDENCYPART_ARC
(18,23),1.21469 # DEPENDENCYPART_ARC
(20,14),-1.52749 # DEPENDENCYPART_ARC
(20,15),-0.807149 # DEPENDENCYPART_ARC
(20,16),-1.92952 # DEPENDENCYPART_ARC
(20,17),-0.441886 # DEPENDENCYPART_ARC
(20,18),-0.941061 # DEPENDENCYPART_ARC
(20,19),3.00616 # DEPENDENCYPART_ARC
(20,21),0.0739754 # DEPENDENCYPART_ARC
(20,22),-0.884024 # DEPENDENCYPART_ARC
(22,2),-1.9648 # DEPENDENCYPART_ARC
(22,4),-0.475156 # DEPENDENCYPART_ARC
(22,7),-1.24954 # DEPENDENCYPART_ARC
(22,8),-0.141762 # DEPENDENCYPART_ARC
(22,9),0.234356 # DEPENDENCYPART_ARC
(22,10),0.428273 # DEPENDENCYPART_ARC
(22,11),0.11631 # DEPENDENCYPART_ARC
(22,12),0.32789 # DEPENDENCYPART_ARC
(22,13),0.651738 # DEPENDENCYPART_ARC
(22,14),0.534126 # DEPENDENCYPART_ARC
(22,15),-0.319304 # DEPENDENCYPART_ARC
(22,16),-0.925986 # DEPENDENCYPART_ARC
(22,17),0.846153 # DEPENDENCYPART_ARC
(22,18),0.42557 # DEPENDENCYPART_ARC
(22,19),0.543456 # DEPENDENCYPART_ARC
(22,20),0.674607 # DEPENDENCYPART_ARC
(22,21),1.54468 # DEPENDENCYPART_ARC
(22,23),0.762627 # DEPENDENCYPART_ARC
