# _root_ Mi vagyunk a hátország , az elkövetkezendő években is az lesz a feladatunk , hogy segítsük a tehetséges fiatalok előbbre jutását .
#goldHeads=2,0,4,2,2,8,8,11,11,11,2,13,11,11,11,10,19,19,21,21,16,2,
#predictedHeads=2,0,4,2,11,8,8,11,11,11,1,13,11,11,11,10,19,19,21,21,16,2,
(16,14),-0.295858 # DEPENDENCYPART_ARC
(16,15),-0.848714 # DEPENDENCYPART_ARC
(16,17),0.0569715 # DEPENDENCYPART_ARC
(16,18),0.071163 # DEPENDENCYPART_ARC
(16,19),1.12378 # DEPENDENCYPART_ARC
(16,20),0.673742 # DEPENDENCYPART_ARC
(16,21),2.90254 # DEPENDENCYPART_ARC
(16,22),1.46155 # DEPENDENCYPART_ARC
(17,18),0.171626 # DEPENDENCYPART_ARC
(17,21),-1.41351 # DEPENDENCYPART_ARC
(18,15),-1.37854 # DEPENDENCYPART_ARC
(18,17),0.596369 # DEPENDENCYPART_ARC
(18,20),-1.22286 # DEPENDENCYPART_ARC
(18,21),-2.28506 # DEPENDENCYPART_ARC
(19,6),-1.82443 # DEPENDENCYPART_ARC
(19,9),-1.74432 # DEPENDENCYPART_ARC
(19,10),-1.97 # DEPENDENCYPART_ARC
(19,12),-0.620434 # DEPENDENCYPART_ARC
(19,13),-2.56116 # DEPENDENCYPART_ARC
(19,15),-1.34297 # DEPENDENCYPART_ARC
(19,16),-0.969376 # DEPENDENCYPART_ARC
(19,17),2.59392 # DEPENDENCYPART_ARC
(19,18),3.64621 # DEPENDENCYPART_ARC
(19,20),-0.621374 # DEPENDENCYPART_ARC
(19,21),-1.91321 # DEPENDENCYPART_ARC
(20,2),-0.69763 # DEPENDENCYPART_ARC
(20,11),-0.407211 # DEPENDENCYPART_ARC
(20,13),-1.17851 # DEPENDENCYPART_ARC
(20,14),-0.429096 # DEPENDENCYPART_ARC
(20,15),-0.893821 # DEPENDENCYPART_ARC
(20,16),-0.278026 # DEPENDENCYPART_ARC
(20,18),-0.246346 # DEPENDENCYPART_ARC
(20,19),0.196055 # DEPENDENCYPART_ARC
(20,21),-0.297646 # DEPENDENCYPART_ARC
(20,22),-0.28782 # DEPENDENCYPART_ARC
(21,13),0.202368 # DEPENDENCYPART_ARC
(21,14),-0.575306 # DEPENDENCYPART_ARC
(21,15),-0.894752 # DEPENDENCYPART_ARC
(21,17),-0.334321 # DEPENDENCYPART_ARC
(21,18),0.77229 # DEPENDENCYPART_ARC
(21,19),2.66456 # DEPENDENCYPART_ARC
(21,20),1.20179 # DEPENDENCYPART_ARC
(21,22),0.227369 # DEPENDENCYPART_ARC
