# _root_ Aki elsőnek ér a tájékozódási pontokra , azé a tojás , és a legtöbb tojás tulajdonosa lesz a tojáskereső verseny győztese .
#goldHeads=3,3,8,6,6,3,8,12,10,8,12,0,15,15,16,17,12,20,20,21,17,12,
#predictedHeads=3,3,12,6,6,3,3,17,10,3,12,0,15,15,16,17,12,20,20,21,17,3,
(8,16),0.130083 # DEPENDENCYPART_ARC
(8,17),1.50089 # DEPENDENCYPART_ARC
(8,19),-0.239749 # DEPENDENCYPART_ARC
(8,20),0.017734 # DEPENDENCYPART_ARC
(8,21),0.155765 # DEPENDENCYPART_ARC
(8,22),1.00603 # DEPENDENCYPART_ARC
(9,11),-0.392497 # DEPENDENCYPART_ARC
(10,2),-2.73168 # DEPENDENCYPART_ARC
(10,3),-2.45395 # DEPENDENCYPART_ARC
(10,4),-0.478524 # DEPENDENCYPART_ARC
(10,5),-0.859035 # DEPENDENCYPART_ARC
(10,6),-3.24724 # DEPENDENCYPART_ARC
(10,7),-0.815723 # DEPENDENCYPART_ARC
(10,8),-0.00874907 # DEPENDENCYPART_ARC
(10,9),2.97255 # DEPENDENCYPART_ARC
(10,11),-0.315091 # DEPENDENCYPART_ARC
(10,15),-1.27822 # DEPENDENCYPART_ARC
(10,17),-0.826392 # DEPENDENCYPART_ARC
(10,20),-1.38126 # DEPENDENCYPART_ARC
(10,22),-0.378647 # DEPENDENCYPART_ARC
(12,3),1.07045 # DEPENDENCYPART_ARC
(12,5),-0.685396 # DEPENDENCYPART_ARC
(12,6),-0.636498 # DEPENDENCYPART_ARC
(12,7),0.333571 # DEPENDENCYPART_ARC
(12,8),-0.547345 # DEPENDENCYPART_ARC
(12,9),-0.313529 # DEPENDENCYPART_ARC
(12,10),-0.162122 # DEPENDENCYPART_ARC
(12,11),1.92597 # DEPENDENCYPART_ARC
(12,13),-0.144208 # DEPENDENCYPART_ARC
(12,14),0.251968 # DEPENDENCYPART_ARC
(12,15),0.1815 # DEPENDENCYPART_ARC
(12,16),-0.386928 # DEPENDENCYPART_ARC
(12,17),1.75969 # DEPENDENCYPART_ARC
(12,19),-0.548096 # DEPENDENCYPART_ARC
(12,20),-0.586746 # DEPENDENCYPART_ARC
(12,21),-0.983659 # DEPENDENCYPART_ARC
(12,22),2.16817 # DEPENDENCYPART_ARC
(13,12),0.19719 # DEPENDENCYPART_ARC
(13,16),-0.90037 # DEPENDENCYPART_ARC
(14,8),-1.7552 # DEPENDENCYPART_ARC
(14,13),-0.110421 # DEPENDENCYPART_ARC
(14,17),-0.985522 # DEPENDENCYPART_ARC
(14,21),-1.98605 # DEPENDENCYPART_ARC
(14,22),-0.871102 # DEPENDENCYPART_ARC
(15,3),-2.19394 # DEPENDENCYPART_ARC
(15,4),-1.31515 # DEPENDENCYPART_ARC
(15,5),-0.981831 # DEPENDENCYPART_ARC
(15,6),-3.88558 # DEPENDENCYPART_ARC
(15,7),-1.13907 # DEPENDENCYPART_ARC
(15,8),-2.31382 # DEPENDENCYPART_ARC
(15,9),-0.246263 # DEPENDENCYPART_ARC
(15,10),-1.3448 # DEPENDENCYPART_ARC
(15,11),-0.352353 # DEPENDENCYPART_ARC
(15,12),0.122855 # DEPENDENCYPART_ARC
(15,13),2.07639 # DEPENDENCYPART_ARC
(15,14),2.71554 # DEPENDENCYPART_ARC
(15,16),-0.685764 # DEPENDENCYPART_ARC
(15,20),-1.20069 # DEPENDENCYPART_ARC
(15,21),-1.77182 # DEPENDENCYPART_ARC
(16,3),-2.86004 # DEPENDENCYPART_ARC
(16,6),-2.18556 # DEPENDENCYPART_ARC
(16,7),-0.748804 # DEPENDENCYPART_ARC
(16,8),-2.5648 # DEPENDENCYPART_ARC
(16,9),-1.28385 # DEPENDENCYPART_ARC
(16,10),0.29938 # DEPENDENCYPART_ARC
(16,11),0.0982502 # DEPENDENCYPART_ARC
(16,12),0.628257 # DEPENDENCYPART_ARC
(16,13),0.272942 # DEPENDENCYPART_ARC
(16,14),1.52568 # DEPENDENCYPART_ARC
(16,15),4.44291 # DEPENDENCYPART_ARC
(16,20),-0.866479 # DEPENDENCYPART_ARC
(16,21),-1.29796 # DEPENDENCYPART_ARC
(16,22),0.0210578 # DEPENDENCYPART_ARC
(17,1),-1.03411 # DEPENDENCYPART_ARC
(17,3),-0.915455 # DEPENDENCYPART_ARC
(17,4),-0.786316 # DEPENDENCYPART_ARC
(17,5),-0.373877 # DEPENDENCYPART_ARC
(17,6),-1.26007 # DEPENDENCYPART_ARC
(17,7),0.361299 # DEPENDENCYPART_ARC
(17,8),0.77348 # DEPENDENCYPART_ARC
(17,9),-0.843124 # DEPENDENCYPART_ARC
(17,10),0.234831 # DEPENDENCYPART_ARC
(17,11),0.828966 # DEPENDENCYPART_ARC
(17,12),0.177073 # DEPENDENCYPART_ARC
(17,13),-0.632624 # DEPENDENCYPART_ARC
(17,14),0.126678 # DEPENDENCYPART_ARC
(17,15),1.91809 # DEPENDENCYPART_ARC
(17,16),3.69376 # DEPENDENCYPART_ARC
(17,18),-0.423899 # DEPENDENCYPART_ARC
(17,19),0.430484 # DEPENDENCYPART_ARC
(17,20),1.70619 # DEPENDENCYPART_ARC
(17,21),2.87678 # DEPENDENCYPART_ARC
(17,22),1.71841 # DEPENDENCYPART_ARC
(18,19),0.18599 # DEPENDENCYPART_ARC
(18,21),-1.22455 # DEPENDENCYPART_ARC
(19,13),-1.62254 # DEPENDENCYPART_ARC
(19,14),-1.52831 # DEPENDENCYPART_ARC
(19,18),0.593881 # DEPENDENCYPART_ARC
(20,8),-3.01688 # DEPENDENCYPART_ARC
(20,12),-0.925308 # DEPENDENCYPART_ARC
(20,13),-0.398687 # DEPENDENCYPART_ARC
(20,14),-0.757515 # DEPENDENCYPART_ARC
(20,15),-1.62836 # DEPENDENCYPART_ARC
(20,16),-3.0038 # DEPENDENCYPART_ARC
(20,17),-1.00532 # DEPENDENCYPART_ARC
(20,18),2.39084 # DEPENDENCYPART_ARC
(20,19),3.65078 # DEPENDENCYPART_ARC
(20,21),-1.0122 # DEPENDENCYPART_ARC
(21,6),-3.58626 # DEPENDENCYPART_ARC
(21,8),-3.15543 # DEPENDENCYPART_ARC
(21,10),-1.10909 # DEPENDENCYPART_ARC
(21,11),-0.598417 # DEPENDENCYPART_ARC
(21,12),-0.0757054 # DEPENDENCYPART_ARC
(21,13),-1.509 # DEPENDENCYPART_ARC
(21,14),-0.682219 # DEPENDENCYPART_ARC
(21,15),0.293346 # DEPENDENCYPART_ARC
(21,16),-1.62201 # DEPENDENCYPART_ARC
(21,17),-1.6763 # DEPENDENCYPART_ARC
(21,18),0.754357 # DEPENDENCYPART_ARC
(21,19),1.82414 # DEPENDENCYPART_ARC
(21,20),4.08509 # DEPENDENCYPART_ARC
(21,22),0.0347189 # DEPENDENCYPART_ARC
