# _root_ A század első negyedében Alsógöd , Felsőgöd és Sződliget kialakuló református gyülekezetei előbb a váci anyaegyház leány- , majd fiókegyházaiként növekedtek .
#goldHeads=2,4,4,21,12,12,12,12,12,12,12,21,21,16,16,20,20,20,20,21,0,21,
#predictedHeads=2,12,4,5,12,21,12,10,12,12,12,21,21,16,16,21,20,19,0,21,19,19,
(10,8),1.27458 # DEPENDENCYPART_ARC
(10,9),1.25713 # DEPENDENCYPART_ARC
(10,11),-0.684456 # DEPENDENCYPART_ARC
(10,16),-1.27638 # DEPENDENCYPART_ARC
(10,19),-1.17587 # DEPENDENCYPART_ARC
(10,21),-1.14516 # DEPENDENCYPART_ARC
(10,22),-0.303678 # DEPENDENCYPART_ARC
(11,2),-1.09923 # DEPENDENCYPART_ARC
(11,5),-1.14987 # DEPENDENCYPART_ARC
(11,6),0.000374564 # DEPENDENCYPART_ARC
(11,7),-0.61032 # DEPENDENCYPART_ARC
(11,8),0.540617 # DEPENDENCYPART_ARC
(11,9),0.230567 # DEPENDENCYPART_ARC
(11,10),1.12059 # DEPENDENCYPART_ARC
(11,13),-1.03784 # DEPENDENCYPART_ARC
(12,1),0.0639959 # DEPENDENCYPART_ARC
(12,2),1.29423 # DEPENDENCYPART_ARC
(12,3),-0.425095 # DEPENDENCYPART_ARC
(12,5),0.569892 # DEPENDENCYPART_ARC
(12,6),0.421864 # DEPENDENCYPART_ARC
(12,7),1.25788 # DEPENDENCYPART_ARC
(12,8),0.835466 # DEPENDENCYPART_ARC
(12,9),1.90387 # DEPENDENCYPART_ARC
(12,10),2.30253 # DEPENDENCYPART_ARC
(12,11),2.90632 # DEPENDENCYPART_ARC
(12,13),-0.765085 # DEPENDENCYPART_ARC
(12,16),-1.03254 # DEPENDENCYPART_ARC
(12,17),-0.703803 # DEPENDENCYPART_ARC
(12,18),-0.447914 # DEPENDENCYPART_ARC
(12,19),-0.940361 # DEPENDENCYPART_ARC
(13,2),-0.145543 # DEPENDENCYPART_ARC
(13,5),-0.301782 # DEPENDENCYPART_ARC
(13,6),-0.161012 # DEPENDENCYPART_ARC
(13,7),0.280026 # DEPENDENCYPART_ARC
(13,8),0.0234259 # DEPENDENCYPART_ARC
(13,9),0.331866 # DEPENDENCYPART_ARC
(13,10),0.305247 # DEPENDENCYPART_ARC
(13,11),0.177835 # DEPENDENCYPART_ARC
(13,12),0.609962 # DEPENDENCYPART_ARC
(13,15),0.18473 # DEPENDENCYPART_ARC
(13,16),0.0511936 # DEPENDENCYPART_ARC
(13,18),-0.196664 # DEPENDENCYPART_ARC
(13,19),-0.0346641 # DEPENDENCYPART_ARC
(13,20),-0.661249 # DEPENDENCYPART_ARC
(13,21),-0.322058 # DEPENDENCYPART_ARC
(13,22),0.000965558 # DEPENDENCYPART_ARC
(14,15),0.15189 # DEPENDENCYPART_ARC
(15,12),-2.4625 # DEPENDENCYPART_ARC
(15,13),-0.692188 # DEPENDENCYPART_ARC
(15,14),0.311413 # DEPENDENCYPART_ARC
(16,1),-0.725141 # DEPENDENCYPART_ARC
(16,2),-1.83209 # DEPENDENCYPART_ARC
(16,7),-1.13233 # DEPENDENCYPART_ARC
(16,8),-0.513651 # DEPENDENCYPART_ARC
(16,9),-0.770932 # DEPENDENCYPART_ARC
(16,10),0.0223331 # DEPENDENCYPART_ARC
(16,11),0.158038 # DEPENDENCYPART_ARC
(16,12),-2.61745 # DEPENDENCYPART_ARC
(16,13),-0.459825 # DEPENDENCYPART_ARC
(16,14),2.34822 # DEPENDENCYPART_ARC
(16,15),3.26515 # DEPENDENCYPART_ARC
(16,17),-0.481313 # DEPENDENCYPART_ARC
(16,18),-0.461179 # DEPENDENCYPART_ARC
(16,19),-0.747264 # DEPENDENCYPART_ARC
(16,20),-1.55828 # DEPENDENCYPART_ARC
(16,21),-0.951952 # DEPENDENCYPART_ARC
(17,16),0.76572 # DEPENDENCYPART_ARC
(17,18),0.892529 # DEPENDENCYPART_ARC
(19,5),-0.890828 # DEPENDENCYPART_ARC
(19,6),-0.688023 # DEPENDENCYPART_ARC
(19,7),-0.980605 # DEPENDENCYPART_ARC
(19,8),-0.45384 # DEPENDENCYPART_ARC
(19,9),-0.277616 # DEPENDENCYPART_ARC
(19,10),-0.221178 # DEPENDENCYPART_ARC
(19,11),-0.454598 # DEPENDENCYPART_ARC
(19,12),-0.419784 # DEPENDENCYPART_ARC
(19,13),0.215966 # DEPENDENCYPART_ARC
(19,14),-0.861667 # DEPENDENCYPART_ARC
(19,15),-0.314479 # DEPENDENCYPART_ARC
(19,16),-0.189676 # DEPENDENCYPART_ARC
(19,17),0.14951 # DEPENDENCYPART_ARC
(19,18),1.61893 # DEPENDENCYPART_ARC
(19,20),-0.466635 # DEPENDENCYPART_ARC
(19,21),1.59968 # DEPENDENCYPART_ARC
(19,22),2.43334 # DEPENDENCYPART_ARC
(20,8),-0.93768 # DEPENDENCYPART_ARC
(20,10),-1.25357 # DEPENDENCYPART_ARC
(20,11),-1.19564 # DEPENDENCYPART_ARC
(20,12),-1.34007 # DEPENDENCYPART_ARC
(20,13),-0.970976 # DEPENDENCYPART_ARC
(20,14),-1.12316 # DEPENDENCYPART_ARC
(20,15),-0.0512619 # DEPENDENCYPART_ARC
(20,16),1.07935 # DEPENDENCYPART_ARC
(20,17),0.783637 # DEPENDENCYPART_ARC
(20,18),0.419588 # DEPENDENCYPART_ARC
(20,19),0.636903 # DEPENDENCYPART_ARC
(20,22),-0.753401 # DEPENDENCYPART_ARC
(21,2),-0.46102 # DEPENDENCYPART_ARC
(21,5),-0.571264 # DEPENDENCYPART_ARC
(21,6),0.585223 # DEPENDENCYPART_ARC
(21,7),0.496059 # DEPENDENCYPART_ARC
(21,8),1.14285 # DEPENDENCYPART_ARC
(21,9),0.180153 # DEPENDENCYPART_ARC
(21,10),-0.763116 # DEPENDENCYPART_ARC
(21,11),-0.820724 # DEPENDENCYPART_ARC
(21,12),2.02621 # DEPENDENCYPART_ARC
(21,13),1.57299 # DEPENDENCYPART_ARC
(21,14),-0.436316 # DEPENDENCYPART_ARC
(21,15),-0.593348 # DEPENDENCYPART_ARC
(21,16),1.18913 # DEPENDENCYPART_ARC
(21,17),0.414568 # DEPENDENCYPART_ARC
(21,18),1.02968 # DEPENDENCYPART_ARC
(21,19),1.75878 # DEPENDENCYPART_ARC
(21,20),4.70986 # DEPENDENCYPART_ARC
(21,22),1.35792 # DEPENDENCYPART_ARC
