# _root_ A legrövidebb távot , a 2000 métert a II. korcsoport tagjai , az 1986- 1988-as születésű lányok teszik meg .
#goldHeads=3,3,18,18,7,7,18,10,10,11,18,18,17,16,16,17,18,0,18,18,
#predictedHeads=3,3,18,18,7,7,18,10,10,11,18,18,17,17,17,17,18,0,18,18,
(10,11),-0.886775 # DEPENDENCYPART_ARC
(10,14),-0.766913 # DEPENDENCYPART_ARC
(10,18),-0.853732 # DEPENDENCYPART_ARC
(10,20),-0.494195 # DEPENDENCYPART_ARC
(11,1),-1.63825 # DEPENDENCYPART_ARC
(11,2),-0.931183 # DEPENDENCYPART_ARC
(11,3),-3.13483 # DEPENDENCYPART_ARC
(11,4),-0.199516 # DEPENDENCYPART_ARC
(11,5),-0.721004 # DEPENDENCYPART_ARC
(11,6),-0.991464 # DEPENDENCYPART_ARC
(11,7),-2.1372 # DEPENDENCYPART_ARC
(11,8),0.552811 # DEPENDENCYPART_ARC
(11,9),0.616613 # DEPENDENCYPART_ARC
(11,10),4.13148 # DEPENDENCYPART_ARC
(11,12),0.182843 # DEPENDENCYPART_ARC
(11,14),-0.21068 # DEPENDENCYPART_ARC
(11,15),-0.752753 # DEPENDENCYPART_ARC
(11,17),-0.258381 # DEPENDENCYPART_ARC
(11,18),-1.43176 # DEPENDENCYPART_ARC
(11,20),0.0231736 # DEPENDENCYPART_ARC
(13,12),-0.226333 # DEPENDENCYPART_ARC
(13,14),0.447948 # DEPENDENCYPART_ARC
(13,15),0.0820684 # DEPENDENCYPART_ARC
(13,16),-0.0434383 # DEPENDENCYPART_ARC
(14,12),-0.511224 # DEPENDENCYPART_ARC
(14,13),0.640356 # DEPENDENCYPART_ARC
(15,3),-1.68668 # DEPENDENCYPART_ARC
(15,4),-1.17536 # DEPENDENCYPART_ARC
(15,6),-0.841422 # DEPENDENCYPART_ARC
(15,7),-1.15504 # DEPENDENCYPART_ARC
(15,8),-0.966013 # DEPENDENCYPART_ARC
(15,10),-1.15644 # DEPENDENCYPART_ARC
(15,11),-1.77398 # DEPENDENCYPART_ARC
(15,12),-0.174877 # DEPENDENCYPART_ARC
(15,13),-0.256535 # DEPENDENCYPART_ARC
(15,14),1.00528 # DEPENDENCYPART_ARC
(15,16),-0.914534 # DEPENDENCYPART_ARC
(15,18),-0.851748 # DEPENDENCYPART_ARC
(15,20),-0.903634 # DEPENDENCYPART_ARC
(16,3),-1.9335 # DEPENDENCYPART_ARC
(16,6),-0.720761 # DEPENDENCYPART_ARC
(16,7),-1.09591 # DEPENDENCYPART_ARC
(16,10),-1.22655 # DEPENDENCYPART_ARC
(16,11),-1.98931 # DEPENDENCYPART_ARC
(16,12),-0.179492 # DEPENDENCYPART_ARC
(16,13),-0.40086 # DEPENDENCYPART_ARC
(16,14),0.411073 # DEPENDENCYPART_ARC
(16,15),1.42265 # DEPENDENCYPART_ARC
(17,1),-1.311 # DEPENDENCYPART_ARC
(17,2),-0.44017 # DEPENDENCYPART_ARC
(17,3),-3.98799 # DEPENDENCYPART_ARC
(17,4),-0.852308 # DEPENDENCYPART_ARC
(17,5),-0.276669 # DEPENDENCYPART_ARC
(17,6),-1.39296 # DEPENDENCYPART_ARC
(17,7),-2.96789 # DEPENDENCYPART_ARC
(17,8),0.621752 # DEPENDENCYPART_ARC
(17,9),-0.739278 # DEPENDENCYPART_ARC
(17,10),-0.278711 # DEPENDENCYPART_ARC
(17,11),-2.89649 # DEPENDENCYPART_ARC
(17,12),-0.0417386 # DEPENDENCYPART_ARC
(17,13),1.37446 # DEPENDENCYPART_ARC
(17,14),1.07013 # DEPENDENCYPART_ARC
(17,15),2.37434 # DEPENDENCYPART_ARC
(17,16),3.43985 # DEPENDENCYPART_ARC
(17,20),-0.855674 # DEPENDENCYPART_ARC
(18,1),-0.0989048 # DEPENDENCYPART_ARC
(18,2),-0.536278 # DEPENDENCYPART_ARC
(18,3),0.793617 # DEPENDENCYPART_ARC
(18,4),0.889728 # DEPENDENCYPART_ARC
(18,5),-0.0560542 # DEPENDENCYPART_ARC
(18,6),-0.658412 # DEPENDENCYPART_ARC
(18,7),1.734 # DEPENDENCYPART_ARC
(18,8),-0.32484 # DEPENDENCYPART_ARC
(18,9),-0.542349 # DEPENDENCYPART_ARC
(18,10),0.737621 # DEPENDENCYPART_ARC
(18,11),1.4543 # DEPENDENCYPART_ARC
(18,12),1.39295 # DEPENDENCYPART_ARC
(18,13),-0.0821022 # DEPENDENCYPART_ARC
(18,14),0.575707 # DEPENDENCYPART_ARC
(18,15),0.100844 # DEPENDENCYPART_ARC
(18,16),0.482028 # DEPENDENCYPART_ARC
(18,17),3.60935 # DEPENDENCYPART_ARC
(18,19),2.81996 # DEPENDENCYPART_ARC
(18,20),1.45192 # DEPENDENCYPART_ARC
(19,4),-1.2666 # DEPENDENCYPART_ARC
(19,7),-0.510364 # DEPENDENCYPART_ARC
(19,10),-0.389249 # DEPENDENCYPART_ARC
(19,11),-0.779223 # DEPENDENCYPART_ARC
(19,12),-0.679559 # DEPENDENCYPART_ARC
(19,15),-0.20087 # DEPENDENCYPART_ARC
(19,16),-0.081328 # DEPENDENCYPART_ARC
(19,17),0.163081 # DEPENDENCYPART_ARC
(19,18),0.312866 # DEPENDENCYPART_ARC
(19,20),0.240229 # DEPENDENCYPART_ARC
