# _root_ Érdekes helyzet volt : a vezetőség nem nagyon éreztette , hogy szükség van rám , és én se nagyon forszíroztam a dolgot .
#goldHeads=2,3,0,3,6,9,9,9,16,9,9,13,9,13,16,3,20,20,20,16,22,20,3,
#predictedHeads=2,3,16,3,6,9,9,9,3,9,9,13,9,13,16,0,20,20,20,16,22,20,16,
(7,12),-1.08222 # DEPENDENCYPART_ARC
(7,13),-0.885839 # DEPENDENCYPART_ARC
(7,16),-0.480517 # DEPENDENCYPART_ARC
(7,20),-1.3692 # DEPENDENCYPART_ARC
(7,23),0.141983 # DEPENDENCYPART_ARC
(8,3),-0.562472 # DEPENDENCYPART_ARC
(8,4),-0.515521 # DEPENDENCYPART_ARC
(8,6),-0.21953 # DEPENDENCYPART_ARC
(8,7),0.67956 # DEPENDENCYPART_ARC
(8,10),-0.634698 # DEPENDENCYPART_ARC
(8,12),-1.32073 # DEPENDENCYPART_ARC
(8,14),-0.819804 # DEPENDENCYPART_ARC
(8,20),-1.34589 # DEPENDENCYPART_ARC
(8,22),-2.46093 # DEPENDENCYPART_ARC
(9,1),-0.502459 # DEPENDENCYPART_ARC
(9,2),1.59473 # DEPENDENCYPART_ARC
(9,3),0.715929 # DEPENDENCYPART_ARC
(9,4),0.830008 # DEPENDENCYPART_ARC
(9,5),-0.783521 # DEPENDENCYPART_ARC
(9,6),2.76248 # DEPENDENCYPART_ARC
(9,7),2.67028 # DEPENDENCYPART_ARC
(9,8),2.58058 # DEPENDENCYPART_ARC
(9,10),2.09495 # DEPENDENCYPART_ARC
(9,11),2.85126 # DEPENDENCYPART_ARC
(9,12),-0.713142 # DEPENDENCYPART_ARC
(9,13),2.19269 # DEPENDENCYPART_ARC
(9,14),0.765786 # DEPENDENCYPART_ARC
(9,15),1.20158 # DEPENDENCYPART_ARC
(9,16),0.535935 # DEPENDENCYPART_ARC
(9,17),-1.61243 # DEPENDENCYPART_ARC
(9,18),-0.290602 # DEPENDENCYPART_ARC
(9,19),-0.768577 # DEPENDENCYPART_ARC
(9,20),0.472954 # DEPENDENCYPART_ARC
(9,22),-2.10811 # DEPENDENCYPART_ARC
(9,23),2.51849 # DEPENDENCYPART_ARC
(11,1),-0.00499503 # DEPENDENCYPART_ARC
(11,2),-0.365534 # DEPENDENCYPART_ARC
(11,3),-0.747327 # DEPENDENCYPART_ARC
(11,4),-0.0641114 # DEPENDENCYPART_ARC
(11,6),0.224029 # DEPENDENCYPART_ARC
(11,7),0.388388 # DEPENDENCYPART_ARC
(11,8),0.619356 # DEPENDENCYPART_ARC
(11,9),-0.11891 # DEPENDENCYPART_ARC
(11,10),1.2724 # DEPENDENCYPART_ARC
(11,12),-0.684576 # DEPENDENCYPART_ARC
(11,13),1.10542 # DEPENDENCYPART_ARC
(11,15),0.177796 # DEPENDENCYPART_ARC
(11,16),0.527867 # DEPENDENCYPART_ARC
(11,17),-0.957824 # DEPENDENCYPART_ARC
(11,19),-0.351817 # DEPENDENCYPART_ARC
(11,20),0.00755063 # DEPENDENCYPART_ARC
(11,23),2.25106 # DEPENDENCYPART_ARC
(12,7),-1.57481 # DEPENDENCYPART_ARC
(12,8),-1.60282 # DEPENDENCYPART_ARC
(12,10),-0.956574 # DEPENDENCYPART_ARC
(12,11),-1.20934 # DEPENDENCYPART_ARC
(12,22),-3.08947 # DEPENDENCYPART_ARC
(13,1),-1.42664 # DEPENDENCYPART_ARC
(13,2),0.581243 # DEPENDENCYPART_ARC
(13,3),-0.43584 # DEPENDENCYPART_ARC
(13,4),0.256423 # DEPENDENCYPART_ARC
(13,5),-1.16999 # DEPENDENCYPART_ARC
(13,6),1.10833 # DEPENDENCYPART_ARC
(13,7),0.650127 # DEPENDENCYPART_ARC
(13,8),0.478901 # DEPENDENCYPART_ARC
(13,9),-0.167672 # DEPENDENCYPART_ARC
(13,10),0.882243 # DEPENDENCYPART_ARC
(13,11),0.875313 # DEPENDENCYPART_ARC
(13,12),3.73605 # DEPENDENCYPART_ARC
(13,14),2.98178 # DEPENDENCYPART_ARC
(13,15),1.66374 # DEPENDENCYPART_ARC
(13,16),0.683428 # DEPENDENCYPART_ARC
(13,17),0.170271 # DEPENDENCYPART_ARC
(13,18),0.156437 # DEPENDENCYPART_ARC
(13,19),-0.153192 # DEPENDENCYPART_ARC
(13,20),0.623346 # DEPENDENCYPART_ARC
(13,21),-1.37298 # DEPENDENCYPART_ARC
(13,22),-1.39475 # DEPENDENCYPART_ARC
(13,23),1.76303 # DEPENDENCYPART_ARC
(14,3),-0.541963 # DEPENDENCYPART_ARC
(14,9),-0.485719 # DEPENDENCYPART_ARC
(14,10),-0.385225 # DEPENDENCYPART_ARC
(14,11),-0.102504 # DEPENDENCYPART_ARC
(14,12),0.148009 # DEPENDENCYPART_ARC
(14,13),0.276963 # DEPENDENCYPART_ARC
(14,15),-0.613421 # DEPENDENCYPART_ARC
(14,19),-0.834594 # DEPENDENCYPART_ARC
(14,20),-0.597092 # DEPENDENCYPART_ARC
(14,22),-2.06903 # DEPENDENCYPART_ARC
(16,1),-0.34568 # DEPENDENCYPART_ARC
(16,2),-0.825542 # DEPENDENCYPART_ARC
(16,3),0.904214 # DEPENDENCYPART_ARC
(16,4),0.393548 # DEPENDENCYPART_ARC
(16,6),-0.985142 # DEPENDENCYPART_ARC
(16,7),-0.690518 # DEPENDENCYPART_ARC
(16,8),-0.666999 # DEPENDENCYPART_ARC
(16,9),1.01862 # DEPENDENCYPART_ARC
(16,10),1.28318 # DEPENDENCYPART_ARC
(16,11),0.413469 # DEPENDENCYPART_ARC
(16,12),-0.538188 # DEPENDENCYPART_ARC
(16,13),1.35968 # DEPENDENCYPART_ARC
(16,14),0.337856 # DEPENDENCYPART_ARC
(16,15),2.11499 # DEPENDENCYPART_ARC
(16,18),0.292094 # DEPENDENCYPART_ARC
(16,19),0.509549 # DEPENDENCYPART_ARC
(16,20),2.39446 # DEPENDENCYPART_ARC
(16,22),-1.02571 # DEPENDENCYPART_ARC
(16,23),3.77174 # DEPENDENCYPART_ARC
(17,3),-1.05794 # DEPENDENCYPART_ARC
(17,9),-0.926536 # DEPENDENCYPART_ARC
(17,11),-0.353176 # DEPENDENCYPART_ARC
(17,13),-1.0221 # DEPENDENCYPART_ARC
(17,15),-0.160205 # DEPENDENCYPART_ARC
(17,16),0.21384 # DEPENDENCYPART_ARC
(17,20),-1.93836 # DEPENDENCYPART_ARC
(17,22),-1.52364 # DEPENDENCYPART_ARC
(17,23),-0.23719 # DEPENDENCYPART_ARC
(18,12),-1.18977 # DEPENDENCYPART_ARC
(18,15),-0.192889 # DEPENDENCYPART_ARC
(18,16),-0.147256 # DEPENDENCYPART_ARC
(18,22),-0.770875 # DEPENDENCYPART_ARC
(18,23),-0.413237 # DEPENDENCYPART_ARC
(19,9),-0.751407 # DEPENDENCYPART_ARC
(19,13),-0.662973 # DEPENDENCYPART_ARC
(19,15),-0.523203 # DEPENDENCYPART_ARC
(19,16),-0.198309 # DEPENDENCYPART_ARC
(19,18),0.502568 # DEPENDENCYPART_ARC
(19,22),-0.871723 # DEPENDENCYPART_ARC
(20,1),-2.18011 # DEPENDENCYPART_ARC
(20,2),-1.6563 # DEPENDENCYPART_ARC
(20,3),-0.0472444 # DEPENDENCYPART_ARC
(20,4),0.376825 # DEPENDENCYPART_ARC
(20,6),-1.09147 # DEPENDENCYPART_ARC
(20,7),-0.693152 # DEPENDENCYPART_ARC
(20,8),-1.08966 # DEPENDENCYPART_ARC
(20,9),-0.49739 # DEPENDENCYPART_ARC
(20,10),0.450159 # DEPENDENCYPART_ARC
(20,11),0.318931 # DEPENDENCYPART_ARC
(20,12),-0.0899974 # DEPENDENCYPART_ARC
(20,13),-0.092704 # DEPENDENCYPART_ARC
(20,14),0.521015 # DEPENDENCYPART_ARC
(20,15),0.922998 # DEPENDENCYPART_ARC
(20,16),0.493515 # DEPENDENCYPART_ARC
(20,17),2.28173 # DEPENDENCYPART_ARC
(20,18),2.52992 # DEPENDENCYPART_ARC
(20,19),2.46713 # DEPENDENCYPART_ARC
(20,21),-0.281889 # DEPENDENCYPART_ARC
(20,22),3.04333 # DEPENDENCYPART_ARC
(20,23),1.63613 # DEPENDENCYPART_ARC
(22,17),-2.1738 # DEPENDENCYPART_ARC
(22,18),-1.22187 # DEPENDENCYPART_ARC
(22,19),-1.04745 # DEPENDENCYPART_ARC
(22,21),2.76347 # DEPENDENCYPART_ARC
