# _root_ Ő korábban — egyebek között — az Ybl_Bank csődjét okozó Hepta-csoport egyik cégének , a Carbontransz_Rt.-nek volt az elnök-vezérigazgatója ( HVG , 1992. augusztus 1. )
#goldHeads=17,17,17,5,17,17,8,9,10,11,13,13,17,13,16,13,0,19,17,21,17,21,25,25,21,21,
#predictedHeads=2,5,5,5,17,17,8,9,10,11,13,13,17,17,16,17,0,19,17,21,17,17,25,25,17,17,
(5,9),-0.777418 # DEPENDENCYPART_ARC
(5,11),-0.707171 # DEPENDENCYPART_ARC
(5,13),-0.682396 # DEPENDENCYPART_ARC
(5,14),-0.31503 # DEPENDENCYPART_ARC
(5,16),-0.705534 # DEPENDENCYPART_ARC
(5,17),-0.804392 # DEPENDENCYPART_ARC
(5,19),-0.665448 # DEPENDENCYPART_ARC
(5,26),-0.196166 # DEPENDENCYPART_ARC
(7,6),-0.0915172 # DEPENDENCYPART_ARC
(7,8),0.164718 # DEPENDENCYPART_ARC
(7,9),-0.543047 # DEPENDENCYPART_ARC
(8,2),-1.74742 # DEPENDENCYPART_ARC
(8,3),-1.05554 # DEPENDENCYPART_ARC
(8,5),-1.08995 # DEPENDENCYPART_ARC
(8,7),2.34192 # DEPENDENCYPART_ARC
(8,9),-1.27557 # DEPENDENCYPART_ARC
(8,12),-2.22669 # DEPENDENCYPART_ARC
(9,1),-1.87584 # DEPENDENCYPART_ARC
(9,2),-0.961761 # DEPENDENCYPART_ARC
(9,3),-0.420765 # DEPENDENCYPART_ARC
(9,4),-1.49456 # DEPENDENCYPART_ARC
(9,5),-0.461806 # DEPENDENCYPART_ARC
(9,6),-0.0608429 # DEPENDENCYPART_ARC
(9,7),0.88398 # DEPENDENCYPART_ARC
(9,8),3.72255 # DEPENDENCYPART_ARC
(9,11),-0.71454 # DEPENDENCYPART_ARC
(9,13),-1.17858 # DEPENDENCYPART_ARC
(9,14),-0.333383 # DEPENDENCYPART_ARC
(9,17),-1.01696 # DEPENDENCYPART_ARC
(9,25),-2.51708 # DEPENDENCYPART_ARC
(10,2),-0.282345 # DEPENDENCYPART_ARC
(10,3),-0.269976 # DEPENDENCYPART_ARC
(10,5),0.051564 # DEPENDENCYPART_ARC
(10,6),-0.0643152 # DEPENDENCYPART_ARC
(10,7),-0.0259512 # DEPENDENCYPART_ARC
(10,8),0.697075 # DEPENDENCYPART_ARC
(10,9),2.44243 # DEPENDENCYPART_ARC
(10,13),-0.966655 # DEPENDENCYPART_ARC
(10,17),-0.851434 # DEPENDENCYPART_ARC
(11,2),-0.614914 # DEPENDENCYPART_ARC
(11,3),-0.219036 # DEPENDENCYPART_ARC
(11,4),-1.50563 # DEPENDENCYPART_ARC
(11,5),-0.159807 # DEPENDENCYPART_ARC
(11,6),-0.154865 # DEPENDENCYPART_ARC
(11,7),1.49736 # DEPENDENCYPART_ARC
(11,8),1.50908 # DEPENDENCYPART_ARC
(11,9),-1.70847 # DEPENDENCYPART_ARC
(11,10),3.53604 # DEPENDENCYPART_ARC
(11,13),-0.571514 # DEPENDENCYPART_ARC
(11,14),0.193627 # DEPENDENCYPART_ARC
(11,16),-1.06568 # DEPENDENCYPART_ARC
(11,17),-0.49158 # DEPENDENCYPART_ARC
(11,21),-1.10022 # DEPENDENCYPART_ARC
(11,25),-1.71248 # DEPENDENCYPART_ARC
(11,26),0.493783 # DEPENDENCYPART_ARC
(12,11),-0.635011 # DEPENDENCYPART_ARC
(12,14),-0.828837 # DEPENDENCYPART_ARC
(12,16),-0.913702 # DEPENDENCYPART_ARC
(12,17),-0.61615 # DEPENDENCYPART_ARC
(12,19),-0.929848 # DEPENDENCYPART_ARC
(12,20),-0.71322 # DEPENDENCYPART_ARC
(12,21),-1.41851 # DEPENDENCYPART_ARC
(12,22),-0.756976 # DEPENDENCYPART_ARC
(12,24),-1.5347 # DEPENDENCYPART_ARC
(12,25),-1.50736 # DEPENDENCYPART_ARC
(12,26),-0.116085 # DEPENDENCYPART_ARC
(13,2),-0.458252 # DEPENDENCYPART_ARC
(13,3),0.0492 # DEPENDENCYPART_ARC
(13,4),-1.05002 # DEPENDENCYPART_ARC
(13,5),0.0732571 # DEPENDENCYPART_ARC
(13,6),0.00826812 # DEPENDENCYPART_ARC
(13,7),-0.14097 # DEPENDENCYPART_ARC
(13,8),1.69348 # DEPENDENCYPART_ARC
(13,9),-2.31139 # DEPENDENCYPART_ARC
(13,10),1.1117 # DEPENDENCYPART_ARC
(13,11),2.90347 # DEPENDENCYPART_ARC
(13,12),3.18466 # DEPENDENCYPART_ARC
(13,14),0.243246 # DEPENDENCYPART_ARC
(13,16),-0.0538303 # DEPENDENCYPART_ARC
(13,17),-0.525993 # DEPENDENCYPART_ARC
(13,19),-1.28101 # DEPENDENCYPART_ARC
(13,20),-0.149485 # DEPENDENCYPART_ARC
(13,21),-1.04517 # DEPENDENCYPART_ARC
(13,22),-0.0372943 # DEPENDENCYPART_ARC
(13,24),-1.45799 # DEPENDENCYPART_ARC
(13,25),-1.59881 # DEPENDENCYPART_ARC
(13,26),0.395679 # DEPENDENCYPART_ARC
(15,14),-0.549216 # DEPENDENCYPART_ARC
(15,19),-1.25334 # DEPENDENCYPART_ARC
(16,7),-1.41815 # DEPENDENCYPART_ARC
(16,13),-1.82462 # DEPENDENCYPART_ARC
(16,15),1.91579 # DEPENDENCYPART_ARC
(16,19),-1.47649 # DEPENDENCYPART_ARC
(16,21),-1.66827 # DEPENDENCYPART_ARC
(16,25),-2.19841 # DEPENDENCYPART_ARC
(17,1),-0.464865 # DEPENDENCYPART_ARC
(17,2),-0.787104 # DEPENDENCYPART_ARC
(17,3),0.657953 # DEPENDENCYPART_ARC
(17,4),-0.569504 # DEPENDENCYPART_ARC
(17,5),1.31744 # DEPENDENCYPART_ARC
(17,6),0.887799 # DEPENDENCYPART_ARC
(17,7),-0.834793 # DEPENDENCYPART_ARC
(17,8),0.471651 # DEPENDENCYPART_ARC
(17,9),0.0495354 # DEPENDENCYPART_ARC
(17,10),-0.027379 # DEPENDENCYPART_ARC
(17,11),1.06935 # DEPENDENCYPART_ARC
(17,12),-0.562968 # DEPENDENCYPART_ARC
(17,13),1.69668 # DEPENDENCYPART_ARC
(17,14),1.66375 # DEPENDENCYPART_ARC
(17,15),-0.183188 # DEPENDENCYPART_ARC
(17,16),3.85864 # DEPENDENCYPART_ARC
(17,18),-0.348488 # DEPENDENCYPART_ARC
(17,19),2.81547 # DEPENDENCYPART_ARC
(17,20),0.441789 # DEPENDENCYPART_ARC
(17,21),1.85715 # DEPENDENCYPART_ARC
(17,22),1.00652 # DEPENDENCYPART_ARC
(17,24),-1.01107 # DEPENDENCYPART_ARC
(17,25),0.508012 # DEPENDENCYPART_ARC
(17,26),1.09434 # DEPENDENCYPART_ARC
(19,2),-2.0253 # DEPENDENCYPART_ARC
(19,12),-1.83821 # DEPENDENCYPART_ARC
(19,15),-1.57349 # DEPENDENCYPART_ARC
(19,16),-1.97206 # DEPENDENCYPART_ARC
(19,18),1.735 # DEPENDENCYPART_ARC
(19,20),-0.384827 # DEPENDENCYPART_ARC
(19,21),-0.699264 # DEPENDENCYPART_ARC
(19,22),-0.3087 # DEPENDENCYPART_ARC
(19,24),-1.0822 # DEPENDENCYPART_ARC
(19,25),-1.42388 # DEPENDENCYPART_ARC
(21,15),-1.00101 # DEPENDENCYPART_ARC
(21,16),-2.13051 # DEPENDENCYPART_ARC
(21,18),0.920063 # DEPENDENCYPART_ARC
(21,19),-0.402203 # DEPENDENCYPART_ARC
(21,20),1.06653 # DEPENDENCYPART_ARC
(21,22),0.987164 # DEPENDENCYPART_ARC
(21,23),-0.454107 # DEPENDENCYPART_ARC
(21,24),0.0748378 # DEPENDENCYPART_ARC
(21,25),0.0504757 # DEPENDENCYPART_ARC
(21,26),0.28647 # DEPENDENCYPART_ARC
(23,20),-0.0187229 # DEPENDENCYPART_ARC
(23,21),-0.40054 # DEPENDENCYPART_ARC
(23,22),0.00779044 # DEPENDENCYPART_ARC
(23,24),-0.0796817 # DEPENDENCYPART_ARC
(23,25),-0.418283 # DEPENDENCYPART_ARC
(23,26),-0.823189 # DEPENDENCYPART_ARC
(24,12),-2.68767 # DEPENDENCYPART_ARC
(24,15),-1.941 # DEPENDENCYPART_ARC
(24,16),-2.65261 # DEPENDENCYPART_ARC
(24,18),-0.351645 # DEPENDENCYPART_ARC
(24,19),-2.39554 # DEPENDENCYPART_ARC
(24,20),-0.846114 # DEPENDENCYPART_ARC
(24,21),-0.947195 # DEPENDENCYPART_ARC
(24,22),-0.727222 # DEPENDENCYPART_ARC
(24,23),1.23223 # DEPENDENCYPART_ARC
(25,3),-1.54793 # DEPENDENCYPART_ARC
(25,8),-0.847936 # DEPENDENCYPART_ARC
(25,11),-1.41087 # DEPENDENCYPART_ARC
(25,12),-2.23584 # DEPENDENCYPART_ARC
(25,13),-3.90369 # DEPENDENCYPART_ARC
(25,14),-0.782117 # DEPENDENCYPART_ARC
(25,15),-1.91816 # DEPENDENCYPART_ARC
(25,16),-1.82733 # DEPENDENCYPART_ARC
(25,18),-0.057296 # DEPENDENCYPART_ARC
(25,19),0.0827799 # DEPENDENCYPART_ARC
(25,20),0.515248 # DEPENDENCYPART_ARC
(25,21),1.22109 # DEPENDENCYPART_ARC
(25,22),0.677142 # DEPENDENCYPART_ARC
(25,23),1.66659 # DEPENDENCYPART_ARC
(25,24),4.24814 # DEPENDENCYPART_ARC
(25,26),-0.0875541 # DEPENDENCYPART_ARC
