# _root_ A szóvivő valószínűtlennek tartotta , hogy Arkan tudva a körözéséről , átlépte volna a magyar határt .
#goldHeads=2,4,4,0,4,4,12,12,10,8,12,4,12,16,16,12,4,
#predictedHeads=2,4,4,0,4,4,8,12,10,8,12,4,12,16,16,12,4,
(6,13),-0.205542 # DEPENDENCYPART_ARC
(6,16),-2.38937 # DEPENDENCYPART_ARC
(6,17),1.66458 # DEPENDENCYPART_ARC
(7,2),-2.95972 # DEPENDENCYPART_ARC
(7,3),-3.79885 # DEPENDENCYPART_ARC
(7,4),-1.29001 # DEPENDENCYPART_ARC
(7,5),-1.17321 # DEPENDENCYPART_ARC
(7,6),-1.42698 # DEPENDENCYPART_ARC
(7,8),-0.712385 # DEPENDENCYPART_ARC
(7,10),-1.88717 # DEPENDENCYPART_ARC
(7,11),-0.176128 # DEPENDENCYPART_ARC
(7,12),-0.845574 # DEPENDENCYPART_ARC
(7,16),-1.82184 # DEPENDENCYPART_ARC
(7,17),0.128518 # DEPENDENCYPART_ARC
(8,2),0.563764 # DEPENDENCYPART_ARC
(8,3),0.631922 # DEPENDENCYPART_ARC
(8,5),1.09345 # DEPENDENCYPART_ARC
(8,7),1.69659 # DEPENDENCYPART_ARC
(8,10),1.24436 # DEPENDENCYPART_ARC
(8,11),0.993135 # DEPENDENCYPART_ARC
(8,12),0.67229 # DEPENDENCYPART_ARC
(8,16),0.202554 # DEPENDENCYPART_ARC
(8,17),0.982461 # DEPENDENCYPART_ARC
(9,11),-0.406839 # DEPENDENCYPART_ARC
(10,1),-2.31997 # DEPENDENCYPART_ARC
(10,2),-1.06536 # DEPENDENCYPART_ARC
(10,4),-1.675 # DEPENDENCYPART_ARC
(10,5),-0.799657 # DEPENDENCYPART_ARC
(10,6),-1.36831 # DEPENDENCYPART_ARC
(10,7),0.0765901 # DEPENDENCYPART_ARC
(10,8),-0.482072 # DEPENDENCYPART_ARC
(10,9),2.11822 # DEPENDENCYPART_ARC
(10,11),-0.119112 # DEPENDENCYPART_ARC
(10,12),-0.30566 # DEPENDENCYPART_ARC
(10,16),-1.91058 # DEPENDENCYPART_ARC
(10,17),-0.0373348 # DEPENDENCYPART_ARC
(12,2),-0.833284 # DEPENDENCYPART_ARC
(12,3),-0.156314 # DEPENDENCYPART_ARC
(12,4),-0.0855452 # DEPENDENCYPART_ARC
(12,5),0.616498 # DEPENDENCYPART_ARC
(12,6),0.243047 # DEPENDENCYPART_ARC
(12,7),0.871252 # DEPENDENCYPART_ARC
(12,8),1.22504 # DEPENDENCYPART_ARC
(12,9),-1.21803 # DEPENDENCYPART_ARC
(12,10),0.51722 # DEPENDENCYPART_ARC
(12,11),1.24218 # DEPENDENCYPART_ARC
(12,13),3.98596 # DEPENDENCYPART_ARC
(12,14),-0.352304 # DEPENDENCYPART_ARC
(12,15),-0.319849 # DEPENDENCYPART_ARC
(12,16),2.41182 # DEPENDENCYPART_ARC
(12,17),2.43771 # DEPENDENCYPART_ARC
(13,2),-2.05598 # DEPENDENCYPART_ARC
(13,4),-1.30653 # DEPENDENCYPART_ARC
(13,5),-0.318243 # DEPENDENCYPART_ARC
(13,6),-0.355782 # DEPENDENCYPART_ARC
(13,8),0.40712 # DEPENDENCYPART_ARC
(13,10),-0.680453 # DEPENDENCYPART_ARC
(13,11),-0.0647597 # DEPENDENCYPART_ARC
(13,12),0.712884 # DEPENDENCYPART_ARC
(13,15),-0.825851 # DEPENDENCYPART_ARC
(13,16),0.145197 # DEPENDENCYPART_ARC
(13,17),0.191345 # DEPENDENCYPART_ARC
(14,15),0.248861 # DEPENDENCYPART_ARC
(15,4),-2.86265 # DEPENDENCYPART_ARC
(15,7),-3.97859 # DEPENDENCYPART_ARC
(15,10),-2.94604 # DEPENDENCYPART_ARC
(15,14),0.0301739 # DEPENDENCYPART_ARC
(16,2),-2.9772 # DEPENDENCYPART_ARC
(16,3),-3.59274 # DEPENDENCYPART_ARC
(16,4),-1.68855 # DEPENDENCYPART_ARC
(16,5),-1.7261 # DEPENDENCYPART_ARC
(16,6),-1.26207 # DEPENDENCYPART_ARC
(16,7),-2.68432 # DEPENDENCYPART_ARC
(16,8),-1.34363 # DEPENDENCYPART_ARC
(16,9),-0.933828 # DEPENDENCYPART_ARC
(16,10),-4.7384 # DEPENDENCYPART_ARC
(16,11),-1.53538 # DEPENDENCYPART_ARC
(16,12),-0.870439 # DEPENDENCYPART_ARC
(16,14),2.20303 # DEPENDENCYPART_ARC
(16,15),3.45725 # DEPENDENCYPART_ARC
(16,17),-0.464071 # DEPENDENCYPART_ARC
