# _root_ És van egy elvem , ami lehet , hogy sokak szemében nem lesz szimpatikus : nem szeretnék semminek a mártírja lenni .
#goldHeads=0,1,4,2,2,7,2,7,7,11,13,13,7,13,1,17,1,17,20,21,17,1,
#predictedHeads=2,0,4,2,2,7,2,7,7,11,13,13,9,13,13,17,13,17,20,21,17,2,
(11,6),-1.58058 # DEPENDENCYPART_ARC
(11,7),-2.81896 # DEPENDENCYPART_ARC
(11,8),0.239552 # DEPENDENCYPART_ARC
(11,9),-0.133293 # DEPENDENCYPART_ARC
(11,10),2.97369 # DEPENDENCYPART_ARC
(12,7),-0.281243 # DEPENDENCYPART_ARC
(12,8),-0.302176 # DEPENDENCYPART_ARC
(12,9),-0.540965 # DEPENDENCYPART_ARC
(12,11),0.460889 # DEPENDENCYPART_ARC
(12,14),-0.20605 # DEPENDENCYPART_ARC
(12,15),0.0493684 # DEPENDENCYPART_ARC
(12,17),-0.937278 # DEPENDENCYPART_ARC
(12,21),-0.947165 # DEPENDENCYPART_ARC
(13,1),0.369736 # DEPENDENCYPART_ARC
(13,2),-0.998236 # DEPENDENCYPART_ARC
(13,3),-0.879983 # DEPENDENCYPART_ARC
(13,4),0.0259904 # DEPENDENCYPART_ARC
(13,5),-0.0294796 # DEPENDENCYPART_ARC
(13,6),0.0835841 # DEPENDENCYPART_ARC
(13,7),-0.761848 # DEPENDENCYPART_ARC
(13,8),0.527245 # DEPENDENCYPART_ARC
(13,9),-0.231575 # DEPENDENCYPART_ARC
(13,10),-0.116428 # DEPENDENCYPART_ARC
(13,11),2.79047 # DEPENDENCYPART_ARC
(13,12),3.02345 # DEPENDENCYPART_ARC
(13,14),2.07515 # DEPENDENCYPART_ARC
(13,15),1.52429 # DEPENDENCYPART_ARC
(13,16),0.606018 # DEPENDENCYPART_ARC
(13,17),1.43145 # DEPENDENCYPART_ARC
(13,18),-0.165388 # DEPENDENCYPART_ARC
(13,19),-0.899199 # DEPENDENCYPART_ARC
(13,20),-0.556139 # DEPENDENCYPART_ARC
(13,21),1.51198 # DEPENDENCYPART_ARC
(13,22),1.79695 # DEPENDENCYPART_ARC
(14,1),-0.907262 # DEPENDENCYPART_ARC
(14,2),-2.00967 # DEPENDENCYPART_ARC
(14,4),-3.0462 # DEPENDENCYPART_ARC
(14,5),-0.910646 # DEPENDENCYPART_ARC
(14,6),-2.07266 # DEPENDENCYPART_ARC
(14,8),-0.624809 # DEPENDENCYPART_ARC
(14,10),-1.12731 # DEPENDENCYPART_ARC
(14,11),-0.405715 # DEPENDENCYPART_ARC
(14,12),-0.233353 # DEPENDENCYPART_ARC
(14,13),-0.249849 # DEPENDENCYPART_ARC
(14,15),0.52622 # DEPENDENCYPART_ARC
(14,16),-0.151505 # DEPENDENCYPART_ARC
(14,17),0.485979 # DEPENDENCYPART_ARC
(14,18),-0.865134 # DEPENDENCYPART_ARC
(14,20),-1.21322 # DEPENDENCYPART_ARC
(14,21),-0.502465 # DEPENDENCYPART_ARC
(14,22),0.912929 # DEPENDENCYPART_ARC
(16,12),-1.09454 # DEPENDENCYPART_ARC
(16,13),-0.728678 # DEPENDENCYPART_ARC
(16,14),-1.3271 # DEPENDENCYPART_ARC
(16,15),-0.67731 # DEPENDENCYPART_ARC
(16,20),-1.33098 # DEPENDENCYPART_ARC
(16,21),-0.692496 # DEPENDENCYPART_ARC
(17,1),0.301567 # DEPENDENCYPART_ARC
(17,2),-0.36039 # DEPENDENCYPART_ARC
(17,4),-1.19969 # DEPENDENCYPART_ARC
(17,5),0.346186 # DEPENDENCYPART_ARC
(17,6),-0.643206 # DEPENDENCYPART_ARC
(17,7),-0.0186093 # DEPENDENCYPART_ARC
(17,8),0.633154 # DEPENDENCYPART_ARC
(17,9),0.318333 # DEPENDENCYPART_ARC
(17,10),-1.26408 # DEPENDENCYPART_ARC
(17,11),0.991642 # DEPENDENCYPART_ARC
(17,12),0.889959 # DEPENDENCYPART_ARC
(17,13),0.789566 # DEPENDENCYPART_ARC
(17,14),-0.375689 # DEPENDENCYPART_ARC
(17,15),0.429254 # DEPENDENCYPART_ARC
(17,16),2.84694 # DEPENDENCYPART_ARC
(17,18),1.50453 # DEPENDENCYPART_ARC
(17,19),0.2547 # DEPENDENCYPART_ARC
(17,20),0.57463 # DEPENDENCYPART_ARC
(17,21),2.67935 # DEPENDENCYPART_ARC
(17,22),2.62225 # DEPENDENCYPART_ARC
(20,16),-0.893817 # DEPENDENCYPART_ARC
(20,18),-0.421635 # DEPENDENCYPART_ARC
(20,19),1.68003 # DEPENDENCYPART_ARC
(21,1),-1.32568 # DEPENDENCYPART_ARC
(21,2),-1.36821 # DEPENDENCYPART_ARC
(21,4),-2.35855 # DEPENDENCYPART_ARC
(21,5),-0.585935 # DEPENDENCYPART_ARC
(21,6),-0.879994 # DEPENDENCYPART_ARC
(21,7),-1.21406 # DEPENDENCYPART_ARC
(21,8),-0.334009 # DEPENDENCYPART_ARC
(21,9),-0.718412 # DEPENDENCYPART_ARC
(21,10),-0.729185 # DEPENDENCYPART_ARC
(21,11),1.40516 # DEPENDENCYPART_ARC
(21,12),-0.125582 # DEPENDENCYPART_ARC
(21,13),-0.512564 # DEPENDENCYPART_ARC
(21,14),-0.206405 # DEPENDENCYPART_ARC
(21,15),-0.493751 # DEPENDENCYPART_ARC
(21,16),1.1663 # DEPENDENCYPART_ARC
(21,17),-0.287846 # DEPENDENCYPART_ARC
(21,18),1.14193 # DEPENDENCYPART_ARC
(21,19),0.136079 # DEPENDENCYPART_ARC
(21,20),2.99248 # DEPENDENCYPART_ARC
(21,22),0.967273 # DEPENDENCYPART_ARC
