# _root_ Drága mulatság a washoku , de a legfinomabb alapanyagokból készítik , és elképesztő dúskálást lehet vele csapni .
#goldHeads=2,12,4,2,12,12,9,9,10,12,12,0,14,17,12,17,15,12,
#predictedHeads=2,10,4,10,6,10,9,9,10,12,12,0,14,17,12,17,15,12,
(6,15),0.591053 # DEPENDENCYPART_ARC
(6,17),0.285712 # DEPENDENCYPART_ARC
(6,18),2.57465 # DEPENDENCYPART_ARC
(7,6),-0.23202 # DEPENDENCYPART_ARC
(7,8),0.0756372 # DEPENDENCYPART_ARC
(8,2),-4.2238 # DEPENDENCYPART_ARC
(8,3),-1.16236 # DEPENDENCYPART_ARC
(8,4),-1.12252 # DEPENDENCYPART_ARC
(8,7),0.989557 # DEPENDENCYPART_ARC
(9,1),-0.363727 # DEPENDENCYPART_ARC
(9,2),-2.08459 # DEPENDENCYPART_ARC
(9,3),0.0657033 # DEPENDENCYPART_ARC
(9,4),0.0255756 # DEPENDENCYPART_ARC
(9,5),-0.193199 # DEPENDENCYPART_ARC
(9,6),0.198839 # DEPENDENCYPART_ARC
(9,7),2.45602 # DEPENDENCYPART_ARC
(9,8),3.76208 # DEPENDENCYPART_ARC
(9,14),-2.54114 # DEPENDENCYPART_ARC
(9,15),-2.14329 # DEPENDENCYPART_ARC
(9,17),-1.4806 # DEPENDENCYPART_ARC
(10,1),-0.548502 # DEPENDENCYPART_ARC
(10,2),1.42506 # DEPENDENCYPART_ARC
(10,3),-0.32102 # DEPENDENCYPART_ARC
(10,4),0.780727 # DEPENDENCYPART_ARC
(10,5),0.930662 # DEPENDENCYPART_ARC
(10,6),1.4717 # DEPENDENCYPART_ARC
(10,7),-0.0899059 # DEPENDENCYPART_ARC
(10,8),0.976583 # DEPENDENCYPART_ARC
(10,9),4.10036 # DEPENDENCYPART_ARC
(10,11),1.57687 # DEPENDENCYPART_ARC
(10,12),0.805405 # DEPENDENCYPART_ARC
(10,13),-0.51149 # DEPENDENCYPART_ARC
(10,14),-0.362919 # DEPENDENCYPART_ARC
(10,15),1.24577 # DEPENDENCYPART_ARC
(10,16),-0.0232424 # DEPENDENCYPART_ARC
(10,17),0.84272 # DEPENDENCYPART_ARC
(10,18),1.84156 # DEPENDENCYPART_ARC
(12,1),-0.609377 # DEPENDENCYPART_ARC
(12,2),-0.719029 # DEPENDENCYPART_ARC
(12,4),0.0203498 # DEPENDENCYPART_ARC
(12,5),1.34785 # DEPENDENCYPART_ARC
(12,6),0.985382 # DEPENDENCYPART_ARC
(12,7),-0.868765 # DEPENDENCYPART_ARC
(12,8),-0.343066 # DEPENDENCYPART_ARC
(12,9),-0.52246 # DEPENDENCYPART_ARC
(12,10),2.13195 # DEPENDENCYPART_ARC
(12,11),2.5552 # DEPENDENCYPART_ARC
(12,13),0.355961 # DEPENDENCYPART_ARC
(12,14),0.120219 # DEPENDENCYPART_ARC
(12,15),1.9747 # DEPENDENCYPART_ARC
(12,16),0.0587705 # DEPENDENCYPART_ARC
(12,17),1.14783 # DEPENDENCYPART_ARC
(12,18),3.48538 # DEPENDENCYPART_ARC
(13,7),-1.50016 # DEPENDENCYPART_ARC
(13,9),-1.13869 # DEPENDENCYPART_ARC
(13,10),-0.872346 # DEPENDENCYPART_ARC
(13,11),-0.181216 # DEPENDENCYPART_ARC
(13,12),0.182541 # DEPENDENCYPART_ARC
(13,17),-1.19081 # DEPENDENCYPART_ARC
(13,18),-0.592894 # DEPENDENCYPART_ARC
(14,1),-0.714937 # DEPENDENCYPART_ARC
(14,2),-2.59464 # DEPENDENCYPART_ARC
(14,3),-0.653293 # DEPENDENCYPART_ARC
(14,4),0.0148247 # DEPENDENCYPART_ARC
(14,5),-0.546446 # DEPENDENCYPART_ARC
(14,6),-0.11142 # DEPENDENCYPART_ARC
(14,7),0.469539 # DEPENDENCYPART_ARC
(14,8),1.09105 # DEPENDENCYPART_ARC
(14,9),-3.29065 # DEPENDENCYPART_ARC
(14,10),-0.499141 # DEPENDENCYPART_ARC
(14,11),0.556772 # DEPENDENCYPART_ARC
(14,12),1.2879 # DEPENDENCYPART_ARC
(14,13),3.45347 # DEPENDENCYPART_ARC
(14,15),-0.717992 # DEPENDENCYPART_ARC
(14,17),-0.664472 # DEPENDENCYPART_ARC
(14,18),-0.236859 # DEPENDENCYPART_ARC
(15,1),-1.9238 # DEPENDENCYPART_ARC
(15,2),0.072422 # DEPENDENCYPART_ARC
(15,3),-1.51501 # DEPENDENCYPART_ARC
(15,4),-0.489703 # DEPENDENCYPART_ARC
(15,5),0.0814015 # DEPENDENCYPART_ARC
(15,6),0.926351 # DEPENDENCYPART_ARC
(15,7),-1.5451 # DEPENDENCYPART_ARC
(15,8),-0.978989 # DEPENDENCYPART_ARC
(15,9),0.373074 # DEPENDENCYPART_ARC
(15,10),-0.591477 # DEPENDENCYPART_ARC
(15,11),0.575842 # DEPENDENCYPART_ARC
(15,12),0.297106 # DEPENDENCYPART_ARC
(15,13),0.105412 # DEPENDENCYPART_ARC
(15,14),1.93568 # DEPENDENCYPART_ARC
(15,16),2.05015 # DEPENDENCYPART_ARC
(15,17),3.48862 # DEPENDENCYPART_ARC
(15,18),1.89937 # DEPENDENCYPART_ARC
(16,10),-1.14305 # DEPENDENCYPART_ARC
(16,11),-0.983976 # DEPENDENCYPART_ARC
(16,12),-0.726894 # DEPENDENCYPART_ARC
(16,13),-0.525033 # DEPENDENCYPART_ARC
(16,14),-0.41214 # DEPENDENCYPART_ARC
(16,15),-0.0739743 # DEPENDENCYPART_ARC
(16,17),-0.371088 # DEPENDENCYPART_ARC
(16,18),-1.25653 # DEPENDENCYPART_ARC
(17,1),-0.866563 # DEPENDENCYPART_ARC
(17,2),-0.531865 # DEPENDENCYPART_ARC
(17,3),-0.78781 # DEPENDENCYPART_ARC
(17,4),0.0463285 # DEPENDENCYPART_ARC
(17,5),0.509589 # DEPENDENCYPART_ARC
(17,6),-0.0443678 # DEPENDENCYPART_ARC
(17,7),-0.945852 # DEPENDENCYPART_ARC
(17,8),-0.569081 # DEPENDENCYPART_ARC
(17,9),1.9323 # DEPENDENCYPART_ARC
(17,10),-0.858345 # DEPENDENCYPART_ARC
(17,11),0.774493 # DEPENDENCYPART_ARC
(17,12),-0.284182 # DEPENDENCYPART_ARC
(17,13),0.438042 # DEPENDENCYPART_ARC
(17,14),3.38452 # DEPENDENCYPART_ARC
(17,15),0.486419 # DEPENDENCYPART_ARC
(17,16),3.10356 # DEPENDENCYPART_ARC
(17,18),0.71736 # DEPENDENCYPART_ARC
