# _root_ Στο σημείο των εκβολών του , στο Ιόνιο , δημιουργείται το δέλτα του ποταμού .
#goldHeads=6,1,4,2,4,10,6,7,10,0,12,10,14,12,0,
#predictedHeads=10,1,4,2,4,10,10,7,10,0,12,10,14,12,0,
(11,5),-1.61994 # DEPENDENCYPART_ARC
(11,6),-1.59126 # DEPENDENCYPART_ARC
(11,7),-1.38935 # DEPENDENCYPART_ARC
(11,8),-1.55038 # DEPENDENCYPART_ARC
(11,9),-1.10548 # DEPENDENCYPART_ARC
(11,10),-1.89724 # DEPENDENCYPART_ARC
(11,12),0.0953385 # DEPENDENCYPART_ARC
(11,13),-0.995867 # DEPENDENCYPART_ARC
(11,14),-0.94251 # DEPENDENCYPART_ARC
(11,15),-0.647302 # DEPENDENCYPART_ARC
(12,1),-1.5493 # DEPENDENCYPART_ARC
(12,2),-2.04242 # DEPENDENCYPART_ARC
(12,3),-2.45593 # DEPENDENCYPART_ARC
(12,4),-3.58236 # DEPENDENCYPART_ARC
(12,5),-1.81769 # DEPENDENCYPART_ARC
(12,6),-1.05615 # DEPENDENCYPART_ARC
(12,7),-0.936344 # DEPENDENCYPART_ARC
(12,8),-1.07681 # DEPENDENCYPART_ARC
(12,9),-0.605626 # DEPENDENCYPART_ARC
(12,10),-0.517976 # DEPENDENCYPART_ARC
(12,11),3.76192 # DEPENDENCYPART_ARC
(12,13),-0.165423 # DEPENDENCYPART_ARC
(12,14),2.54123 # DEPENDENCYPART_ARC
(12,15),0.412197 # DEPENDENCYPART_ARC
(13,1),-1.84508 # DEPENDENCYPART_ARC
(13,2),-2.53868 # DEPENDENCYPART_ARC
(13,3),-1.90434 # DEPENDENCYPART_ARC
(13,4),-2.33592 # DEPENDENCYPART_ARC
(13,5),-1.34839 # DEPENDENCYPART_ARC
(13,6),-1.37141 # DEPENDENCYPART_ARC
(13,7),-1.63088 # DEPENDENCYPART_ARC
(13,8),-2.25074 # DEPENDENCYPART_ARC
(13,9),-1.21394 # DEPENDENCYPART_ARC
(13,10),-2.33611 # DEPENDENCYPART_ARC
(13,11),-0.317235 # DEPENDENCYPART_ARC
(13,12),-0.77055 # DEPENDENCYPART_ARC
(13,14),0.157321 # DEPENDENCYPART_ARC
(13,15),-0.454456 # DEPENDENCYPART_ARC
(14,1),-2.42281 # DEPENDENCYPART_ARC
(14,2),-3.68495 # DEPENDENCYPART_ARC
(14,3),-2.55969 # DEPENDENCYPART_ARC
(14,4),-3.19832 # DEPENDENCYPART_ARC
(14,5),-0.991856 # DEPENDENCYPART_ARC
(14,6),-1.09408 # DEPENDENCYPART_ARC
(14,7),-2.00405 # DEPENDENCYPART_ARC
(14,8),-3.03374 # DEPENDENCYPART_ARC
(14,9),-0.827093 # DEPENDENCYPART_ARC
(14,10),-1.16195 # DEPENDENCYPART_ARC
(14,11),0.586882 # DEPENDENCYPART_ARC
(14,12),-0.182232 # DEPENDENCYPART_ARC
(14,13),3.22551 # DEPENDENCYPART_ARC
(14,15),0.239885 # DEPENDENCYPART_ARC
(15,1),-3.06246 # DEPENDENCYPART_ARC
(15,2),-2.58969 # DEPENDENCYPART_ARC
(15,3),-2.26224 # DEPENDENCYPART_ARC
(15,4),-2.48144 # DEPENDENCYPART_ARC
(15,5),-2.2206 # DEPENDENCYPART_ARC
(15,6),-2.05219 # DEPENDENCYPART_ARC
(15,7),-2.21025 # DEPENDENCYPART_ARC
(15,8),-2.35097 # DEPENDENCYPART_ARC
(15,9),-1.86662 # DEPENDENCYPART_ARC
(15,10),-2.00396 # DEPENDENCYPART_ARC
(15,11),-1.70247 # DEPENDENCYPART_ARC
(15,12),-1.82246 # DEPENDENCYPART_ARC
(15,13),-1.46072 # DEPENDENCYPART_ARC
(15,14),-1.76991 # DEPENDENCYPART_ARC
