# _root_ Τα τελευταία χρόνια , η δημιουργία Συνεδριακού Κέντρου , δυναμικότητας 1000 συνέδρων έδωσε σημαντική ώθηση στην τουριστική ανάπτυξη της περιοχής .
#goldHeads=3,3,13,13,6,13,8,6,13,8,12,10,0,15,13,13,18,16,20,18,0,
#predictedHeads=3,3,4,13,6,13,8,6,13,8,12,10,0,15,13,13,18,16,20,18,0,
(2,3),0.378625 # DEPENDENCYPART_ARC
(2,4),-0.329187 # DEPENDENCYPART_ARC
(2,5),-1.33139 # DEPENDENCYPART_ARC
(2,6),-0.876465 # DEPENDENCYPART_ARC
(2,7),-0.723155 # DEPENDENCYPART_ARC
(2,8),-0.254007 # DEPENDENCYPART_ARC
(2,9),-0.620152 # DEPENDENCYPART_ARC
(2,10),-0.752747 # DEPENDENCYPART_ARC
(2,11),-0.660599 # DEPENDENCYPART_ARC
(2,12),-1.39848 # DEPENDENCYPART_ARC
(2,13),-2.42249 # DEPENDENCYPART_ARC
(2,14),-2.88484 # DEPENDENCYPART_ARC
(2,15),-2.5656 # DEPENDENCYPART_ARC
(2,16),-1.98786 # DEPENDENCYPART_ARC
(2,17),-2.8863 # DEPENDENCYPART_ARC
(2,18),-2.94933 # DEPENDENCYPART_ARC
(2,19),-2.42643 # DEPENDENCYPART_ARC
(2,20),-2.2696 # DEPENDENCYPART_ARC
(2,21),-1.35388 # DEPENDENCYPART_ARC
(3,1),4.06671 # DEPENDENCYPART_ARC
(3,2),4.11497 # DEPENDENCYPART_ARC
(3,4),0.124706 # DEPENDENCYPART_ARC
(3,5),-0.853499 # DEPENDENCYPART_ARC
(3,6),-0.557126 # DEPENDENCYPART_ARC
(3,7),-0.57504 # DEPENDENCYPART_ARC
(3,8),0.165653 # DEPENDENCYPART_ARC
(3,9),-0.228308 # DEPENDENCYPART_ARC
(3,10),-0.885438 # DEPENDENCYPART_ARC
(3,11),-0.676649 # DEPENDENCYPART_ARC
(3,12),-1.4489 # DEPENDENCYPART_ARC
(3,13),-1.98285 # DEPENDENCYPART_ARC
(3,14),-1.63309 # DEPENDENCYPART_ARC
(3,15),-3.26169 # DEPENDENCYPART_ARC
(3,16),-2.46053 # DEPENDENCYPART_ARC
(3,17),-1.65603 # DEPENDENCYPART_ARC
(3,18),-3.46363 # DEPENDENCYPART_ARC
(3,19),-2.46779 # DEPENDENCYPART_ARC
(3,20),-2.50848 # DEPENDENCYPART_ARC
(3,21),0.0147789 # DEPENDENCYPART_ARC
(4,1),-0.0110181 # DEPENDENCYPART_ARC
(4,2),0.00158159 # DEPENDENCYPART_ARC
(4,3),0.669602 # DEPENDENCYPART_ARC
(4,5),-0.0359806 # DEPENDENCYPART_ARC
(4,6),0.450414 # DEPENDENCYPART_ARC
(4,7),-0.0154907 # DEPENDENCYPART_ARC
(4,8),0.354277 # DEPENDENCYPART_ARC
(4,9),0.107537 # DEPENDENCYPART_ARC
(4,10),-0.34883 # DEPENDENCYPART_ARC
(4,11),-0.146434 # DEPENDENCYPART_ARC
(4,12),-0.612469 # DEPENDENCYPART_ARC
(4,13),-0.167632 # DEPENDENCYPART_ARC
(4,14),-0.956052 # DEPENDENCYPART_ARC
(4,15),-1.19664 # DEPENDENCYPART_ARC
(4,16),-0.145547 # DEPENDENCYPART_ARC
(4,17),-1.12365 # DEPENDENCYPART_ARC
(4,18),-1.07409 # DEPENDENCYPART_ARC
(4,19),-1.26821 # DEPENDENCYPART_ARC
(4,20),-1.39095 # DEPENDENCYPART_ARC
(4,21),-0.352718 # DEPENDENCYPART_ARC
(5,1),-1.32341 # DEPENDENCYPART_ARC
(5,2),-2.37552 # DEPENDENCYPART_ARC
(5,3),-1.63982 # DEPENDENCYPART_ARC
(5,4),-0.5233 # DEPENDENCYPART_ARC
(5,6),-0.240822 # DEPENDENCYPART_ARC
(5,7),-1.39333 # DEPENDENCYPART_ARC
(5,8),-0.63357 # DEPENDENCYPART_ARC
(5,9),-0.444565 # DEPENDENCYPART_ARC
(5,10),-1.01519 # DEPENDENCYPART_ARC
(5,11),-0.840849 # DEPENDENCYPART_ARC
(5,12),-1.45435 # DEPENDENCYPART_ARC
(5,13),-3.032 # DEPENDENCYPART_ARC
(5,14),-2.83553 # DEPENDENCYPART_ARC
(5,15),-2.1065 # DEPENDENCYPART_ARC
(5,16),-1.3398 # DEPENDENCYPART_ARC
(5,17),-2.89414 # DEPENDENCYPART_ARC
(5,18),-2.28568 # DEPENDENCYPART_ARC
(5,19),-1.89858 # DEPENDENCYPART_ARC
(5,20),-1.99978 # DEPENDENCYPART_ARC
(5,21),-1.25557 # DEPENDENCYPART_ARC
(6,1),-1.25051 # DEPENDENCYPART_ARC
(6,2),-1.84356 # DEPENDENCYPART_ARC
(6,3),-2.42827 # DEPENDENCYPART_ARC
(6,4),-0.327403 # DEPENDENCYPART_ARC
(6,5),2.95933 # DEPENDENCYPART_ARC
(6,7),0.682286 # DEPENDENCYPART_ARC
(6,8),2.81861 # DEPENDENCYPART_ARC
(6,9),0.731266 # DEPENDENCYPART_ARC
(6,10),1.22307 # DEPENDENCYPART_ARC
(6,11),0.65434 # DEPENDENCYPART_ARC
(6,12),0.645921 # DEPENDENCYPART_ARC
(6,13),-1.3225 # DEPENDENCYPART_ARC
(6,14),-1.90402 # DEPENDENCYPART_ARC
(6,15),-1.82983 # DEPENDENCYPART_ARC
(6,16),-0.3669 # DEPENDENCYPART_ARC
(6,17),-2.07301 # DEPENDENCYPART_ARC
(6,18),-2.17011 # DEPENDENCYPART_ARC
(6,19),-1.41962 # DEPENDENCYPART_ARC
(6,20),-1.10519 # DEPENDENCYPART_ARC
(6,21),0.402483 # DEPENDENCYPART_ARC
(7,1),0.0626491 # DEPENDENCYPART_ARC
(7,2),-1.34431 # DEPENDENCYPART_ARC
(7,3),-0.794182 # DEPENDENCYPART_ARC
(7,4),-0.172154 # DEPENDENCYPART_ARC
(7,5),0.370787 # DEPENDENCYPART_ARC
(7,6),0.216972 # DEPENDENCYPART_ARC
(7,8),1.09434 # DEPENDENCYPART_ARC
(7,9),-0.289506 # DEPENDENCYPART_ARC
(7,10),-0.165294 # DEPENDENCYPART_ARC
(7,11),-0.432792 # DEPENDENCYPART_ARC
(7,12),-0.535935 # DEPENDENCYPART_ARC
(7,13),-2.15089 # DEPENDENCYPART_ARC
(7,14),-2.46231 # DEPENDENCYPART_ARC
(7,15),-2.48227 # DEPENDENCYPART_ARC
(7,16),-2.0677 # DEPENDENCYPART_ARC
(7,17),-2.50188 # DEPENDENCYPART_ARC
(7,18),-2.74544 # DEPENDENCYPART_ARC
(7,19),-2.24935 # DEPENDENCYPART_ARC
(7,20),-2.54557 # DEPENDENCYPART_ARC
(7,21),-1.14394 # DEPENDENCYPART_ARC
(8,1),-0.876526 # DEPENDENCYPART_ARC
(8,2),-1.40813 # DEPENDENCYPART_ARC
(8,3),-2.68974 # DEPENDENCYPART_ARC
(8,4),-0.101122 # DEPENDENCYPART_ARC
(8,5),0.64357 # DEPENDENCYPART_ARC
(8,6),-0.224966 # DEPENDENCYPART_ARC
(8,7),3.17682 # DEPENDENCYPART_ARC
(8,9),-0.0581251 # DEPENDENCYPART_ARC
(8,10),1.56201 # DEPENDENCYPART_ARC
(8,11),-0.209752 # DEPENDENCYPART_ARC
(8,12),0.419845 # DEPENDENCYPART_ARC
(8,13),-1.31715 # DEPENDENCYPART_ARC
(8,14),-1.90263 # DEPENDENCYPART_ARC
(8,15),-2.05104 # DEPENDENCYPART_ARC
(8,16),-1.95503 # DEPENDENCYPART_ARC
(8,17),-2.08332 # DEPENDENCYPART_ARC
(8,18),-2.31166 # DEPENDENCYPART_ARC
(8,19),-1.89709 # DEPENDENCYPART_ARC
(8,20),-1.56019 # DEPENDENCYPART_ARC
(8,21),-0.727094 # DEPENDENCYPART_ARC
(9,1),-0.406458 # DEPENDENCYPART_ARC
(9,2),-0.214785 # DEPENDENCYPART_ARC
(9,3),0.599566 # DEPENDENCYPART_ARC
(9,4),0.251585 # DEPENDENCYPART_ARC
(9,5),-0.138972 # DEPENDENCYPART_ARC
(9,6),0.434975 # DEPENDENCYPART_ARC
(9,7),0.265896 # DEPENDENCYPART_ARC
(9,8),0.812412 # DEPENDENCYPART_ARC
(9,10),0.804673 # DEPENDENCYPART_ARC
(9,11),0.196946 # DEPENDENCYPART_ARC
(9,12),0.149641 # DEPENDENCYPART_ARC
(9,13),-0.119427 # DEPENDENCYPART_ARC
(9,14),-0.841599 # DEPENDENCYPART_ARC
(9,15),-0.952746 # DEPENDENCYPART_ARC
(9,16),-0.334452 # DEPENDENCYPART_ARC
(9,17),-1.03611 # DEPENDENCYPART_ARC
(9,18),-1.00268 # DEPENDENCYPART_ARC
(9,19),-1.22198 # DEPENDENCYPART_ARC
(9,20),-1.17392 # DEPENDENCYPART_ARC
(9,21),-0.16801 # DEPENDENCYPART_ARC
(10,1),-2.7032 # DEPENDENCYPART_ARC
(10,2),-3.4921 # DEPENDENCYPART_ARC
(10,3),-4.08872 # DEPENDENCYPART_ARC
(10,4),-1.31124 # DEPENDENCYPART_ARC
(10,5),0.219522 # DEPENDENCYPART_ARC
(10,6),-1.75634 # DEPENDENCYPART_ARC
(10,7),-0.71411 # DEPENDENCYPART_ARC
(10,8),-0.31251 # DEPENDENCYPART_ARC
(10,9),0.443825 # DEPENDENCYPART_ARC
(10,11),1.28619 # DEPENDENCYPART_ARC
(10,12),2.64352 # DEPENDENCYPART_ARC
(10,13),-0.509012 # DEPENDENCYPART_ARC
(10,14),-1.09163 # DEPENDENCYPART_ARC
(10,15),-0.840067 # DEPENDENCYPART_ARC
(10,16),-0.108686 # DEPENDENCYPART_ARC
(10,17),-1.62228 # DEPENDENCYPART_ARC
(10,18),-1.58713 # DEPENDENCYPART_ARC
(10,19),-0.949624 # DEPENDENCYPART_ARC
(10,20),-0.669488 # DEPENDENCYPART_ARC
(10,21),0.269894 # DEPENDENCYPART_ARC
(11,1),-0.218101 # DEPENDENCYPART_ARC
(11,2),-0.802325 # DEPENDENCYPART_ARC
(11,3),-1.14516 # DEPENDENCYPART_ARC
(11,4),-0.663496 # DEPENDENCYPART_ARC
(11,5),-0.048128 # DEPENDENCYPART_ARC
(11,6),-0.934154 # DEPENDENCYPART_ARC
(11,7),-0.500123 # DEPENDENCYPART_ARC
(11,8),-0.603981 # DEPENDENCYPART_ARC
(11,9),0.00785733 # DEPENDENCYPART_ARC
(11,10),0.131737 # DEPENDENCYPART_ARC
(11,12),0.47396 # DEPENDENCYPART_ARC
(11,13),-0.203211 # DEPENDENCYPART_ARC
(11,14),-0.8796 # DEPENDENCYPART_ARC
(11,15),-0.842013 # DEPENDENCYPART_ARC
(11,16),-0.995503 # DEPENDENCYPART_ARC
(11,17),-1.42302 # DEPENDENCYPART_ARC
(11,18),-1.41322 # DEPENDENCYPART_ARC
(11,19),-1.41803 # DEPENDENCYPART_ARC
(11,20),-1.44126 # DEPENDENCYPART_ARC
(11,21),-0.776931 # DEPENDENCYPART_ARC
(12,1),-1.52624 # DEPENDENCYPART_ARC
(12,2),-2.03407 # DEPENDENCYPART_ARC
(12,3),-2.5782 # DEPENDENCYPART_ARC
(12,4),-0.763817 # DEPENDENCYPART_ARC
(12,5),-0.580336 # DEPENDENCYPART_ARC
(12,6),-2.12254 # DEPENDENCYPART_ARC
(12,7),-1.51025 # DEPENDENCYPART_ARC
(12,8),-0.955596 # DEPENDENCYPART_ARC
(12,9),-0.0416644 # DEPENDENCYPART_ARC
(12,10),0.575943 # DEPENDENCYPART_ARC
(12,11),2.4037 # DEPENDENCYPART_ARC
(12,13),-1.52047 # DEPENDENCYPART_ARC
(12,14),-0.951516 # DEPENDENCYPART_ARC
(12,15),-1.46588 # DEPENDENCYPART_ARC
(12,16),-0.992807 # DEPENDENCYPART_ARC
(12,17),-1.70273 # DEPENDENCYPART_ARC
(12,18),-2.50464 # DEPENDENCYPART_ARC
(12,19),-1.9072 # DEPENDENCYPART_ARC
(12,20),-1.49242 # DEPENDENCYPART_ARC
(12,21),-0.597904 # DEPENDENCYPART_ARC
(13,1),-1.79743 # DEPENDENCYPART_ARC
(13,2),-2.03256 # DEPENDENCYPART_ARC
(13,3),-2.00131 # DEPENDENCYPART_ARC
(13,4),1.04481 # DEPENDENCYPART_ARC
(13,5),-2.02071 # DEPENDENCYPART_ARC
(13,6),1.19211 # DEPENDENCYPART_ARC
(13,7),-2.83251 # DEPENDENCYPART_ARC
(13,8),-1.89581 # DEPENDENCYPART_ARC
(13,9),1.222 # DEPENDENCYPART_ARC
(13,10),-0.889688 # DEPENDENCYPART_ARC
(13,11),0.824942 # DEPENDENCYPART_ARC
(13,12),-0.535198 # DEPENDENCYPART_ARC
(13,14),1.22018 # DEPENDENCYPART_ARC
(13,15),3.23951 # DEPENDENCYPART_ARC
(13,16),2.10483 # DEPENDENCYPART_ARC
(13,17),-0.790971 # DEPENDENCYPART_ARC
(13,18),1.0828 # DEPENDENCYPART_ARC
(13,19),-2.01924 # DEPENDENCYPART_ARC
(13,20),-1.544 # DEPENDENCYPART_ARC
(13,21),0.430387 # DEPENDENCYPART_ARC
(14,1),-0.818117 # DEPENDENCYPART_ARC
(14,2),-1.51177 # DEPENDENCYPART_ARC
(14,3),-1.68841 # DEPENDENCYPART_ARC
(14,4),-1.0872 # DEPENDENCYPART_ARC
(14,5),-0.887114 # DEPENDENCYPART_ARC
(14,6),-1.6683 # DEPENDENCYPART_ARC
(14,7),-0.961007 # DEPENDENCYPART_ARC
(14,8),-1.69248 # DEPENDENCYPART_ARC
(14,9),-0.724778 # DEPENDENCYPART_ARC
(14,10),-2.17312 # DEPENDENCYPART_ARC
(14,11),-0.0464507 # DEPENDENCYPART_ARC
(14,12),-1.69512 # DEPENDENCYPART_ARC
(14,13),-2.79635 # DEPENDENCYPART_ARC
(14,15),0.255754 # DEPENDENCYPART_ARC
(14,16),0.107902 # DEPENDENCYPART_ARC
(14,17),-1.46194 # DEPENDENCYPART_ARC
(14,18),-1.07707 # DEPENDENCYPART_ARC
(14,19),-0.871171 # DEPENDENCYPART_ARC
(14,20),-0.79527 # DEPENDENCYPART_ARC
(14,21),-0.156415 # DEPENDENCYPART_ARC
(15,1),-1.81894 # DEPENDENCYPART_ARC
(15,2),-1.76958 # DEPENDENCYPART_ARC
(15,3),-2.7858 # DEPENDENCYPART_ARC
(15,4),-0.999774 # DEPENDENCYPART_ARC
(15,5),-0.336795 # DEPENDENCYPART_ARC
(15,6),-1.48864 # DEPENDENCYPART_ARC
(15,7),-1.14379 # DEPENDENCYPART_ARC
(15,8),-1.56405 # DEPENDENCYPART_ARC
(15,9),-0.763158 # DEPENDENCYPART_ARC
(15,10),-0.662783 # DEPENDENCYPART_ARC
(15,11),0.294116 # DEPENDENCYPART_ARC
(15,12),-1.18758 # DEPENDENCYPART_ARC
(15,13),-1.11214 # DEPENDENCYPART_ARC
(15,14),3.68438 # DEPENDENCYPART_ARC
(15,16),1.51999 # DEPENDENCYPART_ARC
(15,17),0.0612686 # DEPENDENCYPART_ARC
(15,18),-0.235552 # DEPENDENCYPART_ARC
(15,19),-0.345345 # DEPENDENCYPART_ARC
(15,20),0.55973 # DEPENDENCYPART_ARC
(15,21),0.275667 # DEPENDENCYPART_ARC
(16,1),-1.38753 # DEPENDENCYPART_ARC
(16,2),-1.469 # DEPENDENCYPART_ARC
(16,3),-2.4091 # DEPENDENCYPART_ARC
(16,4),-0.92663 # DEPENDENCYPART_ARC
(16,5),-0.913155 # DEPENDENCYPART_ARC
(16,6),-2.22489 # DEPENDENCYPART_ARC
(16,7),-1.26685 # DEPENDENCYPART_ARC
(16,8),-2.34754 # DEPENDENCYPART_ARC
(16,9),-0.686613 # DEPENDENCYPART_ARC
(16,10),-2.12065 # DEPENDENCYPART_ARC
(16,11),-0.667321 # DEPENDENCYPART_ARC
(16,12),-2.00065 # DEPENDENCYPART_ARC
(16,13),-1.43543 # DEPENDENCYPART_ARC
(16,14),0.15931 # DEPENDENCYPART_ARC
(16,15),-0.997764 # DEPENDENCYPART_ARC
(16,17),1.15159 # DEPENDENCYPART_ARC
(16,18),2.97568 # DEPENDENCYPART_ARC
(16,19),-0.550805 # DEPENDENCYPART_ARC
(16,20),0.259214 # DEPENDENCYPART_ARC
(16,21),-0.198231 # DEPENDENCYPART_ARC
(17,1),-1.84101 # DEPENDENCYPART_ARC
(17,2),-2.62492 # DEPENDENCYPART_ARC
(17,3),-2.7241 # DEPENDENCYPART_ARC
(17,4),-2.13764 # DEPENDENCYPART_ARC
(17,5),-2.08545 # DEPENDENCYPART_ARC
(17,6),-2.75672 # DEPENDENCYPART_ARC
(17,7),-2.17388 # DEPENDENCYPART_ARC
(17,8),-2.70222 # DEPENDENCYPART_ARC
(17,9),-1.88315 # DEPENDENCYPART_ARC
(17,10),-3.4383 # DEPENDENCYPART_ARC
(17,11),-1.39915 # DEPENDENCYPART_ARC
(17,12),-3.33825 # DEPENDENCYPART_ARC
(17,13),-5.00252 # DEPENDENCYPART_ARC
(17,14),-1.31189 # DEPENDENCYPART_ARC
(17,15),-1.86609 # DEPENDENCYPART_ARC
(17,16),-0.977568 # DEPENDENCYPART_ARC
(17,18),0.491238 # DEPENDENCYPART_ARC
(17,19),-0.36566 # DEPENDENCYPART_ARC
(17,20),0.075734 # DEPENDENCYPART_ARC
(17,21),-0.280405 # DEPENDENCYPART_ARC
(18,1),-1.97155 # DEPENDENCYPART_ARC
(18,2),-1.81236 # DEPENDENCYPART_ARC
(18,3),-2.8393 # DEPENDENCYPART_ARC
(18,4),-1.01025 # DEPENDENCYPART_ARC
(18,5),-0.71599 # DEPENDENCYPART_ARC
(18,6),-1.76498 # DEPENDENCYPART_ARC
(18,7),-1.51213 # DEPENDENCYPART_ARC
(18,8),-1.72434 # DEPENDENCYPART_ARC
(18,9),-0.71783 # DEPENDENCYPART_ARC
(18,10),-1.13116 # DEPENDENCYPART_ARC
(18,11),-0.0391803 # DEPENDENCYPART_ARC
(18,12),-1.8826 # DEPENDENCYPART_ARC
(18,13),-2.29532 # DEPENDENCYPART_ARC
(18,14),1.35023 # DEPENDENCYPART_ARC
(18,15),0.0840103 # DEPENDENCYPART_ARC
(18,16),0.860329 # DEPENDENCYPART_ARC
(18,17),3.72411 # DEPENDENCYPART_ARC
(18,19),0.714085 # DEPENDENCYPART_ARC
(18,20),2.66606 # DEPENDENCYPART_ARC
(18,21),0.402734 # DEPENDENCYPART_ARC
(19,1),-2.35263 # DEPENDENCYPART_ARC
(19,2),-3.4573 # DEPENDENCYPART_ARC
(19,3),-2.81697 # DEPENDENCYPART_ARC
(19,4),-1.55389 # DEPENDENCYPART_ARC
(19,5),-1.61781 # DEPENDENCYPART_ARC
(19,6),-2.46758 # DEPENDENCYPART_ARC
(19,7),-2.26363 # DEPENDENCYPART_ARC
(19,8),-2.18722 # DEPENDENCYPART_ARC
(19,9),-1.45796 # DEPENDENCYPART_ARC
(19,10),-2.00292 # DEPENDENCYPART_ARC
(19,11),-1.29596 # DEPENDENCYPART_ARC
(19,12),-2.17692 # DEPENDENCYPART_ARC
(19,13),-2.61282 # DEPENDENCYPART_ARC
(19,14),-1.99827 # DEPENDENCYPART_ARC
(19,15),-1.95676 # DEPENDENCYPART_ARC
(19,16),-0.944977 # DEPENDENCYPART_ARC
(19,17),-1.22997 # DEPENDENCYPART_ARC
(19,18),-1.0517 # DEPENDENCYPART_ARC
(19,20),0.261418 # DEPENDENCYPART_ARC
(19,21),-0.360875 # DEPENDENCYPART_ARC
(20,1),-4.51238 # DEPENDENCYPART_ARC
(20,2),-4.51806 # DEPENDENCYPART_ARC
(20,3),-4.98862 # DEPENDENCYPART_ARC
(20,4),-1.45731 # DEPENDENCYPART_ARC
(20,5),-2.33762 # DEPENDENCYPART_ARC
(20,6),-3.067 # DEPENDENCYPART_ARC
(20,7),-2.45699 # DEPENDENCYPART_ARC
(20,8),-2.61264 # DEPENDENCYPART_ARC
(20,9),-1.30998 # DEPENDENCYPART_ARC
(20,10),-2.02747 # DEPENDENCYPART_ARC
(20,11),-0.627485 # DEPENDENCYPART_ARC
(20,12),-2.69876 # DEPENDENCYPART_ARC
(20,13),-2.63272 # DEPENDENCYPART_ARC
(20,14),-1.84702 # DEPENDENCYPART_ARC
(20,15),-2.46432 # DEPENDENCYPART_ARC
(20,16),-1.02923 # DEPENDENCYPART_ARC
(20,17),-0.450233 # DEPENDENCYPART_ARC
(20,18),-1.23255 # DEPENDENCYPART_ARC
(20,19),3.47032 # DEPENDENCYPART_ARC
(20,21),0.292771 # DEPENDENCYPART_ARC
(21,1),-2.32043 # DEPENDENCYPART_ARC
(21,2),-2.23627 # DEPENDENCYPART_ARC
(21,3),-2.81782 # DEPENDENCYPART_ARC
(21,4),-2.08115 # DEPENDENCYPART_ARC
(21,5),-2.33943 # DEPENDENCYPART_ARC
(21,6),-2.73261 # DEPENDENCYPART_ARC
(21,7),-2.26579 # DEPENDENCYPART_ARC
(21,8),-2.72774 # DEPENDENCYPART_ARC
(21,9),-1.95267 # DEPENDENCYPART_ARC
(21,10),-2.42289 # DEPENDENCYPART_ARC
(21,11),-2.03474 # DEPENDENCYPART_ARC
(21,12),-2.48007 # DEPENDENCYPART_ARC
(21,13),-2.13206 # DEPENDENCYPART_ARC
(21,14),-1.86283 # DEPENDENCYPART_ARC
(21,15),-1.93808 # DEPENDENCYPART_ARC
(21,16),-1.86492 # DEPENDENCYPART_ARC
(21,17),-1.70507 # DEPENDENCYPART_ARC
(21,18),-1.67856 # DEPENDENCYPART_ARC
(21,19),-1.43309 # DEPENDENCYPART_ARC
(21,20),-1.75956 # DEPENDENCYPART_ARC
