# _root_ Χάρη στο Κοινοβούλιο , η οδηγία θα μπορέσει τελικά να καλύψει όλους τους οδηγούς όλων των κατηγοριών , αυτοαπασχολούμενους και μη .
#goldHeads=8,1,2,8,6,8,8,0,8,11,8,14,14,18,17,17,14,11,20,18,20,0,
#predictedHeads=8,1,2,8,6,8,8,0,8,11,8,14,14,11,17,17,20,20,20,14,20,0,
(1,19),-1.90196 # DEPENDENCYPART_ARC
(1,20),-1.35956 # DEPENDENCYPART_ARC
(1,21),-1.58248 # DEPENDENCYPART_ARC
(1,22),-1.26786 # DEPENDENCYPART_ARC
(2,1),0.201879 # DEPENDENCYPART_ARC
(2,3),3.62621 # DEPENDENCYPART_ARC
(2,4),0.350086 # DEPENDENCYPART_ARC
(2,6),-0.821772 # DEPENDENCYPART_ARC
(2,8),-2.35589 # DEPENDENCYPART_ARC
(2,9),-1.42107 # DEPENDENCYPART_ARC
(2,11),-3.09842 # DEPENDENCYPART_ARC
(2,12),-2.0351 # DEPENDENCYPART_ARC
(2,14),-3.6296 # DEPENDENCYPART_ARC
(2,15),-2.26144 # DEPENDENCYPART_ARC
(2,17),-5.30796 # DEPENDENCYPART_ARC
(2,18),-1.73177 # DEPENDENCYPART_ARC
(2,19),-2.35897 # DEPENDENCYPART_ARC
(2,20),-2.423 # DEPENDENCYPART_ARC
(2,22),-1.63332 # DEPENDENCYPART_ARC
(3,1),-0.351796 # DEPENDENCYPART_ARC
(3,2),-0.185084 # DEPENDENCYPART_ARC
(3,4),-0.402815 # DEPENDENCYPART_ARC
(3,5),-0.986057 # DEPENDENCYPART_ARC
(3,6),-0.931595 # DEPENDENCYPART_ARC
(3,8),-0.791062 # DEPENDENCYPART_ARC
(3,9),-1.71445 # DEPENDENCYPART_ARC
(3,10),-2.12213 # DEPENDENCYPART_ARC
(3,11),-2.16165 # DEPENDENCYPART_ARC
(3,12),-2.37333 # DEPENDENCYPART_ARC
(3,13),-2.53622 # DEPENDENCYPART_ARC
(3,14),-3.44128 # DEPENDENCYPART_ARC
(3,15),-2.2676 # DEPENDENCYPART_ARC
(3,16),-2.54573 # DEPENDENCYPART_ARC
(3,17),-2.56983 # DEPENDENCYPART_ARC
(3,18),-1.6121 # DEPENDENCYPART_ARC
(3,19),-2.61446 # DEPENDENCYPART_ARC
(3,20),-1.62409 # DEPENDENCYPART_ARC
(3,21),-2.3363 # DEPENDENCYPART_ARC
(3,22),-1.3833 # DEPENDENCYPART_ARC
(4,1),-0.184545 # DEPENDENCYPART_ARC
(4,2),0.207428 # DEPENDENCYPART_ARC
(4,3),0.773876 # DEPENDENCYPART_ARC
(4,6),0.150867 # DEPENDENCYPART_ARC
(4,8),-0.523775 # DEPENDENCYPART_ARC
(4,9),-0.909021 # DEPENDENCYPART_ARC
(4,10),-1.12497 # DEPENDENCYPART_ARC
(4,11),-1.29209 # DEPENDENCYPART_ARC
(4,12),-1.25257 # DEPENDENCYPART_ARC
(4,14),-1.2725 # DEPENDENCYPART_ARC
(4,15),-1.3407 # DEPENDENCYPART_ARC
(4,17),-1.25086 # DEPENDENCYPART_ARC
(4,18),-0.657411 # DEPENDENCYPART_ARC
(4,19),-1.33644 # DEPENDENCYPART_ARC
(4,20),-0.989671 # DEPENDENCYPART_ARC
(4,22),-0.692612 # DEPENDENCYPART_ARC
(5,1),-1.26843 # DEPENDENCYPART_ARC
(5,3),-1.42659 # DEPENDENCYPART_ARC
(5,6),-0.312795 # DEPENDENCYPART_ARC
(5,9),-1.0673 # DEPENDENCYPART_ARC
(5,14),-2.63406 # DEPENDENCYPART_ARC
(5,17),-2.21672 # DEPENDENCYPART_ARC
(5,20),-1.00995 # DEPENDENCYPART_ARC
(6,1),-0.845477 # DEPENDENCYPART_ARC
(6,2),-1.31252 # DEPENDENCYPART_ARC
(6,3),-1.2464 # DEPENDENCYPART_ARC
(6,4),-0.120546 # DEPENDENCYPART_ARC
(6,5),3.3641 # DEPENDENCYPART_ARC
(6,8),0.0180832 # DEPENDENCYPART_ARC
(6,9),-0.266663 # DEPENDENCYPART_ARC
(6,10),-0.891429 # DEPENDENCYPART_ARC
(6,11),-1.42853 # DEPENDENCYPART_ARC
(6,12),-2.20163 # DEPENDENCYPART_ARC
(6,13),-1.70542 # DEPENDENCYPART_ARC
(6,14),-2.05345 # DEPENDENCYPART_ARC
(6,15),-1.43791 # DEPENDENCYPART_ARC
(6,16),-1.45492 # DEPENDENCYPART_ARC
(6,17),-0.692119 # DEPENDENCYPART_ARC
(6,18),-0.573863 # DEPENDENCYPART_ARC
(6,19),-2.31734 # DEPENDENCYPART_ARC
(6,20),-0.947897 # DEPENDENCYPART_ARC
(6,21),-1.34715 # DEPENDENCYPART_ARC
(6,22),-0.461194 # DEPENDENCYPART_ARC
(8,1),0.900754 # DEPENDENCYPART_ARC
(8,2),0.0289087 # DEPENDENCYPART_ARC
(8,3),-0.727385 # DEPENDENCYPART_ARC
(8,4),0.937546 # DEPENDENCYPART_ARC
(8,5),-0.242964 # DEPENDENCYPART_ARC
(8,6),2.55754 # DEPENDENCYPART_ARC
(8,7),2.73078 # DEPENDENCYPART_ARC
(8,9),2.28501 # DEPENDENCYPART_ARC
(8,10),0.870349 # DEPENDENCYPART_ARC
(8,11),1.6305 # DEPENDENCYPART_ARC
(8,12),-0.449184 # DEPENDENCYPART_ARC
(8,13),-0.979893 # DEPENDENCYPART_ARC
(8,14),0.46304 # DEPENDENCYPART_ARC
(8,15),-2.01034 # DEPENDENCYPART_ARC
(8,16),-2.32113 # DEPENDENCYPART_ARC
(8,17),-1.99266 # DEPENDENCYPART_ARC
(8,18),0.546321 # DEPENDENCYPART_ARC
(8,19),-1.99613 # DEPENDENCYPART_ARC
(8,20),0.118278 # DEPENDENCYPART_ARC
(8,21),-0.455464 # DEPENDENCYPART_ARC
(8,22),0.33873 # DEPENDENCYPART_ARC
(9,1),-0.662253 # DEPENDENCYPART_ARC
(9,2),-0.164458 # DEPENDENCYPART_ARC
(9,3),-0.858985 # DEPENDENCYPART_ARC
(9,4),-0.431178 # DEPENDENCYPART_ARC
(9,5),-0.684666 # DEPENDENCYPART_ARC
(9,6),-0.709969 # DEPENDENCYPART_ARC
(9,7),0.263085 # DEPENDENCYPART_ARC
(9,8),-0.193173 # DEPENDENCYPART_ARC
(9,11),0.547263 # DEPENDENCYPART_ARC
(9,12),-0.737883 # DEPENDENCYPART_ARC
(9,13),-1.14055 # DEPENDENCYPART_ARC
(9,14),-1.3315 # DEPENDENCYPART_ARC
(9,15),-1.07578 # DEPENDENCYPART_ARC
(9,16),-1.31322 # DEPENDENCYPART_ARC
(9,17),-1.37516 # DEPENDENCYPART_ARC
(9,18),-0.501087 # DEPENDENCYPART_ARC
(9,19),-1.50146 # DEPENDENCYPART_ARC
(9,20),-0.894686 # DEPENDENCYPART_ARC
(9,21),-1.24054 # DEPENDENCYPART_ARC
(9,22),-0.843525 # DEPENDENCYPART_ARC
(10,3),-1.53775 # DEPENDENCYPART_ARC
(10,4),-1.09909 # DEPENDENCYPART_ARC
(10,5),-0.892297 # DEPENDENCYPART_ARC
(10,6),-1.39111 # DEPENDENCYPART_ARC
(10,8),-0.570397 # DEPENDENCYPART_ARC
(10,11),0.465255 # DEPENDENCYPART_ARC
(10,13),-0.91082 # DEPENDENCYPART_ARC
(10,14),-0.846047 # DEPENDENCYPART_ARC
(10,16),-1.30684 # DEPENDENCYPART_ARC
(10,17),-1.42317 # DEPENDENCYPART_ARC
(10,18),-0.661566 # DEPENDENCYPART_ARC
(10,22),-0.719016 # DEPENDENCYPART_ARC
(11,1),-0.250582 # DEPENDENCYPART_ARC
(11,2),-0.83695 # DEPENDENCYPART_ARC
(11,3),-1.66337 # DEPENDENCYPART_ARC
(11,4),-0.0788629 # DEPENDENCYPART_ARC
(11,5),-1.83536 # DEPENDENCYPART_ARC
(11,6),1.33432 # DEPENDENCYPART_ARC
(11,7),0.380619 # DEPENDENCYPART_ARC
(11,8),-3.12995 # DEPENDENCYPART_ARC
(11,9),0.524952 # DEPENDENCYPART_ARC
(11,10),2.24849 # DEPENDENCYPART_ARC
(11,12),0.852809 # DEPENDENCYPART_ARC
(11,13),-0.418834 # DEPENDENCYPART_ARC
(11,14),1.61798 # DEPENDENCYPART_ARC
(11,15),-1.53169 # DEPENDENCYPART_ARC
(11,16),-2.22043 # DEPENDENCYPART_ARC
(11,17),-1.78324 # DEPENDENCYPART_ARC
(11,18),0.360889 # DEPENDENCYPART_ARC
(11,19),-2.0329 # DEPENDENCYPART_ARC
(11,20),-0.00432182 # DEPENDENCYPART_ARC
(11,21),-0.532641 # DEPENDENCYPART_ARC
(11,22),-0.0372887 # DEPENDENCYPART_ARC
(12,1),-1.47292 # DEPENDENCYPART_ARC
(12,2),-2.05353 # DEPENDENCYPART_ARC
(12,3),-1.76619 # DEPENDENCYPART_ARC
(12,4),-1.16176 # DEPENDENCYPART_ARC
(12,5),-1.52328 # DEPENDENCYPART_ARC
(12,6),-2.11386 # DEPENDENCYPART_ARC
(12,8),-2.71623 # DEPENDENCYPART_ARC
(12,9),-0.435436 # DEPENDENCYPART_ARC
(12,11),-1.20387 # DEPENDENCYPART_ARC
(12,13),0.761262 # DEPENDENCYPART_ARC
(12,14),-0.293982 # DEPENDENCYPART_ARC
(12,15),-1.11251 # DEPENDENCYPART_ARC
(12,16),-0.48825 # DEPENDENCYPART_ARC
(12,17),-0.245072 # DEPENDENCYPART_ARC
(12,18),-0.0285158 # DEPENDENCYPART_ARC
(12,19),-1.82044 # DEPENDENCYPART_ARC
(12,20),-0.228534 # DEPENDENCYPART_ARC
(12,21),-0.68366 # DEPENDENCYPART_ARC
(12,22),-0.108756 # DEPENDENCYPART_ARC
(13,1),-1.4031 # DEPENDENCYPART_ARC
(13,3),-1.94023 # DEPENDENCYPART_ARC
(13,6),-2.0439 # DEPENDENCYPART_ARC
(13,9),-1.04382 # DEPENDENCYPART_ARC
(13,14),-0.0251196 # DEPENDENCYPART_ARC
(13,17),-1.19668 # DEPENDENCYPART_ARC
(13,20),-0.0707138 # DEPENDENCYPART_ARC
(14,1),-1.42284 # DEPENDENCYPART_ARC
(14,2),-3.02405 # DEPENDENCYPART_ARC
(14,3),-2.57756 # DEPENDENCYPART_ARC
(14,4),-1.50687 # DEPENDENCYPART_ARC
(14,5),-1.969 # DEPENDENCYPART_ARC
(14,6),-2.7577 # DEPENDENCYPART_ARC
(14,8),-3.00806 # DEPENDENCYPART_ARC
(14,9),-0.712368 # DEPENDENCYPART_ARC
(14,10),-0.671077 # DEPENDENCYPART_ARC
(14,11),-2.13833 # DEPENDENCYPART_ARC
(14,12),2.57767 # DEPENDENCYPART_ARC
(14,13),2.93278 # DEPENDENCYPART_ARC
(14,15),1.0801 # DEPENDENCYPART_ARC
(14,16),-0.519405 # DEPENDENCYPART_ARC
(14,17),0.965333 # DEPENDENCYPART_ARC
(14,18),0.0418602 # DEPENDENCYPART_ARC
(14,19),0.266157 # DEPENDENCYPART_ARC
(14,20),0.134257 # DEPENDENCYPART_ARC
(14,21),-0.731455 # DEPENDENCYPART_ARC
(14,22),-0.0682962 # DEPENDENCYPART_ARC
(15,1),-1.76555 # DEPENDENCYPART_ARC
(15,2),-2.16485 # DEPENDENCYPART_ARC
(15,3),-2.48773 # DEPENDENCYPART_ARC
(15,4),-1.11303 # DEPENDENCYPART_ARC
(15,5),-1.38397 # DEPENDENCYPART_ARC
(15,6),-2.39874 # DEPENDENCYPART_ARC
(15,8),-1.92659 # DEPENDENCYPART_ARC
(15,9),-1.15183 # DEPENDENCYPART_ARC
(15,11),-1.44362 # DEPENDENCYPART_ARC
(15,12),-1.32997 # DEPENDENCYPART_ARC
(15,13),1.36897 # DEPENDENCYPART_ARC
(15,14),0.381569 # DEPENDENCYPART_ARC
(15,16),0.66146 # DEPENDENCYPART_ARC
(15,17),0.560305 # DEPENDENCYPART_ARC
(15,18),0.334964 # DEPENDENCYPART_ARC
(15,19),-1.24828 # DEPENDENCYPART_ARC
(15,20),-0.143231 # DEPENDENCYPART_ARC
(15,21),-0.430702 # DEPENDENCYPART_ARC
(15,22),0.0274894 # DEPENDENCYPART_ARC
(16,1),-1.66941 # DEPENDENCYPART_ARC
(16,3),-3.02679 # DEPENDENCYPART_ARC
(16,6),-2.62218 # DEPENDENCYPART_ARC
(16,9),-1.44959 # DEPENDENCYPART_ARC
(16,14),-1.53874 # DEPENDENCYPART_ARC
(16,17),0.258888 # DEPENDENCYPART_ARC
(16,20),-0.249042 # DEPENDENCYPART_ARC
(17,1),-1.66798 # DEPENDENCYPART_ARC
(17,2),-3.28881 # DEPENDENCYPART_ARC
(17,3),-4.49332 # DEPENDENCYPART_ARC
(17,4),-1.63808 # DEPENDENCYPART_ARC
(17,5),-3.08484 # DEPENDENCYPART_ARC
(17,6),-3.62755 # DEPENDENCYPART_ARC
(17,8),-3.04077 # DEPENDENCYPART_ARC
(17,9),-1.42414 # DEPENDENCYPART_ARC
(17,10),-1.21134 # DEPENDENCYPART_ARC
(17,11),-2.73279 # DEPENDENCYPART_ARC
(17,12),-0.692488 # DEPENDENCYPART_ARC
(17,13),-0.928715 # DEPENDENCYPART_ARC
(17,14),-1.80492 # DEPENDENCYPART_ARC
(17,15),2.4119 # DEPENDENCYPART_ARC
(17,16),3.42295 # DEPENDENCYPART_ARC
(17,18),0.00213067 # DEPENDENCYPART_ARC
(17,19),-0.277297 # DEPENDENCYPART_ARC
(17,20),-0.182456 # DEPENDENCYPART_ARC
(17,21),-0.951845 # DEPENDENCYPART_ARC
(17,22),-0.659478 # DEPENDENCYPART_ARC
(18,1),-0.722579 # DEPENDENCYPART_ARC
(18,2),-0.287011 # DEPENDENCYPART_ARC
(18,3),-0.928146 # DEPENDENCYPART_ARC
(18,4),-0.972647 # DEPENDENCYPART_ARC
(18,6),-1.15342 # DEPENDENCYPART_ARC
(18,8),-0.288005 # DEPENDENCYPART_ARC
(18,9),-0.324119 # DEPENDENCYPART_ARC
(18,10),0.209924 # DEPENDENCYPART_ARC
(18,11),-0.262934 # DEPENDENCYPART_ARC
(18,12),-0.104962 # DEPENDENCYPART_ARC
(18,14),0.00751124 # DEPENDENCYPART_ARC
(18,15),0.197467 # DEPENDENCYPART_ARC
(18,17),0.454559 # DEPENDENCYPART_ARC
(18,19),0.325499 # DEPENDENCYPART_ARC
(18,20),0.185091 # DEPENDENCYPART_ARC
(18,22),0.180506 # DEPENDENCYPART_ARC
(19,1),-1.59885 # DEPENDENCYPART_ARC
(19,2),-1.9574 # DEPENDENCYPART_ARC
(19,3),-2.0248 # DEPENDENCYPART_ARC
(19,4),-1.30504 # DEPENDENCYPART_ARC
(19,5),-1.81396 # DEPENDENCYPART_ARC
(19,6),-2.46344 # DEPENDENCYPART_ARC
(19,8),-3.0279 # DEPENDENCYPART_ARC
(19,9),-1.09357 # DEPENDENCYPART_ARC
(19,11),-2.74257 # DEPENDENCYPART_ARC
(19,12),-1.03818 # DEPENDENCYPART_ARC
(19,13),-0.00632868 # DEPENDENCYPART_ARC
(19,14),-0.82965 # DEPENDENCYPART_ARC
(19,15),-0.547544 # DEPENDENCYPART_ARC
(19,16),0.724472 # DEPENDENCYPART_ARC
(19,17),-1.09545 # DEPENDENCYPART_ARC
(19,18),0.514118 # DEPENDENCYPART_ARC
(19,20),0.417485 # DEPENDENCYPART_ARC
(19,21),-0.0743017 # DEPENDENCYPART_ARC
(19,22),0.135293 # DEPENDENCYPART_ARC
(20,1),-0.0718686 # DEPENDENCYPART_ARC
(20,2),-0.570388 # DEPENDENCYPART_ARC
(20,3),-0.0274963 # DEPENDENCYPART_ARC
(20,4),-0.0368594 # DEPENDENCYPART_ARC
(20,5),-0.62934 # DEPENDENCYPART_ARC
(20,6),0.120627 # DEPENDENCYPART_ARC
(20,8),0.503405 # DEPENDENCYPART_ARC
(20,9),0.0671757 # DEPENDENCYPART_ARC
(20,10),0.14408 # DEPENDENCYPART_ARC
(20,11),1.29057 # DEPENDENCYPART_ARC
(20,12),0.0202408 # DEPENDENCYPART_ARC
(20,13),-0.254538 # DEPENDENCYPART_ARC
(20,14),0.617104 # DEPENDENCYPART_ARC
(20,15),0.401755 # DEPENDENCYPART_ARC
(20,16),0.419287 # DEPENDENCYPART_ARC
(20,17),1.0006 # DEPENDENCYPART_ARC
(20,18),1.33755 # DEPENDENCYPART_ARC
(20,19),1.5083 # DEPENDENCYPART_ARC
(20,21),0.804189 # DEPENDENCYPART_ARC
(20,22),0.793603 # DEPENDENCYPART_ARC
(21,3),-1.57696 # DEPENDENCYPART_ARC
(21,4),-1.18932 # DEPENDENCYPART_ARC
(21,5),-1.13598 # DEPENDENCYPART_ARC
(21,6),-1.57755 # DEPENDENCYPART_ARC
(21,13),-0.775767 # DEPENDENCYPART_ARC
(21,14),-1.09967 # DEPENDENCYPART_ARC
(21,16),-0.463084 # DEPENDENCYPART_ARC
(21,17),-0.876623 # DEPENDENCYPART_ARC
(21,18),-0.273922 # DEPENDENCYPART_ARC
(21,22),0.906895 # DEPENDENCYPART_ARC
(22,1),-2.39475 # DEPENDENCYPART_ARC
(22,2),-2.85177 # DEPENDENCYPART_ARC
(22,3),-2.94443 # DEPENDENCYPART_ARC
(22,4),-2.41779 # DEPENDENCYPART_ARC
(22,6),-2.90168 # DEPENDENCYPART_ARC
(22,8),-2.42387 # DEPENDENCYPART_ARC
(22,9),-2.06445 # DEPENDENCYPART_ARC
(22,10),-1.80174 # DEPENDENCYPART_ARC
(22,11),-2.29422 # DEPENDENCYPART_ARC
(22,12),-2.25811 # DEPENDENCYPART_ARC
(22,14),-2.07012 # DEPENDENCYPART_ARC
(22,15),-2.14433 # DEPENDENCYPART_ARC
(22,17),-2.10099 # DEPENDENCYPART_ARC
(22,18),-1.46396 # DEPENDENCYPART_ARC
(22,19),-1.83762 # DEPENDENCYPART_ARC
(22,20),-1.67893 # DEPENDENCYPART_ARC
