# _root_ Πρότεινα να ξεκινήσει ο Πρόεδρός μας , παράλληλα με τις εργασίες της Συνέλευσης και σε συνεργασία με τα εθνικά κοινοβούλια , εκστρατεία με θέμα " Ας μιλήσουμε ανοιχτά " .
#goldHeads=0,3,1,5,3,5,14,14,8,11,9,13,11,3,14,15,16,20,20,17,14,3,22,23,27,27,24,27,27,0,
#predictedHeads=0,3,1,5,3,5,8,3,8,11,9,13,11,11,14,15,16,20,20,17,17,17,22,23,22,27,22,27,27,0,
(1,30),-0.131286 # DEPENDENCYPART_ARC
(2,1),-0.463902 # DEPENDENCYPART_ARC
(2,3),0.363216 # DEPENDENCYPART_ARC
(2,4),-0.771454 # DEPENDENCYPART_ARC
(2,5),-0.629113 # DEPENDENCYPART_ARC
(2,6),-1.39149 # DEPENDENCYPART_ARC
(2,7),-0.612722 # DEPENDENCYPART_ARC
(2,8),-1.02826 # DEPENDENCYPART_ARC
(2,9),-1.1236 # DEPENDENCYPART_ARC
(2,10),-1.47169 # DEPENDENCYPART_ARC
(2,11),-1.40329 # DEPENDENCYPART_ARC
(2,12),-1.44505 # DEPENDENCYPART_ARC
(2,13),-1.45152 # DEPENDENCYPART_ARC
(2,14),-0.827943 # DEPENDENCYPART_ARC
(2,15),-1.34759 # DEPENDENCYPART_ARC
(2,16),-1.4514 # DEPENDENCYPART_ARC
(2,17),-1.24962 # DEPENDENCYPART_ARC
(2,18),-1.72961 # DEPENDENCYPART_ARC
(2,19),-1.59052 # DEPENDENCYPART_ARC
(2,20),-1.46443 # DEPENDENCYPART_ARC
(2,21),-0.821129 # DEPENDENCYPART_ARC
(2,22),-1.58484 # DEPENDENCYPART_ARC
(2,23),-1.51304 # DEPENDENCYPART_ARC
(2,24),-1.67781 # DEPENDENCYPART_ARC
(2,25),-1.0206 # DEPENDENCYPART_ARC
(2,26),-1.63817 # DEPENDENCYPART_ARC
(2,27),-1.73096 # DEPENDENCYPART_ARC
(2,28),-1.5746 # DEPENDENCYPART_ARC
(2,29),-1.10017 # DEPENDENCYPART_ARC
(2,30),-1.22332 # DEPENDENCYPART_ARC
(3,1),-1.97639 # DEPENDENCYPART_ARC
(3,2),2.7613 # DEPENDENCYPART_ARC
(3,4),-1.0836 # DEPENDENCYPART_ARC
(3,5),2.99811 # DEPENDENCYPART_ARC
(3,6),-2.03783 # DEPENDENCYPART_ARC
(3,7),0.820118 # DEPENDENCYPART_ARC
(3,8),0.69896 # DEPENDENCYPART_ARC
(3,9),0.808468 # DEPENDENCYPART_ARC
(3,10),-1.12051 # DEPENDENCYPART_ARC
(3,11),-0.0399752 # DEPENDENCYPART_ARC
(3,12),-2.12209 # DEPENDENCYPART_ARC
(3,13),-2.17003 # DEPENDENCYPART_ARC
(3,14),0.56734 # DEPENDENCYPART_ARC
(3,15),0.412389 # DEPENDENCYPART_ARC
(3,16),-1.33391 # DEPENDENCYPART_ARC
(3,17),0.0944066 # DEPENDENCYPART_ARC
(3,18),-1.59798 # DEPENDENCYPART_ARC
(3,19),-3.20696 # DEPENDENCYPART_ARC
(3,20),-2.14512 # DEPENDENCYPART_ARC
(3,21),0.335113 # DEPENDENCYPART_ARC
(3,22),-1.88887 # DEPENDENCYPART_ARC
(3,23),0.237043 # DEPENDENCYPART_ARC
(3,24),-3.31907 # DEPENDENCYPART_ARC
(3,25),0.313913 # DEPENDENCYPART_ARC
(3,26),-0.381825 # DEPENDENCYPART_ARC
(3,27),-2.66861 # DEPENDENCYPART_ARC
(3,28),-0.775493 # DEPENDENCYPART_ARC
(3,29),-0.0583835 # DEPENDENCYPART_ARC
(3,30),-0.482831 # DEPENDENCYPART_ARC
(4,1),-3.52494 # DEPENDENCYPART_ARC
(4,2),-0.805511 # DEPENDENCYPART_ARC
(4,3),-2.39872 # DEPENDENCYPART_ARC
(4,5),-0.263155 # DEPENDENCYPART_ARC
(4,6),-1.29081 # DEPENDENCYPART_ARC
(4,7),-0.444589 # DEPENDENCYPART_ARC
(4,8),-0.633396 # DEPENDENCYPART_ARC
(4,9),-0.859026 # DEPENDENCYPART_ARC
(4,10),-1.78984 # DEPENDENCYPART_ARC
(4,11),-2.02975 # DEPENDENCYPART_ARC
(4,12),-1.84018 # DEPENDENCYPART_ARC
(4,13),-1.90097 # DEPENDENCYPART_ARC
(4,14),-0.698913 # DEPENDENCYPART_ARC
(4,15),-1.12537 # DEPENDENCYPART_ARC
(4,16),-2.02084 # DEPENDENCYPART_ARC
(4,17),-1.21378 # DEPENDENCYPART_ARC
(4,18),-1.80006 # DEPENDENCYPART_ARC
(4,19),-2.5573 # DEPENDENCYPART_ARC
(4,20),-1.98842 # DEPENDENCYPART_ARC
(4,21),-0.949301 # DEPENDENCYPART_ARC
(4,22),-2.06425 # DEPENDENCYPART_ARC
(4,23),-1.26163 # DEPENDENCYPART_ARC
(4,24),-1.86535 # DEPENDENCYPART_ARC
(4,25),-1.09807 # DEPENDENCYPART_ARC
(4,26),-1.58205 # DEPENDENCYPART_ARC
(4,27),-3.73252 # DEPENDENCYPART_ARC
(4,28),-1.66653 # DEPENDENCYPART_ARC
(4,29),-1.63832 # DEPENDENCYPART_ARC
(4,30),-1.66882 # DEPENDENCYPART_ARC
(5,1),-2.33506 # DEPENDENCYPART_ARC
(5,2),-0.431005 # DEPENDENCYPART_ARC
(5,3),-1.3286 # DEPENDENCYPART_ARC
(5,4),3.36685 # DEPENDENCYPART_ARC
(5,6),2.9763 # DEPENDENCYPART_ARC
(5,7),0.0946388 # DEPENDENCYPART_ARC
(5,8),0.377834 # DEPENDENCYPART_ARC
(5,9),0.161789 # DEPENDENCYPART_ARC
(5,10),-1.27868 # DEPENDENCYPART_ARC
(5,11),-1.20263 # DEPENDENCYPART_ARC
(5,12),-1.46579 # DEPENDENCYPART_ARC
(5,13),-0.129573 # DEPENDENCYPART_ARC
(5,14),0.169986 # DEPENDENCYPART_ARC
(5,15),-0.116102 # DEPENDENCYPART_ARC
(5,16),-2.29424 # DEPENDENCYPART_ARC
(5,17),-0.183841 # DEPENDENCYPART_ARC
(5,18),-1.73442 # DEPENDENCYPART_ARC
(5,19),-1.79404 # DEPENDENCYPART_ARC
(5,20),-2.61274 # DEPENDENCYPART_ARC
(5,21),-0.519079 # DEPENDENCYPART_ARC
(5,22),-3.00302 # DEPENDENCYPART_ARC
(5,23),-0.162597 # DEPENDENCYPART_ARC
(5,24),-3.43576 # DEPENDENCYPART_ARC
(5,25),-0.456212 # DEPENDENCYPART_ARC
(5,26),-0.964296 # DEPENDENCYPART_ARC
(5,27),-1.79019 # DEPENDENCYPART_ARC
(5,28),-1.54749 # DEPENDENCYPART_ARC
(5,29),-1.07347 # DEPENDENCYPART_ARC
(5,30),-0.718756 # DEPENDENCYPART_ARC
(6,1),-3.00445 # DEPENDENCYPART_ARC
(6,2),-0.785477 # DEPENDENCYPART_ARC
(6,3),-2.39641 # DEPENDENCYPART_ARC
(6,4),-0.0333836 # DEPENDENCYPART_ARC
(6,5),-0.882665 # DEPENDENCYPART_ARC
(6,7),-0.168135 # DEPENDENCYPART_ARC
(6,8),-0.462658 # DEPENDENCYPART_ARC
(6,9),-0.523559 # DEPENDENCYPART_ARC
(6,10),-2.413 # DEPENDENCYPART_ARC
(6,11),-2.17909 # DEPENDENCYPART_ARC
(6,12),-2.43206 # DEPENDENCYPART_ARC
(6,13),-1.99234 # DEPENDENCYPART_ARC
(6,14),-0.734574 # DEPENDENCYPART_ARC
(6,15),-1.04821 # DEPENDENCYPART_ARC
(6,16),-2.68924 # DEPENDENCYPART_ARC
(6,17),-1.16676 # DEPENDENCYPART_ARC
(6,18),-2.20958 # DEPENDENCYPART_ARC
(6,19),-1.48412 # DEPENDENCYPART_ARC
(6,20),-1.99142 # DEPENDENCYPART_ARC
(6,21),-1.07043 # DEPENDENCYPART_ARC
(6,22),-2.67269 # DEPENDENCYPART_ARC
(6,23),-1.228 # DEPENDENCYPART_ARC
(6,24),-2.04537 # DEPENDENCYPART_ARC
(6,25),-1.16539 # DEPENDENCYPART_ARC
(6,26),-1.52311 # DEPENDENCYPART_ARC
(6,27),-4.32091 # DEPENDENCYPART_ARC
(6,28),-2.06622 # DEPENDENCYPART_ARC
(6,29),-1.74764 # DEPENDENCYPART_ARC
(6,30),-1.63948 # DEPENDENCYPART_ARC
(7,1),0.48559 # DEPENDENCYPART_ARC
(7,2),0.741535 # DEPENDENCYPART_ARC
(7,3),0.40165 # DEPENDENCYPART_ARC
(7,4),0.597963 # DEPENDENCYPART_ARC
(7,5),0.485155 # DEPENDENCYPART_ARC
(7,6),0.785929 # DEPENDENCYPART_ARC
(7,8),0.0210326 # DEPENDENCYPART_ARC
(7,9),-0.0324163 # DEPENDENCYPART_ARC
(7,10),-0.404161 # DEPENDENCYPART_ARC
(7,11),-0.219194 # DEPENDENCYPART_ARC
(7,12),-0.738847 # DEPENDENCYPART_ARC
(7,13),-0.611345 # DEPENDENCYPART_ARC
(7,14),0.141484 # DEPENDENCYPART_ARC
(7,15),-0.258113 # DEPENDENCYPART_ARC
(7,16),-1.03026 # DEPENDENCYPART_ARC
(7,17),-0.393831 # DEPENDENCYPART_ARC
(7,18),-0.894159 # DEPENDENCYPART_ARC
(7,19),-0.753464 # DEPENDENCYPART_ARC
(7,20),-1.05019 # DEPENDENCYPART_ARC
(7,21),-0.535303 # DEPENDENCYPART_ARC
(7,22),-1.25201 # DEPENDENCYPART_ARC
(7,23),-0.48404 # DEPENDENCYPART_ARC
(7,24),-1.21182 # DEPENDENCYPART_ARC
(7,25),-0.0651681 # DEPENDENCYPART_ARC
(7,26),-0.828968 # DEPENDENCYPART_ARC
(7,27),-0.472833 # DEPENDENCYPART_ARC
(7,28),-0.902959 # DEPENDENCYPART_ARC
(7,29),-0.752455 # DEPENDENCYPART_ARC
(7,30),-1.26749 # DEPENDENCYPART_ARC
(8,1),-0.857622 # DEPENDENCYPART_ARC
(8,2),-0.115015 # DEPENDENCYPART_ARC
(8,3),-0.872554 # DEPENDENCYPART_ARC
(8,4),-0.206335 # DEPENDENCYPART_ARC
(8,5),-0.397751 # DEPENDENCYPART_ARC
(8,6),-0.424563 # DEPENDENCYPART_ARC
(8,7),0.976635 # DEPENDENCYPART_ARC
(8,9),1.81788 # DEPENDENCYPART_ARC
(8,10),-0.0896263 # DEPENDENCYPART_ARC
(8,11),-0.194856 # DEPENDENCYPART_ARC
(8,12),-0.320124 # DEPENDENCYPART_ARC
(8,13),-0.0349295 # DEPENDENCYPART_ARC
(8,14),0.0651407 # DEPENDENCYPART_ARC
(8,15),-0.0899993 # DEPENDENCYPART_ARC
(8,16),-1.19541 # DEPENDENCYPART_ARC
(8,17),-0.089847 # DEPENDENCYPART_ARC
(8,18),-0.757614 # DEPENDENCYPART_ARC
(8,19),-0.644287 # DEPENDENCYPART_ARC
(8,20),-1.55498 # DEPENDENCYPART_ARC
(8,21),-0.0881003 # DEPENDENCYPART_ARC
(8,22),-1.43802 # DEPENDENCYPART_ARC
(8,23),-0.502594 # DEPENDENCYPART_ARC
(8,24),-1.85713 # DEPENDENCYPART_ARC
(8,25),0.331519 # DEPENDENCYPART_ARC
(8,26),-0.744501 # DEPENDENCYPART_ARC
(8,27),-0.449269 # DEPENDENCYPART_ARC
(8,28),-0.976125 # DEPENDENCYPART_ARC
(8,29),-0.182772 # DEPENDENCYPART_ARC
(8,30),-0.825702 # DEPENDENCYPART_ARC
(9,1),-1.31926 # DEPENDENCYPART_ARC
(9,2),-0.800586 # DEPENDENCYPART_ARC
(9,3),-1.06033 # DEPENDENCYPART_ARC
(9,4),-0.494101 # DEPENDENCYPART_ARC
(9,5),-1.155 # DEPENDENCYPART_ARC
(9,6),-0.632839 # DEPENDENCYPART_ARC
(9,7),0.421655 # DEPENDENCYPART_ARC
(9,8),0.575344 # DEPENDENCYPART_ARC
(9,10),0.34139 # DEPENDENCYPART_ARC
(9,11),2.72314 # DEPENDENCYPART_ARC
(9,12),-0.640362 # DEPENDENCYPART_ARC
(9,13),0.361558 # DEPENDENCYPART_ARC
(9,14),0.213366 # DEPENDENCYPART_ARC
(9,15),-0.446845 # DEPENDENCYPART_ARC
(9,16),-0.388939 # DEPENDENCYPART_ARC
(9,17),-0.568242 # DEPENDENCYPART_ARC
(9,18),-1.52825 # DEPENDENCYPART_ARC
(9,19),-0.820501 # DEPENDENCYPART_ARC
(9,20),-1.1346 # DEPENDENCYPART_ARC
(9,21),-0.212978 # DEPENDENCYPART_ARC
(9,22),-1.93827 # DEPENDENCYPART_ARC
(9,23),-0.840373 # DEPENDENCYPART_ARC
(9,24),-1.91452 # DEPENDENCYPART_ARC
(9,25),-0.574026 # DEPENDENCYPART_ARC
(9,26),-0.890275 # DEPENDENCYPART_ARC
(9,27),-1.8129 # DEPENDENCYPART_ARC
(9,28),-1.64805 # DEPENDENCYPART_ARC
(9,29),-0.99146 # DEPENDENCYPART_ARC
(9,30),-1.22599 # DEPENDENCYPART_ARC
(10,1),-3.38994 # DEPENDENCYPART_ARC
(10,2),-2.02641 # DEPENDENCYPART_ARC
(10,3),-3.27375 # DEPENDENCYPART_ARC
(10,4),-2.39095 # DEPENDENCYPART_ARC
(10,5),-2.95445 # DEPENDENCYPART_ARC
(10,6),-2.3835 # DEPENDENCYPART_ARC
(10,7),-1.47179 # DEPENDENCYPART_ARC
(10,8),-1.10375 # DEPENDENCYPART_ARC
(10,9),-0.670606 # DEPENDENCYPART_ARC
(10,11),-0.0457971 # DEPENDENCYPART_ARC
(10,12),-0.507392 # DEPENDENCYPART_ARC
(10,13),-0.624406 # DEPENDENCYPART_ARC
(10,14),-0.231844 # DEPENDENCYPART_ARC
(10,15),-0.516243 # DEPENDENCYPART_ARC
(10,16),-1.63077 # DEPENDENCYPART_ARC
(10,17),-0.640147 # DEPENDENCYPART_ARC
(10,18),-1.40822 # DEPENDENCYPART_ARC
(10,19),-2.05397 # DEPENDENCYPART_ARC
(10,20),-1.7402 # DEPENDENCYPART_ARC
(10,21),-0.568365 # DEPENDENCYPART_ARC
(10,22),-2.05965 # DEPENDENCYPART_ARC
(10,23),-0.883889 # DEPENDENCYPART_ARC
(10,24),-1.83165 # DEPENDENCYPART_ARC
(10,25),-0.506194 # DEPENDENCYPART_ARC
(10,26),-1.19163 # DEPENDENCYPART_ARC
(10,27),-2.19928 # DEPENDENCYPART_ARC
(10,28),-1.37511 # DEPENDENCYPART_ARC
(10,29),-1.07291 # DEPENDENCYPART_ARC
(10,30),-1.1229 # DEPENDENCYPART_ARC
(11,1),-3.03579 # DEPENDENCYPART_ARC
(11,2),-1.03407 # DEPENDENCYPART_ARC
(11,3),-3.35613 # DEPENDENCYPART_ARC
(11,4),-2.10948 # DEPENDENCYPART_ARC
(11,5),-2.85802 # DEPENDENCYPART_ARC
(11,6),-0.812896 # DEPENDENCYPART_ARC
(11,7),-0.498663 # DEPENDENCYPART_ARC
(11,8),-0.429385 # DEPENDENCYPART_ARC
(11,9),0.210188 # DEPENDENCYPART_ARC
(11,10),3.89817 # DEPENDENCYPART_ARC
(11,12),0.616029 # DEPENDENCYPART_ARC
(11,13),3.04873 # DEPENDENCYPART_ARC
(11,14),0.635671 # DEPENDENCYPART_ARC
(11,15),0.862395 # DEPENDENCYPART_ARC
(11,16),-1.00635 # DEPENDENCYPART_ARC
(11,17),0.550038 # DEPENDENCYPART_ARC
(11,18),-1.21999 # DEPENDENCYPART_ARC
(11,19),-0.505273 # DEPENDENCYPART_ARC
(11,20),-1.88609 # DEPENDENCYPART_ARC
(11,21),0.228272 # DEPENDENCYPART_ARC
(11,22),-2.67331 # DEPENDENCYPART_ARC
(11,23),0.31588 # DEPENDENCYPART_ARC
(11,24),-2.89742 # DEPENDENCYPART_ARC
(11,25),0.202314 # DEPENDENCYPART_ARC
(11,26),-0.42323 # DEPENDENCYPART_ARC
(11,27),-1.70256 # DEPENDENCYPART_ARC
(11,28),-0.746689 # DEPENDENCYPART_ARC
(11,29),-0.253566 # DEPENDENCYPART_ARC
(11,30),-0.169067 # DEPENDENCYPART_ARC
(12,1),-3.02051 # DEPENDENCYPART_ARC
(12,2),-1.5416 # DEPENDENCYPART_ARC
(12,3),-2.72575 # DEPENDENCYPART_ARC
(12,4),-1.7135 # DEPENDENCYPART_ARC
(12,5),-2.35137 # DEPENDENCYPART_ARC
(12,6),-1.61886 # DEPENDENCYPART_ARC
(12,7),-1.21408 # DEPENDENCYPART_ARC
(12,8),-1.07857 # DEPENDENCYPART_ARC
(12,9),-0.801324 # DEPENDENCYPART_ARC
(12,10),-0.874504 # DEPENDENCYPART_ARC
(12,11),-1.39473 # DEPENDENCYPART_ARC
(12,13),0.230771 # DEPENDENCYPART_ARC
(12,14),-0.0135213 # DEPENDENCYPART_ARC
(12,15),-0.416541 # DEPENDENCYPART_ARC
(12,16),-1.11148 # DEPENDENCYPART_ARC
(12,17),-0.771712 # DEPENDENCYPART_ARC
(12,18),-1.26866 # DEPENDENCYPART_ARC
(12,19),-2.40497 # DEPENDENCYPART_ARC
(12,20),-1.62994 # DEPENDENCYPART_ARC
(12,21),-0.686757 # DEPENDENCYPART_ARC
(12,22),-1.86231 # DEPENDENCYPART_ARC
(12,23),-1.05324 # DEPENDENCYPART_ARC
(12,24),-1.67612 # DEPENDENCYPART_ARC
(12,25),-0.823851 # DEPENDENCYPART_ARC
(12,26),-1.22816 # DEPENDENCYPART_ARC
(12,27),-2.49502 # DEPENDENCYPART_ARC
(12,28),-1.61475 # DEPENDENCYPART_ARC
(12,29),-1.22974 # DEPENDENCYPART_ARC
(12,30),-1.19799 # DEPENDENCYPART_ARC
(13,1),-2.69355 # DEPENDENCYPART_ARC
(13,2),-1.04863 # DEPENDENCYPART_ARC
(13,3),-2.77227 # DEPENDENCYPART_ARC
(13,4),-2.12288 # DEPENDENCYPART_ARC
(13,5),-2.5093 # DEPENDENCYPART_ARC
(13,6),-0.637839 # DEPENDENCYPART_ARC
(13,7),-0.722834 # DEPENDENCYPART_ARC
(13,8),-0.719266 # DEPENDENCYPART_ARC
(13,9),-0.381173 # DEPENDENCYPART_ARC
(13,10),-0.653584 # DEPENDENCYPART_ARC
(13,11),-1.93408 # DEPENDENCYPART_ARC
(13,12),3.41151 # DEPENDENCYPART_ARC
(13,14),0.350086 # DEPENDENCYPART_ARC
(13,15),0.104658 # DEPENDENCYPART_ARC
(13,16),-1.06006 # DEPENDENCYPART_ARC
(13,17),-0.132347 # DEPENDENCYPART_ARC
(13,18),-1.2892 # DEPENDENCYPART_ARC
(13,19),-2.00466 # DEPENDENCYPART_ARC
(13,20),-2.11172 # DEPENDENCYPART_ARC
(13,21),-0.66719 # DEPENDENCYPART_ARC
(13,22),-2.88903 # DEPENDENCYPART_ARC
(13,23),-0.483979 # DEPENDENCYPART_ARC
(13,24),-3.23785 # DEPENDENCYPART_ARC
(13,25),-0.717598 # DEPENDENCYPART_ARC
(13,26),-1.43876 # DEPENDENCYPART_ARC
(13,27),-2.51413 # DEPENDENCYPART_ARC
(13,28),-1.68581 # DEPENDENCYPART_ARC
(13,29),-1.33906 # DEPENDENCYPART_ARC
(13,30),-1.01271 # DEPENDENCYPART_ARC
(14,1),0.0261675 # DEPENDENCYPART_ARC
(14,2),0.018474 # DEPENDENCYPART_ARC
(14,3),0.506655 # DEPENDENCYPART_ARC
(14,4),-0.226861 # DEPENDENCYPART_ARC
(14,5),-0.47683 # DEPENDENCYPART_ARC
(14,6),0.00644723 # DEPENDENCYPART_ARC
(14,7),0.022821 # DEPENDENCYPART_ARC
(14,8),0.230624 # DEPENDENCYPART_ARC
(14,9),1.34244 # DEPENDENCYPART_ARC
(14,10),0.292028 # DEPENDENCYPART_ARC
(14,11),0.490155 # DEPENDENCYPART_ARC
(14,12),0.583497 # DEPENDENCYPART_ARC
(14,13),0.578263 # DEPENDENCYPART_ARC
(14,15),1.63355 # DEPENDENCYPART_ARC
(14,16),1.59183 # DEPENDENCYPART_ARC
(14,17),0.452585 # DEPENDENCYPART_ARC
(14,18),-0.611968 # DEPENDENCYPART_ARC
(14,19),0.0147288 # DEPENDENCYPART_ARC
(14,20),0.260865 # DEPENDENCYPART_ARC
(14,21),0.212522 # DEPENDENCYPART_ARC
(14,22),-0.667832 # DEPENDENCYPART_ARC
(14,23),-0.168876 # DEPENDENCYPART_ARC
(14,24),-0.925561 # DEPENDENCYPART_ARC
(14,25),0.291959 # DEPENDENCYPART_ARC
(14,26),-0.320825 # DEPENDENCYPART_ARC
(14,27),-0.171534 # DEPENDENCYPART_ARC
(14,28),-0.379401 # DEPENDENCYPART_ARC
(14,29),0.159134 # DEPENDENCYPART_ARC
(14,30),-0.348714 # DEPENDENCYPART_ARC
(15,1),-1.53736 # DEPENDENCYPART_ARC
(15,2),-1.22345 # DEPENDENCYPART_ARC
(15,3),-1.31838 # DEPENDENCYPART_ARC
(15,4),-1.10003 # DEPENDENCYPART_ARC
(15,5),-1.67722 # DEPENDENCYPART_ARC
(15,6),-1.23787 # DEPENDENCYPART_ARC
(15,7),-0.549386 # DEPENDENCYPART_ARC
(15,8),-0.643429 # DEPENDENCYPART_ARC
(15,9),-0.330133 # DEPENDENCYPART_ARC
(15,10),-0.673176 # DEPENDENCYPART_ARC
(15,11),-1.33197 # DEPENDENCYPART_ARC
(15,12),-0.387228 # DEPENDENCYPART_ARC
(15,13),-0.990927 # DEPENDENCYPART_ARC
(15,14),0.703208 # DEPENDENCYPART_ARC
(15,16),3.20698 # DEPENDENCYPART_ARC
(15,17),0.0834999 # DEPENDENCYPART_ARC
(15,18),-1.01995 # DEPENDENCYPART_ARC
(15,19),-0.381875 # DEPENDENCYPART_ARC
(15,20),-0.160172 # DEPENDENCYPART_ARC
(15,21),0.269886 # DEPENDENCYPART_ARC
(15,22),-1.46087 # DEPENDENCYPART_ARC
(15,23),-1.16479 # DEPENDENCYPART_ARC
(15,24),-1.81777 # DEPENDENCYPART_ARC
(15,25),0.0404124 # DEPENDENCYPART_ARC
(15,26),-1.24457 # DEPENDENCYPART_ARC
(15,27),-1.39298 # DEPENDENCYPART_ARC
(15,28),-1.38752 # DEPENDENCYPART_ARC
(15,29),-0.787944 # DEPENDENCYPART_ARC
(15,30),-0.911534 # DEPENDENCYPART_ARC
(16,1),-3.81593 # DEPENDENCYPART_ARC
(16,2),-1.96011 # DEPENDENCYPART_ARC
(16,3),-4.05475 # DEPENDENCYPART_ARC
(16,4),-3.60122 # DEPENDENCYPART_ARC
(16,5),-3.46014 # DEPENDENCYPART_ARC
(16,6),-2.85295 # DEPENDENCYPART_ARC
(16,7),-1.52708 # DEPENDENCYPART_ARC
(16,8),-1.69272 # DEPENDENCYPART_ARC
(16,9),-1.44827 # DEPENDENCYPART_ARC
(16,10),-1.46321 # DEPENDENCYPART_ARC
(16,11),-2.50543 # DEPENDENCYPART_ARC
(16,12),-0.352922 # DEPENDENCYPART_ARC
(16,13),-1.38089 # DEPENDENCYPART_ARC
(16,14),-0.299134 # DEPENDENCYPART_ARC
(16,15),0.233326 # DEPENDENCYPART_ARC
(16,17),1.90726 # DEPENDENCYPART_ARC
(16,18),-0.142238 # DEPENDENCYPART_ARC
(16,19),-0.332297 # DEPENDENCYPART_ARC
(16,20),-0.480944 # DEPENDENCYPART_ARC
(16,21),0.0414267 # DEPENDENCYPART_ARC
(16,22),-1.88603 # DEPENDENCYPART_ARC
(16,23),0.511002 # DEPENDENCYPART_ARC
(16,24),-2.05098 # DEPENDENCYPART_ARC
(16,25),0.194271 # DEPENDENCYPART_ARC
(16,26),-0.448522 # DEPENDENCYPART_ARC
(16,27),-0.933597 # DEPENDENCYPART_ARC
(16,28),-0.837242 # DEPENDENCYPART_ARC
(16,29),-0.473174 # DEPENDENCYPART_ARC
(16,30),-0.338183 # DEPENDENCYPART_ARC
(17,1),-1.3979 # DEPENDENCYPART_ARC
(17,2),-1.0294 # DEPENDENCYPART_ARC
(17,3),-1.25155 # DEPENDENCYPART_ARC
(17,4),-1.03223 # DEPENDENCYPART_ARC
(17,5),-1.62415 # DEPENDENCYPART_ARC
(17,6),-1.21712 # DEPENDENCYPART_ARC
(17,7),-0.377091 # DEPENDENCYPART_ARC
(17,8),-0.574855 # DEPENDENCYPART_ARC
