# _root_ Τα κράτη δεν μπορούν να διαθέτουν δύο ποινικούς κώδικες , έναν που θα εφαρμόζεται στη διακίνηση ναρκωτικών αποκλειστικά μέσα στα σύνορά τους , και έναν άλλο που θα εφαρμόζεται στη διακίνηση ναρκωτικών όταν αυτή έχει διασυνοριακή διάσταση .
#goldHeads=2,4,4,0,6,4,9,9,10,6,24,14,14,11,14,15,16,19,16,19,20,21,10,10,24,25,29,29,25,29,30,31,29,35,33,37,35,0,
#predictedHeads=2,4,4,0,6,4,9,9,6,14,12,14,14,9,14,15,16,19,14,19,20,21,24,14,26,24,29,29,24,29,30,31,29,37,33,37,35,0,
(6,21),-2.07212 # DEPENDENCYPART_ARC
(6,22),-4.21216 # DEPENDENCYPART_ARC
(6,23),-0.187363 # DEPENDENCYPART_ARC
(6,24),-0.0257046 # DEPENDENCYPART_ARC
(6,25),-3.14722 # DEPENDENCYPART_ARC
(6,26),-2.97391 # DEPENDENCYPART_ARC
(6,27),-3.1918 # DEPENDENCYPART_ARC
(6,28),-0.987498 # DEPENDENCYPART_ARC
(6,29),-4.56901 # DEPENDENCYPART_ARC
(6,30),-1.97823 # DEPENDENCYPART_ARC
(6,31),-3.83641 # DEPENDENCYPART_ARC
(6,32),-5.0478 # DEPENDENCYPART_ARC
(6,33),-0.04298 # DEPENDENCYPART_ARC
(6,34),-4.74828 # DEPENDENCYPART_ARC
(6,35),-5.76491 # DEPENDENCYPART_ARC
(6,36),-4.8082 # DEPENDENCYPART_ARC
(6,37),-3.60415 # DEPENDENCYPART_ARC
(6,38),-0.218668 # DEPENDENCYPART_ARC
(7,1),-0.154357 # DEPENDENCYPART_ARC
(7,2),-0.480383 # DEPENDENCYPART_ARC
(7,3),-0.198604 # DEPENDENCYPART_ARC
(7,4),-1.77965 # DEPENDENCYPART_ARC
(7,5),0.478306 # DEPENDENCYPART_ARC
(7,6),-0.730616 # DEPENDENCYPART_ARC
(7,8),0.360967 # DEPENDENCYPART_ARC
(7,9),-0.116843 # DEPENDENCYPART_ARC
(7,10),0.268202 # DEPENDENCYPART_ARC
(7,11),-0.720435 # DEPENDENCYPART_ARC
(7,12),-1.0582 # DEPENDENCYPART_ARC
(7,13),-0.537245 # DEPENDENCYPART_ARC
(7,14),-1.46967 # DEPENDENCYPART_ARC
(7,15),-0.444796 # DEPENDENCYPART_ARC
(7,16),-1.6414 # DEPENDENCYPART_ARC
(7,17),-1.52232 # DEPENDENCYPART_ARC
(7,18),-0.580385 # DEPENDENCYPART_ARC
(7,19),-0.581602 # DEPENDENCYPART_ARC
(7,20),-1.34607 # DEPENDENCYPART_ARC
(7,21),-1.71702 # DEPENDENCYPART_ARC
(7,22),-1.36754 # DEPENDENCYPART_ARC
(7,23),-1.05013 # DEPENDENCYPART_ARC
(7,24),-0.971195 # DEPENDENCYPART_ARC
(7,25),-1.56862 # DEPENDENCYPART_ARC
(7,26),-0.948572 # DEPENDENCYPART_ARC
(7,27),-1.77276 # DEPENDENCYPART_ARC
(7,28),-1.30861 # DEPENDENCYPART_ARC
(7,29),-2.23687 # DEPENDENCYPART_ARC
(7,30),-1.24976 # DEPENDENCYPART_ARC
(7,31),-2.0365 # DEPENDENCYPART_ARC
(7,32),-2.01831 # DEPENDENCYPART_ARC
(7,33),-1.24836 # DEPENDENCYPART_ARC
(7,34),-1.64977 # DEPENDENCYPART_ARC
(7,35),-2.36925 # DEPENDENCYPART_ARC
(7,36),-1.81274 # DEPENDENCYPART_ARC
(7,37),-2.23082 # DEPENDENCYPART_ARC
(7,38),-1.59742 # DEPENDENCYPART_ARC
(8,1),0.154644 # DEPENDENCYPART_ARC
(8,2),-0.601119 # DEPENDENCYPART_ARC
(8,3),-0.402891 # DEPENDENCYPART_ARC
(8,4),-2.99858 # DEPENDENCYPART_ARC
(8,5),-0.0101822 # DEPENDENCYPART_ARC
(8,6),-2.08651 # DEPENDENCYPART_ARC
(8,7),1.88648 # DEPENDENCYPART_ARC
(8,9),0.281936 # DEPENDENCYPART_ARC
(8,10),-0.0894421 # DEPENDENCYPART_ARC
(8,11),-0.67922 # DEPENDENCYPART_ARC
(8,12),-0.745928 # DEPENDENCYPART_ARC
(8,13),-0.598313 # DEPENDENCYPART_ARC
(8,14),-1.79925 # DEPENDENCYPART_ARC
(8,15),-1.02886 # DEPENDENCYPART_ARC
(8,16),-1.92068 # DEPENDENCYPART_ARC
(8,17),-1.50608 # DEPENDENCYPART_ARC
(8,18),-1.17073 # DEPENDENCYPART_ARC
(8,19),-1.26401 # DEPENDENCYPART_ARC
(8,20),-0.994864 # DEPENDENCYPART_ARC
(8,21),-2.45176 # DEPENDENCYPART_ARC
(8,22),-1.13552 # DEPENDENCYPART_ARC
(8,23),-0.709683 # DEPENDENCYPART_ARC
(8,24),-0.723062 # DEPENDENCYPART_ARC
(8,25),-1.81419 # DEPENDENCYPART_ARC
(8,26),-1.83485 # DEPENDENCYPART_ARC
(8,27),-1.9064 # DEPENDENCYPART_ARC
(8,28),-1.42178 # DEPENDENCYPART_ARC
(8,29),-2.83835 # DEPENDENCYPART_ARC
(8,30),-1.81373 # DEPENDENCYPART_ARC
(8,31),-2.9799 # DEPENDENCYPART_ARC
(8,32),-2.38509 # DEPENDENCYPART_ARC
(8,33),-1.04317 # DEPENDENCYPART_ARC
(8,34),-2.36933 # DEPENDENCYPART_ARC
(8,35),-3.23763 # DEPENDENCYPART_ARC
(8,36),-4.16492 # DEPENDENCYPART_ARC
(8,37),-3.27524 # DEPENDENCYPART_ARC
(8,38),-1.39082 # DEPENDENCYPART_ARC
(9,1),0.346127 # DEPENDENCYPART_ARC
(9,2),-1.16925 # DEPENDENCYPART_ARC
(9,3),-0.2458 # DEPENDENCYPART_ARC
(9,4),-2.05292 # DEPENDENCYPART_ARC
(9,5),0.257956 # DEPENDENCYPART_ARC
(9,6),-1.52448 # DEPENDENCYPART_ARC
(9,7),2.55098 # DEPENDENCYPART_ARC
(9,8),3.79637 # DEPENDENCYPART_ARC
(9,10),0.297529 # DEPENDENCYPART_ARC
(9,11),-0.673128 # DEPENDENCYPART_ARC
(9,12),-2.20468 # DEPENDENCYPART_ARC
(9,13),-0.603019 # DEPENDENCYPART_ARC
(9,14),0.476148 # DEPENDENCYPART_ARC
(9,15),-1.13468 # DEPENDENCYPART_ARC
(9,16),-2.28119 # DEPENDENCYPART_ARC
(9,17),-1.48501 # DEPENDENCYPART_ARC
(9,18),-0.682003 # DEPENDENCYPART_ARC
(9,19),-0.803642 # DEPENDENCYPART_ARC
(9,20),-1.50525 # DEPENDENCYPART_ARC
(9,21),-3.11224 # DEPENDENCYPART_ARC
(9,22),-1.65831 # DEPENDENCYPART_ARC
(9,23),-0.721893 # DEPENDENCYPART_ARC
(9,24),-0.346453 # DEPENDENCYPART_ARC
(9,25),-2.37391 # DEPENDENCYPART_ARC
(9,26),-2.97573 # DEPENDENCYPART_ARC
(9,27),-4.46704 # DEPENDENCYPART_ARC
(9,28),-1.57145 # DEPENDENCYPART_ARC
(9,29),-0.598332 # DEPENDENCYPART_ARC
(9,30),-2.30276 # DEPENDENCYPART_ARC
(9,31),-4.15647 # DEPENDENCYPART_ARC
(9,32),-3.52633 # DEPENDENCYPART_ARC
(9,33),-1.14566 # DEPENDENCYPART_ARC
(9,34),-3.73184 # DEPENDENCYPART_ARC
(9,35),-1.03106 # DEPENDENCYPART_ARC
(9,36),-2.22912 # DEPENDENCYPART_ARC
(9,37),-4.67345 # DEPENDENCYPART_ARC
(9,38),-0.710693 # DEPENDENCYPART_ARC
(10,1),-0.608485 # DEPENDENCYPART_ARC
(10,2),-0.278325 # DEPENDENCYPART_ARC
(10,3),0.0206024 # DEPENDENCYPART_ARC
(10,4),-0.16391 # DEPENDENCYPART_ARC
(10,5),0.246165 # DEPENDENCYPART_ARC
(10,6),-0.184698 # DEPENDENCYPART_ARC
(10,7),0.111696 # DEPENDENCYPART_ARC
(10,8),0.14548 # DEPENDENCYPART_ARC
(10,9),0.772361 # DEPENDENCYPART_ARC
(10,11),0.0132454 # DEPENDENCYPART_ARC
(10,12),-0.491507 # DEPENDENCYPART_ARC
(10,13),-0.172127 # DEPENDENCYPART_ARC
(10,14),-0.354683 # DEPENDENCYPART_ARC
(10,15),-0.593469 # DEPENDENCYPART_ARC
(10,16),-1.02261 # DEPENDENCYPART_ARC
(10,17),-1.01165 # DEPENDENCYPART_ARC
(10,18),-0.558858 # DEPENDENCYPART_ARC
(10,19),-0.575768 # DEPENDENCYPART_ARC
(10,20),-0.490678 # DEPENDENCYPART_ARC
(10,21),-1.34564 # DEPENDENCYPART_ARC
(10,22),-1.59595 # DEPENDENCYPART_ARC
(10,23),-0.459187 # DEPENDENCYPART_ARC
(10,24),-0.902622 # DEPENDENCYPART_ARC
(10,25),-1.22822 # DEPENDENCYPART_ARC
(10,26),-1.81459 # DEPENDENCYPART_ARC
(10,27),-1.88385 # DEPENDENCYPART_ARC
(10,28),-1.09744 # DEPENDENCYPART_ARC
(10,29),-1.08004 # DEPENDENCYPART_ARC
(10,30),-1.15841 # DEPENDENCYPART_ARC
(10,31),-2.0619 # DEPENDENCYPART_ARC
(10,32),-2.00688 # DEPENDENCYPART_ARC
(10,33),-0.66345 # DEPENDENCYPART_ARC
(10,34),-2.00632 # DEPENDENCYPART_ARC
(10,35),-1.2438 # DEPENDENCYPART_ARC
(10,36),-1.60634 # DEPENDENCYPART_ARC
(10,37),-2.21227 # DEPENDENCYPART_ARC
(10,38),-0.854086 # DEPENDENCYPART_ARC
(11,1),-1.46433 # DEPENDENCYPART_ARC
(11,2),-1.8077 # DEPENDENCYPART_ARC
(11,3),-0.947371 # DEPENDENCYPART_ARC
(11,4),-2.96939 # DEPENDENCYPART_ARC
(11,5),-0.771114 # DEPENDENCYPART_ARC
(11,6),-2.70835 # DEPENDENCYPART_ARC
(11,7),-0.452539 # DEPENDENCYPART_ARC
(11,8),-1.48195 # DEPENDENCYPART_ARC
(11,9),-0.607781 # DEPENDENCYPART_ARC
(11,10),0.347191 # DEPENDENCYPART_ARC
(11,12),0.0653767 # DEPENDENCYPART_ARC
(11,13),0.577863 # DEPENDENCYPART_ARC
(11,14),-1.36375 # DEPENDENCYPART_ARC
(11,15),-0.204157 # DEPENDENCYPART_ARC
(11,16),-0.74952 # DEPENDENCYPART_ARC
(11,17),-0.812182 # DEPENDENCYPART_ARC
(11,18),-0.0386348 # DEPENDENCYPART_ARC
(11,19),-0.0778736 # DEPENDENCYPART_ARC
(11,20),-0.388948 # DEPENDENCYPART_ARC
(11,21),-1.19092 # DEPENDENCYPART_ARC
(11,22),-1.74686 # DEPENDENCYPART_ARC
(11,23),-0.155778 # DEPENDENCYPART_ARC
(11,24),-0.0513076 # DEPENDENCYPART_ARC
(11,25),-0.888602 # DEPENDENCYPART_ARC
(11,26),-1.30311 # DEPENDENCYPART_ARC
(11,27),-1.94449 # DEPENDENCYPART_ARC
(11,28),-0.642233 # DEPENDENCYPART_ARC
(11,29),-2.4836 # DEPENDENCYPART_ARC
(11,30),-0.760198 # DEPENDENCYPART_ARC
(11,31),-1.49757 # DEPENDENCYPART_ARC
(11,32),-1.16409 # DEPENDENCYPART_ARC
(11,33),-0.446928 # DEPENDENCYPART_ARC
(11,34),-1.91075 # DEPENDENCYPART_ARC
(11,35),-2.87131 # DEPENDENCYPART_ARC
(11,36),-1.72342 # DEPENDENCYPART_ARC
(11,37),-1.7233 # DEPENDENCYPART_ARC
(11,38),-0.651212 # DEPENDENCYPART_ARC
(12,1),-1.52234 # DEPENDENCYPART_ARC
(12,2),-2.49453 # DEPENDENCYPART_ARC
(12,3),-1.29101 # DEPENDENCYPART_ARC
(12,4),-3.29849 # DEPENDENCYPART_ARC
(12,5),-1.1897 # DEPENDENCYPART_ARC
(12,6),-3.01477 # DEPENDENCYPART_ARC
(12,7),-1.46829 # DEPENDENCYPART_ARC
(12,8),-2.69626 # DEPENDENCYPART_ARC
(12,9),-1.90469 # DEPENDENCYPART_ARC
(12,10),-0.183801 # DEPENDENCYPART_ARC
(12,11),1.21333 # DEPENDENCYPART_ARC
(12,13),0.103286 # DEPENDENCYPART_ARC
(12,14),-1.2109 # DEPENDENCYPART_ARC
(12,15),-1.57502 # DEPENDENCYPART_ARC
(12,16),-1.80841 # DEPENDENCYPART_ARC
(12,17),-0.539308 # DEPENDENCYPART_ARC
(12,18),-1.12608 # DEPENDENCYPART_ARC
(12,19),-1.13487 # DEPENDENCYPART_ARC
(12,20),-1.74455 # DEPENDENCYPART_ARC
(12,21),-2.57777 # DEPENDENCYPART_ARC
(12,22),-2.04133 # DEPENDENCYPART_ARC
(12,23),-1.19927 # DEPENDENCYPART_ARC
(12,24),-0.923734 # DEPENDENCYPART_ARC
(12,25),-2.71978 # DEPENDENCYPART_ARC
(12,26),-2.37849 # DEPENDENCYPART_ARC
(12,27),-3.07082 # DEPENDENCYPART_ARC
(12,28),-1.70085 # DEPENDENCYPART_ARC
(12,29),-2.60995 # DEPENDENCYPART_ARC
(12,30),-2.31939 # DEPENDENCYPART_ARC
(12,31),-2.86202 # DEPENDENCYPART_ARC
(12,32),-1.52034 # DEPENDENCYPART_ARC
(12,33),-1.21055 # DEPENDENCYPART_ARC
(12,34),-3.00422 # DEPENDENCYPART_ARC
(12,35),-2.50509 # DEPENDENCYPART_ARC
(12,36),-3.10605 # DEPENDENCYPART_ARC
(12,37),-3.07718 # DEPENDENCYPART_ARC
(12,38),-1.69421 # DEPENDENCYPART_ARC
(13,1),-2.18413 # DEPENDENCYPART_ARC
(13,2),-2.67931 # DEPENDENCYPART_ARC
(13,3),-2.20868 # DEPENDENCYPART_ARC
(13,4),-2.40952 # DEPENDENCYPART_ARC
(13,5),-2.04717 # DEPENDENCYPART_ARC
(13,6),-2.17668 # DEPENDENCYPART_ARC
(13,7),-1.79652 # DEPENDENCYPART_ARC
(13,8),-2.08267 # DEPENDENCYPART_ARC
(13,9),-2.03195 # DEPENDENCYPART_ARC
(13,10),-1.40333 # DEPENDENCYPART_ARC
(13,11),-0.815829 # DEPENDENCYPART_ARC
(13,12),-0.751988 # DEPENDENCYPART_ARC
(13,14),0.294076 # DEPENDENCYPART_ARC
(13,15),-0.6126 # DEPENDENCYPART_ARC
