# _root_ Μιλώντας στην 46η επέτειο από την εξέγερση των κατοίκων του Θιβέτ , ο Δαλάι Λάμα είπε ότι η εικόνα της Κίνας δέχεται πλήγματα από αντιδημοκρατικές συμπεριφορές , καταπάτηση των ανθρωπίνων δικαιωμάτων και ανισότητες στον τρόπο μεταχείρισης των μειονοτήτων .
#goldHeads=16,1,4,2,4,7,5,9,7,11,9,16,15,15,16,0,16,19,22,21,19,17,22,23,26,32,32,32,31,31,28,24,32,33,34,35,38,36,0,
#predictedHeads=16,1,4,2,1,7,5,9,7,11,9,16,15,15,16,0,16,19,22,21,19,17,22,22,26,24,32,32,31,31,32,24,32,28,34,35,38,36,0,
(4,14),-0.303173 # DEPENDENCYPART_ARC
(4,15),-2.52148 # DEPENDENCYPART_ARC
(4,16),-0.575859 # DEPENDENCYPART_ARC
(4,17),-0.900317 # DEPENDENCYPART_ARC
(4,18),-1.69124 # DEPENDENCYPART_ARC
(4,19),-4.10787 # DEPENDENCYPART_ARC
(4,20),-1.68853 # DEPENDENCYPART_ARC
(4,21),-2.87123 # DEPENDENCYPART_ARC
(4,22),-2.36953 # DEPENDENCYPART_ARC
(4,23),-4.88754 # DEPENDENCYPART_ARC
(4,24),-1.27811 # DEPENDENCYPART_ARC
(4,25),-2.29538 # DEPENDENCYPART_ARC
(4,26),-5.29208 # DEPENDENCYPART_ARC
(4,27),-0.997072 # DEPENDENCYPART_ARC
(4,28),-5.80887 # DEPENDENCYPART_ARC
(4,29),-1.95307 # DEPENDENCYPART_ARC
(4,30),-2.44477 # DEPENDENCYPART_ARC
(4,31),-4.66689 # DEPENDENCYPART_ARC
(4,32),-1.10332 # DEPENDENCYPART_ARC
(4,33),-6.88495 # DEPENDENCYPART_ARC
(4,34),-0.71896 # DEPENDENCYPART_ARC
(4,35),-7.30754 # DEPENDENCYPART_ARC
(4,36),-5.93051 # DEPENDENCYPART_ARC
(4,37),-2.03899 # DEPENDENCYPART_ARC
(4,38),-6.42065 # DEPENDENCYPART_ARC
(4,39),0.0174367 # DEPENDENCYPART_ARC
(5,1),-1.33036 # DEPENDENCYPART_ARC
(5,3),-0.510741 # DEPENDENCYPART_ARC
(5,4),-0.859232 # DEPENDENCYPART_ARC
(5,6),0.205489 # DEPENDENCYPART_ARC
(5,7),2.4646 # DEPENDENCYPART_ARC
(5,8),-0.725003 # DEPENDENCYPART_ARC
(5,9),0.253143 # DEPENDENCYPART_ARC
(5,10),-1.16169 # DEPENDENCYPART_ARC
(5,11),-0.682119 # DEPENDENCYPART_ARC
(5,12),-0.350521 # DEPENDENCYPART_ARC
(5,13),-1.4488 # DEPENDENCYPART_ARC
(5,14),-0.766843 # DEPENDENCYPART_ARC
(5,15),-1.94682 # DEPENDENCYPART_ARC
(5,16),-1.4197 # DEPENDENCYPART_ARC
(5,17),-1.05106 # DEPENDENCYPART_ARC
(5,18),-1.89851 # DEPENDENCYPART_ARC
(5,19),-4.13765 # DEPENDENCYPART_ARC
(5,20),-1.95781 # DEPENDENCYPART_ARC
(5,21),-5.01118 # DEPENDENCYPART_ARC
(5,22),-2.40176 # DEPENDENCYPART_ARC
(5,23),-5.7189 # DEPENDENCYPART_ARC
(5,24),-1.63698 # DEPENDENCYPART_ARC
(5,25),-1.63601 # DEPENDENCYPART_ARC
(5,26),-6.30719 # DEPENDENCYPART_ARC
(5,27),-1.71022 # DEPENDENCYPART_ARC
(5,28),-7.62041 # DEPENDENCYPART_ARC
(5,29),-2.30759 # DEPENDENCYPART_ARC
(5,30),-2.10912 # DEPENDENCYPART_ARC
(5,31),-8.56562 # DEPENDENCYPART_ARC
(5,32),-2.40252 # DEPENDENCYPART_ARC
(5,33),-9.19471 # DEPENDENCYPART_ARC
(5,35),-9.57537 # DEPENDENCYPART_ARC
(5,36),-10.5766 # DEPENDENCYPART_ARC
(5,37),-2.55017 # DEPENDENCYPART_ARC
(5,38),-11.3443 # DEPENDENCYPART_ARC
(5,39),-2.8894 # DEPENDENCYPART_ARC
(6,4),-1.8149 # DEPENDENCYPART_ARC
(6,7),0.0645522 # DEPENDENCYPART_ARC
(6,9),-0.591521 # DEPENDENCYPART_ARC
(6,14),-0.684628 # DEPENDENCYPART_ARC
(6,15),-1.73133 # DEPENDENCYPART_ARC
(6,19),-2.4604 # DEPENDENCYPART_ARC
(6,23),-2.40632 # DEPENDENCYPART_ARC
(6,26),-2.50858 # DEPENDENCYPART_ARC
(6,28),-2.44282 # DEPENDENCYPART_ARC
(6,31),-2.23219 # DEPENDENCYPART_ARC
(6,32),-1.31132 # DEPENDENCYPART_ARC
(6,33),-2.87315 # DEPENDENCYPART_ARC
(6,35),-2.51707 # DEPENDENCYPART_ARC
(6,36),-2.17081 # DEPENDENCYPART_ARC
(6,38),-2.52858 # DEPENDENCYPART_ARC
(7,1),-2.63446 # DEPENDENCYPART_ARC
(7,2),-0.790166 # DEPENDENCYPART_ARC
(7,3),-0.407443 # DEPENDENCYPART_ARC
(7,4),-0.815099 # DEPENDENCYPART_ARC
(7,5),0.00418703 # DEPENDENCYPART_ARC
(7,6),3.2016 # DEPENDENCYPART_ARC
(7,8),0.466996 # DEPENDENCYPART_ARC
(7,9),2.57457 # DEPENDENCYPART_ARC
(7,10),-0.346531 # DEPENDENCYPART_ARC
(7,11),0.49854 # DEPENDENCYPART_ARC
(7,12),-0.0667533 # DEPENDENCYPART_ARC
(7,13),-0.942402 # DEPENDENCYPART_ARC
(7,14),-0.145103 # DEPENDENCYPART_ARC
(7,15),-1.35615 # DEPENDENCYPART_ARC
(7,16),-0.826301 # DEPENDENCYPART_ARC
(7,17),-0.208445 # DEPENDENCYPART_ARC
(7,18),-1.61589 # DEPENDENCYPART_ARC
(7,19),-2.97512 # DEPENDENCYPART_ARC
(7,20),-1.4185 # DEPENDENCYPART_ARC
(7,21),-1.48875 # DEPENDENCYPART_ARC
(7,22),-2.63144 # DEPENDENCYPART_ARC
(7,23),-3.99428 # DEPENDENCYPART_ARC
(7,24),-1.02109 # DEPENDENCYPART_ARC
(7,25),-1.81742 # DEPENDENCYPART_ARC
(7,26),-3.61167 # DEPENDENCYPART_ARC
(7,27),-0.775129 # DEPENDENCYPART_ARC
(7,28),-4.77646 # DEPENDENCYPART_ARC
(7,29),-1.86555 # DEPENDENCYPART_ARC
(7,30),-2.10689 # DEPENDENCYPART_ARC
(7,31),-2.93182 # DEPENDENCYPART_ARC
(7,32),-0.91041 # DEPENDENCYPART_ARC
(7,33),-5.91729 # DEPENDENCYPART_ARC
(7,34),-0.540576 # DEPENDENCYPART_ARC
(7,35),-6.06518 # DEPENDENCYPART_ARC
(7,36),-4.76973 # DEPENDENCYPART_ARC
(7,37),-1.71507 # DEPENDENCYPART_ARC
(7,38),-5.08206 # DEPENDENCYPART_ARC
(7,39),-0.304613 # DEPENDENCYPART_ARC
(8,4),-2.2551 # DEPENDENCYPART_ARC
(8,7),-1.35272 # DEPENDENCYPART_ARC
(8,9),0.202095 # DEPENDENCYPART_ARC
(8,14),-0.923118 # DEPENDENCYPART_ARC
(8,15),-2.12312 # DEPENDENCYPART_ARC
(8,19),-2.57443 # DEPENDENCYPART_ARC
(8,23),-2.52301 # DEPENDENCYPART_ARC
(8,26),-2.81796 # DEPENDENCYPART_ARC
(8,28),-2.78857 # DEPENDENCYPART_ARC
(8,31),-2.40853 # DEPENDENCYPART_ARC
(8,32),-1.15684 # DEPENDENCYPART_ARC
(8,33),-2.95874 # DEPENDENCYPART_ARC
(8,35),-2.78935 # DEPENDENCYPART_ARC
(8,36),-2.60671 # DEPENDENCYPART_ARC
(8,38),-2.68133 # DEPENDENCYPART_ARC
(9,1),-1.61243 # DEPENDENCYPART_ARC
(9,2),-2.86777 # DEPENDENCYPART_ARC
(9,3),-0.923941 # DEPENDENCYPART_ARC
(9,4),-3.53851 # DEPENDENCYPART_ARC
(9,5),-0.87765 # DEPENDENCYPART_ARC
(9,6),-1.35499 # DEPENDENCYPART_ARC
(9,7),-2.07818 # DEPENDENCYPART_ARC
(9,8),3.4336 # DEPENDENCYPART_ARC
(9,10),0.31246 # DEPENDENCYPART_ARC
(9,11),1.18376 # DEPENDENCYPART_ARC
(9,12),0.201442 # DEPENDENCYPART_ARC
(9,13),-0.540469 # DEPENDENCYPART_ARC
(9,14),0.0400334 # DEPENDENCYPART_ARC
(9,15),-0.699161 # DEPENDENCYPART_ARC
(9,16),-1.83562 # DEPENDENCYPART_ARC
(9,17),-0.1095 # DEPENDENCYPART_ARC
(9,18),-1.84698 # DEPENDENCYPART_ARC
(9,19),-2.01927 # DEPENDENCYPART_ARC
(9,20),-1.92925 # DEPENDENCYPART_ARC
(9,21),-1.08367 # DEPENDENCYPART_ARC
(9,22),-2.86041 # DEPENDENCYPART_ARC
(9,23),-3.85263 # DEPENDENCYPART_ARC
(9,24),-1.10062 # DEPENDENCYPART_ARC
(9,25),-1.52142 # DEPENDENCYPART_ARC
(9,26),-3.55921 # DEPENDENCYPART_ARC
(9,27),-0.728435 # DEPENDENCYPART_ARC
(9,28),-4.1308 # DEPENDENCYPART_ARC
(9,29),-1.93381 # DEPENDENCYPART_ARC
(9,30),-0.898737 # DEPENDENCYPART_ARC
(9,31),-3.14531 # DEPENDENCYPART_ARC
(9,32),-1.02225 # DEPENDENCYPART_ARC
(9,33),-5.51795 # DEPENDENCYPART_ARC
(9,34),-0.973793 # DEPENDENCYPART_ARC
(9,35),-5.54505 # DEPENDENCYPART_ARC
(9,36),-4.36516 # DEPENDENCYPART_ARC
(9,37),-2.34895 # DEPENDENCYPART_ARC
(9,38),-5.02989 # DEPENDENCYPART_ARC
(9,39),-0.178326 # DEPENDENCYPART_ARC
(10,4),-2.14076 # DEPENDENCYPART_ARC
(10,7),-1.77997 # DEPENDENCYPART_ARC
(10,9),-0.398384 # DEPENDENCYPART_ARC
(10,14),-0.312356 # DEPENDENCYPART_ARC
(10,15),-1.18238 # DEPENDENCYPART_ARC
(10,19),-2.04417 # DEPENDENCYPART_ARC
(10,23),-2.05422 # DEPENDENCYPART_ARC
(10,26),-2.5189 # DEPENDENCYPART_ARC
(10,28),-2.15026 # DEPENDENCYPART_ARC
(10,31),-1.81831 # DEPENDENCYPART_ARC
(10,32),-0.991543 # DEPENDENCYPART_ARC
(10,33),-2.51573 # DEPENDENCYPART_ARC
(10,35),-2.26082 # DEPENDENCYPART_ARC
(10,36),-2.11402 # DEPENDENCYPART_ARC
(10,38),-2.33631 # DEPENDENCYPART_ARC
(11,1),-1.06509 # DEPENDENCYPART_ARC
(11,2),-0.67636 # DEPENDENCYPART_ARC
(11,3),-0.402915 # DEPENDENCYPART_ARC
(11,4),-0.860541 # DEPENDENCYPART_ARC
(11,5),-0.670961 # DEPENDENCYPART_ARC
(11,6),0.345507 # DEPENDENCYPART_ARC
(11,7),-0.569644 # DEPENDENCYPART_ARC
(11,8),1.05493 # DEPENDENCYPART_ARC
(11,9),-0.00475059 # DEPENDENCYPART_ARC
(11,10),2.73472 # DEPENDENCYPART_ARC
(11,12),0.174933 # DEPENDENCYPART_ARC
(11,13),-0.295117 # DEPENDENCYPART_ARC
(11,14),-0.0660474 # DEPENDENCYPART_ARC
(11,15),-0.0784315 # DEPENDENCYPART_ARC
(11,16),-0.643405 # DEPENDENCYPART_ARC
(11,18),-1.44736 # DEPENDENCYPART_ARC
(11,19),-1.15649 # DEPENDENCYPART_ARC
(11,20),-1.51338 # DEPENDENCYPART_ARC
(11,21),-1.10643 # DEPENDENCYPART_ARC
(11,22),-1.4121 # DEPENDENCYPART_ARC
(11,23),-1.11511 # DEPENDENCYPART_ARC
(11,24),-1.10462 # DEPENDENCYPART_ARC
(11,25),-1.22715 # DEPENDENCYPART_ARC
(11,26),-1.2056 # DEPENDENCYPART_ARC
(11,27),-1.1596 # DEPENDENCYPART_ARC
(11,28),-1.23847 # DEPENDENCYPART_ARC
(11,29),-1.6813 # DEPENDENCYPART_ARC
(11,30),-1.30606 # DEPENDENCYPART_ARC
(11,31),-1.21902 # DEPENDENCYPART_ARC
(11,32),-1.10368 # DEPENDENCYPART_ARC
(11,33),-1.30442 # DEPENDENCYPART_ARC
(11,34),-1.40266 # DEPENDENCYPART_ARC
(11,35),-1.29768 # DEPENDENCYPART_ARC
(11,36),-1.46623 # DEPENDENCYPART_ARC
(11,37),-1.95191 # DEPENDENCYPART_ARC
(11,38),-1.50721 # DEPENDENCYPART_ARC
(11,39),-1.22572 # DEPENDENCYPART_ARC
(12,1),-0.533732 # DEPENDENCYPART_ARC
(12,2),-0.518842 # DEPENDENCYPART_ARC
(12,3),-0.305972 # DEPENDENCYPART_ARC
(12,4),-0.563806 # DEPENDENCYPART_ARC
(12,5),-0.156989 # DEPENDENCYPART_ARC
(12,7),-0.152246 # DEPENDENCYPART_ARC
(12,9),0.238571 # DEPENDENCYPART_ARC
(12,11),0.167701 # DEPENDENCYPART_ARC
(12,14),-0.171766 # DEPENDENCYPART_ARC
(12,15),0.102767 # DEPENDENCYPART_ARC
(12,16),-0.239543 # DEPENDENCYPART_ARC
(12,17),-0.591896 # DEPENDENCYPART_ARC
(12,19),-1.25122 # DEPENDENCYPART_ARC
(12,21),-1.39996 # DEPENDENCYPART_ARC
(12,22),-0.829182 # DEPENDENCYPART_ARC
(12,23),-1.54841 # DEPENDENCYPART_ARC
(12,24),-1.03064 # DEPENDENCYPART_ARC
(12,25),-1.44424 # DEPENDENCYPART_ARC
(12,26),-1.30588 # DEPENDENCYPART_ARC
(12,27),-0.618495 # DEPENDENCYPART_ARC
(12,28),-1.69549 # DEPENDENCYPART_ARC
(12,30),-1.41339 # DEPENDENCYPART_ARC
(12,31),-1.52346 # DEPENDENCYPART_ARC
(12,32),-0.94788 # DEPENDENCYPART_ARC
(12,33),-1.87079 # DEPENDENCYPART_ARC
(12,34),-2.16823 # DEPENDENCYPART_ARC
(12,35),-1.91834 # DEPENDENCYPART_ARC
(12,36),-1.89863 # DEPENDENCYPART_ARC
(12,38),-1.93135 # DEPENDENCYPART_ARC
(12,39),-0.919619 # DEPENDENCYPART_ARC
(13,4),-1.77676 # DEPENDENCYPART_ARC
(13,7),-1.74236 # DEPENDENCYPART_ARC
(13,9),-1.56177 # DEPENDENCYPART_ARC
(13,14),0.828954 # DEPENDENCYPART_ARC
(13,15),-0.381285 # DEPENDENCYPART_ARC
(13,19),-2.0044 # DEPENDENCYPART_ARC
(13,23),-1.9966 # DEPENDENCYPART_ARC
(13,26),-2.46292 # DEPENDENCYPART_ARC
(13,28),-2.22854 # DEPENDENCYPART_ARC
(13,31),-1.83917 # DEPENDENCYPART_ARC
(13,32),-0.655192 # DEPENDENCYPART_ARC
(13,33),-2.47949 # DEPENDENCYPART_ARC
(13,35),-2.28732 # DEPENDENCYPART_ARC
(13,36),-2.2685 # DEPENDENCYPART_ARC
(13,38),-2.40238 # DEPENDENCYPART_ARC
(14,1),-1.68264 # DEPENDENCYPART_ARC
(14,2),-0.917966 # DEPENDENCYPART_ARC
(14,3),-1.14338 # DEPENDENCYPART_ARC
(14,4),-1.4493 # DEPENDENCYPART_ARC
(14,5),-0.810617 # DEPENDENCYPART_ARC
(14,6),-1.10696 # DEPENDENCYPART_ARC
(14,7),-1.29902 # DEPENDENCYPART_ARC
(14,8),-0.343998 # DEPENDENCYPART_ARC
(14,9),-1.04742 # DEPENDENCYPART_ARC
(14,10),-0.645374 # DEPENDENCYPART_ARC
(14,11),-0.583327 # DEPENDENCYPART_ARC
(14,12),-0.181269 # DEPENDENCYPART_ARC
(14,13),0.381312 # DEPENDENCYPART_ARC
(14,15),0.324802 # DEPENDENCYPART_ARC
(14,16),0.0162011 # DEPENDENCYPART_ARC
(14,17),-0.519906 # DEPENDENCYPART_ARC
(14,18),-1.71862 # DEPENDENCYPART_ARC
(14,19),-1.51006 # DEPENDENCYPART_ARC
(14,20),-1.73896 # DEPENDENCYPART_ARC
(14,21),-1.86106 # DEPENDENCYPART_ARC
(14,22),-1.43417 # DEPENDENCYPART_ARC
(14,23),-2.44387 # DEPENDENCYPART_ARC
(14,24),-1.13935 # DEPENDENCYPART_ARC
(14,25),-2.2821 # DEPENDENCYPART_ARC
(14,26),-3.02028 # DEPENDENCYPART_ARC
(14,27),-1.17184 # DEPENDENCYPART_ARC
(14,28),-2.96458 # DEPENDENCYPART_ARC
(14,29),-1.81018 # DEPENDENCYPART_ARC
(14,30),-1.68806 # DEPENDENCYPART_ARC
(14,31),-2.59399 # DEPENDENCYPART_ARC
(14,32),-1.25604 # DEPENDENCYPART_ARC
(14,33),-3.26776 # DEPENDENCYPART_ARC
(14,34),-1.85935 # DEPENDENCYPART_ARC
(14,35),-3.64414 # DEPENDENCYPART_ARC
(14,36),-3.20544 # DEPENDENCYPART_ARC
(14,37),-2.41582 # DEPENDENCYPART_ARC
(14,38),-3.64211 # DEPENDENCYPART_ARC
(14,39),-1.8662 # DEPENDENCYPART_ARC
(15,1),-2.14722 # DEPENDENCYPART_ARC
(15,2),-0.520696 # DEPENDENCYPART_ARC
(15,3),-0.536319 # DEPENDENCYPART_ARC
(15,4),-1.44149 # DEPENDENCYPART_ARC
(15,5),-0.461261 # DEPENDENCYPART_ARC
(15,6),-0.275967 # DEPENDENCYPART_ARC
(15,7),-0.927076 # DEPENDENCYPART_ARC
(15,8),-2.13201 # DEPENDENCYPART_ARC
(15,9),-1.96911 # DEPENDENCYPART_ARC
(15,10),-0.668487 # DEPENDENCYPART_ARC
(15,11),-0.14492 # DEPENDENCYPART_ARC
(15,12),0.237306 # DEPENDENCYPART_ARC
(15,13),1.77732 # DEPENDENCYPART_ARC
(15,14),2.2463 # DEPENDENCYPART_ARC
(15,16),-0.304446 # DEPENDENCYPART_ARC
(15,17),-0.159196 # DEPENDENCYPART_ARC
(15,18),-1.68493 # DEPENDENCYPART_ARC
(15,19),-2.15967 # DEPENDENCYPART_ARC
(15,20),-1.63394 # DEPENDENCYPART_ARC
(15,21),-1.45248 # DEPENDENCYPART_ARC
(15,22),-3.15993 # DEPENDENCYPART_ARC
(15,23),-3.58321 # DEPENDENCYPART_ARC
(15,24),-1.41654 # DEPENDENCYPART_ARC
(15,25),-2.39595 # DEPENDENCYPART_ARC
(15,26),-3.71578 # DEPENDENCYPART_ARC
(15,27),-1.25461 # DEPENDENCYPART_ARC
(15,28),-4.35023 # DEPENDENCYPART_ARC
(15,29),-2.30204 # DEPENDENCYPART_ARC
(15,30),-2.57084 # DEPENDENCYPART_ARC
(15,31),-3.28418 # DEPENDENCYPART_ARC
(15,32),-1.1962 # DEPENDENCYPART_ARC
(15,33),-5.41725 # DEPENDENCYPART_ARC
(15,34),-0.879742 # DEPENDENCYPART_ARC
(15,35),-5.64464 # DEPENDENCYPART_ARC
(15,36),-4.32188 # DEPENDENCYPART_ARC
(15,37),-2.38144 # DEPENDENCYPART_ARC
(15,38),-4.881 # DEPENDENCYPART_ARC
(15,39),-0.684241 # DEPENDENCYPART_ARC
(16,1),2.81209 # DEPENDENCYPART_ARC
(16,2),-0.239176 # DEPENDENCYPART_ARC
(16,3),0.196707 # DEPENDENCYPART_ARC
(16,4),-0.805193 # DEPENDENCYPART_ARC
(16,5),-0.167676 # DEPENDENCYPART_ARC
(16,6),-1.89803 # DEPENDENCYPART_ARC
(16,7),-0.328515 # DEPENDENCYPART_ARC
(16,8),-2.73031 # DEPENDENCYPART_ARC
(16,9),-2.06619 # DEPENDENCYPART_ARC
