# _root_ Το Κάστρο βρίσκεται πάνω σε ένα γιγαντιαίο βράχο , κρεμασμένο πάνω από το πέλαγος , με πανοραμική θέα και αποτελεί ένα φυσικό φρούριο .
#goldHeads=2,19,19,3,4,8,8,5,10,3,10,11,14,12,10,2,18,16,0,19,23,23,20,0,
#predictedHeads=2,3,0,3,4,8,8,5,3,8,10,11,14,12,16,10,18,16,16,19,23,23,20,0,
(1,10),-2.66344 # DEPENDENCYPART_ARC
(1,11),-1.17801 # DEPENDENCYPART_ARC
(1,12),-1.56121 # DEPENDENCYPART_ARC
(1,13),-1.91644 # DEPENDENCYPART_ARC
(1,14),-2.20374 # DEPENDENCYPART_ARC
(1,15),-1.27805 # DEPENDENCYPART_ARC
(1,16),-1.51896 # DEPENDENCYPART_ARC
(1,17),-2.66855 # DEPENDENCYPART_ARC
(1,18),-2.50722 # DEPENDENCYPART_ARC
(1,19),-1.28411 # DEPENDENCYPART_ARC
(1,20),-3.79894 # DEPENDENCYPART_ARC
(1,21),-2.1618 # DEPENDENCYPART_ARC
(1,22),-2.78285 # DEPENDENCYPART_ARC
(1,23),-2.43698 # DEPENDENCYPART_ARC
(1,24),-1.69874 # DEPENDENCYPART_ARC
(2,1),3.00479 # DEPENDENCYPART_ARC
(2,3),-1.07226 # DEPENDENCYPART_ARC
(2,4),-0.588166 # DEPENDENCYPART_ARC
(2,5),-1.26849 # DEPENDENCYPART_ARC
(2,6),-2.31484 # DEPENDENCYPART_ARC
(2,7),-1.81406 # DEPENDENCYPART_ARC
(2,8),-1.92619 # DEPENDENCYPART_ARC
(2,9),-1.40992 # DEPENDENCYPART_ARC
(2,10),-1.3165 # DEPENDENCYPART_ARC
(2,11),-1.60349 # DEPENDENCYPART_ARC
(2,12),-2.24855 # DEPENDENCYPART_ARC
(2,13),-2.79665 # DEPENDENCYPART_ARC
(2,14),-3.08803 # DEPENDENCYPART_ARC
(2,15),-1.78341 # DEPENDENCYPART_ARC
(2,16),-2.29506 # DEPENDENCYPART_ARC
(2,17),-2.63971 # DEPENDENCYPART_ARC
(2,18),-3.79498 # DEPENDENCYPART_ARC
(2,19),-1.55359 # DEPENDENCYPART_ARC
(2,20),-4.16616 # DEPENDENCYPART_ARC
(2,21),-2.9925 # DEPENDENCYPART_ARC
(2,22),-2.98717 # DEPENDENCYPART_ARC
(2,23),-4.47879 # DEPENDENCYPART_ARC
(2,24),-1.69662 # DEPENDENCYPART_ARC
(3,1),-0.431254 # DEPENDENCYPART_ARC
(3,2),0.870493 # DEPENDENCYPART_ARC
(3,4),1.88367 # DEPENDENCYPART_ARC
(3,5),1.17503 # DEPENDENCYPART_ARC
(3,6),-1.90308 # DEPENDENCYPART_ARC
(3,7),-1.57545 # DEPENDENCYPART_ARC
(3,8),-0.403499 # DEPENDENCYPART_ARC
(3,9),0.865239 # DEPENDENCYPART_ARC
(3,10),1.34448 # DEPENDENCYPART_ARC
(3,11),0.112566 # DEPENDENCYPART_ARC
(3,12),-1.00737 # DEPENDENCYPART_ARC
(3,13),-2.73649 # DEPENDENCYPART_ARC
(3,14),-2.78891 # DEPENDENCYPART_ARC
(3,15),0.435822 # DEPENDENCYPART_ARC
(3,16),-0.411645 # DEPENDENCYPART_ARC
(3,17),-3.33206 # DEPENDENCYPART_ARC
(3,18),-3.27391 # DEPENDENCYPART_ARC
(3,19),-0.330945 # DEPENDENCYPART_ARC
(3,20),-4.60703 # DEPENDENCYPART_ARC
(3,21),-3.12649 # DEPENDENCYPART_ARC
(3,22),-4.00797 # DEPENDENCYPART_ARC
(3,23),-4.08918 # DEPENDENCYPART_ARC
(3,24),-0.0452888 # DEPENDENCYPART_ARC
(4,1),-0.366698 # DEPENDENCYPART_ARC
(4,2),-0.884604 # DEPENDENCYPART_ARC
(4,3),-0.0808157 # DEPENDENCYPART_ARC
(4,5),1.29349 # DEPENDENCYPART_ARC
(4,6),-0.115374 # DEPENDENCYPART_ARC
(4,7),-0.372275 # DEPENDENCYPART_ARC
(4,8),-0.518009 # DEPENDENCYPART_ARC
(4,9),0.158641 # DEPENDENCYPART_ARC
(4,10),-0.577947 # DEPENDENCYPART_ARC
(4,11),-0.869463 # DEPENDENCYPART_ARC
(4,12),-0.36087 # DEPENDENCYPART_ARC
(4,13),-1.47382 # DEPENDENCYPART_ARC
(4,14),-1.70743 # DEPENDENCYPART_ARC
(4,15),-0.494171 # DEPENDENCYPART_ARC
(4,16),-0.877 # DEPENDENCYPART_ARC
(4,17),-1.80491 # DEPENDENCYPART_ARC
(4,18),-2.19617 # DEPENDENCYPART_ARC
(4,19),-0.960311 # DEPENDENCYPART_ARC
(4,20),-1.68635 # DEPENDENCYPART_ARC
(4,21),-1.53771 # DEPENDENCYPART_ARC
(4,22),-1.42624 # DEPENDENCYPART_ARC
(4,23),-2.29347 # DEPENDENCYPART_ARC
(4,24),-0.916683 # DEPENDENCYPART_ARC
(5,1),-0.671821 # DEPENDENCYPART_ARC
(5,2),-1.14105 # DEPENDENCYPART_ARC
(5,3),-0.484709 # DEPENDENCYPART_ARC
(5,4),0.25655 # DEPENDENCYPART_ARC
(5,6),0.662933 # DEPENDENCYPART_ARC
(5,7),1.33091 # DEPENDENCYPART_ARC
(5,8),2.52864 # DEPENDENCYPART_ARC
(5,9),0.419037 # DEPENDENCYPART_ARC
(5,10),-0.138768 # DEPENDENCYPART_ARC
(5,11),-0.352856 # DEPENDENCYPART_ARC
(5,12),-0.736545 # DEPENDENCYPART_ARC
(5,13),-1.44961 # DEPENDENCYPART_ARC
(5,14),-0.70115 # DEPENDENCYPART_ARC
(5,15),-0.316936 # DEPENDENCYPART_ARC
(5,16),-0.950238 # DEPENDENCYPART_ARC
(5,17),-0.930365 # DEPENDENCYPART_ARC
(5,18),-1.76636 # DEPENDENCYPART_ARC
(5,19),-0.793901 # DEPENDENCYPART_ARC
(5,20),-1.6696 # DEPENDENCYPART_ARC
(5,21),-1.6072 # DEPENDENCYPART_ARC
(5,22),-1.2259 # DEPENDENCYPART_ARC
(5,23),-2.35206 # DEPENDENCYPART_ARC
(5,24),-0.816397 # DEPENDENCYPART_ARC
(6,1),-1.14362 # DEPENDENCYPART_ARC
(6,2),-1.59557 # DEPENDENCYPART_ARC
(6,3),-2.96833 # DEPENDENCYPART_ARC
(6,4),-0.609874 # DEPENDENCYPART_ARC
(6,5),-0.252794 # DEPENDENCYPART_ARC
(6,7),0.132994 # DEPENDENCYPART_ARC
(6,8),0.290352 # DEPENDENCYPART_ARC
(6,9),0.186415 # DEPENDENCYPART_ARC
(6,10),-1.12687 # DEPENDENCYPART_ARC
(6,11),-0.40532 # DEPENDENCYPART_ARC
(6,12),-0.540796 # DEPENDENCYPART_ARC
(6,13),-1.08192 # DEPENDENCYPART_ARC
(6,14),-1.31289 # DEPENDENCYPART_ARC
(6,15),-0.684556 # DEPENDENCYPART_ARC
(6,16),-0.63237 # DEPENDENCYPART_ARC
(6,17),-1.77987 # DEPENDENCYPART_ARC
(6,18),-1.72047 # DEPENDENCYPART_ARC
(6,19),-0.802367 # DEPENDENCYPART_ARC
(6,20),-2.98203 # DEPENDENCYPART_ARC
(6,21),-1.20704 # DEPENDENCYPART_ARC
(6,22),-2.0705 # DEPENDENCYPART_ARC
(6,23),-1.47966 # DEPENDENCYPART_ARC
(6,24),-0.827064 # DEPENDENCYPART_ARC
(7,1),-1.62638 # DEPENDENCYPART_ARC
(7,2),-1.79534 # DEPENDENCYPART_ARC
(7,3),-4.49383 # DEPENDENCYPART_ARC
(7,4),-0.379761 # DEPENDENCYPART_ARC
(7,5),-0.150603 # DEPENDENCYPART_ARC
(7,6),0.69883 # DEPENDENCYPART_ARC
(7,8),0.539693 # DEPENDENCYPART_ARC
(7,9),-0.154715 # DEPENDENCYPART_ARC
(7,10),-1.3972 # DEPENDENCYPART_ARC
(7,11),-0.820804 # DEPENDENCYPART_ARC
(7,12),-0.544876 # DEPENDENCYPART_ARC
(7,13),-2.14775 # DEPENDENCYPART_ARC
(7,14),-2.34213 # DEPENDENCYPART_ARC
(7,15),-0.828585 # DEPENDENCYPART_ARC
(7,16),-1.2035 # DEPENDENCYPART_ARC
(7,17),-2.86914 # DEPENDENCYPART_ARC
(7,18),-2.26987 # DEPENDENCYPART_ARC
(7,19),-0.640995 # DEPENDENCYPART_ARC
(7,20),-2.90202 # DEPENDENCYPART_ARC
(7,21),-2.40032 # DEPENDENCYPART_ARC
(7,22),-2.58463 # DEPENDENCYPART_ARC
(7,23),-2.81597 # DEPENDENCYPART_ARC
(7,24),-1.05774 # DEPENDENCYPART_ARC
(8,1),0.172636 # DEPENDENCYPART_ARC
(8,2),-0.392762 # DEPENDENCYPART_ARC
(8,3),-1.17977 # DEPENDENCYPART_ARC
(8,4),0.315147 # DEPENDENCYPART_ARC
(8,5),0.348913 # DEPENDENCYPART_ARC
(8,6),3.52524 # DEPENDENCYPART_ARC
(8,7),3.68817 # DEPENDENCYPART_ARC
(8,9),0.282109 # DEPENDENCYPART_ARC
(8,10),1.46188 # DEPENDENCYPART_ARC
(8,11),-0.388103 # DEPENDENCYPART_ARC
(8,12),-1.29111 # DEPENDENCYPART_ARC
(8,13),-1.71203 # DEPENDENCYPART_ARC
(8,14),-1.69019 # DEPENDENCYPART_ARC
(8,15),-0.816588 # DEPENDENCYPART_ARC
(8,16),-1.31137 # DEPENDENCYPART_ARC
(8,17),-1.87634 # DEPENDENCYPART_ARC
(8,18),-2.43542 # DEPENDENCYPART_ARC
(8,19),-0.399745 # DEPENDENCYPART_ARC
(8,20),-2.50282 # DEPENDENCYPART_ARC
(8,21),-2.18912 # DEPENDENCYPART_ARC
(8,22),-2.10192 # DEPENDENCYPART_ARC
(8,23),-2.90794 # DEPENDENCYPART_ARC
(8,24),-0.992782 # DEPENDENCYPART_ARC
(9,1),-0.793396 # DEPENDENCYPART_ARC
(9,2),-1.00201 # DEPENDENCYPART_ARC
(9,3),-0.0929918 # DEPENDENCYPART_ARC
(9,4),-0.442374 # DEPENDENCYPART_ARC
(9,5),-0.08575 # DEPENDENCYPART_ARC
(9,6),-0.123067 # DEPENDENCYPART_ARC
(9,7),-0.0759744 # DEPENDENCYPART_ARC
(9,8),-0.0332326 # DEPENDENCYPART_ARC
(9,10),-0.0459468 # DEPENDENCYPART_ARC
(9,11),-0.836816 # DEPENDENCYPART_ARC
(9,12),-0.541447 # DEPENDENCYPART_ARC
(9,13),-1.40353 # DEPENDENCYPART_ARC
(9,14),-0.807219 # DEPENDENCYPART_ARC
(9,15),-0.327468 # DEPENDENCYPART_ARC
(9,16),-0.923155 # DEPENDENCYPART_ARC
(9,17),-1.2406 # DEPENDENCYPART_ARC
(9,18),-1.39084 # DEPENDENCYPART_ARC
(9,19),-0.662912 # DEPENDENCYPART_ARC
(9,20),-1.23899 # DEPENDENCYPART_ARC
(9,21),-1.68324 # DEPENDENCYPART_ARC
(9,22),-1.45779 # DEPENDENCYPART_ARC
(9,23),-1.50096 # DEPENDENCYPART_ARC
(9,24),-0.640071 # DEPENDENCYPART_ARC
(10,1),-2.03828 # DEPENDENCYPART_ARC
(10,2),-1.86188 # DEPENDENCYPART_ARC
(10,3),-4.20477 # DEPENDENCYPART_ARC
(10,4),-0.251625 # DEPENDENCYPART_ARC
(10,5),0.222685 # DEPENDENCYPART_ARC
(10,6),-1.35938 # DEPENDENCYPART_ARC
(10,7),0.780198 # DEPENDENCYPART_ARC
(10,8),-1.69325 # DEPENDENCYPART_ARC
(10,9),0.623659 # DEPENDENCYPART_ARC
(10,11),2.0359 # DEPENDENCYPART_ARC
(10,12),1.11704 # DEPENDENCYPART_ARC
(10,13),-1.43701 # DEPENDENCYPART_ARC
(10,14),-2.07373 # DEPENDENCYPART_ARC
(10,15),0.715201 # DEPENDENCYPART_ARC
(10,16),0.705618 # DEPENDENCYPART_ARC
(10,17),-1.83423 # DEPENDENCYPART_ARC
(10,18),-3.40917 # DEPENDENCYPART_ARC
(10,19),0.322636 # DEPENDENCYPART_ARC
(10,20),-2.37651 # DEPENDENCYPART_ARC
(10,21),-2.75292 # DEPENDENCYPART_ARC
(10,22),-2.59451 # DEPENDENCYPART_ARC
(10,23),-4.67202 # DEPENDENCYPART_ARC
(10,24),-0.110215 # DEPENDENCYPART_ARC
(11,1),-0.886815 # DEPENDENCYPART_ARC
(11,2),-1.18919 # DEPENDENCYPART_ARC
(11,3),-1.10522 # DEPENDENCYPART_ARC
(11,4),-0.116408 # DEPENDENCYPART_ARC
(11,5),0.0179229 # DEPENDENCYPART_ARC
(11,6),-0.484731 # DEPENDENCYPART_ARC
(11,7),-0.480356 # DEPENDENCYPART_ARC
(11,8),-0.747106 # DEPENDENCYPART_ARC
(11,9),0.176841 # DEPENDENCYPART_ARC
(11,10),0.0367403 # DEPENDENCYPART_ARC
(11,12),1.68381 # DEPENDENCYPART_ARC
(11,13),0.0329835 # DEPENDENCYPART_ARC
(11,14),0.0650298 # DEPENDENCYPART_ARC
(11,15),0.28095 # DEPENDENCYPART_ARC
(11,16),0.337656 # DEPENDENCYPART_ARC
(11,17),-0.897782 # DEPENDENCYPART_ARC
(11,18),-1.16212 # DEPENDENCYPART_ARC
(11,19),-0.0011651 # DEPENDENCYPART_ARC
(11,20),-0.809793 # DEPENDENCYPART_ARC
(11,21),-1.16717 # DEPENDENCYPART_ARC
(11,22),-1.15304 # DEPENDENCYPART_ARC
(11,23),-1.67679 # DEPENDENCYPART_ARC
(11,24),-0.549509 # DEPENDENCYPART_ARC
(12,1),-1.49943 # DEPENDENCYPART_ARC
(12,2),-2.04712 # DEPENDENCYPART_ARC
(12,3),-1.56123 # DEPENDENCYPART_ARC
(12,4),-1.38044 # DEPENDENCYPART_ARC
(12,5),-0.89798 # DEPENDENCYPART_ARC
(12,6),-1.22269 # DEPENDENCYPART_ARC
(12,7),-1.50192 # DEPENDENCYPART_ARC
(12,8),-1.64381 # DEPENDENCYPART_ARC
(12,9),-0.319708 # DEPENDENCYPART_ARC
(12,10),-0.712745 # DEPENDENCYPART_ARC
(12,11),-0.0226842 # DEPENDENCYPART_ARC
(12,13),0.44537 # DEPENDENCYPART_ARC
(12,14),3.0198 # DEPENDENCYPART_ARC
(12,15),0.515771 # DEPENDENCYPART_ARC
(12,16),0.0664883 # DEPENDENCYPART_ARC
(12,17),0.368306 # DEPENDENCYPART_ARC
(12,18),0.117348 # DEPENDENCYPART_ARC
(12,19),0.18042 # DEPENDENCYPART_ARC
(12,20),-0.615586 # DEPENDENCYPART_ARC
(12,21),-1.43563 # DEPENDENCYPART_ARC
(12,22),-0.721704 # DEPENDENCYPART_ARC
(12,23),-1.55497 # DEPENDENCYPART_ARC
(12,24),-0.829411 # DEPENDENCYPART_ARC
(13,1),-2.10674 # DEPENDENCYPART_ARC
(13,2),-2.64496 # DEPENDENCYPART_ARC
(13,3),-3.80615 # DEPENDENCYPART_ARC
(13,4),-1.90026 # DEPENDENCYPART_ARC
(13,5),-2.05529 # DEPENDENCYPART_ARC
(13,6),-1.84457 # DEPENDENCYPART_ARC
(13,7),-2.88101 # DEPENDENCYPART_ARC
(13,8),-2.27969 # DEPENDENCYPART_ARC
(13,9),-1.98206 # DEPENDENCYPART_ARC
(13,10),-2.4189 # DEPENDENCYPART_ARC
(13,11),-1.0855 # DEPENDENCYPART_ARC
(13,12),-0.770597 # DEPENDENCYPART_ARC
(13,14),0.292838 # DEPENDENCYPART_ARC
(13,15),-0.419017 # DEPENDENCYPART_ARC
(13,16),-0.425941 # DEPENDENCYPART_ARC
(13,17),-1.40796 # DEPENDENCYPART_ARC
(13,18),-1.2091 # DEPENDENCYPART_ARC
(13,19),-0.375363 # DEPENDENCYPART_ARC
(13,20),-2.77743 # DEPENDENCYPART_ARC
(13,21),-1.58869 # DEPENDENCYPART_ARC
(13,22),-2.36888 # DEPENDENCYPART_ARC
(13,23),-1.79373 # DEPENDENCYPART_ARC
(13,24),-1.19347 # DEPENDENCYPART_ARC
(14,1),-2.37912 # DEPENDENCYPART_ARC
(14,2),-2.19093 # DEPENDENCYPART_ARC
(14,3),-2.67493 # DEPENDENCYPART_ARC
(14,4),-1.30085 # DEPENDENCYPART_ARC
(14,5),-1.19805 # DEPENDENCYPART_ARC
(14,6),-0.840844 # DEPENDENCYPART_ARC
(14,7),-1.42055 # DEPENDENCYPART_ARC
(14,8),-1.65966 # DEPENDENCYPART_ARC
(14,9),-0.928778 # DEPENDENCYPART_ARC
(14,10),0.782258 # DEPENDENCYPART_ARC
(14,11),-0.264098 # DEPENDENCYPART_ARC
(14,12),0.237877 # DEPENDENCYPART_ARC
(14,13),3.22091 # DEPENDENCYPART_ARC
(14,15),0.108818 # DEPENDENCYPART_ARC
(14,16),0.324659 # DEPENDENCYPART_ARC
(14,17),-0.217806 # DEPENDENCYPART_ARC
(14,18),-0.0690369 # DEPENDENCYPART_ARC
(14,19),-0.00497665 # DEPENDENCYPART_ARC
(14,20),-0.994683 # DEPENDENCYPART_ARC
(14,21),-1.82508 # DEPENDENCYPART_ARC
(14,22),-1.43762 # DEPENDENCYPART_ARC
(14,23),-2.07651 # DEPENDENCYPART_ARC
(14,24),-0.622004 # DEPENDENCYPART_ARC
(15,1),-0.913447 # DEPENDENCYPART_ARC
(15,2),-1.56722 # DEPENDENCYPART_ARC
(15,3),0.000856432 # DEPENDENCYPART_ARC
(15,4),-0.493432 # DEPENDENCYPART_ARC
(15,5),-0.196204 # DEPENDENCYPART_ARC
(15,6),-0.601687 # DEPENDENCYPART_ARC
(15,7),-0.697935 # DEPENDENCYPART_ARC
(15,8),-0.839 # DEPENDENCYPART_ARC
(15,9),-0.471494 # DEPENDENCYPART_ARC
(15,10),-0.23833 # DEPENDENCYPART_ARC
(15,11),-0.218399 # DEPENDENCYPART_ARC
(15,12),0.479769 # DEPENDENCYPART_ARC
(15,13),0.0513692 # DEPENDENCYPART_ARC
(15,14),0.0920528 # DEPENDENCYPART_ARC
(15,16),0.495208 # DEPENDENCYPART_ARC
(15,17),0.143325 # DEPENDENCYPART_ARC
(15,18),0.337876 # DEPENDENCYPART_ARC
(15,19),0.0896631 # DEPENDENCYPART_ARC
(15,20),-0.212837 # DEPENDENCYPART_ARC
(15,21),-1.07744 # DEPENDENCYPART_ARC
(15,22),-0.897239 # DEPENDENCYPART_ARC
(15,23),-0.890983 # DEPENDENCYPART_ARC
(15,24),-0.0861702 # DEPENDENCYPART_ARC
(16,1),-1.16604 # DEPENDENCYPART_ARC
(16,2),-1.75132 # DEPENDENCYPART_ARC
(16,3),-1.30371 # DEPENDENCYPART_ARC
(16,4),-0.841951 # DEPENDENCYPART_ARC
(16,5),-0.714643 # DEPENDENCYPART_ARC
(16,6),-0.997151 # DEPENDENCYPART_ARC
(16,7),-1.25179 # DEPENDENCYPART_ARC
(16,8),-1.53363 # DEPENDENCYPART_ARC
(16,9),-0.414606 # DEPENDENCYPART_ARC
(16,10),-0.96923 # DEPENDENCYPART_ARC
(16,11),-0.44493 # DEPENDENCYPART_ARC
(16,12),-0.234135 # DEPENDENCYPART_ARC
(16,13),-0.0785283 # DEPENDENCYPART_ARC
(16,14),-0.760311 # DEPENDENCYPART_ARC
(16,15),0.834469 # DEPENDENCYPART_ARC
(16,17),1.38638 # DEPENDENCYPART_ARC
(16,18),2.44859 # DEPENDENCYPART_ARC
(16,19),0.852539 # DEPENDENCYPART_ARC
(16,20),-0.143346 # DEPENDENCYPART_ARC
(16,21),-1.29258 # DEPENDENCYPART_ARC
(16,22),-0.990313 # DEPENDENCYPART_ARC
(16,23),-0.867148 # DEPENDENCYPART_ARC
(16,24),0.000662243 # DEPENDENCYPART_ARC
(17,1),-2.269 # DEPENDENCYPART_ARC
(17,2),-2.59768 # DEPENDENCYPART_ARC
(17,3),-5.57257 # DEPENDENCYPART_ARC
(17,4),-1.9704 # DEPENDENCYPART_ARC
(17,5),-1.62147 # DEPENDENCYPART_ARC
(17,6),-1.79092 # DEPENDENCYPART_ARC
(17,7),-2.41251 # DEPENDENCYPART_ARC
(17,8),-2.34727 # DEPENDENCYPART_ARC
(17,9),-1.71714 # DEPENDENCYPART_ARC
(17,10),-2.69158 # DEPENDENCYPART_ARC
(17,11),-1.24193 # DEPENDENCYPART_ARC
(17,12),-1.10091 # DEPENDENCYPART_ARC
(17,13),-0.543585 # DEPENDENCYPART_ARC
(17,14),-1.03864 # DEPENDENCYPART_ARC
(17,15),-0.624753 # DEPENDENCYPART_ARC
(17,16),-0.0476385 # DEPENDENCYPART_ARC
(17,18),0.611992 # DEPENDENCYPART_ARC
(17,19),0.231874 # DEPENDENCYPART_ARC
(17,20),-0.811817 # DEPENDENCYPART_ARC
(17,21),-1.78297 # DEPENDENCYPART_ARC
(17,22),-1.76942 # DEPENDENCYPART_ARC
(17,23),-2.2624 # DEPENDENCYPART_ARC
(17,24),-0.630129 # DEPENDENCYPART_ARC
(18,1),-2.76802 # DEPENDENCYPART_ARC
(18,2),-2.67621 # DEPENDENCYPART_ARC
(18,3),-2.49676 # DEPENDENCYPART_ARC
(18,4),-1.06043 # DEPENDENCYPART_ARC
(18,5),-0.975598 # DEPENDENCYPART_ARC
(18,6),-1.19389 # DEPENDENCYPART_ARC
(18,7),-1.48435 # DEPENDENCYPART_ARC
(18,8),-2.19622 # DEPENDENCYPART_ARC
(18,9),-0.87668 # DEPENDENCYPART_ARC
(18,10),0.274234 # DEPENDENCYPART_ARC
(18,11),-0.575814 # DEPENDENCYPART_ARC
(18,12),-0.426577 # DEPENDENCYPART_ARC
(18,13),0.751894 # DEPENDENCYPART_ARC
(18,14),-0.538671 # DEPENDENCYPART_ARC
(18,15),-0.0270888 # DEPENDENCYPART_ARC
(18,16),0.688009 # DEPENDENCYPART_ARC
(18,17),3.38928 # DEPENDENCYPART_ARC
(18,19),0.352169 # DEPENDENCYPART_ARC
(18,20),-0.451942 # DEPENDENCYPART_ARC
(18,21),-1.61037 # DEPENDENCYPART_ARC
(18,22),-1.67939 # DEPENDENCYPART_ARC
(18,23),-1.95968 # DEPENDENCYPART_ARC
(18,24),-0.737998 # DEPENDENCYPART_ARC
(19,1),-0.500419 # DEPENDENCYPART_ARC
(19,2),-0.189494 # DEPENDENCYPART_ARC
(19,3),1.50447 # DEPENDENCYPART_ARC
(19,4),0.0423258 # DEPENDENCYPART_ARC
(19,5),-0.273093 # DEPENDENCYPART_ARC
(19,6),-0.164754 # DEPENDENCYPART_ARC
(19,7),-0.280692 # DEPENDENCYPART_ARC
(19,8),-7.74745e-06 # DEPENDENCYPART_ARC
(19,9),-0.118281 # DEPENDENCYPART_ARC
(19,10),1.8117 # DEPENDENCYPART_ARC
(19,11),0.34657 # DEPENDENCYPART_ARC
(19,12),0.350245 # DEPENDENCYPART_ARC
(19,13),0.503042 # DEPENDENCYPART_ARC
(19,14),1.17923 # DEPENDENCYPART_ARC
(19,15),0.639086 # DEPENDENCYPART_ARC
(19,16),0.748191 # DEPENDENCYPART_ARC
(19,17),1.09759 # DEPENDENCYPART_ARC
(19,18),0.942428 # DEPENDENCYPART_ARC
(19,20),2.5933 # DEPENDENCYPART_ARC
(19,21),-0.474118 # DEPENDENCYPART_ARC
(19,22),0.0417194 # DEPENDENCYPART_ARC
(19,23),0.646821 # DEPENDENCYPART_ARC
(19,24),0.120984 # DEPENDENCYPART_ARC
(20,1),-2.39267 # DEPENDENCYPART_ARC
(20,2),-1.58619 # DEPENDENCYPART_ARC
(20,3),-3.78534 # DEPENDENCYPART_ARC
(20,4),-0.654922 # DEPENDENCYPART_ARC
(20,5),-0.717702 # DEPENDENCYPART_ARC
(20,6),-2.39631 # DEPENDENCYPART_ARC
(20,7),-2.06225 # DEPENDENCYPART_ARC
(20,8),-1.79519 # DEPENDENCYPART_ARC
(20,9),-0.266559 # DEPENDENCYPART_ARC
(20,10),-3.07444 # DEPENDENCYPART_ARC
(20,11),-0.421462 # DEPENDENCYPART_ARC
(20,12),-0.722227 # DEPENDENCYPART_ARC
(20,13),-0.900854 # DEPENDENCYPART_ARC
(20,14),-1.54958 # DEPENDENCYPART_ARC
(20,15),0.531138 # DEPENDENCYPART_ARC
(20,16),0.195866 # DEPENDENCYPART_ARC
(20,17),-0.679973 # DEPENDENCYPART_ARC
(20,18),-0.597643 # DEPENDENCYPART_ARC
(20,19),0.374686 # DEPENDENCYPART_ARC
(20,21),-0.815831 # DEPENDENCYPART_ARC
(20,22),-0.765763 # DEPENDENCYPART_ARC
(20,23),1.69995 # DEPENDENCYPART_ARC
(20,24),0.334056 # DEPENDENCYPART_ARC
(21,1),-1.05742 # DEPENDENCYPART_ARC
(21,2),-1.62383 # DEPENDENCYPART_ARC
(21,3),-2.80729 # DEPENDENCYPART_ARC
(21,4),-0.96535 # DEPENDENCYPART_ARC
(21,5),-1.16056 # DEPENDENCYPART_ARC
(21,6),-1.02031 # DEPENDENCYPART_ARC
(21,7),-2.13013 # DEPENDENCYPART_ARC
(21,8),-1.60998 # DEPENDENCYPART_ARC
(21,9),-1.28347 # DEPENDENCYPART_ARC
(21,10),-1.95687 # DEPENDENCYPART_ARC
(21,11),-0.881142 # DEPENDENCYPART_ARC
(21,12),-0.888207 # DEPENDENCYPART_ARC
(21,13),-0.50341 # DEPENDENCYPART_ARC
(21,14),-1.20587 # DEPENDENCYPART_ARC
(21,15),-1.01077 # DEPENDENCYPART_ARC
(21,16),-0.837835 # DEPENDENCYPART_ARC
(21,17),-1.4495 # DEPENDENCYPART_ARC
(21,18),-1.13632 # DEPENDENCYPART_ARC
(21,19),-0.478107 # DEPENDENCYPART_ARC
(21,20),-1.24563 # DEPENDENCYPART_ARC
(21,22),-0.0448647 # DEPENDENCYPART_ARC
