# _root_ Το πάρτυ διαρκεί μέχρι τις 10 ή 11 το βράδυ , όταν οι περισσότεροι πάνε για ντουζ , ένα εσπρέσο και μετά δείπνο και περισσότερη διασκέδαση.Μέχρι πρωίας .
#goldHeads=2,3,0,3,7,7,10,7,10,4,3,10,14,15,12,15,18,21,20,18,16,21,24,21,26,24,26,0,
#predictedHeads=2,3,0,3,6,7,4,7,10,7,12,3,14,15,12,15,16,21,20,24,15,21,24,22,24,25,26,0,
(2,22),-1.41626 # DEPENDENCYPART_ARC
(2,23),-4.20977 # DEPENDENCYPART_ARC
(2,24),-0.936543 # DEPENDENCYPART_ARC
(2,25),-2.39861 # DEPENDENCYPART_ARC
(2,26),-1.74141 # DEPENDENCYPART_ARC
(2,27),-3.31261 # DEPENDENCYPART_ARC
(2,28),-1.08483 # DEPENDENCYPART_ARC
(3,1),0.673337 # DEPENDENCYPART_ARC
(3,2),2.64312 # DEPENDENCYPART_ARC
(3,4),1.59367 # DEPENDENCYPART_ARC
(3,5),-0.90298 # DEPENDENCYPART_ARC
(3,6),0.356824 # DEPENDENCYPART_ARC
(3,7),0.566574 # DEPENDENCYPART_ARC
(3,8),-0.145597 # DEPENDENCYPART_ARC
(3,9),-2.26292 # DEPENDENCYPART_ARC
(3,10),-0.788026 # DEPENDENCYPART_ARC
(3,11),0.241978 # DEPENDENCYPART_ARC
(3,12),0.69972 # DEPENDENCYPART_ARC
(3,13),-3.09313 # DEPENDENCYPART_ARC
(3,14),-2.10007 # DEPENDENCYPART_ARC
(3,15),-2.92324 # DEPENDENCYPART_ARC
(3,16),-0.582785 # DEPENDENCYPART_ARC
(3,17),-3.4004 # DEPENDENCYPART_ARC
(3,18),-0.6371 # DEPENDENCYPART_ARC
(3,19),-3.16873 # DEPENDENCYPART_ARC
(3,20),-2.90445 # DEPENDENCYPART_ARC
(3,21),-0.522994 # DEPENDENCYPART_ARC
(3,22),-1.38353 # DEPENDENCYPART_ARC
(3,23),-4.62085 # DEPENDENCYPART_ARC
(3,24),-0.98118 # DEPENDENCYPART_ARC
(3,25),-4.35635 # DEPENDENCYPART_ARC
(3,26),-2.18797 # DEPENDENCYPART_ARC
(3,27),-6.30214 # DEPENDENCYPART_ARC
(3,28),-0.855466 # DEPENDENCYPART_ARC
(4,1),-0.296342 # DEPENDENCYPART_ARC
(4,2),-0.835067 # DEPENDENCYPART_ARC
(4,3),0.0981824 # DEPENDENCYPART_ARC
(4,5),0.479913 # DEPENDENCYPART_ARC
(4,6),1.47582 # DEPENDENCYPART_ARC
(4,7),0.842924 # DEPENDENCYPART_ARC
(4,8),0.564409 # DEPENDENCYPART_ARC
(4,9),-0.777267 # DEPENDENCYPART_ARC
(4,10),0.353455 # DEPENDENCYPART_ARC
(4,11),0.289356 # DEPENDENCYPART_ARC
(4,12),0.528479 # DEPENDENCYPART_ARC
(4,13),-1.06368 # DEPENDENCYPART_ARC
(4,14),-0.318346 # DEPENDENCYPART_ARC
(4,15),-0.704181 # DEPENDENCYPART_ARC
(4,16),-0.956294 # DEPENDENCYPART_ARC
(4,17),-1.59925 # DEPENDENCYPART_ARC
(4,18),-0.556915 # DEPENDENCYPART_ARC
(4,19),-1.40179 # DEPENDENCYPART_ARC
(4,20),-3.31332 # DEPENDENCYPART_ARC
(4,21),-0.646274 # DEPENDENCYPART_ARC
(4,22),-1.22331 # DEPENDENCYPART_ARC
(4,23),-3.53776 # DEPENDENCYPART_ARC
(4,24),-0.678892 # DEPENDENCYPART_ARC
(4,25),-1.43323 # DEPENDENCYPART_ARC
(4,26),-1.22367 # DEPENDENCYPART_ARC
(4,27),-4.29543 # DEPENDENCYPART_ARC
(4,28),-1.17091 # DEPENDENCYPART_ARC
(5,1),-2.07815 # DEPENDENCYPART_ARC
(5,2),-2.50157 # DEPENDENCYPART_ARC
(5,3),-2.30458 # DEPENDENCYPART_ARC
(5,4),-0.483987 # DEPENDENCYPART_ARC
(5,6),0.192591 # DEPENDENCYPART_ARC
(5,7),0.015039 # DEPENDENCYPART_ARC
(5,8),-0.434083 # DEPENDENCYPART_ARC
(5,9),-1.20844 # DEPENDENCYPART_ARC
(5,10),-1.34882 # DEPENDENCYPART_ARC
(5,11),-0.349489 # DEPENDENCYPART_ARC
(5,12),-0.321431 # DEPENDENCYPART_ARC
(5,13),-1.52527 # DEPENDENCYPART_ARC
(5,14),-1.97229 # DEPENDENCYPART_ARC
(5,15),-1.99612 # DEPENDENCYPART_ARC
(5,16),-1.25761 # DEPENDENCYPART_ARC
(5,17),-2.30964 # DEPENDENCYPART_ARC
(5,18),-1.08062 # DEPENDENCYPART_ARC
(5,19),-1.99601 # DEPENDENCYPART_ARC
(5,20),-2.56646 # DEPENDENCYPART_ARC
(5,21),-1.1934 # DEPENDENCYPART_ARC
(5,22),-1.33431 # DEPENDENCYPART_ARC
(5,23),-2.32457 # DEPENDENCYPART_ARC
(5,24),-1.13747 # DEPENDENCYPART_ARC
(5,25),-2.42953 # DEPENDENCYPART_ARC
(5,26),-1.47165 # DEPENDENCYPART_ARC
(5,27),-2.17394 # DEPENDENCYPART_ARC
(5,28),-1.35858 # DEPENDENCYPART_ARC
(6,1),0.0833577 # DEPENDENCYPART_ARC
(6,2),-0.96922 # DEPENDENCYPART_ARC
(6,3),-0.400488 # DEPENDENCYPART_ARC
(6,4),0.0616794 # DEPENDENCYPART_ARC
(6,5),1.81818 # DEPENDENCYPART_ARC
(6,7),0.199712 # DEPENDENCYPART_ARC
(6,8),-0.29297 # DEPENDENCYPART_ARC
(6,9),-0.663492 # DEPENDENCYPART_ARC
(6,10),-0.299366 # DEPENDENCYPART_ARC
(6,11),-0.639955 # DEPENDENCYPART_ARC
(6,12),-0.41658 # DEPENDENCYPART_ARC
(6,13),-1.11608 # DEPENDENCYPART_ARC
(6,14),-1.26463 # DEPENDENCYPART_ARC
(6,15),-1.29445 # DEPENDENCYPART_ARC
(6,16),-1.31084 # DEPENDENCYPART_ARC
(6,17),-1.4747 # DEPENDENCYPART_ARC
(6,18),-1.2346 # DEPENDENCYPART_ARC
(6,19),-1.7313 # DEPENDENCYPART_ARC
(6,20),-1.35313 # DEPENDENCYPART_ARC
(6,21),-1.02351 # DEPENDENCYPART_ARC
(6,22),-1.64014 # DEPENDENCYPART_ARC
(6,23),-1.54801 # DEPENDENCYPART_ARC
(6,24),-1.09271 # DEPENDENCYPART_ARC
(6,25),-1.88682 # DEPENDENCYPART_ARC
(6,26),-1.24852 # DEPENDENCYPART_ARC
(6,27),-1.55367 # DEPENDENCYPART_ARC
(6,28),-1.47978 # DEPENDENCYPART_ARC
(7,1),0.199201 # DEPENDENCYPART_ARC
(7,2),0.526988 # DEPENDENCYPART_ARC
(7,3),0.975194 # DEPENDENCYPART_ARC
(7,4),1.31068 # DEPENDENCYPART_ARC
(7,5),1.0122 # DEPENDENCYPART_ARC
(7,6),1.95299 # DEPENDENCYPART_ARC
(7,8),1.81249 # DEPENDENCYPART_ARC
(7,9),0.594442 # DEPENDENCYPART_ARC
(7,10),0.945955 # DEPENDENCYPART_ARC
(7,11),1.09652 # DEPENDENCYPART_ARC
(7,12),0.552844 # DEPENDENCYPART_ARC
(7,13),-0.149683 # DEPENDENCYPART_ARC
(7,14),0.358234 # DEPENDENCYPART_ARC
(7,15),1.32705 # DEPENDENCYPART_ARC
(7,16),0.431997 # DEPENDENCYPART_ARC
(7,17),-0.78395 # DEPENDENCYPART_ARC
(7,18),0.667339 # DEPENDENCYPART_ARC
(7,19),-0.585755 # DEPENDENCYPART_ARC
(7,20),-1.38815 # DEPENDENCYPART_ARC
(7,21),0.165128 # DEPENDENCYPART_ARC
(7,22),0.00904969 # DEPENDENCYPART_ARC
(7,23),-1.67978 # DEPENDENCYPART_ARC
(7,24),-0.0477317 # DEPENDENCYPART_ARC
(7,25),-0.5257 # DEPENDENCYPART_ARC
(7,26),-0.173906 # DEPENDENCYPART_ARC
(7,27),-1.83341 # DEPENDENCYPART_ARC
(7,28),0.286044 # DEPENDENCYPART_ARC
(8,1),-0.321228 # DEPENDENCYPART_ARC
(8,2),-1.24098 # DEPENDENCYPART_ARC
(8,3),-0.782045 # DEPENDENCYPART_ARC
(8,4),-0.486307 # DEPENDENCYPART_ARC
(8,5),0.604079 # DEPENDENCYPART_ARC
(8,6),-0.0177159 # DEPENDENCYPART_ARC
(8,7),0.629512 # DEPENDENCYPART_ARC
(8,9),0.4193 # DEPENDENCYPART_ARC
(8,10),0.858387 # DEPENDENCYPART_ARC
(8,11),0.163649 # DEPENDENCYPART_ARC
(8,12),0.00843811 # DEPENDENCYPART_ARC
(8,13),-0.528964 # DEPENDENCYPART_ARC
(8,14),-0.710024 # DEPENDENCYPART_ARC
(8,15),-0.752078 # DEPENDENCYPART_ARC
(8,16),-0.87566 # DEPENDENCYPART_ARC
(8,17),-0.836624 # DEPENDENCYPART_ARC
(8,18),-0.60674 # DEPENDENCYPART_ARC
(8,19),-1.21478 # DEPENDENCYPART_ARC
(8,20),-0.838676 # DEPENDENCYPART_ARC
(8,21),-0.659504 # DEPENDENCYPART_ARC
(8,22),-0.992022 # DEPENDENCYPART_ARC
(8,23),-0.915761 # DEPENDENCYPART_ARC
(8,24),-0.781846 # DEPENDENCYPART_ARC
(8,25),-1.36475 # DEPENDENCYPART_ARC
(8,26),-0.665675 # DEPENDENCYPART_ARC
(8,27),-0.916191 # DEPENDENCYPART_ARC
(8,28),-0.859874 # DEPENDENCYPART_ARC
(9,1),-1.03214 # DEPENDENCYPART_ARC
(9,2),-1.69807 # DEPENDENCYPART_ARC
(9,3),-2.71686 # DEPENDENCYPART_ARC
(9,4),-0.920291 # DEPENDENCYPART_ARC
(9,5),-1.04223 # DEPENDENCYPART_ARC
(9,6),-0.662494 # DEPENDENCYPART_ARC
(9,7),-0.528962 # DEPENDENCYPART_ARC
(9,8),0.10025 # DEPENDENCYPART_ARC
(9,10),0.302839 # DEPENDENCYPART_ARC
(9,11),-0.408396 # DEPENDENCYPART_ARC
(9,12),-0.236789 # DEPENDENCYPART_ARC
(9,13),-1.38187 # DEPENDENCYPART_ARC
(9,14),-1.82859 # DEPENDENCYPART_ARC
(9,15),-2.97321 # DEPENDENCYPART_ARC
(9,16),-1.25711 # DEPENDENCYPART_ARC
(9,17),-1.80585 # DEPENDENCYPART_ARC
(9,18),-1.10927 # DEPENDENCYPART_ARC
(9,19),-1.74946 # DEPENDENCYPART_ARC
(9,20),-2.36507 # DEPENDENCYPART_ARC
(9,21),-1.11445 # DEPENDENCYPART_ARC
(9,22),-1.53203 # DEPENDENCYPART_ARC
(9,23),-1.87179 # DEPENDENCYPART_ARC
(9,24),-1.09599 # DEPENDENCYPART_ARC
(9,25),-2.37195 # DEPENDENCYPART_ARC
(9,26),-1.25061 # DEPENDENCYPART_ARC
(9,27),-2.01378 # DEPENDENCYPART_ARC
(9,28),-1.2994 # DEPENDENCYPART_ARC
(10,1),-1.28877 # DEPENDENCYPART_ARC
(10,2),-1.86505 # DEPENDENCYPART_ARC
(10,3),-2.68284 # DEPENDENCYPART_ARC
(10,4),-0.608786 # DEPENDENCYPART_ARC
(10,5),-0.595173 # DEPENDENCYPART_ARC
(10,6),-0.167627 # DEPENDENCYPART_ARC
(10,7),0.0608291 # DEPENDENCYPART_ARC
(10,8),0.695844 # DEPENDENCYPART_ARC
(10,9),3.34132 # DEPENDENCYPART_ARC
(10,11),0.2619 # DEPENDENCYPART_ARC
(10,12),0.149201 # DEPENDENCYPART_ARC
(10,13),-0.863868 # DEPENDENCYPART_ARC
(10,14),-0.216767 # DEPENDENCYPART_ARC
(10,15),-0.991348 # DEPENDENCYPART_ARC
(10,16),-0.683235 # DEPENDENCYPART_ARC
(10,17),-2.08113 # DEPENDENCYPART_ARC
(10,18),-0.893061 # DEPENDENCYPART_ARC
(10,19),-1.90456 # DEPENDENCYPART_ARC
(10,20),-2.39094 # DEPENDENCYPART_ARC
(10,21),-0.499619 # DEPENDENCYPART_ARC
(10,22),-1.62468 # DEPENDENCYPART_ARC
(10,23),-3.4422 # DEPENDENCYPART_ARC
(10,24),-0.440359 # DEPENDENCYPART_ARC
(10,25),-1.31809 # DEPENDENCYPART_ARC
(10,26),-1.61447 # DEPENDENCYPART_ARC
(10,27),-2.18812 # DEPENDENCYPART_ARC
(10,28),-0.814919 # DEPENDENCYPART_ARC
(11,1),-0.6052 # DEPENDENCYPART_ARC
(11,2),-0.886763 # DEPENDENCYPART_ARC
(11,3),-0.298862 # DEPENDENCYPART_ARC
(11,4),0.171337 # DEPENDENCYPART_ARC
(11,5),-0.252915 # DEPENDENCYPART_ARC
(11,6),-0.0778161 # DEPENDENCYPART_ARC
(11,7),0.210565 # DEPENDENCYPART_ARC
(11,8),0.207237 # DEPENDENCYPART_ARC
(11,9),0.168387 # DEPENDENCYPART_ARC
(11,10),0.22369 # DEPENDENCYPART_ARC
(11,12),0.14056 # DEPENDENCYPART_ARC
(11,13),-0.52943 # DEPENDENCYPART_ARC
(11,14),-0.218925 # DEPENDENCYPART_ARC
(11,15),-0.319777 # DEPENDENCYPART_ARC
(11,16),-0.802419 # DEPENDENCYPART_ARC
(11,17),-0.990615 # DEPENDENCYPART_ARC
(11,18),-0.329217 # DEPENDENCYPART_ARC
(11,19),-1.41311 # DEPENDENCYPART_ARC
(11,20),-1.21248 # DEPENDENCYPART_ARC
(11,21),-0.449187 # DEPENDENCYPART_ARC
(11,22),-0.948566 # DEPENDENCYPART_ARC
(11,23),-1.43797 # DEPENDENCYPART_ARC
(11,24),-0.834422 # DEPENDENCYPART_ARC
(11,25),-1.33477 # DEPENDENCYPART_ARC
(11,26),-0.85742 # DEPENDENCYPART_ARC
(11,27),-1.55812 # DEPENDENCYPART_ARC
(11,28),-0.465012 # DEPENDENCYPART_ARC
(12,1),-1.07129 # DEPENDENCYPART_ARC
(12,2),-0.396812 # DEPENDENCYPART_ARC
(12,3),0.1169 # DEPENDENCYPART_ARC
(12,4),-0.219477 # DEPENDENCYPART_ARC
(12,5),-0.636629 # DEPENDENCYPART_ARC
(12,6),-0.47888 # DEPENDENCYPART_ARC
(12,7),-0.349845 # DEPENDENCYPART_ARC
(12,8),-0.423898 # DEPENDENCYPART_ARC
(12,9),-0.00122587 # DEPENDENCYPART_ARC
(12,10),0.200203 # DEPENDENCYPART_ARC
(12,11),1.61216 # DEPENDENCYPART_ARC
(12,13),0.36198 # DEPENDENCYPART_ARC
(12,14),1.07909 # DEPENDENCYPART_ARC
(12,15),2.40584 # DEPENDENCYPART_ARC
(12,16),0.13138 # DEPENDENCYPART_ARC
(12,17),-0.494868 # DEPENDENCYPART_ARC
(12,18),0.864745 # DEPENDENCYPART_ARC
(12,19),-0.895516 # DEPENDENCYPART_ARC
(12,20),-1.53445 # DEPENDENCYPART_ARC
(12,21),0.198549 # DEPENDENCYPART_ARC
(12,22),-0.447037 # DEPENDENCYPART_ARC
(12,23),-1.69159 # DEPENDENCYPART_ARC
(12,24),0.166451 # DEPENDENCYPART_ARC
(12,25),-0.843184 # DEPENDENCYPART_ARC
(12,26),-0.338846 # DEPENDENCYPART_ARC
(12,27),-1.75818 # DEPENDENCYPART_ARC
(12,28),0.179643 # DEPENDENCYPART_ARC
(13,1),-2.35769 # DEPENDENCYPART_ARC
(13,2),-2.9526 # DEPENDENCYPART_ARC
(13,3),-3.45409 # DEPENDENCYPART_ARC
(13,4),-1.67646 # DEPENDENCYPART_ARC
(13,5),-1.14421 # DEPENDENCYPART_ARC
(13,6),-1.74002 # DEPENDENCYPART_ARC
(13,7),-1.65752 # DEPENDENCYPART_ARC
(13,8),-1.67687 # DEPENDENCYPART_ARC
(13,9),-1.74888 # DEPENDENCYPART_ARC
(13,10),-2.19423 # DEPENDENCYPART_ARC
(13,11),-1.27119 # DEPENDENCYPART_ARC
(13,12),-0.76795 # DEPENDENCYPART_ARC
(13,14),-0.505277 # DEPENDENCYPART_ARC
(13,15),-1.19716 # DEPENDENCYPART_ARC
(13,16),-0.529558 # DEPENDENCYPART_ARC
(13,17),-1.55183 # DEPENDENCYPART_ARC
(13,18),-0.82457 # DEPENDENCYPART_ARC
(13,19),-2.00612 # DEPENDENCYPART_ARC
(13,20),-2.41266 # DEPENDENCYPART_ARC
(13,21),-0.677053 # DEPENDENCYPART_ARC
(13,22),-1.0584 # DEPENDENCYPART_ARC
(13,23),-2.09843 # DEPENDENCYPART_ARC
(13,24),-0.770546 # DEPENDENCYPART_ARC
(13,25),-2.52023 # DEPENDENCYPART_ARC
(13,26),-1.3027 # DEPENDENCYPART_ARC
(13,27),-1.86553 # DEPENDENCYPART_ARC
(13,28),-0.863202 # DEPENDENCYPART_ARC
(14,1),-1.68865 # DEPENDENCYPART_ARC
(14,2),-1.78147 # DEPENDENCYPART_ARC
(14,3),-3.09552 # DEPENDENCYPART_ARC
(14,4),-0.519805 # DEPENDENCYPART_ARC
(14,5),-0.293951 # DEPENDENCYPART_ARC
(14,6),-0.357891 # DEPENDENCYPART_ARC
(14,7),-0.538659 # DEPENDENCYPART_ARC
(14,8),-0.2437 # DEPENDENCYPART_ARC
(14,9),-1.22755 # DEPENDENCYPART_ARC
(14,10),-1.43841 # DEPENDENCYPART_ARC
(14,11),-0.179636 # DEPENDENCYPART_ARC
(14,12),0.106014 # DEPENDENCYPART_ARC
(14,13),3.00233 # DEPENDENCYPART_ARC
(14,15),-1.21071 # DEPENDENCYPART_ARC
(14,16),-0.0784573 # DEPENDENCYPART_ARC
(14,17),-0.527811 # DEPENDENCYPART_ARC
(14,18),-0.624096 # DEPENDENCYPART_ARC
(14,19),-1.63078 # DEPENDENCYPART_ARC
(14,20),-2.0516 # DEPENDENCYPART_ARC
(14,21),-0.513161 # DEPENDENCYPART_ARC
(14,22),-0.753649 # DEPENDENCYPART_ARC
(14,23),-1.71376 # DEPENDENCYPART_ARC
(14,24),-0.491887 # DEPENDENCYPART_ARC
(14,25),-3.17767 # DEPENDENCYPART_ARC
(14,26),-1.31818 # DEPENDENCYPART_ARC
(14,27),-1.70313 # DEPENDENCYPART_ARC
(14,28),-0.893803 # DEPENDENCYPART_ARC
(15,1),-0.388775 # DEPENDENCYPART_ARC
(15,2),-0.325552 # DEPENDENCYPART_ARC
(15,3),-2.36451 # DEPENDENCYPART_ARC
(15,4),0.412357 # DEPENDENCYPART_ARC
(15,5),-0.904437 # DEPENDENCYPART_ARC
(15,6),0.380558 # DEPENDENCYPART_ARC
(15,7),0.487344 # DEPENDENCYPART_ARC
(15,8),0.390184 # DEPENDENCYPART_ARC
(15,9),0.197617 # DEPENDENCYPART_ARC
(15,10),-1.01675 # DEPENDENCYPART_ARC
(15,11),1.12713 # DEPENDENCYPART_ARC
(15,12),1.0723 # DEPENDENCYPART_ARC
(15,13),0.117828 # DEPENDENCYPART_ARC
(15,14),2.69339 # DEPENDENCYPART_ARC
(15,16),2.29997 # DEPENDENCYPART_ARC
(15,17),1.02407 # DEPENDENCYPART_ARC
(15,18),0.942148 # DEPENDENCYPART_ARC
(15,19),-2.0559 # DEPENDENCYPART_ARC
(15,20),0.190373 # DEPENDENCYPART_ARC
(15,21),0.814096 # DEPENDENCYPART_ARC
(15,22),0.590453 # DEPENDENCYPART_ARC
(15,23),-2.07469 # DEPENDENCYPART_ARC
(15,24),0.429287 # DEPENDENCYPART_ARC
(15,25),-2.75487 # DEPENDENCYPART_ARC
(15,26),-0.205838 # DEPENDENCYPART_ARC
(15,27),-3.9032 # DEPENDENCYPART_ARC
(15,28),0.272945 # DEPENDENCYPART_ARC
(16,1),-1.26994 # DEPENDENCYPART_ARC
(16,2),-1.91776 # DEPENDENCYPART_ARC
(16,3),-1.5163 # DEPENDENCYPART_ARC
(16,4),-0.906513 # DEPENDENCYPART_ARC
(16,5),-1.11755 # DEPENDENCYPART_ARC
(16,6),-1.08584 # DEPENDENCYPART_ARC
(16,7),-0.601348 # DEPENDENCYPART_ARC
(16,8),-0.994539 # DEPENDENCYPART_ARC
(16,9),-0.971299 # DEPENDENCYPART_ARC
(16,10),-1.57512 # DEPENDENCYPART_ARC
(16,11),-0.425145 # DEPENDENCYPART_ARC
(16,12),-0.437114 # DEPENDENCYPART_ARC
(16,13),-0.432369 # DEPENDENCYPART_ARC
(16,14),-0.457618 # DEPENDENCYPART_ARC
(16,15),0.0179255 # DEPENDENCYPART_ARC
(16,17),3.45982 # DEPENDENCYPART_ARC
(16,18),0.653415 # DEPENDENCYPART_ARC
(16,19),-0.85137 # DEPENDENCYPART_ARC
(16,20),-0.243665 # DEPENDENCYPART_ARC
(16,21),0.333456 # DEPENDENCYPART_ARC
(16,22),-0.847124 # DEPENDENCYPART_ARC
(16,23),-1.18524 # DEPENDENCYPART_ARC
(16,24),0.312404 # DEPENDENCYPART_ARC
(16,25),-1.09069 # DEPENDENCYPART_ARC
(16,26),-0.916666 # DEPENDENCYPART_ARC
(16,27),-2.14744 # DEPENDENCYPART_ARC
(16,28),-0.352454 # DEPENDENCYPART_ARC
(17,1),-3.22812 # DEPENDENCYPART_ARC
(17,2),-3.14934 # DEPENDENCYPART_ARC
(17,3),-3.79271 # DEPENDENCYPART_ARC
(17,4),-1.65975 # DEPENDENCYPART_ARC
(17,5),-3.48703 # DEPENDENCYPART_ARC
(17,6),-1.72245 # DEPENDENCYPART_ARC
(17,7),-1.62617 # DEPENDENCYPART_ARC
(17,8),-1.60687 # DEPENDENCYPART_ARC
(17,9),-1.31978 # DEPENDENCYPART_ARC
(17,10),-1.98127 # DEPENDENCYPART_ARC
(17,11),-1.52646 # DEPENDENCYPART_ARC
(17,12),-1.0299 # DEPENDENCYPART_ARC
(17,13),-1.56374 # DEPENDENCYPART_ARC
(17,14),-2.59594 # DEPENDENCYPART_ARC
(17,15),-1.99003 # DEPENDENCYPART_ARC
(17,16),0.526008 # DEPENDENCYPART_ARC
(17,18),0.0155006 # DEPENDENCYPART_ARC
(17,19),-0.678362 # DEPENDENCYPART_ARC
(17,20),-0.410846 # DEPENDENCYPART_ARC
(17,21),-0.0243316 # DEPENDENCYPART_ARC
(17,22),-0.537935 # DEPENDENCYPART_ARC
(17,23),-1.91835 # DEPENDENCYPART_ARC
(17,24),0.0176222 # DEPENDENCYPART_ARC
(17,25),-0.704083 # DEPENDENCYPART_ARC
(17,26),-0.925926 # DEPENDENCYPART_ARC
(17,27),-0.780985 # DEPENDENCYPART_ARC
(17,28),-0.70959 # DEPENDENCYPART_ARC
(18,1),-0.751948 # DEPENDENCYPART_ARC
(18,2),-0.93669 # DEPENDENCYPART_ARC
(18,3),-0.412205 # DEPENDENCYPART_ARC
(18,4),-0.401021 # DEPENDENCYPART_ARC
(18,5),-0.659163 # DEPENDENCYPART_ARC
(18,6),-0.396805 # DEPENDENCYPART_ARC
(18,7),0.0707095 # DEPENDENCYPART_ARC
(18,8),-0.385244 # DEPENDENCYPART_ARC
(18,9),-0.449973 # DEPENDENCYPART_ARC
(18,10),-0.0840742 # DEPENDENCYPART_ARC
(18,11),-0.171369 # DEPENDENCYPART_ARC
(18,12),-0.0165861 # DEPENDENCYPART_ARC
(18,13),-0.284782 # DEPENDENCYPART_ARC
(18,14),-0.390967 # DEPENDENCYPART_ARC
(18,15),0.00838492 # DEPENDENCYPART_ARC
(18,16),0.383114 # DEPENDENCYPART_ARC
