# _root_ Ο κ. Γιούνκερ εκτίμησε ωστόσο ότι στις συνομιλίες , που διήρκεσαν σχεδόν δέκα ώρες , επιτεύχθηκε πρόοδος .
#goldHeads=3,3,4,5,0,4,16,7,11,11,8,13,14,11,11,6,16,0,
#predictedHeads=3,3,4,0,4,4,4,7,11,11,6,11,14,11,16,6,16,0,
(6,9),0.617907 # DEPENDENCYPART_ARC
(6,11),1.88821 # DEPENDENCYPART_ARC
(6,12),-0.288956 # DEPENDENCYPART_ARC
(6,15),0.170638 # DEPENDENCYPART_ARC
(6,16),0.581492 # DEPENDENCYPART_ARC
(6,18),-0.259738 # DEPENDENCYPART_ARC
(7,2),-1.61986 # DEPENDENCYPART_ARC
(7,3),-2.71604 # DEPENDENCYPART_ARC
(7,4),-2.29154 # DEPENDENCYPART_ARC
(7,5),-0.221351 # DEPENDENCYPART_ARC
(7,6),0.237059 # DEPENDENCYPART_ARC
(7,8),3.43296 # DEPENDENCYPART_ARC
(7,9),0.622434 # DEPENDENCYPART_ARC
(7,10),0.18038 # DEPENDENCYPART_ARC
(7,11),-0.237525 # DEPENDENCYPART_ARC
(7,12),-1.25824 # DEPENDENCYPART_ARC
(7,14),-1.11673 # DEPENDENCYPART_ARC
(7,15),-0.337791 # DEPENDENCYPART_ARC
(7,16),-2.22081 # DEPENDENCYPART_ARC
(7,17),-2.79711 # DEPENDENCYPART_ARC
(7,18),-0.809254 # DEPENDENCYPART_ARC
(8,1),-3.45153 # DEPENDENCYPART_ARC
(8,2),-1.78086 # DEPENDENCYPART_ARC
(8,3),-3.38202 # DEPENDENCYPART_ARC
(8,4),-3.43199 # DEPENDENCYPART_ARC
(8,5),-0.776699 # DEPENDENCYPART_ARC
(8,6),-0.315476 # DEPENDENCYPART_ARC
(8,7),0.160909 # DEPENDENCYPART_ARC
(8,9),0.334614 # DEPENDENCYPART_ARC
(8,10),-1.32548 # DEPENDENCYPART_ARC
(8,11),1.3014 # DEPENDENCYPART_ARC
(8,12),-0.528763 # DEPENDENCYPART_ARC
(8,13),-2.08316 # DEPENDENCYPART_ARC
(8,14),-2.36958 # DEPENDENCYPART_ARC
(8,15),-0.71755 # DEPENDENCYPART_ARC
(8,16),-1.7627 # DEPENDENCYPART_ARC
(8,17),-2.77281 # DEPENDENCYPART_ARC
(8,18),-0.653016 # DEPENDENCYPART_ARC
(9,2),-0.948815 # DEPENDENCYPART_ARC
(9,3),-0.753422 # DEPENDENCYPART_ARC
(9,4),-0.61997 # DEPENDENCYPART_ARC
(9,5),-0.359814 # DEPENDENCYPART_ARC
(9,6),-0.198953 # DEPENDENCYPART_ARC
(9,7),-0.290054 # DEPENDENCYPART_ARC
(9,8),0.162906 # DEPENDENCYPART_ARC
(9,10),-0.24193 # DEPENDENCYPART_ARC
(9,11),0.084201 # DEPENDENCYPART_ARC
(9,12),-0.286155 # DEPENDENCYPART_ARC
(9,13),-0.429461 # DEPENDENCYPART_ARC
(9,14),-0.384687 # DEPENDENCYPART_ARC
(9,15),0.3617 # DEPENDENCYPART_ARC
(9,16),-0.820424 # DEPENDENCYPART_ARC
(9,17),-0.991527 # DEPENDENCYPART_ARC
(9,18),-0.145352 # DEPENDENCYPART_ARC
(10,1),-1.50782 # DEPENDENCYPART_ARC
(10,4),-3.06919 # DEPENDENCYPART_ARC
(10,6),-0.751847 # DEPENDENCYPART_ARC
(10,9),0.0758538 # DEPENDENCYPART_ARC
(10,11),0.392377 # DEPENDENCYPART_ARC
(10,15),-1.09034 # DEPENDENCYPART_ARC
(10,16),-2.33703 # DEPENDENCYPART_ARC
(10,18),-1.1806 # DEPENDENCYPART_ARC
(11,1),-2.69299 # DEPENDENCYPART_ARC
(11,2),-1.01988 # DEPENDENCYPART_ARC
(11,3),-1.53742 # DEPENDENCYPART_ARC
(11,4),-3.38026 # DEPENDENCYPART_ARC
(11,5),-0.441273 # DEPENDENCYPART_ARC
(11,6),-0.465445 # DEPENDENCYPART_ARC
(11,7),0.427301 # DEPENDENCYPART_ARC
(11,8),-0.889844 # DEPENDENCYPART_ARC
(11,9),1.00702 # DEPENDENCYPART_ARC
(11,10),3.87339 # DEPENDENCYPART_ARC
(11,12),1.65673 # DEPENDENCYPART_ARC
(11,13),-0.79344 # DEPENDENCYPART_ARC
(11,14),1.41018 # DEPENDENCYPART_ARC
(11,15),0.902637 # DEPENDENCYPART_ARC
(11,16),-2.01513 # DEPENDENCYPART_ARC
(11,17),-0.370598 # DEPENDENCYPART_ARC
(11,18),-0.101959 # DEPENDENCYPART_ARC
(12,1),-1.20898 # DEPENDENCYPART_ARC
(12,2),-1.07705 # DEPENDENCYPART_ARC
(12,3),-1.10339 # DEPENDENCYPART_ARC
(12,4),-1.25494 # DEPENDENCYPART_ARC
(12,5),-0.592417 # DEPENDENCYPART_ARC
(12,6),-0.619704 # DEPENDENCYPART_ARC
(12,7),-0.475369 # DEPENDENCYPART_ARC
(12,8),-0.863568 # DEPENDENCYPART_ARC
(12,9),-0.350164 # DEPENDENCYPART_ARC
(12,10),-0.946077 # DEPENDENCYPART_ARC
(12,11),-0.176266 # DEPENDENCYPART_ARC
(12,13),-0.00679805 # DEPENDENCYPART_ARC
(12,14),0.021707 # DEPENDENCYPART_ARC
(12,15),-0.0829641 # DEPENDENCYPART_ARC
(12,16),-0.569117 # DEPENDENCYPART_ARC
(12,17),-1.27039 # DEPENDENCYPART_ARC
(12,18),-0.955843 # DEPENDENCYPART_ARC
(13,1),-0.858938 # DEPENDENCYPART_ARC
(13,4),-2.62437 # DEPENDENCYPART_ARC
(13,5),-0.0446244 # DEPENDENCYPART_ARC
(13,11),-1.54782 # DEPENDENCYPART_ARC
(13,12),1.55025 # DEPENDENCYPART_ARC
(13,16),-0.842014 # DEPENDENCYPART_ARC
(14,1),-2.78803 # DEPENDENCYPART_ARC
(14,2),-0.887801 # DEPENDENCYPART_ARC
(14,3),-3.00441 # DEPENDENCYPART_ARC
(14,4),-3.04664 # DEPENDENCYPART_ARC
(14,5),-0.368576 # DEPENDENCYPART_ARC
(14,6),-0.568873 # DEPENDENCYPART_ARC
(14,7),-0.394422 # DEPENDENCYPART_ARC
(14,8),-0.610001 # DEPENDENCYPART_ARC
(14,9),-0.515319 # DEPENDENCYPART_ARC
(14,10),0.344788 # DEPENDENCYPART_ARC
(14,11),-2.22608 # DEPENDENCYPART_ARC
(14,12),0.806401 # DEPENDENCYPART_ARC
(14,13),2.88854 # DEPENDENCYPART_ARC
(14,15),0.0862745 # DEPENDENCYPART_ARC
(14,16),-0.516408 # DEPENDENCYPART_ARC
(14,17),-1.75973 # DEPENDENCYPART_ARC
(14,18),-0.782337 # DEPENDENCYPART_ARC
(15,2),-1.26693 # DEPENDENCYPART_ARC
(15,3),-1.25923 # DEPENDENCYPART_ARC
(15,4),-0.625164 # DEPENDENCYPART_ARC
(15,5),-0.662126 # DEPENDENCYPART_ARC
(15,6),-0.63352 # DEPENDENCYPART_ARC
(15,7),-0.729185 # DEPENDENCYPART_ARC
(15,8),-0.738842 # DEPENDENCYPART_ARC
(15,9),-0.545108 # DEPENDENCYPART_ARC
(15,10),-0.885132 # DEPENDENCYPART_ARC
(15,11),-0.438193 # DEPENDENCYPART_ARC
(15,12),-0.181924 # DEPENDENCYPART_ARC
(15,13),-0.0408917 # DEPENDENCYPART_ARC
(15,14),0.0656372 # DEPENDENCYPART_ARC
(15,16),-0.217265 # DEPENDENCYPART_ARC
(15,17),-0.518365 # DEPENDENCYPART_ARC
(15,18),-0.461769 # DEPENDENCYPART_ARC
(16,1),-2.57275 # DEPENDENCYPART_ARC
(16,2),-0.586208 # DEPENDENCYPART_ARC
(16,3),-0.381749 # DEPENDENCYPART_ARC
(16,4),-2.02974 # DEPENDENCYPART_ARC
(16,5),0.467855 # DEPENDENCYPART_ARC
(16,6),0.22357 # DEPENDENCYPART_ARC
(16,7),-0.0733475 # DEPENDENCYPART_ARC
(16,8),-1.81473 # DEPENDENCYPART_ARC
(16,9),0.436934 # DEPENDENCYPART_ARC
(16,10),1.88752 # DEPENDENCYPART_ARC
(16,11),0.00547149 # DEPENDENCYPART_ARC
(16,12),0.717799 # DEPENDENCYPART_ARC
(16,13),-1.27141 # DEPENDENCYPART_ARC
(16,14),-0.65976 # DEPENDENCYPART_ARC
(16,15),1.26723 # DEPENDENCYPART_ARC
(16,17),2.81474 # DEPENDENCYPART_ARC
(16,18),0.328695 # DEPENDENCYPART_ARC
(17,1),-1.99223 # DEPENDENCYPART_ARC
(17,2),-1.36928 # DEPENDENCYPART_ARC
(17,3),-2.49063 # DEPENDENCYPART_ARC
(17,4),-3.47013 # DEPENDENCYPART_ARC
(17,5),-1.12542 # DEPENDENCYPART_ARC
(17,6),-1.28803 # DEPENDENCYPART_ARC
(17,7),-1.29574 # DEPENDENCYPART_ARC
(17,8),-2.76192 # DEPENDENCYPART_ARC
(17,9),-1.28465 # DEPENDENCYPART_ARC
(17,10),-1.24109 # DEPENDENCYPART_ARC
(17,11),-3.70388 # DEPENDENCYPART_ARC
(17,12),-0.765059 # DEPENDENCYPART_ARC
(17,13),0.522436 # DEPENDENCYPART_ARC
(17,14),-1.96924 # DEPENDENCYPART_ARC
(17,15),0.0813193 # DEPENDENCYPART_ARC
(17,16),0.186108 # DEPENDENCYPART_ARC
(17,18),0.754279 # DEPENDENCYPART_ARC
(18,2),-2.74458 # DEPENDENCYPART_ARC
(18,3),-3.01993 # DEPENDENCYPART_ARC
(18,4),-2.75432 # DEPENDENCYPART_ARC
(18,5),-2.40425 # DEPENDENCYPART_ARC
(18,6),-2.41833 # DEPENDENCYPART_ARC
(18,7),-2.80449 # DEPENDENCYPART_ARC
(18,8),-2.67951 # DEPENDENCYPART_ARC
(18,9),-2.04912 # DEPENDENCYPART_ARC
(18,10),-2.39097 # DEPENDENCYPART_ARC
(18,11),-2.42187 # DEPENDENCYPART_ARC
(18,12),-1.92876 # DEPENDENCYPART_ARC
(18,13),-2.07113 # DEPENDENCYPART_ARC
(18,14),-2.35777 # DEPENDENCYPART_ARC
(18,15),-1.63084 # DEPENDENCYPART_ARC
(18,16),-1.93963 # DEPENDENCYPART_ARC
(18,17),-1.83359 # DEPENDENCYPART_ARC
