# _root_ Περίπου 4.000 άνθρωποι συγκεντρώθηκαν έξω από την αμερικανική πρεσβεία στις Βρυξέλλες , φωνάζοντας αντιαμερικανικά συνθήματα και πετώντας μπουκάλια και αυγά στο κτίριο , όπου λίγο αργότερα ο Αμερικανός πρόεδρος φιλοξένησε τον Ζακ Σιράκ .
#goldHeads=3,3,4,0,4,5,9,9,6,9,10,4,16,15,13,4,16,19,17,19,17,21,30,30,26,30,29,29,30,22,33,33,30,0,
#predictedHeads=4,3,4,16,4,4,9,9,6,9,10,13,16,15,13,0,16,19,17,19,20,21,30,30,26,17,29,29,30,25,33,33,30,0,
(4,12),0.672125 # DEPENDENCYPART_ARC
(4,13),2.01174 # DEPENDENCYPART_ARC
(4,14),-1.66893 # DEPENDENCYPART_ARC
(4,15),-1.59606 # DEPENDENCYPART_ARC
(4,16),-0.125927 # DEPENDENCYPART_ARC
(4,17),0.211701 # DEPENDENCYPART_ARC
(4,18),-1.84368 # DEPENDENCYPART_ARC
(4,19),0.0414719 # DEPENDENCYPART_ARC
(4,20),-2.38829 # DEPENDENCYPART_ARC
(4,21),-1.10875 # DEPENDENCYPART_ARC
(4,22),-3.73689 # DEPENDENCYPART_ARC
(4,23),-0.116323 # DEPENDENCYPART_ARC
(4,24),-0.890627 # DEPENDENCYPART_ARC
(4,25),-0.94519 # DEPENDENCYPART_ARC
(4,26),-0.519741 # DEPENDENCYPART_ARC
(4,27),-4.14308 # DEPENDENCYPART_ARC
(4,28),-4.0428 # DEPENDENCYPART_ARC
(4,29),-3.67091 # DEPENDENCYPART_ARC
(4,30),-6.89458 # DEPENDENCYPART_ARC
(4,31),-3.64151 # DEPENDENCYPART_ARC
(4,32),-1.07363 # DEPENDENCYPART_ARC
(4,33),-1.04599 # DEPENDENCYPART_ARC
(4,34),-0.0135462 # DEPENDENCYPART_ARC
(5,1),-0.140463 # DEPENDENCYPART_ARC
(5,2),-0.355344 # DEPENDENCYPART_ARC
(5,3),-0.347568 # DEPENDENCYPART_ARC
(5,4),-0.00766818 # DEPENDENCYPART_ARC
(5,6),1.12297 # DEPENDENCYPART_ARC
(5,7),-0.442193 # DEPENDENCYPART_ARC
(5,8),-0.63659 # DEPENDENCYPART_ARC
(5,9),-0.569403 # DEPENDENCYPART_ARC
(5,10),-0.0256069 # DEPENDENCYPART_ARC
(5,11),-1.49782 # DEPENDENCYPART_ARC
(5,12),0.00711028 # DEPENDENCYPART_ARC
(5,13),-1.24355 # DEPENDENCYPART_ARC
(5,14),-1.32963 # DEPENDENCYPART_ARC
(5,15),-2.04968 # DEPENDENCYPART_ARC
(5,16),-0.8234 # DEPENDENCYPART_ARC
(5,17),-1.79149 # DEPENDENCYPART_ARC
(5,18),-2.37102 # DEPENDENCYPART_ARC
(5,19),-0.879585 # DEPENDENCYPART_ARC
(5,20),-2.24621 # DEPENDENCYPART_ARC
(5,21),-1.49186 # DEPENDENCYPART_ARC
(5,22),-2.43548 # DEPENDENCYPART_ARC
(5,23),-0.809974 # DEPENDENCYPART_ARC
(5,24),-1.32488 # DEPENDENCYPART_ARC
(5,25),-1.33059 # DEPENDENCYPART_ARC
(5,26),-1.344 # DEPENDENCYPART_ARC
(5,27),-1.8806 # DEPENDENCYPART_ARC
(5,28),-3.13213 # DEPENDENCYPART_ARC
(5,29),-3.19716 # DEPENDENCYPART_ARC
(5,30),-1.89286 # DEPENDENCYPART_ARC
(5,31),-2.16598 # DEPENDENCYPART_ARC
(5,32),-1.52891 # DEPENDENCYPART_ARC
(5,33),-1.60999 # DEPENDENCYPART_ARC
(5,34),-1.48347 # DEPENDENCYPART_ARC
(6,1),-0.837395 # DEPENDENCYPART_ARC
(6,2),-0.816456 # DEPENDENCYPART_ARC
(6,3),-1.18948 # DEPENDENCYPART_ARC
(6,4),-0.523275 # DEPENDENCYPART_ARC
(6,5),0.227429 # DEPENDENCYPART_ARC
(6,7),0.762823 # DEPENDENCYPART_ARC
(6,8),1.73913 # DEPENDENCYPART_ARC
(6,9),2.42181 # DEPENDENCYPART_ARC
(6,10),0.322703 # DEPENDENCYPART_ARC
(6,11),1.44018 # DEPENDENCYPART_ARC
(6,12),0.513245 # DEPENDENCYPART_ARC
(6,13),-0.360257 # DEPENDENCYPART_ARC
(6,14),-0.378636 # DEPENDENCYPART_ARC
(6,15),-1.18214 # DEPENDENCYPART_ARC
(6,16),-0.255371 # DEPENDENCYPART_ARC
(6,17),-1.19194 # DEPENDENCYPART_ARC
(6,18),-2.177 # DEPENDENCYPART_ARC
(6,19),-0.584932 # DEPENDENCYPART_ARC
(6,20),-2.64115 # DEPENDENCYPART_ARC
(6,21),-0.838949 # DEPENDENCYPART_ARC
(6,22),-3.23028 # DEPENDENCYPART_ARC
(6,23),-0.379996 # DEPENDENCYPART_ARC
(6,24),-1.08099 # DEPENDENCYPART_ARC
(6,25),-1.17096 # DEPENDENCYPART_ARC
(6,26),-1.27346 # DEPENDENCYPART_ARC
(6,27),-1.4431 # DEPENDENCYPART_ARC
(6,28),-5.14418 # DEPENDENCYPART_ARC
(6,29),-5.47917 # DEPENDENCYPART_ARC
(6,30),-2.28173 # DEPENDENCYPART_ARC
(6,31),-1.77076 # DEPENDENCYPART_ARC
(6,32),-2.38841 # DEPENDENCYPART_ARC
(6,33),-2.0637 # DEPENDENCYPART_ARC
(6,34),-1.4544 # DEPENDENCYPART_ARC
(7,1),-1.91352 # DEPENDENCYPART_ARC
(7,2),-1.97056 # DEPENDENCYPART_ARC
(7,3),-3.07176 # DEPENDENCYPART_ARC
(7,4),-3.41482 # DEPENDENCYPART_ARC
(7,5),-1.1334 # DEPENDENCYPART_ARC
(7,6),-0.740365 # DEPENDENCYPART_ARC
(7,8),-0.470658 # DEPENDENCYPART_ARC
(7,9),-0.258647 # DEPENDENCYPART_ARC
(7,10),-0.198692 # DEPENDENCYPART_ARC
(7,11),-1.03768 # DEPENDENCYPART_ARC
(7,12),-0.417884 # DEPENDENCYPART_ARC
(7,13),-2.34914 # DEPENDENCYPART_ARC
(7,14),-2.42498 # DEPENDENCYPART_ARC
(7,15),-1.96452 # DEPENDENCYPART_ARC
(7,16),-0.634844 # DEPENDENCYPART_ARC
(7,17),-2.85045 # DEPENDENCYPART_ARC
(7,18),-2.09136 # DEPENDENCYPART_ARC
(7,19),-0.709373 # DEPENDENCYPART_ARC
(7,20),-2.14151 # DEPENDENCYPART_ARC
(7,21),-1.37737 # DEPENDENCYPART_ARC
(7,22),-1.97025 # DEPENDENCYPART_ARC
(7,23),-1.20142 # DEPENDENCYPART_ARC
(7,24),-1.227 # DEPENDENCYPART_ARC
(7,25),-1.20687 # DEPENDENCYPART_ARC
(7,26),-1.46877 # DEPENDENCYPART_ARC
(7,27),-2.10746 # DEPENDENCYPART_ARC
(7,28),-2.69543 # DEPENDENCYPART_ARC
(7,29),-2.77469 # DEPENDENCYPART_ARC
(7,30),-3.33883 # DEPENDENCYPART_ARC
(7,31),-2.09469 # DEPENDENCYPART_ARC
(7,32),-1.90474 # DEPENDENCYPART_ARC
(7,33),-1.91635 # DEPENDENCYPART_ARC
(7,34),-1.40668 # DEPENDENCYPART_ARC
(8,1),-1.1411 # DEPENDENCYPART_ARC
(8,2),-0.693772 # DEPENDENCYPART_ARC
(8,3),-1.24349 # DEPENDENCYPART_ARC
(8,4),-3.19215 # DEPENDENCYPART_ARC
(8,5),-0.152558 # DEPENDENCYPART_ARC
(8,6),0.0953006 # DEPENDENCYPART_ARC
(8,7),0.946931 # DEPENDENCYPART_ARC
(8,9),0.275589 # DEPENDENCYPART_ARC
(8,10),0.431951 # DEPENDENCYPART_ARC
(8,11),-0.996822 # DEPENDENCYPART_ARC
(8,12),-0.304413 # DEPENDENCYPART_ARC
(8,13),-1.29044 # DEPENDENCYPART_ARC
(8,14),-2.0446 # DEPENDENCYPART_ARC
(8,15),-2.5988 # DEPENDENCYPART_ARC
(8,16),-0.687829 # DEPENDENCYPART_ARC
(8,17),-2.20586 # DEPENDENCYPART_ARC
(8,18),-2.93682 # DEPENDENCYPART_ARC
(8,19),-0.766582 # DEPENDENCYPART_ARC
(8,20),-3.2675 # DEPENDENCYPART_ARC
(8,21),-1.75187 # DEPENDENCYPART_ARC
(8,22),-3.60595 # DEPENDENCYPART_ARC
(8,23),-1.2474 # DEPENDENCYPART_ARC
(8,24),-1.74051 # DEPENDENCYPART_ARC
(8,25),-1.5609 # DEPENDENCYPART_ARC
(8,26),-1.83347 # DEPENDENCYPART_ARC
(8,27),-2.09938 # DEPENDENCYPART_ARC
(8,28),-3.50407 # DEPENDENCYPART_ARC
(8,29),-3.46679 # DEPENDENCYPART_ARC
(8,30),-3.37234 # DEPENDENCYPART_ARC
(8,31),-2.35355 # DEPENDENCYPART_ARC
(8,32),-1.24272 # DEPENDENCYPART_ARC
(8,33),-1.31543 # DEPENDENCYPART_ARC
(8,34),-1.52856 # DEPENDENCYPART_ARC
(9,1),-0.822914 # DEPENDENCYPART_ARC
(9,2),-0.342528 # DEPENDENCYPART_ARC
(9,3),-2.80781 # DEPENDENCYPART_ARC
(9,4),-2.17912 # DEPENDENCYPART_ARC
(9,5),-0.082682 # DEPENDENCYPART_ARC
(9,6),0.190059 # DEPENDENCYPART_ARC
(9,7),3.41297 # DEPENDENCYPART_ARC
(9,8),3.75622 # DEPENDENCYPART_ARC
(9,10),1.56198 # DEPENDENCYPART_ARC
(9,11),0.485942 # DEPENDENCYPART_ARC
(9,12),0.59767 # DEPENDENCYPART_ARC
(9,13),-0.753818 # DEPENDENCYPART_ARC
(9,14),-1.35837 # DEPENDENCYPART_ARC
(9,15),-1.87342 # DEPENDENCYPART_ARC
(9,16),0.070062 # DEPENDENCYPART_ARC
(9,17),-2.36074 # DEPENDENCYPART_ARC
(9,18),-2.55143 # DEPENDENCYPART_ARC
(9,19),-0.155837 # DEPENDENCYPART_ARC
(9,20),-3.10936 # DEPENDENCYPART_ARC
(9,21),-0.898352 # DEPENDENCYPART_ARC
(9,22),-3.49692 # DEPENDENCYPART_ARC
(9,23),-0.127415 # DEPENDENCYPART_ARC
(9,24),-1.0033 # DEPENDENCYPART_ARC
(9,25),-1.13154 # DEPENDENCYPART_ARC
(9,26),-1.11178 # DEPENDENCYPART_ARC
(9,27),-1.85257 # DEPENDENCYPART_ARC
(9,28),-4.25503 # DEPENDENCYPART_ARC
(9,29),-4.51992 # DEPENDENCYPART_ARC
(9,30),-3.76465 # DEPENDENCYPART_ARC
(9,31),-2.14572 # DEPENDENCYPART_ARC
(9,32),-2.22289 # DEPENDENCYPART_ARC
(9,33),-2.07872 # DEPENDENCYPART_ARC
(9,34),-0.275922 # DEPENDENCYPART_ARC
(10,1),-1.13827 # DEPENDENCYPART_ARC
(10,2),-1.28381 # DEPENDENCYPART_ARC
(10,3),-2.30214 # DEPENDENCYPART_ARC
(10,4),-2.17148 # DEPENDENCYPART_ARC
(10,5),-0.913298 # DEPENDENCYPART_ARC
(10,6),-0.585535 # DEPENDENCYPART_ARC
(10,7),-0.538148 # DEPENDENCYPART_ARC
(10,8),-0.45088 # DEPENDENCYPART_ARC
(10,9),-1.54768 # DEPENDENCYPART_ARC
(10,11),3.18017 # DEPENDENCYPART_ARC
(10,12),0.295126 # DEPENDENCYPART_ARC
(10,13),-1.17552 # DEPENDENCYPART_ARC
(10,14),-0.582091 # DEPENDENCYPART_ARC
(10,15),-1.37718 # DEPENDENCYPART_ARC
(10,16),-0.520278 # DEPENDENCYPART_ARC
(10,17),-2.63962 # DEPENDENCYPART_ARC
(10,18),-2.60575 # DEPENDENCYPART_ARC
(10,19),-0.500792 # DEPENDENCYPART_ARC
(10,20),-3.09493 # DEPENDENCYPART_ARC
(10,21),-2.18713 # DEPENDENCYPART_ARC
(10,22),-3.56147 # DEPENDENCYPART_ARC
(10,23),-0.952386 # DEPENDENCYPART_ARC
(10,24),-1.94794 # DEPENDENCYPART_ARC
(10,25),-1.92865 # DEPENDENCYPART_ARC
(10,26),-2.18608 # DEPENDENCYPART_ARC
(10,27),-2.65103 # DEPENDENCYPART_ARC
(10,28),-5.90585 # DEPENDENCYPART_ARC
(10,29),-6.27399 # DEPENDENCYPART_ARC
(10,30),-3.39111 # DEPENDENCYPART_ARC
(10,31),-2.46107 # DEPENDENCYPART_ARC
(10,32),-2.86239 # DEPENDENCYPART_ARC
(10,33),-2.51901 # DEPENDENCYPART_ARC
(10,34),-1.88955 # DEPENDENCYPART_ARC
(11,1),-1.88659 # DEPENDENCYPART_ARC
(11,2),-1.32505 # DEPENDENCYPART_ARC
(11,3),-3.14877 # DEPENDENCYPART_ARC
(11,4),-3.11784 # DEPENDENCYPART_ARC
(11,5),-1.51542 # DEPENDENCYPART_ARC
(11,6),-1.10414 # DEPENDENCYPART_ARC
(11,7),0.434799 # DEPENDENCYPART_ARC
(11,8),-0.56609 # DEPENDENCYPART_ARC
(11,9),-0.726586 # DEPENDENCYPART_ARC
(11,10),0.48691 # DEPENDENCYPART_ARC
(11,12),-0.463538 # DEPENDENCYPART_ARC
(11,13),-1.45578 # DEPENDENCYPART_ARC
(11,14),-1.42395 # DEPENDENCYPART_ARC
(11,15),-2.58126 # DEPENDENCYPART_ARC
(11,16),-1.058 # DEPENDENCYPART_ARC
(11,17),-3.2634 # DEPENDENCYPART_ARC
(11,18),-3.80784 # DEPENDENCYPART_ARC
(11,19),-1.14257 # DEPENDENCYPART_ARC
(11,20),-4.50167 # DEPENDENCYPART_ARC
(11,21),-2.12186 # DEPENDENCYPART_ARC
(11,22),-4.32953 # DEPENDENCYPART_ARC
(11,23),-1.53949 # DEPENDENCYPART_ARC
(11,24),-2.11392 # DEPENDENCYPART_ARC
(11,25),-1.99212 # DEPENDENCYPART_ARC
(11,26),-2.19686 # DEPENDENCYPART_ARC
(11,27),-3.28675 # DEPENDENCYPART_ARC
(11,28),-5.2287 # DEPENDENCYPART_ARC
(11,29),-5.28776 # DEPENDENCYPART_ARC
(11,30),-5.25716 # DEPENDENCYPART_ARC
(11,31),-3.25779 # DEPENDENCYPART_ARC
(11,32),-3.0625 # DEPENDENCYPART_ARC
(11,33),-3.24722 # DEPENDENCYPART_ARC
(11,34),-1.5625 # DEPENDENCYPART_ARC
(12,1),-0.557399 # DEPENDENCYPART_ARC
(12,2),-0.659615 # DEPENDENCYPART_ARC
(12,3),-1.00259 # DEPENDENCYPART_ARC
(12,4),-0.40653 # DEPENDENCYPART_ARC
(12,5),-0.303408 # DEPENDENCYPART_ARC
(12,6),0.0945175 # DEPENDENCYPART_ARC
(12,7),-0.351968 # DEPENDENCYPART_ARC
(12,8),-0.294404 # DEPENDENCYPART_ARC
(12,9),0.118639 # DEPENDENCYPART_ARC
(12,10),0.135167 # DEPENDENCYPART_ARC
(12,11),0.305184 # DEPENDENCYPART_ARC
(12,13),-0.0652113 # DEPENDENCYPART_ARC
(12,14),-0.708541 # DEPENDENCYPART_ARC
(12,15),-0.482328 # DEPENDENCYPART_ARC
(12,16),-0.737731 # DEPENDENCYPART_ARC
(12,17),-1.12888 # DEPENDENCYPART_ARC
(12,18),-1.32243 # DEPENDENCYPART_ARC
(12,19),-0.788442 # DEPENDENCYPART_ARC
(12,20),-1.67789 # DEPENDENCYPART_ARC
(12,21),-1.20477 # DEPENDENCYPART_ARC
(12,22),-1.51164 # DEPENDENCYPART_ARC
(12,23),-0.53075 # DEPENDENCYPART_ARC
(12,24),-1.30817 # DEPENDENCYPART_ARC
(12,25),-1.19005 # DEPENDENCYPART_ARC
(12,26),-1.07899 # DEPENDENCYPART_ARC
(12,27),-1.69792 # DEPENDENCYPART_ARC
(12,28),-1.9562 # DEPENDENCYPART_ARC
(12,29),-1.86546 # DEPENDENCYPART_ARC
(12,30),-1.13471 # DEPENDENCYPART_ARC
(12,31),-1.923 # DEPENDENCYPART_ARC
(12,32),-1.91946 # DEPENDENCYPART_ARC
(12,33),-1.41674 # DEPENDENCYPART_ARC
(12,34),-1.08286 # DEPENDENCYPART_ARC
(13,1),0.0475978 # DEPENDENCYPART_ARC
(13,2),-0.349329 # DEPENDENCYPART_ARC
(13,3),-0.52577 # DEPENDENCYPART_ARC
(13,4),-5.16887 # DEPENDENCYPART_ARC
(13,5),-0.125674 # DEPENDENCYPART_ARC
(13,6),-0.128223 # DEPENDENCYPART_ARC
(13,7),-1.167 # DEPENDENCYPART_ARC
(13,8),-1.60854 # DEPENDENCYPART_ARC
(13,9),-1.83015 # DEPENDENCYPART_ARC
(13,10),-0.136117 # DEPENDENCYPART_ARC
(13,11),-0.948971 # DEPENDENCYPART_ARC
(13,12),1.07852 # DEPENDENCYPART_ARC
(13,14),1.20588 # DEPENDENCYPART_ARC
(13,15),3.11073 # DEPENDENCYPART_ARC
(13,16),0.852249 # DEPENDENCYPART_ARC
(13,17),1.55728 # DEPENDENCYPART_ARC
(13,18),0.894674 # DEPENDENCYPART_ARC
(13,19),0.301376 # DEPENDENCYPART_ARC
(13,20),-0.128679 # DEPENDENCYPART_ARC
(13,21),-1.4 # DEPENDENCYPART_ARC
(13,22),-1.7374 # DEPENDENCYPART_ARC
(13,23),0.429133 # DEPENDENCYPART_ARC
(13,24),-0.385862 # DEPENDENCYPART_ARC
(13,25),-0.461308 # DEPENDENCYPART_ARC
(13,26),0.298864 # DEPENDENCYPART_ARC
(13,27),-3.22628 # DEPENDENCYPART_ARC
(13,28),-2.57641 # DEPENDENCYPART_ARC
(13,29),-2.50912 # DEPENDENCYPART_ARC
(13,30),-5.36607 # DEPENDENCYPART_ARC
(13,31),-2.05185 # DEPENDENCYPART_ARC
(13,32),-0.594074 # DEPENDENCYPART_ARC
(13,33),-0.720688 # DEPENDENCYPART_ARC
(13,34),0.46431 # DEPENDENCYPART_ARC
(14,1),-1.40345 # DEPENDENCYPART_ARC
(14,2),-1.01232 # DEPENDENCYPART_ARC
(14,3),-1.60635 # DEPENDENCYPART_ARC
(14,4),-3.76125 # DEPENDENCYPART_ARC
(14,5),-0.935961 # DEPENDENCYPART_ARC
(14,6),-0.937063 # DEPENDENCYPART_ARC
(14,7),-1.81136 # DEPENDENCYPART_ARC
(14,8),-2.26575 # DEPENDENCYPART_ARC
(14,9),-1.90826 # DEPENDENCYPART_ARC
(14,10),-1.2425 # DEPENDENCYPART_ARC
(14,11),-1.32788 # DEPENDENCYPART_ARC
(14,12),-0.304883 # DEPENDENCYPART_ARC
(14,13),-2.11163 # DEPENDENCYPART_ARC
(14,15),0.341254 # DEPENDENCYPART_ARC
(14,16),0.0671527 # DEPENDENCYPART_ARC
(14,17),-0.465261 # DEPENDENCYPART_ARC
(14,18),-1.61046 # DEPENDENCYPART_ARC
(14,19),-0.58753 # DEPENDENCYPART_ARC
(14,20),-2.35104 # DEPENDENCYPART_ARC
(14,21),-1.68503 # DEPENDENCYPART_ARC
(14,22),-2.09464 # DEPENDENCYPART_ARC
(14,23),-1.05121 # DEPENDENCYPART_ARC
(14,24),-1.27065 # DEPENDENCYPART_ARC
(14,25),-1.3796 # DEPENDENCYPART_ARC
(14,26),-1.67513 # DEPENDENCYPART_ARC
(14,27),-2.01559 # DEPENDENCYPART_ARC
(14,28),-2.39668 # DEPENDENCYPART_ARC
(14,29),-2.34043 # DEPENDENCYPART_ARC
(14,30),-3.11119 # DEPENDENCYPART_ARC
(14,31),-1.85369 # DEPENDENCYPART_ARC
(14,32),-1.1503 # DEPENDENCYPART_ARC
(14,33),-1.2541 # DEPENDENCYPART_ARC
(14,34),-1.2014 # DEPENDENCYPART_ARC
(15,1),-1.0132 # DEPENDENCYPART_ARC
