# _root_ Η Παροικιά , στην δυτική ακτή του νησιού , είναι η πρωτεύουσα και μεγαλύτερη πόλη της Πάρου .
#goldHeads=2,10,4,10,6,4,8,6,4,0,12,13,10,15,13,17,15,0,
#predictedHeads=2,13,4,10,6,4,8,6,10,0,12,10,10,15,13,17,15,0,
(3,11),-1.22267 # DEPENDENCYPART_ARC
(3,12),-1.2611 # DEPENDENCYPART_ARC
(3,13),-0.325458 # DEPENDENCYPART_ARC
(3,14),-0.895661 # DEPENDENCYPART_ARC
(3,15),-1.49798 # DEPENDENCYPART_ARC
(3,16),-1.36394 # DEPENDENCYPART_ARC
(3,17),-1.45051 # DEPENDENCYPART_ARC
(3,18),-0.404493 # DEPENDENCYPART_ARC
(4,1),-0.00469001 # DEPENDENCYPART_ARC
(4,2),-0.32407 # DEPENDENCYPART_ARC
(4,3),0.789822 # DEPENDENCYPART_ARC
(4,5),1.14491 # DEPENDENCYPART_ARC
(4,6),3.06801 # DEPENDENCYPART_ARC
(4,7),-0.635066 # DEPENDENCYPART_ARC
(4,8),-0.335065 # DEPENDENCYPART_ARC
(4,9),0.432602 # DEPENDENCYPART_ARC
(4,10),-2.41863 # DEPENDENCYPART_ARC
(4,11),-1.3176 # DEPENDENCYPART_ARC
(4,12),-2.91836 # DEPENDENCYPART_ARC
(4,13),-0.604262 # DEPENDENCYPART_ARC
(4,14),-1.77705 # DEPENDENCYPART_ARC
(4,15),-2.77608 # DEPENDENCYPART_ARC
(4,16),-1.55136 # DEPENDENCYPART_ARC
(4,17),-4.38905 # DEPENDENCYPART_ARC
(4,18),-0.502639 # DEPENDENCYPART_ARC
(5,1),-0.783303 # DEPENDENCYPART_ARC
(5,2),-0.897457 # DEPENDENCYPART_ARC
(5,3),-0.686739 # DEPENDENCYPART_ARC
(5,4),-0.839001 # DEPENDENCYPART_ARC
(5,6),0.507869 # DEPENDENCYPART_ARC
(5,7),-0.713173 # DEPENDENCYPART_ARC
(5,8),-0.255387 # DEPENDENCYPART_ARC
(5,9),-0.327736 # DEPENDENCYPART_ARC
(5,10),-1.61963 # DEPENDENCYPART_ARC
(5,11),-1.94295 # DEPENDENCYPART_ARC
(5,12),-2.528 # DEPENDENCYPART_ARC
(5,13),-0.559366 # DEPENDENCYPART_ARC
(5,14),-2.8265 # DEPENDENCYPART_ARC
(5,15),-2.4441 # DEPENDENCYPART_ARC
(5,16),-1.79752 # DEPENDENCYPART_ARC
(5,17),-1.89566 # DEPENDENCYPART_ARC
(5,18),-1.11081 # DEPENDENCYPART_ARC
(6,1),1.82822 # DEPENDENCYPART_ARC
(6,2),0.0651892 # DEPENDENCYPART_ARC
(6,3),0.290713 # DEPENDENCYPART_ARC
(6,4),0.914006 # DEPENDENCYPART_ARC
(6,5),3.59642 # DEPENDENCYPART_ARC
(6,7),0.335582 # DEPENDENCYPART_ARC
(6,8),2.79223 # DEPENDENCYPART_ARC
(6,9),0.36232 # DEPENDENCYPART_ARC
(6,10),-0.433789 # DEPENDENCYPART_ARC
(6,11),-1.1551 # DEPENDENCYPART_ARC
(6,12),-1.5697 # DEPENDENCYPART_ARC
(6,13),0.00696966 # DEPENDENCYPART_ARC
(6,14),-1.24249 # DEPENDENCYPART_ARC
(6,15),-2.13427 # DEPENDENCYPART_ARC
(6,16),-1.0722 # DEPENDENCYPART_ARC
(6,17),-0.9815 # DEPENDENCYPART_ARC
(6,18),-0.3086 # DEPENDENCYPART_ARC
(7,1),-1.62956 # DEPENDENCYPART_ARC
(7,2),-2.27437 # DEPENDENCYPART_ARC
(7,3),-1.10382 # DEPENDENCYPART_ARC
(7,4),-1.39761 # DEPENDENCYPART_ARC
(7,5),-1.5263 # DEPENDENCYPART_ARC
(7,6),-1.43348 # DEPENDENCYPART_ARC
(7,8),0.607785 # DEPENDENCYPART_ARC
(7,9),-0.482964 # DEPENDENCYPART_ARC
(7,10),-2.08451 # DEPENDENCYPART_ARC
(7,11),-1.63182 # DEPENDENCYPART_ARC
(7,12),-1.65486 # DEPENDENCYPART_ARC
(7,13),-0.822003 # DEPENDENCYPART_ARC
(7,14),-2.26308 # DEPENDENCYPART_ARC
(7,15),-1.97116 # DEPENDENCYPART_ARC
(7,16),-1.79764 # DEPENDENCYPART_ARC
(7,17),-1.77107 # DEPENDENCYPART_ARC
(7,18),-1.26345 # DEPENDENCYPART_ARC
(8,1),-1.14763 # DEPENDENCYPART_ARC
(8,2),-2.10614 # DEPENDENCYPART_ARC
(8,3),-0.388059 # DEPENDENCYPART_ARC
(8,4),-1.65553 # DEPENDENCYPART_ARC
(8,5),-0.693355 # DEPENDENCYPART_ARC
(8,6),-1.81254 # DEPENDENCYPART_ARC
(8,7),3.3142 # DEPENDENCYPART_ARC
(8,9),-0.243052 # DEPENDENCYPART_ARC
(8,10),-0.973754 # DEPENDENCYPART_ARC
(8,11),-1.38922 # DEPENDENCYPART_ARC
(8,12),-1.17066 # DEPENDENCYPART_ARC
(8,13),-0.594481 # DEPENDENCYPART_ARC
(8,14),-1.60687 # DEPENDENCYPART_ARC
(8,15),-2.37829 # DEPENDENCYPART_ARC
(8,16),-1.8899 # DEPENDENCYPART_ARC
(8,17),-1.51532 # DEPENDENCYPART_ARC
(8,18),-1.09735 # DEPENDENCYPART_ARC
(9,1),-0.513867 # DEPENDENCYPART_ARC
(9,2),-0.47034 # DEPENDENCYPART_ARC
(9,3),-0.0753761 # DEPENDENCYPART_ARC
(9,4),-0.254088 # DEPENDENCYPART_ARC
(9,5),-0.129504 # DEPENDENCYPART_ARC
(9,6),0.0913701 # DEPENDENCYPART_ARC
(9,7),0.044628 # DEPENDENCYPART_ARC
(9,8),0.037504 # DEPENDENCYPART_ARC
(9,10),-0.131908 # DEPENDENCYPART_ARC
(9,11),-1.23291 # DEPENDENCYPART_ARC
(9,12),-0.517969 # DEPENDENCYPART_ARC
(9,13),-0.65608 # DEPENDENCYPART_ARC
(9,14),-1.22492 # DEPENDENCYPART_ARC
(9,15),-1.22093 # DEPENDENCYPART_ARC
(9,16),-1.6185 # DEPENDENCYPART_ARC
(9,17),-1.35485 # DEPENDENCYPART_ARC
(9,18),-0.641198 # DEPENDENCYPART_ARC
(10,1),-1.32818 # DEPENDENCYPART_ARC
(10,2),-0.308877 # DEPENDENCYPART_ARC
(10,3),0.757075 # DEPENDENCYPART_ARC
(10,4),0.815909 # DEPENDENCYPART_ARC
(10,5),0.128623 # DEPENDENCYPART_ARC
(10,6),0.00318864 # DEPENDENCYPART_ARC
(10,7),-0.341936 # DEPENDENCYPART_ARC
(10,8),-0.717974 # DEPENDENCYPART_ARC
(10,9),1.45278 # DEPENDENCYPART_ARC
(10,11),-1.08364 # DEPENDENCYPART_ARC
(10,12),2.69528 # DEPENDENCYPART_ARC
(10,13),0.816398 # DEPENDENCYPART_ARC
(10,14),-0.570471 # DEPENDENCYPART_ARC
(10,15),1.30186 # DEPENDENCYPART_ARC
(10,16),-2.09305 # DEPENDENCYPART_ARC
(10,17),-1.41877 # DEPENDENCYPART_ARC
(10,18),0.432698 # DEPENDENCYPART_ARC
(11,1),-1.44584 # DEPENDENCYPART_ARC
(11,2),-2.17994 # DEPENDENCYPART_ARC
(11,3),-1.8948 # DEPENDENCYPART_ARC
(11,4),-1.75518 # DEPENDENCYPART_ARC
(11,5),-2.30687 # DEPENDENCYPART_ARC
(11,6),-2.20849 # DEPENDENCYPART_ARC
(11,7),-1.61254 # DEPENDENCYPART_ARC
(11,8),-2.12928 # DEPENDENCYPART_ARC
(11,9),-1.26606 # DEPENDENCYPART_ARC
(11,10),-2.17126 # DEPENDENCYPART_ARC
(11,12),-0.205865 # DEPENDENCYPART_ARC
(11,13),0.0275214 # DEPENDENCYPART_ARC
(11,14),-1.59793 # DEPENDENCYPART_ARC
(11,15),-1.09393 # DEPENDENCYPART_ARC
(11,16),-1.21042 # DEPENDENCYPART_ARC
(11,17),-1.39772 # DEPENDENCYPART_ARC
(11,18),-0.430175 # DEPENDENCYPART_ARC
(12,1),-1.37996 # DEPENDENCYPART_ARC
(12,2),-1.87186 # DEPENDENCYPART_ARC
(12,3),-1.55764 # DEPENDENCYPART_ARC
(12,4),-1.59531 # DEPENDENCYPART_ARC
(12,5),-1.54523 # DEPENDENCYPART_ARC
(12,6),-2.80038 # DEPENDENCYPART_ARC
(12,7),-1.78508 # DEPENDENCYPART_ARC
(12,8),-2.06924 # DEPENDENCYPART_ARC
(12,9),-1.06673 # DEPENDENCYPART_ARC
(12,10),-0.987303 # DEPENDENCYPART_ARC
(12,11),3.2414 # DEPENDENCYPART_ARC
(12,13),0.680232 # DEPENDENCYPART_ARC
(12,14),-0.771386 # DEPENDENCYPART_ARC
(12,15),-0.608557 # DEPENDENCYPART_ARC
(12,16),-1.18144 # DEPENDENCYPART_ARC
(12,17),0.14728 # DEPENDENCYPART_ARC
(12,18),-0.382238 # DEPENDENCYPART_ARC
(13,1),-0.43311 # DEPENDENCYPART_ARC
(13,2),0.483085 # DEPENDENCYPART_ARC
(13,3),0.414485 # DEPENDENCYPART_ARC
(13,4),0.0975191 # DEPENDENCYPART_ARC
(13,5),0.266138 # DEPENDENCYPART_ARC
(13,6),0.594663 # DEPENDENCYPART_ARC
(13,7),0.0927991 # DEPENDENCYPART_ARC
(13,8),0.862748 # DEPENDENCYPART_ARC
(13,9),0.627829 # DEPENDENCYPART_ARC
(13,10),1.33728 # DEPENDENCYPART_ARC
(13,11),1.03986 # DEPENDENCYPART_ARC
(13,12),2.42185 # DEPENDENCYPART_ARC
(13,14),1.80596 # DEPENDENCYPART_ARC
(13,15),1.83004 # DEPENDENCYPART_ARC
(13,16),-0.306946 # DEPENDENCYPART_ARC
(13,17),0.808184 # DEPENDENCYPART_ARC
(13,18),0.00730875 # DEPENDENCYPART_ARC
(14,1),-1.18571 # DEPENDENCYPART_ARC
(14,2),-1.04595 # DEPENDENCYPART_ARC
(14,3),-1.01181 # DEPENDENCYPART_ARC
(14,4),-1.41034 # DEPENDENCYPART_ARC
(14,5),-0.928567 # DEPENDENCYPART_ARC
(14,6),-2.21478 # DEPENDENCYPART_ARC
(14,7),-0.977866 # DEPENDENCYPART_ARC
(14,8),-1.63249 # DEPENDENCYPART_ARC
(14,9),-0.646528 # DEPENDENCYPART_ARC
(14,10),-3.8264 # DEPENDENCYPART_ARC
(14,11),0.228723 # DEPENDENCYPART_ARC
(14,12),-0.346405 # DEPENDENCYPART_ARC
(14,13),0.81142 # DEPENDENCYPART_ARC
(14,15),0.202211 # DEPENDENCYPART_ARC
(14,16),-0.50219 # DEPENDENCYPART_ARC
(14,17),-0.323416 # DEPENDENCYPART_ARC
(14,18),-0.336196 # DEPENDENCYPART_ARC
(15,1),-1.10043 # DEPENDENCYPART_ARC
(15,2),-1.99307 # DEPENDENCYPART_ARC
(15,3),-0.788232 # DEPENDENCYPART_ARC
(15,4),-0.828261 # DEPENDENCYPART_ARC
(15,5),-0.289021 # DEPENDENCYPART_ARC
(15,6),-1.42745 # DEPENDENCYPART_ARC
(15,7),-1.73201 # DEPENDENCYPART_ARC
(15,8),-1.67955 # DEPENDENCYPART_ARC
(15,9),-0.792735 # DEPENDENCYPART_ARC
(15,10),-1.48722 # DEPENDENCYPART_ARC
(15,11),1.52397 # DEPENDENCYPART_ARC
(15,12),-0.379239 # DEPENDENCYPART_ARC
(15,13),1.0938 # DEPENDENCYPART_ARC
(15,14),2.79323 # DEPENDENCYPART_ARC
(15,16),0.815183 # DEPENDENCYPART_ARC
(15,17),2.83509 # DEPENDENCYPART_ARC
(15,18),0.504073 # DEPENDENCYPART_ARC
(16,1),-1.83901 # DEPENDENCYPART_ARC
(16,2),-2.89924 # DEPENDENCYPART_ARC
(16,3),-1.77574 # DEPENDENCYPART_ARC
(16,4),-1.87865 # DEPENDENCYPART_ARC
(16,5),-2.77361 # DEPENDENCYPART_ARC
(16,6),-2.77005 # DEPENDENCYPART_ARC
(16,7),-1.41441 # DEPENDENCYPART_ARC
(16,8),-2.35344 # DEPENDENCYPART_ARC
(16,9),-1.56494 # DEPENDENCYPART_ARC
(16,10),-2.58994 # DEPENDENCYPART_ARC
(16,11),-1.17968 # DEPENDENCYPART_ARC
(16,12),-2.08171 # DEPENDENCYPART_ARC
(16,13),-0.952342 # DEPENDENCYPART_ARC
(16,14),-1.35327 # DEPENDENCYPART_ARC
(16,15),-1.30459 # DEPENDENCYPART_ARC
(16,17),0.177836 # DEPENDENCYPART_ARC
(16,18),-0.444457 # DEPENDENCYPART_ARC
(17,1),-2.63985 # DEPENDENCYPART_ARC
(17,2),-3.45525 # DEPENDENCYPART_ARC
(17,3),-1.24055 # DEPENDENCYPART_ARC
(17,4),-1.93717 # DEPENDENCYPART_ARC
(17,5),-2.65869 # DEPENDENCYPART_ARC
(17,6),-3.96392 # DEPENDENCYPART_ARC
(17,7),-2.16982 # DEPENDENCYPART_ARC
(17,8),-2.29771 # DEPENDENCYPART_ARC
(17,9),-1.16067 # DEPENDENCYPART_ARC
(17,10),-1.57271 # DEPENDENCYPART_ARC
(17,11),-0.516349 # DEPENDENCYPART_ARC
(17,12),-1.83438 # DEPENDENCYPART_ARC
(17,13),-0.203807 # DEPENDENCYPART_ARC
(17,14),-0.925506 # DEPENDENCYPART_ARC
(17,15),-1.29167 # DEPENDENCYPART_ARC
(17,16),3.4112 # DEPENDENCYPART_ARC
(17,18),-0.341437 # DEPENDENCYPART_ARC
(18,1),-2.233 # DEPENDENCYPART_ARC
(18,2),-2.27027 # DEPENDENCYPART_ARC
(18,3),-2.17488 # DEPENDENCYPART_ARC
(18,4),-2.74113 # DEPENDENCYPART_ARC
(18,5),-2.11482 # DEPENDENCYPART_ARC
(18,6),-2.46421 # DEPENDENCYPART_ARC
(18,7),-2.13976 # DEPENDENCYPART_ARC
(18,8),-2.59024 # DEPENDENCYPART_ARC
(18,9),-1.78095 # DEPENDENCYPART_ARC
(18,10),-1.79093 # DEPENDENCYPART_ARC
(18,11),-1.79898 # DEPENDENCYPART_ARC
(18,12),-1.86444 # DEPENDENCYPART_ARC
(18,13),-1.81057 # DEPENDENCYPART_ARC
(18,14),-1.64 # DEPENDENCYPART_ARC
(18,15),-1.63844 # DEPENDENCYPART_ARC
(18,16),-1.31536 # DEPENDENCYPART_ARC
(18,17),-1.64183 # DEPENDENCYPART_ARC
