# _root_ Πιστεύω , κύριε Πρόεδρε , ότι το Κοινοβούλιο μπορεί να θεωρήσει γενικά ικανοποιητικό το παρόν κείμενο .
#goldHeads=0,4,4,1,4,1,8,9,6,11,9,11,11,16,16,11,0,
#predictedHeads=0,4,4,1,4,1,8,9,6,11,9,13,15,15,16,11,0,
(2,13),-1.49107 # DEPENDENCYPART_ARC
(2,14),-1.75839 # DEPENDENCYPART_ARC
(2,15),-1.87195 # DEPENDENCYPART_ARC
(2,16),-1.79456 # DEPENDENCYPART_ARC
(2,17),-0.664356 # DEPENDENCYPART_ARC
(3,1),-1.14941 # DEPENDENCYPART_ARC
(3,2),0.327085 # DEPENDENCYPART_ARC
(3,4),0.351721 # DEPENDENCYPART_ARC
(3,5),0.438473 # DEPENDENCYPART_ARC
(3,6),0.313825 # DEPENDENCYPART_ARC
(3,7),-0.854701 # DEPENDENCYPART_ARC
(3,8),-0.842336 # DEPENDENCYPART_ARC
(3,9),-2.08682 # DEPENDENCYPART_ARC
(3,10),-1.13638 # DEPENDENCYPART_ARC
(3,11),-2.91239 # DEPENDENCYPART_ARC
(3,12),-1.01993 # DEPENDENCYPART_ARC
(3,13),-2.04289 # DEPENDENCYPART_ARC
(3,14),-1.79712 # DEPENDENCYPART_ARC
(3,15),-2.77554 # DEPENDENCYPART_ARC
(3,16),-3.13038 # DEPENDENCYPART_ARC
(3,17),-0.180747 # DEPENDENCYPART_ARC
(4,1),-0.634205 # DEPENDENCYPART_ARC
(4,2),1.37633 # DEPENDENCYPART_ARC
(4,3),3.90179 # DEPENDENCYPART_ARC
(4,5),1.14788 # DEPENDENCYPART_ARC
(4,6),0.827825 # DEPENDENCYPART_ARC
(4,7),-0.463933 # DEPENDENCYPART_ARC
(4,8),-0.729872 # DEPENDENCYPART_ARC
(4,9),-1.74182 # DEPENDENCYPART_ARC
(4,10),-0.955391 # DEPENDENCYPART_ARC
(4,11),-2.91673 # DEPENDENCYPART_ARC
(4,12),-0.891584 # DEPENDENCYPART_ARC
(4,13),-1.88964 # DEPENDENCYPART_ARC
(4,14),-1.46795 # DEPENDENCYPART_ARC
(4,15),-2.7596 # DEPENDENCYPART_ARC
(4,16),-2.51389 # DEPENDENCYPART_ARC
(4,17),-0.152327 # DEPENDENCYPART_ARC
(5,1),-0.540846 # DEPENDENCYPART_ARC
(5,2),0.446763 # DEPENDENCYPART_ARC
(5,3),0.0151492 # DEPENDENCYPART_ARC
(5,4),0.289376 # DEPENDENCYPART_ARC
(5,6),0.0350262 # DEPENDENCYPART_ARC
(5,7),-0.634775 # DEPENDENCYPART_ARC
(5,8),-0.010842 # DEPENDENCYPART_ARC
(5,9),-0.257835 # DEPENDENCYPART_ARC
(5,10),-1.18457 # DEPENDENCYPART_ARC
(5,11),-1.05905 # DEPENDENCYPART_ARC
(5,12),-0.941562 # DEPENDENCYPART_ARC
(5,13),-1.25822 # DEPENDENCYPART_ARC
(5,14),-1.57744 # DEPENDENCYPART_ARC
(5,15),-1.24923 # DEPENDENCYPART_ARC
(5,16),-1.2397 # DEPENDENCYPART_ARC
(5,17),-0.543787 # DEPENDENCYPART_ARC
(6,1),-1.07832 # DEPENDENCYPART_ARC
(6,2),-0.213523 # DEPENDENCYPART_ARC
(6,3),-0.624122 # DEPENDENCYPART_ARC
(6,4),-0.884045 # DEPENDENCYPART_ARC
(6,5),1.00378 # DEPENDENCYPART_ARC
(6,7),0.377648 # DEPENDENCYPART_ARC
(6,8),0.443872 # DEPENDENCYPART_ARC
(6,9),3.36473 # DEPENDENCYPART_ARC
(6,10),-0.468932 # DEPENDENCYPART_ARC
(6,11),1.08316 # DEPENDENCYPART_ARC
(6,12),-0.200484 # DEPENDENCYPART_ARC
(6,13),-0.930516 # DEPENDENCYPART_ARC
(6,14),-1.08743 # DEPENDENCYPART_ARC
(6,15),-1.98979 # DEPENDENCYPART_ARC
(6,16),-1.98737 # DEPENDENCYPART_ARC
(6,17),0.16489 # DEPENDENCYPART_ARC
(7,1),-3.41357 # DEPENDENCYPART_ARC
(7,2),-1.7366 # DEPENDENCYPART_ARC
(7,3),-1.82952 # DEPENDENCYPART_ARC
(7,4),-1.61863 # DEPENDENCYPART_ARC
(7,5),-1.24668 # DEPENDENCYPART_ARC
(7,6),-0.762746 # DEPENDENCYPART_ARC
(7,8),0.194954 # DEPENDENCYPART_ARC
(7,9),-2.12889 # DEPENDENCYPART_ARC
(7,10),-1.12087 # DEPENDENCYPART_ARC
(7,11),-3.0072 # DEPENDENCYPART_ARC
(7,12),-1.08566 # DEPENDENCYPART_ARC
(7,13),-2.58747 # DEPENDENCYPART_ARC
(7,14),-1.91814 # DEPENDENCYPART_ARC
(7,15),-1.98184 # DEPENDENCYPART_ARC
(7,16),-2.00836 # DEPENDENCYPART_ARC
(7,17),-1.06738 # DEPENDENCYPART_ARC
(8,1),-2.45364 # DEPENDENCYPART_ARC
(8,2),-1.07508 # DEPENDENCYPART_ARC
(8,3),-0.179015 # DEPENDENCYPART_ARC
(8,4),-0.511383 # DEPENDENCYPART_ARC
(8,5),-0.511844 # DEPENDENCYPART_ARC
(8,6),0.16329 # DEPENDENCYPART_ARC
(8,7),3.26444 # DEPENDENCYPART_ARC
(8,9),-1.19337 # DEPENDENCYPART_ARC
(8,10),-1.19297 # DEPENDENCYPART_ARC
(8,11),-2.04301 # DEPENDENCYPART_ARC
(8,12),-1.37263 # DEPENDENCYPART_ARC
(8,13),-1.73069 # DEPENDENCYPART_ARC
(8,14),-2.69365 # DEPENDENCYPART_ARC
(8,15),-2.36297 # DEPENDENCYPART_ARC
(8,16),-2.4682 # DEPENDENCYPART_ARC
(8,17),-1.17775 # DEPENDENCYPART_ARC
(9,1),-0.975332 # DEPENDENCYPART_ARC
(9,2),0.189003 # DEPENDENCYPART_ARC
(9,3),0.385526 # DEPENDENCYPART_ARC
(9,4),0.259954 # DEPENDENCYPART_ARC
(9,5),0.871993 # DEPENDENCYPART_ARC
(9,6),0.783962 # DEPENDENCYPART_ARC
(9,7),0.733895 # DEPENDENCYPART_ARC
(9,8),3.08954 # DEPENDENCYPART_ARC
(9,10),1.05576 # DEPENDENCYPART_ARC
(9,11),3.75453 # DEPENDENCYPART_ARC
(9,12),0.501698 # DEPENDENCYPART_ARC
(9,13),0.143105 # DEPENDENCYPART_ARC
(9,14),-2.76502 # DEPENDENCYPART_ARC
(9,15),-0.299859 # DEPENDENCYPART_ARC
(9,16),-0.328094 # DEPENDENCYPART_ARC
(9,17),0.509297 # DEPENDENCYPART_ARC
(10,1),-1.80686 # DEPENDENCYPART_ARC
(10,2),-1.41722 # DEPENDENCYPART_ARC
(10,3),-1.75035 # DEPENDENCYPART_ARC
(10,4),-1.72204 # DEPENDENCYPART_ARC
(10,5),-1.26795 # DEPENDENCYPART_ARC
(10,6),-1.16747 # DEPENDENCYPART_ARC
(10,7),-0.702941 # DEPENDENCYPART_ARC
(10,8),-1.16366 # DEPENDENCYPART_ARC
(10,9),-0.466939 # DEPENDENCYPART_ARC
(10,11),0.274581 # DEPENDENCYPART_ARC
(10,12),-0.662215 # DEPENDENCYPART_ARC
(10,13),-0.906777 # DEPENDENCYPART_ARC
(10,14),-1.29684 # DEPENDENCYPART_ARC
(10,15),-1.05117 # DEPENDENCYPART_ARC
(10,16),-1.45728 # DEPENDENCYPART_ARC
(10,17),-0.597967 # DEPENDENCYPART_ARC
(11,1),-2.19075 # DEPENDENCYPART_ARC
(11,2),-0.579065 # DEPENDENCYPART_ARC
(11,3),-0.194873 # DEPENDENCYPART_ARC
(11,4),-0.59743 # DEPENDENCYPART_ARC
(11,5),-0.375253 # DEPENDENCYPART_ARC
(11,6),-0.0798055 # DEPENDENCYPART_ARC
(11,7),-0.555535 # DEPENDENCYPART_ARC
(11,8),1.91516 # DEPENDENCYPART_ARC
(11,9),-0.652771 # DEPENDENCYPART_ARC
(11,10),2.84234 # DEPENDENCYPART_ARC
(11,12),1.79483 # DEPENDENCYPART_ARC
(11,13),1.52421 # DEPENDENCYPART_ARC
(11,14),-1.91779 # DEPENDENCYPART_ARC
(11,15),1.66804 # DEPENDENCYPART_ARC
(11,16),1.46954 # DEPENDENCYPART_ARC
(11,17),0.498625 # DEPENDENCYPART_ARC
(12,1),-1.00429 # DEPENDENCYPART_ARC
(12,2),-0.737115 # DEPENDENCYPART_ARC
(12,3),-1.20195 # DEPENDENCYPART_ARC
(12,4),-1.22965 # DEPENDENCYPART_ARC
(12,5),-0.488418 # DEPENDENCYPART_ARC
(12,6),-0.545533 # DEPENDENCYPART_ARC
(12,7),-0.532499 # DEPENDENCYPART_ARC
(12,8),-0.833511 # DEPENDENCYPART_ARC
(12,9),-0.614635 # DEPENDENCYPART_ARC
(12,10),0.323808 # DEPENDENCYPART_ARC
(12,11),-0.169424 # DEPENDENCYPART_ARC
(12,13),0.699865 # DEPENDENCYPART_ARC
(12,14),-0.257136 # DEPENDENCYPART_ARC
(12,15),-0.123428 # DEPENDENCYPART_ARC
(12,16),-0.351614 # DEPENDENCYPART_ARC
(12,17),-0.534068 # DEPENDENCYPART_ARC
(13,1),-4.71059 # DEPENDENCYPART_ARC
(13,2),-0.779256 # DEPENDENCYPART_ARC
(13,3),-0.818695 # DEPENDENCYPART_ARC
(13,4),-0.765179 # DEPENDENCYPART_ARC
(13,5),-0.669083 # DEPENDENCYPART_ARC
(13,6),-0.558619 # DEPENDENCYPART_ARC
(13,7),-0.294409 # DEPENDENCYPART_ARC
(13,8),-0.427602 # DEPENDENCYPART_ARC
(13,9),-4.33699 # DEPENDENCYPART_ARC
(13,10),0.0685017 # DEPENDENCYPART_ARC
(13,11),-2.89629 # DEPENDENCYPART_ARC
(13,12),1.82344 # DEPENDENCYPART_ARC
(13,14),-0.450407 # DEPENDENCYPART_ARC
(13,15),0.406334 # DEPENDENCYPART_ARC
(13,16),-0.283591 # DEPENDENCYPART_ARC
(13,17),0.534169 # DEPENDENCYPART_ARC
(14,1),-3.34339 # DEPENDENCYPART_ARC
(14,2),-1.69813 # DEPENDENCYPART_ARC
(14,3),-1.95381 # DEPENDENCYPART_ARC
(14,4),-1.94456 # DEPENDENCYPART_ARC
(14,5),-1.56335 # DEPENDENCYPART_ARC
(14,6),-1.47715 # DEPENDENCYPART_ARC
(14,7),-0.830751 # DEPENDENCYPART_ARC
(14,8),-1.6397 # DEPENDENCYPART_ARC
(14,9),-3.15762 # DEPENDENCYPART_ARC
(14,10),-1.18693 # DEPENDENCYPART_ARC
(14,11),-2.60792 # DEPENDENCYPART_ARC
(14,12),-0.511805 # DEPENDENCYPART_ARC
(14,13),-0.127314 # DEPENDENCYPART_ARC
(14,15),0.26089 # DEPENDENCYPART_ARC
(14,16),-0.131227 # DEPENDENCYPART_ARC
(14,17),-0.266541 # DEPENDENCYPART_ARC
(15,1),-2.93293 # DEPENDENCYPART_ARC
(15,2),-1.58626 # DEPENDENCYPART_ARC
(15,3),-1.63754 # DEPENDENCYPART_ARC
(15,4),-2.06283 # DEPENDENCYPART_ARC
(15,5),-1.43777 # DEPENDENCYPART_ARC
(15,6),-1.34141 # DEPENDENCYPART_ARC
(15,7),-0.688492 # DEPENDENCYPART_ARC
(15,8),-1.43847 # DEPENDENCYPART_ARC
(15,9),-3.02649 # DEPENDENCYPART_ARC
(15,10),-0.618342 # DEPENDENCYPART_ARC
(15,11),-2.3087 # DEPENDENCYPART_ARC
(15,12),-0.159179 # DEPENDENCYPART_ARC
(15,13),1.81396 # DEPENDENCYPART_ARC
(15,14),3.35809 # DEPENDENCYPART_ARC
(15,16),1.78353 # DEPENDENCYPART_ARC
(15,17),0.178965 # DEPENDENCYPART_ARC
(16,1),-2.5185 # DEPENDENCYPART_ARC
(16,2),-1.09446 # DEPENDENCYPART_ARC
(16,3),-0.664292 # DEPENDENCYPART_ARC
(16,4),-1.49637 # DEPENDENCYPART_ARC
(16,5),-1.18142 # DEPENDENCYPART_ARC
(16,6),-1.15518 # DEPENDENCYPART_ARC
(16,7),-0.365556 # DEPENDENCYPART_ARC
(16,8),-0.787847 # DEPENDENCYPART_ARC
(16,9),-2.70491 # DEPENDENCYPART_ARC
(16,10),-0.565986 # DEPENDENCYPART_ARC
(16,11),-2.0168 # DEPENDENCYPART_ARC
(16,12),-0.0788399 # DEPENDENCYPART_ARC
(16,13),0.964308 # DEPENDENCYPART_ARC
(16,14),2.99089 # DEPENDENCYPART_ARC
(16,15),2.73646 # DEPENDENCYPART_ARC
(16,17),0.630935 # DEPENDENCYPART_ARC
(17,1),-2.46139 # DEPENDENCYPART_ARC
(17,2),-2.29757 # DEPENDENCYPART_ARC
(17,3),-2.93437 # DEPENDENCYPART_ARC
(17,4),-3.09039 # DEPENDENCYPART_ARC
(17,5),-2.30133 # DEPENDENCYPART_ARC
(17,6),-2.23724 # DEPENDENCYPART_ARC
(17,7),-2.40007 # DEPENDENCYPART_ARC
(17,8),-2.79832 # DEPENDENCYPART_ARC
(17,9),-2.26424 # DEPENDENCYPART_ARC
(17,10),-1.63394 # DEPENDENCYPART_ARC
(17,11),-2.102 # DEPENDENCYPART_ARC
(17,12),-1.74261 # DEPENDENCYPART_ARC
(17,13),-1.89572 # DEPENDENCYPART_ARC
(17,14),-1.57629 # DEPENDENCYPART_ARC
(17,15),-2.05587 # DEPENDENCYPART_ARC
(17,16),-1.64555 # DEPENDENCYPART_ARC
