# _root_ Ασφαλώς , η συνόψιση των μέχρι τώρα οδηγιών , η εναρμόνιση και ο εκσυγχρονισμός τους αποτελούν ένα πολύ ουσιαστικό βήμα .
#goldHeads=16,16,4,12,8,8,6,4,12,11,12,16,14,12,14,0,20,19,20,16,0,
#predictedHeads=16,16,4,0,8,4,6,6,12,11,12,4,14,12,14,14,20,19,20,16,0,
(8,18),-1.28547 # DEPENDENCYPART_ARC
(8,19),-2.56251 # DEPENDENCYPART_ARC
(8,20),-3.82098 # DEPENDENCYPART_ARC
(8,21),-1.0295 # DEPENDENCYPART_ARC
(9,1),-0.553103 # DEPENDENCYPART_ARC
(9,2),-0.752339 # DEPENDENCYPART_ARC
(9,4),-0.451175 # DEPENDENCYPART_ARC
(9,6),0.10573 # DEPENDENCYPART_ARC
(9,7),-0.272675 # DEPENDENCYPART_ARC
(9,8),0.467862 # DEPENDENCYPART_ARC
(9,11),0.432767 # DEPENDENCYPART_ARC
(9,12),0.275984 # DEPENDENCYPART_ARC
(9,14),-0.322778 # DEPENDENCYPART_ARC
(9,16),-0.327675 # DEPENDENCYPART_ARC
(9,17),-1.18567 # DEPENDENCYPART_ARC
(9,18),-0.815344 # DEPENDENCYPART_ARC
(9,19),-1.2128 # DEPENDENCYPART_ARC
(9,20),-0.962958 # DEPENDENCYPART_ARC
(9,21),-0.491307 # DEPENDENCYPART_ARC
(10,1),-1.45084 # DEPENDENCYPART_ARC
(10,4),-1.76205 # DEPENDENCYPART_ARC
(10,7),-1.00504 # DEPENDENCYPART_ARC
(10,8),-1.67616 # DEPENDENCYPART_ARC
(10,11),-0.294468 # DEPENDENCYPART_ARC
(10,12),0.0200174 # DEPENDENCYPART_ARC
(10,14),-1.55216 # DEPENDENCYPART_ARC
(10,18),-1.24908 # DEPENDENCYPART_ARC
(10,20),-2.24849 # DEPENDENCYPART_ARC
(11,1),-1.56757 # DEPENDENCYPART_ARC
(11,2),-1.34029 # DEPENDENCYPART_ARC
(11,3),-0.94728 # DEPENDENCYPART_ARC
(11,4),-2.04197 # DEPENDENCYPART_ARC
(11,5),-2.4063 # DEPENDENCYPART_ARC
(11,6),-0.845579 # DEPENDENCYPART_ARC
(11,7),-0.820466 # DEPENDENCYPART_ARC
(11,8),-2.10789 # DEPENDENCYPART_ARC
(11,9),-0.385874 # DEPENDENCYPART_ARC
(11,10),3.14369 # DEPENDENCYPART_ARC
(11,12),0.75125 # DEPENDENCYPART_ARC
(11,13),-1.04787 # DEPENDENCYPART_ARC
(11,14),-1.08274 # DEPENDENCYPART_ARC
(11,15),0.0792803 # DEPENDENCYPART_ARC
(11,16),-0.127003 # DEPENDENCYPART_ARC
(11,17),-2.15872 # DEPENDENCYPART_ARC
(11,18),-1.00487 # DEPENDENCYPART_ARC
(11,19),-2.81095 # DEPENDENCYPART_ARC
(11,20),-2.70073 # DEPENDENCYPART_ARC
(11,21),-0.60888 # DEPENDENCYPART_ARC
(12,1),0.0476042 # DEPENDENCYPART_ARC
(12,2),0.584464 # DEPENDENCYPART_ARC
(12,3),0.0566438 # DEPENDENCYPART_ARC
(12,4),0.831726 # DEPENDENCYPART_ARC
(12,5),0.210368 # DEPENDENCYPART_ARC
(12,6),0.839835 # DEPENDENCYPART_ARC
(12,7),-0.169808 # DEPENDENCYPART_ARC
(12,8),1.53557 # DEPENDENCYPART_ARC
(12,9),1.78971 # DEPENDENCYPART_ARC
(12,10),0.766798 # DEPENDENCYPART_ARC
(12,11),2.81369 # DEPENDENCYPART_ARC
(12,13),0.183317 # DEPENDENCYPART_ARC
(12,14),1.82551 # DEPENDENCYPART_ARC
(12,15),-0.0982154 # DEPENDENCYPART_ARC
(12,16),1.1285 # DEPENDENCYPART_ARC
(12,17),-1.15741 # DEPENDENCYPART_ARC
(12,18),-0.129507 # DEPENDENCYPART_ARC
(12,19),-0.479818 # DEPENDENCYPART_ARC
(12,20),-0.0594512 # DEPENDENCYPART_ARC
(12,21),-0.123764 # DEPENDENCYPART_ARC
(13,1),-1.52659 # DEPENDENCYPART_ARC
(13,4),-1.67678 # DEPENDENCYPART_ARC
(13,7),-1.32576 # DEPENDENCYPART_ARC
(13,8),-2.10956 # DEPENDENCYPART_ARC
(13,11),-1.02912 # DEPENDENCYPART_ARC
(13,12),-0.134717 # DEPENDENCYPART_ARC
(13,14),-0.154451 # DEPENDENCYPART_ARC
(13,18),-1.23537 # DEPENDENCYPART_ARC
(13,20),-2.29035 # DEPENDENCYPART_ARC
(14,1),-1.49717 # DEPENDENCYPART_ARC
(14,2),-1.57473 # DEPENDENCYPART_ARC
(14,3),-2.04891 # DEPENDENCYPART_ARC
(14,4),-2.41696 # DEPENDENCYPART_ARC
(14,5),-2.5165 # DEPENDENCYPART_ARC
(14,6),-1.21903 # DEPENDENCYPART_ARC
(14,7),-1.04719 # DEPENDENCYPART_ARC
(14,8),-3.09432 # DEPENDENCYPART_ARC
(14,9),-1.30311 # DEPENDENCYPART_ARC
(14,10),0.567951 # DEPENDENCYPART_ARC
(14,11),-1.04217 # DEPENDENCYPART_ARC
(14,12),0.0978897 # DEPENDENCYPART_ARC
(14,13),2.76721 # DEPENDENCYPART_ARC
(14,15),2.80979 # DEPENDENCYPART_ARC
(14,16),1.23358 # DEPENDENCYPART_ARC
(14,17),-1.03807 # DEPENDENCYPART_ARC
(14,18),-0.130464 # DEPENDENCYPART_ARC
(14,19),-1.43118 # DEPENDENCYPART_ARC
(14,20),-1.00025 # DEPENDENCYPART_ARC
(14,21),-0.230565 # DEPENDENCYPART_ARC
(16,1),1.08663 # DEPENDENCYPART_ARC
(16,2),1.54968 # DEPENDENCYPART_ARC
(16,3),-1.05973 # DEPENDENCYPART_ARC
(16,4),0.222088 # DEPENDENCYPART_ARC
(16,5),-0.488191 # DEPENDENCYPART_ARC
(16,6),0.979561 # DEPENDENCYPART_ARC
(16,7),0.765125 # DEPENDENCYPART_ARC
(16,8),-2.10107 # DEPENDENCYPART_ARC
(16,9),1.67299 # DEPENDENCYPART_ARC
(16,10),-0.682875 # DEPENDENCYPART_ARC
(16,11),0.59061 # DEPENDENCYPART_ARC
(16,12),0.785713 # DEPENDENCYPART_ARC
(16,13),0.0131327 # DEPENDENCYPART_ARC
(16,14),1.86978 # DEPENDENCYPART_ARC
(16,15),0.61684 # DEPENDENCYPART_ARC
(16,17),-0.933518 # DEPENDENCYPART_ARC
(16,18),0.300716 # DEPENDENCYPART_ARC
(16,19),-1.3964 # DEPENDENCYPART_ARC
(16,20),1.69045 # DEPENDENCYPART_ARC
(16,21),0.501699 # DEPENDENCYPART_ARC
(17,1),-0.774606 # DEPENDENCYPART_ARC
(17,6),-0.584113 # DEPENDENCYPART_ARC
(17,7),-0.760806 # DEPENDENCYPART_ARC
(17,18),1.2277 # DEPENDENCYPART_ARC
(18,1),-1.05338 # DEPENDENCYPART_ARC
(18,2),-1.14678 # DEPENDENCYPART_ARC
(18,3),-1.38437 # DEPENDENCYPART_ARC
(18,4),-1.601 # DEPENDENCYPART_ARC
(18,5),-0.50781 # DEPENDENCYPART_ARC
(18,6),-0.927009 # DEPENDENCYPART_ARC
(18,7),-0.783315 # DEPENDENCYPART_ARC
(18,8),-1.25097 # DEPENDENCYPART_ARC
(18,9),-0.790008 # DEPENDENCYPART_ARC
(18,10),-1.17153 # DEPENDENCYPART_ARC
(18,11),-1.35587 # DEPENDENCYPART_ARC
(18,12),-0.441198 # DEPENDENCYPART_ARC
(18,13),-0.835773 # DEPENDENCYPART_ARC
(18,14),-1.23024 # DEPENDENCYPART_ARC
(18,15),-1.34721 # DEPENDENCYPART_ARC
(18,16),-0.494911 # DEPENDENCYPART_ARC
(18,19),0.408483 # DEPENDENCYPART_ARC
(18,20),0.345621 # DEPENDENCYPART_ARC
(18,21),-0.278684 # DEPENDENCYPART_ARC
(19,1),-0.94662 # DEPENDENCYPART_ARC
(19,2),-0.71647 # DEPENDENCYPART_ARC
(19,3),-1.92056 # DEPENDENCYPART_ARC
(19,4),-1.74696 # DEPENDENCYPART_ARC
(19,5),-0.846256 # DEPENDENCYPART_ARC
(19,6),-0.495552 # DEPENDENCYPART_ARC
(19,7),-0.490952 # DEPENDENCYPART_ARC
(19,8),-2.49045 # DEPENDENCYPART_ARC
(19,9),-0.666026 # DEPENDENCYPART_ARC
(19,10),-1.41419 # DEPENDENCYPART_ARC
(19,11),-1.39471 # DEPENDENCYPART_ARC
(19,12),-0.472051 # DEPENDENCYPART_ARC
(19,13),-0.569947 # DEPENDENCYPART_ARC
(19,14),-0.388007 # DEPENDENCYPART_ARC
(19,15),0.109632 # DEPENDENCYPART_ARC
(19,16),-2.95807 # DEPENDENCYPART_ARC
(19,17),1.0143 # DEPENDENCYPART_ARC
(19,18),2.36332 # DEPENDENCYPART_ARC
(19,20),0.706228 # DEPENDENCYPART_ARC
(19,21),0.0144295 # DEPENDENCYPART_ARC
(20,1),-0.730484 # DEPENDENCYPART_ARC
(20,2),-0.336411 # DEPENDENCYPART_ARC
(20,3),-3.67511 # DEPENDENCYPART_ARC
(20,4),-2.76657 # DEPENDENCYPART_ARC
(20,5),-2.8273 # DEPENDENCYPART_ARC
(20,6),-0.361049 # DEPENDENCYPART_ARC
(20,7),-0.494173 # DEPENDENCYPART_ARC
(20,8),-3.26549 # DEPENDENCYPART_ARC
(20,9),-0.658155 # DEPENDENCYPART_ARC
(20,10),-1.81209 # DEPENDENCYPART_ARC
(20,11),-1.98505 # DEPENDENCYPART_ARC
(20,12),-0.411598 # DEPENDENCYPART_ARC
(20,13),-0.481851 # DEPENDENCYPART_ARC
(20,14),-0.679569 # DEPENDENCYPART_ARC
(20,15),-1.21685 # DEPENDENCYPART_ARC
(20,16),-2.43966 # DEPENDENCYPART_ARC
(20,17),2.77535 # DEPENDENCYPART_ARC
(20,18),1.37931 # DEPENDENCYPART_ARC
(20,19),3.67659 # DEPENDENCYPART_ARC
(20,21),0.368429 # DEPENDENCYPART_ARC
(21,1),-2.05854 # DEPENDENCYPART_ARC
(21,2),-2.91101 # DEPENDENCYPART_ARC
(21,4),-3.16313 # DEPENDENCYPART_ARC
(21,6),-2.81493 # DEPENDENCYPART_ARC
(21,7),-2.09127 # DEPENDENCYPART_ARC
(21,8),-2.99467 # DEPENDENCYPART_ARC
(21,9),-2.54781 # DEPENDENCYPART_ARC
(21,11),-2.81105 # DEPENDENCYPART_ARC
(21,12),-2.19908 # DEPENDENCYPART_ARC
(21,14),-2.41421 # DEPENDENCYPART_ARC
(21,16),-2.23504 # DEPENDENCYPART_ARC
(21,17),-1.64755 # DEPENDENCYPART_ARC
(21,18),-1.5868 # DEPENDENCYPART_ARC
(21,19),-1.67501 # DEPENDENCYPART_ARC
(21,20),-1.79023 # DEPENDENCYPART_ARC
