# _root_ Το ζητούμενο δεν είναι μόνον ποιος θα επιτύχει τα περισσότερα , η Επιτροπή ή το Συμβούλιο η εμείς ως Κοινοβούλιο , όχι !
#goldHeads=2,4,4,21,4,11,8,4,10,8,8,13,17,17,16,17,11,17,18,19,0,21,21,
#predictedHeads=2,4,4,0,4,8,8,4,10,8,14,13,14,8,16,14,20,14,18,19,22,19,0,
(2,20),-3.07882 # DEPENDENCYPART_ARC
(2,21),-1.05822 # DEPENDENCYPART_ARC
(2,22),-1.7703 # DEPENDENCYPART_ARC
(2,23),-1.16727 # DEPENDENCYPART_ARC
(3,1),-0.151961 # DEPENDENCYPART_ARC
(3,2),-0.456219 # DEPENDENCYPART_ARC
(3,9),-1.43981 # DEPENDENCYPART_ARC
(3,11),-0.796896 # DEPENDENCYPART_ARC
(3,12),-1.57296 # DEPENDENCYPART_ARC
(3,13),-1.60595 # DEPENDENCYPART_ARC
(3,15),-1.60608 # DEPENDENCYPART_ARC
(3,16),-1.75266 # DEPENDENCYPART_ARC
(3,17),-1.6085 # DEPENDENCYPART_ARC
(3,20),-1.75076 # DEPENDENCYPART_ARC
(3,21),-0.983369 # DEPENDENCYPART_ARC
(3,23),-1.04402 # DEPENDENCYPART_ARC
(4,1),0.157121 # DEPENDENCYPART_ARC
(4,2),2.73373 # DEPENDENCYPART_ARC
(4,3),2.68645 # DEPENDENCYPART_ARC
(4,5),1.68125 # DEPENDENCYPART_ARC
(4,6),1.06166 # DEPENDENCYPART_ARC
(4,7),0.153893 # DEPENDENCYPART_ARC
(4,8),0.962667 # DEPENDENCYPART_ARC
(4,9),-2.25717 # DEPENDENCYPART_ARC
(4,10),-0.708118 # DEPENDENCYPART_ARC
(4,11),0.136792 # DEPENDENCYPART_ARC
(4,12),-3.11688 # DEPENDENCYPART_ARC
(4,13),0.202376 # DEPENDENCYPART_ARC
(4,14),0.0713056 # DEPENDENCYPART_ARC
(4,15),-3.48785 # DEPENDENCYPART_ARC
(4,16),-0.811722 # DEPENDENCYPART_ARC
(4,17),-3.29508 # DEPENDENCYPART_ARC
(4,18),-1.37931 # DEPENDENCYPART_ARC
(4,19),-0.673436 # DEPENDENCYPART_ARC
(4,20),-1.94479 # DEPENDENCYPART_ARC
(4,21),-0.235382 # DEPENDENCYPART_ARC
(4,22),-1.20572 # DEPENDENCYPART_ARC
(4,23),-0.391715 # DEPENDENCYPART_ARC
(5,1),-0.81258 # DEPENDENCYPART_ARC
(5,2),-0.955225 # DEPENDENCYPART_ARC
(5,3),-0.188537 # DEPENDENCYPART_ARC
(5,4),-0.29687 # DEPENDENCYPART_ARC
(5,7),-0.240697 # DEPENDENCYPART_ARC
(5,8),-0.453952 # DEPENDENCYPART_ARC
(5,9),-1.44818 # DEPENDENCYPART_ARC
(5,10),-1.28474 # DEPENDENCYPART_ARC
(5,11),-0.602333 # DEPENDENCYPART_ARC
(5,12),-1.92756 # DEPENDENCYPART_ARC
(5,13),-2.03968 # DEPENDENCYPART_ARC
(5,14),-1.10868 # DEPENDENCYPART_ARC
(5,15),-1.80106 # DEPENDENCYPART_ARC
(5,16),-2.01609 # DEPENDENCYPART_ARC
(5,17),-2.10673 # DEPENDENCYPART_ARC
(5,18),-1.66411 # DEPENDENCYPART_ARC
(5,19),-1.50274 # DEPENDENCYPART_ARC
(5,20),-2.24815 # DEPENDENCYPART_ARC
(5,21),-1.38529 # DEPENDENCYPART_ARC
(5,22),-1.68952 # DEPENDENCYPART_ARC
(5,23),-1.28938 # DEPENDENCYPART_ARC
(8,1),-0.322767 # DEPENDENCYPART_ARC
(8,2),1.76833 # DEPENDENCYPART_ARC
(8,3),1.34547 # DEPENDENCYPART_ARC
(8,4),-2.28447 # DEPENDENCYPART_ARC
(8,5),0.898056 # DEPENDENCYPART_ARC
(8,6),2.43059 # DEPENDENCYPART_ARC
(8,7),2.83417 # DEPENDENCYPART_ARC
(8,9),-0.0841473 # DEPENDENCYPART_ARC
(8,10),0.893702 # DEPENDENCYPART_ARC
(8,11),0.831971 # DEPENDENCYPART_ARC
(8,12),-2.04914 # DEPENDENCYPART_ARC
(8,13),1.66043 # DEPENDENCYPART_ARC
(8,14),1.17308 # DEPENDENCYPART_ARC
(8,15),-2.77566 # DEPENDENCYPART_ARC
(8,16),0.0785221 # DEPENDENCYPART_ARC
(8,17),-2.54119 # DEPENDENCYPART_ARC
(8,18),-0.53876 # DEPENDENCYPART_ARC
(8,19),0.193984 # DEPENDENCYPART_ARC
(8,20),-0.506272 # DEPENDENCYPART_ARC
(8,21),0.475291 # DEPENDENCYPART_ARC
(8,22),-0.608068 # DEPENDENCYPART_ARC
(8,23),0.53831 # DEPENDENCYPART_ARC
(9,2),-2.11985 # DEPENDENCYPART_ARC
(9,5),-1.15165 # DEPENDENCYPART_ARC
(9,13),-1.30679 # DEPENDENCYPART_ARC
(9,14),-0.547752 # DEPENDENCYPART_ARC
(9,16),-1.75482 # DEPENDENCYPART_ARC
(9,19),-0.963621 # DEPENDENCYPART_ARC
(9,20),-1.72543 # DEPENDENCYPART_ARC
(10,1),-1.72593 # DEPENDENCYPART_ARC
(10,2),-1.38868 # DEPENDENCYPART_ARC
(10,3),-0.848628 # DEPENDENCYPART_ARC
(10,4),-3.49015 # DEPENDENCYPART_ARC
(10,5),0.0682227 # DEPENDENCYPART_ARC
(10,6),-1.58738 # DEPENDENCYPART_ARC
(10,8),-2.08959 # DEPENDENCYPART_ARC
(10,9),1.80592 # DEPENDENCYPART_ARC
(10,11),0.401436 # DEPENDENCYPART_ARC
(10,12),-0.628985 # DEPENDENCYPART_ARC
(10,13),-0.196731 # DEPENDENCYPART_ARC
(10,14),-0.100655 # DEPENDENCYPART_ARC
(10,15),-1.51973 # DEPENDENCYPART_ARC
(10,16),-1.00253 # DEPENDENCYPART_ARC
(10,17),-1.53541 # DEPENDENCYPART_ARC
(10,18),-1.4329 # DEPENDENCYPART_ARC
(10,19),-0.628124 # DEPENDENCYPART_ARC
(10,20),-0.899243 # DEPENDENCYPART_ARC
(10,21),-0.480058 # DEPENDENCYPART_ARC
(10,22),-0.762986 # DEPENDENCYPART_ARC
(10,23),-0.434546 # DEPENDENCYPART_ARC
(11,2),-0.904353 # DEPENDENCYPART_ARC
(11,4),0.0571784 # DEPENDENCYPART_ARC
(11,5),-0.484673 # DEPENDENCYPART_ARC
(11,8),-0.100825 # DEPENDENCYPART_ARC
(11,10),0.0903288 # DEPENDENCYPART_ARC
(11,13),0.275797 # DEPENDENCYPART_ARC
(11,14),0.302179 # DEPENDENCYPART_ARC
(11,16),-0.309638 # DEPENDENCYPART_ARC
(11,18),-1.30199 # DEPENDENCYPART_ARC
(11,19),-0.294433 # DEPENDENCYPART_ARC
(11,20),-0.587072 # DEPENDENCYPART_ARC
(11,21),-0.0842444 # DEPENDENCYPART_ARC
(11,23),-0.23476 # DEPENDENCYPART_ARC
(12,2),-2.21722 # DEPENDENCYPART_ARC
(12,5),-1.56287 # DEPENDENCYPART_ARC
(12,13),-0.270094 # DEPENDENCYPART_ARC
(12,14),0.0443841 # DEPENDENCYPART_ARC
(12,16),-1.34651 # DEPENDENCYPART_ARC
(12,19),-0.724802 # DEPENDENCYPART_ARC
(12,20),-1.8097 # DEPENDENCYPART_ARC
(13,1),-2.22262 # DEPENDENCYPART_ARC
(13,2),-2.71306 # DEPENDENCYPART_ARC
(13,3),-1.86966 # DEPENDENCYPART_ARC
(13,4),-2.98117 # DEPENDENCYPART_ARC
(13,5),-1.58572 # DEPENDENCYPART_ARC
(13,6),-1.97856 # DEPENDENCYPART_ARC
(13,8),-3.20091 # DEPENDENCYPART_ARC
(13,9),-0.850921 # DEPENDENCYPART_ARC
(13,10),-1.87209 # DEPENDENCYPART_ARC
(13,11),-0.256419 # DEPENDENCYPART_ARC
(13,12),3.108 # DEPENDENCYPART_ARC
(13,14),0.338909 # DEPENDENCYPART_ARC
(13,15),-1.64608 # DEPENDENCYPART_ARC
(13,16),-1.39342 # DEPENDENCYPART_ARC
(13,17),-1.87686 # DEPENDENCYPART_ARC
(13,18),-2.28116 # DEPENDENCYPART_ARC
(13,19),-0.781629 # DEPENDENCYPART_ARC
(13,20),-2.65194 # DEPENDENCYPART_ARC
(13,21),-1.16918 # DEPENDENCYPART_ARC
(13,22),-1.73457 # DEPENDENCYPART_ARC
(13,23),-1.05681 # DEPENDENCYPART_ARC
(14,1),-0.502155 # DEPENDENCYPART_ARC
(14,2),0.369033 # DEPENDENCYPART_ARC
(14,3),0.0133085 # DEPENDENCYPART_ARC
(14,4),-0.577153 # DEPENDENCYPART_ARC
(14,5),0.0455261 # DEPENDENCYPART_ARC
(14,8),-0.11651 # DEPENDENCYPART_ARC
(14,9),0.166914 # DEPENDENCYPART_ARC
(14,10),0.649172 # DEPENDENCYPART_ARC
(14,11),1.65971 # DEPENDENCYPART_ARC
(14,12),0.806852 # DEPENDENCYPART_ARC
(14,13),2.89135 # DEPENDENCYPART_ARC
(14,15),0.432169 # DEPENDENCYPART_ARC
(14,16),1.82748 # DEPENDENCYPART_ARC
(14,17),-0.218797 # DEPENDENCYPART_ARC
(14,18),-0.0530587 # DEPENDENCYPART_ARC
(14,19),0.107676 # DEPENDENCYPART_ARC
(14,20),0.420935 # DEPENDENCYPART_ARC
(14,21),0.537672 # DEPENDENCYPART_ARC
(14,22),0.0195369 # DEPENDENCYPART_ARC
(14,23),0.296054 # DEPENDENCYPART_ARC
(15,2),-2.39416 # DEPENDENCYPART_ARC
(15,5),-2.11984 # DEPENDENCYPART_ARC
(15,13),-1.66065 # DEPENDENCYPART_ARC
(15,14),-0.533356 # DEPENDENCYPART_ARC
(15,16),0.0245927 # DEPENDENCYPART_ARC
(15,19),-0.792973 # DEPENDENCYPART_ARC
(15,20),-1.23709 # DEPENDENCYPART_ARC
(16,1),-1.80379 # DEPENDENCYPART_ARC
(16,2),-2.27936 # DEPENDENCYPART_ARC
(16,3),-1.8945 # DEPENDENCYPART_ARC
(16,4),-2.89708 # DEPENDENCYPART_ARC
(16,5),-1.37829 # DEPENDENCYPART_ARC
(16,6),-1.98131 # DEPENDENCYPART_ARC
(16,8),-3.38536 # DEPENDENCYPART_ARC
(16,9),-1.21951 # DEPENDENCYPART_ARC
(16,10),-1.87955 # DEPENDENCYPART_ARC
(16,11),-1.05339 # DEPENDENCYPART_ARC
(16,12),0.0230512 # DEPENDENCYPART_ARC
(16,13),-1.38716 # DEPENDENCYPART_ARC
(16,14),0.0331964 # DEPENDENCYPART_ARC
(16,15),3.03469 # DEPENDENCYPART_ARC
(16,17),-0.0782704 # DEPENDENCYPART_ARC
(16,18),-0.423928 # DEPENDENCYPART_ARC
(16,19),0.334456 # DEPENDENCYPART_ARC
(16,20),0.162447 # DEPENDENCYPART_ARC
(16,21),-0.261274 # DEPENDENCYPART_ARC
(16,22),-0.832917 # DEPENDENCYPART_ARC
(16,23),-0.320015 # DEPENDENCYPART_ARC
(17,2),-2.15517 # DEPENDENCYPART_ARC
(17,5),-1.51023 # DEPENDENCYPART_ARC
(17,13),-1.39481 # DEPENDENCYPART_ARC
(17,14),-0.52462 # DEPENDENCYPART_ARC
(17,16),-0.551494 # DEPENDENCYPART_ARC
(17,19),-0.20167 # DEPENDENCYPART_ARC
(17,20),-1.07698 # DEPENDENCYPART_ARC
(18,2),-1.77961 # DEPENDENCYPART_ARC
(18,5),-1.05786 # DEPENDENCYPART_ARC
(18,10),-0.585588 # DEPENDENCYPART_ARC
(18,13),-0.96475 # DEPENDENCYPART_ARC
(18,14),-0.191869 # DEPENDENCYPART_ARC
(18,16),-0.594741 # DEPENDENCYPART_ARC
(18,19),1.10675 # DEPENDENCYPART_ARC
(18,20),0.856738 # DEPENDENCYPART_ARC
(19,1),-1.14323 # DEPENDENCYPART_ARC
(19,2),-1.30649 # DEPENDENCYPART_ARC
(19,3),-0.840467 # DEPENDENCYPART_ARC
(19,4),-1.15274 # DEPENDENCYPART_ARC
(19,5),-0.68827 # DEPENDENCYPART_ARC
(19,7),-0.77084 # DEPENDENCYPART_ARC
(19,8),-1.31785 # DEPENDENCYPART_ARC
(19,9),-0.00505934 # DEPENDENCYPART_ARC
(19,10),-0.742145 # DEPENDENCYPART_ARC
(19,11),-0.44877 # DEPENDENCYPART_ARC
(19,12),-0.825274 # DEPENDENCYPART_ARC
(19,13),-1.01919 # DEPENDENCYPART_ARC
(19,14),-0.504213 # DEPENDENCYPART_ARC
(19,15),-0.250634 # DEPENDENCYPART_ARC
(19,16),-0.433482 # DEPENDENCYPART_ARC
(19,17),0.0463159 # DEPENDENCYPART_ARC
(19,18),-0.311829 # DEPENDENCYPART_ARC
(19,20),2.13542 # DEPENDENCYPART_ARC
(19,21),0.543785 # DEPENDENCYPART_ARC
(19,22),0.228689 # DEPENDENCYPART_ARC
(19,23),0.18651 # DEPENDENCYPART_ARC
(20,1),-2.8533 # DEPENDENCYPART_ARC
(20,2),-2.54639 # DEPENDENCYPART_ARC
(20,3),-1.72127 # DEPENDENCYPART_ARC
(20,4),-2.68599 # DEPENDENCYPART_ARC
(20,5),-1.3465 # DEPENDENCYPART_ARC
(20,6),-2.66285 # DEPENDENCYPART_ARC
(20,8),-3.51748 # DEPENDENCYPART_ARC
(20,9),-1.71048 # DEPENDENCYPART_ARC
(20,10),-1.6989 # DEPENDENCYPART_ARC
(20,11),-0.914677 # DEPENDENCYPART_ARC
(20,12),-2.03214 # DEPENDENCYPART_ARC
(20,13),-2.36114 # DEPENDENCYPART_ARC
(20,14),-1.08044 # DEPENDENCYPART_ARC
(20,15),0.117973 # DEPENDENCYPART_ARC
(20,16),-0.730315 # DEPENDENCYPART_ARC
(20,17),0.397093 # DEPENDENCYPART_ARC
(20,18),-0.585605 # DEPENDENCYPART_ARC
(20,19),0.654963 # DEPENDENCYPART_ARC
(20,21),0.00444945 # DEPENDENCYPART_ARC
(20,22),-0.740932 # DEPENDENCYPART_ARC
(20,23),-0.478821 # DEPENDENCYPART_ARC
(21,2),-1.67755 # DEPENDENCYPART_ARC
(21,4),-0.138266 # DEPENDENCYPART_ARC
(21,5),-0.578875 # DEPENDENCYPART_ARC
(21,8),-0.51463 # DEPENDENCYPART_ARC
(21,10),-0.63079 # DEPENDENCYPART_ARC
(21,11),-0.966578 # DEPENDENCYPART_ARC
(21,13),-0.609837 # DEPENDENCYPART_ARC
(21,14),-0.0144955 # DEPENDENCYPART_ARC
(21,16),-0.462545 # DEPENDENCYPART_ARC
(21,18),-0.238088 # DEPENDENCYPART_ARC
(21,19),-0.113253 # DEPENDENCYPART_ARC
(21,20),0.338739 # DEPENDENCYPART_ARC
(21,23),0.0924764 # DEPENDENCYPART_ARC
(22,1),-1.1423 # DEPENDENCYPART_ARC
(22,2),-1.47377 # DEPENDENCYPART_ARC
(22,9),-0.770089 # DEPENDENCYPART_ARC
(22,11),-0.786054 # DEPENDENCYPART_ARC
(22,12),-0.632452 # DEPENDENCYPART_ARC
(22,13),-1.00451 # DEPENDENCYPART_ARC
(22,15),-0.458578 # DEPENDENCYPART_ARC
(22,16),-0.954656 # DEPENDENCYPART_ARC
(22,17),-0.310769 # DEPENDENCYPART_ARC
(22,20),-0.341241 # DEPENDENCYPART_ARC
(22,21),0.618704 # DEPENDENCYPART_ARC
(22,23),1.16216 # DEPENDENCYPART_ARC
(23,2),-2.31299 # DEPENDENCYPART_ARC
(23,4),-1.25005 # DEPENDENCYPART_ARC
(23,5),-1.41265 # DEPENDENCYPART_ARC
(23,8),-1.48215 # DEPENDENCYPART_ARC
(23,10),-1.67459 # DEPENDENCYPART_ARC
(23,11),-1.4488 # DEPENDENCYPART_ARC
(23,13),-1.41265 # DEPENDENCYPART_ARC
(23,14),-0.996691 # DEPENDENCYPART_ARC
(23,16),-1.17971 # DEPENDENCYPART_ARC
(23,18),-1.37362 # DEPENDENCYPART_ARC
(23,19),-1.04193 # DEPENDENCYPART_ARC
(23,20),-0.908584 # DEPENDENCYPART_ARC
(23,21),-0.687622 # DEPENDENCYPART_ARC
