# _root_ Ήταν στεγασμένη με ένα τετράγωνο κτήριο , ανοικτό στη νότια πλευρά , όπου υπήρχε δωρική στοά .
#goldHeads=0,1,2,6,6,3,1,6,8,11,9,14,14,11,16,14,14,
#predictedHeads=0,1,2,6,6,3,8,5,8,11,9,14,14,0,16,14,0,
(13,6),-0.804668 # DEPENDENCYPART_ARC
(13,7),-0.597803 # DEPENDENCYPART_ARC
(13,8),-0.868962 # DEPENDENCYPART_ARC
(13,9),-0.130166 # DEPENDENCYPART_ARC
(13,10),-0.534139 # DEPENDENCYPART_ARC
(13,11),-0.511232 # DEPENDENCYPART_ARC
(13,12),0.31485 # DEPENDENCYPART_ARC
(13,14),0.499914 # DEPENDENCYPART_ARC
(13,15),-0.826132 # DEPENDENCYPART_ARC
(13,16),-0.990292 # DEPENDENCYPART_ARC
(13,17),-0.502455 # DEPENDENCYPART_ARC
(14,1),-2.06488 # DEPENDENCYPART_ARC
(14,2),-1.10255 # DEPENDENCYPART_ARC
(14,3),0.0733836 # DEPENDENCYPART_ARC
(14,4),-1.52654 # DEPENDENCYPART_ARC
(14,5),-1.69027 # DEPENDENCYPART_ARC
(14,6),-1.63284 # DEPENDENCYPART_ARC
(14,7),0.815562 # DEPENDENCYPART_ARC
(14,8),-0.942869 # DEPENDENCYPART_ARC
(14,9),0.308327 # DEPENDENCYPART_ARC
(14,10),-0.700378 # DEPENDENCYPART_ARC
(14,11),-0.863511 # DEPENDENCYPART_ARC
(14,12),1.82498 # DEPENDENCYPART_ARC
(14,13),2.19848 # DEPENDENCYPART_ARC
(14,15),1.092 # DEPENDENCYPART_ARC
(14,16),3.14095 # DEPENDENCYPART_ARC
(14,17),0.713585 # DEPENDENCYPART_ARC
(15,1),-4.69574 # DEPENDENCYPART_ARC
(15,2),-1.59735 # DEPENDENCYPART_ARC
(15,3),-0.948407 # DEPENDENCYPART_ARC
(15,4),-0.894355 # DEPENDENCYPART_ARC
(15,5),-1.39825 # DEPENDENCYPART_ARC
(15,6),-1.43338 # DEPENDENCYPART_ARC
(15,7),-1.08663 # DEPENDENCYPART_ARC
(15,8),-1.01154 # DEPENDENCYPART_ARC
(15,9),-1.48376 # DEPENDENCYPART_ARC
(15,10),-0.864794 # DEPENDENCYPART_ARC
(15,11),-1.91224 # DEPENDENCYPART_ARC
(15,12),-0.505241 # DEPENDENCYPART_ARC
(15,13),0.102104 # DEPENDENCYPART_ARC
(15,14),-3.13744 # DEPENDENCYPART_ARC
(15,16),0.025241 # DEPENDENCYPART_ARC
(15,17),-0.165002 # DEPENDENCYPART_ARC
(16,1),-2.20836 # DEPENDENCYPART_ARC
(16,2),-1.84789 # DEPENDENCYPART_ARC
(16,3),-0.863713 # DEPENDENCYPART_ARC
(16,4),0.550858 # DEPENDENCYPART_ARC
(16,5),-0.877717 # DEPENDENCYPART_ARC
(16,6),-1.47543 # DEPENDENCYPART_ARC
(16,7),-0.330607 # DEPENDENCYPART_ARC
(16,8),-2.10881 # DEPENDENCYPART_ARC
(16,9),-0.266678 # DEPENDENCYPART_ARC
(16,10),0.535835 # DEPENDENCYPART_ARC
(16,11),-0.56592 # DEPENDENCYPART_ARC
(16,12),0.0434378 # DEPENDENCYPART_ARC
(16,13),-0.0125392 # DEPENDENCYPART_ARC
(16,14),-0.731724 # DEPENDENCYPART_ARC
(16,15),3.60511 # DEPENDENCYPART_ARC
(16,17),0.417698 # DEPENDENCYPART_ARC
(17,1),-2.36928 # DEPENDENCYPART_ARC
(17,2),-2.36989 # DEPENDENCYPART_ARC
(17,3),-2.42651 # DEPENDENCYPART_ARC
(17,4),-2.33208 # DEPENDENCYPART_ARC
(17,5),-2.36766 # DEPENDENCYPART_ARC
(17,6),-2.60794 # DEPENDENCYPART_ARC
(17,7),-1.7172 # DEPENDENCYPART_ARC
(17,8),-2.21994 # DEPENDENCYPART_ARC
(17,9),-2.02911 # DEPENDENCYPART_ARC
(17,10),-2.1143 # DEPENDENCYPART_ARC
(17,11),-2.39411 # DEPENDENCYPART_ARC
(17,12),-1.74947 # DEPENDENCYPART_ARC
(17,13),-1.78091 # DEPENDENCYPART_ARC
(17,14),-1.74439 # DEPENDENCYPART_ARC
(17,15),-1.45944 # DEPENDENCYPART_ARC
(17,16),-1.71361 # DEPENDENCYPART_ARC
