# _root_ Ο μικρός δωρικός ναός της Ίσιδος , βρίσκεται στο Ιερό των Ξένων Θεών , στούς πρόποδες του Κύνθου .
#goldHeads=4,4,4,8,6,4,8,0,14,9,13,13,10,8,14,15,18,16,0,
#predictedHeads=4,4,4,8,6,4,8,0,8,9,13,13,10,8,16,14,18,16,0,
(4,6),0.807649 # DEPENDENCYPART_ARC
(4,7),0.555526 # DEPENDENCYPART_ARC
(4,8),0.462559 # DEPENDENCYPART_ARC
(4,9),-0.293064 # DEPENDENCYPART_ARC
(4,10),-1.50421 # DEPENDENCYPART_ARC
(4,11),-1.60796 # DEPENDENCYPART_ARC
(4,12),-0.575029 # DEPENDENCYPART_ARC
(4,13),-0.259729 # DEPENDENCYPART_ARC
(4,14),0.0186537 # DEPENDENCYPART_ARC
(4,15),-1.47978 # DEPENDENCYPART_ARC
(4,16),-1.78106 # DEPENDENCYPART_ARC
(4,17),-1.87836 # DEPENDENCYPART_ARC
(4,18),-0.819112 # DEPENDENCYPART_ARC
(4,19),0.104343 # DEPENDENCYPART_ARC
(5,4),-1.1963 # DEPENDENCYPART_ARC
(5,13),-1.72168 # DEPENDENCYPART_ARC
(5,16),-2.29531 # DEPENDENCYPART_ARC
(6,1),0.47249 # DEPENDENCYPART_ARC
(6,2),-0.0900427 # DEPENDENCYPART_ARC
(6,3),0.0640583 # DEPENDENCYPART_ARC
(6,4),-0.0347547 # DEPENDENCYPART_ARC
(6,5),1.55501 # DEPENDENCYPART_ARC
(6,7),0.162656 # DEPENDENCYPART_ARC
(6,8),-0.973956 # DEPENDENCYPART_ARC
(6,9),-1.32602 # DEPENDENCYPART_ARC
(6,10),-2.34444 # DEPENDENCYPART_ARC
(6,11),-1.22472 # DEPENDENCYPART_ARC
(6,12),-2.13546 # DEPENDENCYPART_ARC
(6,13),-0.881034 # DEPENDENCYPART_ARC
(6,14),-0.943924 # DEPENDENCYPART_ARC
(6,15),-2.42867 # DEPENDENCYPART_ARC
(6,16),-2.56573 # DEPENDENCYPART_ARC
(6,17),-2.52381 # DEPENDENCYPART_ARC
(6,18),-1.48092 # DEPENDENCYPART_ARC
(6,19),-1.12258 # DEPENDENCYPART_ARC
(7,2),-0.719469 # DEPENDENCYPART_ARC
(7,3),-0.569842 # DEPENDENCYPART_ARC
(7,4),-0.114092 # DEPENDENCYPART_ARC
(7,6),0.0845506 # DEPENDENCYPART_ARC
(7,8),0.104643 # DEPENDENCYPART_ARC
(7,9),-0.971356 # DEPENDENCYPART_ARC
(7,10),-0.736412 # DEPENDENCYPART_ARC
(7,12),-0.933247 # DEPENDENCYPART_ARC
(7,13),-1.3562 # DEPENDENCYPART_ARC
(7,14),-0.41894 # DEPENDENCYPART_ARC
(7,15),-0.910454 # DEPENDENCYPART_ARC
(7,16),-1.5896 # DEPENDENCYPART_ARC
(7,18),-1.54412 # DEPENDENCYPART_ARC
(7,19),-0.650954 # DEPENDENCYPART_ARC
(8,1),-1.62456 # DEPENDENCYPART_ARC
(8,2),-0.338565 # DEPENDENCYPART_ARC
(8,3),-0.0848797 # DEPENDENCYPART_ARC
(8,4),1.16163 # DEPENDENCYPART_ARC
(8,5),-1.31845 # DEPENDENCYPART_ARC
(8,6),0.770053 # DEPENDENCYPART_ARC
(8,7),1.38406 # DEPENDENCYPART_ARC
(8,9),1.83875 # DEPENDENCYPART_ARC
(8,10),-0.200562 # DEPENDENCYPART_ARC
(8,11),-2.20655 # DEPENDENCYPART_ARC
(8,12),-2.02783 # DEPENDENCYPART_ARC
(8,13),-1.73804 # DEPENDENCYPART_ARC
(8,14),0.679235 # DEPENDENCYPART_ARC
(8,15),-2.83617 # DEPENDENCYPART_ARC
(8,16),-1.82999 # DEPENDENCYPART_ARC
(8,17),-3.09986 # DEPENDENCYPART_ARC
(8,18),-2.6279 # DEPENDENCYPART_ARC
(8,19),0.214129 # DEPENDENCYPART_ARC
(9,2),-2.33268 # DEPENDENCYPART_ARC
(9,3),-2.29758 # DEPENDENCYPART_ARC
(9,4),-2.08427 # DEPENDENCYPART_ARC
(9,6),-1.80718 # DEPENDENCYPART_ARC
(9,7),-0.426011 # DEPENDENCYPART_ARC
(9,8),-1.60085 # DEPENDENCYPART_ARC
(9,10),1.66496 # DEPENDENCYPART_ARC
(9,12),0.204789 # DEPENDENCYPART_ARC
(9,13),0.124294 # DEPENDENCYPART_ARC
(9,14),-0.0244642 # DEPENDENCYPART_ARC
(9,15),-0.689443 # DEPENDENCYPART_ARC
(9,16),-0.540253 # DEPENDENCYPART_ARC
(9,18),-1.88648 # DEPENDENCYPART_ARC
(9,19),-0.150421 # DEPENDENCYPART_ARC
(10,1),-1.35409 # DEPENDENCYPART_ARC
(10,2),-1.95886 # DEPENDENCYPART_ARC
(10,3),-2.02915 # DEPENDENCYPART_ARC
(10,4),-1.73881 # DEPENDENCYPART_ARC
(10,5),-1.76644 # DEPENDENCYPART_ARC
(10,6),-1.5313 # DEPENDENCYPART_ARC
(10,7),-0.980112 # DEPENDENCYPART_ARC
(10,8),-3.79085 # DEPENDENCYPART_ARC
(10,9),-0.333186 # DEPENDENCYPART_ARC
(10,11),1.08488 # DEPENDENCYPART_ARC
(10,12),1.08508 # DEPENDENCYPART_ARC
(10,13),1.64564 # DEPENDENCYPART_ARC
(10,14),0.444961 # DEPENDENCYPART_ARC
(10,15),0.258899 # DEPENDENCYPART_ARC
(10,16),-0.163699 # DEPENDENCYPART_ARC
(10,17),-1.09748 # DEPENDENCYPART_ARC
(10,18),0.177511 # DEPENDENCYPART_ARC
(10,19),0.310963 # DEPENDENCYPART_ARC
(11,4),-2.75272 # DEPENDENCYPART_ARC
(11,13),0.108158 # DEPENDENCYPART_ARC
(11,16),-1.3286 # DEPENDENCYPART_ARC
(12,1),-1.58381 # DEPENDENCYPART_ARC
(12,2),-2.83283 # DEPENDENCYPART_ARC
(12,3),-2.76378 # DEPENDENCYPART_ARC
(12,4),-2.41617 # DEPENDENCYPART_ARC
(12,5),-1.89741 # DEPENDENCYPART_ARC
(12,6),-2.66699 # DEPENDENCYPART_ARC
(12,7),-1.34912 # DEPENDENCYPART_ARC
(12,8),-2.15741 # DEPENDENCYPART_ARC
(12,9),-1.76594 # DEPENDENCYPART_ARC
(12,10),-0.682171 # DEPENDENCYPART_ARC
(12,11),1.6102 # DEPENDENCYPART_ARC
(12,13),0.655827 # DEPENDENCYPART_ARC
(12,14),-0.502148 # DEPENDENCYPART_ARC
(12,15),-1.67505 # DEPENDENCYPART_ARC
(12,16),-1.51113 # DEPENDENCYPART_ARC
(12,17),-1.87691 # DEPENDENCYPART_ARC
(12,18),-1.54324 # DEPENDENCYPART_ARC
(12,19),-0.714711 # DEPENDENCYPART_ARC
(13,1),-2.4928 # DEPENDENCYPART_ARC
(13,2),-2.69885 # DEPENDENCYPART_ARC
(13,3),-3.12996 # DEPENDENCYPART_ARC
(13,4),-3.36206 # DEPENDENCYPART_ARC
(13,5),-0.147875 # DEPENDENCYPART_ARC
(13,6),-2.85968 # DEPENDENCYPART_ARC
(13,7),-0.479664 # DEPENDENCYPART_ARC
(13,8),-1.21651 # DEPENDENCYPART_ARC
(13,9),-2.17841 # DEPENDENCYPART_ARC
(13,10),-1.70888 # DEPENDENCYPART_ARC
(13,11),3.55455 # DEPENDENCYPART_ARC
(13,12),3.71967 # DEPENDENCYPART_ARC
(13,14),0.114315 # DEPENDENCYPART_ARC
(13,15),-0.38525 # DEPENDENCYPART_ARC
(13,16),-1.26531 # DEPENDENCYPART_ARC
(13,17),-1.42088 # DEPENDENCYPART_ARC
(13,18),0.298434 # DEPENDENCYPART_ARC
(13,19),-0.431575 # DEPENDENCYPART_ARC
(14,2),-0.491935 # DEPENDENCYPART_ARC
(14,3),-0.46523 # DEPENDENCYPART_ARC
(14,4),-0.100323 # DEPENDENCYPART_ARC
(14,6),-0.317035 # DEPENDENCYPART_ARC
(14,7),-0.0619235 # DEPENDENCYPART_ARC
(14,8),0.119695 # DEPENDENCYPART_ARC
(14,9),0.316727 # DEPENDENCYPART_ARC
(14,10),0.104022 # DEPENDENCYPART_ARC
(14,12),0.447288 # DEPENDENCYPART_ARC
(14,13),0.748815 # DEPENDENCYPART_ARC
(14,15),0.434921 # DEPENDENCYPART_ARC
(14,16),0.472847 # DEPENDENCYPART_ARC
(14,18),0.135714 # DEPENDENCYPART_ARC
(14,19),0.0324908 # DEPENDENCYPART_ARC
(15,1),-1.84906 # DEPENDENCYPART_ARC
(15,2),-1.86678 # DEPENDENCYPART_ARC
(15,3),-1.87457 # DEPENDENCYPART_ARC
(15,4),-2.03056 # DEPENDENCYPART_ARC
(15,5),-2.02643 # DEPENDENCYPART_ARC
(15,6),-1.57535 # DEPENDENCYPART_ARC
(15,7),-1.29487 # DEPENDENCYPART_ARC
(15,8),-3.0982 # DEPENDENCYPART_ARC
(15,9),-1.68689 # DEPENDENCYPART_ARC
(15,10),-0.710161 # DEPENDENCYPART_ARC
(15,11),0.220349 # DEPENDENCYPART_ARC
(15,12),-0.503766 # DEPENDENCYPART_ARC
(15,13),-1.41927 # DEPENDENCYPART_ARC
(15,14),0.184631 # DEPENDENCYPART_ARC
(15,16),0.264565 # DEPENDENCYPART_ARC
(15,17),-0.697777 # DEPENDENCYPART_ARC
(15,18),0.522685 # DEPENDENCYPART_ARC
(15,19),-0.165404 # DEPENDENCYPART_ARC
(16,1),-1.19377 # DEPENDENCYPART_ARC
(16,2),-1.31685 # DEPENDENCYPART_ARC
(16,3),-2.03427 # DEPENDENCYPART_ARC
(16,4),-2.00063 # DEPENDENCYPART_ARC
(16,5),-0.833385 # DEPENDENCYPART_ARC
(16,6),-1.5244 # DEPENDENCYPART_ARC
(16,7),-0.438344 # DEPENDENCYPART_ARC
(16,8),-1.81679 # DEPENDENCYPART_ARC
(16,9),-2.26138 # DEPENDENCYPART_ARC
(16,10),-0.521553 # DEPENDENCYPART_ARC
(16,11),1.70446 # DEPENDENCYPART_ARC
(16,12),0.633632 # DEPENDENCYPART_ARC
(16,13),0.416128 # DEPENDENCYPART_ARC
(16,14),0.607427 # DEPENDENCYPART_ARC
(16,15),3.5848 # DEPENDENCYPART_ARC
(16,17),0.0455214 # DEPENDENCYPART_ARC
(16,18),2.78193 # DEPENDENCYPART_ARC
(16,19),0.468079 # DEPENDENCYPART_ARC
(17,4),-2.53042 # DEPENDENCYPART_ARC
(17,13),-2.38063 # DEPENDENCYPART_ARC
(17,16),-1.59819 # DEPENDENCYPART_ARC
(18,1),-2.94336 # DEPENDENCYPART_ARC
(18,2),-3.77986 # DEPENDENCYPART_ARC
(18,3),-4.11325 # DEPENDENCYPART_ARC
(18,4),-3.65504 # DEPENDENCYPART_ARC
(18,5),-1.3021 # DEPENDENCYPART_ARC
(18,6),-3.98906 # DEPENDENCYPART_ARC
(18,7),-1.26559 # DEPENDENCYPART_ARC
(18,8),-2.20399 # DEPENDENCYPART_ARC
(18,9),-2.05941 # DEPENDENCYPART_ARC
(18,10),-2.65128 # DEPENDENCYPART_ARC
(18,11),-0.690005 # DEPENDENCYPART_ARC
(18,12),-1.14245 # DEPENDENCYPART_ARC
(18,13),-2.26929 # DEPENDENCYPART_ARC
(18,14),-0.750763 # DEPENDENCYPART_ARC
(18,15),-2.19752 # DEPENDENCYPART_ARC
(18,16),-2.32243 # DEPENDENCYPART_ARC
(18,17),2.34451 # DEPENDENCYPART_ARC
(18,19),-0.419272 # DEPENDENCYPART_ARC
(19,2),-2.44738 # DEPENDENCYPART_ARC
(19,3),-2.3603 # DEPENDENCYPART_ARC
(19,4),-2.47253 # DEPENDENCYPART_ARC
(19,6),-2.57604 # DEPENDENCYPART_ARC
(19,7),-2.02525 # DEPENDENCYPART_ARC
(19,8),-2.12713 # DEPENDENCYPART_ARC
(19,9),-2.16875 # DEPENDENCYPART_ARC
(19,10),-1.95949 # DEPENDENCYPART_ARC
(19,12),-1.99506 # DEPENDENCYPART_ARC
(19,13),-2.00402 # DEPENDENCYPART_ARC
(19,14),-1.53632 # DEPENDENCYPART_ARC
(19,15),-1.85553 # DEPENDENCYPART_ARC
(19,16),-1.70463 # DEPENDENCYPART_ARC
(19,18),-1.76914 # DEPENDENCYPART_ARC
