# _root_ Τη Μύκονο την λατρεύεις ή τη μισείς : όχι μόνο δεν υπάρχει ενδιάμεση αντίδραση , αλλά συνήθως , το αρχικό συναίσθημα διαρκεί για πάντα .
#goldHeads=2,5,4,5,8,7,5,0,10,12,12,16,14,12,16,8,22,16,21,21,22,16,22,23,0,
#predictedHeads=2,5,4,5,16,7,5,0,10,12,12,16,14,12,16,8,16,22,21,21,22,16,22,23,0,
(4,10),-1.08464 # DEPENDENCYPART_ARC
(4,11),-1.24336 # DEPENDENCYPART_ARC
(4,12),-2.63206 # DEPENDENCYPART_ARC
(4,13),-2.46122 # DEPENDENCYPART_ARC
(4,14),-2.12093 # DEPENDENCYPART_ARC
(4,15),-0.42533 # DEPENDENCYPART_ARC
(4,16),-0.418834 # DEPENDENCYPART_ARC
(4,17),-1.88161 # DEPENDENCYPART_ARC
(4,18),-0.827711 # DEPENDENCYPART_ARC
(4,19),-4.51108 # DEPENDENCYPART_ARC
(4,20),-3.26168 # DEPENDENCYPART_ARC
(4,21),-3.47375 # DEPENDENCYPART_ARC
(4,22),-5.01756 # DEPENDENCYPART_ARC
(4,23),-2.0365 # DEPENDENCYPART_ARC
(4,24),-2.27374 # DEPENDENCYPART_ARC
(4,25),-1.0777 # DEPENDENCYPART_ARC
(5,1),0.175042 # DEPENDENCYPART_ARC
(5,2),0.978165 # DEPENDENCYPART_ARC
(5,3),0.971945 # DEPENDENCYPART_ARC
(5,4),1.11547 # DEPENDENCYPART_ARC
(5,6),0.120197 # DEPENDENCYPART_ARC
(5,7),0.783737 # DEPENDENCYPART_ARC
(5,8),0.651225 # DEPENDENCYPART_ARC
(5,9),0.0244833 # DEPENDENCYPART_ARC
(5,10),-0.0362382 # DEPENDENCYPART_ARC
(5,11),-0.316801 # DEPENDENCYPART_ARC
(5,12),0.511717 # DEPENDENCYPART_ARC
(5,13),-0.73247 # DEPENDENCYPART_ARC
(5,14),-1.01719 # DEPENDENCYPART_ARC
(5,15),0.00510708 # DEPENDENCYPART_ARC
(5,16),-0.211856 # DEPENDENCYPART_ARC
(5,17),-0.52865 # DEPENDENCYPART_ARC
(5,18),-0.250724 # DEPENDENCYPART_ARC
(5,19),-1.42361 # DEPENDENCYPART_ARC
(5,20),-0.906653 # DEPENDENCYPART_ARC
(5,21),-1.59053 # DEPENDENCYPART_ARC
(5,22),-0.934143 # DEPENDENCYPART_ARC
(5,23),-0.110152 # DEPENDENCYPART_ARC
(5,24),-0.790063 # DEPENDENCYPART_ARC
(5,25),-0.266039 # DEPENDENCYPART_ARC
(6,5),-0.301186 # DEPENDENCYPART_ARC
(6,10),-0.605138 # DEPENDENCYPART_ARC
(6,14),-2.45766 # DEPENDENCYPART_ARC
(6,16),-0.678811 # DEPENDENCYPART_ARC
(6,17),-1.38245 # DEPENDENCYPART_ARC
(6,21),-2.46757 # DEPENDENCYPART_ARC
(6,24),-1.50514 # DEPENDENCYPART_ARC
(7,1),-1.79159 # DEPENDENCYPART_ARC
(7,2),-2.34372 # DEPENDENCYPART_ARC
(7,3),-2.67936 # DEPENDENCYPART_ARC
(7,4),-2.33231 # DEPENDENCYPART_ARC
(7,5),-0.121091 # DEPENDENCYPART_ARC
(7,6),1.00676 # DEPENDENCYPART_ARC
(7,8),0.256028 # DEPENDENCYPART_ARC
(7,9),-0.180433 # DEPENDENCYPART_ARC
(7,10),-0.429146 # DEPENDENCYPART_ARC
(7,11),-0.626447 # DEPENDENCYPART_ARC
(7,12),-1.82443 # DEPENDENCYPART_ARC
(7,13),-2.99817 # DEPENDENCYPART_ARC
(7,14),-2.02288 # DEPENDENCYPART_ARC
(7,15),-0.932637 # DEPENDENCYPART_ARC
(7,16),-0.816659 # DEPENDENCYPART_ARC
(7,17),-1.20206 # DEPENDENCYPART_ARC
(7,18),-1.06994 # DEPENDENCYPART_ARC
(7,19),-2.88538 # DEPENDENCYPART_ARC
(7,20),-3.00871 # DEPENDENCYPART_ARC
(7,21),-2.23507 # DEPENDENCYPART_ARC
(7,22),-2.83913 # DEPENDENCYPART_ARC
(7,23),-1.37449 # DEPENDENCYPART_ARC
(7,24),-1.48195 # DEPENDENCYPART_ARC
(7,25),-1.10137 # DEPENDENCYPART_ARC
(8,2),-0.0711986 # DEPENDENCYPART_ARC
(8,3),-0.408677 # DEPENDENCYPART_ARC
(8,4),-0.0326288 # DEPENDENCYPART_ARC
(8,5),0.273936 # DEPENDENCYPART_ARC
(8,7),0.43097 # DEPENDENCYPART_ARC
(8,10),0.280002 # DEPENDENCYPART_ARC
(8,12),0.271489 # DEPENDENCYPART_ARC
(8,13),-0.260917 # DEPENDENCYPART_ARC
(8,14),-0.63949 # DEPENDENCYPART_ARC
(8,15),0.140542 # DEPENDENCYPART_ARC
(8,16),0.0911186 # DEPENDENCYPART_ARC
(8,17),-0.370298 # DEPENDENCYPART_ARC
(8,18),-0.0430706 # DEPENDENCYPART_ARC
(8,20),-0.494741 # DEPENDENCYPART_ARC
(8,21),-0.805864 # DEPENDENCYPART_ARC
(8,22),-0.198093 # DEPENDENCYPART_ARC
(8,23),-0.66609 # DEPENDENCYPART_ARC
(8,24),-0.639148 # DEPENDENCYPART_ARC
(8,25),-0.288862 # DEPENDENCYPART_ARC
(9,1),-1.1528 # DEPENDENCYPART_ARC
(9,6),-0.344247 # DEPENDENCYPART_ARC
(9,8),0.304729 # DEPENDENCYPART_ARC
(9,14),-0.51993 # DEPENDENCYPART_ARC
(9,15),-0.0656722 # DEPENDENCYPART_ARC
(9,18),-0.258485 # DEPENDENCYPART_ARC
(9,19),-0.896535 # DEPENDENCYPART_ARC
(9,21),-1.00002 # DEPENDENCYPART_ARC
(9,25),-0.555508 # DEPENDENCYPART_ARC
(10,1),-0.553804 # DEPENDENCYPART_ARC
(10,2),-0.817651 # DEPENDENCYPART_ARC
(10,3),-0.934934 # DEPENDENCYPART_ARC
(10,4),-0.369439 # DEPENDENCYPART_ARC
(10,5),-0.0642351 # DEPENDENCYPART_ARC
(10,6),-0.0537545 # DEPENDENCYPART_ARC
(10,7),-0.0297633 # DEPENDENCYPART_ARC
(10,8),0.68457 # DEPENDENCYPART_ARC
(10,9),1.43015 # DEPENDENCYPART_ARC
(10,11),0.137586 # DEPENDENCYPART_ARC
(10,12),0.143706 # DEPENDENCYPART_ARC
(10,13),-1.28233 # DEPENDENCYPART_ARC
(10,14),-1.03303 # DEPENDENCYPART_ARC
(10,15),-0.657049 # DEPENDENCYPART_ARC
(10,16),-0.774802 # DEPENDENCYPART_ARC
(10,17),-1.29725 # DEPENDENCYPART_ARC
(10,18),-0.694382 # DEPENDENCYPART_ARC
(10,19),-1.87383 # DEPENDENCYPART_ARC
(10,20),-1.56739 # DEPENDENCYPART_ARC
(10,21),-1.91652 # DEPENDENCYPART_ARC
(10,22),-1.57364 # DEPENDENCYPART_ARC
(10,23),-2.08453 # DEPENDENCYPART_ARC
(10,24),-1.50187 # DEPENDENCYPART_ARC
(10,25),-1.17225 # DEPENDENCYPART_ARC
(11,1),-1.23701 # DEPENDENCYPART_ARC
(11,6),-0.64474 # DEPENDENCYPART_ARC
(11,8),-0.404317 # DEPENDENCYPART_ARC
(11,14),-0.615634 # DEPENDENCYPART_ARC
(11,15),-0.452367 # DEPENDENCYPART_ARC
(11,18),-0.553328 # DEPENDENCYPART_ARC
(11,19),-1.30134 # DEPENDENCYPART_ARC
(11,21),-1.36948 # DEPENDENCYPART_ARC
(11,25),-0.730689 # DEPENDENCYPART_ARC
(12,1),-1.62436 # DEPENDENCYPART_ARC
(12,2),-0.764226 # DEPENDENCYPART_ARC
(12,3),1.64326 # DEPENDENCYPART_ARC
(12,4),-1.23112 # DEPENDENCYPART_ARC
(12,5),0.308966 # DEPENDENCYPART_ARC
(12,6),-1.15489 # DEPENDENCYPART_ARC
(12,7),-0.836907 # DEPENDENCYPART_ARC
(12,8),0.59791 # DEPENDENCYPART_ARC
(12,9),1.11783 # DEPENDENCYPART_ARC
(12,10),1.58755 # DEPENDENCYPART_ARC
(12,11),2.69849 # DEPENDENCYPART_ARC
(12,13),0.683446 # DEPENDENCYPART_ARC
(12,14),2.75819 # DEPENDENCYPART_ARC
(12,15),0.601898 # DEPENDENCYPART_ARC
(12,16),0.536638 # DEPENDENCYPART_ARC
(12,17),0.0780453 # DEPENDENCYPART_ARC
(12,18),0.162947 # DEPENDENCYPART_ARC
(12,19),-3.39691 # DEPENDENCYPART_ARC
(12,20),-1.84405 # DEPENDENCYPART_ARC
(12,21),-0.223634 # DEPENDENCYPART_ARC
(12,22),-2.1856 # DEPENDENCYPART_ARC
(12,23),-1.36094 # DEPENDENCYPART_ARC
(12,24),-0.816803 # DEPENDENCYPART_ARC
(12,25),-0.878971 # DEPENDENCYPART_ARC
(13,1),-2.08244 # DEPENDENCYPART_ARC
(13,2),-2.97677 # DEPENDENCYPART_ARC
(13,3),-2.25603 # DEPENDENCYPART_ARC
(13,4),-3.9984 # DEPENDENCYPART_ARC
(13,5),-1.04264 # DEPENDENCYPART_ARC
(13,6),-1.43513 # DEPENDENCYPART_ARC
(13,7),-1.05435 # DEPENDENCYPART_ARC
(13,8),-0.952508 # DEPENDENCYPART_ARC
(13,9),-0.721941 # DEPENDENCYPART_ARC
(13,10),-0.659397 # DEPENDENCYPART_ARC
(13,11),0.0599046 # DEPENDENCYPART_ARC
(13,12),-2.35413 # DEPENDENCYPART_ARC
(13,14),-0.364776 # DEPENDENCYPART_ARC
(13,15),-0.325044 # DEPENDENCYPART_ARC
(13,16),-0.133986 # DEPENDENCYPART_ARC
(13,17),-0.688849 # DEPENDENCYPART_ARC
(13,18),-0.625704 # DEPENDENCYPART_ARC
(13,19),-2.60386 # DEPENDENCYPART_ARC
(13,20),-1.54815 # DEPENDENCYPART_ARC
(13,21),-2.71171 # DEPENDENCYPART_ARC
(13,22),-2.06933 # DEPENDENCYPART_ARC
(13,23),-1.18446 # DEPENDENCYPART_ARC
(13,24),-1.38539 # DEPENDENCYPART_ARC
(13,25),-1.04897 # DEPENDENCYPART_ARC
(14,1),-0.578651 # DEPENDENCYPART_ARC
(14,2),-1.96092 # DEPENDENCYPART_ARC
(14,3),-2.34191 # DEPENDENCYPART_ARC
(14,4),-2.91535 # DEPENDENCYPART_ARC
(14,5),-0.182402 # DEPENDENCYPART_ARC
(14,6),0.384498 # DEPENDENCYPART_ARC
(14,7),-1.41037 # DEPENDENCYPART_ARC
(14,8),-0.130023 # DEPENDENCYPART_ARC
(14,9),-0.269963 # DEPENDENCYPART_ARC
(14,10),-0.202633 # DEPENDENCYPART_ARC
(14,11),0.0157189 # DEPENDENCYPART_ARC
(14,12),-1.16004 # DEPENDENCYPART_ARC
(14,13),3.44115 # DEPENDENCYPART_ARC
(14,15),0.390139 # DEPENDENCYPART_ARC
(14,16),0.469774 # DEPENDENCYPART_ARC
(14,17),-0.311226 # DEPENDENCYPART_ARC
(14,18),-0.452683 # DEPENDENCYPART_ARC
(14,19),-1.70439 # DEPENDENCYPART_ARC
(14,20),-1.36984 # DEPENDENCYPART_ARC
(14,21),-1.78377 # DEPENDENCYPART_ARC
(14,22),-1.39565 # DEPENDENCYPART_ARC
(14,23),-1.31825 # DEPENDENCYPART_ARC
(14,24),-1.30205 # DEPENDENCYPART_ARC
(14,25),-1.01327 # DEPENDENCYPART_ARC
(15,2),-1.16252 # DEPENDENCYPART_ARC
(15,3),-0.891022 # DEPENDENCYPART_ARC
(15,4),-0.344241 # DEPENDENCYPART_ARC
(15,5),-0.209783 # DEPENDENCYPART_ARC
(15,7),-0.942402 # DEPENDENCYPART_ARC
(15,8),-0.167685 # DEPENDENCYPART_ARC
(15,10),-0.565444 # DEPENDENCYPART_ARC
(15,12),-0.150939 # DEPENDENCYPART_ARC
(15,13),-0.017012 # DEPENDENCYPART_ARC
(15,14),0.118698 # DEPENDENCYPART_ARC
(15,16),0.00466431 # DEPENDENCYPART_ARC
(15,17),-0.494567 # DEPENDENCYPART_ARC
(15,18),0.101547 # DEPENDENCYPART_ARC
(15,20),-0.71301 # DEPENDENCYPART_ARC
(15,21),-0.81361 # DEPENDENCYPART_ARC
(15,22),-0.757723 # DEPENDENCYPART_ARC
(15,23),-1.11331 # DEPENDENCYPART_ARC
(15,24),-1.06694 # DEPENDENCYPART_ARC
(15,25),-0.664818 # DEPENDENCYPART_ARC
(16,1),-0.607436 # DEPENDENCYPART_ARC
(16,2),-0.402492 # DEPENDENCYPART_ARC
(16,3),0.272003 # DEPENDENCYPART_ARC
(16,4),0.528721 # DEPENDENCYPART_ARC
(16,5),0.475909 # DEPENDENCYPART_ARC
(16,6),-0.421236 # DEPENDENCYPART_ARC
(16,7),0.0936599 # DEPENDENCYPART_ARC
(16,8),0.395506 # DEPENDENCYPART_ARC
(16,9),0.246343 # DEPENDENCYPART_ARC
(16,10),0.415417 # DEPENDENCYPART_ARC
(16,11),0.173738 # DEPENDENCYPART_ARC
(16,12),1.25511 # DEPENDENCYPART_ARC
(16,13),0.596705 # DEPENDENCYPART_ARC
(16,14),0.113217 # DEPENDENCYPART_ARC
(16,15),1.62323 # DEPENDENCYPART_ARC
(16,17),0.91574 # DEPENDENCYPART_ARC
(16,18),1.09458 # DEPENDENCYPART_ARC
(16,19),-0.24743 # DEPENDENCYPART_ARC
(16,20),0.538679 # DEPENDENCYPART_ARC
(16,21),0.137934 # DEPENDENCYPART_ARC
(16,22),1.44852 # DEPENDENCYPART_ARC
(16,23),-0.222033 # DEPENDENCYPART_ARC
(16,24),-0.339862 # DEPENDENCYPART_ARC
(16,25),0.341211 # DEPENDENCYPART_ARC
(17,1),-0.708624 # DEPENDENCYPART_ARC
(17,2),-0.872766 # DEPENDENCYPART_ARC
(17,3),-0.931954 # DEPENDENCYPART_ARC
(17,4),-0.475445 # DEPENDENCYPART_ARC
(17,5),-0.167431 # DEPENDENCYPART_ARC
(17,6),-0.58523 # DEPENDENCYPART_ARC
(17,7),-0.656152 # DEPENDENCYPART_ARC
(17,8),0.146618 # DEPENDENCYPART_ARC
(17,9),-0.0645122 # DEPENDENCYPART_ARC
(17,10),0.0830679 # DEPENDENCYPART_ARC
(17,11),0.0218777 # DEPENDENCYPART_ARC
(17,12),-0.237597 # DEPENDENCYPART_ARC
(17,13),-0.271709 # DEPENDENCYPART_ARC
(17,14),0.031182 # DEPENDENCYPART_ARC
(17,15),0.846198 # DEPENDENCYPART_ARC
(17,16),0.838543 # DEPENDENCYPART_ARC
(17,18),0.43443 # DEPENDENCYPART_ARC
(17,19),-0.421481 # DEPENDENCYPART_ARC
(17,20),-0.367674 # DEPENDENCYPART_ARC
(17,21),-0.452221 # DEPENDENCYPART_ARC
(17,22),-0.521411 # DEPENDENCYPART_ARC
(17,23),-1.47095 # DEPENDENCYPART_ARC
(17,24),-1.31361 # DEPENDENCYPART_ARC
(17,25),-0.929095 # DEPENDENCYPART_ARC
(18,2),-0.715242 # DEPENDENCYPART_ARC
(18,3),-0.814825 # DEPENDENCYPART_ARC
(18,4),-0.31597 # DEPENDENCYPART_ARC
(18,5),-0.231398 # DEPENDENCYPART_ARC
(18,7),-1.1043 # DEPENDENCYPART_ARC
(18,8),-0.147096 # DEPENDENCYPART_ARC
(18,10),-0.445631 # DEPENDENCYPART_ARC
(18,12),-0.180522 # DEPENDENCYPART_ARC
(18,13),-0.456598 # DEPENDENCYPART_ARC
(18,14),0.0362427 # DEPENDENCYPART_ARC
(18,15),0.200848 # DEPENDENCYPART_ARC
(18,16),-0.0416077 # DEPENDENCYPART_ARC
(18,17),0.373382 # DEPENDENCYPART_ARC
(18,20),-0.0486333 # DEPENDENCYPART_ARC
(18,21),-0.0343574 # DEPENDENCYPART_ARC
(18,22),-0.221778 # DEPENDENCYPART_ARC
(18,23),-0.824324 # DEPENDENCYPART_ARC
(18,24),-0.741187 # DEPENDENCYPART_ARC
(18,25),-0.411412 # DEPENDENCYPART_ARC
(19,5),-1.34457 # DEPENDENCYPART_ARC
(19,10),-1.55559 # DEPENDENCYPART_ARC
(19,14),-1.72143 # DEPENDENCYPART_ARC
(19,16),-0.69092 # DEPENDENCYPART_ARC
(19,17),-0.756807 # DEPENDENCYPART_ARC
(19,21),0.014063 # DEPENDENCYPART_ARC
(19,24),-0.902094 # DEPENDENCYPART_ARC
(20,1),-2.68067 # DEPENDENCYPART_ARC
(20,2),-2.87147 # DEPENDENCYPART_ARC
(20,3),-2.62099 # DEPENDENCYPART_ARC
(20,4),-4.67367 # DEPENDENCYPART_ARC
(20,5),-1.20939 # DEPENDENCYPART_ARC
(20,6),-2.18451 # DEPENDENCYPART_ARC
(20,7),-1.69793 # DEPENDENCYPART_ARC
(20,8),-1.33752 # DEPENDENCYPART_ARC
(20,9),-1.24343 # DEPENDENCYPART_ARC
(20,10),-1.36773 # DEPENDENCYPART_ARC
(20,11),-1.07526 # DEPENDENCYPART_ARC
(20,12),-4.49432 # DEPENDENCYPART_ARC
(20,13),-1.56853 # DEPENDENCYPART_ARC
(20,14),-1.89978 # DEPENDENCYPART_ARC
(20,15),-0.90318 # DEPENDENCYPART_ARC
(20,16),-0.693756 # DEPENDENCYPART_ARC
(20,17),-0.33461 # DEPENDENCYPART_ARC
(20,18),-0.234677 # DEPENDENCYPART_ARC
(20,19),1.2162 # DEPENDENCYPART_ARC
(20,21),0.0628104 # DEPENDENCYPART_ARC
(20,22),-1.24089 # DEPENDENCYPART_ARC
(20,23),-0.819614 # DEPENDENCYPART_ARC
(20,24),-1.08771 # DEPENDENCYPART_ARC
(20,25),-0.951034 # DEPENDENCYPART_ARC
(21,1),-2.17246 # DEPENDENCYPART_ARC
(21,2),-3.05497 # DEPENDENCYPART_ARC
(21,3),-3.92198 # DEPENDENCYPART_ARC
(21,4),-3.24261 # DEPENDENCYPART_ARC
(21,5),-0.746838 # DEPENDENCYPART_ARC
(21,6),-1.66581 # DEPENDENCYPART_ARC
(21,7),-2.19522 # DEPENDENCYPART_ARC
(21,8),-0.661733 # DEPENDENCYPART_ARC
(21,9),-1.14338 # DEPENDENCYPART_ARC
(21,10),-0.773258 # DEPENDENCYPART_ARC
(21,11),-1.08972 # DEPENDENCYPART_ARC
(21,12),-2.93293 # DEPENDENCYPART_ARC
(21,13),-0.146056 # DEPENDENCYPART_ARC
(21,14),-1.65108 # DEPENDENCYPART_ARC
(21,15),-0.613221 # DEPENDENCYPART_ARC
(21,16),-0.0938137 # DEPENDENCYPART_ARC
(21,17),-0.155272 # DEPENDENCYPART_ARC
(21,18),0.0367868 # DEPENDENCYPART_ARC
(21,19),3.53323 # DEPENDENCYPART_ARC
(21,20),3.68821 # DEPENDENCYPART_ARC
(21,22),-0.443097 # DEPENDENCYPART_ARC
(21,23),-0.350827 # DEPENDENCYPART_ARC
(21,24),-0.875579 # DEPENDENCYPART_ARC
(21,25),-0.800089 # DEPENDENCYPART_ARC
(22,1),-2.23426 # DEPENDENCYPART_ARC
(22,2),-1.93713 # DEPENDENCYPART_ARC
(22,3),0.0664188 # DEPENDENCYPART_ARC
(22,4),-1.88297 # DEPENDENCYPART_ARC
(22,5),0.259024 # DEPENDENCYPART_ARC
(22,6),-1.90641 # DEPENDENCYPART_ARC
(22,7),-2.35154 # DEPENDENCYPART_ARC
(22,8),-0.281726 # DEPENDENCYPART_ARC
(22,9),-0.580075 # DEPENDENCYPART_ARC
(22,10),0.0145076 # DEPENDENCYPART_ARC
(22,11),0.188096 # DEPENDENCYPART_ARC
(22,12),-1.71417 # DEPENDENCYPART_ARC
(22,13),-1.3872 # DEPENDENCYPART_ARC
(22,14),-0.0369398 # DEPENDENCYPART_ARC
(22,15),0.298453 # DEPENDENCYPART_ARC
(22,16),0.449723 # DEPENDENCYPART_ARC
(22,17),0.865095 # DEPENDENCYPART_ARC
(22,18),1.13898 # DEPENDENCYPART_ARC
(22,19),-0.0140255 # DEPENDENCYPART_ARC
(22,20),-0.192292 # DEPENDENCYPART_ARC
(22,21),2.45585 # DEPENDENCYPART_ARC
(22,23),1.79431 # DEPENDENCYPART_ARC
(22,24),0.82787 # DEPENDENCYPART_ARC
(22,25),0.450466 # DEPENDENCYPART_ARC
(23,1),-1.43375 # DEPENDENCYPART_ARC
(23,2),-1.92177 # DEPENDENCYPART_ARC
(23,3),-1.50376 # DEPENDENCYPART_ARC
(23,4),-1.37001 # DEPENDENCYPART_ARC
(23,5),-0.758728 # DEPENDENCYPART_ARC
(23,6),-1.18829 # DEPENDENCYPART_ARC
(23,7),-1.56655 # DEPENDENCYPART_ARC
(23,8),-0.72704 # DEPENDENCYPART_ARC
(23,9),-0.886984 # DEPENDENCYPART_ARC
(23,10),-0.845465 # DEPENDENCYPART_ARC
(23,11),-0.95846 # DEPENDENCYPART_ARC
(23,12),-1.24414 # DEPENDENCYPART_ARC
(23,13),-1.42405 # DEPENDENCYPART_ARC
(23,14),-1.48498 # DEPENDENCYPART_ARC
(23,15),-0.449312 # DEPENDENCYPART_ARC
(23,16),-0.576625 # DEPENDENCYPART_ARC
(23,17),-0.583101 # DEPENDENCYPART_ARC
(23,18),-0.52201 # DEPENDENCYPART_ARC
(23,19),-0.522288 # DEPENDENCYPART_ARC
(23,20),-0.76734 # DEPENDENCYPART_ARC
(23,21),-0.877053 # DEPENDENCYPART_ARC
(23,22),0.15448 # DEPENDENCYPART_ARC
(23,24),1.81954 # DEPENDENCYPART_ARC
(23,25),0.541259 # DEPENDENCYPART_ARC
(24,1),-1.97324 # DEPENDENCYPART_ARC
(24,2),-2.01922 # DEPENDENCYPART_ARC
(24,3),-1.99576 # DEPENDENCYPART_ARC
(24,4),-1.28915 # DEPENDENCYPART_ARC
(24,5),-1.28788 # DEPENDENCYPART_ARC
(24,6),-1.72754 # DEPENDENCYPART_ARC
(24,7),-1.81895 # DEPENDENCYPART_ARC
(24,8),-1.05572 # DEPENDENCYPART_ARC
(24,9),-1.20205 # DEPENDENCYPART_ARC
(24,10),-1.15432 # DEPENDENCYPART_ARC
(24,11),-1.25991 # DEPENDENCYPART_ARC
(24,12),-1.33256 # DEPENDENCYPART_ARC
(24,13),-1.86009 # DEPENDENCYPART_ARC
(24,14),-1.59817 # DEPENDENCYPART_ARC
(24,15),-0.906823 # DEPENDENCYPART_ARC
(24,16),-1.16608 # DEPENDENCYPART_ARC
(24,17),-0.955597 # DEPENDENCYPART_ARC
(24,18),-0.957841 # DEPENDENCYPART_ARC
(24,19),-0.977073 # DEPENDENCYPART_ARC
(24,20),-1.26569 # DEPENDENCYPART_ARC
(24,21),-0.953305 # DEPENDENCYPART_ARC
(24,22),-0.688823 # DEPENDENCYPART_ARC
(24,23),0.410676 # DEPENDENCYPART_ARC
(24,25),0.245257 # DEPENDENCYPART_ARC
(25,2),-3.61068 # DEPENDENCYPART_ARC
(25,3),-2.77001 # DEPENDENCYPART_ARC
(25,4),-2.99295 # DEPENDENCYPART_ARC
(25,5),-2.3856 # DEPENDENCYPART_ARC
(25,7),-3.04099 # DEPENDENCYPART_ARC
(25,8),-2.06387 # DEPENDENCYPART_ARC
(25,10),-2.28365 # DEPENDENCYPART_ARC
(25,12),-2.71082 # DEPENDENCYPART_ARC
(25,13),-2.77199 # DEPENDENCYPART_ARC
(25,14),-3.0602 # DEPENDENCYPART_ARC
(25,15),-2.42043 # DEPENDENCYPART_ARC
(25,16),-2.19574 # DEPENDENCYPART_ARC
(25,17),-2.28954 # DEPENDENCYPART_ARC
(25,18),-2.26808 # DEPENDENCYPART_ARC
(25,20),-2.51594 # DEPENDENCYPART_ARC
(25,21),-2.65703 # DEPENDENCYPART_ARC
(25,22),-2.11773 # DEPENDENCYPART_ARC
(25,23),-1.65531 # DEPENDENCYPART_ARC
(25,24),-1.45198 # DEPENDENCYPART_ARC
