# _root_ Σημειώνεται πάντως ότι το " νέο , ευέλικτο Σύμφωνο Σταθερότητας " δίνει μεγαλύτερη έμφαση στο δημόσιο χρέος , κάτι το οποίο δεν ευνοεί χώρες όπως η Ελλάδα .
#goldHeads=0,1,1,9,9,7,9,7,12,9,9,3,14,12,12,17,15,12,3,21,23,23,19,23,24,27,24,0,
#predictedHeads=0,1,1,6,6,7,12,9,7,9,12,3,14,12,12,17,15,12,21,21,23,23,14,23,24,27,23,0,
(5,16),-1.52393 # DEPENDENCYPART_ARC
(5,17),-2.01397 # DEPENDENCYPART_ARC
(5,18),-1.33224 # DEPENDENCYPART_ARC
(5,19),-2.32479 # DEPENDENCYPART_ARC
(5,21),-2.51942 # DEPENDENCYPART_ARC
(5,23),-1.41301 # DEPENDENCYPART_ARC
(5,24),-2.37875 # DEPENDENCYPART_ARC
(5,25),-1.55738 # DEPENDENCYPART_ARC
(5,27),-2.48045 # DEPENDENCYPART_ARC
(5,28),-1.83463 # DEPENDENCYPART_ARC
(6,1),-3.93371 # DEPENDENCYPART_ARC
(6,2),-0.132507 # DEPENDENCYPART_ARC
(6,3),-0.295632 # DEPENDENCYPART_ARC
(6,4),1.12422 # DEPENDENCYPART_ARC
(6,5),1.01174 # DEPENDENCYPART_ARC
(6,7),0.717595 # DEPENDENCYPART_ARC
(6,8),0.0900884 # DEPENDENCYPART_ARC
(6,9),-0.207233 # DEPENDENCYPART_ARC
(6,10),0.407916 # DEPENDENCYPART_ARC
(6,11),0.173568 # DEPENDENCYPART_ARC
(6,12),-1.53886 # DEPENDENCYPART_ARC
(6,13),-1.88054 # DEPENDENCYPART_ARC
(6,14),-1.68615 # DEPENDENCYPART_ARC
(6,15),-1.81694 # DEPENDENCYPART_ARC
(6,16),-1.46699 # DEPENDENCYPART_ARC
(6,17),-2.16914 # DEPENDENCYPART_ARC
(6,18),-0.652169 # DEPENDENCYPART_ARC
(6,19),-2.51979 # DEPENDENCYPART_ARC
(6,20),-2.87314 # DEPENDENCYPART_ARC
(6,21),-2.48775 # DEPENDENCYPART_ARC
(6,22),-1.21532 # DEPENDENCYPART_ARC
(6,23),-2.38928 # DEPENDENCYPART_ARC
(6,24),-2.48012 # DEPENDENCYPART_ARC
(6,25),-0.831361 # DEPENDENCYPART_ARC
(6,26),-2.5471 # DEPENDENCYPART_ARC
(6,27),-3.20577 # DEPENDENCYPART_ARC
(6,28),-1.02125 # DEPENDENCYPART_ARC
(7,1),0.0509756 # DEPENDENCYPART_ARC
(7,2),0.0259363 # DEPENDENCYPART_ARC
(7,3),0.194222 # DEPENDENCYPART_ARC
(7,5),0.530023 # DEPENDENCYPART_ARC
(7,6),0.924015 # DEPENDENCYPART_ARC
(7,8),1.26651 # DEPENDENCYPART_ARC
(7,9),0.403342 # DEPENDENCYPART_ARC
(7,10),0.44644 # DEPENDENCYPART_ARC
(7,11),0.660934 # DEPENDENCYPART_ARC
(7,12),0.0199401 # DEPENDENCYPART_ARC
(7,13),-0.417061 # DEPENDENCYPART_ARC
(7,14),-1.21186 # DEPENDENCYPART_ARC
(7,15),-0.502664 # DEPENDENCYPART_ARC
(7,16),-0.514898 # DEPENDENCYPART_ARC
(7,17),-1.0334 # DEPENDENCYPART_ARC
(7,18),0.0291633 # DEPENDENCYPART_ARC
(7,19),-1.6434 # DEPENDENCYPART_ARC
(7,21),-1.66384 # DEPENDENCYPART_ARC
(7,23),-0.912565 # DEPENDENCYPART_ARC
(7,24),-1.5191 # DEPENDENCYPART_ARC
(7,25),-0.569705 # DEPENDENCYPART_ARC
(7,27),-1.56253 # DEPENDENCYPART_ARC
(7,28),-0.546619 # DEPENDENCYPART_ARC
(8,1),-4.43681 # DEPENDENCYPART_ARC
(8,2),-0.559701 # DEPENDENCYPART_ARC
(8,3),-0.718043 # DEPENDENCYPART_ARC
(8,4),0.0308829 # DEPENDENCYPART_ARC
(8,5),-0.300891 # DEPENDENCYPART_ARC
(8,6),0.235543 # DEPENDENCYPART_ARC
(8,7),0.220349 # DEPENDENCYPART_ARC
(8,9),0.646146 # DEPENDENCYPART_ARC
(8,10),0.961247 # DEPENDENCYPART_ARC
(8,11),0.262327 # DEPENDENCYPART_ARC
(8,12),-1.29898 # DEPENDENCYPART_ARC
(8,13),-1.71911 # DEPENDENCYPART_ARC
(8,14),-1.82071 # DEPENDENCYPART_ARC
(8,15),-1.80253 # DEPENDENCYPART_ARC
(8,16),-1.43419 # DEPENDENCYPART_ARC
(8,17),-2.22976 # DEPENDENCYPART_ARC
(8,18),-0.722979 # DEPENDENCYPART_ARC
(8,19),-2.74913 # DEPENDENCYPART_ARC
(8,20),-2.73469 # DEPENDENCYPART_ARC
(8,21),-2.83783 # DEPENDENCYPART_ARC
(8,22),-1.31763 # DEPENDENCYPART_ARC
(8,23),-2.40235 # DEPENDENCYPART_ARC
(8,24),-2.89084 # DEPENDENCYPART_ARC
(8,25),-1.08952 # DEPENDENCYPART_ARC
(8,26),-2.49068 # DEPENDENCYPART_ARC
(8,27),-3.18245 # DEPENDENCYPART_ARC
(8,28),-1.07836 # DEPENDENCYPART_ARC
(9,1),-2.27505 # DEPENDENCYPART_ARC
(9,2),-0.481937 # DEPENDENCYPART_ARC
(9,3),-0.499938 # DEPENDENCYPART_ARC
(9,4),1.11751 # DEPENDENCYPART_ARC
(9,5),0.553999 # DEPENDENCYPART_ARC
(9,6),0.112213 # DEPENDENCYPART_ARC
(9,7),0.756298 # DEPENDENCYPART_ARC
(9,8),3.11508 # DEPENDENCYPART_ARC
(9,10),3.16661 # DEPENDENCYPART_ARC
(9,11),0.680074 # DEPENDENCYPART_ARC
(9,12),0.0153642 # DEPENDENCYPART_ARC
(9,13),-0.155459 # DEPENDENCYPART_ARC
(9,14),-0.6939 # DEPENDENCYPART_ARC
(9,15),-0.733414 # DEPENDENCYPART_ARC
(9,16),-1.07073 # DEPENDENCYPART_ARC
(9,17),-1.77245 # DEPENDENCYPART_ARC
(9,18),-0.128263 # DEPENDENCYPART_ARC
(9,19),-2.67807 # DEPENDENCYPART_ARC
(9,20),-1.58792 # DEPENDENCYPART_ARC
(9,21),-3.02152 # DEPENDENCYPART_ARC
(9,22),-1.30267 # DEPENDENCYPART_ARC
(9,23),-1.02807 # DEPENDENCYPART_ARC
(9,24),-2.55747 # DEPENDENCYPART_ARC
(9,25),-0.511875 # DEPENDENCYPART_ARC
(9,26),-1.70238 # DEPENDENCYPART_ARC
(9,27),-2.66929 # DEPENDENCYPART_ARC
(9,28),-0.135711 # DEPENDENCYPART_ARC
(10,1),-1.54977 # DEPENDENCYPART_ARC
(10,2),-0.676761 # DEPENDENCYPART_ARC
(10,3),-0.573173 # DEPENDENCYPART_ARC
(10,4),-0.534564 # DEPENDENCYPART_ARC
(10,5),0.548986 # DEPENDENCYPART_ARC
(10,6),-1.96369 # DEPENDENCYPART_ARC
(10,7),0.174903 # DEPENDENCYPART_ARC
(10,8),-0.080638 # DEPENDENCYPART_ARC
(10,9),0.507914 # DEPENDENCYPART_ARC
(10,11),0.463178 # DEPENDENCYPART_ARC
(10,12),-0.943667 # DEPENDENCYPART_ARC
(10,13),-1.37682 # DEPENDENCYPART_ARC
(10,14),-1.59786 # DEPENDENCYPART_ARC
(10,15),-1.14404 # DEPENDENCYPART_ARC
(10,16),-2.53705 # DEPENDENCYPART_ARC
(10,17),-2.54491 # DEPENDENCYPART_ARC
(10,18),-0.71897 # DEPENDENCYPART_ARC
(10,19),-3.67208 # DEPENDENCYPART_ARC
(10,20),-2.25968 # DEPENDENCYPART_ARC
(10,21),-3.97848 # DEPENDENCYPART_ARC
(10,22),-1.96343 # DEPENDENCYPART_ARC
(10,23),-1.92582 # DEPENDENCYPART_ARC
(10,24),-3.3389 # DEPENDENCYPART_ARC
(10,25),-1.26307 # DEPENDENCYPART_ARC
(10,26),-2.43971 # DEPENDENCYPART_ARC
(10,27),-4.01588 # DEPENDENCYPART_ARC
(10,28),-0.788361 # DEPENDENCYPART_ARC
(11,1),-1.30972 # DEPENDENCYPART_ARC
(11,2),-0.879754 # DEPENDENCYPART_ARC
(11,3),-0.971835 # DEPENDENCYPART_ARC
(11,5),-0.69992 # DEPENDENCYPART_ARC
(11,6),-1.22323 # DEPENDENCYPART_ARC
(11,7),-0.60308 # DEPENDENCYPART_ARC
(11,8),-0.876746 # DEPENDENCYPART_ARC
(11,9),-0.941157 # DEPENDENCYPART_ARC
(11,10),-0.64102 # DEPENDENCYPART_ARC
(11,12),-0.41561 # DEPENDENCYPART_ARC
(11,13),-1.31261 # DEPENDENCYPART_ARC
(11,14),-1.36877 # DEPENDENCYPART_ARC
(11,15),-1.37487 # DEPENDENCYPART_ARC
(11,16),-1.70719 # DEPENDENCYPART_ARC
(11,17),-1.8062 # DEPENDENCYPART_ARC
(11,18),-1.14366 # DEPENDENCYPART_ARC
(11,19),-2.48743 # DEPENDENCYPART_ARC
(11,21),-2.44605 # DEPENDENCYPART_ARC
(11,23),-1.79783 # DEPENDENCYPART_ARC
(11,24),-2.38793 # DEPENDENCYPART_ARC
(11,25),-1.66616 # DEPENDENCYPART_ARC
(11,27),-2.43714 # DEPENDENCYPART_ARC
(11,28),-1.60548 # DEPENDENCYPART_ARC
(12,1),-1.55795 # DEPENDENCYPART_ARC
(12,2),-0.0243554 # DEPENDENCYPART_ARC
(12,3),0.455028 # DEPENDENCYPART_ARC
(12,4),-0.44641 # DEPENDENCYPART_ARC
(12,5),0.601801 # DEPENDENCYPART_ARC
(12,6),-1.05622 # DEPENDENCYPART_ARC
(12,7),0.963254 # DEPENDENCYPART_ARC
(12,8),-0.637091 # DEPENDENCYPART_ARC
(12,9),0.0642151 # DEPENDENCYPART_ARC
(12,10),-0.978692 # DEPENDENCYPART_ARC
(12,11),1.41298 # DEPENDENCYPART_ARC
(12,13),1.29424 # DEPENDENCYPART_ARC
(12,14),3.77854 # DEPENDENCYPART_ARC
(12,15),1.64596 # DEPENDENCYPART_ARC
(12,16),-0.945986 # DEPENDENCYPART_ARC
(12,17),1.45752 # DEPENDENCYPART_ARC
(12,18),0.962444 # DEPENDENCYPART_ARC
(12,19),-0.685153 # DEPENDENCYPART_ARC
(12,20),-2.68461 # DEPENDENCYPART_ARC
(12,21),-1.04955 # DEPENDENCYPART_ARC
(12,22),-0.0157058 # DEPENDENCYPART_ARC
(12,23),-1.30559 # DEPENDENCYPART_ARC
(12,24),-0.68308 # DEPENDENCYPART_ARC
(12,25),-0.337808 # DEPENDENCYPART_ARC
(12,26),-2.8821 # DEPENDENCYPART_ARC
(12,27),-0.786586 # DEPENDENCYPART_ARC
(12,28),0.405905 # DEPENDENCYPART_ARC
(13,1),-3.83037 # DEPENDENCYPART_ARC
(13,2),-0.55738 # DEPENDENCYPART_ARC
(13,3),-0.82971 # DEPENDENCYPART_ARC
(13,4),-0.327325 # DEPENDENCYPART_ARC
(13,5),-0.733789 # DEPENDENCYPART_ARC
(13,6),-0.621098 # DEPENDENCYPART_ARC
(13,7),-0.886801 # DEPENDENCYPART_ARC
(13,8),-0.545576 # DEPENDENCYPART_ARC
(13,9),-1.32 # DEPENDENCYPART_ARC
(13,10),-2.09639 # DEPENDENCYPART_ARC
(13,11),0.122489 # DEPENDENCYPART_ARC
(13,12),-2.02869 # DEPENDENCYPART_ARC
(13,14),0.212809 # DEPENDENCYPART_ARC
(13,15),0.180263 # DEPENDENCYPART_ARC
(13,16),-0.865379 # DEPENDENCYPART_ARC
(13,17),-1.42986 # DEPENDENCYPART_ARC
(13,18),-0.513761 # DEPENDENCYPART_ARC
(13,19),-2.35243 # DEPENDENCYPART_ARC
(13,20),-2.14229 # DEPENDENCYPART_ARC
(13,21),-2.49025 # DEPENDENCYPART_ARC
(13,22),-1.03512 # DEPENDENCYPART_ARC
(13,23),-2.62343 # DEPENDENCYPART_ARC
(13,24),-2.64057 # DEPENDENCYPART_ARC
(13,25),-1.31469 # DEPENDENCYPART_ARC
(13,26),-2.38178 # DEPENDENCYPART_ARC
(13,27),-3.27849 # DEPENDENCYPART_ARC
(13,28),-1.03207 # DEPENDENCYPART_ARC
(14,1),-2.69382 # DEPENDENCYPART_ARC
(14,2),-0.828027 # DEPENDENCYPART_ARC
(14,3),-0.911657 # DEPENDENCYPART_ARC
(14,4),-1.12958 # DEPENDENCYPART_ARC
(14,5),0.0327117 # DEPENDENCYPART_ARC
(14,6),-2.25161 # DEPENDENCYPART_ARC
(14,7),-0.510478 # DEPENDENCYPART_ARC
(14,8),-0.733043 # DEPENDENCYPART_ARC
(14,9),-0.629826 # DEPENDENCYPART_ARC
(14,10),-0.72616 # DEPENDENCYPART_ARC
(14,11),0.404225 # DEPENDENCYPART_ARC
(14,12),-1.18108 # DEPENDENCYPART_ARC
(14,13),3.59909 # DEPENDENCYPART_ARC
(14,15),1.35775 # DEPENDENCYPART_ARC
(14,16),-0.324935 # DEPENDENCYPART_ARC
(14,17),-0.322448 # DEPENDENCYPART_ARC
(14,18),0.233524 # DEPENDENCYPART_ARC
(14,19),-1.7052 # DEPENDENCYPART_ARC
(14,20),-1.39082 # DEPENDENCYPART_ARC
(14,21),-2.21174 # DEPENDENCYPART_ARC
(14,22),-0.871405 # DEPENDENCYPART_ARC
(14,23),0.481287 # DEPENDENCYPART_ARC
(14,24),-2.34988 # DEPENDENCYPART_ARC
(14,25),-0.468162 # DEPENDENCYPART_ARC
(14,26),-1.80675 # DEPENDENCYPART_ARC
(14,27),-3.08717 # DEPENDENCYPART_ARC
(14,28),-0.245745 # DEPENDENCYPART_ARC
(15,1),-2.80515 # DEPENDENCYPART_ARC
(15,2),-1.19384 # DEPENDENCYPART_ARC
(15,3),-1.20289 # DEPENDENCYPART_ARC
(15,5),-1.09207 # DEPENDENCYPART_ARC
(15,6),-1.56979 # DEPENDENCYPART_ARC
(15,7),-0.985779 # DEPENDENCYPART_ARC
(15,8),-1.07524 # DEPENDENCYPART_ARC
(15,9),-2.09625 # DEPENDENCYPART_ARC
(15,10),-2.42265 # DEPENDENCYPART_ARC
(15,11),-0.761259 # DEPENDENCYPART_ARC
(15,12),-2.23129 # DEPENDENCYPART_ARC
(15,13),-0.526281 # DEPENDENCYPART_ARC
(15,14),-1.46044 # DEPENDENCYPART_ARC
(15,16),1.63756 # DEPENDENCYPART_ARC
(15,17),2.9302 # DEPENDENCYPART_ARC
(15,18),0.181863 # DEPENDENCYPART_ARC
(15,19),0.289039 # DEPENDENCYPART_ARC
(15,21),0.17009 # DEPENDENCYPART_ARC
(15,23),-2.36378 # DEPENDENCYPART_ARC
(15,24),-1.8677 # DEPENDENCYPART_ARC
(15,25),-1.14329 # DEPENDENCYPART_ARC
(15,27),-3.13876 # DEPENDENCYPART_ARC
(15,28),-1.08064 # DEPENDENCYPART_ARC
(16,1),-5.5877 # DEPENDENCYPART_ARC
(16,2),-1.95997 # DEPENDENCYPART_ARC
(16,3),-1.98784 # DEPENDENCYPART_ARC
(16,4),-1.97084 # DEPENDENCYPART_ARC
(16,5),-1.86224 # DEPENDENCYPART_ARC
(16,6),-2.40913 # DEPENDENCYPART_ARC
(16,7),-1.93317 # DEPENDENCYPART_ARC
(16,8),-2.5633 # DEPENDENCYPART_ARC
(16,9),-1.759 # DEPENDENCYPART_ARC
(16,10),-3.30139 # DEPENDENCYPART_ARC
(16,11),-1.55555 # DEPENDENCYPART_ARC
(16,12),-5.01304 # DEPENDENCYPART_ARC
(16,13),-1.18052 # DEPENDENCYPART_ARC
(16,14),-1.5359 # DEPENDENCYPART_ARC
(16,15),-0.731371 # DEPENDENCYPART_ARC
(16,17),0.556999 # DEPENDENCYPART_ARC
(16,18),-0.377704 # DEPENDENCYPART_ARC
(16,19),-1.64752 # DEPENDENCYPART_ARC
(16,20),-2.10244 # DEPENDENCYPART_ARC
(16,21),-2.02624 # DEPENDENCYPART_ARC
(16,22),-0.927621 # DEPENDENCYPART_ARC
(16,23),-1.68016 # DEPENDENCYPART_ARC
(16,24),-2.23874 # DEPENDENCYPART_ARC
(16,25),-1.13323 # DEPENDENCYPART_ARC
(16,26),-2.44566 # DEPENDENCYPART_ARC
(16,27),-2.71838 # DEPENDENCYPART_ARC
(16,28),-1.11738 # DEPENDENCYPART_ARC
(17,1),-2.78121 # DEPENDENCYPART_ARC
(17,2),-1.06384 # DEPENDENCYPART_ARC
(17,3),-1.30551 # DEPENDENCYPART_ARC
(17,4),-0.955868 # DEPENDENCYPART_ARC
(17,5),-0.213028 # DEPENDENCYPART_ARC
(17,6),-1.92933 # DEPENDENCYPART_ARC
(17,7),-0.588676 # DEPENDENCYPART_ARC
(17,8),-0.399264 # DEPENDENCYPART_ARC
(17,9),-0.787617 # DEPENDENCYPART_ARC
(17,10),-1.91132 # DEPENDENCYPART_ARC
(17,11),-0.327252 # DEPENDENCYPART_ARC
(17,12),-2.48547 # DEPENDENCYPART_ARC
(17,13),0.669447 # DEPENDENCYPART_ARC
(17,14),-0.779533 # DEPENDENCYPART_ARC
(17,15),0.205456 # DEPENDENCYPART_ARC
(17,16),3.68776 # DEPENDENCYPART_ARC
(17,18),0.0447353 # DEPENDENCYPART_ARC
(17,19),-0.672133 # DEPENDENCYPART_ARC
(17,20),-1.068 # DEPENDENCYPART_ARC
(17,21),-1.87365 # DEPENDENCYPART_ARC
(17,22),-1.15734 # DEPENDENCYPART_ARC
(17,23),0.176287 # DEPENDENCYPART_ARC
(17,24),-2.25229 # DEPENDENCYPART_ARC
(17,25),-1.01802 # DEPENDENCYPART_ARC
(17,26),-2.08762 # DEPENDENCYPART_ARC
(17,27),-2.25278 # DEPENDENCYPART_ARC
(17,28),-1.03973 # DEPENDENCYPART_ARC
(18,1),-0.966554 # DEPENDENCYPART_ARC
(18,2),-0.648937 # DEPENDENCYPART_ARC
(18,3),-0.573032 # DEPENDENCYPART_ARC
(18,5),-0.046382 # DEPENDENCYPART_ARC
(18,6),-0.97544 # DEPENDENCYPART_ARC
(18,7),0.118186 # DEPENDENCYPART_ARC
(18,8),-0.924967 # DEPENDENCYPART_ARC
(18,9),-0.020272 # DEPENDENCYPART_ARC
(18,10),-0.359231 # DEPENDENCYPART_ARC
(18,11),-0.17599 # DEPENDENCYPART_ARC
(18,12),-0.455205 # DEPENDENCYPART_ARC
(18,13),-0.496837 # DEPENDENCYPART_ARC
(18,14),-0.0844562 # DEPENDENCYPART_ARC
(18,15),0.284364 # DEPENDENCYPART_ARC
(18,16),-0.0495749 # DEPENDENCYPART_ARC
(18,17),0.0403622 # DEPENDENCYPART_ARC
(18,19),-0.287532 # DEPENDENCYPART_ARC
(18,21),-1.08095 # DEPENDENCYPART_ARC
(18,23),-0.734158 # DEPENDENCYPART_ARC
(18,24),-1.28364 # DEPENDENCYPART_ARC
(18,25),-0.819832 # DEPENDENCYPART_ARC
(18,27),-1.31681 # DEPENDENCYPART_ARC
(18,28),-0.545676 # DEPENDENCYPART_ARC
(19,1),-3.88652 # DEPENDENCYPART_ARC
(19,2),-1.02853 # DEPENDENCYPART_ARC
(19,4),-1.10618 # DEPENDENCYPART_ARC
(19,5),-1.09245 # DEPENDENCYPART_ARC
(19,6),-1.91715 # DEPENDENCYPART_ARC
(19,7),-1.09998 # DEPENDENCYPART_ARC
(19,8),-2.8961 # DEPENDENCYPART_ARC
(19,9),-2.49925 # DEPENDENCYPART_ARC
(19,10),-2.05209 # DEPENDENCYPART_ARC
(19,11),-0.968183 # DEPENDENCYPART_ARC
(19,12),-3.36445 # DEPENDENCYPART_ARC
(19,13),-3.19366 # DEPENDENCYPART_ARC
(19,14),-2.14277 # DEPENDENCYPART_ARC
(19,16),-1.9605 # DEPENDENCYPART_ARC
(19,17),-1.45884 # DEPENDENCYPART_ARC
(19,18),0.401583 # DEPENDENCYPART_ARC
(19,20),0.269003 # DEPENDENCYPART_ARC
(19,23),0.239349 # DEPENDENCYPART_ARC
(19,24),-0.860557 # DEPENDENCYPART_ARC
(19,25),-0.45762 # DEPENDENCYPART_ARC
(19,26),-1.85819 # DEPENDENCYPART_ARC
(19,28),-0.273006 # DEPENDENCYPART_ARC
(20,2),-1.75558 # DEPENDENCYPART_ARC
(20,9),-2.10574 # DEPENDENCYPART_ARC
(20,10),-2.51753 # DEPENDENCYPART_ARC
(20,14),-2.12685 # DEPENDENCYPART_ARC
(20,17),-1.32161 # DEPENDENCYPART_ARC
(20,24),-1.54812 # DEPENDENCYPART_ARC
(20,25),-0.923798 # DEPENDENCYPART_ARC
(21,1),-3.41865 # DEPENDENCYPART_ARC
(21,3),-0.666719 # DEPENDENCYPART_ARC
(21,4),-0.826935 # DEPENDENCYPART_ARC
(21,5),-0.651115 # DEPENDENCYPART_ARC
(21,6),-1.43907 # DEPENDENCYPART_ARC
(21,7),-0.721725 # DEPENDENCYPART_ARC
(21,8),-2.56975 # DEPENDENCYPART_ARC
(21,11),-0.626494 # DEPENDENCYPART_ARC
(21,12),-2.95471 # DEPENDENCYPART_ARC
(21,13),-2.86958 # DEPENDENCYPART_ARC
(21,16),-1.85694 # DEPENDENCYPART_ARC
(21,18),0.0427062 # DEPENDENCYPART_ARC
(21,19),0.933403 # DEPENDENCYPART_ARC
