# _root_ Από τη στιγμή που εγκαταλείφθηκε το Κάστρο το 1829 , με την ίδρυση του Ανεξάρτητου Ελληνικού Κράτους , αφέθηκε στην τύχη του .
#goldHeads=5,3,1,5,19,7,5,9,5,5,5,13,11,17,17,17,13,19,0,19,20,21,0,
#predictedHeads=5,3,1,5,0,7,5,9,5,5,5,13,11,17,17,17,13,19,0,19,20,21,0,
(3,4),0.366899 # DEPENDENCYPART_ARC
(3,5),0.625134 # DEPENDENCYPART_ARC
(3,6),-1.18678 # DEPENDENCYPART_ARC
(3,7),-1.29467 # DEPENDENCYPART_ARC
(3,8),-1.52482 # DEPENDENCYPART_ARC
(3,9),-0.348892 # DEPENDENCYPART_ARC
(3,10),-0.703804 # DEPENDENCYPART_ARC
(3,11),-0.881575 # DEPENDENCYPART_ARC
(3,12),-1.58418 # DEPENDENCYPART_ARC
(3,13),-2.76802 # DEPENDENCYPART_ARC
(3,14),-1.77141 # DEPENDENCYPART_ARC
(3,15),-1.73692 # DEPENDENCYPART_ARC
(3,16),-1.72074 # DEPENDENCYPART_ARC
(3,17),-1.61013 # DEPENDENCYPART_ARC
(3,18),-0.789718 # DEPENDENCYPART_ARC
(3,19),-2.11556 # DEPENDENCYPART_ARC
(3,20),-1.52129 # DEPENDENCYPART_ARC
(3,21),-4.10338 # DEPENDENCYPART_ARC
(3,22),-1.57156 # DEPENDENCYPART_ARC
(3,23),-0.580049 # DEPENDENCYPART_ARC
(4,1),-0.407405 # DEPENDENCYPART_ARC
(4,2),-0.424267 # DEPENDENCYPART_ARC
(4,3),-0.551481 # DEPENDENCYPART_ARC
(4,5),0.314868 # DEPENDENCYPART_ARC
(4,6),-1.26787 # DEPENDENCYPART_ARC
(4,7),-1.32134 # DEPENDENCYPART_ARC
(4,8),-1.82346 # DEPENDENCYPART_ARC
(4,9),-1.32511 # DEPENDENCYPART_ARC
(4,10),-0.985317 # DEPENDENCYPART_ARC
(4,11),-1.27491 # DEPENDENCYPART_ARC
(4,12),-2.32275 # DEPENDENCYPART_ARC
(4,13),-2.52861 # DEPENDENCYPART_ARC
(4,14),-1.7041 # DEPENDENCYPART_ARC
(4,15),-1.61833 # DEPENDENCYPART_ARC
(4,16),-1.56708 # DEPENDENCYPART_ARC
(4,17),-1.75896 # DEPENDENCYPART_ARC
(4,18),-1.33524 # DEPENDENCYPART_ARC
(4,19),-1.47718 # DEPENDENCYPART_ARC
(4,20),-2.23826 # DEPENDENCYPART_ARC
(4,21),-2.92413 # DEPENDENCYPART_ARC
(4,22),-2.12704 # DEPENDENCYPART_ARC
(4,23),-1.68315 # DEPENDENCYPART_ARC
(5,1),0.805393 # DEPENDENCYPART_ARC
(5,2),-1.62587 # DEPENDENCYPART_ARC
(5,3),0.217408 # DEPENDENCYPART_ARC
(5,4),2.26664 # DEPENDENCYPART_ARC
(5,6),-0.687842 # DEPENDENCYPART_ARC
(5,7),1.48711 # DEPENDENCYPART_ARC
(5,8),-1.56815 # DEPENDENCYPART_ARC
(5,9),0.597562 # DEPENDENCYPART_ARC
(5,10),0.750337 # DEPENDENCYPART_ARC
(5,11),0.856429 # DEPENDENCYPART_ARC
(5,12),-1.92716 # DEPENDENCYPART_ARC
(5,13),-1.27509 # DEPENDENCYPART_ARC
(5,14),-2.74418 # DEPENDENCYPART_ARC
(5,15),-2.25057 # DEPENDENCYPART_ARC
(5,16),-2.72104 # DEPENDENCYPART_ARC
(5,17),-1.83973 # DEPENDENCYPART_ARC
(5,18),0.336655 # DEPENDENCYPART_ARC
(5,19),-4.16799 # DEPENDENCYPART_ARC
(5,20),-0.92283 # DEPENDENCYPART_ARC
(5,21),-3.18769 # DEPENDENCYPART_ARC
(5,22),-4.25035 # DEPENDENCYPART_ARC
(5,23),-0.171083 # DEPENDENCYPART_ARC
(6,3),-1.71808 # DEPENDENCYPART_ARC
(6,4),-1.00468 # DEPENDENCYPART_ARC
(6,13),-2.07985 # DEPENDENCYPART_ARC
(6,17),-1.62565 # DEPENDENCYPART_ARC
(6,21),-2.56749 # DEPENDENCYPART_ARC
(7,1),-1.14113 # DEPENDENCYPART_ARC
(7,2),0.0107215 # DEPENDENCYPART_ARC
(7,3),-1.43891 # DEPENDENCYPART_ARC
(7,4),-0.54656 # DEPENDENCYPART_ARC
(7,5),-0.667978 # DEPENDENCYPART_ARC
(7,6),2.98834 # DEPENDENCYPART_ARC
(7,8),-0.490742 # DEPENDENCYPART_ARC
(7,9),0.252127 # DEPENDENCYPART_ARC
(7,10),-0.719811 # DEPENDENCYPART_ARC
(7,11),-0.460189 # DEPENDENCYPART_ARC
(7,12),-1.76019 # DEPENDENCYPART_ARC
(7,13),-1.4053 # DEPENDENCYPART_ARC
(7,14),-1.84851 # DEPENDENCYPART_ARC
(7,15),-1.24882 # DEPENDENCYPART_ARC
(7,16),-1.26659 # DEPENDENCYPART_ARC
(7,17),-0.22714 # DEPENDENCYPART_ARC
(7,18),-1.20487 # DEPENDENCYPART_ARC
(7,19),-1.13033 # DEPENDENCYPART_ARC
(7,20),-2.17876 # DEPENDENCYPART_ARC
(7,21),-3.53465 # DEPENDENCYPART_ARC
(7,23),-1.36047 # DEPENDENCYPART_ARC
(8,3),-1.76446 # DEPENDENCYPART_ARC
(8,4),-0.997222 # DEPENDENCYPART_ARC
(8,13),-0.964792 # DEPENDENCYPART_ARC
(8,17),-1.03112 # DEPENDENCYPART_ARC
(8,21),-2.005 # DEPENDENCYPART_ARC
(9,1),-0.600802 # DEPENDENCYPART_ARC
(9,2),0.00642617 # DEPENDENCYPART_ARC
(9,3),-0.944866 # DEPENDENCYPART_ARC
(9,4),-0.119908 # DEPENDENCYPART_ARC
(9,5),-0.281764 # DEPENDENCYPART_ARC
(9,6),1.01071 # DEPENDENCYPART_ARC
(9,7),-0.114219 # DEPENDENCYPART_ARC
(9,8),2.39566 # DEPENDENCYPART_ARC
(9,10),0.23189 # DEPENDENCYPART_ARC
(9,11),-0.299295 # DEPENDENCYPART_ARC
(9,12),-0.556567 # DEPENDENCYPART_ARC
(9,13),-0.280447 # DEPENDENCYPART_ARC
(9,14),-0.895814 # DEPENDENCYPART_ARC
(9,15),-1.06976 # DEPENDENCYPART_ARC
(9,16),-1.13933 # DEPENDENCYPART_ARC
(9,17),-0.729373 # DEPENDENCYPART_ARC
(9,18),-0.627324 # DEPENDENCYPART_ARC
(9,19),-1.14265 # DEPENDENCYPART_ARC
(9,21),-1.37831 # DEPENDENCYPART_ARC
(9,23),-1.03125 # DEPENDENCYPART_ARC
(10,1),-0.44644 # DEPENDENCYPART_ARC
(10,3),-1.2225 # DEPENDENCYPART_ARC
(10,4),-0.565499 # DEPENDENCYPART_ARC
(10,5),-0.550553 # DEPENDENCYPART_ARC
(10,7),-0.180828 # DEPENDENCYPART_ARC
(10,9),0.101194 # DEPENDENCYPART_ARC
(10,11),-0.0676506 # DEPENDENCYPART_ARC
(10,13),-0.0789198 # DEPENDENCYPART_ARC
(10,15),-0.606523 # DEPENDENCYPART_ARC
(10,16),-0.583043 # DEPENDENCYPART_ARC
(10,17),-0.69783 # DEPENDENCYPART_ARC
(10,18),0.00943978 # DEPENDENCYPART_ARC
(10,19),-0.60631 # DEPENDENCYPART_ARC
(10,20),-0.51882 # DEPENDENCYPART_ARC
(10,21),-1.47355 # DEPENDENCYPART_ARC
(10,23),-0.642026 # DEPENDENCYPART_ARC
(11,1),-0.991136 # DEPENDENCYPART_ARC
(11,2),-1.1744 # DEPENDENCYPART_ARC
(11,3),-1.8224 # DEPENDENCYPART_ARC
(11,4),-1.00824 # DEPENDENCYPART_ARC
(11,5),-1.27816 # DEPENDENCYPART_ARC
(11,6),-0.705647 # DEPENDENCYPART_ARC
(11,7),-1.39206 # DEPENDENCYPART_ARC
(11,8),-0.373095 # DEPENDENCYPART_ARC
(11,9),-0.33997 # DEPENDENCYPART_ARC
(11,10),0.582629 # DEPENDENCYPART_ARC
(11,12),0.220082 # DEPENDENCYPART_ARC
(11,13),2.40801 # DEPENDENCYPART_ARC
(11,14),-0.760908 # DEPENDENCYPART_ARC
(11,15),-0.265876 # DEPENDENCYPART_ARC
(11,16),-0.10548 # DEPENDENCYPART_ARC
(11,17),-0.0382619 # DEPENDENCYPART_ARC
(11,18),0.123987 # DEPENDENCYPART_ARC
(11,19),-1.23401 # DEPENDENCYPART_ARC
(11,21),-1.22057 # DEPENDENCYPART_ARC
(11,22),-1.81656 # DEPENDENCYPART_ARC
(11,23),-0.405289 # DEPENDENCYPART_ARC
(12,3),-2.5729 # DEPENDENCYPART_ARC
(12,4),-2.07307 # DEPENDENCYPART_ARC
(12,13),0.0292911 # DEPENDENCYPART_ARC
(12,17),-0.879034 # DEPENDENCYPART_ARC
(12,21),-2.21215 # DEPENDENCYPART_ARC
(13,1),-1.62579 # DEPENDENCYPART_ARC
(13,2),-2.01349 # DEPENDENCYPART_ARC
(13,3),-2.48052 # DEPENDENCYPART_ARC
(13,4),-1.5812 # DEPENDENCYPART_ARC
(13,5),-2.93583 # DEPENDENCYPART_ARC
(13,6),-2.00532 # DEPENDENCYPART_ARC
(13,7),-1.99528 # DEPENDENCYPART_ARC
(13,8),-0.62185 # DEPENDENCYPART_ARC
(13,9),-0.816062 # DEPENDENCYPART_ARC
(13,10),-0.5993 # DEPENDENCYPART_ARC
(13,11),0.0300295 # DEPENDENCYPART_ARC
(13,12),3.14526 # DEPENDENCYPART_ARC
(13,14),0.500986 # DEPENDENCYPART_ARC
(13,15),0.58625 # DEPENDENCYPART_ARC
(13,16),0.224216 # DEPENDENCYPART_ARC
(13,17),2.12463 # DEPENDENCYPART_ARC
(13,18),0.317753 # DEPENDENCYPART_ARC
(13,19),-0.274166 # DEPENDENCYPART_ARC
(13,20),-0.249537 # DEPENDENCYPART_ARC
(13,21),-1.97247 # DEPENDENCYPART_ARC
(13,22),-0.249956 # DEPENDENCYPART_ARC
(13,23),0.141765 # DEPENDENCYPART_ARC
(14,3),-2.87327 # DEPENDENCYPART_ARC
(14,4),-1.57624 # DEPENDENCYPART_ARC
(14,13),-1.37611 # DEPENDENCYPART_ARC
(14,17),-0.0163312 # DEPENDENCYPART_ARC
(14,21),-1.76746 # DEPENDENCYPART_ARC
(15,1),-1.56007 # DEPENDENCYPART_ARC
(15,2),-3.10924 # DEPENDENCYPART_ARC
(15,3),-3.38414 # DEPENDENCYPART_ARC
(15,4),-1.97082 # DEPENDENCYPART_ARC
(15,5),-3.68955 # DEPENDENCYPART_ARC
(15,6),-1.76536 # DEPENDENCYPART_ARC
(15,7),-2.14386 # DEPENDENCYPART_ARC
(15,8),-1.26172 # DEPENDENCYPART_ARC
(15,9),-0.94017 # DEPENDENCYPART_ARC
(15,10),-1.10213 # DEPENDENCYPART_ARC
(15,11),-0.92251 # DEPENDENCYPART_ARC
(15,12),-1.39319 # DEPENDENCYPART_ARC
(15,13),-1.73939 # DEPENDENCYPART_ARC
(15,14),0.948844 # DEPENDENCYPART_ARC
(15,16),0.761484 # DEPENDENCYPART_ARC
(15,17),0.607076 # DEPENDENCYPART_ARC
(15,18),-0.205369 # DEPENDENCYPART_ARC
(15,19),-1.21858 # DEPENDENCYPART_ARC
(15,20),-1.60163 # DEPENDENCYPART_ARC
(15,21),-2.29752 # DEPENDENCYPART_ARC
(15,22),-1.81002 # DEPENDENCYPART_ARC
(15,23),-0.899079 # DEPENDENCYPART_ARC
(16,1),-0.975723 # DEPENDENCYPART_ARC
(16,2),-2.51444 # DEPENDENCYPART_ARC
(16,3),-2.88138 # DEPENDENCYPART_ARC
(16,4),-1.49179 # DEPENDENCYPART_ARC
(16,5),-3.14449 # DEPENDENCYPART_ARC
(16,6),-1.43458 # DEPENDENCYPART_ARC
(16,7),-1.51649 # DEPENDENCYPART_ARC
(16,8),-0.864014 # DEPENDENCYPART_ARC
(16,9),-0.395573 # DEPENDENCYPART_ARC
(16,10),-0.720648 # DEPENDENCYPART_ARC
(16,11),-0.444365 # DEPENDENCYPART_ARC
(16,12),-0.993404 # DEPENDENCYPART_ARC
(16,13),-1.58431 # DEPENDENCYPART_ARC
(16,14),0.944443 # DEPENDENCYPART_ARC
(16,15),0.87278 # DEPENDENCYPART_ARC
(16,17),0.978075 # DEPENDENCYPART_ARC
(16,18),-0.416983 # DEPENDENCYPART_ARC
(16,19),-1.18746 # DEPENDENCYPART_ARC
(16,20),-1.78022 # DEPENDENCYPART_ARC
(16,21),-2.02409 # DEPENDENCYPART_ARC
(16,22),-1.98592 # DEPENDENCYPART_ARC
(16,23),-1.00288 # DEPENDENCYPART_ARC
(17,1),-0.478831 # DEPENDENCYPART_ARC
(17,2),-3.70088 # DEPENDENCYPART_ARC
(17,3),-3.61252 # DEPENDENCYPART_ARC
(17,4),-0.713688 # DEPENDENCYPART_ARC
(17,5),-1.22909 # DEPENDENCYPART_ARC
(17,6),-2.24406 # DEPENDENCYPART_ARC
(17,7),-1.66164 # DEPENDENCYPART_ARC
(17,8),-0.961687 # DEPENDENCYPART_ARC
(17,9),-0.0328555 # DEPENDENCYPART_ARC
(17,10),0.232246 # DEPENDENCYPART_ARC
(17,11),-0.0519862 # DEPENDENCYPART_ARC
(17,12),-0.347286 # DEPENDENCYPART_ARC
(17,13),-1.7486 # DEPENDENCYPART_ARC
(17,14),2.79864 # DEPENDENCYPART_ARC
(17,15),3.22884 # DEPENDENCYPART_ARC
(17,16),3.2018 # DEPENDENCYPART_ARC
(17,18),0.118512 # DEPENDENCYPART_ARC
(17,19),-0.317001 # DEPENDENCYPART_ARC
(17,20),-1.4724 # DEPENDENCYPART_ARC
(17,21),-1.31625 # DEPENDENCYPART_ARC
(17,22),-0.722981 # DEPENDENCYPART_ARC
(17,23),-0.886232 # DEPENDENCYPART_ARC
(18,1),-1.51474 # DEPENDENCYPART_ARC
(18,3),-1.96632 # DEPENDENCYPART_ARC
(18,4),-1.2432 # DEPENDENCYPART_ARC
(18,5),-1.20038 # DEPENDENCYPART_ARC
(18,7),-1.07645 # DEPENDENCYPART_ARC
(18,9),-1.02325 # DEPENDENCYPART_ARC
(18,10),-0.914551 # DEPENDENCYPART_ARC
(18,11),-0.64369 # DEPENDENCYPART_ARC
(18,13),-0.783274 # DEPENDENCYPART_ARC
(18,15),-0.74125 # DEPENDENCYPART_ARC
(18,16),-0.55497 # DEPENDENCYPART_ARC
(18,17),-0.481336 # DEPENDENCYPART_ARC
(18,19),-0.211282 # DEPENDENCYPART_ARC
(18,20),-0.885292 # DEPENDENCYPART_ARC
(18,21),-0.865632 # DEPENDENCYPART_ARC
(18,23),-0.845114 # DEPENDENCYPART_ARC
(19,1),0.354364 # DEPENDENCYPART_ARC
(19,2),-2.54466 # DEPENDENCYPART_ARC
(19,3),-0.664809 # DEPENDENCYPART_ARC
(19,4),0.282593 # DEPENDENCYPART_ARC
(19,5),-2.11767 # DEPENDENCYPART_ARC
(19,6),-2.71961 # DEPENDENCYPART_ARC
(19,7),-0.834987 # DEPENDENCYPART_ARC
(19,8),-1.93391 # DEPENDENCYPART_ARC
(19,9),0.084105 # DEPENDENCYPART_ARC
(19,10),0.549249 # DEPENDENCYPART_ARC
(19,11),0.465102 # DEPENDENCYPART_ARC
(19,12),-2.03574 # DEPENDENCYPART_ARC
(19,13),-0.19062 # DEPENDENCYPART_ARC
(19,14),-1.66841 # DEPENDENCYPART_ARC
(19,15),-1.58864 # DEPENDENCYPART_ARC
(19,16),-1.39676 # DEPENDENCYPART_ARC
(19,17),-1.2683 # DEPENDENCYPART_ARC
(19,18),1.11839 # DEPENDENCYPART_ARC
(19,20),3.03841 # DEPENDENCYPART_ARC
(19,21),0.8212 # DEPENDENCYPART_ARC
(19,22),-1.81336 # DEPENDENCYPART_ARC
(19,23),0.70367 # DEPENDENCYPART_ARC
(20,1),-1.18447 # DEPENDENCYPART_ARC
(20,3),-2.65026 # DEPENDENCYPART_ARC
(20,4),-1.12225 # DEPENDENCYPART_ARC
(20,5),-2.71606 # DEPENDENCYPART_ARC
(20,7),-2.77866 # DEPENDENCYPART_ARC
(20,9),-1.29168 # DEPENDENCYPART_ARC
(20,10),-1.20698 # DEPENDENCYPART_ARC
(20,11),-0.719367 # DEPENDENCYPART_ARC
(20,13),-2.35102 # DEPENDENCYPART_ARC
(20,15),-1.71238 # DEPENDENCYPART_ARC
(20,16),-1.60816 # DEPENDENCYPART_ARC
(20,17),-2.12873 # DEPENDENCYPART_ARC
(20,18),-0.382252 # DEPENDENCYPART_ARC
(20,19),-1.277 # DEPENDENCYPART_ARC
(20,21),3.64289 # DEPENDENCYPART_ARC
(20,23),0.024154 # DEPENDENCYPART_ARC
(21,1),-2.21108 # DEPENDENCYPART_ARC
(21,2),-3.62193 # DEPENDENCYPART_ARC
(21,3),-3.56148 # DEPENDENCYPART_ARC
(21,4),-2.53223 # DEPENDENCYPART_ARC
(21,5),-3.94789 # DEPENDENCYPART_ARC
(21,6),-4.45066 # DEPENDENCYPART_ARC
(21,7),-3.60085 # DEPENDENCYPART_ARC
(21,8),-3.69334 # DEPENDENCYPART_ARC
(21,9),-2.36061 # DEPENDENCYPART_ARC
(21,10),-2.01559 # DEPENDENCYPART_ARC
(21,11),-2.04072 # DEPENDENCYPART_ARC
(21,12),-1.32772 # DEPENDENCYPART_ARC
(21,13),-2.54782 # DEPENDENCYPART_ARC
(21,14),-2.41945 # DEPENDENCYPART_ARC
(21,15),-2.69285 # DEPENDENCYPART_ARC
(21,16),-2.56244 # DEPENDENCYPART_ARC
(21,17),-2.32038 # DEPENDENCYPART_ARC
(21,18),-1.52842 # DEPENDENCYPART_ARC
(21,19),-1.79532 # DEPENDENCYPART_ARC
(21,20),0.105612 # DEPENDENCYPART_ARC
(21,22),2.88212 # DEPENDENCYPART_ARC
(21,23),-0.405098 # DEPENDENCYPART_ARC
(22,7),-2.50854 # DEPENDENCYPART_ARC
(23,1),-3.55852 # DEPENDENCYPART_ARC
(23,3),-2.95986 # DEPENDENCYPART_ARC
(23,4),-1.96748 # DEPENDENCYPART_ARC
(23,5),-2.5201 # DEPENDENCYPART_ARC
(23,7),-2.48364 # DEPENDENCYPART_ARC
(23,9),-2.28491 # DEPENDENCYPART_ARC
(23,10),-2.16974 # DEPENDENCYPART_ARC
(23,11),-2.69373 # DEPENDENCYPART_ARC
(23,13),-2.22702 # DEPENDENCYPART_ARC
(23,15),-2.2266 # DEPENDENCYPART_ARC
(23,16),-2.11913 # DEPENDENCYPART_ARC
(23,17),-2.18056 # DEPENDENCYPART_ARC
(23,18),-1.81419 # DEPENDENCYPART_ARC
(23,19),-1.9438 # DEPENDENCYPART_ARC
(23,20),-1.57919 # DEPENDENCYPART_ARC
(23,21),-1.56518 # DEPENDENCYPART_ARC
