# _root_ Από αυτή την άποψη , θέλω να εξετάσω την ισορροπία μεταξύ των οικονομικών , των περιβαλλοντικών και των κοινωνικών ζητημάτων .
#goldHeads=6,4,4,1,6,0,8,6,10,8,10,13,17,17,16,17,20,19,17,11,0,
#predictedHeads=6,4,4,1,6,0,8,6,10,8,10,13,17,17,16,17,20,20,20,11,0,
(2,7),-0.716033 # DEPENDENCYPART_ARC
(2,8),-1.08715 # DEPENDENCYPART_ARC
(2,9),-2.21787 # DEPENDENCYPART_ARC
(2,10),-1.94019 # DEPENDENCYPART_ARC
(2,11),-0.931443 # DEPENDENCYPART_ARC
(2,12),-1.62905 # DEPENDENCYPART_ARC
(2,13),-2.36009 # DEPENDENCYPART_ARC
(2,14),-0.808227 # DEPENDENCYPART_ARC
(2,15),-1.61287 # DEPENDENCYPART_ARC
(2,16),-1.89469 # DEPENDENCYPART_ARC
(2,17),-0.694159 # DEPENDENCYPART_ARC
(2,18),-1.71116 # DEPENDENCYPART_ARC
(2,19),-1.61065 # DEPENDENCYPART_ARC
(2,20),-0.426981 # DEPENDENCYPART_ARC
(2,21),-0.882526 # DEPENDENCYPART_ARC
(3,1),-0.655623 # DEPENDENCYPART_ARC
(3,2),0.363022 # DEPENDENCYPART_ARC
(3,4),-0.0492777 # DEPENDENCYPART_ARC
(3,5),-0.316434 # DEPENDENCYPART_ARC
(3,6),-1.99416 # DEPENDENCYPART_ARC
(3,7),-1.24691 # DEPENDENCYPART_ARC
(3,8),-2.58975 # DEPENDENCYPART_ARC
(3,9),-1.62014 # DEPENDENCYPART_ARC
(3,10),-2.1904 # DEPENDENCYPART_ARC
(3,11),-1.23376 # DEPENDENCYPART_ARC
(3,12),-1.76301 # DEPENDENCYPART_ARC
(3,13),-2.68743 # DEPENDENCYPART_ARC
(3,14),-1.15135 # DEPENDENCYPART_ARC
(3,15),-1.9717 # DEPENDENCYPART_ARC
(3,16),-2.96713 # DEPENDENCYPART_ARC
(3,17),-1.12205 # DEPENDENCYPART_ARC
(3,18),-1.83005 # DEPENDENCYPART_ARC
(3,19),-3.13781 # DEPENDENCYPART_ARC
(3,20),-2.09255 # DEPENDENCYPART_ARC
(3,21),-1.16259 # DEPENDENCYPART_ARC
(4,1),0.030015 # DEPENDENCYPART_ARC
(4,2),3.48967 # DEPENDENCYPART_ARC
(4,3),3.65769 # DEPENDENCYPART_ARC
(4,5),0.27875 # DEPENDENCYPART_ARC
(4,6),-0.549515 # DEPENDENCYPART_ARC
(4,7),-0.801024 # DEPENDENCYPART_ARC
(4,8),-0.818578 # DEPENDENCYPART_ARC
(4,9),-1.48328 # DEPENDENCYPART_ARC
(4,10),-1.97843 # DEPENDENCYPART_ARC
(4,11),-0.635358 # DEPENDENCYPART_ARC
(4,12),-1.33571 # DEPENDENCYPART_ARC
(4,13),-1.69156 # DEPENDENCYPART_ARC
(4,14),-0.853103 # DEPENDENCYPART_ARC
(4,15),-1.63812 # DEPENDENCYPART_ARC
(4,16),-1.96854 # DEPENDENCYPART_ARC
(4,17),-1.07934 # DEPENDENCYPART_ARC
(4,18),-1.70959 # DEPENDENCYPART_ARC
(4,19),-2.01275 # DEPENDENCYPART_ARC
(4,20),-1.75697 # DEPENDENCYPART_ARC
(4,21),-0.994366 # DEPENDENCYPART_ARC
(5,1),-0.406605 # DEPENDENCYPART_ARC
(5,2),-0.49239 # DEPENDENCYPART_ARC
(5,3),-0.205482 # DEPENDENCYPART_ARC
(5,4),-0.213253 # DEPENDENCYPART_ARC
(5,6),-0.0298661 # DEPENDENCYPART_ARC
(5,7),-0.994917 # DEPENDENCYPART_ARC
(5,8),-0.985005 # DEPENDENCYPART_ARC
(5,9),-1.43657 # DEPENDENCYPART_ARC
(5,10),-0.93578 # DEPENDENCYPART_ARC
(5,11),-0.979956 # DEPENDENCYPART_ARC
(5,12),-1.5572 # DEPENDENCYPART_ARC
(5,13),-1.40149 # DEPENDENCYPART_ARC
(5,14),-0.770625 # DEPENDENCYPART_ARC
(5,15),-1.58511 # DEPENDENCYPART_ARC
(5,16),-1.43247 # DEPENDENCYPART_ARC
(5,17),-0.698853 # DEPENDENCYPART_ARC
(5,18),-1.73476 # DEPENDENCYPART_ARC
(5,19),-1.33453 # DEPENDENCYPART_ARC
(5,20),-1.24747 # DEPENDENCYPART_ARC
(5,21),-0.972482 # DEPENDENCYPART_ARC
(6,1),1.55404 # DEPENDENCYPART_ARC
(6,2),-1.54414 # DEPENDENCYPART_ARC
(6,3),-0.360478 # DEPENDENCYPART_ARC
(6,4),0.188136 # DEPENDENCYPART_ARC
(6,5),1.81954 # DEPENDENCYPART_ARC
(6,7),1.39145 # DEPENDENCYPART_ARC
(6,8),4.07324 # DEPENDENCYPART_ARC
(6,9),-0.695965 # DEPENDENCYPART_ARC
(6,10),0.95552 # DEPENDENCYPART_ARC
(6,11),0.727987 # DEPENDENCYPART_ARC
(6,12),-2.15631 # DEPENDENCYPART_ARC
(6,13),-1.95199 # DEPENDENCYPART_ARC
(6,14),1.02689 # DEPENDENCYPART_ARC
(6,15),-2.52264 # DEPENDENCYPART_ARC
(6,16),-2.60548 # DEPENDENCYPART_ARC
(6,17),0.212142 # DEPENDENCYPART_ARC
(6,18),-2.72837 # DEPENDENCYPART_ARC
(6,19),-3.12558 # DEPENDENCYPART_ARC
(6,20),-3.34842 # DEPENDENCYPART_ARC
(6,21),1.0475 # DEPENDENCYPART_ARC
(7,1),-1.28224 # DEPENDENCYPART_ARC
(7,2),-1.62485 # DEPENDENCYPART_ARC
(7,3),-1.01172 # DEPENDENCYPART_ARC
(7,4),-1.4033 # DEPENDENCYPART_ARC
(7,5),-0.81075 # DEPENDENCYPART_ARC
(7,6),-0.511343 # DEPENDENCYPART_ARC
(7,8),0.336492 # DEPENDENCYPART_ARC
(7,9),-0.800938 # DEPENDENCYPART_ARC
(7,10),-0.65577 # DEPENDENCYPART_ARC
(7,11),-0.991484 # DEPENDENCYPART_ARC
(7,12),-1.35026 # DEPENDENCYPART_ARC
(7,13),-1.38515 # DEPENDENCYPART_ARC
(7,14),-0.567332 # DEPENDENCYPART_ARC
(7,15),-1.49659 # DEPENDENCYPART_ARC
(7,16),-1.51598 # DEPENDENCYPART_ARC
(7,17),-0.766241 # DEPENDENCYPART_ARC
(7,18),-1.58431 # DEPENDENCYPART_ARC
(7,19),-1.56714 # DEPENDENCYPART_ARC
(7,20),-1.51797 # DEPENDENCYPART_ARC
(7,21),-0.698281 # DEPENDENCYPART_ARC
(8,1),0.300968 # DEPENDENCYPART_ARC
(8,2),-2.06408 # DEPENDENCYPART_ARC
(8,3),-1.44486 # DEPENDENCYPART_ARC
(8,4),-0.934717 # DEPENDENCYPART_ARC
(8,5),-0.126147 # DEPENDENCYPART_ARC
(8,6),-0.826934 # DEPENDENCYPART_ARC
(8,7),2.6239 # DEPENDENCYPART_ARC
(8,9),0.0648439 # DEPENDENCYPART_ARC
(8,10),2.55659 # DEPENDENCYPART_ARC
(8,11),0.981391 # DEPENDENCYPART_ARC
(8,12),-2.02569 # DEPENDENCYPART_ARC
(8,13),-1.70457 # DEPENDENCYPART_ARC
(8,14),0.324226 # DEPENDENCYPART_ARC
(8,15),-2.58821 # DEPENDENCYPART_ARC
(8,16),-2.63452 # DEPENDENCYPART_ARC
(8,17),0.0697189 # DEPENDENCYPART_ARC
(8,18),-2.76157 # DEPENDENCYPART_ARC
(8,19),-3.52476 # DEPENDENCYPART_ARC
(8,20),-2.78502 # DEPENDENCYPART_ARC
(8,21),-0.0296882 # DEPENDENCYPART_ARC
(9,1),-1.40939 # DEPENDENCYPART_ARC
(9,2),-1.22106 # DEPENDENCYPART_ARC
(9,3),-0.935993 # DEPENDENCYPART_ARC
(9,4),-1.69656 # DEPENDENCYPART_ARC
(9,5),-1.35247 # DEPENDENCYPART_ARC
(9,6),-2.77493 # DEPENDENCYPART_ARC
(9,7),-0.592839 # DEPENDENCYPART_ARC
(9,8),-1.74435 # DEPENDENCYPART_ARC
(9,10),-0.198049 # DEPENDENCYPART_ARC
(9,11),-0.256259 # DEPENDENCYPART_ARC
(9,12),-0.902512 # DEPENDENCYPART_ARC
(9,13),-1.97252 # DEPENDENCYPART_ARC
(9,14),-0.724299 # DEPENDENCYPART_ARC
(9,15),-1.44738 # DEPENDENCYPART_ARC
(9,16),-2.4407 # DEPENDENCYPART_ARC
(9,17),-0.658736 # DEPENDENCYPART_ARC
(9,18),-1.47644 # DEPENDENCYPART_ARC
(9,19),-2.49983 # DEPENDENCYPART_ARC
(9,20),-1.725 # DEPENDENCYPART_ARC
(9,21),-0.799085 # DEPENDENCYPART_ARC
(10,1),-0.948855 # DEPENDENCYPART_ARC
(10,2),0.202396 # DEPENDENCYPART_ARC
(10,3),-0.536051 # DEPENDENCYPART_ARC
(10,4),-1.60191 # DEPENDENCYPART_ARC
(10,5),-0.866608 # DEPENDENCYPART_ARC
(10,6),-2.16581 # DEPENDENCYPART_ARC
(10,7),-0.0920192 # DEPENDENCYPART_ARC
(10,8),-0.970985 # DEPENDENCYPART_ARC
(10,9),3.3515 # DEPENDENCYPART_ARC
(10,11),1.44544 # DEPENDENCYPART_ARC
(10,12),0.345226 # DEPENDENCYPART_ARC
(10,13),0.163607 # DEPENDENCYPART_ARC
(10,14),0.0814304 # DEPENDENCYPART_ARC
(10,15),-0.492479 # DEPENDENCYPART_ARC
(10,16),-0.669314 # DEPENDENCYPART_ARC
(10,17),0.104939 # DEPENDENCYPART_ARC
(10,18),-0.79061 # DEPENDENCYPART_ARC
(10,19),-0.872147 # DEPENDENCYPART_ARC
(10,20),-0.233738 # DEPENDENCYPART_ARC
(10,21),-0.326614 # DEPENDENCYPART_ARC
(11,1),-0.709015 # DEPENDENCYPART_ARC
(11,2),-1.19902 # DEPENDENCYPART_ARC
(11,3),-0.927328 # DEPENDENCYPART_ARC
(11,4),-1.00953 # DEPENDENCYPART_ARC
(11,5),-0.46045 # DEPENDENCYPART_ARC
(11,6),-0.904007 # DEPENDENCYPART_ARC
(11,7),-0.154581 # DEPENDENCYPART_ARC
(11,8),-0.783419 # DEPENDENCYPART_ARC
(11,9),0.173063 # DEPENDENCYPART_ARC
(11,10),0.0447929 # DEPENDENCYPART_ARC
(11,12),1.19679 # DEPENDENCYPART_ARC
(11,13),1.12895 # DEPENDENCYPART_ARC
(11,14),0.879441 # DEPENDENCYPART_ARC
(11,15),0.398893 # DEPENDENCYPART_ARC
(11,16),0.461035 # DEPENDENCYPART_ARC
(11,17),0.31246 # DEPENDENCYPART_ARC
(11,18),0.172661 # DEPENDENCYPART_ARC
(11,19),0.529589 # DEPENDENCYPART_ARC
(11,20),1.07705 # DEPENDENCYPART_ARC
(11,21),0.245626 # DEPENDENCYPART_ARC
(12,1),-1.59441 # DEPENDENCYPART_ARC
(12,2),-2.27028 # DEPENDENCYPART_ARC
(12,3),-2.04438 # DEPENDENCYPART_ARC
(12,4),-2.87517 # DEPENDENCYPART_ARC
(12,5),-1.5957 # DEPENDENCYPART_ARC
(12,6),-2.39043 # DEPENDENCYPART_ARC
(12,7),-1.37677 # DEPENDENCYPART_ARC
(12,8),-2.15625 # DEPENDENCYPART_ARC
(12,9),-1.22526 # DEPENDENCYPART_ARC
(12,10),-1.93395 # DEPENDENCYPART_ARC
(12,11),-0.234416 # DEPENDENCYPART_ARC
(12,13),-0.604735 # DEPENDENCYPART_ARC
(12,14),-0.258208 # DEPENDENCYPART_ARC
(12,15),-0.741428 # DEPENDENCYPART_ARC
(12,16),-1.63647 # DEPENDENCYPART_ARC
(12,17),-0.343462 # DEPENDENCYPART_ARC
(12,18),-1.17545 # DEPENDENCYPART_ARC
(12,19),-2.15408 # DEPENDENCYPART_ARC
(12,20),-1.26861 # DEPENDENCYPART_ARC
(12,21),-0.521877 # DEPENDENCYPART_ARC
(13,1),-1.04756 # DEPENDENCYPART_ARC
(13,2),-1.78277 # DEPENDENCYPART_ARC
(13,3),-1.99677 # DEPENDENCYPART_ARC
(13,4),-3.00275 # DEPENDENCYPART_ARC
(13,5),-1.0995 # DEPENDENCYPART_ARC
(13,6),-2.60903 # DEPENDENCYPART_ARC
(13,7),-0.722666 # DEPENDENCYPART_ARC
(13,8),-1.56375 # DEPENDENCYPART_ARC
(13,9),-0.940633 # DEPENDENCYPART_ARC
(13,10),-2.02265 # DEPENDENCYPART_ARC
(13,11),-0.150922 # DEPENDENCYPART_ARC
(13,12),2.32978 # DEPENDENCYPART_ARC
(13,14),0.197639 # DEPENDENCYPART_ARC
(13,15),0.125546 # DEPENDENCYPART_ARC
(13,16),-0.886729 # DEPENDENCYPART_ARC
(13,17),-0.372876 # DEPENDENCYPART_ARC
(13,18),-0.956713 # DEPENDENCYPART_ARC
(13,19),-1.72998 # DEPENDENCYPART_ARC
(13,20),-1.0204 # DEPENDENCYPART_ARC
(13,21),-0.425826 # DEPENDENCYPART_ARC
(14,1),-0.445285 # DEPENDENCYPART_ARC
(14,2),-0.514745 # DEPENDENCYPART_ARC
(14,3),-0.602128 # DEPENDENCYPART_ARC
(14,4),-0.527819 # DEPENDENCYPART_ARC
(14,5),-0.572869 # DEPENDENCYPART_ARC
(14,6),0.0576971 # DEPENDENCYPART_ARC
(14,7),0.394735 # DEPENDENCYPART_ARC
(14,8),0.08797 # DEPENDENCYPART_ARC
(14,9),-0.0793667 # DEPENDENCYPART_ARC
(14,10),0.162266 # DEPENDENCYPART_ARC
(14,11),0.375658 # DEPENDENCYPART_ARC
(14,12),0.280112 # DEPENDENCYPART_ARC
(14,13),0.428025 # DEPENDENCYPART_ARC
(14,15),0.467528 # DEPENDENCYPART_ARC
(14,16),0.647306 # DEPENDENCYPART_ARC
(14,17),0.819352 # DEPENDENCYPART_ARC
(14,18),-0.131743 # DEPENDENCYPART_ARC
(14,19),0.392856 # DEPENDENCYPART_ARC
(14,20),0.0967611 # DEPENDENCYPART_ARC
(14,21),0.706954 # DEPENDENCYPART_ARC
(15,1),-1.57092 # DEPENDENCYPART_ARC
(15,2),-2.59754 # DEPENDENCYPART_ARC
(15,3),-2.54191 # DEPENDENCYPART_ARC
(15,4),-2.99101 # DEPENDENCYPART_ARC
(15,5),-1.66279 # DEPENDENCYPART_ARC
(15,6),-2.6157 # DEPENDENCYPART_ARC
(15,7),-1.44733 # DEPENDENCYPART_ARC
(15,8),-2.52616 # DEPENDENCYPART_ARC
(15,9),-2.06244 # DEPENDENCYPART_ARC
(15,10),-2.44184 # DEPENDENCYPART_ARC
(15,11),-1.1182 # DEPENDENCYPART_ARC
(15,12),-0.46757 # DEPENDENCYPART_ARC
(15,13),-1.04868 # DEPENDENCYPART_ARC
(15,14),-0.197634 # DEPENDENCYPART_ARC
(15,16),-0.246431 # DEPENDENCYPART_ARC
(15,17),0.154787 # DEPENDENCYPART_ARC
(15,18),-0.764612 # DEPENDENCYPART_ARC
(15,19),-1.36668 # DEPENDENCYPART_ARC
(15,20),-0.748452 # DEPENDENCYPART_ARC
(15,21),-0.336545 # DEPENDENCYPART_ARC
(16,1),-1.27683 # DEPENDENCYPART_ARC
(16,2),-2.74105 # DEPENDENCYPART_ARC
(16,3),-2.48509 # DEPENDENCYPART_ARC
(16,4),-3.47921 # DEPENDENCYPART_ARC
(16,5),-1.47632 # DEPENDENCYPART_ARC
(16,6),-2.84869 # DEPENDENCYPART_ARC
(16,7),-0.974286 # DEPENDENCYPART_ARC
(16,8),-1.90614 # DEPENDENCYPART_ARC
(16,9),-1.68374 # DEPENDENCYPART_ARC
(16,10),-2.7807 # DEPENDENCYPART_ARC
(16,11),-1.16904 # DEPENDENCYPART_ARC
(16,12),0.700709 # DEPENDENCYPART_ARC
(16,13),-0.906021 # DEPENDENCYPART_ARC
(16,14),-0.206346 # DEPENDENCYPART_ARC
(16,15),2.39353 # DEPENDENCYPART_ARC
(16,17),0.201041 # DEPENDENCYPART_ARC
(16,18),-0.497663 # DEPENDENCYPART_ARC
(16,19),-1.51019 # DEPENDENCYPART_ARC
(16,20),-0.164308 # DEPENDENCYPART_ARC
(16,21),-0.530323 # DEPENDENCYPART_ARC
(17,1),-0.338004 # DEPENDENCYPART_ARC
(17,2),-0.101887 # DEPENDENCYPART_ARC
(17,3),-0.73519 # DEPENDENCYPART_ARC
(17,4),0.448122 # DEPENDENCYPART_ARC
(17,5),-0.0355503 # DEPENDENCYPART_ARC
(17,6),-0.083527 # DEPENDENCYPART_ARC
(17,7),0.318183 # DEPENDENCYPART_ARC
(17,8),0.0296039 # DEPENDENCYPART_ARC
(17,9),-0.0205577 # DEPENDENCYPART_ARC
(17,10),0.970839 # DEPENDENCYPART_ARC
(17,11),0.47829 # DEPENDENCYPART_ARC
(17,12),0.241492 # DEPENDENCYPART_ARC
(17,13),1.19262 # DEPENDENCYPART_ARC
(17,14),1.72916 # DEPENDENCYPART_ARC
(17,15),0.758753 # DEPENDENCYPART_ARC
(17,16),1.82431 # DEPENDENCYPART_ARC
(17,18),0.609076 # DEPENDENCYPART_ARC
(17,19),2.51259 # DEPENDENCYPART_ARC
(17,20),1.11429 # DEPENDENCYPART_ARC
(17,21),0.586116 # DEPENDENCYPART_ARC
(18,1),-1.69139 # DEPENDENCYPART_ARC
(18,2),-2.33318 # DEPENDENCYPART_ARC
(18,3),-2.75293 # DEPENDENCYPART_ARC
(18,4),-3.29451 # DEPENDENCYPART_ARC
(18,5),-1.83209 # DEPENDENCYPART_ARC
(18,6),-2.35256 # DEPENDENCYPART_ARC
(18,7),-1.63075 # DEPENDENCYPART_ARC
(18,8),-2.29821 # DEPENDENCYPART_ARC
(18,9),-2.29012 # DEPENDENCYPART_ARC
(18,10),-2.8576 # DEPENDENCYPART_ARC
(18,11),-1.33245 # DEPENDENCYPART_ARC
(18,12),-1.11239 # DEPENDENCYPART_ARC
(18,13),-2.01164 # DEPENDENCYPART_ARC
(18,14),-1.21343 # DEPENDENCYPART_ARC
(18,15),-0.233086 # DEPENDENCYPART_ARC
(18,16),-1.20214 # DEPENDENCYPART_ARC
(18,17),-0.320744 # DEPENDENCYPART_ARC
(18,19),-0.840103 # DEPENDENCYPART_ARC
(18,20),-0.0411715 # DEPENDENCYPART_ARC
(18,21),-0.365068 # DEPENDENCYPART_ARC
(19,1),-1.44202 # DEPENDENCYPART_ARC
(19,2),-2.57748 # DEPENDENCYPART_ARC
(19,3),-3.02415 # DEPENDENCYPART_ARC
(19,4),-3.37827 # DEPENDENCYPART_ARC
(19,5),-1.73435 # DEPENDENCYPART_ARC
(19,6),-3.88503 # DEPENDENCYPART_ARC
(19,7),-1.27642 # DEPENDENCYPART_ARC
(19,8),-2.96482 # DEPENDENCYPART_ARC
(19,9),-2.39422 # DEPENDENCYPART_ARC
(19,10),-2.69376 # DEPENDENCYPART_ARC
(19,11),-1.45756 # DEPENDENCYPART_ARC
(19,12),-0.537021 # DEPENDENCYPART_ARC
(19,13),-1.77884 # DEPENDENCYPART_ARC
(19,14),-1.02269 # DEPENDENCYPART_ARC
(19,15),0.389825 # DEPENDENCYPART_ARC
(19,16),-1.149 # DEPENDENCYPART_ARC
(19,17),-0.269803 # DEPENDENCYPART_ARC
(19,18),2.23959 # DEPENDENCYPART_ARC
(19,20),0.924739 # DEPENDENCYPART_ARC
(19,21),-0.452132 # DEPENDENCYPART_ARC
(20,1),-1.14805 # DEPENDENCYPART_ARC
(20,2),-1.95806 # DEPENDENCYPART_ARC
(20,3),-5.01011 # DEPENDENCYPART_ARC
(20,4),-4.83005 # DEPENDENCYPART_ARC
(20,5),-0.908106 # DEPENDENCYPART_ARC
(20,6),-2.06997 # DEPENDENCYPART_ARC
(20,7),-0.771609 # DEPENDENCYPART_ARC
(20,8),-2.02553 # DEPENDENCYPART_ARC
(20,9),-3.38254 # DEPENDENCYPART_ARC
(20,10),-3.75041 # DEPENDENCYPART_ARC
(20,11),-0.626144 # DEPENDENCYPART_ARC
(20,12),0.0535488 # DEPENDENCYPART_ARC
(20,13),-0.325483 # DEPENDENCYPART_ARC
(20,14),-0.133419 # DEPENDENCYPART_ARC
(20,15),1.63624 # DEPENDENCYPART_ARC
(20,16),0.404184 # DEPENDENCYPART_ARC
(20,17),1.26017 # DEPENDENCYPART_ARC
(20,18),3.41105 # DEPENDENCYPART_ARC
(20,19),3.15931 # DEPENDENCYPART_ARC
(20,21),0.331246 # DEPENDENCYPART_ARC
(21,1),-2.78809 # DEPENDENCYPART_ARC
(21,2),-2.14317 # DEPENDENCYPART_ARC
(21,3),-2.43279 # DEPENDENCYPART_ARC
(21,4),-3.19945 # DEPENDENCYPART_ARC
(21,5),-2.34326 # DEPENDENCYPART_ARC
(21,6),-2.13761 # DEPENDENCYPART_ARC
(21,7),-1.77479 # DEPENDENCYPART_ARC
(21,8),-2.21 # DEPENDENCYPART_ARC
(21,9),-2.11953 # DEPENDENCYPART_ARC
(21,10),-2.51541 # DEPENDENCYPART_ARC
(21,11),-1.68958 # DEPENDENCYPART_ARC
(21,12),-1.93591 # DEPENDENCYPART_ARC
(21,13),-2.14828 # DEPENDENCYPART_ARC
(21,14),-1.75109 # DEPENDENCYPART_ARC
(21,15),-1.89099 # DEPENDENCYPART_ARC
(21,16),-1.96605 # DEPENDENCYPART_ARC
(21,17),-1.7145 # DEPENDENCYPART_ARC
(21,18),-1.48206 # DEPENDENCYPART_ARC
(21,19),-1.51337 # DEPENDENCYPART_ARC
(21,20),-1.723 # DEPENDENCYPART_ARC
