# _root_ Οι οδηγίες οφείλουν , όπως αναφέρθηκε , να συμφωνούν μεταξύ τους .
#goldHeads=2,3,0,6,6,3,6,9,3,9,10,0,
#predictedHeads=2,3,0,6,6,0,6,9,7,9,10,0,
(4,9),-1.25011 # DEPENDENCYPART_ARC
(4,10),-1.00361 # DEPENDENCYPART_ARC
(4,11),-1.96533 # DEPENDENCYPART_ARC
(4,12),-0.72791 # DEPENDENCYPART_ARC
(5,1),-0.25061 # DEPENDENCYPART_ARC
(5,2),-0.497413 # DEPENDENCYPART_ARC
(5,3),-0.268949 # DEPENDENCYPART_ARC
(5,4),0.533851 # DEPENDENCYPART_ARC
(5,6),0.344174 # DEPENDENCYPART_ARC
(5,7),-0.297734 # DEPENDENCYPART_ARC
(5,9),-1.11274 # DEPENDENCYPART_ARC
(5,10),-1.48657 # DEPENDENCYPART_ARC
(5,11),-0.838291 # DEPENDENCYPART_ARC
(5,12),-0.917366 # DEPENDENCYPART_ARC
(6,1),-1.92502 # DEPENDENCYPART_ARC
(6,2),0.982148 # DEPENDENCYPART_ARC
(6,3),0.943453 # DEPENDENCYPART_ARC
(6,4),1.53405 # DEPENDENCYPART_ARC
(6,5),2.4487 # DEPENDENCYPART_ARC
(6,7),1.10877 # DEPENDENCYPART_ARC
(6,8),0.185239 # DEPENDENCYPART_ARC
(6,9),-0.335985 # DEPENDENCYPART_ARC
(6,10),-0.194606 # DEPENDENCYPART_ARC
(6,11),-3.51903 # DEPENDENCYPART_ARC
(6,12),0.00653482 # DEPENDENCYPART_ARC
(7,2),-1.14297 # DEPENDENCYPART_ARC
(7,3),-0.79395 # DEPENDENCYPART_ARC
(7,4),-0.324253 # DEPENDENCYPART_ARC
(7,5),-0.545147 # DEPENDENCYPART_ARC
(7,6),-0.0746372 # DEPENDENCYPART_ARC
(7,8),0.0202919 # DEPENDENCYPART_ARC
(7,9),-0.268667 # DEPENDENCYPART_ARC
(7,10),-0.621778 # DEPENDENCYPART_ARC
(7,11),-1.48049 # DEPENDENCYPART_ARC
(7,12),-0.49708 # DEPENDENCYPART_ARC
(8,1),-1.2958 # DEPENDENCYPART_ARC
(8,2),-1.71433 # DEPENDENCYPART_ARC
(8,3),-1.52094 # DEPENDENCYPART_ARC
(8,4),-1.07834 # DEPENDENCYPART_ARC
(8,6),-0.697159 # DEPENDENCYPART_ARC
(8,7),0.0731604 # DEPENDENCYPART_ARC
(8,9),0.495466 # DEPENDENCYPART_ARC
(8,12),-0.37336 # DEPENDENCYPART_ARC
(9,1),-1.5897 # DEPENDENCYPART_ARC
(9,2),0.712124 # DEPENDENCYPART_ARC
(9,3),-2.32106 # DEPENDENCYPART_ARC
(9,4),-0.00111212 # DEPENDENCYPART_ARC
(9,5),0.599808 # DEPENDENCYPART_ARC
(9,6),-2.52782 # DEPENDENCYPART_ARC
(9,7),0.436524 # DEPENDENCYPART_ARC
(9,8),2.68807 # DEPENDENCYPART_ARC
(9,10),1.81309 # DEPENDENCYPART_ARC
(9,11),-1.08134 # DEPENDENCYPART_ARC
(9,12),0.737135 # DEPENDENCYPART_ARC
(10,1),-0.75854 # DEPENDENCYPART_ARC
(10,2),-1.21193 # DEPENDENCYPART_ARC
(10,3),-1.08158 # DEPENDENCYPART_ARC
(10,4),-0.471237 # DEPENDENCYPART_ARC
(10,5),-0.70814 # DEPENDENCYPART_ARC
(10,6),-1.19894 # DEPENDENCYPART_ARC
(10,7),-0.201812 # DEPENDENCYPART_ARC
(10,9),-0.0640328 # DEPENDENCYPART_ARC
(10,11),2.43478 # DEPENDENCYPART_ARC
(10,12),0.191021 # DEPENDENCYPART_ARC
(11,2),-1.87032 # DEPENDENCYPART_ARC
(11,5),-1.51261 # DEPENDENCYPART_ARC
(11,10),0.0481903 # DEPENDENCYPART_ARC
(12,2),-3.01741 # DEPENDENCYPART_ARC
(12,3),-2.40001 # DEPENDENCYPART_ARC
(12,4),-2.22877 # DEPENDENCYPART_ARC
(12,5),-2.01685 # DEPENDENCYPART_ARC
(12,6),-2.25277 # DEPENDENCYPART_ARC
(12,7),-2.14792 # DEPENDENCYPART_ARC
(12,8),-1.59906 # DEPENDENCYPART_ARC
(12,9),-1.91353 # DEPENDENCYPART_ARC
(12,10),-1.76628 # DEPENDENCYPART_ARC
(12,11),-1.37509 # DEPENDENCYPART_ARC
