# _root_ * Επισκεφθείτε τις ερημικές παραλίες της νότιας Ρόδου , από το Πρασονήσι έως το Πλυμήρι , που προσφέρονται για απομόνωση και ηρεμία .
#goldHeads=0,0,5,5,2,8,8,5,2,5,12,10,5,15,13,18,18,5,18,21,19,21,0,
#predictedHeads=0,0,5,5,2,8,8,5,2,2,12,10,12,15,13,18,18,5,18,21,19,21,0,
(1,18),-1.82446 # DEPENDENCYPART_ARC
(1,19),-2.21221 # DEPENDENCYPART_ARC
(1,20),-2.94934 # DEPENDENCYPART_ARC
(1,21),-1.45121 # DEPENDENCYPART_ARC
(1,22),-3.01889 # DEPENDENCYPART_ARC
(1,23),-2.27831 # DEPENDENCYPART_ARC
(2,1),0.472167 # DEPENDENCYPART_ARC
(2,3),-0.547398 # DEPENDENCYPART_ARC
(2,4),0.0720431 # DEPENDENCYPART_ARC
(2,5),0.877318 # DEPENDENCYPART_ARC
(2,6),-2.08454 # DEPENDENCYPART_ARC
(2,7),-2.22744 # DEPENDENCYPART_ARC
(2,8),-1.77484 # DEPENDENCYPART_ARC
(2,9),1.07592 # DEPENDENCYPART_ARC
(2,10),0.72661 # DEPENDENCYPART_ARC
(2,11),-2.3023 # DEPENDENCYPART_ARC
(2,12),-1.08038 # DEPENDENCYPART_ARC
(2,13),0.0637825 # DEPENDENCYPART_ARC
(2,14),-2.37211 # DEPENDENCYPART_ARC
(2,15),-2.51972 # DEPENDENCYPART_ARC
(2,16),0.236377 # DEPENDENCYPART_ARC
(2,17),-2.56846 # DEPENDENCYPART_ARC
(2,18),-4.678 # DEPENDENCYPART_ARC
(2,19),-0.43086 # DEPENDENCYPART_ARC
(2,20),-4.36864 # DEPENDENCYPART_ARC
(2,21),0.785849 # DEPENDENCYPART_ARC
(2,22),-4.61918 # DEPENDENCYPART_ARC
(2,23),-0.24978 # DEPENDENCYPART_ARC
(3,5),-0.537362 # DEPENDENCYPART_ARC
(3,12),-1.9403 # DEPENDENCYPART_ARC
(3,15),-1.94905 # DEPENDENCYPART_ARC
(3,20),-2.35803 # DEPENDENCYPART_ARC
(3,21),-0.741815 # DEPENDENCYPART_ARC
(3,22),-2.41741 # DEPENDENCYPART_ARC
(4,1),-0.779216 # DEPENDENCYPART_ARC
(4,2),-1.47231 # DEPENDENCYPART_ARC
(4,3),1.16465 # DEPENDENCYPART_ARC
(4,5),0.0878422 # DEPENDENCYPART_ARC
(4,6),-0.407851 # DEPENDENCYPART_ARC
(4,7),-1.26933 # DEPENDENCYPART_ARC
(4,8),0.284456 # DEPENDENCYPART_ARC
(4,9),-0.497794 # DEPENDENCYPART_ARC
(4,10),-0.252712 # DEPENDENCYPART_ARC
(4,11),-1.60884 # DEPENDENCYPART_ARC
(4,12),-2.09477 # DEPENDENCYPART_ARC
(4,13),-0.543694 # DEPENDENCYPART_ARC
(4,14),-1.63798 # DEPENDENCYPART_ARC
(4,15),-2.48649 # DEPENDENCYPART_ARC
(4,16),-0.558209 # DEPENDENCYPART_ARC
(4,17),-2.68765 # DEPENDENCYPART_ARC
(4,18),-1.93013 # DEPENDENCYPART_ARC
(4,19),-1.25095 # DEPENDENCYPART_ARC
(4,20),-3.00904 # DEPENDENCYPART_ARC
(4,21),-0.736864 # DEPENDENCYPART_ARC
(4,22),-3.20284 # DEPENDENCYPART_ARC
(4,23),-1.18211 # DEPENDENCYPART_ARC
(5,1),-0.42542 # DEPENDENCYPART_ARC
(5,2),-1.79547 # DEPENDENCYPART_ARC
(5,3),3.95364 # DEPENDENCYPART_ARC
(5,4),4.14748 # DEPENDENCYPART_ARC
(5,6),0.654869 # DEPENDENCYPART_ARC
(5,7),0.837036 # DEPENDENCYPART_ARC
(5,8),2.32413 # DEPENDENCYPART_ARC
(5,9),0.424165 # DEPENDENCYPART_ARC
(5,10),0.374197 # DEPENDENCYPART_ARC
(5,11),-1.17262 # DEPENDENCYPART_ARC
(5,12),-1.41303 # DEPENDENCYPART_ARC
(5,13),0.743369 # DEPENDENCYPART_ARC
(5,14),-1.32743 # DEPENDENCYPART_ARC
(5,15),-1.71568 # DEPENDENCYPART_ARC
(5,16),-0.114734 # DEPENDENCYPART_ARC
(5,17),-3.86025 # DEPENDENCYPART_ARC
(5,18),1.20703 # DEPENDENCYPART_ARC
(5,19),-0.289767 # DEPENDENCYPART_ARC
(5,20),-2.8082 # DEPENDENCYPART_ARC
(5,21),0.216883 # DEPENDENCYPART_ARC
(5,22),-3.47056 # DEPENDENCYPART_ARC
(5,23),0.0632592 # DEPENDENCYPART_ARC
(6,5),-1.49437 # DEPENDENCYPART_ARC
(6,12),-1.59206 # DEPENDENCYPART_ARC
(6,15),-1.72716 # DEPENDENCYPART_ARC
(6,20),-2.2041 # DEPENDENCYPART_ARC
(6,21),-0.591282 # DEPENDENCYPART_ARC
(6,22),-2.40198 # DEPENDENCYPART_ARC
(7,1),-1.40183 # DEPENDENCYPART_ARC
(7,2),-1.9129 # DEPENDENCYPART_ARC
(7,3),-0.951959 # DEPENDENCYPART_ARC
(7,4),-1.62705 # DEPENDENCYPART_ARC
(7,5),-2.36306 # DEPENDENCYPART_ARC
(7,6),0.343618 # DEPENDENCYPART_ARC
(7,8),0.720474 # DEPENDENCYPART_ARC
(7,9),-0.527063 # DEPENDENCYPART_ARC
(7,10),-0.197676 # DEPENDENCYPART_ARC
(7,11),-1.91994 # DEPENDENCYPART_ARC
(7,12),-2.21602 # DEPENDENCYPART_ARC
(7,13),-0.672374 # DEPENDENCYPART_ARC
(7,14),-2.19838 # DEPENDENCYPART_ARC
(7,15),-3.03575 # DEPENDENCYPART_ARC
(7,16),-0.764119 # DEPENDENCYPART_ARC
(7,17),-3.13248 # DEPENDENCYPART_ARC
(7,18),-2.37984 # DEPENDENCYPART_ARC
(7,19),-1.55636 # DEPENDENCYPART_ARC
(7,20),-3.4599 # DEPENDENCYPART_ARC
(7,21),-0.885366 # DEPENDENCYPART_ARC
(7,22),-3.74449 # DEPENDENCYPART_ARC
(7,23),-1.52667 # DEPENDENCYPART_ARC
(8,1),-0.899523 # DEPENDENCYPART_ARC
(8,2),-2.34858 # DEPENDENCYPART_ARC
(8,3),-0.592556 # DEPENDENCYPART_ARC
(8,4),-0.97572 # DEPENDENCYPART_ARC
(8,5),-2.67126 # DEPENDENCYPART_ARC
(8,6),2.95499 # DEPENDENCYPART_ARC
(8,7),2.92533 # DEPENDENCYPART_ARC
(8,9),-0.455375 # DEPENDENCYPART_ARC
(8,10),-0.877336 # DEPENDENCYPART_ARC
(8,11),-1.74566 # DEPENDENCYPART_ARC
(8,12),-1.77004 # DEPENDENCYPART_ARC
(8,13),-0.747321 # DEPENDENCYPART_ARC
(8,14),-2.24261 # DEPENDENCYPART_ARC
(8,15),-2.77956 # DEPENDENCYPART_ARC
(8,16),-1.33385 # DEPENDENCYPART_ARC
(8,17),-5.34098 # DEPENDENCYPART_ARC
(8,18),-0.701625 # DEPENDENCYPART_ARC
(8,19),-1.89217 # DEPENDENCYPART_ARC
(8,20),-4.14426 # DEPENDENCYPART_ARC
(8,21),-0.989326 # DEPENDENCYPART_ARC
(8,22),-4.39655 # DEPENDENCYPART_ARC
(8,23),-1.38088 # DEPENDENCYPART_ARC
(9,1),-0.206851 # DEPENDENCYPART_ARC
(9,2),-0.144848 # DEPENDENCYPART_ARC
(9,4),-0.278012 # DEPENDENCYPART_ARC
(9,5),0.0935214 # DEPENDENCYPART_ARC
(9,7),0.128828 # DEPENDENCYPART_ARC
(9,8),0.245994 # DEPENDENCYPART_ARC
(9,10),0.313859 # DEPENDENCYPART_ARC
(9,12),0.284184 # DEPENDENCYPART_ARC
(9,13),0.151163 # DEPENDENCYPART_ARC
(9,15),-0.1705 # DEPENDENCYPART_ARC
(9,16),0.089126 # DEPENDENCYPART_ARC
(9,17),-1.44705 # DEPENDENCYPART_ARC
(9,18),-0.419064 # DEPENDENCYPART_ARC
(9,19),-0.663647 # DEPENDENCYPART_ARC
(9,20),-1.09751 # DEPENDENCYPART_ARC
(9,21),-0.207693 # DEPENDENCYPART_ARC
(9,22),-1.13845 # DEPENDENCYPART_ARC
(9,23),-0.350149 # DEPENDENCYPART_ARC
(10,1),-1.06269 # DEPENDENCYPART_ARC
(10,2),-1.55279 # DEPENDENCYPART_ARC
(10,3),-1.22505 # DEPENDENCYPART_ARC
(10,4),-1.68651 # DEPENDENCYPART_ARC
(10,5),-1.71463 # DEPENDENCYPART_ARC
(10,6),-0.861235 # DEPENDENCYPART_ARC
(10,7),-1.20339 # DEPENDENCYPART_ARC
(10,8),-1.25194 # DEPENDENCYPART_ARC
(10,9),0.302817 # DEPENDENCYPART_ARC
(10,11),0.157037 # DEPENDENCYPART_ARC
(10,12),2.4223 # DEPENDENCYPART_ARC
(10,13),0.0952584 # DEPENDENCYPART_ARC
(10,14),-1.16637 # DEPENDENCYPART_ARC
(10,15),0.105184 # DEPENDENCYPART_ARC
(10,16),0.343374 # DEPENDENCYPART_ARC
(10,17),-0.542241 # DEPENDENCYPART_ARC
(10,18),-0.887772 # DEPENDENCYPART_ARC
(10,19),-0.974494 # DEPENDENCYPART_ARC
(10,20),-2.28891 # DEPENDENCYPART_ARC
(10,21),-0.481706 # DEPENDENCYPART_ARC
(10,22),-3.02961 # DEPENDENCYPART_ARC
(10,23),-0.668771 # DEPENDENCYPART_ARC
(11,5),-2.83884 # DEPENDENCYPART_ARC
(11,12),0.33574 # DEPENDENCYPART_ARC
(11,15),-0.839419 # DEPENDENCYPART_ARC
(11,20),-2.07686 # DEPENDENCYPART_ARC
(11,21),-0.841781 # DEPENDENCYPART_ARC
(11,22),-2.10036 # DEPENDENCYPART_ARC
(12,1),-1.69532 # DEPENDENCYPART_ARC
(12,2),-3.04339 # DEPENDENCYPART_ARC
(12,3),-1.87765 # DEPENDENCYPART_ARC
(12,4),-2.05648 # DEPENDENCYPART_ARC
(12,5),-3.55556 # DEPENDENCYPART_ARC
(12,6),-1.53457 # DEPENDENCYPART_ARC
(12,7),-1.17658 # DEPENDENCYPART_ARC
(12,8),-1.79784 # DEPENDENCYPART_ARC
(12,9),-0.760794 # DEPENDENCYPART_ARC
(12,10),0.08773 # DEPENDENCYPART_ARC
(12,11),3.08889 # DEPENDENCYPART_ARC
(12,13),0.865443 # DEPENDENCYPART_ARC
(12,14),-0.670696 # DEPENDENCYPART_ARC
(12,15),-0.313953 # DEPENDENCYPART_ARC
(12,16),-0.286452 # DEPENDENCYPART_ARC
(12,17),-3.276 # DEPENDENCYPART_ARC
(12,18),-0.103946 # DEPENDENCYPART_ARC
(12,19),-0.688081 # DEPENDENCYPART_ARC
(12,20),-2.23633 # DEPENDENCYPART_ARC
(12,21),-0.179842 # DEPENDENCYPART_ARC
(12,22),-2.60435 # DEPENDENCYPART_ARC
(12,23),-0.679399 # DEPENDENCYPART_ARC
(13,1),-0.892232 # DEPENDENCYPART_ARC
(13,2),-1.13826 # DEPENDENCYPART_ARC
(13,3),-0.923878 # DEPENDENCYPART_ARC
(13,4),-1.29896 # DEPENDENCYPART_ARC
(13,5),-1.5857 # DEPENDENCYPART_ARC
(13,6),-0.776131 # DEPENDENCYPART_ARC
(13,7),-1.24911 # DEPENDENCYPART_ARC
(13,8),-1.3885 # DEPENDENCYPART_ARC
(13,9),-0.243307 # DEPENDENCYPART_ARC
(13,10),-0.0444314 # DEPENDENCYPART_ARC
(13,11),0.188609 # DEPENDENCYPART_ARC
(13,12),-0.569675 # DEPENDENCYPART_ARC
(13,14),0.300014 # DEPENDENCYPART_ARC
(13,15),2.85844 # DEPENDENCYPART_ARC
(13,16),0.447287 # DEPENDENCYPART_ARC
(13,17),0.136873 # DEPENDENCYPART_ARC
(13,18),-0.2151 # DEPENDENCYPART_ARC
(13,19),-0.713934 # DEPENDENCYPART_ARC
(13,20),-1.10076 # DEPENDENCYPART_ARC
(13,21),0.130173 # DEPENDENCYPART_ARC
(13,22),-1.52547 # DEPENDENCYPART_ARC
(13,23),-0.419863 # DEPENDENCYPART_ARC
(14,5),-2.77828 # DEPENDENCYPART_ARC
(14,12),-1.406 # DEPENDENCYPART_ARC
(14,15),0.159825 # DEPENDENCYPART_ARC
(14,20),-2.11775 # DEPENDENCYPART_ARC
(14,21),-0.974213 # DEPENDENCYPART_ARC
(14,22),-2.21334 # DEPENDENCYPART_ARC
(15,1),-1.50231 # DEPENDENCYPART_ARC
(15,2),-2.93493 # DEPENDENCYPART_ARC
(15,3),-2.87272 # DEPENDENCYPART_ARC
(15,4),-2.45042 # DEPENDENCYPART_ARC
(15,5),-3.73331 # DEPENDENCYPART_ARC
(15,6),-2.27487 # DEPENDENCYPART_ARC
(15,7),-1.92306 # DEPENDENCYPART_ARC
(15,8),-2.34401 # DEPENDENCYPART_ARC
(15,9),-1.07908 # DEPENDENCYPART_ARC
(15,10),-0.760831 # DEPENDENCYPART_ARC
(15,11),0.683039 # DEPENDENCYPART_ARC
(15,12),-0.356761 # DEPENDENCYPART_ARC
(15,13),0.224845 # DEPENDENCYPART_ARC
(15,14),3.23718 # DEPENDENCYPART_ARC
(15,16),0.0743891 # DEPENDENCYPART_ARC
(15,17),-1.90857 # DEPENDENCYPART_ARC
(15,18),0.599012 # DEPENDENCYPART_ARC
(15,19),-0.501635 # DEPENDENCYPART_ARC
(15,20),-1.18992 # DEPENDENCYPART_ARC
(15,21),-0.0268379 # DEPENDENCYPART_ARC
(15,22),-1.97311 # DEPENDENCYPART_ARC
(15,23),-0.861745 # DEPENDENCYPART_ARC
(16,1),-0.829772 # DEPENDENCYPART_ARC
(16,2),-0.771095 # DEPENDENCYPART_ARC
(16,4),-0.75173 # DEPENDENCYPART_ARC
(16,5),-0.318878 # DEPENDENCYPART_ARC
(16,7),-0.562972 # DEPENDENCYPART_ARC
(16,8),-0.630246 # DEPENDENCYPART_ARC
(16,9),-0.778602 # DEPENDENCYPART_ARC
(16,10),-0.272532 # DEPENDENCYPART_ARC
(16,12),-0.460261 # DEPENDENCYPART_ARC
(16,13),0.0852977 # DEPENDENCYPART_ARC
(16,15),-0.117409 # DEPENDENCYPART_ARC
(16,17),-0.154007 # DEPENDENCYPART_ARC
(16,18),0.114221 # DEPENDENCYPART_ARC
(16,19),-0.0936597 # DEPENDENCYPART_ARC
(16,20),-0.24563 # DEPENDENCYPART_ARC
(16,21),-0.129208 # DEPENDENCYPART_ARC
(16,22),-0.70067 # DEPENDENCYPART_ARC
(16,23),0.137052 # DEPENDENCYPART_ARC
(17,1),-1.34883 # DEPENDENCYPART_ARC
(17,2),-2.79496 # DEPENDENCYPART_ARC
(17,3),-1.40261 # DEPENDENCYPART_ARC
(17,4),-2.67387 # DEPENDENCYPART_ARC
(17,6),-1.38503 # DEPENDENCYPART_ARC
(17,7),-3.48601 # DEPENDENCYPART_ARC
(17,9),-1.06303 # DEPENDENCYPART_ARC
(17,11),-0.879452 # DEPENDENCYPART_ARC
(17,14),-0.155187 # DEPENDENCYPART_ARC
(17,16),0.148435 # DEPENDENCYPART_ARC
(17,18),-0.505776 # DEPENDENCYPART_ARC
(17,23),-1.16962 # DEPENDENCYPART_ARC
(18,1),-1.34782 # DEPENDENCYPART_ARC
(18,2),-3.94753 # DEPENDENCYPART_ARC
(18,3),-2.32175 # DEPENDENCYPART_ARC
(18,4),-1.55481 # DEPENDENCYPART_ARC
(18,5),-1.60852 # DEPENDENCYPART_ARC
(18,6),-2.91223 # DEPENDENCYPART_ARC
(18,7),-3.33687 # DEPENDENCYPART_ARC
(18,8),-4.22017 # DEPENDENCYPART_ARC
(18,9),0.148233 # DEPENDENCYPART_ARC
(18,10),-0.327066 # DEPENDENCYPART_ARC
(18,11),-1.24897 # DEPENDENCYPART_ARC
(18,12),-1.83668 # DEPENDENCYPART_ARC
(18,13),-0.0867012 # DEPENDENCYPART_ARC
(18,14),-0.772934 # DEPENDENCYPART_ARC
(18,15),-1.61918 # DEPENDENCYPART_ARC
(18,16),1.26793 # DEPENDENCYPART_ARC
(18,17),3.92445 # DEPENDENCYPART_ARC
(18,19),2.23541 # DEPENDENCYPART_ARC
(18,20),0.458019 # DEPENDENCYPART_ARC
(18,21),0.484342 # DEPENDENCYPART_ARC
(18,22),-0.573358 # DEPENDENCYPART_ARC
(18,23),0.259524 # DEPENDENCYPART_ARC
(19,1),-1.32556 # DEPENDENCYPART_ARC
(19,2),-1.59577 # DEPENDENCYPART_ARC
(19,3),-1.43345 # DEPENDENCYPART_ARC
(19,4),-1.85659 # DEPENDENCYPART_ARC
(19,5),-2.03866 # DEPENDENCYPART_ARC
(19,6),-1.48005 # DEPENDENCYPART_ARC
(19,7),-1.82566 # DEPENDENCYPART_ARC
(19,8),-1.97422 # DEPENDENCYPART_ARC
(19,9),-1.1221 # DEPENDENCYPART_ARC
(19,10),-0.997473 # DEPENDENCYPART_ARC
(19,11),-1.23219 # DEPENDENCYPART_ARC
(19,12),-1.86876 # DEPENDENCYPART_ARC
(19,13),-0.891428 # DEPENDENCYPART_ARC
(19,14),-0.92298 # DEPENDENCYPART_ARC
(19,15),-1.55644 # DEPENDENCYPART_ARC
(19,16),-0.447381 # DEPENDENCYPART_ARC
(19,17),-0.615527 # DEPENDENCYPART_ARC
(19,18),-0.191733 # DEPENDENCYPART_ARC
(19,20),2.96684 # DEPENDENCYPART_ARC
(19,21),1.45672 # DEPENDENCYPART_ARC
(19,22),0.494689 # DEPENDENCYPART_ARC
(19,23),-0.0838934 # DEPENDENCYPART_ARC
(20,1),-2.64039 # DEPENDENCYPART_ARC
(20,2),-4.53266 # DEPENDENCYPART_ARC
(20,3),-4.00553 # DEPENDENCYPART_ARC
(20,4),-3.70091 # DEPENDENCYPART_ARC
(20,5),-4.57313 # DEPENDENCYPART_ARC
(20,6),-3.81545 # DEPENDENCYPART_ARC
(20,7),-3.47141 # DEPENDENCYPART_ARC
(20,8),-3.80566 # DEPENDENCYPART_ARC
(20,9),-2.49147 # DEPENDENCYPART_ARC
(20,10),-2.06648 # DEPENDENCYPART_ARC
(20,11),-2.99471 # DEPENDENCYPART_ARC
(20,12),-3.16488 # DEPENDENCYPART_ARC
(20,13),-1.9138 # DEPENDENCYPART_ARC
(20,14),-2.04732 # DEPENDENCYPART_ARC
(20,15),-2.41705 # DEPENDENCYPART_ARC
(20,16),-1.96512 # DEPENDENCYPART_ARC
(20,17),-2.67295 # DEPENDENCYPART_ARC
(20,18),-2.51323 # DEPENDENCYPART_ARC
(20,19),-0.0926136 # DEPENDENCYPART_ARC
(20,21),0.174837 # DEPENDENCYPART_ARC
(20,22),-0.437585 # DEPENDENCYPART_ARC
(20,23),-0.6046 # DEPENDENCYPART_ARC
(21,1),-1.29098 # DEPENDENCYPART_ARC
(21,2),-0.519462 # DEPENDENCYPART_ARC
(21,3),-0.565107 # DEPENDENCYPART_ARC
(21,4),-1.03019 # DEPENDENCYPART_ARC
(21,5),-0.432578 # DEPENDENCYPART_ARC
(21,6),-0.733443 # DEPENDENCYPART_ARC
(21,7),-0.827201 # DEPENDENCYPART_ARC
(21,8),-0.242633 # DEPENDENCYPART_ARC
(21,9),-0.577169 # DEPENDENCYPART_ARC
(21,10),-1.12487 # DEPENDENCYPART_ARC
(21,11),-0.134577 # DEPENDENCYPART_ARC
(21,12),-0.161868 # DEPENDENCYPART_ARC
(21,13),-0.377871 # DEPENDENCYPART_ARC
(21,14),0.0481717 # DEPENDENCYPART_ARC
(21,15),0.474477 # DEPENDENCYPART_ARC
(21,16),-0.0157684 # DEPENDENCYPART_ARC
(21,17),0.972253 # DEPENDENCYPART_ARC
(21,18),1.0348 # DEPENDENCYPART_ARC
(21,19),0.858912 # DEPENDENCYPART_ARC
(21,20),3.39606 # DEPENDENCYPART_ARC
(21,22),2.92566 # DEPENDENCYPART_ARC
(21,23),0.305022 # DEPENDENCYPART_ARC
(22,1),-1.87843 # DEPENDENCYPART_ARC
(22,2),-3.61108 # DEPENDENCYPART_ARC
(22,3),-3.34078 # DEPENDENCYPART_ARC
(22,4),-3.08795 # DEPENDENCYPART_ARC
(22,5),-3.79018 # DEPENDENCYPART_ARC
(22,6),-3.13565 # DEPENDENCYPART_ARC
(22,7),-2.75825 # DEPENDENCYPART_ARC
(22,8),-3.041 # DEPENDENCYPART_ARC
(22,9),-1.67906 # DEPENDENCYPART_ARC
(22,10),-1.3745 # DEPENDENCYPART_ARC
(22,11),-2.62303 # DEPENDENCYPART_ARC
(22,12),-2.41851 # DEPENDENCYPART_ARC
(22,13),-1.08039 # DEPENDENCYPART_ARC
(22,14),-1.52324 # DEPENDENCYPART_ARC
(22,15),-2.0286 # DEPENDENCYPART_ARC
(22,16),-1.41328 # DEPENDENCYPART_ARC
(22,17),-2.10086 # DEPENDENCYPART_ARC
(22,18),-2.75164 # DEPENDENCYPART_ARC
(22,19),-0.385877 # DEPENDENCYPART_ARC
(22,20),0.43438 # DEPENDENCYPART_ARC
(22,21),0.390706 # DEPENDENCYPART_ARC
(22,23),0.272226 # DEPENDENCYPART_ARC
(23,1),-2.31652 # DEPENDENCYPART_ARC
(23,2),-3.02801 # DEPENDENCYPART_ARC
(23,4),-2.42057 # DEPENDENCYPART_ARC
(23,5),-2.63222 # DEPENDENCYPART_ARC
(23,7),-2.44923 # DEPENDENCYPART_ARC
(23,8),-2.89887 # DEPENDENCYPART_ARC
(23,9),-2.51897 # DEPENDENCYPART_ARC
(23,10),-2.97071 # DEPENDENCYPART_ARC
(23,12),-2.66459 # DEPENDENCYPART_ARC
(23,13),-2.52698 # DEPENDENCYPART_ARC
(23,15),-2.59828 # DEPENDENCYPART_ARC
(23,16),-1.97956 # DEPENDENCYPART_ARC
(23,17),-2.1813 # DEPENDENCYPART_ARC
(23,18),-2.42237 # DEPENDENCYPART_ARC
(23,19),-1.93325 # DEPENDENCYPART_ARC
(23,20),-1.68222 # DEPENDENCYPART_ARC
(23,21),-1.87032 # DEPENDENCYPART_ARC
(23,22),-1.68938 # DEPENDENCYPART_ARC
