# _root_ Είναι πιθανό να διατηρούμε έγκλειστα δόντια στο στόμα μας , επί χρόνια , και να το αγνοούμε .
#goldHeads=0,1,4,14,6,4,5,7,8,14,14,11,14,2,17,17,14,0,
#predictedHeads=0,1,4,14,6,4,6,7,8,17,14,11,14,1,17,17,14,0,
(11,8),-0.669102 # DEPENDENCYPART_ARC
(11,9),0.0496328 # DEPENDENCYPART_ARC
(11,10),0.863167 # DEPENDENCYPART_ARC
(11,12),3.03727 # DEPENDENCYPART_ARC
(11,13),1.11625 # DEPENDENCYPART_ARC
(11,14),0.517782 # DEPENDENCYPART_ARC
(11,15),-0.59984 # DEPENDENCYPART_ARC
(11,16),-0.308617 # DEPENDENCYPART_ARC
(11,17),-0.670915 # DEPENDENCYPART_ARC
(11,18),-0.248662 # DEPENDENCYPART_ARC
(12,1),-2.93499 # DEPENDENCYPART_ARC
(12,2),-2.86256 # DEPENDENCYPART_ARC
(12,3),-1.1469 # DEPENDENCYPART_ARC
(12,4),-2.56423 # DEPENDENCYPART_ARC
(12,5),-0.682011 # DEPENDENCYPART_ARC
(12,6),-1.6362 # DEPENDENCYPART_ARC
(12,7),-1.90637 # DEPENDENCYPART_ARC
(12,8),-1.00275 # DEPENDENCYPART_ARC
(12,9),-0.706797 # DEPENDENCYPART_ARC
(12,10),0.164427 # DEPENDENCYPART_ARC
(12,11),0.721665 # DEPENDENCYPART_ARC
(12,13),0.0900757 # DEPENDENCYPART_ARC
(12,14),0.00463834 # DEPENDENCYPART_ARC
(12,15),-0.627942 # DEPENDENCYPART_ARC
(12,16),-2.39338 # DEPENDENCYPART_ARC
(12,17),-0.0655167 # DEPENDENCYPART_ARC
(12,18),-1.00554 # DEPENDENCYPART_ARC
(13,1),-0.667129 # DEPENDENCYPART_ARC
(13,2),-0.930578 # DEPENDENCYPART_ARC
(13,3),-0.103639 # DEPENDENCYPART_ARC
(13,4),-0.698179 # DEPENDENCYPART_ARC
(13,5),-0.55026 # DEPENDENCYPART_ARC
(13,6),-0.0565502 # DEPENDENCYPART_ARC
(13,7),0.0298032 # DEPENDENCYPART_ARC
(13,8),0.0583738 # DEPENDENCYPART_ARC
(13,9),-0.614065 # DEPENDENCYPART_ARC
(13,10),0.127534 # DEPENDENCYPART_ARC
(13,11),-0.0634029 # DEPENDENCYPART_ARC
(13,12),0.292376 # DEPENDENCYPART_ARC
(13,14),0.0382904 # DEPENDENCYPART_ARC
(13,15),-0.55604 # DEPENDENCYPART_ARC
(13,16),-1.08234 # DEPENDENCYPART_ARC
(13,17),-0.458724 # DEPENDENCYPART_ARC
(13,18),-0.602206 # DEPENDENCYPART_ARC
(14,1),0.302154 # DEPENDENCYPART_ARC
(14,2),-0.211995 # DEPENDENCYPART_ARC
(14,3),0.373197 # DEPENDENCYPART_ARC
(14,4),1.5197 # DEPENDENCYPART_ARC
(14,5),0.223797 # DEPENDENCYPART_ARC
(14,6),0.0642595 # DEPENDENCYPART_ARC
(14,7),0.281964 # DEPENDENCYPART_ARC
(14,8),0.567776 # DEPENDENCYPART_ARC
(14,9),0.605134 # DEPENDENCYPART_ARC
(14,10),0.84838 # DEPENDENCYPART_ARC
(14,11),0.838574 # DEPENDENCYPART_ARC
(14,12),0.924379 # DEPENDENCYPART_ARC
(14,13),1.91122 # DEPENDENCYPART_ARC
(14,15),1.37218 # DEPENDENCYPART_ARC
(14,16),1.22909 # DEPENDENCYPART_ARC
(14,17),2.18155 # DEPENDENCYPART_ARC
(14,18),1.24966 # DEPENDENCYPART_ARC
(15,1),-1.74724 # DEPENDENCYPART_ARC
(15,2),-1.93635 # DEPENDENCYPART_ARC
(15,3),-1.36608 # DEPENDENCYPART_ARC
(15,4),-1.51069 # DEPENDENCYPART_ARC
(15,5),-1.63666 # DEPENDENCYPART_ARC
(15,6),-1.46057 # DEPENDENCYPART_ARC
(15,7),-0.986965 # DEPENDENCYPART_ARC
(15,8),-1.43301 # DEPENDENCYPART_ARC
(15,9),-1.3275 # DEPENDENCYPART_ARC
(15,10),-0.916735 # DEPENDENCYPART_ARC
(15,11),-0.804694 # DEPENDENCYPART_ARC
(15,12),-0.996346 # DEPENDENCYPART_ARC
(15,13),-0.403075 # DEPENDENCYPART_ARC
(15,14),0.016189 # DEPENDENCYPART_ARC
(15,16),0.472844 # DEPENDENCYPART_ARC
(15,17),0.272198 # DEPENDENCYPART_ARC
(15,18),0.0272968 # DEPENDENCYPART_ARC
(16,1),-3.4172 # DEPENDENCYPART_ARC
(16,2),-2.04002 # DEPENDENCYPART_ARC
(16,3),-1.74759 # DEPENDENCYPART_ARC
(16,4),-3.43384 # DEPENDENCYPART_ARC
(16,5),-1.9108 # DEPENDENCYPART_ARC
(16,6),-2.3798 # DEPENDENCYPART_ARC
(16,7),-1.83998 # DEPENDENCYPART_ARC
(16,8),-2.55731 # DEPENDENCYPART_ARC
(16,9),-2.00638 # DEPENDENCYPART_ARC
(16,10),-1.17234 # DEPENDENCYPART_ARC
(16,11),-1.21584 # DEPENDENCYPART_ARC
(16,12),-2.00118 # DEPENDENCYPART_ARC
(16,13),-0.784467 # DEPENDENCYPART_ARC
(16,14),-0.462704 # DEPENDENCYPART_ARC
(16,15),-0.0188423 # DEPENDENCYPART_ARC
(16,17),-0.843097 # DEPENDENCYPART_ARC
(16,18),-0.628147 # DEPENDENCYPART_ARC
(17,1),-2.91759 # DEPENDENCYPART_ARC
(17,2),-1.71275 # DEPENDENCYPART_ARC
(17,3),0.344951 # DEPENDENCYPART_ARC
(17,4),-2.42895 # DEPENDENCYPART_ARC
(17,5),-0.965597 # DEPENDENCYPART_ARC
(17,6),-0.870276 # DEPENDENCYPART_ARC
(17,7),0.543208 # DEPENDENCYPART_ARC
(17,8),-1.80871 # DEPENDENCYPART_ARC
(17,9),-2.45558 # DEPENDENCYPART_ARC
(17,10),0.919346 # DEPENDENCYPART_ARC
(17,11),0.831967 # DEPENDENCYPART_ARC
(17,12),-0.433286 # DEPENDENCYPART_ARC
(17,13),1.03117 # DEPENDENCYPART_ARC
(17,14),0.974948 # DEPENDENCYPART_ARC
(17,15),2.72197 # DEPENDENCYPART_ARC
(17,16),4.58112 # DEPENDENCYPART_ARC
(17,18),0.613901 # DEPENDENCYPART_ARC
(18,1),-2.57682 # DEPENDENCYPART_ARC
(18,2),-2.60533 # DEPENDENCYPART_ARC
(18,3),-1.83891 # DEPENDENCYPART_ARC
(18,4),-2.61141 # DEPENDENCYPART_ARC
(18,5),-2.49996 # DEPENDENCYPART_ARC
(18,6),-2.54703 # DEPENDENCYPART_ARC
(18,7),-2.30237 # DEPENDENCYPART_ARC
(18,8),-2.28333 # DEPENDENCYPART_ARC
(18,9),-2.14441 # DEPENDENCYPART_ARC
(18,10),-1.93476 # DEPENDENCYPART_ARC
(18,11),-2.11046 # DEPENDENCYPART_ARC
(18,12),-2.2577 # DEPENDENCYPART_ARC
(18,13),-1.88972 # DEPENDENCYPART_ARC
(18,14),-1.94053 # DEPENDENCYPART_ARC
(18,15),-1.35168 # DEPENDENCYPART_ARC
(18,16),-1.7823 # DEPENDENCYPART_ARC
(18,17),-1.54333 # DEPENDENCYPART_ARC
