# _root_ Η Ρόδος , επίσης μαζί με τα υπόλοιπα Δωδεκάνησα , ενώθηκε με την Ελλάδα το 1948 .
#goldHeads=2,11,11,5,11,5,9,9,6,11,0,11,14,12,16,11,0,
#predictedHeads=2,11,11,5,11,5,9,9,6,11,0,11,14,12,16,11,0,
(5,11),-0.357976 # DEPENDENCYPART_ARC
(5,12),-0.183693 # DEPENDENCYPART_ARC
(5,13),-1.435 # DEPENDENCYPART_ARC
(5,14),-1.7121 # DEPENDENCYPART_ARC
(5,15),-1.29506 # DEPENDENCYPART_ARC
(5,16),-0.926428 # DEPENDENCYPART_ARC
(5,17),-0.457716 # DEPENDENCYPART_ARC
(6,1),-0.63474 # DEPENDENCYPART_ARC
(6,2),-1.276 # DEPENDENCYPART_ARC
(6,3),0.180665 # DEPENDENCYPART_ARC
(6,4),-0.036276 # DEPENDENCYPART_ARC
(6,5),0.3276 # DEPENDENCYPART_ARC
(6,7),0.310466 # DEPENDENCYPART_ARC
(6,8),1.18172 # DEPENDENCYPART_ARC
(6,9),2.4365 # DEPENDENCYPART_ARC
(6,10),0.185379 # DEPENDENCYPART_ARC
(6,11),-0.37487 # DEPENDENCYPART_ARC
(6,12),-0.699874 # DEPENDENCYPART_ARC
(6,13),-1.64753 # DEPENDENCYPART_ARC
(6,14),-0.661436 # DEPENDENCYPART_ARC
(6,15),-1.74249 # DEPENDENCYPART_ARC
(6,16),-0.511994 # DEPENDENCYPART_ARC
(6,17),-0.960566 # DEPENDENCYPART_ARC
(7,4),-1.42627 # DEPENDENCYPART_ARC
(7,5),-1.16225 # DEPENDENCYPART_ARC
(8,1),-2.5708 # DEPENDENCYPART_ARC
(8,2),-2.33995 # DEPENDENCYPART_ARC
(8,3),-1.49992 # DEPENDENCYPART_ARC
(8,4),-1.09716 # DEPENDENCYPART_ARC
(8,5),-0.684351 # DEPENDENCYPART_ARC
(8,6),-0.600237 # DEPENDENCYPART_ARC
(8,7),1.15115 # DEPENDENCYPART_ARC
(8,9),0.289388 # DEPENDENCYPART_ARC
(8,10),-0.419188 # DEPENDENCYPART_ARC
(8,11),-1.07582 # DEPENDENCYPART_ARC
(8,12),-0.956925 # DEPENDENCYPART_ARC
(8,13),-1.89009 # DEPENDENCYPART_ARC
(8,14),-2.08041 # DEPENDENCYPART_ARC
(8,15),-2.37077 # DEPENDENCYPART_ARC
(8,16),-1.2681 # DEPENDENCYPART_ARC
(8,17),-1.05281 # DEPENDENCYPART_ARC
(9,1),-1.1959 # DEPENDENCYPART_ARC
(9,2),-2.35033 # DEPENDENCYPART_ARC
(9,3),-0.117533 # DEPENDENCYPART_ARC
(9,4),-0.153559 # DEPENDENCYPART_ARC
(9,5),0.159456 # DEPENDENCYPART_ARC
(9,6),0.146551 # DEPENDENCYPART_ARC
(9,7),3.84861 # DEPENDENCYPART_ARC
(9,8),3.89422 # DEPENDENCYPART_ARC
(9,10),-0.478796 # DEPENDENCYPART_ARC
(9,11),-0.794656 # DEPENDENCYPART_ARC
(9,12),-1.50187 # DEPENDENCYPART_ARC
(9,13),-2.56499 # DEPENDENCYPART_ARC
(9,14),-2.2895 # DEPENDENCYPART_ARC
(9,15),-2.89985 # DEPENDENCYPART_ARC
(9,16),-1.80624 # DEPENDENCYPART_ARC
(9,17),-1.698 # DEPENDENCYPART_ARC
(10,2),-0.862884 # DEPENDENCYPART_ARC
(10,3),-0.493726 # DEPENDENCYPART_ARC
(10,4),-0.315716 # DEPENDENCYPART_ARC
(10,5),-0.44033 # DEPENDENCYPART_ARC
(10,6),-0.00594701 # DEPENDENCYPART_ARC
(10,8),-0.0133656 # DEPENDENCYPART_ARC
(10,9),0.0726776 # DEPENDENCYPART_ARC
(10,11),-0.24089 # DEPENDENCYPART_ARC
(10,12),-1.02397 # DEPENDENCYPART_ARC
(10,14),-0.971034 # DEPENDENCYPART_ARC
(10,16),-1.16125 # DEPENDENCYPART_ARC
(10,17),-1.04942 # DEPENDENCYPART_ARC
(11,1),-1.84942 # DEPENDENCYPART_ARC
(11,2),0.987628 # DEPENDENCYPART_ARC
(11,3),0.938887 # DEPENDENCYPART_ARC
(11,4),0.813301 # DEPENDENCYPART_ARC
(11,5),0.772982 # DEPENDENCYPART_ARC
(11,6),0.227562 # DEPENDENCYPART_ARC
(11,7),-1.50913 # DEPENDENCYPART_ARC
(11,8),0.245892 # DEPENDENCYPART_ARC
(11,9),-0.779651 # DEPENDENCYPART_ARC
(11,10),1.17782 # DEPENDENCYPART_ARC
(11,12),1.94962 # DEPENDENCYPART_ARC
(11,13),-0.425701 # DEPENDENCYPART_ARC
(11,14),0.571483 # DEPENDENCYPART_ARC
(11,15),-1.37211 # DEPENDENCYPART_ARC
(11,16),0.868198 # DEPENDENCYPART_ARC
(11,17),0.87683 # DEPENDENCYPART_ARC
(12,1),-1.40229 # DEPENDENCYPART_ARC
(12,2),-1.93757 # DEPENDENCYPART_ARC
(12,3),-0.709585 # DEPENDENCYPART_ARC
(12,4),-1.11488 # DEPENDENCYPART_ARC
(12,5),-1.17246 # DEPENDENCYPART_ARC
(12,6),-0.657573 # DEPENDENCYPART_ARC
(12,7),-0.98848 # DEPENDENCYPART_ARC
(12,8),-1.38805 # DEPENDENCYPART_ARC
(12,9),-1.3912 # DEPENDENCYPART_ARC
(12,10),-0.223922 # DEPENDENCYPART_ARC
(12,11),-0.243507 # DEPENDENCYPART_ARC
(12,13),0.0397351 # DEPENDENCYPART_ARC
(12,14),2.6441 # DEPENDENCYPART_ARC
(12,15),-1.04673 # DEPENDENCYPART_ARC
(12,16),0.116362 # DEPENDENCYPART_ARC
(12,17),-0.479294 # DEPENDENCYPART_ARC
(13,4),-2.30288 # DEPENDENCYPART_ARC
(13,5),-2.32165 # DEPENDENCYPART_ARC
(14,1),-2.26199 # DEPENDENCYPART_ARC
(14,2),-3.22044 # DEPENDENCYPART_ARC
(14,3),-1.5789 # DEPENDENCYPART_ARC
(14,4),-1.84438 # DEPENDENCYPART_ARC
(14,5),-1.52077 # DEPENDENCYPART_ARC
(14,6),-1.58062 # DEPENDENCYPART_ARC
(14,7),-2.18188 # DEPENDENCYPART_ARC
(14,8),-2.44217 # DEPENDENCYPART_ARC
(14,9),-2.78224 # DEPENDENCYPART_ARC
(14,10),-1.26908 # DEPENDENCYPART_ARC
(14,11),-2.2286 # DEPENDENCYPART_ARC
(14,12),-0.0781417 # DEPENDENCYPART_ARC
(14,13),3.07539 # DEPENDENCYPART_ARC
(14,15),-0.595993 # DEPENDENCYPART_ARC
(14,16),0.330051 # DEPENDENCYPART_ARC
(14,17),-0.556012 # DEPENDENCYPART_ARC
(15,4),-1.2142 # DEPENDENCYPART_ARC
(15,5),-1.25646 # DEPENDENCYPART_ARC
(16,1),-0.250723 # DEPENDENCYPART_ARC
(16,2),-1.21512 # DEPENDENCYPART_ARC
(16,3),-0.731763 # DEPENDENCYPART_ARC
(16,4),-0.245138 # DEPENDENCYPART_ARC
(16,5),-0.293164 # DEPENDENCYPART_ARC
(16,6),-0.690699 # DEPENDENCYPART_ARC
(16,7),-0.0351308 # DEPENDENCYPART_ARC
(16,8),-0.781638 # DEPENDENCYPART_ARC
(16,9),-0.948255 # DEPENDENCYPART_ARC
(16,10),-0.473854 # DEPENDENCYPART_ARC
(16,11),-0.380718 # DEPENDENCYPART_ARC
(16,12),-0.19598 # DEPENDENCYPART_ARC
(16,13),0.872359 # DEPENDENCYPART_ARC
(16,14),-0.0856478 # DEPENDENCYPART_ARC
(16,15),2.42423 # DEPENDENCYPART_ARC
(16,17),0.556927 # DEPENDENCYPART_ARC
(17,2),-3.24757 # DEPENDENCYPART_ARC
(17,3),-2.73375 # DEPENDENCYPART_ARC
(17,4),-2.26745 # DEPENDENCYPART_ARC
(17,5),-2.21956 # DEPENDENCYPART_ARC
(17,6),-2.79002 # DEPENDENCYPART_ARC
(17,8),-2.45176 # DEPENDENCYPART_ARC
(17,9),-2.77472 # DEPENDENCYPART_ARC
(17,10),-2.26937 # DEPENDENCYPART_ARC
(17,11),-2.26035 # DEPENDENCYPART_ARC
(17,12),-2.20439 # DEPENDENCYPART_ARC
(17,14),-1.94104 # DEPENDENCYPART_ARC
(17,16),-1.54641 # DEPENDENCYPART_ARC
