# _root_ Ειδικούς φακούς επαφής , που στοχεύουν στο να αποτρέψουν την αύξησή της , δημιούργησαν Βρετανοί επιστήμονες
#goldHeads=3,14,2,6,6,2,6,9,7,11,9,11,6,0,16,14,
#predictedHeads=3,3,4,6,6,0,6,9,7,11,9,11,14,11,16,14,
(2,7),-1.65328 # DEPENDENCYPART_ARC
(2,9),-2.36498 # DEPENDENCYPART_ARC
(2,10),-2.23427 # DEPENDENCYPART_ARC
(2,11),-3.17958 # DEPENDENCYPART_ARC
(2,12),-2.50851 # DEPENDENCYPART_ARC
(2,13),-1.20789 # DEPENDENCYPART_ARC
(2,14),-2.5009 # DEPENDENCYPART_ARC
(2,15),-3.12763 # DEPENDENCYPART_ARC
(2,16),-3.2455 # DEPENDENCYPART_ARC
(3,1),2.58192 # DEPENDENCYPART_ARC
(3,2),2.91377 # DEPENDENCYPART_ARC
(3,4),0.0735208 # DEPENDENCYPART_ARC
(3,5),-2.28305 # DEPENDENCYPART_ARC
(3,6),0.644647 # DEPENDENCYPART_ARC
(3,7),-1.36857 # DEPENDENCYPART_ARC
(3,8),-1.52901 # DEPENDENCYPART_ARC
(3,9),-1.7228 # DEPENDENCYPART_ARC
(3,10),-1.93333 # DEPENDENCYPART_ARC
(3,11),-2.49952 # DEPENDENCYPART_ARC
(3,12),-2.02285 # DEPENDENCYPART_ARC
(3,13),-1.02954 # DEPENDENCYPART_ARC
(3,14),-2.38351 # DEPENDENCYPART_ARC
(3,15),-3.5182 # DEPENDENCYPART_ARC
(3,16),-3.572 # DEPENDENCYPART_ARC
(4,1),-0.362001 # DEPENDENCYPART_ARC
(4,2),-0.208372 # DEPENDENCYPART_ARC
(4,3),-0.0544477 # DEPENDENCYPART_ARC
(4,5),-0.20529 # DEPENDENCYPART_ARC
(4,6),0.0629375 # DEPENDENCYPART_ARC
(4,7),-0.311873 # DEPENDENCYPART_ARC
(4,8),-0.644815 # DEPENDENCYPART_ARC
(4,9),-0.939173 # DEPENDENCYPART_ARC
(4,11),-1.08384 # DEPENDENCYPART_ARC
(4,13),-0.143019 # DEPENDENCYPART_ARC
(4,14),-1.0251 # DEPENDENCYPART_ARC
(4,15),-1.38752 # DEPENDENCYPART_ARC
(4,16),-1.3501 # DEPENDENCYPART_ARC
(5,1),-3.22657 # DEPENDENCYPART_ARC
(5,2),-3.04799 # DEPENDENCYPART_ARC
(5,4),0.0725403 # DEPENDENCYPART_ARC
(5,6),-0.317428 # DEPENDENCYPART_ARC
(5,9),-0.884528 # DEPENDENCYPART_ARC
(5,10),-2.65501 # DEPENDENCYPART_ARC
(5,13),-1.251 # DEPENDENCYPART_ARC
(5,14),-1.61823 # DEPENDENCYPART_ARC
(6,1),-2.69334 # DEPENDENCYPART_ARC
(6,2),-2.64825 # DEPENDENCYPART_ARC
(6,3),-3.09371 # DEPENDENCYPART_ARC
(6,4),1.47503 # DEPENDENCYPART_ARC
(6,5),3.85314 # DEPENDENCYPART_ARC
(6,7),2.22246 # DEPENDENCYPART_ARC
(6,8),0.229656 # DEPENDENCYPART_ARC
(6,9),0.559423 # DEPENDENCYPART_ARC
(6,10),-2.30617 # DEPENDENCYPART_ARC
(6,11),0.0447886 # DEPENDENCYPART_ARC
(6,12),-4.97505 # DEPENDENCYPART_ARC
(6,13),0.323331 # DEPENDENCYPART_ARC
(6,14),-3.20963 # DEPENDENCYPART_ARC
(6,15),-1.52888 # DEPENDENCYPART_ARC
(6,16),-1.46091 # DEPENDENCYPART_ARC
(7,1),-2.15068 # DEPENDENCYPART_ARC
(7,2),-1.98006 # DEPENDENCYPART_ARC
(7,3),-2.33772 # DEPENDENCYPART_ARC
(7,4),-0.479396 # DEPENDENCYPART_ARC
(7,5),-1.21487 # DEPENDENCYPART_ARC
(7,6),-1.59127 # DEPENDENCYPART_ARC
(7,9),0.656803 # DEPENDENCYPART_ARC
(7,11),0.603928 # DEPENDENCYPART_ARC
(7,13),0.079576 # DEPENDENCYPART_ARC
(7,14),-1.69043 # DEPENDENCYPART_ARC
(7,15),-2.31588 # DEPENDENCYPART_ARC
(7,16),-3.03445 # DEPENDENCYPART_ARC
(8,3),-2.3634 # DEPENDENCYPART_ARC
(8,4),-1.8683 # DEPENDENCYPART_ARC
(8,6),-1.4931 # DEPENDENCYPART_ARC
(8,9),0.329826 # DEPENDENCYPART_ARC
(8,10),-0.72359 # DEPENDENCYPART_ARC
(8,11),-0.735222 # DEPENDENCYPART_ARC
(8,13),-0.730937 # DEPENDENCYPART_ARC
(8,14),-1.30707 # DEPENDENCYPART_ARC
(8,16),-1.62279 # DEPENDENCYPART_ARC
(9,1),-4.20484 # DEPENDENCYPART_ARC
(9,2),-4.27718 # DEPENDENCYPART_ARC
(9,3),-3.24534 # DEPENDENCYPART_ARC
(9,4),-0.0548554 # DEPENDENCYPART_ARC
(9,5),2.50864 # DEPENDENCYPART_ARC
(9,6),-1.56585 # DEPENDENCYPART_ARC
(9,7),0.553072 # DEPENDENCYPART_ARC
(9,8),2.29403 # DEPENDENCYPART_ARC
(9,10),-0.474579 # DEPENDENCYPART_ARC
(9,11),2.56456 # DEPENDENCYPART_ARC
(9,12),-3.72069 # DEPENDENCYPART_ARC
(9,13),0.785747 # DEPENDENCYPART_ARC
(9,14),-1.99513 # DEPENDENCYPART_ARC
(9,15),-0.204261 # DEPENDENCYPART_ARC
(9,16),-0.339886 # DEPENDENCYPART_ARC
(10,3),-2.26358 # DEPENDENCYPART_ARC
(10,11),-0.124329 # DEPENDENCYPART_ARC
(10,16),-2.48358 # DEPENDENCYPART_ARC
(11,1),-2.00738 # DEPENDENCYPART_ARC
(11,2),-1.99409 # DEPENDENCYPART_ARC
(11,3),-2.37573 # DEPENDENCYPART_ARC
(11,4),-1.66041 # DEPENDENCYPART_ARC
(11,5),-2.20006 # DEPENDENCYPART_ARC
(11,6),-3.93463 # DEPENDENCYPART_ARC
(11,7),-1.46271 # DEPENDENCYPART_ARC
(11,8),-0.682718 # DEPENDENCYPART_ARC
(11,9),-2.61636 # DEPENDENCYPART_ARC
(11,10),3.20972 # DEPENDENCYPART_ARC
(11,12),2.71372 # DEPENDENCYPART_ARC
(11,13),0.177475 # DEPENDENCYPART_ARC
(11,14),0.708567 # DEPENDENCYPART_ARC
(11,15),-1.27643 # DEPENDENCYPART_ARC
(11,16),-1.36702 # DEPENDENCYPART_ARC
(12,15),-1.50769 # DEPENDENCYPART_ARC
(13,1),-0.978782 # DEPENDENCYPART_ARC
(13,2),-0.937813 # DEPENDENCYPART_ARC
(13,3),-1.06165 # DEPENDENCYPART_ARC
(13,4),-0.82197 # DEPENDENCYPART_ARC
(13,5),-0.794173 # DEPENDENCYPART_ARC
(13,6),-0.256377 # DEPENDENCYPART_ARC
(13,7),-0.153366 # DEPENDENCYPART_ARC
(13,8),0.126628 # DEPENDENCYPART_ARC
(13,9),-0.160602 # DEPENDENCYPART_ARC
(13,11),-0.0723126 # DEPENDENCYPART_ARC
(13,14),0.0252916 # DEPENDENCYPART_ARC
(13,15),-0.672477 # DEPENDENCYPART_ARC
(13,16),-0.84943 # DEPENDENCYPART_ARC
(14,1),-3.45465 # DEPENDENCYPART_ARC
(14,2),-3.4635 # DEPENDENCYPART_ARC
(14,3),-3.78332 # DEPENDENCYPART_ARC
(14,4),-0.427586 # DEPENDENCYPART_ARC
(14,5),0.901617 # DEPENDENCYPART_ARC
(14,6),-1.0403 # DEPENDENCYPART_ARC
(14,7),-0.332834 # DEPENDENCYPART_ARC
(14,8),0.182298 # DEPENDENCYPART_ARC
(14,9),-1.6832 # DEPENDENCYPART_ARC
(14,10),-1.45798 # DEPENDENCYPART_ARC
(14,11),-0.67761 # DEPENDENCYPART_ARC
(14,12),-1.54704 # DEPENDENCYPART_ARC
(14,13),0.877797 # DEPENDENCYPART_ARC
(14,15),2.13383 # DEPENDENCYPART_ARC
(14,16),1.781 # DEPENDENCYPART_ARC
(15,1),-3.01028 # DEPENDENCYPART_ARC
(15,2),-3.14062 # DEPENDENCYPART_ARC
(15,3),-2.93369 # DEPENDENCYPART_ARC
(15,4),-1.76467 # DEPENDENCYPART_ARC
(15,5),-1.66935 # DEPENDENCYPART_ARC
(15,6),-2.84727 # DEPENDENCYPART_ARC
(15,7),-2.80984 # DEPENDENCYPART_ARC
(15,9),-2.84442 # DEPENDENCYPART_ARC
(15,10),-0.811982 # DEPENDENCYPART_ARC
(15,11),-2.32794 # DEPENDENCYPART_ARC
(15,13),0.0217532 # DEPENDENCYPART_ARC
(15,14),-0.303321 # DEPENDENCYPART_ARC
(15,16),0.564711 # DEPENDENCYPART_ARC
(16,1),-2.35006 # DEPENDENCYPART_ARC
(16,2),-2.44457 # DEPENDENCYPART_ARC
(16,3),-2.39102 # DEPENDENCYPART_ARC
(16,4),-1.35697 # DEPENDENCYPART_ARC
(16,5),-1.3336 # DEPENDENCYPART_ARC
(16,6),-2.59871 # DEPENDENCYPART_ARC
(16,7),-2.21796 # DEPENDENCYPART_ARC
(16,8),-0.891652 # DEPENDENCYPART_ARC
(16,9),-2.51314 # DEPENDENCYPART_ARC
(16,10),-1.15055 # DEPENDENCYPART_ARC
(16,11),-1.57585 # DEPENDENCYPART_ARC
(16,12),-1.11231 # DEPENDENCYPART_ARC
(16,13),-0.134028 # DEPENDENCYPART_ARC
(16,14),-0.630565 # DEPENDENCYPART_ARC
(16,15),3.04044 # DEPENDENCYPART_ARC
