# _root_ Σήμερα , περισσότερο από ποτέ , χρειάζονται συγκεκριμένες ενέργειες για την αντιμετώπισή του .
#goldHeads=7,3,1,3,4,3,0,9,7,7,12,10,12,0,
#predictedHeads=3,7,7,3,4,7,0,9,7,9,12,10,12,0,
(6,2),-0.398545 # DEPENDENCYPART_ARC
(6,3),-0.186169 # DEPENDENCYPART_ARC
(6,4),0.106349 # DEPENDENCYPART_ARC
(6,5),0.181821 # DEPENDENCYPART_ARC
(6,7),0.0216319 # DEPENDENCYPART_ARC
(6,8),-0.659949 # DEPENDENCYPART_ARC
(6,9),-0.941315 # DEPENDENCYPART_ARC
(6,10),-0.968268 # DEPENDENCYPART_ARC
(6,11),-1.57308 # DEPENDENCYPART_ARC
(6,12),-1.64491 # DEPENDENCYPART_ARC
(6,13),-1.95704 # DEPENDENCYPART_ARC
(6,14),-0.679015 # DEPENDENCYPART_ARC
(7,1),1.02234 # DEPENDENCYPART_ARC
(7,2),1.41405 # DEPENDENCYPART_ARC
(7,3),0.686707 # DEPENDENCYPART_ARC
(7,4),0.886889 # DEPENDENCYPART_ARC
(7,5),1.33713 # DEPENDENCYPART_ARC
(7,6),1.74089 # DEPENDENCYPART_ARC
(7,8),1.87116 # DEPENDENCYPART_ARC
(7,9),2.97222 # DEPENDENCYPART_ARC
(7,10),1.11964 # DEPENDENCYPART_ARC
(7,11),-1.96777 # DEPENDENCYPART_ARC
(7,12),0.0418017 # DEPENDENCYPART_ARC
(7,13),-3.4385 # DEPENDENCYPART_ARC
(7,14),0.489264 # DEPENDENCYPART_ARC
(8,1),-1.38847 # DEPENDENCYPART_ARC
(8,2),-1.04512 # DEPENDENCYPART_ARC
(8,3),-0.16954 # DEPENDENCYPART_ARC
(8,4),-0.644651 # DEPENDENCYPART_ARC
(8,5),-0.651628 # DEPENDENCYPART_ARC
(8,6),-0.250651 # DEPENDENCYPART_ARC
(8,7),-0.755957 # DEPENDENCYPART_ARC
(8,9),-0.458945 # DEPENDENCYPART_ARC
(8,10),0.25557 # DEPENDENCYPART_ARC
(8,11),-0.992542 # DEPENDENCYPART_ARC
(8,12),-1.32648 # DEPENDENCYPART_ARC
(8,13),-0.358153 # DEPENDENCYPART_ARC
(8,14),-0.163373 # DEPENDENCYPART_ARC
(9,1),-0.800306 # DEPENDENCYPART_ARC
(9,2),-0.457066 # DEPENDENCYPART_ARC
(9,3),-0.490831 # DEPENDENCYPART_ARC
(9,4),-0.313427 # DEPENDENCYPART_ARC
(9,5),-0.13906 # DEPENDENCYPART_ARC
(9,6),-0.0637368 # DEPENDENCYPART_ARC
(9,7),-0.621059 # DEPENDENCYPART_ARC
(9,8),4.74884 # DEPENDENCYPART_ARC
(9,10),1.56633 # DEPENDENCYPART_ARC
(9,11),-0.789526 # DEPENDENCYPART_ARC
(9,12),-0.689234 # DEPENDENCYPART_ARC
(9,13),0.468831 # DEPENDENCYPART_ARC
(9,14),-0.0350002 # DEPENDENCYPART_ARC
(10,1),-0.813518 # DEPENDENCYPART_ARC
(10,2),-0.657948 # DEPENDENCYPART_ARC
(10,3),-0.714723 # DEPENDENCYPART_ARC
(10,4),-0.628259 # DEPENDENCYPART_ARC
(10,5),-0.677158 # DEPENDENCYPART_ARC
(10,6),-0.560419 # DEPENDENCYPART_ARC
(10,7),-0.742884 # DEPENDENCYPART_ARC
(10,8),-0.38396 # DEPENDENCYPART_ARC
(10,9),-0.829918 # DEPENDENCYPART_ARC
(10,11),0.199095 # DEPENDENCYPART_ARC
(10,12),2.58148 # DEPENDENCYPART_ARC
(10,13),0.0640272 # DEPENDENCYPART_ARC
(10,14),0.0102349 # DEPENDENCYPART_ARC
(11,1),-1.97901 # DEPENDENCYPART_ARC
(11,2),-2.03204 # DEPENDENCYPART_ARC
(11,3),-1.95298 # DEPENDENCYPART_ARC
(11,4),-1.85197 # DEPENDENCYPART_ARC
(11,5),-1.7443 # DEPENDENCYPART_ARC
(11,6),-1.93462 # DEPENDENCYPART_ARC
(11,7),-3.42967 # DEPENDENCYPART_ARC
(11,8),-2.99172 # DEPENDENCYPART_ARC
(11,9),-2.08158 # DEPENDENCYPART_ARC
(11,10),-0.654882 # DEPENDENCYPART_ARC
(11,12),-0.1098 # DEPENDENCYPART_ARC
(11,13),-1.41838 # DEPENDENCYPART_ARC
(11,14),-0.275726 # DEPENDENCYPART_ARC
(12,1),-1.5441 # DEPENDENCYPART_ARC
(12,2),-1.18783 # DEPENDENCYPART_ARC
(12,3),-1.20206 # DEPENDENCYPART_ARC
(12,4),-1.18025 # DEPENDENCYPART_ARC
(12,5),-1.19581 # DEPENDENCYPART_ARC
(12,6),-1.17775 # DEPENDENCYPART_ARC
(12,7),-2.55109 # DEPENDENCYPART_ARC
(12,8),-1.52859 # DEPENDENCYPART_ARC
(12,9),-1.97729 # DEPENDENCYPART_ARC
(12,10),0.322543 # DEPENDENCYPART_ARC
(12,11),3.35496 # DEPENDENCYPART_ARC
(12,13),3.91257 # DEPENDENCYPART_ARC
(12,14),0.230868 # DEPENDENCYPART_ARC
(13,1),-1.19281 # DEPENDENCYPART_ARC
(13,2),-0.967841 # DEPENDENCYPART_ARC
(13,3),-1.05416 # DEPENDENCYPART_ARC
(13,4),-0.919065 # DEPENDENCYPART_ARC
(13,5),-1.16153 # DEPENDENCYPART_ARC
(13,6),-0.81963 # DEPENDENCYPART_ARC
(13,7),-2.53033 # DEPENDENCYPART_ARC
(13,8),-2.28245 # DEPENDENCYPART_ARC
(13,9),-1.80854 # DEPENDENCYPART_ARC
(13,10),-0.386642 # DEPENDENCYPART_ARC
(13,11),0.175254 # DEPENDENCYPART_ARC
(13,12),-1.66333 # DEPENDENCYPART_ARC
(13,14),0.0549021 # DEPENDENCYPART_ARC
(14,1),-1.70427 # DEPENDENCYPART_ARC
(14,2),-1.94043 # DEPENDENCYPART_ARC
(14,3),-1.67947 # DEPENDENCYPART_ARC
(14,4),-1.91876 # DEPENDENCYPART_ARC
(14,5),-1.64291 # DEPENDENCYPART_ARC
(14,6),-1.70764 # DEPENDENCYPART_ARC
(14,7),-1.67285 # DEPENDENCYPART_ARC
(14,8),-1.62388 # DEPENDENCYPART_ARC
(14,9),-1.84894 # DEPENDENCYPART_ARC
(14,10),-1.46044 # DEPENDENCYPART_ARC
(14,11),-1.19999 # DEPENDENCYPART_ARC
(14,12),-1.57764 # DEPENDENCYPART_ARC
(14,13),-0.95999 # DEPENDENCYPART_ARC
