# _root_ Όπως το υπογραμμίζετε , κυρία , πρόκειται πράγματι για ένα προϊόν πολύ περίπλοκο και σύνθετο .
#goldHeads=3,3,7,5,0,5,0,7,7,11,9,14,14,11,14,0,
#predictedHeads=3,3,7,5,3,7,0,7,7,11,9,13,14,7,14,0,
(4,13),-1.24407 # DEPENDENCYPART_ARC
(4,14),-0.753071 # DEPENDENCYPART_ARC
(4,15),-1.21786 # DEPENDENCYPART_ARC
(4,16),-0.574634 # DEPENDENCYPART_ARC
(5,1),-0.703262 # DEPENDENCYPART_ARC
(5,2),-0.81014 # DEPENDENCYPART_ARC
(5,3),-1.56771 # DEPENDENCYPART_ARC
(5,4),0.934936 # DEPENDENCYPART_ARC
(5,6),0.619858 # DEPENDENCYPART_ARC
(5,7),-0.488911 # DEPENDENCYPART_ARC
(5,8),-0.575016 # DEPENDENCYPART_ARC
(5,9),-0.532767 # DEPENDENCYPART_ARC
(5,10),-1.82684 # DEPENDENCYPART_ARC
(5,11),-2.46107 # DEPENDENCYPART_ARC
(5,12),-0.995878 # DEPENDENCYPART_ARC
(5,13),-2.15659 # DEPENDENCYPART_ARC
(5,14),-0.577663 # DEPENDENCYPART_ARC
(5,15),-2.15216 # DEPENDENCYPART_ARC
(5,16),-0.874415 # DEPENDENCYPART_ARC
(6,1),-0.278018 # DEPENDENCYPART_ARC
(6,2),-0.300637 # DEPENDENCYPART_ARC
(6,3),-0.00943518 # DEPENDENCYPART_ARC
(6,4),0.567844 # DEPENDENCYPART_ARC
(6,5),0.47735 # DEPENDENCYPART_ARC
(6,7),-0.175625 # DEPENDENCYPART_ARC
(6,8),-0.963792 # DEPENDENCYPART_ARC
(6,9),-0.712769 # DEPENDENCYPART_ARC
(6,10),-1.45748 # DEPENDENCYPART_ARC
(6,11),-1.03663 # DEPENDENCYPART_ARC
(6,12),-0.990636 # DEPENDENCYPART_ARC
(6,13),-1.40125 # DEPENDENCYPART_ARC
(6,14),-0.78748 # DEPENDENCYPART_ARC
(6,15),-1.38542 # DEPENDENCYPART_ARC
(6,16),-0.573573 # DEPENDENCYPART_ARC
(7,1),0.773335 # DEPENDENCYPART_ARC
(7,2),1.73835 # DEPENDENCYPART_ARC
(7,3),0.577614 # DEPENDENCYPART_ARC
(7,4),0.917697 # DEPENDENCYPART_ARC
(7,5),-0.400981 # DEPENDENCYPART_ARC
(7,6),1.07712 # DEPENDENCYPART_ARC
(7,8),2.44884 # DEPENDENCYPART_ARC
(7,9),1.74718 # DEPENDENCYPART_ARC
(7,10),-1.01136 # DEPENDENCYPART_ARC
(7,11),0.683202 # DEPENDENCYPART_ARC
(7,12),0.772457 # DEPENDENCYPART_ARC
(7,13),-0.338281 # DEPENDENCYPART_ARC
(7,14),0.475607 # DEPENDENCYPART_ARC
(7,15),-0.699774 # DEPENDENCYPART_ARC
(7,16),0.836078 # DEPENDENCYPART_ARC
(8,1),-0.408202 # DEPENDENCYPART_ARC
(8,2),-1.12844 # DEPENDENCYPART_ARC
(8,3),-0.996863 # DEPENDENCYPART_ARC
(8,4),-0.438703 # DEPENDENCYPART_ARC
(8,5),-0.723032 # DEPENDENCYPART_ARC
(8,6),0.0808237 # DEPENDENCYPART_ARC
(8,7),0.0868086 # DEPENDENCYPART_ARC
(8,9),0.39603 # DEPENDENCYPART_ARC
(8,10),-0.46285 # DEPENDENCYPART_ARC
(8,11),-0.497514 # DEPENDENCYPART_ARC
(8,12),-0.638314 # DEPENDENCYPART_ARC
(8,13),-0.785746 # DEPENDENCYPART_ARC
(8,14),-0.482705 # DEPENDENCYPART_ARC
(8,15),-1.17618 # DEPENDENCYPART_ARC
(8,16),-0.569655 # DEPENDENCYPART_ARC
(9,1),-0.74123 # DEPENDENCYPART_ARC
(9,2),-1.19515 # DEPENDENCYPART_ARC
(9,3),-1.09138 # DEPENDENCYPART_ARC
(9,4),-0.207787 # DEPENDENCYPART_ARC
(9,5),-1.21624 # DEPENDENCYPART_ARC
(9,6),0.0493958 # DEPENDENCYPART_ARC
(9,7),-0.277833 # DEPENDENCYPART_ARC
(9,8),0.611088 # DEPENDENCYPART_ARC
(9,10),0.4591 # DEPENDENCYPART_ARC
(9,11),2.7692 # DEPENDENCYPART_ARC
(9,12),-0.0687257 # DEPENDENCYPART_ARC
(9,13),0.198846 # DEPENDENCYPART_ARC
(9,14),0.0617271 # DEPENDENCYPART_ARC
(9,15),-0.243366 # DEPENDENCYPART_ARC
(9,16),-0.000428281 # DEPENDENCYPART_ARC
(10,1),-1.45266 # DEPENDENCYPART_ARC
(10,2),-0.947486 # DEPENDENCYPART_ARC
(10,3),-3.18281 # DEPENDENCYPART_ARC
(10,4),-1.63322 # DEPENDENCYPART_ARC
(10,5),-2.04849 # DEPENDENCYPART_ARC
(10,6),-1.50406 # DEPENDENCYPART_ARC
(10,7),-2.59721 # DEPENDENCYPART_ARC
(10,8),-0.52375 # DEPENDENCYPART_ARC
(10,9),-0.265696 # DEPENDENCYPART_ARC
(10,11),0.719931 # DEPENDENCYPART_ARC
(10,12),0.450347 # DEPENDENCYPART_ARC
(10,13),-0.823886 # DEPENDENCYPART_ARC
(10,14),-0.0686545 # DEPENDENCYPART_ARC
(10,15),-1.15226 # DEPENDENCYPART_ARC
(10,16),-0.151279 # DEPENDENCYPART_ARC
(11,1),-1.43215 # DEPENDENCYPART_ARC
(11,2),-1.6395 # DEPENDENCYPART_ARC
(11,3),-3.17084 # DEPENDENCYPART_ARC
(11,4),-1.21092 # DEPENDENCYPART_ARC
(11,5),-2.29789 # DEPENDENCYPART_ARC
(11,6),-0.998006 # DEPENDENCYPART_ARC
(11,7),-1.84775 # DEPENDENCYPART_ARC
(11,8),-0.332087 # DEPENDENCYPART_ARC
(11,9),0.340498 # DEPENDENCYPART_ARC
(11,10),3.27368 # DEPENDENCYPART_ARC
(11,12),0.770237 # DEPENDENCYPART_ARC
(11,13),0.54536 # DEPENDENCYPART_ARC
(11,14),0.296365 # DEPENDENCYPART_ARC
(11,15),-0.0404972 # DEPENDENCYPART_ARC
(11,16),-0.291594 # DEPENDENCYPART_ARC
(12,1),-0.53755 # DEPENDENCYPART_ARC
(12,2),-1.13319 # DEPENDENCYPART_ARC
(12,3),-0.853394 # DEPENDENCYPART_ARC
(12,4),-0.538179 # DEPENDENCYPART_ARC
(12,5),-0.955258 # DEPENDENCYPART_ARC
(12,6),-0.400918 # DEPENDENCYPART_ARC
(12,7),-0.86097 # DEPENDENCYPART_ARC
(12,8),0.138505 # DEPENDENCYPART_ARC
(12,9),0.188249 # DEPENDENCYPART_ARC
(12,10),0.490201 # DEPENDENCYPART_ARC
(12,11),0.208268 # DEPENDENCYPART_ARC
(12,13),0.588391 # DEPENDENCYPART_ARC
(12,14),0.23229 # DEPENDENCYPART_ARC
(12,15),-0.257346 # DEPENDENCYPART_ARC
(12,16),-0.281097 # DEPENDENCYPART_ARC
(13,1),-0.528349 # DEPENDENCYPART_ARC
(13,2),-1.01007 # DEPENDENCYPART_ARC
(13,3),-4.49606 # DEPENDENCYPART_ARC
(13,4),-0.358106 # DEPENDENCYPART_ARC
(13,5),-1.55474 # DEPENDENCYPART_ARC
(13,6),-0.408235 # DEPENDENCYPART_ARC
(13,7),-4.59884 # DEPENDENCYPART_ARC
(13,8),0.537076 # DEPENDENCYPART_ARC
(13,9),0.289522 # DEPENDENCYPART_ARC
(13,10),0.808883 # DEPENDENCYPART_ARC
(13,11),0.937553 # DEPENDENCYPART_ARC
(13,12),2.07885 # DEPENDENCYPART_ARC
(13,14),0.709065 # DEPENDENCYPART_ARC
(13,15),0.246454 # DEPENDENCYPART_ARC
(13,16),0.277126 # DEPENDENCYPART_ARC
(14,1),-0.106254 # DEPENDENCYPART_ARC
(14,2),0.515379 # DEPENDENCYPART_ARC
(14,3),-0.652107 # DEPENDENCYPART_ARC
(14,4),-0.359549 # DEPENDENCYPART_ARC
(14,5),-0.162849 # DEPENDENCYPART_ARC
(14,6),-0.459531 # DEPENDENCYPART_ARC
(14,7),0.914164 # DEPENDENCYPART_ARC
(14,8),0.36597 # DEPENDENCYPART_ARC
(14,9),0.74754 # DEPENDENCYPART_ARC
(14,10),0.467111 # DEPENDENCYPART_ARC
(14,11),0.680763 # DEPENDENCYPART_ARC
(14,12),0.657141 # DEPENDENCYPART_ARC
(14,13),2.76527 # DEPENDENCYPART_ARC
(14,15),2.88406 # DEPENDENCYPART_ARC
(14,16),0.478166 # DEPENDENCYPART_ARC
(15,1),-0.730679 # DEPENDENCYPART_ARC
(15,2),-1.28122 # DEPENDENCYPART_ARC
(15,3),-4.63725 # DEPENDENCYPART_ARC
(15,4),-0.615428 # DEPENDENCYPART_ARC
(15,5),-1.80633 # DEPENDENCYPART_ARC
(15,6),-0.524498 # DEPENDENCYPART_ARC
(15,7),-4.83586 # DEPENDENCYPART_ARC
(15,8),0.174554 # DEPENDENCYPART_ARC
(15,9),0.00393182 # DEPENDENCYPART_ARC
(15,10),0.413946 # DEPENDENCYPART_ARC
(15,11),0.158355 # DEPENDENCYPART_ARC
(15,12),0.974223 # DEPENDENCYPART_ARC
(15,13),0.65725 # DEPENDENCYPART_ARC
(15,14),1.03067 # DEPENDENCYPART_ARC
(15,16),0.576819 # DEPENDENCYPART_ARC
(16,1),-1.93247 # DEPENDENCYPART_ARC
(16,2),-2.16465 # DEPENDENCYPART_ARC
(16,3),-2.4315 # DEPENDENCYPART_ARC
(16,4),-2.0921 # DEPENDENCYPART_ARC
(16,5),-2.75319 # DEPENDENCYPART_ARC
(16,6),-2.11906 # DEPENDENCYPART_ARC
(16,7),-1.95465 # DEPENDENCYPART_ARC
(16,8),-1.68889 # DEPENDENCYPART_ARC
(16,9),-1.58282 # DEPENDENCYPART_ARC
(16,10),-1.8634 # DEPENDENCYPART_ARC
(16,11),-2.01431 # DEPENDENCYPART_ARC
(16,12),-1.59528 # DEPENDENCYPART_ARC
(16,13),-1.77151 # DEPENDENCYPART_ARC
(16,14),-1.58516 # DEPENDENCYPART_ARC
(16,15),-1.18855 # DEPENDENCYPART_ARC
