# _root_ * Να περάσετε μια νύχτα στο Ξενοδοχείο Loriet , ένα ανακαινισμένο αρχοντικό , στην Χρυσή Ακτή της Μυτιλήνης .
#goldHeads=0,3,0,5,3,3,8,9,6,12,12,9,3,12,16,14,18,16,0,
#predictedHeads=0,3,0,5,3,3,6,7,3,12,16,11,14,3,16,14,18,16,0,
(4,2),-0.213702 # DEPENDENCYPART_ARC
(4,3),-1.46153 # DEPENDENCYPART_ARC
(4,5),0.18787 # DEPENDENCYPART_ARC
(4,6),-0.107611 # DEPENDENCYPART_ARC
(4,7),-0.637333 # DEPENDENCYPART_ARC
(4,8),-0.62554 # DEPENDENCYPART_ARC
(4,9),-0.36088 # DEPENDENCYPART_ARC
(4,10),-0.964577 # DEPENDENCYPART_ARC
(4,11),-1.90402 # DEPENDENCYPART_ARC
(4,12),-2.27455 # DEPENDENCYPART_ARC
(4,13),-0.793355 # DEPENDENCYPART_ARC
(4,14),-1.0687 # DEPENDENCYPART_ARC
(4,15),-2.30272 # DEPENDENCYPART_ARC
(4,16),-2.0126 # DEPENDENCYPART_ARC
(4,17),-1.50133 # DEPENDENCYPART_ARC
(4,18),-1.78811 # DEPENDENCYPART_ARC
(4,19),-0.832954 # DEPENDENCYPART_ARC
(5,1),-0.761125 # DEPENDENCYPART_ARC
(5,2),-0.353264 # DEPENDENCYPART_ARC
(5,3),-1.80782 # DEPENDENCYPART_ARC
(5,4),3.40348 # DEPENDENCYPART_ARC
(5,6),1.57829 # DEPENDENCYPART_ARC
(5,7),0.477595 # DEPENDENCYPART_ARC
(5,8),0.545871 # DEPENDENCYPART_ARC
(5,9),0.433909 # DEPENDENCYPART_ARC
(5,10),-0.731942 # DEPENDENCYPART_ARC
(5,11),-0.354722 # DEPENDENCYPART_ARC
(5,12),-1.57865 # DEPENDENCYPART_ARC
(5,13),-0.201886 # DEPENDENCYPART_ARC
(5,14),-0.670868 # DEPENDENCYPART_ARC
(5,15),-1.43017 # DEPENDENCYPART_ARC
(5,16),-2.34533 # DEPENDENCYPART_ARC
(5,17),-1.03006 # DEPENDENCYPART_ARC
(5,18),-1.213 # DEPENDENCYPART_ARC
(5,19),-0.0669586 # DEPENDENCYPART_ARC
(6,1),-0.82601 # DEPENDENCYPART_ARC
(6,2),-0.908431 # DEPENDENCYPART_ARC
(6,3),-1.8042 # DEPENDENCYPART_ARC
(6,4),-0.386542 # DEPENDENCYPART_ARC
(6,5),-1.5464 # DEPENDENCYPART_ARC
(6,7),3.24115 # DEPENDENCYPART_ARC
(6,8),0.704101 # DEPENDENCYPART_ARC
(6,9),0.0721934 # DEPENDENCYPART_ARC
(6,10),-0.168179 # DEPENDENCYPART_ARC
(6,11),-1.73301 # DEPENDENCYPART_ARC
(6,12),-1.63094 # DEPENDENCYPART_ARC
(6,13),-1.07314 # DEPENDENCYPART_ARC
(6,14),-1.59152 # DEPENDENCYPART_ARC
(6,15),-1.17321 # DEPENDENCYPART_ARC
(6,16),-2.08149 # DEPENDENCYPART_ARC
(6,17),-2.03427 # DEPENDENCYPART_ARC
(6,18),-3.98715 # DEPENDENCYPART_ARC
(6,19),-1.34165 # DEPENDENCYPART_ARC
(7,1),-1.77569 # DEPENDENCYPART_ARC
(7,2),-1.27602 # DEPENDENCYPART_ARC
(7,3),-3.08826 # DEPENDENCYPART_ARC
(7,4),-0.0856773 # DEPENDENCYPART_ARC
(7,5),-0.840002 # DEPENDENCYPART_ARC
(7,6),0.0849274 # DEPENDENCYPART_ARC
(7,8),1.51455 # DEPENDENCYPART_ARC
(7,9),0.479784 # DEPENDENCYPART_ARC
(7,10),-0.331239 # DEPENDENCYPART_ARC
(7,11),0.110937 # DEPENDENCYPART_ARC
(7,12),-0.633386 # DEPENDENCYPART_ARC
(7,13),-0.266164 # DEPENDENCYPART_ARC
(7,14),-1.42199 # DEPENDENCYPART_ARC
(7,15),-0.886902 # DEPENDENCYPART_ARC
(7,16),-1.33582 # DEPENDENCYPART_ARC
(7,17),-1.0688 # DEPENDENCYPART_ARC
(7,18),-0.63146 # DEPENDENCYPART_ARC
(7,19),-0.339451 # DEPENDENCYPART_ARC
(8,1),-0.124884 # DEPENDENCYPART_ARC
(8,2),-0.0686567 # DEPENDENCYPART_ARC
(8,3),-0.377387 # DEPENDENCYPART_ARC
(8,4),0.911238 # DEPENDENCYPART_ARC
(8,5),0.119732 # DEPENDENCYPART_ARC
(8,6),0.419947 # DEPENDENCYPART_ARC
(8,7),0.999643 # DEPENDENCYPART_ARC
(8,9),0.173515 # DEPENDENCYPART_ARC
(8,10),-0.263258 # DEPENDENCYPART_ARC
(8,11),-0.295322 # DEPENDENCYPART_ARC
(8,12),-0.805106 # DEPENDENCYPART_ARC
(8,13),-0.633262 # DEPENDENCYPART_ARC
(8,14),-0.689745 # DEPENDENCYPART_ARC
(8,15),-1.16796 # DEPENDENCYPART_ARC
(8,16),-1.24778 # DEPENDENCYPART_ARC
(8,17),-1.44724 # DEPENDENCYPART_ARC
(8,18),-1.23761 # DEPENDENCYPART_ARC
(8,19),-0.46802 # DEPENDENCYPART_ARC
(9,1),-0.393631 # DEPENDENCYPART_ARC
(9,2),0.0591611 # DEPENDENCYPART_ARC
(9,3),-0.22108 # DEPENDENCYPART_ARC
(9,4),-0.249943 # DEPENDENCYPART_ARC
(9,5),0.250765 # DEPENDENCYPART_ARC
(9,6),0.400014 # DEPENDENCYPART_ARC
(9,7),0.156986 # DEPENDENCYPART_ARC
(9,8),0.555553 # DEPENDENCYPART_ARC
(9,10),0.131749 # DEPENDENCYPART_ARC
(9,11),0.0971982 # DEPENDENCYPART_ARC
(9,12),-0.289963 # DEPENDENCYPART_ARC
(9,13),0.106031 # DEPENDENCYPART_ARC
(9,14),-0.449213 # DEPENDENCYPART_ARC
(9,15),-0.614153 # DEPENDENCYPART_ARC
(9,16),-0.996877 # DEPENDENCYPART_ARC
(9,17),-1.14496 # DEPENDENCYPART_ARC
(9,18),-1.07122 # DEPENDENCYPART_ARC
(9,19),-0.104742 # DEPENDENCYPART_ARC
(10,1),-1.02094 # DEPENDENCYPART_ARC
(10,2),-0.975929 # DEPENDENCYPART_ARC
(10,3),-2.35002 # DEPENDENCYPART_ARC
(10,4),-0.678966 # DEPENDENCYPART_ARC
(10,5),-1.19829 # DEPENDENCYPART_ARC
(10,6),-0.512503 # DEPENDENCYPART_ARC
(10,7),-0.531699 # DEPENDENCYPART_ARC
(10,8),-0.155105 # DEPENDENCYPART_ARC
(10,9),0.231608 # DEPENDENCYPART_ARC
(10,11),-0.59874 # DEPENDENCYPART_ARC
(10,12),-0.95676 # DEPENDENCYPART_ARC
(10,13),-0.414203 # DEPENDENCYPART_ARC
(10,14),-0.909189 # DEPENDENCYPART_ARC
(10,15),-1.52448 # DEPENDENCYPART_ARC
(10,16),-1.60082 # DEPENDENCYPART_ARC
(10,17),-1.2607 # DEPENDENCYPART_ARC
(10,18),-1.52535 # DEPENDENCYPART_ARC
(10,19),-0.793336 # DEPENDENCYPART_ARC
(11,1),-1.32637 # DEPENDENCYPART_ARC
(11,2),-0.75221 # DEPENDENCYPART_ARC
(11,3),-4.19791 # DEPENDENCYPART_ARC
(11,4),-2.08716 # DEPENDENCYPART_ARC
(11,5),-1.53212 # DEPENDENCYPART_ARC
(11,6),-2.12653 # DEPENDENCYPART_ARC
(11,7),-1.34186 # DEPENDENCYPART_ARC
(11,8),-1.11903 # DEPENDENCYPART_ARC
(11,9),0.375284 # DEPENDENCYPART_ARC
(11,10),-0.476125 # DEPENDENCYPART_ARC
(11,12),1.10912 # DEPENDENCYPART_ARC
(11,13),0.380211 # DEPENDENCYPART_ARC
(11,14),1.47509 # DEPENDENCYPART_ARC
(11,15),-1.43457 # DEPENDENCYPART_ARC
(11,16),-2.31651 # DEPENDENCYPART_ARC
(11,17),-2.4062 # DEPENDENCYPART_ARC
(11,18),-4.8969 # DEPENDENCYPART_ARC
(11,19),-0.277593 # DEPENDENCYPART_ARC
(12,1),-0.70638 # DEPENDENCYPART_ARC
(12,2),-0.608534 # DEPENDENCYPART_ARC
(12,3),-3.176 # DEPENDENCYPART_ARC
(12,4),-0.9456 # DEPENDENCYPART_ARC
(12,5),-1.8981 # DEPENDENCYPART_ARC
(12,6),-0.957075 # DEPENDENCYPART_ARC
(12,7),-0.846444 # DEPENDENCYPART_ARC
(12,8),-0.425135 # DEPENDENCYPART_ARC
(12,9),-0.070593 # DEPENDENCYPART_ARC
(12,10),0.98154 # DEPENDENCYPART_ARC
(12,11),-0.428351 # DEPENDENCYPART_ARC
(12,13),0.335118 # DEPENDENCYPART_ARC
(12,14),-0.0940304 # DEPENDENCYPART_ARC
(12,15),-1.72344 # DEPENDENCYPART_ARC
(12,16),-0.80648 # DEPENDENCYPART_ARC
(12,17),-1.15756 # DEPENDENCYPART_ARC
(12,18),-0.4404 # DEPENDENCYPART_ARC
(12,19),-0.236114 # DEPENDENCYPART_ARC
(13,1),-0.669221 # DEPENDENCYPART_ARC
(13,2),-0.289636 # DEPENDENCYPART_ARC
(13,3),-0.683158 # DEPENDENCYPART_ARC
(13,4),-0.75587 # DEPENDENCYPART_ARC
(13,5),-0.560758 # DEPENDENCYPART_ARC
(13,6),0.0867996 # DEPENDENCYPART_ARC
(13,7),-0.425106 # DEPENDENCYPART_ARC
(13,8),-0.742433 # DEPENDENCYPART_ARC
(13,9),-0.338164 # DEPENDENCYPART_ARC
(13,10),-0.23002 # DEPENDENCYPART_ARC
(13,11),-0.0881796 # DEPENDENCYPART_ARC
(13,12),0.220232 # DEPENDENCYPART_ARC
(13,14),0.290869 # DEPENDENCYPART_ARC
(13,15),0.332144 # DEPENDENCYPART_ARC
(13,16),-0.00951359 # DEPENDENCYPART_ARC
(13,17),-0.587496 # DEPENDENCYPART_ARC
(13,18),-0.295635 # DEPENDENCYPART_ARC
(13,19),0.248796 # DEPENDENCYPART_ARC
(14,1),-0.832023 # DEPENDENCYPART_ARC
(14,2),-0.999447 # DEPENDENCYPART_ARC
(14,3),-2.16866 # DEPENDENCYPART_ARC
(14,4),-0.72245 # DEPENDENCYPART_ARC
(14,5),-2.03494 # DEPENDENCYPART_ARC
(14,6),-1.2585 # DEPENDENCYPART_ARC
(14,7),-2.0113 # DEPENDENCYPART_ARC
(14,8),-1.02281 # DEPENDENCYPART_ARC
(14,9),-0.385243 # DEPENDENCYPART_ARC
(14,10),-0.635434 # DEPENDENCYPART_ARC
(14,11),-0.750807 # DEPENDENCYPART_ARC
(14,12),-0.193068 # DEPENDENCYPART_ARC
(14,13),0.81169 # DEPENDENCYPART_ARC
(14,15),1.14915 # DEPENDENCYPART_ARC
(14,16),3.06142 # DEPENDENCYPART_ARC
(14,17),-0.398269 # DEPENDENCYPART_ARC
(14,18),0.188896 # DEPENDENCYPART_ARC
(14,19),0.360042 # DEPENDENCYPART_ARC
(15,1),-2.00392 # DEPENDENCYPART_ARC
(15,2),-1.84769 # DEPENDENCYPART_ARC
(15,3),-4.598 # DEPENDENCYPART_ARC
(15,4),-2.31887 # DEPENDENCYPART_ARC
(15,5),-3.06556 # DEPENDENCYPART_ARC
(15,6),-2.1706 # DEPENDENCYPART_ARC
(15,7),-2.14231 # DEPENDENCYPART_ARC
(15,8),-1.80872 # DEPENDENCYPART_ARC
(15,9),-1.73387 # DEPENDENCYPART_ARC
(15,10),-1.05459 # DEPENDENCYPART_ARC
(15,11),-2.94592 # DEPENDENCYPART_ARC
(15,12),-1.37234 # DEPENDENCYPART_ARC
(15,13),-0.744245 # DEPENDENCYPART_ARC
(15,14),-0.888189 # DEPENDENCYPART_ARC
(15,16),0.487462 # DEPENDENCYPART_ARC
(15,17),-0.372367 # DEPENDENCYPART_ARC
(15,18),0.0775023 # DEPENDENCYPART_ARC
(15,19),-0.287112 # DEPENDENCYPART_ARC
(16,1),-1.10977 # DEPENDENCYPART_ARC
(16,2),-0.857379 # DEPENDENCYPART_ARC
(16,3),-3.39641 # DEPENDENCYPART_ARC
(16,4),-0.410931 # DEPENDENCYPART_ARC
(16,5),-1.8234 # DEPENDENCYPART_ARC
(16,6),-1.34632 # DEPENDENCYPART_ARC
(16,7),-1.21497 # DEPENDENCYPART_ARC
(16,8),-0.808906 # DEPENDENCYPART_ARC
(16,9),-0.570198 # DEPENDENCYPART_ARC
(16,10),0.332929 # DEPENDENCYPART_ARC
(16,11),1.69858 # DEPENDENCYPART_ARC
(16,12),0.026857 # DEPENDENCYPART_ARC
(16,13),0.319323 # DEPENDENCYPART_ARC
(16,14),0.942616 # DEPENDENCYPART_ARC
(16,15),3.62503 # DEPENDENCYPART_ARC
(16,17),0.758825 # DEPENDENCYPART_ARC
(16,18),2.72646 # DEPENDENCYPART_ARC
(16,19),0.444681 # DEPENDENCYPART_ARC
(17,1),-1.98226 # DEPENDENCYPART_ARC
(17,2),-1.89886 # DEPENDENCYPART_ARC
(17,3),-3.30868 # DEPENDENCYPART_ARC
(17,4),-2.15347 # DEPENDENCYPART_ARC
(17,5),-2.92432 # DEPENDENCYPART_ARC
(17,6),-2.10223 # DEPENDENCYPART_ARC
(17,7),-2.93445 # DEPENDENCYPART_ARC
(17,8),-1.71899 # DEPENDENCYPART_ARC
(17,9),-1.79603 # DEPENDENCYPART_ARC
(17,10),-2.14349 # DEPENDENCYPART_ARC
(17,11),-2.14956 # DEPENDENCYPART_ARC
(17,12),-2.68499 # DEPENDENCYPART_ARC
(17,13),-1.35445 # DEPENDENCYPART_ARC
(17,14),-1.32828 # DEPENDENCYPART_ARC
(17,15),-1.61751 # DEPENDENCYPART_ARC
(17,16),-1.43924 # DEPENDENCYPART_ARC
(17,18),0.195767 # DEPENDENCYPART_ARC
(17,19),-0.426526 # DEPENDENCYPART_ARC
(18,1),-1.52312 # DEPENDENCYPART_ARC
(18,2),-1.17534 # DEPENDENCYPART_ARC
(18,3),-3.31093 # DEPENDENCYPART_ARC
(18,4),-2.93197 # DEPENDENCYPART_ARC
(18,5),-4.02638 # DEPENDENCYPART_ARC
(18,6),-2.35488 # DEPENDENCYPART_ARC
(18,7),-3.55035 # DEPENDENCYPART_ARC
(18,8),-1.22264 # DEPENDENCYPART_ARC
(18,9),-1.04134 # DEPENDENCYPART_ARC
(18,10),-2.17473 # DEPENDENCYPART_ARC
(18,11),0.971688 # DEPENDENCYPART_ARC
(18,12),-2.86021 # DEPENDENCYPART_ARC
(18,13),-0.431449 # DEPENDENCYPART_ARC
(18,14),-1.00516 # DEPENDENCYPART_ARC
(18,15),-0.510158 # DEPENDENCYPART_ARC
(18,16),-1.29167 # DEPENDENCYPART_ARC
(18,17),3.4112 # DEPENDENCYPART_ARC
(18,19),-0.341437 # DEPENDENCYPART_ARC
(19,1),-1.90448 # DEPENDENCYPART_ARC
(19,2),-1.8354 # DEPENDENCYPART_ARC
(19,3),-2.37652 # DEPENDENCYPART_ARC
(19,4),-2.31349 # DEPENDENCYPART_ARC
(19,5),-2.62109 # DEPENDENCYPART_ARC
(19,6),-2.20356 # DEPENDENCYPART_ARC
(19,7),-2.3408 # DEPENDENCYPART_ARC
(19,8),-2.01345 # DEPENDENCYPART_ARC
(19,9),-1.96096 # DEPENDENCYPART_ARC
(19,10),-1.99741 # DEPENDENCYPART_ARC
(19,11),-2.02852 # DEPENDENCYPART_ARC
(19,12),-1.89934 # DEPENDENCYPART_ARC
(19,13),-1.59449 # DEPENDENCYPART_ARC
(19,14),-1.92565 # DEPENDENCYPART_ARC
(19,15),-1.61737 # DEPENDENCYPART_ARC
(19,16),-1.6314 # DEPENDENCYPART_ARC
(19,17),-1.34539 # DEPENDENCYPART_ARC
(19,18),-1.67187 # DEPENDENCYPART_ARC
