# _root_ Η εταιρεία αυτή στη Black Country στο Ηνωμένο Βασίλειο απασχολεί 80 άτομα , δηλαδή 80 θέσεις εργασίες για τις οποίες υπάρχει μεγάλη ανάγκη , και συμμορφώνεται με όλες τις κοινωνικές προδιαγραφές της νομοθεσίας του Ηνωμένου Βασιλείου .
#goldHeads=2,10,2,2,6,4,6,9,7,25,12,14,14,10,16,14,16,21,20,18,16,23,21,25,0,25,26,31,31,31,27,33,31,36,36,33,0,
#predictedHeads=2,10,2,2,6,4,14,9,7,25,12,10,14,15,16,17,25,17,20,18,25,23,21,25,0,25,26,31,31,31,27,33,31,36,36,33,0,
(9,20),-3.83314 # DEPENDENCYPART_ARC
(9,21),-2.23387 # DEPENDENCYPART_ARC
(9,22),-2.4499 # DEPENDENCYPART_ARC
(9,23),-3.0598 # DEPENDENCYPART_ARC
(9,24),-1.31628 # DEPENDENCYPART_ARC
(9,25),-1.46543 # DEPENDENCYPART_ARC
(9,26),-3.52261 # DEPENDENCYPART_ARC
(9,27),-2.47671 # DEPENDENCYPART_ARC
(9,28),-2.69799 # DEPENDENCYPART_ARC
(9,29),-2.88281 # DEPENDENCYPART_ARC
(9,30),-2.68639 # DEPENDENCYPART_ARC
(9,31),-4.76093 # DEPENDENCYPART_ARC
(9,32),-3.10218 # DEPENDENCYPART_ARC
(9,33),-3.5893 # DEPENDENCYPART_ARC
(9,34),-3.18756 # DEPENDENCYPART_ARC
(9,35),-2.76197 # DEPENDENCYPART_ARC
(9,36),-4.38186 # DEPENDENCYPART_ARC
(9,37),-1.32837 # DEPENDENCYPART_ARC
(10,1),-1.40055 # DEPENDENCYPART_ARC
(10,2),1.63509 # DEPENDENCYPART_ARC
(10,3),0.0303349 # DEPENDENCYPART_ARC
(10,4),0.203762 # DEPENDENCYPART_ARC
(10,5),-0.0353692 # DEPENDENCYPART_ARC
(10,6),-0.11396 # DEPENDENCYPART_ARC
(10,7),0.667933 # DEPENDENCYPART_ARC
(10,8),-0.294483 # DEPENDENCYPART_ARC
(10,9),0.833978 # DEPENDENCYPART_ARC
(10,11),0.906457 # DEPENDENCYPART_ARC
(10,12),2.10815 # DEPENDENCYPART_ARC
(10,13),0.736333 # DEPENDENCYPART_ARC
(10,14),0.799887 # DEPENDENCYPART_ARC
(10,15),-0.119389 # DEPENDENCYPART_ARC
(10,16),0.139029 # DEPENDENCYPART_ARC
(10,17),0.18541 # DEPENDENCYPART_ARC
(10,18),0.79832 # DEPENDENCYPART_ARC
(10,19),-1.76081 # DEPENDENCYPART_ARC
(10,20),-3.32798 # DEPENDENCYPART_ARC
(10,21),-2.1485 # DEPENDENCYPART_ARC
(10,22),-2.01912 # DEPENDENCYPART_ARC
(10,23),-1.12936 # DEPENDENCYPART_ARC
(10,24),-0.10096 # DEPENDENCYPART_ARC
(10,25),-0.320013 # DEPENDENCYPART_ARC
(10,26),-4.02995 # DEPENDENCYPART_ARC
(10,27),-0.331946 # DEPENDENCYPART_ARC
(10,28),-3.44337 # DEPENDENCYPART_ARC
(10,29),-2.47686 # DEPENDENCYPART_ARC
(10,30),-3.91603 # DEPENDENCYPART_ARC
(10,31),-2.59877 # DEPENDENCYPART_ARC
(10,32),-3.67126 # DEPENDENCYPART_ARC
(10,33),-4.37764 # DEPENDENCYPART_ARC
(10,34),-4.03083 # DEPENDENCYPART_ARC
(10,35),-5.21342 # DEPENDENCYPART_ARC
(10,36),-4.71415 # DEPENDENCYPART_ARC
(10,37),-0.597854 # DEPENDENCYPART_ARC
(11,1),-0.745772 # DEPENDENCYPART_ARC
(11,2),-1.35547 # DEPENDENCYPART_ARC
(11,8),-0.639793 # DEPENDENCYPART_ARC
(11,9),-0.620776 # DEPENDENCYPART_ARC
(11,10),0.246315 # DEPENDENCYPART_ARC
(11,12),0.260537 # DEPENDENCYPART_ARC
(11,13),-0.475133 # DEPENDENCYPART_ARC
(11,14),-0.226651 # DEPENDENCYPART_ARC
(11,16),-0.923336 # DEPENDENCYPART_ARC
(11,17),-1.23284 # DEPENDENCYPART_ARC
(11,18),-1.03167 # DEPENDENCYPART_ARC
(11,19),-1.23632 # DEPENDENCYPART_ARC
(11,21),-1.2721 # DEPENDENCYPART_ARC
(11,22),-1.84038 # DEPENDENCYPART_ARC
(11,23),-1.68123 # DEPENDENCYPART_ARC
(11,24),-1.47769 # DEPENDENCYPART_ARC
(11,25),-1.1159 # DEPENDENCYPART_ARC
(11,26),-1.75929 # DEPENDENCYPART_ARC
(11,27),-1.87051 # DEPENDENCYPART_ARC
(11,28),-1.96044 # DEPENDENCYPART_ARC
(11,29),-1.86463 # DEPENDENCYPART_ARC
(11,30),-2.03568 # DEPENDENCYPART_ARC
(11,31),-1.79174 # DEPENDENCYPART_ARC
(11,32),-2.00518 # DEPENDENCYPART_ARC
(11,33),-1.80962 # DEPENDENCYPART_ARC
(11,34),-2.14483 # DEPENDENCYPART_ARC
(11,35),-2.16583 # DEPENDENCYPART_ARC
(11,36),-1.73453 # DEPENDENCYPART_ARC
(11,37),-1.94955 # DEPENDENCYPART_ARC
(12,1),-1.93897 # DEPENDENCYPART_ARC
(12,2),-2.70152 # DEPENDENCYPART_ARC
(12,3),-2.41532 # DEPENDENCYPART_ARC
(12,4),-1.79639 # DEPENDENCYPART_ARC
(12,5),-0.569092 # DEPENDENCYPART_ARC
(12,6),-0.57409 # DEPENDENCYPART_ARC
(12,7),-1.38584 # DEPENDENCYPART_ARC
(12,8),0.142156 # DEPENDENCYPART_ARC
(12,9),-0.668999 # DEPENDENCYPART_ARC
(12,10),-0.817774 # DEPENDENCYPART_ARC
(12,11),2.44717 # DEPENDENCYPART_ARC
(12,13),0.612836 # DEPENDENCYPART_ARC
(12,14),0.144869 # DEPENDENCYPART_ARC
(12,15),0.0625084 # DEPENDENCYPART_ARC
(12,16),-1.02814 # DEPENDENCYPART_ARC
(12,17),-1.33338 # DEPENDENCYPART_ARC
(12,18),-0.193866 # DEPENDENCYPART_ARC
(12,19),-1.56925 # DEPENDENCYPART_ARC
(12,20),-2.30862 # DEPENDENCYPART_ARC
(12,21),-0.449464 # DEPENDENCYPART_ARC
(12,22),-1.34281 # DEPENDENCYPART_ARC
(12,23),-2.35154 # DEPENDENCYPART_ARC
(12,24),-0.612278 # DEPENDENCYPART_ARC
(12,25),-0.474006 # DEPENDENCYPART_ARC
(12,26),-2.05933 # DEPENDENCYPART_ARC
(12,27),-1.63219 # DEPENDENCYPART_ARC
(12,28),-1.46498 # DEPENDENCYPART_ARC
(12,29),-2.33312 # DEPENDENCYPART_ARC
(12,30),-1.26803 # DEPENDENCYPART_ARC
(12,31),-4.09219 # DEPENDENCYPART_ARC
(12,32),-2.31457 # DEPENDENCYPART_ARC
(12,33),-2.66888 # DEPENDENCYPART_ARC
(12,34),-2.60916 # DEPENDENCYPART_ARC
(12,35),-2.14111 # DEPENDENCYPART_ARC
(12,36),-3.44328 # DEPENDENCYPART_ARC
(12,37),-0.680866 # DEPENDENCYPART_ARC
(13,2),-0.834912 # DEPENDENCYPART_ARC
(13,4),-0.639312 # DEPENDENCYPART_ARC
(13,5),-0.70771 # DEPENDENCYPART_ARC
(13,6),-0.68051 # DEPENDENCYPART_ARC
(13,7),-0.251182 # DEPENDENCYPART_ARC
(13,8),-0.570232 # DEPENDENCYPART_ARC
(13,9),-0.49168 # DEPENDENCYPART_ARC
(13,10),-0.239879 # DEPENDENCYPART_ARC
(13,11),-0.00164105 # DEPENDENCYPART_ARC
(13,12),0.0698481 # DEPENDENCYPART_ARC
(13,14),-0.100172 # DEPENDENCYPART_ARC
(13,15),0.117556 # DEPENDENCYPART_ARC
(13,16),0.170761 # DEPENDENCYPART_ARC
(13,17),-0.151747 # DEPENDENCYPART_ARC
(13,18),-0.325955 # DEPENDENCYPART_ARC
(13,20),-1.51861 # DEPENDENCYPART_ARC
(13,21),-0.613647 # DEPENDENCYPART_ARC
(13,22),-1.30617 # DEPENDENCYPART_ARC
(13,23),-0.998534 # DEPENDENCYPART_ARC
(13,24),-0.568952 # DEPENDENCYPART_ARC
(13,25),-0.776618 # DEPENDENCYPART_ARC
(13,26),-1.14482 # DEPENDENCYPART_ARC
(13,27),-0.949056 # DEPENDENCYPART_ARC
(13,28),-1.35502 # DEPENDENCYPART_ARC
(13,30),-1.38055 # DEPENDENCYPART_ARC
(13,31),-1.43913 # DEPENDENCYPART_ARC
(13,33),-1.62745 # DEPENDENCYPART_ARC
(13,35),-1.64845 # DEPENDENCYPART_ARC
(13,36),-1.59543 # DEPENDENCYPART_ARC
(13,37),-1.02904 # DEPENDENCYPART_ARC
(14,1),-0.589779 # DEPENDENCYPART_ARC
(14,2),-0.433785 # DEPENDENCYPART_ARC
(14,3),-0.648467 # DEPENDENCYPART_ARC
(14,4),0.31206 # DEPENDENCYPART_ARC
(14,5),-0.0594822 # DEPENDENCYPART_ARC
(14,6),-0.1915 # DEPENDENCYPART_ARC
(14,7),0.921069 # DEPENDENCYPART_ARC
(14,8),-0.133813 # DEPENDENCYPART_ARC
(14,9),-0.0697364 # DEPENDENCYPART_ARC
(14,10),0.0663048 # DEPENDENCYPART_ARC
(14,11),0.324718 # DEPENDENCYPART_ARC
(14,12),0.820963 # DEPENDENCYPART_ARC
(14,13),1.42405 # DEPENDENCYPART_ARC
(14,15),0.601891 # DEPENDENCYPART_ARC
(14,16),0.524317 # DEPENDENCYPART_ARC
(14,17),-0.203564 # DEPENDENCYPART_ARC
(14,18),-0.31607 # DEPENDENCYPART_ARC
(14,19),-0.923341 # DEPENDENCYPART_ARC
(14,20),-1.12375 # DEPENDENCYPART_ARC
(14,21),-0.508624 # DEPENDENCYPART_ARC
(14,22),-1.48881 # DEPENDENCYPART_ARC
(14,23),-1.6473 # DEPENDENCYPART_ARC
(14,24),-0.0539984 # DEPENDENCYPART_ARC
(14,25),0.136128 # DEPENDENCYPART_ARC
(14,26),-0.980736 # DEPENDENCYPART_ARC
(14,27),-1.01234 # DEPENDENCYPART_ARC
(14,28),-1.65323 # DEPENDENCYPART_ARC
(14,29),-1.75837 # DEPENDENCYPART_ARC
(14,30),-1.89288 # DEPENDENCYPART_ARC
(14,31),-2.35057 # DEPENDENCYPART_ARC
(14,32),-1.53191 # DEPENDENCYPART_ARC
(14,33),-1.81512 # DEPENDENCYPART_ARC
(14,34),-1.38734 # DEPENDENCYPART_ARC
(14,35),-1.20267 # DEPENDENCYPART_ARC
(14,36),-1.90532 # DEPENDENCYPART_ARC
(14,37),-1.11224 # DEPENDENCYPART_ARC
(15,1),-0.813679 # DEPENDENCYPART_ARC
(15,2),-1.58226 # DEPENDENCYPART_ARC
(15,8),-1.1174 # DEPENDENCYPART_ARC
(15,9),-1.25696 # DEPENDENCYPART_ARC
(15,10),-0.873466 # DEPENDENCYPART_ARC
(15,12),-0.670776 # DEPENDENCYPART_ARC
(15,13),-0.0549534 # DEPENDENCYPART_ARC
(15,14),1.04893 # DEPENDENCYPART_ARC
(15,16),0.506164 # DEPENDENCYPART_ARC
(15,17),0.164241 # DEPENDENCYPART_ARC
(15,18),-0.310041 # DEPENDENCYPART_ARC
(15,19),-0.691742 # DEPENDENCYPART_ARC
(15,21),-0.93605 # DEPENDENCYPART_ARC
(15,22),-1.46839 # DEPENDENCYPART_ARC
(15,23),-1.38419 # DEPENDENCYPART_ARC
(15,24),-0.984837 # DEPENDENCYPART_ARC
(15,25),-0.754836 # DEPENDENCYPART_ARC
(15,26),-1.51495 # DEPENDENCYPART_ARC
(15,27),-1.40951 # DEPENDENCYPART_ARC
(15,28),-1.68807 # DEPENDENCYPART_ARC
(15,29),-1.5704 # DEPENDENCYPART_ARC
(15,30),-1.6355 # DEPENDENCYPART_ARC
(15,31),-1.59332 # DEPENDENCYPART_ARC
(15,32),-1.64903 # DEPENDENCYPART_ARC
(15,33),-1.37123 # DEPENDENCYPART_ARC
(15,34),-1.71491 # DEPENDENCYPART_ARC
(15,35),-1.80876 # DEPENDENCYPART_ARC
(15,36),-1.37259 # DEPENDENCYPART_ARC
(15,37),-1.52772 # DEPENDENCYPART_ARC
(16,1),-1.84176 # DEPENDENCYPART_ARC
(16,2),-3.00155 # DEPENDENCYPART_ARC
(16,3),-2.28338 # DEPENDENCYPART_ARC
(16,4),-1.46338 # DEPENDENCYPART_ARC
(16,5),-1.15012 # DEPENDENCYPART_ARC
(16,6),-1.16026 # DEPENDENCYPART_ARC
(16,7),-2.19682 # DEPENDENCYPART_ARC
(16,8),-2.19547 # DEPENDENCYPART_ARC
(16,9),-2.27062 # DEPENDENCYPART_ARC
