# _root_ Επιπλέον , η ισπανική κοινωνία έχει να αντιμετωπίσει και τη βασκική ΕΤΑ , η οποία συνεχίζει τη δράση της παρά τις προσπάθειες εξάρθρωσής της .
#goldHeads=6,6,5,5,6,0,8,6,12,12,12,8,16,15,16,12,18,16,18,16,22,20,22,23,0,
#predictedHeads=6,6,5,5,6,0,8,6,8,12,9,9,16,15,16,9,18,16,18,16,22,20,22,23,0,
(2,4),-0.213512 # DEPENDENCYPART_ARC
(2,5),-0.199236 # DEPENDENCYPART_ARC
(2,6),-0.423087 # DEPENDENCYPART_ARC
(2,7),-1.29571 # DEPENDENCYPART_ARC
(2,8),-1.15203 # DEPENDENCYPART_ARC
(2,9),-0.737479 # DEPENDENCYPART_ARC
(2,11),-1.45336 # DEPENDENCYPART_ARC
(2,12),-1.23315 # DEPENDENCYPART_ARC
(2,13),-0.700718 # DEPENDENCYPART_ARC
(2,15),-2.24879 # DEPENDENCYPART_ARC
(2,16),-1.24034 # DEPENDENCYPART_ARC
(2,18),-1.94687 # DEPENDENCYPART_ARC
(2,20),-1.76452 # DEPENDENCYPART_ARC
(2,22),-2.15582 # DEPENDENCYPART_ARC
(2,23),-2.11331 # DEPENDENCYPART_ARC
(2,25),-1.46379 # DEPENDENCYPART_ARC
(3,1),-0.818124 # DEPENDENCYPART_ARC
(3,5),-0.530658 # DEPENDENCYPART_ARC
(3,9),-0.528234 # DEPENDENCYPART_ARC
(3,18),-2.36828 # DEPENDENCYPART_ARC
(3,22),-2.5599 # DEPENDENCYPART_ARC
(3,23),-2.15648 # DEPENDENCYPART_ARC
(4,1),-0.89001 # DEPENDENCYPART_ARC
(4,2),-0.470025 # DEPENDENCYPART_ARC
(4,3),1.08448 # DEPENDENCYPART_ARC
(4,5),0.134883 # DEPENDENCYPART_ARC
(4,6),-0.820033 # DEPENDENCYPART_ARC
(4,8),-1.51433 # DEPENDENCYPART_ARC
(4,9),-0.968269 # DEPENDENCYPART_ARC
(4,10),-2.02058 # DEPENDENCYPART_ARC
(4,11),-2.72985 # DEPENDENCYPART_ARC
(4,13),-0.957328 # DEPENDENCYPART_ARC
(4,14),-2.4391 # DEPENDENCYPART_ARC
(4,15),-3.02411 # DEPENDENCYPART_ARC
(4,16),-2.16532 # DEPENDENCYPART_ARC
(4,17),-2.3043 # DEPENDENCYPART_ARC
(4,18),-2.84866 # DEPENDENCYPART_ARC
(4,19),-2.37172 # DEPENDENCYPART_ARC
(4,20),-1.52594 # DEPENDENCYPART_ARC
(4,21),-1.87601 # DEPENDENCYPART_ARC
(4,22),-2.96457 # DEPENDENCYPART_ARC
(4,23),-2.13903 # DEPENDENCYPART_ARC
(4,24),-2.60623 # DEPENDENCYPART_ARC
(4,25),-1.35002 # DEPENDENCYPART_ARC
(5,1),-0.222239 # DEPENDENCYPART_ARC
(5,2),0.106904 # DEPENDENCYPART_ARC
(5,3),3.68747 # DEPENDENCYPART_ARC
(5,4),3.77377 # DEPENDENCYPART_ARC
(5,6),-0.516653 # DEPENDENCYPART_ARC
(5,7),-1.00325 # DEPENDENCYPART_ARC
(5,8),-1.6405 # DEPENDENCYPART_ARC
(5,9),-0.885046 # DEPENDENCYPART_ARC
(5,10),-2.17094 # DEPENDENCYPART_ARC
(5,11),-2.81165 # DEPENDENCYPART_ARC
(5,12),-1.3864 # DEPENDENCYPART_ARC
(5,13),-1.07222 # DEPENDENCYPART_ARC
(5,14),-2.41749 # DEPENDENCYPART_ARC
(5,15),-2.09393 # DEPENDENCYPART_ARC
(5,16),-1.97846 # DEPENDENCYPART_ARC
(5,17),-2.58858 # DEPENDENCYPART_ARC
(5,18),-3.27329 # DEPENDENCYPART_ARC
(5,19),-2.0862 # DEPENDENCYPART_ARC
(5,20),-1.76834 # DEPENDENCYPART_ARC
(5,21),-2.60928 # DEPENDENCYPART_ARC
(5,22),-3.75071 # DEPENDENCYPART_ARC
(5,23),-2.77302 # DEPENDENCYPART_ARC
(5,24),-2.85004 # DEPENDENCYPART_ARC
(5,25),-1.07049 # DEPENDENCYPART_ARC
(6,1),0.764666 # DEPENDENCYPART_ARC
(6,2),0.908206 # DEPENDENCYPART_ARC
(6,3),-1.30158 # DEPENDENCYPART_ARC
(6,4),-0.202167 # DEPENDENCYPART_ARC
(6,5),1.80946 # DEPENDENCYPART_ARC
(6,7),0.296959 # DEPENDENCYPART_ARC
(6,8),2.80667 # DEPENDENCYPART_ARC
(6,9),-0.175062 # DEPENDENCYPART_ARC
(6,10),-1.90256 # DEPENDENCYPART_ARC
(6,11),-1.99203 # DEPENDENCYPART_ARC
(6,12),-0.807597 # DEPENDENCYPART_ARC
(6,13),0.00713174 # DEPENDENCYPART_ARC
(6,14),-3.53152 # DEPENDENCYPART_ARC
(6,15),-2.92065 # DEPENDENCYPART_ARC
(6,16),-2.6031 # DEPENDENCYPART_ARC
(6,17),-2.51946 # DEPENDENCYPART_ARC
(6,18),-0.608478 # DEPENDENCYPART_ARC
(6,19),-5.27815 # DEPENDENCYPART_ARC
(6,20),-0.661442 # DEPENDENCYPART_ARC
(6,21),-2.41859 # DEPENDENCYPART_ARC
(6,22),-2.15825 # DEPENDENCYPART_ARC
(6,23),-3.3845 # DEPENDENCYPART_ARC
(6,24),-5.71363 # DEPENDENCYPART_ARC
(6,25),0.363336 # DEPENDENCYPART_ARC
(7,2),-1.02402 # DEPENDENCYPART_ARC
(7,3),-0.74974 # DEPENDENCYPART_ARC
(7,5),-0.886058 # DEPENDENCYPART_ARC
(7,6),-0.127654 # DEPENDENCYPART_ARC
(7,8),0.387051 # DEPENDENCYPART_ARC
(7,10),-0.975922 # DEPENDENCYPART_ARC
(7,13),-0.62409 # DEPENDENCYPART_ARC
(7,14),-1.43907 # DEPENDENCYPART_ARC
(7,16),-1.44626 # DEPENDENCYPART_ARC
(7,17),-1.50208 # DEPENDENCYPART_ARC
(7,18),-1.59697 # DEPENDENCYPART_ARC
(7,21),-1.60773 # DEPENDENCYPART_ARC
(7,22),-1.54472 # DEPENDENCYPART_ARC
(7,23),-1.78086 # DEPENDENCYPART_ARC
(7,25),-0.910707 # DEPENDENCYPART_ARC
(8,1),0.0856203 # DEPENDENCYPART_ARC
(8,2),-0.123019 # DEPENDENCYPART_ARC
(8,3),-1.48939 # DEPENDENCYPART_ARC
(8,4),-2.15757 # DEPENDENCYPART_ARC
(8,5),1.43225 # DEPENDENCYPART_ARC
(8,6),-0.654802 # DEPENDENCYPART_ARC
(8,7),2.49815 # DEPENDENCYPART_ARC
(8,9),0.680942 # DEPENDENCYPART_ARC
(8,10),-0.691052 # DEPENDENCYPART_ARC
(8,11),-1.02904 # DEPENDENCYPART_ARC
(8,12),-0.00581685 # DEPENDENCYPART_ARC
(8,13),0.424808 # DEPENDENCYPART_ARC
(8,14),-2.86055 # DEPENDENCYPART_ARC
(8,15),-2.52023 # DEPENDENCYPART_ARC
(8,16),-2.78454 # DEPENDENCYPART_ARC
(8,17),-2.27059 # DEPENDENCYPART_ARC
(8,18),-0.921508 # DEPENDENCYPART_ARC
(8,19),-5.25888 # DEPENDENCYPART_ARC
(8,20),-0.500867 # DEPENDENCYPART_ARC
(8,21),-2.37401 # DEPENDENCYPART_ARC
(8,22),-2.32247 # DEPENDENCYPART_ARC
(8,23),-3.97583 # DEPENDENCYPART_ARC
(8,24),-5.85837 # DEPENDENCYPART_ARC
(8,25),-0.0871124 # DEPENDENCYPART_ARC
(9,1),-0.0269762 # DEPENDENCYPART_ARC
(9,2),0.436053 # DEPENDENCYPART_ARC
(9,3),-0.360253 # DEPENDENCYPART_ARC
(9,4),-0.123177 # DEPENDENCYPART_ARC
(9,5),0.39691 # DEPENDENCYPART_ARC
(9,6),0.629879 # DEPENDENCYPART_ARC
(9,7),0.527679 # DEPENDENCYPART_ARC
(9,8),1.16479 # DEPENDENCYPART_ARC
(9,10),-0.0986991 # DEPENDENCYPART_ARC
(9,11),0.869037 # DEPENDENCYPART_ARC
(9,12),0.39694 # DEPENDENCYPART_ARC
(9,13),0.20108 # DEPENDENCYPART_ARC
(9,14),-0.95561 # DEPENDENCYPART_ARC
(9,15),-0.873843 # DEPENDENCYPART_ARC
(9,16),0.444954 # DEPENDENCYPART_ARC
(9,17),-1.42663 # DEPENDENCYPART_ARC
(9,18),-1.6908 # DEPENDENCYPART_ARC
(9,19),-0.963156 # DEPENDENCYPART_ARC
(9,20),-0.824828 # DEPENDENCYPART_ARC
(9,21),-1.50388 # DEPENDENCYPART_ARC
(9,22),-2.0483 # DEPENDENCYPART_ARC
(9,23),-2.23076 # DEPENDENCYPART_ARC
(9,24),-0.639924 # DEPENDENCYPART_ARC
(9,25),-0.439719 # DEPENDENCYPART_ARC
(10,1),-1.57778 # DEPENDENCYPART_ARC
(10,5),-2.16734 # DEPENDENCYPART_ARC
(10,9),-0.0643204 # DEPENDENCYPART_ARC
(10,18),-2.18064 # DEPENDENCYPART_ARC
(10,22),-2.33558 # DEPENDENCYPART_ARC
(10,23),-1.89532 # DEPENDENCYPART_ARC
(11,1),-1.38758 # DEPENDENCYPART_ARC
(11,2),-1.03951 # DEPENDENCYPART_ARC
(11,3),-0.982072 # DEPENDENCYPART_ARC
(11,4),-1.1581 # DEPENDENCYPART_ARC
(11,5),-2.07709 # DEPENDENCYPART_ARC
(11,6),-3.97327 # DEPENDENCYPART_ARC
(11,8),-3.11794 # DEPENDENCYPART_ARC
(11,9),-0.005193 # DEPENDENCYPART_ARC
(11,10),1.36749 # DEPENDENCYPART_ARC
(11,13),0.111792 # DEPENDENCYPART_ARC
(11,14),-0.920778 # DEPENDENCYPART_ARC
(11,15),-1.73368 # DEPENDENCYPART_ARC
(11,16),-0.37179 # DEPENDENCYPART_ARC
(11,17),-1.49108 # DEPENDENCYPART_ARC
(11,18),-2.07075 # DEPENDENCYPART_ARC
(11,19),-1.95486 # DEPENDENCYPART_ARC
(11,20),-0.679588 # DEPENDENCYPART_ARC
(11,21),-1.09904 # DEPENDENCYPART_ARC
(11,22),-2.19475 # DEPENDENCYPART_ARC
(11,23),-1.2343 # DEPENDENCYPART_ARC
(11,24),-2.17845 # DEPENDENCYPART_ARC
(11,25),-0.647825 # DEPENDENCYPART_ARC
(12,1),-0.341648 # DEPENDENCYPART_ARC
(12,2),-0.600369 # DEPENDENCYPART_ARC
(12,3),0.274293 # DEPENDENCYPART_ARC
(12,6),-0.542728 # DEPENDENCYPART_ARC
(12,8),-0.197108 # DEPENDENCYPART_ARC
(12,9),0.392281 # DEPENDENCYPART_ARC
(12,10),1.88544 # DEPENDENCYPART_ARC
(12,13),0.363509 # DEPENDENCYPART_ARC
(12,14),-0.226452 # DEPENDENCYPART_ARC
(12,16),-0.33648 # DEPENDENCYPART_ARC
(12,17),-1.26373 # DEPENDENCYPART_ARC
(12,21),-1.45748 # DEPENDENCYPART_ARC
(12,25),-0.546448 # DEPENDENCYPART_ARC
(13,1),-1.13995 # DEPENDENCYPART_ARC
(13,2),-1.3276 # DEPENDENCYPART_ARC
(13,4),-1.2726 # DEPENDENCYPART_ARC
(13,5),-1.1998 # DEPENDENCYPART_ARC
(13,6),-0.524204 # DEPENDENCYPART_ARC
(13,7),-0.196378 # DEPENDENCYPART_ARC
(13,8),-0.673198 # DEPENDENCYPART_ARC
(13,9),-0.432023 # DEPENDENCYPART_ARC
(13,11),-0.487743 # DEPENDENCYPART_ARC
(13,12),-0.00287002 # DEPENDENCYPART_ARC
(13,15),-0.542055 # DEPENDENCYPART_ARC
(13,16),-0.0812352 # DEPENDENCYPART_ARC
(13,18),-0.757206 # DEPENDENCYPART_ARC
(13,20),-1.19197 # DEPENDENCYPART_ARC
(13,22),-1.51047 # DEPENDENCYPART_ARC
(13,23),-1.35362 # DEPENDENCYPART_ARC
(13,25),-0.615736 # DEPENDENCYPART_ARC
(14,1),-1.87669 # DEPENDENCYPART_ARC
(14,5),-2.06582 # DEPENDENCYPART_ARC
(14,9),-1.05422 # DEPENDENCYPART_ARC
(14,18),-1.39741 # DEPENDENCYPART_ARC
(14,22),-2.04355 # DEPENDENCYPART_ARC
(14,23),-1.66328 # DEPENDENCYPART_ARC
(15,2),-0.854522 # DEPENDENCYPART_ARC
(15,3),-0.52378 # DEPENDENCYPART_ARC
(15,4),-2.93556 # DEPENDENCYPART_ARC
(15,6),-3.4151 # DEPENDENCYPART_ARC
(15,8),-2.97682 # DEPENDENCYPART_ARC
(15,10),0.135421 # DEPENDENCYPART_ARC
(15,11),-3.17574 # DEPENDENCYPART_ARC
(15,13),0.275086 # DEPENDENCYPART_ARC
(15,14),2.59478 # DEPENDENCYPART_ARC
(15,16),-0.892069 # DEPENDENCYPART_ARC
(15,17),-2.13818 # DEPENDENCYPART_ARC
(15,21),-2.90569 # DEPENDENCYPART_ARC
(15,25),-1.36947 # DEPENDENCYPART_ARC
(16,1),-0.0467498 # DEPENDENCYPART_ARC
(16,2),-0.0277257 # DEPENDENCYPART_ARC
(16,3),-2.37275 # DEPENDENCYPART_ARC
(16,4),-1.66131 # DEPENDENCYPART_ARC
(16,5),-0.0534455 # DEPENDENCYPART_ARC
(16,6),-2.76612 # DEPENDENCYPART_ARC
(16,7),0.19941 # DEPENDENCYPART_ARC
(16,8),-3.21026 # DEPENDENCYPART_ARC
(16,9),-0.0993875 # DEPENDENCYPART_ARC
(16,10),-1.62046 # DEPENDENCYPART_ARC
(16,11),-0.705711 # DEPENDENCYPART_ARC
(16,12),-0.540022 # DEPENDENCYPART_ARC
(16,13),1.13725 # DEPENDENCYPART_ARC
(16,14),-0.690989 # DEPENDENCYPART_ARC
(16,15),2.84666 # DEPENDENCYPART_ARC
(16,17),-0.0952086 # DEPENDENCYPART_ARC
(16,18),2.89915 # DEPENDENCYPART_ARC
(16,19),-3.15124 # DEPENDENCYPART_ARC
(16,20),1.63879 # DEPENDENCYPART_ARC
(16,21),-1.21094 # DEPENDENCYPART_ARC
(16,22),-0.505475 # DEPENDENCYPART_ARC
(16,23),-1.91227 # DEPENDENCYPART_ARC
(16,24),-4.35872 # DEPENDENCYPART_ARC
(16,25),0.739164 # DEPENDENCYPART_ARC
(17,1),-1.63661 # DEPENDENCYPART_ARC
(17,5),-2.4328 # DEPENDENCYPART_ARC
(17,9),-1.16279 # DEPENDENCYPART_ARC
(17,18),-0.157597 # DEPENDENCYPART_ARC
(17,22),-1.54635 # DEPENDENCYPART_ARC
(17,23),-1.43679 # DEPENDENCYPART_ARC
(18,1),-1.84463 # DEPENDENCYPART_ARC
(18,2),-1.72063 # DEPENDENCYPART_ARC
(18,3),-2.7039 # DEPENDENCYPART_ARC
(18,4),-2.86891 # DEPENDENCYPART_ARC
(18,5),-3.25857 # DEPENDENCYPART_ARC
(18,6),-3.96145 # DEPENDENCYPART_ARC
(18,7),-1.73064 # DEPENDENCYPART_ARC
(18,8),-3.95649 # DEPENDENCYPART_ARC
(18,9),-0.56577 # DEPENDENCYPART_ARC
(18,10),-0.984654 # DEPENDENCYPART_ARC
(18,11),-1.05937 # DEPENDENCYPART_ARC
(18,12),-1.5867 # DEPENDENCYPART_ARC
(18,13),-1.18518 # DEPENDENCYPART_ARC
(18,14),-0.250636 # DEPENDENCYPART_ARC
(18,15),-0.933313 # DEPENDENCYPART_ARC
(18,16),-1.89983 # DEPENDENCYPART_ARC
(18,17),3.2571 # DEPENDENCYPART_ARC
(18,19),2.74913 # DEPENDENCYPART_ARC
(18,20),1.02744 # DEPENDENCYPART_ARC
(18,21),-0.227154 # DEPENDENCYPART_ARC
(18,22),-0.4449 # DEPENDENCYPART_ARC
(18,23),0.649088 # DEPENDENCYPART_ARC
(18,24),-0.0457059 # DEPENDENCYPART_ARC
(18,25),0.137351 # DEPENDENCYPART_ARC
(20,1),-0.992394 # DEPENDENCYPART_ARC
(20,2),-0.504062 # DEPENDENCYPART_ARC
(20,3),-1.1787 # DEPENDENCYPART_ARC
(20,4),-1.6199 # DEPENDENCYPART_ARC
(20,5),-1.94454 # DEPENDENCYPART_ARC
(20,6),-1.36872 # DEPENDENCYPART_ARC
(20,7),-0.928114 # DEPENDENCYPART_ARC
(20,8),-1.24062 # DEPENDENCYPART_ARC
(20,9),-0.351352 # DEPENDENCYPART_ARC
(20,10),-0.910195 # DEPENDENCYPART_ARC
(20,11),-1.26667 # DEPENDENCYPART_ARC
(20,12),-1.1276 # DEPENDENCYPART_ARC
(20,13),-0.215601 # DEPENDENCYPART_ARC
(20,14),-0.75774 # DEPENDENCYPART_ARC
(20,15),-0.985965 # DEPENDENCYPART_ARC
(20,16),-0.732417 # DEPENDENCYPART_ARC
(20,17),-0.0156806 # DEPENDENCYPART_ARC
(20,18),-0.586488 # DEPENDENCYPART_ARC
(20,19),0.472957 # DEPENDENCYPART_ARC
(20,21),0.288857 # DEPENDENCYPART_ARC
(20,22),2.34695 # DEPENDENCYPART_ARC
(20,23),1.0078 # DEPENDENCYPART_ARC
(20,24),-0.375476 # DEPENDENCYPART_ARC
(20,25),0.258377 # DEPENDENCYPART_ARC
(21,1),-2.16373 # DEPENDENCYPART_ARC
(21,5),-3.14804 # DEPENDENCYPART_ARC
(21,9),-1.68693 # DEPENDENCYPART_ARC
(21,18),-1.87391 # DEPENDENCYPART_ARC
(21,22),-0.280169 # DEPENDENCYPART_ARC
(21,23),-0.171867 # DEPENDENCYPART_ARC
(22,1),-2.09908 # DEPENDENCYPART_ARC
(22,2),-1.74241 # DEPENDENCYPART_ARC
(22,3),-4.57844 # DEPENDENCYPART_ARC
(22,4),-3.6273 # DEPENDENCYPART_ARC
(22,5),-4.2007 # DEPENDENCYPART_ARC
(22,6),-3.93805 # DEPENDENCYPART_ARC
(22,7),-1.88561 # DEPENDENCYPART_ARC
(22,8),-4.09335 # DEPENDENCYPART_ARC
(22,9),-1.05914 # DEPENDENCYPART_ARC
(22,10),-2.78042 # DEPENDENCYPART_ARC
(22,11),-2.19308 # DEPENDENCYPART_ARC
(22,12),-1.94815 # DEPENDENCYPART_ARC
(22,13),-1.50627 # DEPENDENCYPART_ARC
(22,14),-2.84877 # DEPENDENCYPART_ARC
(22,15),-2.47225 # DEPENDENCYPART_ARC
(22,16),-3.35655 # DEPENDENCYPART_ARC
(22,17),-0.0898493 # DEPENDENCYPART_ARC
(22,18),-1.55681 # DEPENDENCYPART_ARC
(22,19),-0.334156 # DEPENDENCYPART_ARC
(22,20),0.0137928 # DEPENDENCYPART_ARC
(22,21),3.42945 # DEPENDENCYPART_ARC
(22,23),2.42311 # DEPENDENCYPART_ARC
(22,24),0.979701 # DEPENDENCYPART_ARC
(22,25),0.0979887 # DEPENDENCYPART_ARC
(23,1),-1.73273 # DEPENDENCYPART_ARC
(23,2),-1.51113 # DEPENDENCYPART_ARC
(23,3),-3.77803 # DEPENDENCYPART_ARC
(23,4),-3.34677 # DEPENDENCYPART_ARC
(23,5),-3.55899 # DEPENDENCYPART_ARC
(23,6),-3.04627 # DEPENDENCYPART_ARC
(23,7),-1.49603 # DEPENDENCYPART_ARC
(23,8),-3.14241 # DEPENDENCYPART_ARC
(23,9),-0.824739 # DEPENDENCYPART_ARC
(23,10),-3.22189 # DEPENDENCYPART_ARC
(23,11),-2.73634 # DEPENDENCYPART_ARC
(23,12),-1.49749 # DEPENDENCYPART_ARC
(23,13),-1.28481 # DEPENDENCYPART_ARC
(23,14),-2.11727 # DEPENDENCYPART_ARC
(23,15),-1.91416 # DEPENDENCYPART_ARC
(23,16),-2.46034 # DEPENDENCYPART_ARC
(23,17),-1.33668 # DEPENDENCYPART_ARC
(23,18),-1.92202 # DEPENDENCYPART_ARC
(23,19),0.924658 # DEPENDENCYPART_ARC
(23,20),-0.137597 # DEPENDENCYPART_ARC
(23,21),0.575926 # DEPENDENCYPART_ARC
(23,22),-0.318469 # DEPENDENCYPART_ARC
(23,24),2.16899 # DEPENDENCYPART_ARC
(23,25),0.0893791 # DEPENDENCYPART_ARC
(25,1),-2.55351 # DEPENDENCYPART_ARC
(25,2),-3.23165 # DEPENDENCYPART_ARC
(25,4),-2.71673 # DEPENDENCYPART_ARC
(25,5),-3.05979 # DEPENDENCYPART_ARC
(25,6),-2.44553 # DEPENDENCYPART_ARC
(25,7),-1.85478 # DEPENDENCYPART_ARC
(25,8),-2.42567 # DEPENDENCYPART_ARC
(25,9),-2.32692 # DEPENDENCYPART_ARC
(25,11),-2.41057 # DEPENDENCYPART_ARC
(25,12),-2.41638 # DEPENDENCYPART_ARC
(25,13),-2.49163 # DEPENDENCYPART_ARC
(25,15),-2.26649 # DEPENDENCYPART_ARC
(25,16),-2.14289 # DEPENDENCYPART_ARC
(25,18),-1.86852 # DEPENDENCYPART_ARC
(25,20),-2.15134 # DEPENDENCYPART_ARC
(25,22),-1.60815 # DEPENDENCYPART_ARC
(25,23),-1.65681 # DEPENDENCYPART_ARC
