# _root_ Αξίζει να επισκεφθείτε το Διοικητήριο , σημείο αναφοράς του οικισμού , κτισμένο κατά την περίοδο της Bενετοκρατίας .
#goldHeads=0,3,1,5,6,3,6,7,10,8,6,6,12,15,13,17,15,0,
#predictedHeads=0,3,1,5,3,3,6,7,10,8,3,10,12,15,13,17,15,0,
(11,16),-1.42044 # DEPENDENCYPART_ARC
(11,17),-1.12484 # DEPENDENCYPART_ARC
(11,18),-0.524923 # DEPENDENCYPART_ARC
(12,1),-2.68907 # DEPENDENCYPART_ARC
(12,2),-0.310041 # DEPENDENCYPART_ARC
(12,3),-5.14216 # DEPENDENCYPART_ARC
(12,4),-1.40023 # DEPENDENCYPART_ARC
(12,5),-1.92908 # DEPENDENCYPART_ARC
(12,6),0.034234 # DEPENDENCYPART_ARC
(12,7),-1.28134 # DEPENDENCYPART_ARC
(12,8),-2.39859 # DEPENDENCYPART_ARC
(12,9),-1.48649 # DEPENDENCYPART_ARC
(12,10),-2.23409 # DEPENDENCYPART_ARC
(12,11),0.592572 # DEPENDENCYPART_ARC
(12,13),1.83196 # DEPENDENCYPART_ARC
(12,14),-0.693252 # DEPENDENCYPART_ARC
(12,15),-2.09242 # DEPENDENCYPART_ARC
(12,16),-1.81315 # DEPENDENCYPART_ARC
(12,17),-4.20593 # DEPENDENCYPART_ARC
(12,18),0.648738 # DEPENDENCYPART_ARC
(13,1),-1.37907 # DEPENDENCYPART_ARC
(13,2),-0.991407 # DEPENDENCYPART_ARC
(13,3),-1.34745 # DEPENDENCYPART_ARC
(13,4),-0.939829 # DEPENDENCYPART_ARC
(13,5),-1.56305 # DEPENDENCYPART_ARC
(13,6),-0.43857 # DEPENDENCYPART_ARC
(13,7),-1.45917 # DEPENDENCYPART_ARC
(13,8),-1.36131 # DEPENDENCYPART_ARC
(13,9),-0.583695 # DEPENDENCYPART_ARC
(13,10),-1.08153 # DEPENDENCYPART_ARC
(13,11),0.198486 # DEPENDENCYPART_ARC
(13,12),0.0245314 # DEPENDENCYPART_ARC
(13,14),0.258126 # DEPENDENCYPART_ARC
(13,15),2.70223 # DEPENDENCYPART_ARC
(13,16),-0.658732 # DEPENDENCYPART_ARC
(13,17),0.495263 # DEPENDENCYPART_ARC
(13,18),-0.127655 # DEPENDENCYPART_ARC
(14,1),-3.92196 # DEPENDENCYPART_ARC
(14,2),-2.06492 # DEPENDENCYPART_ARC
(14,3),-3.66086 # DEPENDENCYPART_ARC
(14,4),-1.83612 # DEPENDENCYPART_ARC
(14,5),-2.3372 # DEPENDENCYPART_ARC
(14,6),-1.97214 # DEPENDENCYPART_ARC
(14,7),-2.31107 # DEPENDENCYPART_ARC
(14,8),-2.48032 # DEPENDENCYPART_ARC
(14,9),-1.89957 # DEPENDENCYPART_ARC
(14,10),-2.61141 # DEPENDENCYPART_ARC
(14,11),-1.52507 # DEPENDENCYPART_ARC
(14,12),-2.02295 # DEPENDENCYPART_ARC
(14,13),-0.543294 # DEPENDENCYPART_ARC
(14,15),-0.140302 # DEPENDENCYPART_ARC
(14,16),-0.501994 # DEPENDENCYPART_ARC
(14,17),-0.807934 # DEPENDENCYPART_ARC
(14,18),-0.547531 # DEPENDENCYPART_ARC
(15,1),-3.65007 # DEPENDENCYPART_ARC
(15,2),-1.41076 # DEPENDENCYPART_ARC
(15,3),-3.06464 # DEPENDENCYPART_ARC
(15,4),-2.85642 # DEPENDENCYPART_ARC
(15,5),-2.59519 # DEPENDENCYPART_ARC
(15,6),-1.49783 # DEPENDENCYPART_ARC
(15,7),-2.0153 # DEPENDENCYPART_ARC
(15,8),-2.15316 # DEPENDENCYPART_ARC
(15,9),-2.43225 # DEPENDENCYPART_ARC
(15,10),-2.00733 # DEPENDENCYPART_ARC
(15,11),-0.989741 # DEPENDENCYPART_ARC
(15,12),0.82776 # DEPENDENCYPART_ARC
(15,13),0.253434 # DEPENDENCYPART_ARC
(15,14),3.33796 # DEPENDENCYPART_ARC
(15,16),0.618998 # DEPENDENCYPART_ARC
(15,17),2.52242 # DEPENDENCYPART_ARC
(15,18),0.207217 # DEPENDENCYPART_ARC
(16,1),-2.9152 # DEPENDENCYPART_ARC
(16,2),-1.54099 # DEPENDENCYPART_ARC
(16,3),-2.78369 # DEPENDENCYPART_ARC
(16,4),-1.95065 # DEPENDENCYPART_ARC
(16,5),-2.57024 # DEPENDENCYPART_ARC
(16,6),-1.46619 # DEPENDENCYPART_ARC
(16,7),-2.43259 # DEPENDENCYPART_ARC
(16,8),-2.06587 # DEPENDENCYPART_ARC
(16,9),-1.23639 # DEPENDENCYPART_ARC
(16,10),-2.1101 # DEPENDENCYPART_ARC
(16,11),-1.24622 # DEPENDENCYPART_ARC
(16,12),-1.7364 # DEPENDENCYPART_ARC
(16,13),-0.652867 # DEPENDENCYPART_ARC
(16,14),-0.425416 # DEPENDENCYPART_ARC
(16,15),-1.05591 # DEPENDENCYPART_ARC
(16,17),0.254421 # DEPENDENCYPART_ARC
(16,18),-0.367872 # DEPENDENCYPART_ARC
(17,1),-2.89931 # DEPENDENCYPART_ARC
(17,2),-1.07937 # DEPENDENCYPART_ARC
(17,3),-2.45987 # DEPENDENCYPART_ARC
(17,4),-4.73808 # DEPENDENCYPART_ARC
(17,5),-4.13031 # DEPENDENCYPART_ARC
(17,6),-1.38694 # DEPENDENCYPART_ARC
(17,7),-3.32271 # DEPENDENCYPART_ARC
(17,8),-2.28379 # DEPENDENCYPART_ARC
(17,9),-2.36219 # DEPENDENCYPART_ARC
(17,10),-2.19588 # DEPENDENCYPART_ARC
(17,11),-1.04088 # DEPENDENCYPART_ARC
(17,12),0.982852 # DEPENDENCYPART_ARC
(17,13),-0.255132 # DEPENDENCYPART_ARC
(17,14),0.0109237 # DEPENDENCYPART_ARC
(17,15),-1.08873 # DEPENDENCYPART_ARC
(17,16),3.49191 # DEPENDENCYPART_ARC
(17,18),0.280057 # DEPENDENCYPART_ARC
(18,1),-2.50073 # DEPENDENCYPART_ARC
(18,2),-1.76328 # DEPENDENCYPART_ARC
(18,3),-2.5022 # DEPENDENCYPART_ARC
(18,4),-2.29384 # DEPENDENCYPART_ARC
(18,5),-2.88392 # DEPENDENCYPART_ARC
(18,6),-2.0867 # DEPENDENCYPART_ARC
(18,7),-2.4604 # DEPENDENCYPART_ARC
(18,8),-2.47826 # DEPENDENCYPART_ARC
(18,9),-2.07176 # DEPENDENCYPART_ARC
(18,10),-2.64411 # DEPENDENCYPART_ARC
(18,11),-1.90427 # DEPENDENCYPART_ARC
(18,12),-1.92677 # DEPENDENCYPART_ARC
(18,13),-1.78473 # DEPENDENCYPART_ARC
(18,14),-1.64538 # DEPENDENCYPART_ARC
(18,15),-1.77661 # DEPENDENCYPART_ARC
(18,16),-1.39759 # DEPENDENCYPART_ARC
(18,17),-1.72406 # DEPENDENCYPART_ARC
