# _root_ * Τα ρέηβ πάρτυ στο κλαμπ Cavo Paradiso , κοντά στη Χώρα , που τελειώνουν με την ανατολή του ηλίου .
#goldHeads=0,4,4,0,4,5,6,7,10,6,10,11,15,15,4,15,18,16,20,18,0,
#predictedHeads=0,4,0,3,4,5,6,7,10,7,10,11,15,15,0,15,18,16,20,18,0,
(1,21),-1.54222 # DEPENDENCYPART_ARC
(2,4),0.0664845 # DEPENDENCYPART_ARC
(2,6),-0.792156 # DEPENDENCYPART_ARC
(2,10),-0.452083 # DEPENDENCYPART_ARC
(2,12),-1.41235 # DEPENDENCYPART_ARC
(2,18),-2.12341 # DEPENDENCYPART_ARC
(2,20),-1.48823 # DEPENDENCYPART_ARC
(3,1),0.247458 # DEPENDENCYPART_ARC
(3,2),2.07088 # DEPENDENCYPART_ARC
(3,4),1.32822 # DEPENDENCYPART_ARC
(3,6),0.157348 # DEPENDENCYPART_ARC
(3,9),-0.241334 # DEPENDENCYPART_ARC
(3,12),-0.734272 # DEPENDENCYPART_ARC
(3,13),-0.264347 # DEPENDENCYPART_ARC
(3,15),-1.02283 # DEPENDENCYPART_ARC
(3,17),-1.56864 # DEPENDENCYPART_ARC
(3,18),-1.19409 # DEPENDENCYPART_ARC
(3,19),-1.7738 # DEPENDENCYPART_ARC
(3,20),-1.29381 # DEPENDENCYPART_ARC
(3,21),-0.597409 # DEPENDENCYPART_ARC
(4,1),-0.173954 # DEPENDENCYPART_ARC
(4,2),2.33969 # DEPENDENCYPART_ARC
(4,3),0.839295 # DEPENDENCYPART_ARC
(4,5),0.902184 # DEPENDENCYPART_ARC
(4,6),0.278053 # DEPENDENCYPART_ARC
(4,7),0.123213 # DEPENDENCYPART_ARC
(4,8),-0.0761997 # DEPENDENCYPART_ARC
(4,9),0.0104099 # DEPENDENCYPART_ARC
(4,10),-0.35333 # DEPENDENCYPART_ARC
(4,11),-0.828642 # DEPENDENCYPART_ARC
(4,12),-1.42438 # DEPENDENCYPART_ARC
(4,13),-0.123668 # DEPENDENCYPART_ARC
(4,14),-2.49498 # DEPENDENCYPART_ARC
(4,15),-0.667662 # DEPENDENCYPART_ARC
(4,16),-1.05455 # DEPENDENCYPART_ARC
(4,17),-2.1752 # DEPENDENCYPART_ARC
(4,18),-2.71513 # DEPENDENCYPART_ARC
(4,19),-2.30998 # DEPENDENCYPART_ARC
(4,20),-2.47373 # DEPENDENCYPART_ARC
(4,21),-0.312196 # DEPENDENCYPART_ARC
(5,1),-0.62784 # DEPENDENCYPART_ARC
(5,3),-0.813437 # DEPENDENCYPART_ARC
(5,4),-1.09517 # DEPENDENCYPART_ARC
(5,6),2.62909 # DEPENDENCYPART_ARC
(5,7),0.336823 # DEPENDENCYPART_ARC
(5,8),0.0345388 # DEPENDENCYPART_ARC
(5,9),-0.499231 # DEPENDENCYPART_ARC
(5,10),-0.958793 # DEPENDENCYPART_ARC
(5,12),-0.615477 # DEPENDENCYPART_ARC
(5,13),-0.755425 # DEPENDENCYPART_ARC
(5,14),-1.37537 # DEPENDENCYPART_ARC
(5,15),-2.59792 # DEPENDENCYPART_ARC
(5,16),-1.92911 # DEPENDENCYPART_ARC
(5,18),-3.33116 # DEPENDENCYPART_ARC
(5,20),-4.96532 # DEPENDENCYPART_ARC
(5,21),-1.74161 # DEPENDENCYPART_ARC
(6,1),-1.37369 # DEPENDENCYPART_ARC
(6,2),-0.193539 # DEPENDENCYPART_ARC
(6,3),-1.31021 # DEPENDENCYPART_ARC
(6,4),-1.2749 # DEPENDENCYPART_ARC
(6,5),-1.07314 # DEPENDENCYPART_ARC
(6,7),1.35534 # DEPENDENCYPART_ARC
(6,8),0.79276 # DEPENDENCYPART_ARC
(6,9),0.544022 # DEPENDENCYPART_ARC
(6,10),0.10518 # DEPENDENCYPART_ARC
(6,11),-0.745553 # DEPENDENCYPART_ARC
(6,12),-0.740059 # DEPENDENCYPART_ARC
(6,13),0.0223273 # DEPENDENCYPART_ARC
(6,14),-2.91884 # DEPENDENCYPART_ARC
(6,15),0.570007 # DEPENDENCYPART_ARC
(6,16),-1.00655 # DEPENDENCYPART_ARC
(6,17),-1.88391 # DEPENDENCYPART_ARC
(6,18),-2.21581 # DEPENDENCYPART_ARC
(6,19),-1.87131 # DEPENDENCYPART_ARC
(6,20),-1.06542 # DEPENDENCYPART_ARC
(6,21),-0.247513 # DEPENDENCYPART_ARC
(7,1),-0.389452 # DEPENDENCYPART_ARC
(7,2),0.328395 # DEPENDENCYPART_ARC
(7,3),-0.148567 # DEPENDENCYPART_ARC
(7,4),-0.204692 # DEPENDENCYPART_ARC
(7,5),0.138032 # DEPENDENCYPART_ARC
(7,6),0.578796 # DEPENDENCYPART_ARC
(7,8),1.47457 # DEPENDENCYPART_ARC
(7,9),0.616845 # DEPENDENCYPART_ARC
(7,10),0.510971 # DEPENDENCYPART_ARC
(7,11),0.60656 # DEPENDENCYPART_ARC
(7,12),0.291949 # DEPENDENCYPART_ARC
(7,13),0.432414 # DEPENDENCYPART_ARC
(7,15),-0.402603 # DEPENDENCYPART_ARC
(7,17),-0.88493 # DEPENDENCYPART_ARC
(7,18),-0.751662 # DEPENDENCYPART_ARC
(7,19),-1.00896 # DEPENDENCYPART_ARC
(7,20),-0.776488 # DEPENDENCYPART_ARC
(7,21),0.028892 # DEPENDENCYPART_ARC
(8,1),-0.524321 # DEPENDENCYPART_ARC
(8,2),0.669956 # DEPENDENCYPART_ARC
(8,3),-0.171762 # DEPENDENCYPART_ARC
(8,4),-0.561592 # DEPENDENCYPART_ARC
(8,5),-0.307147 # DEPENDENCYPART_ARC
(8,6),-0.0181985 # DEPENDENCYPART_ARC
(8,7),1.36002 # DEPENDENCYPART_ARC
(8,9),0.186618 # DEPENDENCYPART_ARC
(8,10),0.0348707 # DEPENDENCYPART_ARC
(8,11),0.0549315 # DEPENDENCYPART_ARC
(8,12),-0.2769 # DEPENDENCYPART_ARC
(8,13),-0.457128 # DEPENDENCYPART_ARC
(8,15),-0.98622 # DEPENDENCYPART_ARC
(8,17),-1.66917 # DEPENDENCYPART_ARC
(8,18),-1.32774 # DEPENDENCYPART_ARC
(8,19),-1.73263 # DEPENDENCYPART_ARC
(8,20),-1.38452 # DEPENDENCYPART_ARC
(8,21),-0.765149 # DEPENDENCYPART_ARC
(9,1),-0.506908 # DEPENDENCYPART_ARC
(9,3),-0.428643 # DEPENDENCYPART_ARC
(9,4),-0.436362 # DEPENDENCYPART_ARC
(9,5),0.149187 # DEPENDENCYPART_ARC
(9,6),0.0615974 # DEPENDENCYPART_ARC
(9,7),-0.154838 # DEPENDENCYPART_ARC
(9,8),0.276142 # DEPENDENCYPART_ARC
(9,10),0.0320695 # DEPENDENCYPART_ARC
(9,11),-0.0675089 # DEPENDENCYPART_ARC
(9,12),0.159773 # DEPENDENCYPART_ARC
(9,13),0.211858 # DEPENDENCYPART_ARC
(9,14),-1.43582 # DEPENDENCYPART_ARC
(9,15),-0.505275 # DEPENDENCYPART_ARC
(9,16),-0.862314 # DEPENDENCYPART_ARC
(9,18),-1.46723 # DEPENDENCYPART_ARC
(9,20),-1.40127 # DEPENDENCYPART_ARC
(9,21),-0.62336 # DEPENDENCYPART_ARC
(10,1),-0.341294 # DEPENDENCYPART_ARC
(10,2),0.250025 # DEPENDENCYPART_ARC
(10,3),-0.297348 # DEPENDENCYPART_ARC
(10,4),-0.369971 # DEPENDENCYPART_ARC
(10,5),0.2149 # DEPENDENCYPART_ARC
(10,6),-0.0952591 # DEPENDENCYPART_ARC
(10,7),0.0807117 # DEPENDENCYPART_ARC
(10,8),0.214127 # DEPENDENCYPART_ARC
(10,9),1.03139 # DEPENDENCYPART_ARC
(10,11),1.55381 # DEPENDENCYPART_ARC
(10,12),0.859642 # DEPENDENCYPART_ARC
(10,13),1.07474 # DEPENDENCYPART_ARC
(10,14),-0.351846 # DEPENDENCYPART_ARC
(10,15),0.0810273 # DEPENDENCYPART_ARC
(10,16),-0.050562 # DEPENDENCYPART_ARC
(10,17),-1.28341 # DEPENDENCYPART_ARC
(10,18),-1.46318 # DEPENDENCYPART_ARC
(10,19),-0.850041 # DEPENDENCYPART_ARC
(10,20),-1.10935 # DEPENDENCYPART_ARC
(10,21),-0.171339 # DEPENDENCYPART_ARC
(11,1),-0.477317 # DEPENDENCYPART_ARC
(11,3),-1.17872 # DEPENDENCYPART_ARC
(11,4),-2.15084 # DEPENDENCYPART_ARC
(11,6),-1.96667 # DEPENDENCYPART_ARC
(11,7),-0.911673 # DEPENDENCYPART_ARC
(11,8),-0.699225 # DEPENDENCYPART_ARC
(11,9),0.425454 # DEPENDENCYPART_ARC
(11,10),0.637585 # DEPENDENCYPART_ARC
(11,12),3.45782 # DEPENDENCYPART_ARC
(11,13),0.260276 # DEPENDENCYPART_ARC
(11,14),-0.335389 # DEPENDENCYPART_ARC
(11,15),-1.89768 # DEPENDENCYPART_ARC
(11,16),-1.30927 # DEPENDENCYPART_ARC
(11,18),-1.5502 # DEPENDENCYPART_ARC
(11,20),-3.6352 # DEPENDENCYPART_ARC
(11,21),-1.03795 # DEPENDENCYPART_ARC
(12,1),-1.81287 # DEPENDENCYPART_ARC
(12,2),-3.23637 # DEPENDENCYPART_ARC
(12,3),-1.64655 # DEPENDENCYPART_ARC
(12,4),-2.84282 # DEPENDENCYPART_ARC
(12,5),-2.31178 # DEPENDENCYPART_ARC
(12,6),-2.77638 # DEPENDENCYPART_ARC
(12,7),-1.26954 # DEPENDENCYPART_ARC
(12,8),-1.27543 # DEPENDENCYPART_ARC
(12,9),-0.889554 # DEPENDENCYPART_ARC
(12,10),-0.49728 # DEPENDENCYPART_ARC
(12,11),0.168214 # DEPENDENCYPART_ARC
(12,13),-0.121954 # DEPENDENCYPART_ARC
(12,14),-2.05502 # DEPENDENCYPART_ARC
(12,15),0.651404 # DEPENDENCYPART_ARC
(12,16),-1.06553 # DEPENDENCYPART_ARC
(12,17),-1.90647 # DEPENDENCYPART_ARC
(12,18),-2.65437 # DEPENDENCYPART_ARC
(12,19),-2.13478 # DEPENDENCYPART_ARC
(12,20),-1.51329 # DEPENDENCYPART_ARC
(12,21),-1.12385 # DEPENDENCYPART_ARC
(13,1),-0.942778 # DEPENDENCYPART_ARC
(13,3),-0.760649 # DEPENDENCYPART_ARC
(13,4),-0.711329 # DEPENDENCYPART_ARC
(13,5),-0.0876837 # DEPENDENCYPART_ARC
(13,6),-0.477457 # DEPENDENCYPART_ARC
(13,7),-0.59127 # DEPENDENCYPART_ARC
(13,8),-0.773596 # DEPENDENCYPART_ARC
(13,9),-0.335591 # DEPENDENCYPART_ARC
(13,10),-0.324648 # DEPENDENCYPART_ARC
(13,11),-0.231058 # DEPENDENCYPART_ARC
(13,12),0.171057 # DEPENDENCYPART_ARC
(13,14),-0.279622 # DEPENDENCYPART_ARC
(13,15),-0.011394 # DEPENDENCYPART_ARC
(13,16),-0.316545 # DEPENDENCYPART_ARC
(13,18),-0.48888 # DEPENDENCYPART_ARC
(13,20),-0.833401 # DEPENDENCYPART_ARC
(13,21),-0.210144 # DEPENDENCYPART_ARC
(14,1),-1.28069 # DEPENDENCYPART_ARC
(14,2),-1.09773 # DEPENDENCYPART_ARC
(14,9),-0.986374 # DEPENDENCYPART_ARC
(14,13),0.0786399 # DEPENDENCYPART_ARC
(14,15),-0.319114 # DEPENDENCYPART_ARC
(14,17),-2.25785 # DEPENDENCYPART_ARC
(14,19),-1.87851 # DEPENDENCYPART_ARC
(14,21),-1.13933 # DEPENDENCYPART_ARC
(15,1),-0.200888 # DEPENDENCYPART_ARC
(15,2),-1.16945 # DEPENDENCYPART_ARC
(15,3),-0.906433 # DEPENDENCYPART_ARC
(15,4),-1.17291 # DEPENDENCYPART_ARC
(15,5),-1.04519 # DEPENDENCYPART_ARC
(15,6),-1.15395 # DEPENDENCYPART_ARC
(15,7),-0.986585 # DEPENDENCYPART_ARC
(15,8),-1.12839 # DEPENDENCYPART_ARC
(15,9),0.42682 # DEPENDENCYPART_ARC
(15,10),0.174644 # DEPENDENCYPART_ARC
(15,11),-0.462532 # DEPENDENCYPART_ARC
(15,12),-1.75126 # DEPENDENCYPART_ARC
(15,13),1.4253 # DEPENDENCYPART_ARC
(15,14),3.80341 # DEPENDENCYPART_ARC
(15,16),2.08835 # DEPENDENCYPART_ARC
(15,17),-1.15527 # DEPENDENCYPART_ARC
(15,18),0.969881 # DEPENDENCYPART_ARC
(15,19),-2.85231 # DEPENDENCYPART_ARC
(15,20),-1.62212 # DEPENDENCYPART_ARC
(15,21),0.605509 # DEPENDENCYPART_ARC
(16,1),-1.07851 # DEPENDENCYPART_ARC
(16,2),-1.47959 # DEPENDENCYPART_ARC
(16,3),-1.78245 # DEPENDENCYPART_ARC
(16,4),-2.06422 # DEPENDENCYPART_ARC
(16,6),-1.91835 # DEPENDENCYPART_ARC
(16,7),-1.5603 # DEPENDENCYPART_ARC
(16,8),-1.60457 # DEPENDENCYPART_ARC
(16,9),-0.704773 # DEPENDENCYPART_ARC
(16,10),-1.09093 # DEPENDENCYPART_ARC
(16,12),-1.5444 # DEPENDENCYPART_ARC
(16,13),-0.405586 # DEPENDENCYPART_ARC
(16,14),-0.680912 # DEPENDENCYPART_ARC
(16,15),-0.287689 # DEPENDENCYPART_ARC
(16,17),0.123206 # DEPENDENCYPART_ARC
(16,18),2.64818 # DEPENDENCYPART_ARC
(16,19),-0.788449 # DEPENDENCYPART_ARC
(16,20),0.697636 # DEPENDENCYPART_ARC
(16,21),-0.310872 # DEPENDENCYPART_ARC
(17,4),-3.12374 # DEPENDENCYPART_ARC
(17,6),-3.00908 # DEPENDENCYPART_ARC
(17,10),-2.04464 # DEPENDENCYPART_ARC
(17,12),-2.43584 # DEPENDENCYPART_ARC
(17,18),0.0480078 # DEPENDENCYPART_ARC
(17,20),-0.511228 # DEPENDENCYPART_ARC
(18,1),-1.83202 # DEPENDENCYPART_ARC
(18,2),-4.2851 # DEPENDENCYPART_ARC
(18,3),-1.84845 # DEPENDENCYPART_ARC
(18,4),-3.33326 # DEPENDENCYPART_ARC
(18,5),-2.19861 # DEPENDENCYPART_ARC
(18,6),-3.31326 # DEPENDENCYPART_ARC
(18,7),-1.72472 # DEPENDENCYPART_ARC
(18,8),-1.74571 # DEPENDENCYPART_ARC
(18,9),-1.29746 # DEPENDENCYPART_ARC
(18,10),-1.55988 # DEPENDENCYPART_ARC
(18,11),-1.19505 # DEPENDENCYPART_ARC
(18,12),-1.76874 # DEPENDENCYPART_ARC
(18,13),-1.23711 # DEPENDENCYPART_ARC
(18,14),-1.58185 # DEPENDENCYPART_ARC
(18,15),-3.40731 # DEPENDENCYPART_ARC
(18,16),0.0447536 # DEPENDENCYPART_ARC
(18,17),3.19829 # DEPENDENCYPART_ARC
(18,19),0.335889 # DEPENDENCYPART_ARC
(18,20),2.80133 # DEPENDENCYPART_ARC
(18,21),0.383126 # DEPENDENCYPART_ARC
(19,4),-2.12115 # DEPENDENCYPART_ARC
(19,6),-2.8811 # DEPENDENCYPART_ARC
(19,10),-1.49885 # DEPENDENCYPART_ARC
(19,12),-2.53776 # DEPENDENCYPART_ARC
(19,18),-1.22531 # DEPENDENCYPART_ARC
(19,20),0.294376 # DEPENDENCYPART_ARC
(20,1),-1.63145 # DEPENDENCYPART_ARC
(20,2),-4.41078 # DEPENDENCYPART_ARC
(20,3),-1.58346 # DEPENDENCYPART_ARC
(20,4),-3.17568 # DEPENDENCYPART_ARC
(20,5),-2.45056 # DEPENDENCYPART_ARC
(20,6),-4.66707 # DEPENDENCYPART_ARC
(20,7),-1.57734 # DEPENDENCYPART_ARC
(20,8),-1.60969 # DEPENDENCYPART_ARC
(20,9),-1.22805 # DEPENDENCYPART_ARC
(20,10),-1.49023 # DEPENDENCYPART_ARC
(20,11),-2.15647 # DEPENDENCYPART_ARC
(20,12),-3.73857 # DEPENDENCYPART_ARC
(20,13),-1.35225 # DEPENDENCYPART_ARC
(20,14),-2.52196 # DEPENDENCYPART_ARC
(20,15),-2.12209 # DEPENDENCYPART_ARC
(20,16),-0.660214 # DEPENDENCYPART_ARC
(20,17),-0.643532 # DEPENDENCYPART_ARC
(20,18),-1.50755 # DEPENDENCYPART_ARC
(20,19),3.14758 # DEPENDENCYPART_ARC
(20,21),0.0583993 # DEPENDENCYPART_ARC
(21,1),-2.35057 # DEPENDENCYPART_ARC
(21,3),-2.5202 # DEPENDENCYPART_ARC
(21,4),-3.00866 # DEPENDENCYPART_ARC
(21,5),-2.71085 # DEPENDENCYPART_ARC
(21,6),-2.76708 # DEPENDENCYPART_ARC
(21,7),-2.4385 # DEPENDENCYPART_ARC
(21,8),-2.57498 # DEPENDENCYPART_ARC
(21,9),-2.46924 # DEPENDENCYPART_ARC
(21,10),-2.15737 # DEPENDENCYPART_ARC
(21,11),-2.75637 # DEPENDENCYPART_ARC
(21,12),-2.48405 # DEPENDENCYPART_ARC
(21,13),-2.27195 # DEPENDENCYPART_ARC
(21,14),-2.24806 # DEPENDENCYPART_ARC
(21,15),-2.28826 # DEPENDENCYPART_ARC
(21,16),-2.11767 # DEPENDENCYPART_ARC
(21,18),-1.91782 # DEPENDENCYPART_ARC
(21,20),-1.89244 # DEPENDENCYPART_ARC
