# _root_ Το παράδειγμα που ανέφερε μόλις ο κ. Bolkestein αποτελεί βέβαια ένα κατάφωρο , ίσως μάλιστα και εξαιρετικό , παράδειγμα των καταχρήσεων που γίνονται στον τομέα των μεταφορών .
#goldHeads=2,9,4,2,4,8,8,4,0,9,19,16,17,17,17,19,16,17,9,21,19,23,21,23,24,27,25,0,
#predictedHeads=2,9,4,2,4,8,8,4,0,9,12,16,14,15,16,19,16,19,9,21,19,23,21,23,24,27,25,0,
(2,19),-2.05511 # DEPENDENCYPART_ARC
(2,20),-1.45641 # DEPENDENCYPART_ARC
(2,21),-1.5037 # DEPENDENCYPART_ARC
(2,22),-2.53393 # DEPENDENCYPART_ARC
(2,23),-1.0637 # DEPENDENCYPART_ARC
(2,24),-1.69724 # DEPENDENCYPART_ARC
(2,25),-3.36251 # DEPENDENCYPART_ARC
(2,26),-1.84056 # DEPENDENCYPART_ARC
(2,27),-2.41559 # DEPENDENCYPART_ARC
(2,28),-0.215357 # DEPENDENCYPART_ARC
(3,1),0.551028 # DEPENDENCYPART_ARC
(3,4),-1.09257 # DEPENDENCYPART_ARC
(3,6),-2.37081 # DEPENDENCYPART_ARC
(3,9),-3.04031 # DEPENDENCYPART_ARC
(3,12),-3.14121 # DEPENDENCYPART_ARC
(3,13),-1.82862 # DEPENDENCYPART_ARC
(3,15),-2.26864 # DEPENDENCYPART_ARC
(3,17),-2.38142 # DEPENDENCYPART_ARC
(3,18),-1.98802 # DEPENDENCYPART_ARC
(3,20),-3.19748 # DEPENDENCYPART_ARC
(3,23),-4.04841 # DEPENDENCYPART_ARC
(3,26),-3.49846 # DEPENDENCYPART_ARC
(3,28),-2.5504 # DEPENDENCYPART_ARC
(4,1),-1.32113 # DEPENDENCYPART_ARC
(4,2),1.52791 # DEPENDENCYPART_ARC
(4,3),3.56429 # DEPENDENCYPART_ARC
(4,5),1.74414 # DEPENDENCYPART_ARC
(4,6),-1.60129 # DEPENDENCYPART_ARC
(4,7),0.478913 # DEPENDENCYPART_ARC
(4,8),0.321691 # DEPENDENCYPART_ARC
(4,9),-0.511151 # DEPENDENCYPART_ARC
(4,10),0.275735 # DEPENDENCYPART_ARC
(4,11),-2.36073 # DEPENDENCYPART_ARC
(4,12),-1.17117 # DEPENDENCYPART_ARC
(4,13),0.308441 # DEPENDENCYPART_ARC
(4,14),-0.152937 # DEPENDENCYPART_ARC
(4,15),-1.03028 # DEPENDENCYPART_ARC
(4,16),-0.433705 # DEPENDENCYPART_ARC
(4,17),-1.26703 # DEPENDENCYPART_ARC
(4,18),-0.0539911 # DEPENDENCYPART_ARC
(4,19),-0.510046 # DEPENDENCYPART_ARC
(4,20),-3.32679 # DEPENDENCYPART_ARC
(4,21),-3.22463 # DEPENDENCYPART_ARC
(4,22),-3.93663 # DEPENDENCYPART_ARC
(4,23),-4.11359 # DEPENDENCYPART_ARC
(4,24),-0.903879 # DEPENDENCYPART_ARC
(4,25),-2.44648 # DEPENDENCYPART_ARC
(4,26),-3.49909 # DEPENDENCYPART_ARC
(4,27),-4.6572 # DEPENDENCYPART_ARC
(4,28),-0.121302 # DEPENDENCYPART_ARC
(5,1),-0.569197 # DEPENDENCYPART_ARC
(5,2),-0.68017 # DEPENDENCYPART_ARC
(5,3),-0.651589 # DEPENDENCYPART_ARC
(5,4),-0.186412 # DEPENDENCYPART_ARC
(5,6),0.0688547 # DEPENDENCYPART_ARC
(5,7),0.132319 # DEPENDENCYPART_ARC
(5,8),-0.341767 # DEPENDENCYPART_ARC
(5,9),-0.367748 # DEPENDENCYPART_ARC
(5,10),-1.20402 # DEPENDENCYPART_ARC
(5,12),-2.12509 # DEPENDENCYPART_ARC
(5,13),-0.757066 # DEPENDENCYPART_ARC
(5,14),-1.35761 # DEPENDENCYPART_ARC
(5,15),-1.38067 # DEPENDENCYPART_ARC
(5,16),-1.36591 # DEPENDENCYPART_ARC
(5,17),-1.72709 # DEPENDENCYPART_ARC
(5,18),-0.984844 # DEPENDENCYPART_ARC
(5,19),-1.62158 # DEPENDENCYPART_ARC
(5,20),-1.75883 # DEPENDENCYPART_ARC
(5,21),-2.0229 # DEPENDENCYPART_ARC
(5,22),-2.21818 # DEPENDENCYPART_ARC
(5,23),-1.36328 # DEPENDENCYPART_ARC
(5,24),-1.81307 # DEPENDENCYPART_ARC
(5,25),-2.76162 # DEPENDENCYPART_ARC
(5,26),-2.04181 # DEPENDENCYPART_ARC
(5,27),-2.5019 # DEPENDENCYPART_ARC
(5,28),-1.75484 # DEPENDENCYPART_ARC
(6,2),-0.940286 # DEPENDENCYPART_ARC
(6,5),0.231956 # DEPENDENCYPART_ARC
(6,10),-0.797246 # DEPENDENCYPART_ARC
(6,14),-0.95618 # DEPENDENCYPART_ARC
(6,16),-0.631944 # DEPENDENCYPART_ARC
(6,19),-2.00205 # DEPENDENCYPART_ARC
(6,21),-2.1938 # DEPENDENCYPART_ARC
(6,25),-2.33182 # DEPENDENCYPART_ARC
(6,27),-2.42762 # DEPENDENCYPART_ARC
(7,1),-1.15789 # DEPENDENCYPART_ARC
(7,2),-1.57681 # DEPENDENCYPART_ARC
(7,4),-1.09785 # DEPENDENCYPART_ARC
(7,6),0.873802 # DEPENDENCYPART_ARC
(7,9),-0.0508572 # DEPENDENCYPART_ARC
(7,12),-0.564375 # DEPENDENCYPART_ARC
(7,13),-0.374784 # DEPENDENCYPART_ARC
(7,15),-0.967857 # DEPENDENCYPART_ARC
(7,16),-0.600482 # DEPENDENCYPART_ARC
(7,17),-0.902755 # DEPENDENCYPART_ARC
(7,18),-0.568967 # DEPENDENCYPART_ARC
(7,19),-1.04205 # DEPENDENCYPART_ARC
(7,20),-1.48124 # DEPENDENCYPART_ARC
(7,21),-1.06631 # DEPENDENCYPART_ARC
(7,23),-1.47586 # DEPENDENCYPART_ARC
(7,25),-1.12653 # DEPENDENCYPART_ARC
(7,26),-1.62997 # DEPENDENCYPART_ARC
(7,27),-1.2735 # DEPENDENCYPART_ARC
(7,28),-0.778987 # DEPENDENCYPART_ARC
(8,1),0.375416 # DEPENDENCYPART_ARC
(8,2),-0.406103 # DEPENDENCYPART_ARC
(8,4),-0.0878538 # DEPENDENCYPART_ARC
(8,5),0.623847 # DEPENDENCYPART_ARC
(8,6),2.3418 # DEPENDENCYPART_ARC
(8,7),2.36935 # DEPENDENCYPART_ARC
(8,9),-0.244572 # DEPENDENCYPART_ARC
(8,10),-0.726787 # DEPENDENCYPART_ARC
(8,11),-1.50766 # DEPENDENCYPART_ARC
(8,12),-1.25151 # DEPENDENCYPART_ARC
(8,13),-1.09855 # DEPENDENCYPART_ARC
(8,14),-1.25997 # DEPENDENCYPART_ARC
(8,15),-1.63082 # DEPENDENCYPART_ARC
(8,16),-1.18309 # DEPENDENCYPART_ARC
(8,17),-1.70454 # DEPENDENCYPART_ARC
(8,18),-1.0063 # DEPENDENCYPART_ARC
(8,19),-1.74239 # DEPENDENCYPART_ARC
(8,20),-2.05922 # DEPENDENCYPART_ARC
(8,21),-1.75944 # DEPENDENCYPART_ARC
(8,23),-1.88291 # DEPENDENCYPART_ARC
(8,24),-1.75698 # DEPENDENCYPART_ARC
(8,25),-1.85262 # DEPENDENCYPART_ARC
(8,26),-2.16634 # DEPENDENCYPART_ARC
(8,27),-1.89262 # DEPENDENCYPART_ARC
(8,28),-1.22615 # DEPENDENCYPART_ARC
(9,1),-1.02545 # DEPENDENCYPART_ARC
(9,2),1.62037 # DEPENDENCYPART_ARC
(9,3),0.607294 # DEPENDENCYPART_ARC
(9,4),-1.58717 # DEPENDENCYPART_ARC
(9,5),0.347832 # DEPENDENCYPART_ARC
(9,6),-0.992694 # DEPENDENCYPART_ARC
(9,7),0.260466 # DEPENDENCYPART_ARC
(9,8),0.311159 # DEPENDENCYPART_ARC
(9,10),1.67976 # DEPENDENCYPART_ARC
(9,11),-0.976136 # DEPENDENCYPART_ARC
(9,12),-0.556825 # DEPENDENCYPART_ARC
(9,13),0.498236 # DEPENDENCYPART_ARC
(9,14),0.324905 # DEPENDENCYPART_ARC
(9,15),-0.533801 # DEPENDENCYPART_ARC
(9,16),0.0330773 # DEPENDENCYPART_ARC
(9,17),-0.934041 # DEPENDENCYPART_ARC
(9,18),0.0844215 # DEPENDENCYPART_ARC
(9,19),0.396667 # DEPENDENCYPART_ARC
(9,20),-2.71265 # DEPENDENCYPART_ARC
(9,21),-1.72057 # DEPENDENCYPART_ARC
(9,22),-3.51218 # DEPENDENCYPART_ARC
(9,23),-2.5989 # DEPENDENCYPART_ARC
(9,24),-1.66536 # DEPENDENCYPART_ARC
(9,25),-1.55203 # DEPENDENCYPART_ARC
(9,26),-3.23221 # DEPENDENCYPART_ARC
(9,27),-3.48273 # DEPENDENCYPART_ARC
(9,28),-0.258608 # DEPENDENCYPART_ARC
(10,1),-0.794014 # DEPENDENCYPART_ARC
(10,2),-1.05116 # DEPENDENCYPART_ARC
(10,3),-1.24421 # DEPENDENCYPART_ARC
(10,4),-1.27952 # DEPENDENCYPART_ARC
(10,5),-0.402217 # DEPENDENCYPART_ARC
(10,6),-0.650279 # DEPENDENCYPART_ARC
(10,7),-0.386273 # DEPENDENCYPART_ARC
(10,8),-0.251179 # DEPENDENCYPART_ARC
(10,9),0.118298 # DEPENDENCYPART_ARC
(10,12),-0.524226 # DEPENDENCYPART_ARC
(10,13),-0.115865 # DEPENDENCYPART_ARC
(10,14),-0.627567 # DEPENDENCYPART_ARC
(10,15),-0.557348 # DEPENDENCYPART_ARC
(10,16),-0.465946 # DEPENDENCYPART_ARC
(10,17),-1.10115 # DEPENDENCYPART_ARC
(10,18),-0.472376 # DEPENDENCYPART_ARC
(10,19),-0.981547 # DEPENDENCYPART_ARC
(10,20),-1.17341 # DEPENDENCYPART_ARC
(10,21),-1.23231 # DEPENDENCYPART_ARC
(10,22),-1.66248 # DEPENDENCYPART_ARC
(10,23),-0.975095 # DEPENDENCYPART_ARC
(10,24),-1.57785 # DEPENDENCYPART_ARC
(10,25),-2.40024 # DEPENDENCYPART_ARC
(10,26),-1.97708 # DEPENDENCYPART_ARC
(10,27),-2.15737 # DEPENDENCYPART_ARC
(10,28),-1.32376 # DEPENDENCYPART_ARC
(11,5),-0.770445 # DEPENDENCYPART_ARC
(11,10),0.549185 # DEPENDENCYPART_ARC
(11,14),0.3348 # DEPENDENCYPART_ARC
(12,1),-0.942845 # DEPENDENCYPART_ARC
(12,2),-1.32261 # DEPENDENCYPART_ARC
(12,3),-1.24602 # DEPENDENCYPART_ARC
(12,4),-4.15449 # DEPENDENCYPART_ARC
(12,5),-0.911518 # DEPENDENCYPART_ARC
(12,6),-0.237244 # DEPENDENCYPART_ARC
(12,7),-0.98123 # DEPENDENCYPART_ARC
(12,8),-0.935175 # DEPENDENCYPART_ARC
(12,9),-3.49635 # DEPENDENCYPART_ARC
(12,10),0.352957 # DEPENDENCYPART_ARC
(12,11),1.86464 # DEPENDENCYPART_ARC
(12,13),0.425515 # DEPENDENCYPART_ARC
(12,14),0.321511 # DEPENDENCYPART_ARC
(12,15),0.12273 # DEPENDENCYPART_ARC
(12,16),-0.0146986 # DEPENDENCYPART_ARC
(12,17),-0.376301 # DEPENDENCYPART_ARC
(12,18),-0.134134 # DEPENDENCYPART_ARC
(12,19),-1.94263 # DEPENDENCYPART_ARC
(12,20),-0.450209 # DEPENDENCYPART_ARC
(12,21),-0.383049 # DEPENDENCYPART_ARC
(12,22),-2.47558 # DEPENDENCYPART_ARC
(12,23),-1.71425 # DEPENDENCYPART_ARC
(12,24),-0.741727 # DEPENDENCYPART_ARC
(12,25),-2.35364 # DEPENDENCYPART_ARC
(12,26),-1.01905 # DEPENDENCYPART_ARC
(12,27),-1.2704 # DEPENDENCYPART_ARC
(12,28),-0.982914 # DEPENDENCYPART_ARC
(13,2),-1.67218 # DEPENDENCYPART_ARC
(13,3),-0.786714 # DEPENDENCYPART_ARC
(13,4),-0.0499282 # DEPENDENCYPART_ARC
(13,5),-0.229615 # DEPENDENCYPART_ARC
(13,7),-0.51923 # DEPENDENCYPART_ARC
(13,8),-0.580915 # DEPENDENCYPART_ARC
(13,9),-0.0759532 # DEPENDENCYPART_ARC
(13,10),0.164673 # DEPENDENCYPART_ARC
(13,11),0.353124 # DEPENDENCYPART_ARC
(13,12),0.501077 # DEPENDENCYPART_ARC
(13,14),0.24658 # DEPENDENCYPART_ARC
(13,15),0.330838 # DEPENDENCYPART_ARC
(13,16),0.350936 # DEPENDENCYPART_ARC
(13,17),0.154541 # DEPENDENCYPART_ARC
(13,18),0.411716 # DEPENDENCYPART_ARC
(13,19),-0.392377 # DEPENDENCYPART_ARC
(13,21),-0.552376 # DEPENDENCYPART_ARC
(13,22),-1.41077 # DEPENDENCYPART_ARC
(13,23),-0.181361 # DEPENDENCYPART_ARC
(13,24),-0.940792 # DEPENDENCYPART_ARC
(13,25),-1.24675 # DEPENDENCYPART_ARC
(13,27),-1.2063 # DEPENDENCYPART_ARC
(13,28),-0.224755 # DEPENDENCYPART_ARC
(14,1),-0.950143 # DEPENDENCYPART_ARC
(14,2),-0.975728 # DEPENDENCYPART_ARC
(14,3),-1.07371 # DEPENDENCYPART_ARC
(14,4),-1.13758 # DEPENDENCYPART_ARC
(14,5),-0.277473 # DEPENDENCYPART_ARC
(14,6),-0.858799 # DEPENDENCYPART_ARC
(14,7),-0.57913 # DEPENDENCYPART_ARC
(14,8),-0.64917 # DEPENDENCYPART_ARC
(14,9),-0.711137 # DEPENDENCYPART_ARC
(14,10),0.114271 # DEPENDENCYPART_ARC
(14,12),0.225165 # DEPENDENCYPART_ARC
(14,13),1.13463 # DEPENDENCYPART_ARC
(14,15),1.11357 # DEPENDENCYPART_ARC
(14,16),0.525677 # DEPENDENCYPART_ARC
(14,17),-0.00580172 # DEPENDENCYPART_ARC
(14,18),0.428079 # DEPENDENCYPART_ARC
(14,19),0.127782 # DEPENDENCYPART_ARC
(14,20),-0.7217 # DEPENDENCYPART_ARC
(14,21),-0.53061 # DEPENDENCYPART_ARC
(14,22),-1.17119 # DEPENDENCYPART_ARC
(14,23),-0.359381 # DEPENDENCYPART_ARC
(14,24),-0.970845 # DEPENDENCYPART_ARC
(14,25),-1.94566 # DEPENDENCYPART_ARC
(14,26),-1.39012 # DEPENDENCYPART_ARC
(14,27),-1.65576 # DEPENDENCYPART_ARC
(14,28),-0.497017 # DEPENDENCYPART_ARC
(15,1),-2.26754 # DEPENDENCYPART_ARC
(15,2),-1.70019 # DEPENDENCYPART_ARC
(15,3),-3.32729 # DEPENDENCYPART_ARC
(15,4),-4.00516 # DEPENDENCYPART_ARC
(15,5),-1.08274 # DEPENDENCYPART_ARC
(15,6),-1.4697 # DEPENDENCYPART_ARC
(15,7),-1.2645 # DEPENDENCYPART_ARC
(15,8),-1.25564 # DEPENDENCYPART_ARC
(15,9),-3.67595 # DEPENDENCYPART_ARC
(15,10),-0.434075 # DEPENDENCYPART_ARC
(15,11),-1.07667 # DEPENDENCYPART_ARC
(15,12),-1.78678 # DEPENDENCYPART_ARC
(15,13),-0.11847 # DEPENDENCYPART_ARC
(15,14),1.19659 # DEPENDENCYPART_ARC
(15,16),0.541988 # DEPENDENCYPART_ARC
(15,17),-0.267418 # DEPENDENCYPART_ARC
(15,18),0.00154813 # DEPENDENCYPART_ARC
(15,19),-0.834093 # DEPENDENCYPART_ARC
(15,20),-1.0053 # DEPENDENCYPART_ARC
(15,21),-0.785958 # DEPENDENCYPART_ARC
(15,22),-1.82406 # DEPENDENCYPART_ARC
(15,23),-1.65556 # DEPENDENCYPART_ARC
(15,24),-1.48258 # DEPENDENCYPART_ARC
(15,25),-1.75584 # DEPENDENCYPART_ARC
(15,26),-1.73912 # DEPENDENCYPART_ARC
(15,27),-1.77938 # DEPENDENCYPART_ARC
(15,28),-0.89554 # DEPENDENCYPART_ARC
(16,1),-0.786341 # DEPENDENCYPART_ARC
(16,2),-0.903756 # DEPENDENCYPART_ARC
(16,3),0.435474 # DEPENDENCYPART_ARC
(16,4),-0.573848 # DEPENDENCYPART_ARC
(16,5),0.0679495 # DEPENDENCYPART_ARC
(16,6),-0.476605 # DEPENDENCYPART_ARC
(16,7),-0.334999 # DEPENDENCYPART_ARC
(16,8),-0.522788 # DEPENDENCYPART_ARC
(16,9),0.200429 # DEPENDENCYPART_ARC
(16,10),0.283612 # DEPENDENCYPART_ARC
(16,11),0.109576 # DEPENDENCYPART_ARC
(16,12),1.51173 # DEPENDENCYPART_ARC
(16,13),0.821242 # DEPENDENCYPART_ARC
(16,14),0.534389 # DEPENDENCYPART_ARC
(16,15),2.62165 # DEPENDENCYPART_ARC
(16,17),2.68007 # DEPENDENCYPART_ARC
(16,18),0.26193 # DEPENDENCYPART_ARC
(16,19),0.080708 # DEPENDENCYPART_ARC
(16,20),-0.684943 # DEPENDENCYPART_ARC
(16,21),-0.489438 # DEPENDENCYPART_ARC
(16,22),-0.658647 # DEPENDENCYPART_ARC
(16,23),-0.0834756 # DEPENDENCYPART_ARC
(16,24),-0.592541 # DEPENDENCYPART_ARC
(16,25),-2.11983 # DEPENDENCYPART_ARC
(16,26),-1.33155 # DEPENDENCYPART_ARC
(16,27),-2.3057 # DEPENDENCYPART_ARC
(16,28),-0.328914 # DEPENDENCYPART_ARC
(17,1),-1.24224 # DEPENDENCYPART_ARC
(17,2),-1.11484 # DEPENDENCYPART_ARC
(17,3),-2.17984 # DEPENDENCYPART_ARC
(17,4),-4.35589 # DEPENDENCYPART_ARC
(17,5),-0.730561 # DEPENDENCYPART_ARC
(17,6),-0.683553 # DEPENDENCYPART_ARC
(17,7),-0.987784 # DEPENDENCYPART_ARC
(17,8),-0.908781 # DEPENDENCYPART_ARC
(17,9),-4.03117 # DEPENDENCYPART_ARC
(17,10),-0.253743 # DEPENDENCYPART_ARC
(17,11),-0.361911 # DEPENDENCYPART_ARC
(17,12),-1.2188 # DEPENDENCYPART_ARC
(17,13),-0.286699 # DEPENDENCYPART_ARC
(17,14),0.547505 # DEPENDENCYPART_ARC
(17,15),1.01853 # DEPENDENCYPART_ARC
(17,16),0.871862 # DEPENDENCYPART_ARC
(17,18),0.0919783 # DEPENDENCYPART_ARC
(17,19),-0.848332 # DEPENDENCYPART_ARC
(17,20),-0.73388 # DEPENDENCYPART_ARC
(17,21),-0.251725 # DEPENDENCYPART_ARC
(17,22),-2.26596 # DEPENDENCYPART_ARC
(17,23),-2.0375 # DEPENDENCYPART_ARC
(17,24),-1.95016 # DEPENDENCYPART_ARC
(17,25),-2.46927 # DEPENDENCYPART_ARC
(17,26),-1.75397 # DEPENDENCYPART_ARC
(17,27),-1.74789 # DEPENDENCYPART_ARC
(17,28),-1.14277 # DEPENDENCYPART_ARC
(18,2),-1.25042 # DEPENDENCYPART_ARC
(18,3),-0.660987 # DEPENDENCYPART_ARC
(18,4),-0.127665 # DEPENDENCYPART_ARC
(18,5),-0.169722 # DEPENDENCYPART_ARC
(18,7),-0.507463 # DEPENDENCYPART_ARC
(18,8),-0.514438 # DEPENDENCYPART_ARC
(18,9),-0.0310364 # DEPENDENCYPART_ARC
(18,10),0.0387604 # DEPENDENCYPART_ARC
(18,11),-0.00112473 # DEPENDENCYPART_ARC
(18,12),-0.443624 # DEPENDENCYPART_ARC
(18,13),0.314554 # DEPENDENCYPART_ARC
(18,14),-0.0513637 # DEPENDENCYPART_ARC
(18,15),-0.0293397 # DEPENDENCYPART_ARC
(18,16),0.293843 # DEPENDENCYPART_ARC
(18,17),0.66022 # DEPENDENCYPART_ARC
(18,19),0.952045 # DEPENDENCYPART_ARC
(18,21),0.180387 # DEPENDENCYPART_ARC
(18,22),-1.10929 # DEPENDENCYPART_ARC
(18,23),-0.146522 # DEPENDENCYPART_ARC
(18,24),-0.836192 # DEPENDENCYPART_ARC
(18,25),-1.12545 # DEPENDENCYPART_ARC
(18,27),-1.24599 # DEPENDENCYPART_ARC
(18,28),-0.0991759 # DEPENDENCYPART_ARC
(19,1),-0.671445 # DEPENDENCYPART_ARC
(19,2),-1.85599 # DEPENDENCYPART_ARC
(19,3),-2.17523 # DEPENDENCYPART_ARC
(19,4),-3.59869 # DEPENDENCYPART_ARC
(19,5),-1.40442 # DEPENDENCYPART_ARC
(19,6),-0.937199 # DEPENDENCYPART_ARC
(19,7),-1.56633 # DEPENDENCYPART_ARC
(19,8),-1.54302 # DEPENDENCYPART_ARC
(19,9),-3.37898 # DEPENDENCYPART_ARC
(19,10),-0.935953 # DEPENDENCYPART_ARC
(19,11),1.11113 # DEPENDENCYPART_ARC
(19,12),-1.24417 # DEPENDENCYPART_ARC
(19,13),-0.708495 # DEPENDENCYPART_ARC
(19,14),-0.61078 # DEPENDENCYPART_ARC
(19,15),-0.578853 # DEPENDENCYPART_ARC
(19,16),0.607097 # DEPENDENCYPART_ARC
(19,17),1.50881 # DEPENDENCYPART_ARC
(19,18),0.659457 # DEPENDENCYPART_ARC
(19,20),0.0388013 # DEPENDENCYPART_ARC
(19,21),2.09654 # DEPENDENCYPART_ARC
(19,22),-1.22231 # DEPENDENCYPART_ARC
(19,23),0.564855 # DEPENDENCYPART_ARC
(19,24),-0.230058 # DEPENDENCYPART_ARC
(19,25),-1.47942 # DEPENDENCYPART_ARC
(19,26),-1.70729 # DEPENDENCYPART_ARC
(19,27),-0.936525 # DEPENDENCYPART_ARC
(19,28),0.216059 # DEPENDENCYPART_ARC
(20,2),-3.14647 # DEPENDENCYPART_ARC
(20,5),-1.84997 # DEPENDENCYPART_ARC
(20,10),-1.67434 # DEPENDENCYPART_ARC
(20,14),-1.52474 # DEPENDENCYPART_ARC
(20,16),-0.956388 # DEPENDENCYPART_ARC
(20,19),-1.47021 # DEPENDENCYPART_ARC
(20,21),0.0235113 # DEPENDENCYPART_ARC
(20,25),-2.2371 # DEPENDENCYPART_ARC
(20,27),-2.15182 # DEPENDENCYPART_ARC
(21,1),-4.19011 # DEPENDENCYPART_ARC
(21,2),-4.28233 # DEPENDENCYPART_ARC
(21,3),-3.57499 # DEPENDENCYPART_ARC
(21,4),-3.33426 # DEPENDENCYPART_ARC
(21,5),-1.6322 # DEPENDENCYPART_ARC
(21,6),-3.89506 # DEPENDENCYPART_ARC
(21,7),-1.68268 # DEPENDENCYPART_ARC
(21,8),-1.76702 # DEPENDENCYPART_ARC
(21,9),-2.87197 # DEPENDENCYPART_ARC
(21,10),-1.30934 # DEPENDENCYPART_ARC
(21,11),-2.20793 # DEPENDENCYPART_ARC
(21,12),-2.93699 # DEPENDENCYPART_ARC
(21,13),-0.878424 # DEPENDENCYPART_ARC
(21,14),-1.15613 # DEPENDENCYPART_ARC
(21,15),-2.73353 # DEPENDENCYPART_ARC
(21,16),0.0891218 # DEPENDENCYPART_ARC
(21,17),-3.23899 # DEPENDENCYPART_ARC
(21,18),-0.480135 # DEPENDENCYPART_ARC
(21,19),-1.52755 # DEPENDENCYPART_ARC
(21,20),3.72026 # DEPENDENCYPART_ARC
(21,22),0.489906 # DEPENDENCYPART_ARC
(21,23),2.68626 # DEPENDENCYPART_ARC
(21,24),0.769508 # DEPENDENCYPART_ARC
(21,25),-1.24066 # DEPENDENCYPART_ARC
(21,26),-0.459072 # DEPENDENCYPART_ARC
(21,27),-0.015561 # DEPENDENCYPART_ARC
(21,28),0.181716 # DEPENDENCYPART_ARC
(22,1),-2.5264 # DEPENDENCYPART_ARC
(22,4),-3.42642 # DEPENDENCYPART_ARC
(22,6),-2.01032 # DEPENDENCYPART_ARC
(22,9),-3.44518 # DEPENDENCYPART_ARC
(22,12),-3.93021 # DEPENDENCYPART_ARC
(22,13),-0.979575 # DEPENDENCYPART_ARC
(22,15),-0.838695 # DEPENDENCYPART_ARC
(22,17),-1.80756 # DEPENDENCYPART_ARC
(22,18),-0.791516 # DEPENDENCYPART_ARC
(22,20),1.16935 # DEPENDENCYPART_ARC
(22,23),-0.887205 # DEPENDENCYPART_ARC
(22,26),-2.46833 # DEPENDENCYPART_ARC
(22,28),-1.36925 # DEPENDENCYPART_ARC
(23,1),-1.95182 # DEPENDENCYPART_ARC
(23,2),-1.53933 # DEPENDENCYPART_ARC
(23,3),-2.1852 # DEPENDENCYPART_ARC
(23,4),-4.24561 # DEPENDENCYPART_ARC
(23,5),-0.911437 # DEPENDENCYPART_ARC
(23,6),-2.40728 # DEPENDENCYPART_ARC
(23,7),-0.993113 # DEPENDENCYPART_ARC
(23,8),-1.32587 # DEPENDENCYPART_ARC
(23,9),-3.77276 # DEPENDENCYPART_ARC
(23,10),-0.703012 # DEPENDENCYPART_ARC
(23,11),-1.42412 # DEPENDENCYPART_ARC
(23,12),-1.94545 # DEPENDENCYPART_ARC
(23,13),-0.0685164 # DEPENDENCYPART_ARC
(23,14),-0.0965653 # DEPENDENCYPART_ARC
(23,15),-1.18104 # DEPENDENCYPART_ARC
