# _root_ Επισκεφθείτε επίσης το Απολιθωμένο Δάσος , το μεγαλύτερο στην Ευρώπη , που δημιουργήθηκε από μια ηφαιστιακή έκρηξη πριν από περίπου 15 με 20 εκατομμύρια χρόνια .
#goldHeads=0,1,5,5,1,1,8,5,8,9,13,13,5,13,17,17,14,13,18,22,22,25,22,25,19,0,
#predictedHeads=0,1,5,5,6,1,8,5,8,9,13,13,10,13,17,17,14,17,18,19,19,18,24,25,22,0,
(4,15),-4.10265 # DEPENDENCYPART_ARC
(4,16),-3.68649 # DEPENDENCYPART_ARC
(4,17),-5.7319 # DEPENDENCYPART_ARC
(4,18),-1.24542 # DEPENDENCYPART_ARC
(4,19),-2.23675 # DEPENDENCYPART_ARC
(4,20),-2.14447 # DEPENDENCYPART_ARC
(4,21),-1.76733 # DEPENDENCYPART_ARC
(4,22),-1.7163 # DEPENDENCYPART_ARC
(4,23),-1.93456 # DEPENDENCYPART_ARC
(4,24),-5.05436 # DEPENDENCYPART_ARC
(4,25),-7.18367 # DEPENDENCYPART_ARC
(4,26),-1.86215 # DEPENDENCYPART_ARC
(5,1),-1.91616 # DEPENDENCYPART_ARC
(5,2),-0.34127 # DEPENDENCYPART_ARC
(5,3),2.18095 # DEPENDENCYPART_ARC
(5,4),4.00996 # DEPENDENCYPART_ARC
(5,6),-0.06522 # DEPENDENCYPART_ARC
(5,7),-0.706859 # DEPENDENCYPART_ARC
(5,8),0.120217 # DEPENDENCYPART_ARC
(5,9),-0.627621 # DEPENDENCYPART_ARC
(5,10),-0.834054 # DEPENDENCYPART_ARC
(5,11),-0.654491 # DEPENDENCYPART_ARC
(5,12),-3.48532 # DEPENDENCYPART_ARC
(5,13),0.550653 # DEPENDENCYPART_ARC
(5,14),-1.6405 # DEPENDENCYPART_ARC
(5,15),-2.03769 # DEPENDENCYPART_ARC
(5,16),-1.95883 # DEPENDENCYPART_ARC
(5,17),-2.63635 # DEPENDENCYPART_ARC
(5,18),-1.56687 # DEPENDENCYPART_ARC
(5,19),-1.88962 # DEPENDENCYPART_ARC
(5,20),-1.78448 # DEPENDENCYPART_ARC
(5,21),-1.71988 # DEPENDENCYPART_ARC
(5,22),-1.74445 # DEPENDENCYPART_ARC
(5,23),-1.57977 # DEPENDENCYPART_ARC
(5,24),-2.06853 # DEPENDENCYPART_ARC
(5,25),-3.75358 # DEPENDENCYPART_ARC
(5,26),-1.13854 # DEPENDENCYPART_ARC
(6,1),-0.240253 # DEPENDENCYPART_ARC
(6,2),-0.115063 # DEPENDENCYPART_ARC
(6,4),0.0399163 # DEPENDENCYPART_ARC
(6,5),0.737678 # DEPENDENCYPART_ARC
(6,8),0.0254764 # DEPENDENCYPART_ARC
(6,9),0.567503 # DEPENDENCYPART_ARC
(6,10),0.418041 # DEPENDENCYPART_ARC
(6,11),0.312616 # DEPENDENCYPART_ARC
(6,12),-1.33355 # DEPENDENCYPART_ARC
(6,13),-0.310549 # DEPENDENCYPART_ARC
(6,14),-0.377848 # DEPENDENCYPART_ARC
(6,15),-0.939557 # DEPENDENCYPART_ARC
(6,16),-0.837229 # DEPENDENCYPART_ARC
(6,17),-0.970797 # DEPENDENCYPART_ARC
(6,18),-0.551094 # DEPENDENCYPART_ARC
(6,19),-0.341614 # DEPENDENCYPART_ARC
(6,20),-0.485508 # DEPENDENCYPART_ARC
(6,21),-0.545364 # DEPENDENCYPART_ARC
(6,22),-0.513921 # DEPENDENCYPART_ARC
(6,23),-0.671272 # DEPENDENCYPART_ARC
(6,24),-0.870273 # DEPENDENCYPART_ARC
(6,25),-0.773268 # DEPENDENCYPART_ARC
(6,26),-0.458434 # DEPENDENCYPART_ARC
(7,2),-1.48325 # DEPENDENCYPART_ARC
(7,5),-1.05761 # DEPENDENCYPART_ARC
(7,17),-1.96713 # DEPENDENCYPART_ARC
(7,18),-1.10078 # DEPENDENCYPART_ARC
(7,20),-1.10498 # DEPENDENCYPART_ARC
(7,25),-1.99022 # DEPENDENCYPART_ARC
(8,1),-2.95824 # DEPENDENCYPART_ARC
(8,2),-0.257957 # DEPENDENCYPART_ARC
(8,3),-0.914857 # DEPENDENCYPART_ARC
(8,4),-1.61734 # DEPENDENCYPART_ARC
(8,5),-0.675698 # DEPENDENCYPART_ARC
(8,6),0.201112 # DEPENDENCYPART_ARC
(8,7),1.79834 # DEPENDENCYPART_ARC
(8,9),1.55409 # DEPENDENCYPART_ARC
(8,10),0.56465 # DEPENDENCYPART_ARC
(8,11),0.299933 # DEPENDENCYPART_ARC
(8,12),-0.982839 # DEPENDENCYPART_ARC
(8,13),-1.90515 # DEPENDENCYPART_ARC
(8,14),-0.169103 # DEPENDENCYPART_ARC
(8,15),-2.07831 # DEPENDENCYPART_ARC
(8,16),-0.783476 # DEPENDENCYPART_ARC
(8,17),-2.05442 # DEPENDENCYPART_ARC
(8,18),-0.704405 # DEPENDENCYPART_ARC
(8,19),-0.516454 # DEPENDENCYPART_ARC
(8,20),-0.733641 # DEPENDENCYPART_ARC
(8,21),-0.897093 # DEPENDENCYPART_ARC
(8,22),-0.839058 # DEPENDENCYPART_ARC
(8,23),-0.845126 # DEPENDENCYPART_ARC
(8,24),-1.73512 # DEPENDENCYPART_ARC
(8,25),-1.87947 # DEPENDENCYPART_ARC
(8,26),-0.491026 # DEPENDENCYPART_ARC
(9,1),-2.69263 # DEPENDENCYPART_ARC
(9,2),-0.949865 # DEPENDENCYPART_ARC
(9,4),-1.55496 # DEPENDENCYPART_ARC
(9,5),-1.97504 # DEPENDENCYPART_ARC
(9,6),-0.321815 # DEPENDENCYPART_ARC
(9,8),-0.610727 # DEPENDENCYPART_ARC
(9,10),3.51526 # DEPENDENCYPART_ARC
(9,11),0.290219 # DEPENDENCYPART_ARC
(9,12),-0.0486883 # DEPENDENCYPART_ARC
(9,13),-1.78143 # DEPENDENCYPART_ARC
(9,14),-1.30702 # DEPENDENCYPART_ARC
(9,15),-1.46267 # DEPENDENCYPART_ARC
(9,16),-1.8175 # DEPENDENCYPART_ARC
(9,17),-2.24934 # DEPENDENCYPART_ARC
(9,18),-1.55034 # DEPENDENCYPART_ARC
(9,19),-1.54577 # DEPENDENCYPART_ARC
(9,20),-1.57958 # DEPENDENCYPART_ARC
(9,21),-1.5937 # DEPENDENCYPART_ARC
(9,22),-1.80939 # DEPENDENCYPART_ARC
(9,23),-1.6725 # DEPENDENCYPART_ARC
(9,24),-2.04746 # DEPENDENCYPART_ARC
(9,25),-3.4972 # DEPENDENCYPART_ARC
(9,26),-1.33162 # DEPENDENCYPART_ARC
(10,1),-4.29715 # DEPENDENCYPART_ARC
(10,2),-2.48872 # DEPENDENCYPART_ARC
(10,3),-2.64839 # DEPENDENCYPART_ARC
(10,4),-0.114727 # DEPENDENCYPART_ARC
(10,5),-2.12852 # DEPENDENCYPART_ARC
(10,6),-1.66739 # DEPENDENCYPART_ARC
(10,7),-0.700826 # DEPENDENCYPART_ARC
(10,8),-1.19398 # DEPENDENCYPART_ARC
(10,9),-0.157392 # DEPENDENCYPART_ARC
(10,11),-0.531301 # DEPENDENCYPART_ARC
(10,12),-1.93496 # DEPENDENCYPART_ARC
(10,13),0.755692 # DEPENDENCYPART_ARC
(10,14),-1.78574 # DEPENDENCYPART_ARC
(10,15),-2.461 # DEPENDENCYPART_ARC
(10,16),-2.20401 # DEPENDENCYPART_ARC
(10,17),-3.07838 # DEPENDENCYPART_ARC
(10,18),-1.59218 # DEPENDENCYPART_ARC
(10,19),-2.34387 # DEPENDENCYPART_ARC
(10,20),-1.92304 # DEPENDENCYPART_ARC
(10,21),-2.0864 # DEPENDENCYPART_ARC
(10,22),-2.18496 # DEPENDENCYPART_ARC
(10,23),-2.18713 # DEPENDENCYPART_ARC
(10,24),-3.01838 # DEPENDENCYPART_ARC
(10,25),-3.45805 # DEPENDENCYPART_ARC
(10,26),-1.67736 # DEPENDENCYPART_ARC
(11,1),-0.588717 # DEPENDENCYPART_ARC
(11,2),-0.525035 # DEPENDENCYPART_ARC
(11,4),-0.522618 # DEPENDENCYPART_ARC
(11,5),-0.147085 # DEPENDENCYPART_ARC
(11,6),-0.28469 # DEPENDENCYPART_ARC
(11,8),-0.173232 # DEPENDENCYPART_ARC
(11,9),0.0229834 # DEPENDENCYPART_ARC
(11,10),0.318783 # DEPENDENCYPART_ARC
(11,12),-0.166967 # DEPENDENCYPART_ARC
(11,13),0.0538975 # DEPENDENCYPART_ARC
(11,14),-0.157406 # DEPENDENCYPART_ARC
(11,15),-0.593204 # DEPENDENCYPART_ARC
(11,16),-0.614172 # DEPENDENCYPART_ARC
(11,17),-0.691548 # DEPENDENCYPART_ARC
(11,18),-0.424365 # DEPENDENCYPART_ARC
(11,19),-0.298335 # DEPENDENCYPART_ARC
(11,20),-0.418239 # DEPENDENCYPART_ARC
(11,21),-0.329846 # DEPENDENCYPART_ARC
(11,22),-0.51271 # DEPENDENCYPART_ARC
(11,23),-0.499034 # DEPENDENCYPART_ARC
(11,24),-0.858796 # DEPENDENCYPART_ARC
(11,25),-0.614013 # DEPENDENCYPART_ARC
(11,26),-0.117804 # DEPENDENCYPART_ARC
(12,1),-3.78872 # DEPENDENCYPART_ARC
(12,3),-1.94779 # DEPENDENCYPART_ARC
(12,4),-3.06583 # DEPENDENCYPART_ARC
(12,6),-0.989796 # DEPENDENCYPART_ARC
(12,7),-1.01561 # DEPENDENCYPART_ARC
(12,8),-2.37905 # DEPENDENCYPART_ARC
(12,11),0.104534 # DEPENDENCYPART_ARC
(12,13),-0.345802 # DEPENDENCYPART_ARC
(12,16),-1.39016 # DEPENDENCYPART_ARC
(12,24),-1.50302 # DEPENDENCYPART_ARC
(12,26),-1.34731 # DEPENDENCYPART_ARC
(13,1),-2.13455 # DEPENDENCYPART_ARC
(13,2),-0.464579 # DEPENDENCYPART_ARC
(13,3),-2.47487 # DEPENDENCYPART_ARC
(13,4),-0.751237 # DEPENDENCYPART_ARC
(13,5),-2.07838 # DEPENDENCYPART_ARC
(13,6),0.612966 # DEPENDENCYPART_ARC
(13,7),-1.81912 # DEPENDENCYPART_ARC
(13,8),-0.0487662 # DEPENDENCYPART_ARC
(13,9),0.0977486 # DEPENDENCYPART_ARC
(13,10),-0.945007 # DEPENDENCYPART_ARC
(13,11),1.64673 # DEPENDENCYPART_ARC
(13,12),4.22954 # DEPENDENCYPART_ARC
(13,14),1.89072 # DEPENDENCYPART_ARC
(13,15),-1.56532 # DEPENDENCYPART_ARC
(13,16),0.646203 # DEPENDENCYPART_ARC
(13,17),0.915269 # DEPENDENCYPART_ARC
(13,18),0.892148 # DEPENDENCYPART_ARC
(13,19),0.247153 # DEPENDENCYPART_ARC
(13,20),0.0959889 # DEPENDENCYPART_ARC
(13,21),-0.357495 # DEPENDENCYPART_ARC
(13,22),0.367043 # DEPENDENCYPART_ARC
(13,23),-0.453545 # DEPENDENCYPART_ARC
(13,24),-1.84654 # DEPENDENCYPART_ARC
(13,25),-2.15491 # DEPENDENCYPART_ARC
(13,26),0.081478 # DEPENDENCYPART_ARC
(14,1),-2.0435 # DEPENDENCYPART_ARC
(14,2),-1.58719 # DEPENDENCYPART_ARC
(14,3),-1.6914 # DEPENDENCYPART_ARC
(14,4),-1.90524 # DEPENDENCYPART_ARC
(14,5),-1.99672 # DEPENDENCYPART_ARC
(14,6),-1.12806 # DEPENDENCYPART_ARC
(14,7),-1.46774 # DEPENDENCYPART_ARC
(14,8),-1.9757 # DEPENDENCYPART_ARC
(14,10),-1.75142 # DEPENDENCYPART_ARC
(14,11),-0.623315 # DEPENDENCYPART_ARC
(14,12),-0.921582 # DEPENDENCYPART_ARC
(14,13),-0.519288 # DEPENDENCYPART_ARC
(14,15),0.557531 # DEPENDENCYPART_ARC
(14,16),1.56189 # DEPENDENCYPART_ARC
(14,17),2.28181 # DEPENDENCYPART_ARC
(14,18),0.250178 # DEPENDENCYPART_ARC
(14,19),0.0248837 # DEPENDENCYPART_ARC
(14,20),0.274031 # DEPENDENCYPART_ARC
(14,21),0.0355118 # DEPENDENCYPART_ARC
(14,22),-0.246933 # DEPENDENCYPART_ARC
(14,23),-0.0839405 # DEPENDENCYPART_ARC
(14,24),-0.085663 # DEPENDENCYPART_ARC
(14,25),0.471393 # DEPENDENCYPART_ARC
(14,26),-0.324276 # DEPENDENCYPART_ARC
(15,2),-2.1518 # DEPENDENCYPART_ARC
(15,14),-0.204955 # DEPENDENCYPART_ARC
(15,18),0.154585 # DEPENDENCYPART_ARC
(15,19),0.0712773 # DEPENDENCYPART_ARC
(15,20),-0.127491 # DEPENDENCYPART_ARC
(15,22),-0.114919 # DEPENDENCYPART_ARC
(16,1),-3.46058 # DEPENDENCYPART_ARC
(16,2),-2.03359 # DEPENDENCYPART_ARC
(16,3),-2.03844 # DEPENDENCYPART_ARC
(16,4),-2.32149 # DEPENDENCYPART_ARC
(16,5),-2.43935 # DEPENDENCYPART_ARC
(16,6),-1.52317 # DEPENDENCYPART_ARC
(16,7),-0.857401 # DEPENDENCYPART_ARC
(16,8),-0.919196 # DEPENDENCYPART_ARC
(16,9),-1.87628 # DEPENDENCYPART_ARC
(16,10),-2.87354 # DEPENDENCYPART_ARC
(16,11),-1.19877 # DEPENDENCYPART_ARC
(16,12),-2.07164 # DEPENDENCYPART_ARC
(16,13),-3.40916 # DEPENDENCYPART_ARC
(16,14),-0.23741 # DEPENDENCYPART_ARC
(16,15),1.20395 # DEPENDENCYPART_ARC
(16,17),-0.0543746 # DEPENDENCYPART_ARC
(16,18),-0.0575143 # DEPENDENCYPART_ARC
(16,19),0.188236 # DEPENDENCYPART_ARC
(16,20),-0.453883 # DEPENDENCYPART_ARC
(16,21),-0.380884 # DEPENDENCYPART_ARC
(16,22),-0.320043 # DEPENDENCYPART_ARC
(16,23),-0.50525 # DEPENDENCYPART_ARC
(16,24),-1.76866 # DEPENDENCYPART_ARC
(16,25),-2.05622 # DEPENDENCYPART_ARC
(16,26),-0.190614 # DEPENDENCYPART_ARC
(17,1),-3.047 # DEPENDENCYPART_ARC
(17,2),-1.22076 # DEPENDENCYPART_ARC
(17,3),-3.18963 # DEPENDENCYPART_ARC
(17,4),0.752824 # DEPENDENCYPART_ARC
(17,5),-2.55837 # DEPENDENCYPART_ARC
(17,6),-0.959361 # DEPENDENCYPART_ARC
(17,7),-1.02659 # DEPENDENCYPART_ARC
(17,8),-1.48918 # DEPENDENCYPART_ARC
(17,9),-0.769658 # DEPENDENCYPART_ARC
(17,10),-1.69502 # DEPENDENCYPART_ARC
(17,11),-0.838915 # DEPENDENCYPART_ARC
(17,12),-0.0450795 # DEPENDENCYPART_ARC
(17,13),-1.67352 # DEPENDENCYPART_ARC
(17,14),0.0485631 # DEPENDENCYPART_ARC
(17,15),3.64873 # DEPENDENCYPART_ARC
(17,16),3.73639 # DEPENDENCYPART_ARC
(17,18),1.14062 # DEPENDENCYPART_ARC
(17,19),0.137706 # DEPENDENCYPART_ARC
(17,20),0.0890826 # DEPENDENCYPART_ARC
(17,21),0.138632 # DEPENDENCYPART_ARC
(17,22),0.0264028 # DEPENDENCYPART_ARC
(17,23),-0.167616 # DEPENDENCYPART_ARC
(17,24),-1.78303 # DEPENDENCYPART_ARC
(17,25),-1.13522 # DEPENDENCYPART_ARC
(17,26),0.035737 # DEPENDENCYPART_ARC
(18,1),-1.4076 # DEPENDENCYPART_ARC
(18,2),-0.530468 # DEPENDENCYPART_ARC
(18,3),-1.0029 # DEPENDENCYPART_ARC
(18,4),-1.20974 # DEPENDENCYPART_ARC
(18,5),-1.19416 # DEPENDENCYPART_ARC
(18,6),-0.46509 # DEPENDENCYPART_ARC
(18,7),-0.910833 # DEPENDENCYPART_ARC
(18,8),-1.19693 # DEPENDENCYPART_ARC
(18,9),-0.526392 # DEPENDENCYPART_ARC
(18,10),-1.16339 # DEPENDENCYPART_ARC
(18,11),-0.251971 # DEPENDENCYPART_ARC
(18,12),-1.28023 # DEPENDENCYPART_ARC
(18,13),-0.954243 # DEPENDENCYPART_ARC
(18,14),0.0841697 # DEPENDENCYPART_ARC
(18,16),-0.0921073 # DEPENDENCYPART_ARC
(18,17),-0.0204 # DEPENDENCYPART_ARC
(18,19),2.14106 # DEPENDENCYPART_ARC
(18,20),0.53382 # DEPENDENCYPART_ARC
(18,21),0.201699 # DEPENDENCYPART_ARC
(18,22),0.819912 # DEPENDENCYPART_ARC
(18,23),-0.119977 # DEPENDENCYPART_ARC
(18,24),-0.148644 # DEPENDENCYPART_ARC
(18,25),-0.493628 # DEPENDENCYPART_ARC
(18,26),0.192362 # DEPENDENCYPART_ARC
(19,1),-1.78299 # DEPENDENCYPART_ARC
(19,2),-1.5142 # DEPENDENCYPART_ARC
(19,3),-1.56567 # DEPENDENCYPART_ARC
(19,4),-1.66175 # DEPENDENCYPART_ARC
(19,5),-2.01567 # DEPENDENCYPART_ARC
(19,6),-1.11814 # DEPENDENCYPART_ARC
(19,7),-1.48983 # DEPENDENCYPART_ARC
(19,8),-1.94599 # DEPENDENCYPART_ARC
(19,10),-1.79658 # DEPENDENCYPART_ARC
(19,11),-0.896632 # DEPENDENCYPART_ARC
(19,12),-1.63138 # DEPENDENCYPART_ARC
(19,13),-1.3936 # DEPENDENCYPART_ARC
(19,14),-0.774336 # DEPENDENCYPART_ARC
(19,15),-0.741559 # DEPENDENCYPART_ARC
(19,16),-1.02824 # DEPENDENCYPART_ARC
(19,17),-1.08854 # DEPENDENCYPART_ARC
(19,18),0.226305 # DEPENDENCYPART_ARC
(19,20),1.64886 # DEPENDENCYPART_ARC
(19,21),1.2068 # DEPENDENCYPART_ARC
(19,22),0.173087 # DEPENDENCYPART_ARC
(19,23),0.233201 # DEPENDENCYPART_ARC
(19,24),0.141144 # DEPENDENCYPART_ARC
(19,25),1.00429 # DEPENDENCYPART_ARC
(19,26),-0.0110557 # DEPENDENCYPART_ARC
(20,1),-2.25703 # DEPENDENCYPART_ARC
(20,2),-1.69924 # DEPENDENCYPART_ARC
(20,3),-1.86882 # DEPENDENCYPART_ARC
(20,4),-2.07209 # DEPENDENCYPART_ARC
(20,5),-1.95696 # DEPENDENCYPART_ARC
(20,6),-1.71351 # DEPENDENCYPART_ARC
(20,7),-1.86334 # DEPENDENCYPART_ARC
(20,8),-2.1533 # DEPENDENCYPART_ARC
(20,9),-1.55756 # DEPENDENCYPART_ARC
(20,10),-2.0747 # DEPENDENCYPART_ARC
(20,11),-1.4765 # DEPENDENCYPART_ARC
(20,12),-2.25959 # DEPENDENCYPART_ARC
(20,13),-1.83135 # DEPENDENCYPART_ARC
(20,14),-0.919177 # DEPENDENCYPART_ARC
(20,16),-1.62272 # DEPENDENCYPART_ARC
(20,17),-1.34971 # DEPENDENCYPART_ARC
(20,18),-0.433433 # DEPENDENCYPART_ARC
(20,19),-0.0147329 # DEPENDENCYPART_ARC
(20,21),0.287511 # DEPENDENCYPART_ARC
(20,22),0.506878 # DEPENDENCYPART_ARC
(20,23),-0.473104 # DEPENDENCYPART_ARC
(20,24),-0.375181 # DEPENDENCYPART_ARC
(20,25),-0.770348 # DEPENDENCYPART_ARC
(20,26),-0.372207 # DEPENDENCYPART_ARC
(21,1),-1.25034 # DEPENDENCYPART_ARC
(21,2),-0.725366 # DEPENDENCYPART_ARC
(21,3),-0.677008 # DEPENDENCYPART_ARC
(21,4),-1.20105 # DEPENDENCYPART_ARC
(21,5),-1.45174 # DEPENDENCYPART_ARC
(21,6),-1.0372 # DEPENDENCYPART_ARC
(21,7),-0.553753 # DEPENDENCYPART_ARC
(21,8),-1.32264 # DEPENDENCYPART_ARC
(21,10),-1.38863 # DEPENDENCYPART_ARC
(21,11),-0.973459 # DEPENDENCYPART_ARC
(21,13),-0.861287 # DEPENDENCYPART_ARC
(21,14),-0.599018 # DEPENDENCYPART_ARC
(21,16),-0.635746 # DEPENDENCYPART_ARC
(21,17),-0.823243 # DEPENDENCYPART_ARC
(21,18),0.101027 # DEPENDENCYPART_ARC
(21,19),0.0365404 # DEPENDENCYPART_ARC
(21,20),1.02628 # DEPENDENCYPART_ARC
(21,22),0.345908 # DEPENDENCYPART_ARC
(21,24),-0.228604 # DEPENDENCYPART_ARC
(21,25),-0.0846666 # DEPENDENCYPART_ARC
(21,26),-0.0658941 # DEPENDENCYPART_ARC
(22,1),-1.39394 # DEPENDENCYPART_ARC
(22,2),-0.834668 # DEPENDENCYPART_ARC
(22,3),-1.01788 # DEPENDENCYPART_ARC
(22,4),-1.20108 # DEPENDENCYPART_ARC
(22,5),-1.55545 # DEPENDENCYPART_ARC
(22,6),-0.556819 # DEPENDENCYPART_ARC
(22,7),-0.962268 # DEPENDENCYPART_ARC
(22,8),-1.49299 # DEPENDENCYPART_ARC
(22,10),-1.50906 # DEPENDENCYPART_ARC
(22,11),-0.467322 # DEPENDENCYPART_ARC
(22,12),-1.26081 # DEPENDENCYPART_ARC
(22,13),-0.944645 # DEPENDENCYPART_ARC
(22,14),-0.426421 # DEPENDENCYPART_ARC
(22,15),-0.555597 # DEPENDENCYPART_ARC
(22,16),-0.993315 # DEPENDENCYPART_ARC
(22,17),-1.08204 # DEPENDENCYPART_ARC
(22,18),-0.160299 # DEPENDENCYPART_ARC
(22,19),0.0350432 # DEPENDENCYPART_ARC
(22,20),0.484633 # DEPENDENCYPART_ARC
(22,21),0.945072 # DEPENDENCYPART_ARC
(22,23),1.50597 # DEPENDENCYPART_ARC
(22,24),0.922583 # DEPENDENCYPART_ARC
(22,25),1.44812 # DEPENDENCYPART_ARC
(22,26),0.269733 # DEPENDENCYPART_ARC
(23,1),-2.00379 # DEPENDENCYPART_ARC
(23,2),-1.50415 # DEPENDENCYPART_ARC
(23,3),-1.23099 # DEPENDENCYPART_ARC
(23,4),-1.74591 # DEPENDENCYPART_ARC
(23,5),-2.06705 # DEPENDENCYPART_ARC
(23,6),-1.63775 # DEPENDENCYPART_ARC
(23,7),-1.14221 # DEPENDENCYPART_ARC
(23,8),-1.84592 # DEPENDENCYPART_ARC
(23,10),-2.05288 # DEPENDENCYPART_ARC
(23,11),-1.56873 # DEPENDENCYPART_ARC
(23,13),-1.51175 # DEPENDENCYPART_ARC
(23,14),-1.18715 # DEPENDENCYPART_ARC
(23,16),-1.41606 # DEPENDENCYPART_ARC
(23,17),-1.58193 # DEPENDENCYPART_ARC
(23,18),-0.756453 # DEPENDENCYPART_ARC
(23,19),-1.014 # DEPENDENCYPART_ARC
(23,20),-0.352224 # DEPENDENCYPART_ARC
(23,22),-0.0120298 # DEPENDENCYPART_ARC
