# _root_ Επιλέξτε κάποιον καλύτερο , τόσο από τον Cox όσο και από τον Martin , ψηφίζοντας τον κ. Bonde του γραφείου 007 .
#goldHeads=0,1,2,10,10,5,8,6,10,3,9,13,11,10,1,18,18,15,20,18,20,0,
#predictedHeads=10,1,10,5,10,10,8,6,10,0,10,13,11,15,1,18,18,15,20,18,20,0,
(4,10),0.0587722 # DEPENDENCYPART_ARC
(4,11),-0.495632 # DEPENDENCYPART_ARC
(4,13),-0.658957 # DEPENDENCYPART_ARC
(4,14),-0.127022 # DEPENDENCYPART_ARC
(4,15),-0.724717 # DEPENDENCYPART_ARC
(4,17),-1.29645 # DEPENDENCYPART_ARC
(4,18),-0.945823 # DEPENDENCYPART_ARC
(4,20),-1.3588 # DEPENDENCYPART_ARC
(4,21),-0.923488 # DEPENDENCYPART_ARC
(4,22),-1.09407 # DEPENDENCYPART_ARC
(5,1),-0.988744 # DEPENDENCYPART_ARC
(5,2),-0.834708 # DEPENDENCYPART_ARC
(5,3),0.382818 # DEPENDENCYPART_ARC
(5,4),1.06918 # DEPENDENCYPART_ARC
(5,6),1.47465 # DEPENDENCYPART_ARC
(5,7),-0.151398 # DEPENDENCYPART_ARC
(5,8),0.0784193 # DEPENDENCYPART_ARC
(5,9),-0.235517 # DEPENDENCYPART_ARC
(5,10),-0.113405 # DEPENDENCYPART_ARC
(5,11),-0.0558936 # DEPENDENCYPART_ARC
(5,12),-1.07694 # DEPENDENCYPART_ARC
(5,13),-0.51097 # DEPENDENCYPART_ARC
(5,14),0.472787 # DEPENDENCYPART_ARC
(5,15),-0.891357 # DEPENDENCYPART_ARC
(5,16),-1.65961 # DEPENDENCYPART_ARC
(5,17),-1.0941 # DEPENDENCYPART_ARC
(5,18),-1.12987 # DEPENDENCYPART_ARC
(5,19),-1.17855 # DEPENDENCYPART_ARC
(5,20),-0.947656 # DEPENDENCYPART_ARC
(5,21),-1.43331 # DEPENDENCYPART_ARC
(5,22),-0.518815 # DEPENDENCYPART_ARC
(6,1),-0.932977 # DEPENDENCYPART_ARC
(6,2),-0.827461 # DEPENDENCYPART_ARC
(6,3),-0.66566 # DEPENDENCYPART_ARC
(6,4),0.493946 # DEPENDENCYPART_ARC
(6,5),0.636962 # DEPENDENCYPART_ARC
(6,7),0.393267 # DEPENDENCYPART_ARC
(6,8),1.46599 # DEPENDENCYPART_ARC
(6,9),0.386617 # DEPENDENCYPART_ARC
(6,10),0.0810264 # DEPENDENCYPART_ARC
(6,11),-0.110992 # DEPENDENCYPART_ARC
(6,12),-1.24679 # DEPENDENCYPART_ARC
(6,13),-0.0882287 # DEPENDENCYPART_ARC
(6,14),-0.195621 # DEPENDENCYPART_ARC
(6,15),-0.638511 # DEPENDENCYPART_ARC
(6,16),-1.49557 # DEPENDENCYPART_ARC
(6,17),-1.28359 # DEPENDENCYPART_ARC
(6,18),-0.716541 # DEPENDENCYPART_ARC
(6,19),-1.63801 # DEPENDENCYPART_ARC
(6,20),-2.16495 # DEPENDENCYPART_ARC
(6,21),-0.834473 # DEPENDENCYPART_ARC
(6,22),-1.57117 # DEPENDENCYPART_ARC
(7,5),-1.10893 # DEPENDENCYPART_ARC
(7,9),0.2775 # DEPENDENCYPART_ARC
(7,10),0.228986 # DEPENDENCYPART_ARC
(7,20),-1.54993 # DEPENDENCYPART_ARC
(8,1),-0.953706 # DEPENDENCYPART_ARC
(8,3),-0.513822 # DEPENDENCYPART_ARC
(8,4),-0.462207 # DEPENDENCYPART_ARC
(8,5),0.013501 # DEPENDENCYPART_ARC
(8,7),2.07723 # DEPENDENCYPART_ARC
(8,9),0.620793 # DEPENDENCYPART_ARC
(8,10),0.13785 # DEPENDENCYPART_ARC
(8,12),-0.768447 # DEPENDENCYPART_ARC
(8,13),-0.286182 # DEPENDENCYPART_ARC
(8,14),-0.13353 # DEPENDENCYPART_ARC
(8,15),-0.863145 # DEPENDENCYPART_ARC
(8,16),-1.45659 # DEPENDENCYPART_ARC
(8,17),-0.761848 # DEPENDENCYPART_ARC
(8,18),-0.602038 # DEPENDENCYPART_ARC
(8,19),-1.60245 # DEPENDENCYPART_ARC
(8,20),-1.03983 # DEPENDENCYPART_ARC
(8,21),-0.99354 # DEPENDENCYPART_ARC
(8,22),-0.522059 # DEPENDENCYPART_ARC
(9,1),-1.51703 # DEPENDENCYPART_ARC
(9,2),-1.50316 # DEPENDENCYPART_ARC
(9,3),-0.806151 # DEPENDENCYPART_ARC
(9,4),-0.688395 # DEPENDENCYPART_ARC
(9,5),-0.420987 # DEPENDENCYPART_ARC
(9,6),-0.136054 # DEPENDENCYPART_ARC
(9,7),0.124509 # DEPENDENCYPART_ARC
(9,8),0.395207 # DEPENDENCYPART_ARC
(9,10),0.274096 # DEPENDENCYPART_ARC
(9,11),0.158936 # DEPENDENCYPART_ARC
(9,12),-1.07429 # DEPENDENCYPART_ARC
(9,13),-0.70058 # DEPENDENCYPART_ARC
(9,14),-0.406984 # DEPENDENCYPART_ARC
(9,15),-1.40072 # DEPENDENCYPART_ARC
(9,16),-2.05703 # DEPENDENCYPART_ARC
(9,17),-1.54244 # DEPENDENCYPART_ARC
(9,18),-1.59065 # DEPENDENCYPART_ARC
(9,19),-1.58096 # DEPENDENCYPART_ARC
(9,20),-1.28891 # DEPENDENCYPART_ARC
(9,21),-1.69971 # DEPENDENCYPART_ARC
(9,22),-1.2908 # DEPENDENCYPART_ARC
(10,1),0.955332 # DEPENDENCYPART_ARC
(10,2),0.509013 # DEPENDENCYPART_ARC
(10,3),0.813861 # DEPENDENCYPART_ARC
(10,4),0.598605 # DEPENDENCYPART_ARC
(10,5),1.84325 # DEPENDENCYPART_ARC
(10,6),2.15219 # DEPENDENCYPART_ARC
(10,7),0.976688 # DEPENDENCYPART_ARC
(10,8),0.769646 # DEPENDENCYPART_ARC
(10,9),1.8223 # DEPENDENCYPART_ARC
(10,11),1.52534 # DEPENDENCYPART_ARC
(10,12),0.142472 # DEPENDENCYPART_ARC
(10,13),0.759456 # DEPENDENCYPART_ARC
(10,14),0.736424 # DEPENDENCYPART_ARC
(10,15),0.950745 # DEPENDENCYPART_ARC
(10,16),-0.947237 # DEPENDENCYPART_ARC
(10,17),-0.288778 # DEPENDENCYPART_ARC
(10,18),-0.17931 # DEPENDENCYPART_ARC
(10,19),-1.11328 # DEPENDENCYPART_ARC
(10,20),-0.988075 # DEPENDENCYPART_ARC
(10,21),-0.610599 # DEPENDENCYPART_ARC
(10,22),0.240646 # DEPENDENCYPART_ARC
(11,1),-1.4391 # DEPENDENCYPART_ARC
(11,2),-1.34941 # DEPENDENCYPART_ARC
(11,3),-1.50414 # DEPENDENCYPART_ARC
(11,4),-0.175948 # DEPENDENCYPART_ARC
(11,5),-0.674097 # DEPENDENCYPART_ARC
(11,6),-0.534605 # DEPENDENCYPART_ARC
(11,7),-0.617522 # DEPENDENCYPART_ARC
(11,8),-0.919745 # DEPENDENCYPART_ARC
(11,9),-0.0605057 # DEPENDENCYPART_ARC
(11,10),0.445845 # DEPENDENCYPART_ARC
(11,12),0.410274 # DEPENDENCYPART_ARC
(11,13),1.51703 # DEPENDENCYPART_ARC
(11,14),0.516164 # DEPENDENCYPART_ARC
(11,15),0.125988 # DEPENDENCYPART_ARC
(11,16),-1.20466 # DEPENDENCYPART_ARC
(11,17),-0.845365 # DEPENDENCYPART_ARC
(11,18),-0.384361 # DEPENDENCYPART_ARC
(11,19),-1.44982 # DEPENDENCYPART_ARC
(11,20),-1.55033 # DEPENDENCYPART_ARC
(11,21),-0.645764 # DEPENDENCYPART_ARC
(11,22),-1.06901 # DEPENDENCYPART_ARC
(12,5),-1.7401 # DEPENDENCYPART_ARC
(12,9),-1.33925 # DEPENDENCYPART_ARC
(12,10),-0.997119 # DEPENDENCYPART_ARC
(12,20),-1.43585 # DEPENDENCYPART_ARC
(13,1),-1.14501 # DEPENDENCYPART_ARC
(13,3),-0.895448 # DEPENDENCYPART_ARC
(13,4),-0.754838 # DEPENDENCYPART_ARC
(13,5),-0.506176 # DEPENDENCYPART_ARC
(13,7),0.63957 # DEPENDENCYPART_ARC
(13,8),-0.373198 # DEPENDENCYPART_ARC
(13,9),-0.198846 # DEPENDENCYPART_ARC
(13,10),-0.140249 # DEPENDENCYPART_ARC
(13,12),2.26854 # DEPENDENCYPART_ARC
(13,14),0.194982 # DEPENDENCYPART_ARC
(13,15),-0.0977289 # DEPENDENCYPART_ARC
(13,16),-1.08884 # DEPENDENCYPART_ARC
(13,17),-0.715099 # DEPENDENCYPART_ARC
(13,18),-0.739029 # DEPENDENCYPART_ARC
(13,19),-1.53737 # DEPENDENCYPART_ARC
(13,20),-1.14111 # DEPENDENCYPART_ARC
(13,21),-0.961392 # DEPENDENCYPART_ARC
(13,22),-0.588711 # DEPENDENCYPART_ARC
(14,1),-0.638082 # DEPENDENCYPART_ARC
(14,2),-1.06615 # DEPENDENCYPART_ARC
(14,3),-1.18774 # DEPENDENCYPART_ARC
(14,4),-1.98061 # DEPENDENCYPART_ARC
(14,5),-0.657224 # DEPENDENCYPART_ARC
(14,6),-0.426902 # DEPENDENCYPART_ARC
(14,8),-0.818405 # DEPENDENCYPART_ARC
(14,9),-0.691938 # DEPENDENCYPART_ARC
(14,10),-0.651445 # DEPENDENCYPART_ARC
(14,11),-0.200596 # DEPENDENCYPART_ARC
(14,13),-0.276172 # DEPENDENCYPART_ARC
(14,15),0.0600575 # DEPENDENCYPART_ARC
(14,17),-1.03322 # DEPENDENCYPART_ARC
(14,18),-0.9535 # DEPENDENCYPART_ARC
(14,20),-1.22857 # DEPENDENCYPART_ARC
(14,21),-1.09176 # DEPENDENCYPART_ARC
(14,22),-0.866962 # DEPENDENCYPART_ARC
(15,1),-4.65408 # DEPENDENCYPART_ARC
(15,2),-3.48113 # DEPENDENCYPART_ARC
(15,3),-1.16994 # DEPENDENCYPART_ARC
(15,4),0.457159 # DEPENDENCYPART_ARC
(15,5),-0.237604 # DEPENDENCYPART_ARC
(15,6),-0.237937 # DEPENDENCYPART_ARC
(15,7),-1.53236 # DEPENDENCYPART_ARC
(15,8),-0.409621 # DEPENDENCYPART_ARC
(15,9),-0.332643 # DEPENDENCYPART_ARC
(15,10),0.289029 # DEPENDENCYPART_ARC
(15,11),0.479558 # DEPENDENCYPART_ARC
(15,12),-0.883917 # DEPENDENCYPART_ARC
(15,13),0.259346 # DEPENDENCYPART_ARC
(15,14),0.796871 # DEPENDENCYPART_ARC
(15,16),0.0860941 # DEPENDENCYPART_ARC
(15,17),1.0549 # DEPENDENCYPART_ARC
(15,18),0.77296 # DEPENDENCYPART_ARC
(15,19),-2.46849 # DEPENDENCYPART_ARC
(15,20),-1.48198 # DEPENDENCYPART_ARC
(15,21),0.432717 # DEPENDENCYPART_ARC
(15,22),0.970782 # DEPENDENCYPART_ARC
(16,5),-1.27372 # DEPENDENCYPART_ARC
(16,9),-1.17826 # DEPENDENCYPART_ARC
(16,10),-0.858208 # DEPENDENCYPART_ARC
(16,20),-0.727113 # DEPENDENCYPART_ARC
(17,1),-1.76263 # DEPENDENCYPART_ARC
(17,3),-1.63887 # DEPENDENCYPART_ARC
(17,4),-1.6837 # DEPENDENCYPART_ARC
(17,7),-0.841176 # DEPENDENCYPART_ARC
(17,10),-1.10958 # DEPENDENCYPART_ARC
(17,12),-0.390808 # DEPENDENCYPART_ARC
(17,14),-0.918213 # DEPENDENCYPART_ARC
(17,15),-0.371149 # DEPENDENCYPART_ARC
(17,16),1.27382 # DEPENDENCYPART_ARC
(17,19),-0.249116 # DEPENDENCYPART_ARC
(17,20),0.241956 # DEPENDENCYPART_ARC
(17,21),-0.0612981 # DEPENDENCYPART_ARC
(17,22),0.0165112 # DEPENDENCYPART_ARC
(18,1),-0.964258 # DEPENDENCYPART_ARC
(18,3),-0.839226 # DEPENDENCYPART_ARC
(18,4),-0.840378 # DEPENDENCYPART_ARC
(18,5),-0.421321 # DEPENDENCYPART_ARC
(18,7),0.564393 # DEPENDENCYPART_ARC
(18,8),-0.527244 # DEPENDENCYPART_ARC
(18,9),-0.208783 # DEPENDENCYPART_ARC
(18,10),-0.430629 # DEPENDENCYPART_ARC
(18,12),0.800364 # DEPENDENCYPART_ARC
(18,13),-0.117633 # DEPENDENCYPART_ARC
(18,14),-0.317192 # DEPENDENCYPART_ARC
(18,15),-0.0249394 # DEPENDENCYPART_ARC
(18,16),2.24056 # DEPENDENCYPART_ARC
(18,17),2.00576 # DEPENDENCYPART_ARC
(18,19),0.208121 # DEPENDENCYPART_ARC
(18,20),0.942931 # DEPENDENCYPART_ARC
(18,21),0.205928 # DEPENDENCYPART_ARC
(18,22),0.286557 # DEPENDENCYPART_ARC
(19,5),-1.68207 # DEPENDENCYPART_ARC
(19,9),-1.64633 # DEPENDENCYPART_ARC
(19,10),-1.14946 # DEPENDENCYPART_ARC
(19,20),0.702946 # DEPENDENCYPART_ARC
(20,1),-3.29322 # DEPENDENCYPART_ARC
(20,2),-3.0084 # DEPENDENCYPART_ARC
(20,3),-4.46503 # DEPENDENCYPART_ARC
(20,4),-1.4569 # DEPENDENCYPART_ARC
(20,5),-1.70471 # DEPENDENCYPART_ARC
(20,6),-1.68022 # DEPENDENCYPART_ARC
(20,7),-4.24878 # DEPENDENCYPART_ARC
(20,8),-1.93766 # DEPENDENCYPART_ARC
(20,9),-1.38944 # DEPENDENCYPART_ARC
(20,10),-1.11777 # DEPENDENCYPART_ARC
(20,11),-1.43362 # DEPENDENCYPART_ARC
(20,12),-3.08064 # DEPENDENCYPART_ARC
(20,13),-1.73976 # DEPENDENCYPART_ARC
(20,14),-1.51 # DEPENDENCYPART_ARC
(20,15),-1.59711 # DEPENDENCYPART_ARC
(20,16),-1.172 # DEPENDENCYPART_ARC
(20,17),-0.756789 # DEPENDENCYPART_ARC
(20,18),-0.0364825 # DEPENDENCYPART_ARC
(20,19),2.68315 # DEPENDENCYPART_ARC
(20,21),1.68674 # DEPENDENCYPART_ARC
(20,22),0.0837415 # DEPENDENCYPART_ARC
(21,1),-0.96798 # DEPENDENCYPART_ARC
(21,3),-1.12119 # DEPENDENCYPART_ARC
(21,4),-0.898366 # DEPENDENCYPART_ARC
(21,5),-0.418502 # DEPENDENCYPART_ARC
(21,6),-0.896037 # DEPENDENCYPART_ARC
(21,7),-0.51329 # DEPENDENCYPART_ARC
(21,9),-0.45188 # DEPENDENCYPART_ARC
(21,10),-0.359976 # DEPENDENCYPART_ARC
(21,11),-0.794848 # DEPENDENCYPART_ARC
(21,12),-0.26138 # DEPENDENCYPART_ARC
(21,14),-0.701505 # DEPENDENCYPART_ARC
(21,15),-0.56864 # DEPENDENCYPART_ARC
(21,16),0.268358 # DEPENDENCYPART_ARC
(21,17),-0.32641 # DEPENDENCYPART_ARC
(21,19),1.07924 # DEPENDENCYPART_ARC
(21,20),0.159861 # DEPENDENCYPART_ARC
(21,22),0.578128 # DEPENDENCYPART_ARC
(22,1),-2.71082 # DEPENDENCYPART_ARC
(22,2),-2.42996 # DEPENDENCYPART_ARC
(22,3),-2.76005 # DEPENDENCYPART_ARC
(22,4),-3.35202 # DEPENDENCYPART_ARC
(22,5),-2.02083 # DEPENDENCYPART_ARC
(22,6),-2.72361 # DEPENDENCYPART_ARC
(22,8),-2.43795 # DEPENDENCYPART_ARC
(22,9),-2.08403 # DEPENDENCYPART_ARC
(22,10),-2.44445 # DEPENDENCYPART_ARC
(22,11),-2.67922 # DEPENDENCYPART_ARC
(22,13),-2.36022 # DEPENDENCYPART_ARC
(22,14),-2.43363 # DEPENDENCYPART_ARC
(22,15),-2.12921 # DEPENDENCYPART_ARC
(22,17),-2.16492 # DEPENDENCYPART_ARC
(22,18),-2.02717 # DEPENDENCYPART_ARC
(22,20),-2.06611 # DEPENDENCYPART_ARC
(22,21),-1.34003 # DEPENDENCYPART_ARC
