# _root_ Αποτελεί έναν από τους αγαπημένους προορισμούς των Κερκυραίων , καθώς συνδυάζει αστείρευτη φυσική ομορφιά με τη μαγεία της θάλασσας , ενώ απέχει ελάχιστα από την πόλη .
#goldHeads=21,1,2,6,6,3,8,6,10,1,10,14,14,11,11,17,15,19,17,21,0,21,22,22,26,24,0,
#predictedHeads=21,1,2,6,6,3,8,6,11,11,21,14,14,11,11,17,15,19,17,21,0,21,22,22,26,24,0,
(5,2),-0.487153 # DEPENDENCYPART_ARC
(5,3),-0.266306 # DEPENDENCYPART_ARC
(5,4),1.35901 # DEPENDENCYPART_ARC
(5,6),-0.0320015 # DEPENDENCYPART_ARC
(5,7),-0.349357 # DEPENDENCYPART_ARC
(5,8),-0.283627 # DEPENDENCYPART_ARC
(5,9),-0.539319 # DEPENDENCYPART_ARC
(5,10),-0.929766 # DEPENDENCYPART_ARC
(5,11),-2.02253 # DEPENDENCYPART_ARC
(5,12),-3.44338 # DEPENDENCYPART_ARC
(5,13),-3.47306 # DEPENDENCYPART_ARC
(5,14),-2.1523 # DEPENDENCYPART_ARC
(5,15),-1.13372 # DEPENDENCYPART_ARC
(5,16),-2.20884 # DEPENDENCYPART_ARC
(5,17),-2.69283 # DEPENDENCYPART_ARC
(5,18),-2.17341 # DEPENDENCYPART_ARC
(5,19),-1.71794 # DEPENDENCYPART_ARC
(5,20),-1.17621 # DEPENDENCYPART_ARC
(5,21),-1.33288 # DEPENDENCYPART_ARC
(5,22),-3.13176 # DEPENDENCYPART_ARC
(5,23),-1.62299 # DEPENDENCYPART_ARC
(5,24),-1.37072 # DEPENDENCYPART_ARC
(5,25),-2.48121 # DEPENDENCYPART_ARC
(5,26),-3.42124 # DEPENDENCYPART_ARC
(5,27),-1.59628 # DEPENDENCYPART_ARC
(6,1),-1.88903 # DEPENDENCYPART_ARC
(6,2),-0.502179 # DEPENDENCYPART_ARC
(6,3),0.0914327 # DEPENDENCYPART_ARC
(6,4),3.36215 # DEPENDENCYPART_ARC
(6,5),4.3209 # DEPENDENCYPART_ARC
(6,7),-0.129363 # DEPENDENCYPART_ARC
(6,8),2.15534 # DEPENDENCYPART_ARC
(6,9),0.439558 # DEPENDENCYPART_ARC
(6,10),0.0692554 # DEPENDENCYPART_ARC
(6,11),-0.431855 # DEPENDENCYPART_ARC
(6,12),-0.846031 # DEPENDENCYPART_ARC
(6,13),-0.755162 # DEPENDENCYPART_ARC
(6,14),-1.58193 # DEPENDENCYPART_ARC
(6,15),-0.683011 # DEPENDENCYPART_ARC
(6,16),-1.81181 # DEPENDENCYPART_ARC
(6,17),-2.14974 # DEPENDENCYPART_ARC
(6,18),-1.94078 # DEPENDENCYPART_ARC
(6,19),-1.05469 # DEPENDENCYPART_ARC
(6,20),-0.352705 # DEPENDENCYPART_ARC
(6,21),-0.332784 # DEPENDENCYPART_ARC
(6,22),-3.10673 # DEPENDENCYPART_ARC
(6,23),-1.20689 # DEPENDENCYPART_ARC
(6,24),-1.69618 # DEPENDENCYPART_ARC
(6,25),-2.18446 # DEPENDENCYPART_ARC
(6,26),-3.47438 # DEPENDENCYPART_ARC
(6,27),-0.406869 # DEPENDENCYPART_ARC
(7,6),-1.15069 # DEPENDENCYPART_ARC
(7,8),0.250185 # DEPENDENCYPART_ARC
(7,10),-0.757843 # DEPENDENCYPART_ARC
(7,14),-2.42324 # DEPENDENCYPART_ARC
(7,17),-2.41706 # DEPENDENCYPART_ARC
(7,19),-2.02243 # DEPENDENCYPART_ARC
(7,21),-0.853867 # DEPENDENCYPART_ARC
(7,23),-1.85252 # DEPENDENCYPART_ARC
(7,26),-2.71148 # DEPENDENCYPART_ARC
(8,1),-2.54185 # DEPENDENCYPART_ARC
(8,2),-2.46723 # DEPENDENCYPART_ARC
(8,3),-0.807377 # DEPENDENCYPART_ARC
(8,4),-0.898587 # DEPENDENCYPART_ARC
(8,5),-0.607924 # DEPENDENCYPART_ARC
(8,6),-1.37207 # DEPENDENCYPART_ARC
(8,7),3.65784 # DEPENDENCYPART_ARC
(8,9),0.139764 # DEPENDENCYPART_ARC
(8,10),-0.14073 # DEPENDENCYPART_ARC
(8,11),-0.810285 # DEPENDENCYPART_ARC
(8,12),-1.41385 # DEPENDENCYPART_ARC
(8,13),-1.42641 # DEPENDENCYPART_ARC
(8,14),-2.17857 # DEPENDENCYPART_ARC
(8,15),-1.08337 # DEPENDENCYPART_ARC
(8,16),-2.05278 # DEPENDENCYPART_ARC
(8,17),-3.01816 # DEPENDENCYPART_ARC
(8,18),-1.79902 # DEPENDENCYPART_ARC
(8,19),-1.48606 # DEPENDENCYPART_ARC
(8,20),-0.946568 # DEPENDENCYPART_ARC
(8,21),-0.677089 # DEPENDENCYPART_ARC
(8,22),-3.47182 # DEPENDENCYPART_ARC
(8,23),-1.68504 # DEPENDENCYPART_ARC
(8,24),-2.24963 # DEPENDENCYPART_ARC
(8,25),-2.3355 # DEPENDENCYPART_ARC
(8,26),-4.10888 # DEPENDENCYPART_ARC
(8,27),-0.978205 # DEPENDENCYPART_ARC
(9,1),-0.37988 # DEPENDENCYPART_ARC
(9,2),0.334652 # DEPENDENCYPART_ARC
(9,3),-0.0175924 # DEPENDENCYPART_ARC
(9,5),-0.274261 # DEPENDENCYPART_ARC
(9,6),0.00743214 # DEPENDENCYPART_ARC
(9,8),-0.00867633 # DEPENDENCYPART_ARC
(9,10),-0.154109 # DEPENDENCYPART_ARC
(9,11),-0.203393 # DEPENDENCYPART_ARC
(9,12),-0.668624 # DEPENDENCYPART_ARC
(9,13),-0.761814 # DEPENDENCYPART_ARC
(9,14),-0.692373 # DEPENDENCYPART_ARC
(9,15),-0.522486 # DEPENDENCYPART_ARC
(9,17),-1.17323 # DEPENDENCYPART_ARC
(9,19),-1.06489 # DEPENDENCYPART_ARC
(9,20),-0.470893 # DEPENDENCYPART_ARC
(9,21),0.0755692 # DEPENDENCYPART_ARC
(9,22),-1.12546 # DEPENDENCYPART_ARC
(9,23),-1.05112 # DEPENDENCYPART_ARC
(9,24),-0.70548 # DEPENDENCYPART_ARC
(9,26),-1.44625 # DEPENDENCYPART_ARC
(9,27),-0.718734 # DEPENDENCYPART_ARC
(10,1),-0.591197 # DEPENDENCYPART_ARC
(10,2),-0.825411 # DEPENDENCYPART_ARC
(10,3),-0.0843067 # DEPENDENCYPART_ARC
(10,4),0.173381 # DEPENDENCYPART_ARC
(10,5),-0.362905 # DEPENDENCYPART_ARC
(10,6),-0.351755 # DEPENDENCYPART_ARC
(10,7),0.528737 # DEPENDENCYPART_ARC
(10,8),0.073545 # DEPENDENCYPART_ARC
(10,9),1.09296 # DEPENDENCYPART_ARC
(10,11),1.19716 # DEPENDENCYPART_ARC
(10,12),-0.647579 # DEPENDENCYPART_ARC
(10,13),-1.07026 # DEPENDENCYPART_ARC
(10,14),-0.91886 # DEPENDENCYPART_ARC
(10,15),-0.536343 # DEPENDENCYPART_ARC
(10,16),-1.69415 # DEPENDENCYPART_ARC
(10,17),-1.85415 # DEPENDENCYPART_ARC
(10,18),-1.47062 # DEPENDENCYPART_ARC
(10,19),-1.52959 # DEPENDENCYPART_ARC
(10,20),-0.374894 # DEPENDENCYPART_ARC
(10,21),-0.803832 # DEPENDENCYPART_ARC
(10,22),-0.491088 # DEPENDENCYPART_ARC
(10,23),-1.3431 # DEPENDENCYPART_ARC
(10,24),-1.0266 # DEPENDENCYPART_ARC
(10,25),-1.9913 # DEPENDENCYPART_ARC
(10,26),-2.73472 # DEPENDENCYPART_ARC
(10,27),-0.760539 # DEPENDENCYPART_ARC
(11,1),-1.26979 # DEPENDENCYPART_ARC
(11,2),-0.294646 # DEPENDENCYPART_ARC
(11,3),0.283619 # DEPENDENCYPART_ARC
(11,4),-1.72563 # DEPENDENCYPART_ARC
(11,5),-1.28937 # DEPENDENCYPART_ARC
(11,6),-1.08496 # DEPENDENCYPART_ARC
(11,7),-1.7 # DEPENDENCYPART_ARC
(11,8),-1.85206 # DEPENDENCYPART_ARC
(11,9),1.99933 # DEPENDENCYPART_ARC
(11,10),1.91665 # DEPENDENCYPART_ARC
(11,12),0.942078 # DEPENDENCYPART_ARC
(11,13),-0.184167 # DEPENDENCYPART_ARC
(11,14),2.78434 # DEPENDENCYPART_ARC
(11,15),1.4015 # DEPENDENCYPART_ARC
(11,16),-1.07544 # DEPENDENCYPART_ARC
(11,17),0.391627 # DEPENDENCYPART_ARC
(11,18),-2.3598 # DEPENDENCYPART_ARC
(11,19),-1.77472 # DEPENDENCYPART_ARC
(11,20),0.8308 # DEPENDENCYPART_ARC
(11,21),0.769784 # DEPENDENCYPART_ARC
(11,22),-2.3909 # DEPENDENCYPART_ARC
(11,23),-0.956542 # DEPENDENCYPART_ARC
(11,24),-0.965857 # DEPENDENCYPART_ARC
(11,25),-1.95529 # DEPENDENCYPART_ARC
(11,26),-1.65251 # DEPENDENCYPART_ARC
(11,27),-0.00912976 # DEPENDENCYPART_ARC
(12,1),-4.42634 # DEPENDENCYPART_ARC
(12,2),-0.921216 # DEPENDENCYPART_ARC
(12,3),-0.924771 # DEPENDENCYPART_ARC
(12,4),-0.759629 # DEPENDENCYPART_ARC
(12,5),-1.53559 # DEPENDENCYPART_ARC
(12,6),-1.95558 # DEPENDENCYPART_ARC
(12,7),-0.861622 # DEPENDENCYPART_ARC
(12,8),-2.73948 # DEPENDENCYPART_ARC
(12,9),-0.676856 # DEPENDENCYPART_ARC
(12,10),-0.0783385 # DEPENDENCYPART_ARC
(12,11),-2.49144 # DEPENDENCYPART_ARC
(12,13),-0.312532 # DEPENDENCYPART_ARC
(12,14),-0.249285 # DEPENDENCYPART_ARC
(12,15),0.188125 # DEPENDENCYPART_ARC
(12,16),-1.07016 # DEPENDENCYPART_ARC
(12,17),-1.5138 # DEPENDENCYPART_ARC
(12,18),-0.99517 # DEPENDENCYPART_ARC
(12,19),-0.90314 # DEPENDENCYPART_ARC
(12,20),-0.253528 # DEPENDENCYPART_ARC
(12,21),-0.309227 # DEPENDENCYPART_ARC
(12,22),-1.44104 # DEPENDENCYPART_ARC
(12,23),-1.14225 # DEPENDENCYPART_ARC
(12,24),-0.772376 # DEPENDENCYPART_ARC
(12,25),-1.97357 # DEPENDENCYPART_ARC
(12,26),-3.00987 # DEPENDENCYPART_ARC
(12,27),-0.766431 # DEPENDENCYPART_ARC
(13,1),-4.29453 # DEPENDENCYPART_ARC
(13,2),-0.792146 # DEPENDENCYPART_ARC
(13,3),-0.869185 # DEPENDENCYPART_ARC
(13,4),-0.450244 # DEPENDENCYPART_ARC
(13,5),-1.28579 # DEPENDENCYPART_ARC
(13,6),-1.84351 # DEPENDENCYPART_ARC
(13,7),-1.0621 # DEPENDENCYPART_ARC
(13,8),-2.63351 # DEPENDENCYPART_ARC
(13,9),-0.761387 # DEPENDENCYPART_ARC
(13,10),-0.394002 # DEPENDENCYPART_ARC
(13,11),-2.89482 # DEPENDENCYPART_ARC
(13,12),1.01877 # DEPENDENCYPART_ARC
(13,14),0.28469 # DEPENDENCYPART_ARC
(13,15),0.137585 # DEPENDENCYPART_ARC
(13,16),-0.986773 # DEPENDENCYPART_ARC
(13,17),-1.35339 # DEPENDENCYPART_ARC
(13,18),-1.07564 # DEPENDENCYPART_ARC
(13,19),-0.924021 # DEPENDENCYPART_ARC
(13,20),-0.385973 # DEPENDENCYPART_ARC
(13,21),-0.37446 # DEPENDENCYPART_ARC
(13,22),-1.7189 # DEPENDENCYPART_ARC
(13,23),-1.18736 # DEPENDENCYPART_ARC
(13,24),-1.0539 # DEPENDENCYPART_ARC
(13,25),-2.05292 # DEPENDENCYPART_ARC
(13,26),-3.14771 # DEPENDENCYPART_ARC
(13,27),-0.949598 # DEPENDENCYPART_ARC
(14,1),-3.35304 # DEPENDENCYPART_ARC
(14,2),-0.953886 # DEPENDENCYPART_ARC
(14,3),-0.664544 # DEPENDENCYPART_ARC
(14,4),-1.41291 # DEPENDENCYPART_ARC
(14,5),-1.19213 # DEPENDENCYPART_ARC
(14,6),-2.37313 # DEPENDENCYPART_ARC
(14,7),-0.58702 # DEPENDENCYPART_ARC
(14,8),-1.98623 # DEPENDENCYPART_ARC
(14,9),-0.18897 # DEPENDENCYPART_ARC
(14,10),-0.373764 # DEPENDENCYPART_ARC
(14,11),-2.12469 # DEPENDENCYPART_ARC
(14,12),3.26485 # DEPENDENCYPART_ARC
(14,13),3.27645 # DEPENDENCYPART_ARC
(14,15),1.08401 # DEPENDENCYPART_ARC
(14,16),-0.376983 # DEPENDENCYPART_ARC
(14,17),-0.588942 # DEPENDENCYPART_ARC
(14,18),-0.654195 # DEPENDENCYPART_ARC
(14,19),0.2184 # DEPENDENCYPART_ARC
(14,20),-0.135486 # DEPENDENCYPART_ARC
(14,21),0.250557 # DEPENDENCYPART_ARC
(14,22),-1.1367 # DEPENDENCYPART_ARC
(14,23),-1.1074 # DEPENDENCYPART_ARC
(14,24),-1.30898 # DEPENDENCYPART_ARC
(14,25),-1.87379 # DEPENDENCYPART_ARC
(14,26),-3.42991 # DEPENDENCYPART_ARC
(14,27),-0.535236 # DEPENDENCYPART_ARC
(15,1),-1.6274 # DEPENDENCYPART_ARC
(15,2),-1.56403 # DEPENDENCYPART_ARC
(15,3),-1.06322 # DEPENDENCYPART_ARC
(15,4),-1.41984 # DEPENDENCYPART_ARC
(15,5),-1.8404 # DEPENDENCYPART_ARC
(15,6),-1.93994 # DEPENDENCYPART_ARC
(15,7),-1.30447 # DEPENDENCYPART_ARC
(15,8),-1.87904 # DEPENDENCYPART_ARC
(15,9),-0.750881 # DEPENDENCYPART_ARC
(15,10),-0.971275 # DEPENDENCYPART_ARC
(15,11),-1.13456 # DEPENDENCYPART_ARC
(15,12),-1.00993 # DEPENDENCYPART_ARC
(15,13),-0.563307 # DEPENDENCYPART_ARC
(15,14),-0.921971 # DEPENDENCYPART_ARC
(15,16),0.13107 # DEPENDENCYPART_ARC
(15,17),2.36565 # DEPENDENCYPART_ARC
(15,18),-0.826596 # DEPENDENCYPART_ARC
(15,19),0.54281 # DEPENDENCYPART_ARC
(15,20),-0.144342 # DEPENDENCYPART_ARC
(15,21),-0.390689 # DEPENDENCYPART_ARC
(15,22),-1.24304 # DEPENDENCYPART_ARC
(15,23),-1.20997 # DEPENDENCYPART_ARC
(15,24),-1.1662 # DEPENDENCYPART_ARC
(15,25),-1.9627 # DEPENDENCYPART_ARC
(15,26),-1.92688 # DEPENDENCYPART_ARC
(15,27),-1.16954 # DEPENDENCYPART_ARC
(16,6),-3.22183 # DEPENDENCYPART_ARC
(16,8),-3.05931 # DEPENDENCYPART_ARC
(16,10),-1.98884 # DEPENDENCYPART_ARC
(16,14),-1.723 # DEPENDENCYPART_ARC
(16,17),-0.00398141 # DEPENDENCYPART_ARC
(16,19),-0.597816 # DEPENDENCYPART_ARC
(16,21),-0.34344 # DEPENDENCYPART_ARC
(16,23),-1.21513 # DEPENDENCYPART_ARC
(16,26),-2.18155 # DEPENDENCYPART_ARC
(17,1),-4.02555 # DEPENDENCYPART_ARC
(17,2),-1.97401 # DEPENDENCYPART_ARC
(17,3),-1.57244 # DEPENDENCYPART_ARC
(17,4),-3.34685 # DEPENDENCYPART_ARC
(17,5),-2.967 # DEPENDENCYPART_ARC
(17,6),-3.55855 # DEPENDENCYPART_ARC
(17,7),-1.90227 # DEPENDENCYPART_ARC
(17,8),-2.98545 # DEPENDENCYPART_ARC
(17,9),-1.37375 # DEPENDENCYPART_ARC
(17,10),-1.5848 # DEPENDENCYPART_ARC
(17,11),-3.47281 # DEPENDENCYPART_ARC
(17,12),0.0126469 # DEPENDENCYPART_ARC
(17,13),-0.0543832 # DEPENDENCYPART_ARC
(17,14),-0.894674 # DEPENDENCYPART_ARC
(17,15),0.0300111 # DEPENDENCYPART_ARC
(17,16),3.30782 # DEPENDENCYPART_ARC
(17,18),0.613136 # DEPENDENCYPART_ARC
(17,19),2.69897 # DEPENDENCYPART_ARC
(17,20),0.262633 # DEPENDENCYPART_ARC
(17,21),0.0957982 # DEPENDENCYPART_ARC
(17,22),-0.617689 # DEPENDENCYPART_ARC
(17,23),-0.649362 # DEPENDENCYPART_ARC
(17,24),-1.28176 # DEPENDENCYPART_ARC
(17,25),-1.47904 # DEPENDENCYPART_ARC
(17,26),-2.08573 # DEPENDENCYPART_ARC
(17,27),-0.351402 # DEPENDENCYPART_ARC
(18,6),-3.22678 # DEPENDENCYPART_ARC
(18,8),-2.5253 # DEPENDENCYPART_ARC
(18,10),-1.56952 # DEPENDENCYPART_ARC
(18,14),-2.18819 # DEPENDENCYPART_ARC
(18,17),-1.2783 # DEPENDENCYPART_ARC
(18,19),0.297897 # DEPENDENCYPART_ARC
(18,21),-0.0950003 # DEPENDENCYPART_ARC
(18,23),-1.30341 # DEPENDENCYPART_ARC
(18,26),-2.31228 # DEPENDENCYPART_ARC
(19,1),-3.13774 # DEPENDENCYPART_ARC
(19,2),-2.37727 # DEPENDENCYPART_ARC
(19,3),-1.28991 # DEPENDENCYPART_ARC
(19,4),-4.897 # DEPENDENCYPART_ARC
(19,5),-4.08693 # DEPENDENCYPART_ARC
(19,6),-4.91456 # DEPENDENCYPART_ARC
(19,7),-1.99039 # DEPENDENCYPART_ARC
(19,8),-3.30777 # DEPENDENCYPART_ARC
(19,9),-1.15508 # DEPENDENCYPART_ARC
(19,10),-1.45128 # DEPENDENCYPART_ARC
(19,11),-2.61899 # DEPENDENCYPART_ARC
(19,12),-1.88336 # DEPENDENCYPART_ARC
(19,13),-1.99992 # DEPENDENCYPART_ARC
(19,14),-2.64776 # DEPENDENCYPART_ARC
(19,15),-0.625869 # DEPENDENCYPART_ARC
(19,16),-0.0428398 # DEPENDENCYPART_ARC
(19,17),-1.12722 # DEPENDENCYPART_ARC
(19,18),3.34332 # DEPENDENCYPART_ARC
(19,20),0.0506413 # DEPENDENCYPART_ARC
(19,21),0.0759194 # DEPENDENCYPART_ARC
(19,22),-1.02634 # DEPENDENCYPART_ARC
(19,23),-1.11814 # DEPENDENCYPART_ARC
(19,24),-1.64403 # DEPENDENCYPART_ARC
(19,25),-1.84772 # DEPENDENCYPART_ARC
(19,26),-2.3983 # DEPENDENCYPART_ARC
(19,27),-1.1012 # DEPENDENCYPART_ARC
(20,1),-0.769245 # DEPENDENCYPART_ARC
(20,2),0.238351 # DEPENDENCYPART_ARC
(20,3),-0.512698 # DEPENDENCYPART_ARC
(20,5),-0.940342 # DEPENDENCYPART_ARC
(20,6),-1.02332 # DEPENDENCYPART_ARC
(20,8),-1.14609 # DEPENDENCYPART_ARC
(20,9),-0.867921 # DEPENDENCYPART_ARC
(20,10),-0.809426 # DEPENDENCYPART_ARC
(20,11),-0.550594 # DEPENDENCYPART_ARC
(20,12),-0.588586 # DEPENDENCYPART_ARC
(20,13),-0.507353 # DEPENDENCYPART_ARC
(20,14),-0.402686 # DEPENDENCYPART_ARC
(20,15),-0.133593 # DEPENDENCYPART_ARC
(20,17),-0.179224 # DEPENDENCYPART_ARC
(20,19),-0.0507187 # DEPENDENCYPART_ARC
(20,21),0.137371 # DEPENDENCYPART_ARC
(20,22),-0.187758 # DEPENDENCYPART_ARC
(20,23),-0.783188 # DEPENDENCYPART_ARC
(20,24),-0.758921 # DEPENDENCYPART_ARC
(20,26),-1.03965 # DEPENDENCYPART_ARC
(20,27),-0.463452 # DEPENDENCYPART_ARC
(21,1),2.48942 # DEPENDENCYPART_ARC
(21,2),-0.0275217 # DEPENDENCYPART_ARC
(21,3),-1.13883 # DEPENDENCYPART_ARC
(21,4),-0.775983 # DEPENDENCYPART_ARC
(21,5),-0.781995 # DEPENDENCYPART_ARC
(21,6),-0.452759 # DEPENDENCYPART_ARC
(21,7),-0.264761 # DEPENDENCYPART_ARC
(21,8),-0.368508 # DEPENDENCYPART_ARC
(21,9),-0.0109228 # DEPENDENCYPART_ARC
(21,10),0.717528 # DEPENDENCYPART_ARC
(21,11),2.47831 # DEPENDENCYPART_ARC
(21,12),-0.144551 # DEPENDENCYPART_ARC
(21,13),-0.0997941 # DEPENDENCYPART_ARC
(21,14),-0.0113564 # DEPENDENCYPART_ARC
(21,15),0.32765 # DEPENDENCYPART_ARC
(21,16),0.284519 # DEPENDENCYPART_ARC
(21,17),0.542473 # DEPENDENCYPART_ARC
(21,18),0.590415 # DEPENDENCYPART_ARC
(21,19),0.517981 # DEPENDENCYPART_ARC
(21,20),2.01476 # DEPENDENCYPART_ARC
(21,22),3.00063 # DEPENDENCYPART_ARC
(21,23),-0.0718693 # DEPENDENCYPART_ARC
(21,24),-0.199571 # DEPENDENCYPART_ARC
(21,25),-1.05855 # DEPENDENCYPART_ARC
(21,26),-0.78483 # DEPENDENCYPART_ARC
(21,27),0.456356 # DEPENDENCYPART_ARC
(22,1),-2.78434 # DEPENDENCYPART_ARC
(22,2),-1.31045 # DEPENDENCYPART_ARC
(22,3),-1.30554 # DEPENDENCYPART_ARC
(22,4),-2.91051 # DEPENDENCYPART_ARC
(22,5),-2.83601 # DEPENDENCYPART_ARC
(22,6),-2.48579 # DEPENDENCYPART_ARC
(22,7),-3.30554 # DEPENDENCYPART_ARC
(22,8),-3.56146 # DEPENDENCYPART_ARC
(22,9),-0.447681 # DEPENDENCYPART_ARC
(22,10),-0.647311 # DEPENDENCYPART_ARC
(22,11),-1.89824 # DEPENDENCYPART_ARC
(22,12),-1.83562 # DEPENDENCYPART_ARC
(22,13),-1.59354 # DEPENDENCYPART_ARC
(22,14),-1.74847 # DEPENDENCYPART_ARC
(22,15),-0.548379 # DEPENDENCYPART_ARC
(22,16),-1.75078 # DEPENDENCYPART_ARC
(22,17),-1.06283 # DEPENDENCYPART_ARC
(22,18),-1.8815 # DEPENDENCYPART_ARC
(22,19),-2.07988 # DEPENDENCYPART_ARC
(22,20),0.541819 # DEPENDENCYPART_ARC
(22,21),0.680413 # DEPENDENCYPART_ARC
(22,23),1.65757 # DEPENDENCYPART_ARC
(22,24),1.46647 # DEPENDENCYPART_ARC
