# _root_ Πιστεύω ότι το ένταλμα για το οποίο εργαζόμαστε μπορεί να είναι , τουλάχιστον , πρακτικό και να μας οδηγήσει σε θετικά αποτελέσματα .
#goldHeads=0,1,4,16,8,7,5,4,2,11,16,13,11,13,11,9,19,19,16,19,22,20,0,
#predictedHeads=0,1,4,9,4,7,5,2,2,11,9,13,11,16,16,9,19,19,16,19,22,20,0,
(6,15),-2.53366 # DEPENDENCYPART_ARC
(6,16),-0.635059 # DEPENDENCYPART_ARC
(6,17),-1.46874 # DEPENDENCYPART_ARC
(6,18),-2.83587 # DEPENDENCYPART_ARC
(6,19),-3.32376 # DEPENDENCYPART_ARC
(6,20),-1.14782 # DEPENDENCYPART_ARC
(6,21),-2.64551 # DEPENDENCYPART_ARC
(6,22),-1.93205 # DEPENDENCYPART_ARC
(6,23),-0.920106 # DEPENDENCYPART_ARC
(7,1),-2.25631 # DEPENDENCYPART_ARC
(7,2),-0.15396 # DEPENDENCYPART_ARC
(7,3),0.717622 # DEPENDENCYPART_ARC
(7,4),-1.09441 # DEPENDENCYPART_ARC
(7,5),0.264308 # DEPENDENCYPART_ARC
(7,6),2.78041 # DEPENDENCYPART_ARC
(7,8),-0.723782 # DEPENDENCYPART_ARC
(7,9),-1.51568 # DEPENDENCYPART_ARC
(7,10),-1.4239 # DEPENDENCYPART_ARC
(7,11),-2.41434 # DEPENDENCYPART_ARC
(7,12),-1.55121 # DEPENDENCYPART_ARC
(7,13),-1.80033 # DEPENDENCYPART_ARC
(7,14),-1.47586 # DEPENDENCYPART_ARC
(7,15),-1.9199 # DEPENDENCYPART_ARC
(7,16),-1.67187 # DEPENDENCYPART_ARC
(7,17),-2.00002 # DEPENDENCYPART_ARC
(7,18),-2.28647 # DEPENDENCYPART_ARC
(7,19),-2.33609 # DEPENDENCYPART_ARC
(7,20),-1.96415 # DEPENDENCYPART_ARC
(7,21),-1.7897 # DEPENDENCYPART_ARC
(7,22),-2.59048 # DEPENDENCYPART_ARC
(7,23),-1.77937 # DEPENDENCYPART_ARC
(8,1),-3.84116 # DEPENDENCYPART_ARC
(8,2),-0.659052 # DEPENDENCYPART_ARC
(8,3),-0.643445 # DEPENDENCYPART_ARC
(8,4),-0.734153 # DEPENDENCYPART_ARC
(8,5),0.896782 # DEPENDENCYPART_ARC
(8,6),0.145188 # DEPENDENCYPART_ARC
(8,7),1.89507 # DEPENDENCYPART_ARC
(8,9),-1.47449 # DEPENDENCYPART_ARC
(8,10),-0.274767 # DEPENDENCYPART_ARC
(8,11),-3.03351 # DEPENDENCYPART_ARC
(8,12),0.182291 # DEPENDENCYPART_ARC
(8,13),-0.390615 # DEPENDENCYPART_ARC
(8,14),0.0883467 # DEPENDENCYPART_ARC
(8,15),-1.87739 # DEPENDENCYPART_ARC
(8,16),-0.540631 # DEPENDENCYPART_ARC
(8,17),-1.30265 # DEPENDENCYPART_ARC
(8,18),-3.34237 # DEPENDENCYPART_ARC
(8,19),-3.22644 # DEPENDENCYPART_ARC
(8,20),-1.36726 # DEPENDENCYPART_ARC
(8,21),-2.81221 # DEPENDENCYPART_ARC
(8,22),-2.39995 # DEPENDENCYPART_ARC
(8,23),-0.0414688 # DEPENDENCYPART_ARC
(9,1),-2.80935 # DEPENDENCYPART_ARC
(9,2),-0.24463 # DEPENDENCYPART_ARC
(9,3),-0.904749 # DEPENDENCYPART_ARC
(9,4),1.57903 # DEPENDENCYPART_ARC
(9,5),0.86283 # DEPENDENCYPART_ARC
(9,6),-0.1814 # DEPENDENCYPART_ARC
(9,7),1.87981 # DEPENDENCYPART_ARC
(9,8),0.15152 # DEPENDENCYPART_ARC
(9,10),1.1547 # DEPENDENCYPART_ARC
(9,11),2.83631 # DEPENDENCYPART_ARC
(9,12),0.657517 # DEPENDENCYPART_ARC
(9,13),0.388016 # DEPENDENCYPART_ARC
(9,14),0.25584 # DEPENDENCYPART_ARC
(9,15),-1.56733 # DEPENDENCYPART_ARC
(9,16),0.280997 # DEPENDENCYPART_ARC
(9,17),-0.612364 # DEPENDENCYPART_ARC
(9,18),-3.01119 # DEPENDENCYPART_ARC
(9,19),-0.0948303 # DEPENDENCYPART_ARC
(9,20),-0.733117 # DEPENDENCYPART_ARC
(9,21),-2.58936 # DEPENDENCYPART_ARC
(9,22),-1.67902 # DEPENDENCYPART_ARC
(9,23),0.316357 # DEPENDENCYPART_ARC
(10,1),-1.87427 # DEPENDENCYPART_ARC
(10,2),-1.38592 # DEPENDENCYPART_ARC
(10,3),-1.30891 # DEPENDENCYPART_ARC
(10,4),-1.8076 # DEPENDENCYPART_ARC
(10,5),-1.29816 # DEPENDENCYPART_ARC
(10,6),-1.00905 # DEPENDENCYPART_ARC
(10,7),-1.32082 # DEPENDENCYPART_ARC
(10,8),-1.05246 # DEPENDENCYPART_ARC
(10,9),-0.47769 # DEPENDENCYPART_ARC
(10,11),0.123571 # DEPENDENCYPART_ARC
(10,12),-0.598757 # DEPENDENCYPART_ARC
(10,13),-0.972929 # DEPENDENCYPART_ARC
(10,14),-0.742437 # DEPENDENCYPART_ARC
(10,15),-1.36984 # DEPENDENCYPART_ARC
(10,16),-0.892783 # DEPENDENCYPART_ARC
(10,17),-1.51662 # DEPENDENCYPART_ARC
(10,18),-1.96452 # DEPENDENCYPART_ARC
(10,19),-1.62206 # DEPENDENCYPART_ARC
(10,20),-1.38443 # DEPENDENCYPART_ARC
(10,21),-1.81969 # DEPENDENCYPART_ARC
(10,22),-1.80619 # DEPENDENCYPART_ARC
(10,23),-1.0267 # DEPENDENCYPART_ARC
(11,1),-3.93814 # DEPENDENCYPART_ARC
(11,2),-0.549919 # DEPENDENCYPART_ARC
(11,3),-1.2107 # DEPENDENCYPART_ARC
(11,4),1.30502 # DEPENDENCYPART_ARC
(11,5),0.13313 # DEPENDENCYPART_ARC
(11,6),-0.678398 # DEPENDENCYPART_ARC
(11,7),1.42119 # DEPENDENCYPART_ARC
(11,8),-2.90503 # DEPENDENCYPART_ARC
(11,9),-1.24218 # DEPENDENCYPART_ARC
(11,10),2.69321 # DEPENDENCYPART_ARC
(11,12),0.931459 # DEPENDENCYPART_ARC
(11,13),1.44811 # DEPENDENCYPART_ARC
(11,14),0.691571 # DEPENDENCYPART_ARC
(11,15),-0.338463 # DEPENDENCYPART_ARC
(11,16),0.219255 # DEPENDENCYPART_ARC
(11,17),-0.454935 # DEPENDENCYPART_ARC
(11,18),-3.21455 # DEPENDENCYPART_ARC
(11,19),-0.639315 # DEPENDENCYPART_ARC
(11,20),-0.989708 # DEPENDENCYPART_ARC
(11,21),-2.59195 # DEPENDENCYPART_ARC
(11,22),-1.44696 # DEPENDENCYPART_ARC
(11,23),-0.278013 # DEPENDENCYPART_ARC
(12,1),-0.0310121 # DEPENDENCYPART_ARC
(12,2),-0.87621 # DEPENDENCYPART_ARC
(12,3),-1.01895 # DEPENDENCYPART_ARC
(12,4),-1.53352 # DEPENDENCYPART_ARC
(12,5),-0.470452 # DEPENDENCYPART_ARC
(12,6),-0.954564 # DEPENDENCYPART_ARC
(12,7),-0.940376 # DEPENDENCYPART_ARC
(12,8),-0.638882 # DEPENDENCYPART_ARC
(12,9),-0.420721 # DEPENDENCYPART_ARC
(12,10),0.296218 # DEPENDENCYPART_ARC
(12,11),-0.0947478 # DEPENDENCYPART_ARC
(12,13),-0.0083154 # DEPENDENCYPART_ARC
(12,14),0.184854 # DEPENDENCYPART_ARC
(12,15),0.0614823 # DEPENDENCYPART_ARC
(12,16),-0.0986964 # DEPENDENCYPART_ARC
(12,17),-0.651006 # DEPENDENCYPART_ARC
(12,18),-1.20134 # DEPENDENCYPART_ARC
(12,19),-0.487302 # DEPENDENCYPART_ARC
(12,20),-0.943477 # DEPENDENCYPART_ARC
(12,21),-0.882622 # DEPENDENCYPART_ARC
(12,22),-1.38748 # DEPENDENCYPART_ARC
(12,23),-0.394696 # DEPENDENCYPART_ARC
(13,1),-0.76881 # DEPENDENCYPART_ARC
(13,2),-0.428665 # DEPENDENCYPART_ARC
(13,3),-0.614563 # DEPENDENCYPART_ARC
(13,4),-0.682249 # DEPENDENCYPART_ARC
(13,5),-0.160534 # DEPENDENCYPART_ARC
(13,6),-0.474261 # DEPENDENCYPART_ARC
(13,7),-1.05612 # DEPENDENCYPART_ARC
(13,8),-0.769981 # DEPENDENCYPART_ARC
(13,9),-0.478526 # DEPENDENCYPART_ARC
(13,10),0.231936 # DEPENDENCYPART_ARC
(13,11),-0.00512285 # DEPENDENCYPART_ARC
(13,12),1.53131 # DEPENDENCYPART_ARC
(13,14),1.00807 # DEPENDENCYPART_ARC
(13,15),0.142036 # DEPENDENCYPART_ARC
(13,16),0.144831 # DEPENDENCYPART_ARC
(13,17),-0.751238 # DEPENDENCYPART_ARC
(13,18),0.804886 # DEPENDENCYPART_ARC
(13,19),-0.566398 # DEPENDENCYPART_ARC
(13,20),-1.03986 # DEPENDENCYPART_ARC
(13,21),-1.27462 # DEPENDENCYPART_ARC
(13,22),-1.8471 # DEPENDENCYPART_ARC
(13,23),-0.526743 # DEPENDENCYPART_ARC
(14,1),0.510181 # DEPENDENCYPART_ARC
(14,2),-0.323428 # DEPENDENCYPART_ARC
(14,3),-0.510872 # DEPENDENCYPART_ARC
(14,4),-0.885694 # DEPENDENCYPART_ARC
(14,5),0.431263 # DEPENDENCYPART_ARC
(14,6),-0.405694 # DEPENDENCYPART_ARC
(14,7),-0.218359 # DEPENDENCYPART_ARC
(14,8),0.0266861 # DEPENDENCYPART_ARC
(14,9),-0.0923452 # DEPENDENCYPART_ARC
(14,10),0.628413 # DEPENDENCYPART_ARC
(14,11),0.210733 # DEPENDENCYPART_ARC
(14,12),0.516281 # DEPENDENCYPART_ARC
(14,13),0.596193 # DEPENDENCYPART_ARC
(14,15),0.502257 # DEPENDENCYPART_ARC
(14,16),-0.00293084 # DEPENDENCYPART_ARC
(14,17),-0.292448 # DEPENDENCYPART_ARC
(14,18),-1.0141 # DEPENDENCYPART_ARC
(14,19),-0.316762 # DEPENDENCYPART_ARC
(14,20),-0.847261 # DEPENDENCYPART_ARC
(14,21),-0.811158 # DEPENDENCYPART_ARC
(14,22),-1.45505 # DEPENDENCYPART_ARC
(14,23),-0.231245 # DEPENDENCYPART_ARC
(15,1),-5.7319 # DEPENDENCYPART_ARC
(15,2),-0.850312 # DEPENDENCYPART_ARC
(15,3),-0.868729 # DEPENDENCYPART_ARC
(15,4),-0.9961 # DEPENDENCYPART_ARC
(15,5),-0.838392 # DEPENDENCYPART_ARC
(15,6),-0.605682 # DEPENDENCYPART_ARC
(15,7),-0.964752 # DEPENDENCYPART_ARC
(15,8),-4.39949 # DEPENDENCYPART_ARC
(15,9),-5.51858 # DEPENDENCYPART_ARC
(15,10),-0.359828 # DEPENDENCYPART_ARC
(15,11),-4.68639 # DEPENDENCYPART_ARC
(15,12),-0.0737059 # DEPENDENCYPART_ARC
(15,13),0.753251 # DEPENDENCYPART_ARC
(15,14),0.805825 # DEPENDENCYPART_ARC
(15,16),0.558917 # DEPENDENCYPART_ARC
(15,17),0.0462825 # DEPENDENCYPART_ARC
(15,18),-0.0458941 # DEPENDENCYPART_ARC
(15,19),-0.65102 # DEPENDENCYPART_ARC
(15,20),-0.613475 # DEPENDENCYPART_ARC
(15,21),-1.31902 # DEPENDENCYPART_ARC
(15,22),-1.51762 # DEPENDENCYPART_ARC
(15,23),-0.419712 # DEPENDENCYPART_ARC
(16,1),-0.0453211 # DEPENDENCYPART_ARC
(16,2),-0.0870499 # DEPENDENCYPART_ARC
(16,3),-0.415309 # DEPENDENCYPART_ARC
(16,4),-0.492012 # DEPENDENCYPART_ARC
(16,5),-0.400627 # DEPENDENCYPART_ARC
(16,6),-0.386779 # DEPENDENCYPART_ARC
(16,7),0.583759 # DEPENDENCYPART_ARC
(16,8),-0.0683521 # DEPENDENCYPART_ARC
(16,9),0.125587 # DEPENDENCYPART_ARC
(16,10),0.54856 # DEPENDENCYPART_ARC
(16,11),1.06997 # DEPENDENCYPART_ARC
(16,12),0.603284 # DEPENDENCYPART_ARC
(16,13),0.762498 # DEPENDENCYPART_ARC
(16,14),1.34498 # DEPENDENCYPART_ARC
(16,15),1.7142 # DEPENDENCYPART_ARC
(16,17),1.15947 # DEPENDENCYPART_ARC
(16,18),1.17073 # DEPENDENCYPART_ARC
(16,19),1.95107 # DEPENDENCYPART_ARC
(16,20),0.74005 # DEPENDENCYPART_ARC
(16,21),0.978761 # DEPENDENCYPART_ARC
(16,22),-0.398187 # DEPENDENCYPART_ARC
(16,23),0.920842 # DEPENDENCYPART_ARC
(17,1),-1.86104 # DEPENDENCYPART_ARC
(17,2),-1.38731 # DEPENDENCYPART_ARC
(17,3),-1.39865 # DEPENDENCYPART_ARC
(17,4),-1.96328 # DEPENDENCYPART_ARC
(17,5),-1.4188 # DEPENDENCYPART_ARC
(17,6),-1.33233 # DEPENDENCYPART_ARC
(17,7),-1.80427 # DEPENDENCYPART_ARC
(17,8),-1.7103 # DEPENDENCYPART_ARC
(17,9),-1.70758 # DEPENDENCYPART_ARC
(17,10),-1.23529 # DEPENDENCYPART_ARC
(17,11),-1.42166 # DEPENDENCYPART_ARC
(17,12),-0.940183 # DEPENDENCYPART_ARC
(17,13),-0.969867 # DEPENDENCYPART_ARC
(17,14),-0.630022 # DEPENDENCYPART_ARC
(17,15),-0.56974 # DEPENDENCYPART_ARC
(17,16),-0.0166778 # DEPENDENCYPART_ARC
(17,18),0.341635 # DEPENDENCYPART_ARC
(17,19),0.161712 # DEPENDENCYPART_ARC
(17,20),-0.537964 # DEPENDENCYPART_ARC
(17,21),-0.878689 # DEPENDENCYPART_ARC
(17,22),-0.855838 # DEPENDENCYPART_ARC
(17,23),-0.293352 # DEPENDENCYPART_ARC
(18,1),-3.72981 # DEPENDENCYPART_ARC
(18,2),-1.60255 # DEPENDENCYPART_ARC
(18,3),-2.7932 # DEPENDENCYPART_ARC
(18,4),-3.39086 # DEPENDENCYPART_ARC
(18,5),-1.82093 # DEPENDENCYPART_ARC
(18,6),-2.29937 # DEPENDENCYPART_ARC
(18,7),-2.67742 # DEPENDENCYPART_ARC
(18,8),-3.67923 # DEPENDENCYPART_ARC
(18,9),-3.29125 # DEPENDENCYPART_ARC
(18,10),-1.62358 # DEPENDENCYPART_ARC
(18,11),-2.99915 # DEPENDENCYPART_ARC
(18,12),-1.19156 # DEPENDENCYPART_ARC
(18,13),-1.61124 # DEPENDENCYPART_ARC
(18,14),-1.02088 # DEPENDENCYPART_ARC
(18,15),-1.60556 # DEPENDENCYPART_ARC
(18,16),-0.481297 # DEPENDENCYPART_ARC
(18,17),-0.0435964 # DEPENDENCYPART_ARC
(18,19),-2.60137 # DEPENDENCYPART_ARC
(18,20),-0.662553 # DEPENDENCYPART_ARC
(18,21),-0.929946 # DEPENDENCYPART_ARC
(18,22),-0.98711 # DEPENDENCYPART_ARC
(18,23),-1.02526 # DEPENDENCYPART_ARC
(19,1),-3.146 # DEPENDENCYPART_ARC
(19,2),-0.474818 # DEPENDENCYPART_ARC
(19,3),-1.01748 # DEPENDENCYPART_ARC
(19,4),0.224025 # DEPENDENCYPART_ARC
(19,5),-0.0109787 # DEPENDENCYPART_ARC
(19,6),-0.941576 # DEPENDENCYPART_ARC
(19,7),1.32641 # DEPENDENCYPART_ARC
(19,8),-2.73056 # DEPENDENCYPART_ARC
(19,9),-2.29546 # DEPENDENCYPART_ARC
(19,10),0.848743 # DEPENDENCYPART_ARC
(19,11),-2.70165 # DEPENDENCYPART_ARC
(19,12),0.776893 # DEPENDENCYPART_ARC
(19,13),0.391228 # DEPENDENCYPART_ARC
(19,14),0.9178 # DEPENDENCYPART_ARC
(19,15),-1.26932 # DEPENDENCYPART_ARC
(19,16),0.694132 # DEPENDENCYPART_ARC
(19,17),2.57228 # DEPENDENCYPART_ARC
(19,18),2.95571 # DEPENDENCYPART_ARC
(19,20),2.31174 # DEPENDENCYPART_ARC
(19,21),-0.683469 # DEPENDENCYPART_ARC
(19,22),0.682206 # DEPENDENCYPART_ARC
(19,23),0.540685 # DEPENDENCYPART_ARC
(20,1),-1.42916 # DEPENDENCYPART_ARC
(20,2),-0.780994 # DEPENDENCYPART_ARC
(20,3),-1.23092 # DEPENDENCYPART_ARC
(20,4),-1.82495 # DEPENDENCYPART_ARC
(20,5),-1.01784 # DEPENDENCYPART_ARC
(20,6),-1.22545 # DEPENDENCYPART_ARC
(20,7),-1.47248 # DEPENDENCYPART_ARC
(20,8),-1.48195 # DEPENDENCYPART_ARC
(20,9),-1.43398 # DEPENDENCYPART_ARC
(20,10),-1.04368 # DEPENDENCYPART_ARC
(20,11),-1.28654 # DEPENDENCYPART_ARC
(20,12),-0.476259 # DEPENDENCYPART_ARC
(20,13),-0.70701 # DEPENDENCYPART_ARC
(20,14),-0.553613 # DEPENDENCYPART_ARC
(20,15),-1.07099 # DEPENDENCYPART_ARC
(20,16),-0.146872 # DEPENDENCYPART_ARC
(20,17),-0.386322 # DEPENDENCYPART_ARC
(20,18),-0.368713 # DEPENDENCYPART_ARC
(20,19),0.0155521 # DEPENDENCYPART_ARC
(20,21),1.4592 # DEPENDENCYPART_ARC
(20,22),2.96299 # DEPENDENCYPART_ARC
(20,23),0.512458 # DEPENDENCYPART_ARC
(21,1),-5.89822 # DEPENDENCYPART_ARC
(21,2),-1.6026 # DEPENDENCYPART_ARC
(21,3),-2.6629 # DEPENDENCYPART_ARC
(21,4),-2.12159 # DEPENDENCYPART_ARC
(21,5),-1.81336 # DEPENDENCYPART_ARC
(21,6),-2.59176 # DEPENDENCYPART_ARC
(21,7),-3.0194 # DEPENDENCYPART_ARC
(21,8),-4.78469 # DEPENDENCYPART_ARC
(21,9),-6.00903 # DEPENDENCYPART_ARC
(21,10),-1.66811 # DEPENDENCYPART_ARC
(21,11),-5.49403 # DEPENDENCYPART_ARC
(21,12),-1.60688 # DEPENDENCYPART_ARC
(21,13),-1.51043 # DEPENDENCYPART_ARC
(21,14),-1.60247 # DEPENDENCYPART_ARC
(21,15),-1.84257 # DEPENDENCYPART_ARC
(21,16),-1.19414 # DEPENDENCYPART_ARC
(21,17),-1.12165 # DEPENDENCYPART_ARC
(21,18),-2.19895 # DEPENDENCYPART_ARC
(21,19),-3.99735 # DEPENDENCYPART_ARC
(21,20),-0.0714207 # DEPENDENCYPART_ARC
(21,22),0.628187 # DEPENDENCYPART_ARC
(21,23),-0.0595865 # DEPENDENCYPART_ARC
(22,1),-2.51357 # DEPENDENCYPART_ARC
(22,2),-1.10596 # DEPENDENCYPART_ARC
(22,3),-2.93067 # DEPENDENCYPART_ARC
(22,4),-2.88379 # DEPENDENCYPART_ARC
(22,5),-0.853469 # DEPENDENCYPART_ARC
(22,6),-1.8352 # DEPENDENCYPART_ARC
(22,7),-2.62789 # DEPENDENCYPART_ARC
(22,8),-1.79895 # DEPENDENCYPART_ARC
(22,9),-2.98693 # DEPENDENCYPART_ARC
(22,10),-0.738084 # DEPENDENCYPART_ARC
(22,11),-2.17581 # DEPENDENCYPART_ARC
(22,12),-0.309019 # DEPENDENCYPART_ARC
(22,13),-0.744035 # DEPENDENCYPART_ARC
(22,14),-0.313274 # DEPENDENCYPART_ARC
(22,15),-1.41376 # DEPENDENCYPART_ARC
(22,16),0.317334 # DEPENDENCYPART_ARC
(22,17),-0.00529037 # DEPENDENCYPART_ARC
(22,18),-1.21761 # DEPENDENCYPART_ARC
(22,19),-1.82489 # DEPENDENCYPART_ARC
(22,20),0.779196 # DEPENDENCYPART_ARC
(22,21),3.8242 # DEPENDENCYPART_ARC
