# _root_ Λυπάμαι πολύ , κύριε Ύπατε Εκπρόσωπε , που δεν μπορώ να συμμεριστώ ούτε καν τη μετριασμένη αισιοδοξία σας .
#goldHeads=0,1,6,6,6,1,6,1,10,8,12,10,12,12,17,17,12,17,0,
#predictedHeads=0,1,1,6,6,1,10,10,10,0,12,10,12,12,17,17,12,17,0,
(3,16),-1.15122 # DEPENDENCYPART_ARC
(3,17),-1.68681 # DEPENDENCYPART_ARC
(3,18),-1.7995 # DEPENDENCYPART_ARC
(3,19),-0.656812 # DEPENDENCYPART_ARC
(4,1),-1.27579 # DEPENDENCYPART_ARC
(4,2),0.250153 # DEPENDENCYPART_ARC
(4,3),0.486549 # DEPENDENCYPART_ARC
(4,5),0.459317 # DEPENDENCYPART_ARC
(4,6),0.257974 # DEPENDENCYPART_ARC
(4,7),0.586968 # DEPENDENCYPART_ARC
(4,8),-1.42621 # DEPENDENCYPART_ARC
(4,9),-0.393152 # DEPENDENCYPART_ARC
(4,10),-1.46087 # DEPENDENCYPART_ARC
(4,11),-0.994504 # DEPENDENCYPART_ARC
(4,12),-2.61479 # DEPENDENCYPART_ARC
(4,13),-0.435854 # DEPENDENCYPART_ARC
(4,14),-0.783392 # DEPENDENCYPART_ARC
(4,15),-1.81007 # DEPENDENCYPART_ARC
(4,16),-2.10105 # DEPENDENCYPART_ARC
(4,17),-2.4713 # DEPENDENCYPART_ARC
(4,18),-1.29944 # DEPENDENCYPART_ARC
(4,19),-0.211326 # DEPENDENCYPART_ARC
(5,1),-2.55867 # DEPENDENCYPART_ARC
(5,2),0.237554 # DEPENDENCYPART_ARC
(5,3),0.400689 # DEPENDENCYPART_ARC
(5,4),0.979251 # DEPENDENCYPART_ARC
(5,6),0.498303 # DEPENDENCYPART_ARC
(5,7),-0.0819499 # DEPENDENCYPART_ARC
(5,8),-1.12912 # DEPENDENCYPART_ARC
(5,9),-0.52956 # DEPENDENCYPART_ARC
(5,10),-1.69345 # DEPENDENCYPART_ARC
(5,11),-1.14795 # DEPENDENCYPART_ARC
(5,12),-2.50272 # DEPENDENCYPART_ARC
(5,13),-0.711729 # DEPENDENCYPART_ARC
(5,14),-1.09311 # DEPENDENCYPART_ARC
(5,15),-2.09464 # DEPENDENCYPART_ARC
(5,16),-3.06994 # DEPENDENCYPART_ARC
(5,17),-2.27442 # DEPENDENCYPART_ARC
(5,18),-1.87006 # DEPENDENCYPART_ARC
(5,19),-0.874825 # DEPENDENCYPART_ARC
(6,1),-0.614495 # DEPENDENCYPART_ARC
(6,2),0.267197 # DEPENDENCYPART_ARC
(6,3),0.683442 # DEPENDENCYPART_ARC
(6,4),2.29423 # DEPENDENCYPART_ARC
(6,5),2.65393 # DEPENDENCYPART_ARC
(6,7),0.429251 # DEPENDENCYPART_ARC
(6,8),-0.487872 # DEPENDENCYPART_ARC
(6,9),-0.289083 # DEPENDENCYPART_ARC
(6,10),-1.00742 # DEPENDENCYPART_ARC
(6,11),-1.02456 # DEPENDENCYPART_ARC
(6,12),-2.43102 # DEPENDENCYPART_ARC
(6,13),-0.283027 # DEPENDENCYPART_ARC
(6,14),-1.08782 # DEPENDENCYPART_ARC
(6,15),-1.89817 # DEPENDENCYPART_ARC
(6,16),-2.16809 # DEPENDENCYPART_ARC
(6,17),-2.41863 # DEPENDENCYPART_ARC
(6,18),-1.39098 # DEPENDENCYPART_ARC
(6,19),-0.786813 # DEPENDENCYPART_ARC
(7,1),-0.451621 # DEPENDENCYPART_ARC
(7,2),-0.366512 # DEPENDENCYPART_ARC
(7,3),0.293438 # DEPENDENCYPART_ARC
(7,4),0.149825 # DEPENDENCYPART_ARC
(7,5),-0.0157431 # DEPENDENCYPART_ARC
(7,6),0.0454514 # DEPENDENCYPART_ARC
(7,8),0.102561 # DEPENDENCYPART_ARC
(7,9),0.150845 # DEPENDENCYPART_ARC
(7,10),0.256818 # DEPENDENCYPART_ARC
(7,11),-0.453409 # DEPENDENCYPART_ARC
(7,12),-0.687026 # DEPENDENCYPART_ARC
(7,13),0.227475 # DEPENDENCYPART_ARC
(7,14),-0.296893 # DEPENDENCYPART_ARC
(7,15),-0.867979 # DEPENDENCYPART_ARC
(7,16),-0.65086 # DEPENDENCYPART_ARC
(7,17),-0.733538 # DEPENDENCYPART_ARC
(7,18),-1.34294 # DEPENDENCYPART_ARC
(7,19),0.0506124 # DEPENDENCYPART_ARC
(8,1),-3.24131 # DEPENDENCYPART_ARC
(8,2),-0.771623 # DEPENDENCYPART_ARC
(8,3),-0.683247 # DEPENDENCYPART_ARC
(8,4),-1.60758 # DEPENDENCYPART_ARC
(8,5),-2.13148 # DEPENDENCYPART_ARC
(8,6),-1.15366 # DEPENDENCYPART_ARC
(8,7),0.362208 # DEPENDENCYPART_ARC
(8,9),0.128046 # DEPENDENCYPART_ARC
(8,10),-0.651334 # DEPENDENCYPART_ARC
(8,11),-0.849092 # DEPENDENCYPART_ARC
(8,12),-1.77164 # DEPENDENCYPART_ARC
(8,13),-0.907096 # DEPENDENCYPART_ARC
(8,14),-1.1761 # DEPENDENCYPART_ARC
(8,15),-2.91669 # DEPENDENCYPART_ARC
(8,16),-2.457 # DEPENDENCYPART_ARC
(8,17),-2.60155 # DEPENDENCYPART_ARC
(8,18),-1.34295 # DEPENDENCYPART_ARC
(8,19),-1.11812 # DEPENDENCYPART_ARC
(9,1),-2.22001 # DEPENDENCYPART_ARC
(9,2),-1.86535 # DEPENDENCYPART_ARC
(9,3),-1.74241 # DEPENDENCYPART_ARC
(9,4),-2.10056 # DEPENDENCYPART_ARC
(9,5),-1.96416 # DEPENDENCYPART_ARC
(9,6),-1.81785 # DEPENDENCYPART_ARC
(9,7),-1.17675 # DEPENDENCYPART_ARC
(9,8),-0.764876 # DEPENDENCYPART_ARC
(9,10),0.255318 # DEPENDENCYPART_ARC
(9,11),-0.733181 # DEPENDENCYPART_ARC
(9,12),-0.836542 # DEPENDENCYPART_ARC
(9,13),-0.800968 # DEPENDENCYPART_ARC
(9,14),-1.15842 # DEPENDENCYPART_ARC
(9,15),-1.45772 # DEPENDENCYPART_ARC
(9,16),-1.49325 # DEPENDENCYPART_ARC
(9,17),-1.5753 # DEPENDENCYPART_ARC
(9,18),-1.85622 # DEPENDENCYPART_ARC
(9,19),-0.589927 # DEPENDENCYPART_ARC
(10,1),-2.4636 # DEPENDENCYPART_ARC
(10,2),0.149193 # DEPENDENCYPART_ARC
(10,3),0.417935 # DEPENDENCYPART_ARC
(10,4),-0.0850345 # DEPENDENCYPART_ARC
(10,5),-1.31969 # DEPENDENCYPART_ARC
(10,6),0.390271 # DEPENDENCYPART_ARC
(10,7),1.31937 # DEPENDENCYPART_ARC
(10,8),2.55293 # DEPENDENCYPART_ARC
(10,9),2.85456 # DEPENDENCYPART_ARC
(10,11),0.854565 # DEPENDENCYPART_ARC
(10,12),2.06677 # DEPENDENCYPART_ARC
(10,13),0.531377 # DEPENDENCYPART_ARC
(10,14),0.0479826 # DEPENDENCYPART_ARC
(10,15),-1.42129 # DEPENDENCYPART_ARC
(10,16),-1.6205 # DEPENDENCYPART_ARC
(10,17),-0.277837 # DEPENDENCYPART_ARC
(10,18),-2.80006 # DEPENDENCYPART_ARC
(10,19),0.266264 # DEPENDENCYPART_ARC
(11,1),-1.91115 # DEPENDENCYPART_ARC
(11,2),-1.44534 # DEPENDENCYPART_ARC
(11,3),-1.39571 # DEPENDENCYPART_ARC
(11,4),-1.73718 # DEPENDENCYPART_ARC
(11,5),-1.76775 # DEPENDENCYPART_ARC
(11,6),-1.63469 # DEPENDENCYPART_ARC
(11,7),-1.14461 # DEPENDENCYPART_ARC
(11,8),-1.25554 # DEPENDENCYPART_ARC
(11,9),-0.557197 # DEPENDENCYPART_ARC
(11,10),-0.480135 # DEPENDENCYPART_ARC
(11,12),0.348682 # DEPENDENCYPART_ARC
(11,13),-0.523231 # DEPENDENCYPART_ARC
(11,14),-0.802462 # DEPENDENCYPART_ARC
(11,15),-1.26471 # DEPENDENCYPART_ARC
(11,16),-1.19938 # DEPENDENCYPART_ARC
(11,17),-1.39679 # DEPENDENCYPART_ARC
(11,18),-1.77499 # DEPENDENCYPART_ARC
(11,19),-0.58897 # DEPENDENCYPART_ARC
(12,1),-3.60533 # DEPENDENCYPART_ARC
(12,2),-0.513437 # DEPENDENCYPART_ARC
(12,3),-0.43174 # DEPENDENCYPART_ARC
(12,4),-0.441894 # DEPENDENCYPART_ARC
(12,5),-2.20271 # DEPENDENCYPART_ARC
(12,6),-0.179554 # DEPENDENCYPART_ARC
(12,7),0.00566353 # DEPENDENCYPART_ARC
(12,8),1.45816 # DEPENDENCYPART_ARC
(12,9),1.00397 # DEPENDENCYPART_ARC
(12,10),-1.31731 # DEPENDENCYPART_ARC
(12,11),2.67083 # DEPENDENCYPART_ARC
(12,13),1.20319 # DEPENDENCYPART_ARC
(12,14),0.90555 # DEPENDENCYPART_ARC
(12,15),-1.04809 # DEPENDENCYPART_ARC
(12,16),-0.880274 # DEPENDENCYPART_ARC
(12,17),0.926227 # DEPENDENCYPART_ARC
(12,18),-2.56273 # DEPENDENCYPART_ARC
(12,19),0.417266 # DEPENDENCYPART_ARC
(13,1),0.257907 # DEPENDENCYPART_ARC
(13,2),0.109094 # DEPENDENCYPART_ARC
(13,3),0.316077 # DEPENDENCYPART_ARC
(13,4),-0.193003 # DEPENDENCYPART_ARC
(13,5),-0.204726 # DEPENDENCYPART_ARC
(13,6),-0.419809 # DEPENDENCYPART_ARC
(13,7),0.923972 # DEPENDENCYPART_ARC
(13,8),0.61321 # DEPENDENCYPART_ARC
(13,9),0.36455 # DEPENDENCYPART_ARC
(13,10),0.75405 # DEPENDENCYPART_ARC
(13,11),0.822968 # DEPENDENCYPART_ARC
(13,12),1.49282 # DEPENDENCYPART_ARC
(13,14),0.757791 # DEPENDENCYPART_ARC
(13,15),-0.128906 # DEPENDENCYPART_ARC
(13,16),0.369981 # DEPENDENCYPART_ARC
(13,17),-0.418684 # DEPENDENCYPART_ARC
(13,18),-0.379074 # DEPENDENCYPART_ARC
(13,19),0.635291 # DEPENDENCYPART_ARC
(14,1),-1.09399 # DEPENDENCYPART_ARC
(14,2),-0.17855 # DEPENDENCYPART_ARC
(14,3),-0.628728 # DEPENDENCYPART_ARC
(14,4),-1.21704 # DEPENDENCYPART_ARC
(14,5),-0.839906 # DEPENDENCYPART_ARC
(14,6),-1.1011 # DEPENDENCYPART_ARC
(14,7),-0.429292 # DEPENDENCYPART_ARC
(14,8),-1.35684 # DEPENDENCYPART_ARC
(14,9),-0.367424 # DEPENDENCYPART_ARC
(14,10),-0.864315 # DEPENDENCYPART_ARC
(14,11),0.0108075 # DEPENDENCYPART_ARC
(14,12),-0.29035 # DEPENDENCYPART_ARC
(14,13),0.867367 # DEPENDENCYPART_ARC
(14,15),0.0722519 # DEPENDENCYPART_ARC
(14,16),-0.110061 # DEPENDENCYPART_ARC
(14,17),-0.136166 # DEPENDENCYPART_ARC
(14,18),0.056943 # DEPENDENCYPART_ARC
(14,19),-0.345108 # DEPENDENCYPART_ARC
(15,1),-3.04928 # DEPENDENCYPART_ARC
(15,2),-1.28109 # DEPENDENCYPART_ARC
(15,3),-1.47617 # DEPENDENCYPART_ARC
(15,4),-2.21621 # DEPENDENCYPART_ARC
(15,5),-2.41851 # DEPENDENCYPART_ARC
(15,6),-2.08744 # DEPENDENCYPART_ARC
(15,7),-1.3842 # DEPENDENCYPART_ARC
(15,8),-1.91615 # DEPENDENCYPART_ARC
(15,9),-1.24362 # DEPENDENCYPART_ARC
(15,10),-2.88558 # DEPENDENCYPART_ARC
(15,11),-0.999481 # DEPENDENCYPART_ARC
(15,12),-2.39901 # DEPENDENCYPART_ARC
(15,13),-0.501345 # DEPENDENCYPART_ARC
(15,14),0.221653 # DEPENDENCYPART_ARC
(15,16),-0.467862 # DEPENDENCYPART_ARC
(15,17),-0.260052 # DEPENDENCYPART_ARC
(15,18),-1.55681 # DEPENDENCYPART_ARC
(15,19),-0.254579 # DEPENDENCYPART_ARC
(16,1),-4.92334 # DEPENDENCYPART_ARC
(16,2),-1.47698 # DEPENDENCYPART_ARC
(16,3),-1.43763 # DEPENDENCYPART_ARC
(16,4),-1.41606 # DEPENDENCYPART_ARC
(16,5),-1.57134 # DEPENDENCYPART_ARC
(16,6),-1.51441 # DEPENDENCYPART_ARC
(16,7),-1.22865 # DEPENDENCYPART_ARC
(16,8),-1.80798 # DEPENDENCYPART_ARC
(16,9),-0.966456 # DEPENDENCYPART_ARC
(16,10),-4.99455 # DEPENDENCYPART_ARC
(16,11),-0.711535 # DEPENDENCYPART_ARC
(16,12),-4.57437 # DEPENDENCYPART_ARC
(16,13),-0.368218 # DEPENDENCYPART_ARC
(16,14),0.102615 # DEPENDENCYPART_ARC
(16,15),0.836631 # DEPENDENCYPART_ARC
(16,17),0.145745 # DEPENDENCYPART_ARC
(16,18),-0.442804 # DEPENDENCYPART_ARC
(16,19),-0.0313259 # DEPENDENCYPART_ARC
(17,1),-2.22927 # DEPENDENCYPART_ARC
(17,2),-1.01739 # DEPENDENCYPART_ARC
(17,3),-1.03191 # DEPENDENCYPART_ARC
(17,4),-1.68294 # DEPENDENCYPART_ARC
(17,5),-1.62316 # DEPENDENCYPART_ARC
(17,6),-1.94979 # DEPENDENCYPART_ARC
(17,7),-1.03965 # DEPENDENCYPART_ARC
(17,8),-2.01065 # DEPENDENCYPART_ARC
(17,9),-0.777545 # DEPENDENCYPART_ARC
(17,10),-2.58069 # DEPENDENCYPART_ARC
(17,11),-0.585314 # DEPENDENCYPART_ARC
(17,12),-2.04978 # DEPENDENCYPART_ARC
(17,13),0.26128 # DEPENDENCYPART_ARC
(17,14),0.0107694 # DEPENDENCYPART_ARC
(17,15),3.36013 # DEPENDENCYPART_ARC
(17,16),3.50307 # DEPENDENCYPART_ARC
(17,18),3.14946 # DEPENDENCYPART_ARC
(17,19),0.226578 # DEPENDENCYPART_ARC
(18,1),-3.17063 # DEPENDENCYPART_ARC
(18,2),-1.27741 # DEPENDENCYPART_ARC
(18,3),-1.0224 # DEPENDENCYPART_ARC
(18,4),-2.25115 # DEPENDENCYPART_ARC
(18,5),-2.72114 # DEPENDENCYPART_ARC
(18,6),-2.19413 # DEPENDENCYPART_ARC
(18,7),-0.988084 # DEPENDENCYPART_ARC
(18,8),-1.21498 # DEPENDENCYPART_ARC
(18,9),-0.994778 # DEPENDENCYPART_ARC
(18,10),-3.03821 # DEPENDENCYPART_ARC
(18,11),-0.895185 # DEPENDENCYPART_ARC
(18,12),-2.75449 # DEPENDENCYPART_ARC
(18,13),-0.376118 # DEPENDENCYPART_ARC
(18,14),-0.714557 # DEPENDENCYPART_ARC
(18,15),-0.708562 # DEPENDENCYPART_ARC
(18,16),-2.12162 # DEPENDENCYPART_ARC
(18,17),-1.3873 # DEPENDENCYPART_ARC
(18,19),0.139146 # DEPENDENCYPART_ARC
(19,1),-2.25539 # DEPENDENCYPART_ARC
(19,2),-1.88582 # DEPENDENCYPART_ARC
(19,3),-2.02813 # DEPENDENCYPART_ARC
(19,4),-2.72251 # DEPENDENCYPART_ARC
(19,5),-2.35114 # DEPENDENCYPART_ARC
(19,6),-2.78986 # DEPENDENCYPART_ARC
(19,7),-2.11284 # DEPENDENCYPART_ARC
(19,8),-1.96435 # DEPENDENCYPART_ARC
(19,9),-1.70696 # DEPENDENCYPART_ARC
(19,10),-1.86684 # DEPENDENCYPART_ARC
(19,11),-1.4625 # DEPENDENCYPART_ARC
(19,12),-1.79069 # DEPENDENCYPART_ARC
(19,13),-1.42798 # DEPENDENCYPART_ARC
(19,14),-1.58417 # DEPENDENCYPART_ARC
(19,15),-1.52684 # DEPENDENCYPART_ARC
(19,16),-1.48987 # DEPENDENCYPART_ARC
(19,17),-1.70992 # DEPENDENCYPART_ARC
(19,18),-1.06681 # DEPENDENCYPART_ARC
