# _root_ * Πάρτε το ποτό σας και καθίστε κάπου κοντά στο Pierro's , ένα από τα διασημότερα και παλαιότερα gay μπαρ του κόσμου , για να δείτε τον κόσμο που πηγαινοέρχεται τα βράδυα .
#goldHeads=6,6,4,2,4,0,6,9,7,9,12,10,12,13,20,17,20,17,20,14,22,20,24,6,26,24,28,26,30,28,32,30,0,
#predictedHeads=0,6,4,2,4,0,6,9,7,9,10,2,12,13,16,17,20,20,20,14,22,20,24,13,26,24,28,26,30,28,32,30,0,
(2,25),-0.575102 # DEPENDENCYPART_ARC
(2,26),-3.46058 # DEPENDENCYPART_ARC
(2,27),-2.29067 # DEPENDENCYPART_ARC
(2,28),-3.37014 # DEPENDENCYPART_ARC
(2,29),-2.215 # DEPENDENCYPART_ARC
(2,30),-5.94112 # DEPENDENCYPART_ARC
(2,31),-2.48346 # DEPENDENCYPART_ARC
(2,32),-3.90921 # DEPENDENCYPART_ARC
(2,33),0.449062 # DEPENDENCYPART_ARC
(3,1),-0.897918 # DEPENDENCYPART_ARC
(3,2),-1.45068 # DEPENDENCYPART_ARC
(3,4),0.0996925 # DEPENDENCYPART_ARC
(3,5),-1.34834 # DEPENDENCYPART_ARC
(3,6),-0.403394 # DEPENDENCYPART_ARC
(3,7),-2.8539 # DEPENDENCYPART_ARC
(3,8),-1.18983 # DEPENDENCYPART_ARC
(3,9),-1.16736 # DEPENDENCYPART_ARC
(3,10),-1.55912 # DEPENDENCYPART_ARC
(3,11),-1.86501 # DEPENDENCYPART_ARC
(3,12),-1.27753 # DEPENDENCYPART_ARC
(3,13),-2.10543 # DEPENDENCYPART_ARC
(3,14),-1.6734 # DEPENDENCYPART_ARC
(3,15),-2.05754 # DEPENDENCYPART_ARC
(3,16),-2.72706 # DEPENDENCYPART_ARC
(3,17),-1.292 # DEPENDENCYPART_ARC
(3,18),-1.52031 # DEPENDENCYPART_ARC
(3,19),-2.14985 # DEPENDENCYPART_ARC
(3,20),-2.3742 # DEPENDENCYPART_ARC
(3,21),-2.01266 # DEPENDENCYPART_ARC
(3,22),-2.2482 # DEPENDENCYPART_ARC
(3,23),-1.56533 # DEPENDENCYPART_ARC
(3,24),-1.87983 # DEPENDENCYPART_ARC
(3,25),-2.11071 # DEPENDENCYPART_ARC
(3,26),-3.9073 # DEPENDENCYPART_ARC
(3,27),-2.34299 # DEPENDENCYPART_ARC
(3,28),-2.62304 # DEPENDENCYPART_ARC
(3,29),-3.44341 # DEPENDENCYPART_ARC
(3,30),-3.79808 # DEPENDENCYPART_ARC
(3,31),-2.56201 # DEPENDENCYPART_ARC
(3,32),-2.80225 # DEPENDENCYPART_ARC
(3,33),-1.88999 # DEPENDENCYPART_ARC
(4,1),-0.370439 # DEPENDENCYPART_ARC
(4,2),-0.899138 # DEPENDENCYPART_ARC
(4,3),3.46371 # DEPENDENCYPART_ARC
(4,5),3.31582 # DEPENDENCYPART_ARC
(4,6),0.381833 # DEPENDENCYPART_ARC
(4,7),-0.316643 # DEPENDENCYPART_ARC
(4,8),-0.511296 # DEPENDENCYPART_ARC
(4,9),-0.484988 # DEPENDENCYPART_ARC
(4,10),-1.21294 # DEPENDENCYPART_ARC
(4,11),-0.915602 # DEPENDENCYPART_ARC
(4,12),-0.308588 # DEPENDENCYPART_ARC
(4,13),-1.54356 # DEPENDENCYPART_ARC
(4,14),-1.15238 # DEPENDENCYPART_ARC
(4,15),-1.75566 # DEPENDENCYPART_ARC
(4,16),-0.773832 # DEPENDENCYPART_ARC
(4,17),-0.608165 # DEPENDENCYPART_ARC
(4,18),-1.15788 # DEPENDENCYPART_ARC
(4,19),-1.11322 # DEPENDENCYPART_ARC
(4,20),-2.53535 # DEPENDENCYPART_ARC
(4,21),-1.62967 # DEPENDENCYPART_ARC
(4,22),-1.04514 # DEPENDENCYPART_ARC
(4,23),-0.758055 # DEPENDENCYPART_ARC
(4,24),-1.32415 # DEPENDENCYPART_ARC
(4,25),-1.34237 # DEPENDENCYPART_ARC
(4,26),-2.42661 # DEPENDENCYPART_ARC
(4,27),-2.10332 # DEPENDENCYPART_ARC
(4,28),-3.60588 # DEPENDENCYPART_ARC
(4,29),-2.99415 # DEPENDENCYPART_ARC
(4,30),-1.64671 # DEPENDENCYPART_ARC
(4,31),-2.24717 # DEPENDENCYPART_ARC
(4,32),-4.6007 # DEPENDENCYPART_ARC
(4,33),-0.782791 # DEPENDENCYPART_ARC
(5,1),-0.846516 # DEPENDENCYPART_ARC
(5,2),-2.33243 # DEPENDENCYPART_ARC
(5,3),-0.670512 # DEPENDENCYPART_ARC
(5,4),-1.78846 # DEPENDENCYPART_ARC
(5,6),-0.165794 # DEPENDENCYPART_ARC
(5,7),-2.3363 # DEPENDENCYPART_ARC
(5,8),-1.44046 # DEPENDENCYPART_ARC
(5,9),-1.65171 # DEPENDENCYPART_ARC
(5,10),-1.8758 # DEPENDENCYPART_ARC
(5,11),-1.62156 # DEPENDENCYPART_ARC
(5,12),-1.36165 # DEPENDENCYPART_ARC
(5,13),-2.21188 # DEPENDENCYPART_ARC
(5,14),-1.55017 # DEPENDENCYPART_ARC
(5,15),-2.68271 # DEPENDENCYPART_ARC
(5,16),-1.7723 # DEPENDENCYPART_ARC
(5,17),-1.47576 # DEPENDENCYPART_ARC
(5,18),-1.78869 # DEPENDENCYPART_ARC
(5,19),-1.83722 # DEPENDENCYPART_ARC
(5,20),-2.19761 # DEPENDENCYPART_ARC
(5,21),-2.85493 # DEPENDENCYPART_ARC
(5,22),-2.0346 # DEPENDENCYPART_ARC
(5,23),-1.67499 # DEPENDENCYPART_ARC
(5,24),-1.78078 # DEPENDENCYPART_ARC
(5,25),-2.13487 # DEPENDENCYPART_ARC
(5,26),-4.15197 # DEPENDENCYPART_ARC
(5,27),-3.15752 # DEPENDENCYPART_ARC
(5,28),-3.1123 # DEPENDENCYPART_ARC
(5,29),-4.02063 # DEPENDENCYPART_ARC
(5,30),-4.85567 # DEPENDENCYPART_ARC
(5,31),-3.25142 # DEPENDENCYPART_ARC
(5,32),-3.12927 # DEPENDENCYPART_ARC
(5,33),-2.17947 # DEPENDENCYPART_ARC
(6,1),0.117277 # DEPENDENCYPART_ARC
(6,2),2.17949 # DEPENDENCYPART_ARC
(6,3),1.08427 # DEPENDENCYPART_ARC
(6,4),1.08601 # DEPENDENCYPART_ARC
(6,5),1.57774 # DEPENDENCYPART_ARC
(6,7),2.35747 # DEPENDENCYPART_ARC
(6,8),0.33106 # DEPENDENCYPART_ARC
(6,9),-0.0476753 # DEPENDENCYPART_ARC
(6,10),0.0429925 # DEPENDENCYPART_ARC
(6,11),-0.318734 # DEPENDENCYPART_ARC
(6,12),0.346167 # DEPENDENCYPART_ARC
(6,13),-0.515815 # DEPENDENCYPART_ARC
(6,14),-0.548483 # DEPENDENCYPART_ARC
(6,15),-1.30573 # DEPENDENCYPART_ARC
(6,16),-0.710799 # DEPENDENCYPART_ARC
(6,17),0.333522 # DEPENDENCYPART_ARC
(6,18),-0.522163 # DEPENDENCYPART_ARC
(6,19),-0.780147 # DEPENDENCYPART_ARC
(6,20),-1.56178 # DEPENDENCYPART_ARC
(6,21),-1.3064 # DEPENDENCYPART_ARC
(6,22),-2.07877 # DEPENDENCYPART_ARC
(6,23),-0.238678 # DEPENDENCYPART_ARC
(6,24),-0.848669 # DEPENDENCYPART_ARC
(6,25),-1.02443 # DEPENDENCYPART_ARC
(6,26),-1.69465 # DEPENDENCYPART_ARC
(6,27),-1.59973 # DEPENDENCYPART_ARC
(6,28),-2.95383 # DEPENDENCYPART_ARC
(6,29),-1.13573 # DEPENDENCYPART_ARC
(6,30),-2.32988 # DEPENDENCYPART_ARC
(6,31),-1.79619 # DEPENDENCYPART_ARC
(6,32),-3.45435 # DEPENDENCYPART_ARC
(6,33),-0.311702 # DEPENDENCYPART_ARC
(7,1),-0.485912 # DEPENDENCYPART_ARC
(7,2),-4.15584 # DEPENDENCYPART_ARC
(7,3),0.7255 # DEPENDENCYPART_ARC
(7,4),-0.623654 # DEPENDENCYPART_ARC
(7,5),-1.39505 # DEPENDENCYPART_ARC
(7,6),0.979823 # DEPENDENCYPART_ARC
(7,8),1.77903 # DEPENDENCYPART_ARC
(7,9),1.69216 # DEPENDENCYPART_ARC
(7,10),1.39016 # DEPENDENCYPART_ARC
(7,11),0.534714 # DEPENDENCYPART_ARC
(7,12),0.808211 # DEPENDENCYPART_ARC
(7,13),-1.21942 # DEPENDENCYPART_ARC
(7,14),0.223865 # DEPENDENCYPART_ARC
(7,15),-2.56434 # DEPENDENCYPART_ARC
(7,16),-0.928283 # DEPENDENCYPART_ARC
(7,17),0.193248 # DEPENDENCYPART_ARC
(7,18),0.49788 # DEPENDENCYPART_ARC
(7,19),0.00810974 # DEPENDENCYPART_ARC
(7,20),-2.48088 # DEPENDENCYPART_ARC
(7,21),-3.04278 # DEPENDENCYPART_ARC
(7,22),-4.18781 # DEPENDENCYPART_ARC
(7,23),0.623602 # DEPENDENCYPART_ARC
(7,24),0.399009 # DEPENDENCYPART_ARC
(7,25),-0.222211 # DEPENDENCYPART_ARC
(7,26),-1.40818 # DEPENDENCYPART_ARC
(7,27),-3.26692 # DEPENDENCYPART_ARC
(7,28),-4.56275 # DEPENDENCYPART_ARC
(7,29),-2.92133 # DEPENDENCYPART_ARC
(7,30),-6.19807 # DEPENDENCYPART_ARC
(7,31),-3.43645 # DEPENDENCYPART_ARC
(7,32),-5.00593 # DEPENDENCYPART_ARC
(7,33),0.151799 # DEPENDENCYPART_ARC
(8,1),-0.610379 # DEPENDENCYPART_ARC
(8,2),-1.14713 # DEPENDENCYPART_ARC
(8,3),-0.364679 # DEPENDENCYPART_ARC
(8,4),-0.717665 # DEPENDENCYPART_ARC
(8,5),-0.987491 # DEPENDENCYPART_ARC
(8,6),-0.00532567 # DEPENDENCYPART_ARC
(8,7),0.0759706 # DEPENDENCYPART_ARC
(8,9),0.339463 # DEPENDENCYPART_ARC
(8,10),0.396761 # DEPENDENCYPART_ARC
(8,11),-0.159867 # DEPENDENCYPART_ARC
(8,12),-0.102996 # DEPENDENCYPART_ARC
(8,13),-1.04807 # DEPENDENCYPART_ARC
(8,14),-0.59452 # DEPENDENCYPART_ARC
(8,15),-1.16574 # DEPENDENCYPART_ARC
(8,16),-1.06001 # DEPENDENCYPART_ARC
(8,17),-0.443892 # DEPENDENCYPART_ARC
(8,18),-0.806263 # DEPENDENCYPART_ARC
(8,19),-0.856277 # DEPENDENCYPART_ARC
(8,20),-1.05499 # DEPENDENCYPART_ARC
(8,21),-1.06951 # DEPENDENCYPART_ARC
(8,22),-1.21508 # DEPENDENCYPART_ARC
(8,23),-0.534194 # DEPENDENCYPART_ARC
(8,24),-1.54559 # DEPENDENCYPART_ARC
(8,25),-1.29509 # DEPENDENCYPART_ARC
(8,26),-1.18413 # DEPENDENCYPART_ARC
(8,27),-1.945 # DEPENDENCYPART_ARC
(8,28),-2.7436 # DEPENDENCYPART_ARC
(8,29),-2.00216 # DEPENDENCYPART_ARC
(8,30),-1.92332 # DEPENDENCYPART_ARC
(8,31),-2.04573 # DEPENDENCYPART_ARC
(8,32),-2.94903 # DEPENDENCYPART_ARC
(8,33),-1.55894 # DEPENDENCYPART_ARC
(9,1),-0.319905 # DEPENDENCYPART_ARC
(9,2),-0.917069 # DEPENDENCYPART_ARC
(9,3),-0.206353 # DEPENDENCYPART_ARC
(9,4),-0.543929 # DEPENDENCYPART_ARC
(9,5),-0.918907 # DEPENDENCYPART_ARC
(9,6),0.152902 # DEPENDENCYPART_ARC
(9,7),-0.1822 # DEPENDENCYPART_ARC
(9,8),2.09973 # DEPENDENCYPART_ARC
(9,10),1.91059 # DEPENDENCYPART_ARC
(9,11),0.895633 # DEPENDENCYPART_ARC
(9,12),0.80913 # DEPENDENCYPART_ARC
(9,13),-0.322802 # DEPENDENCYPART_ARC
(9,14),0.544002 # DEPENDENCYPART_ARC
(9,15),-0.539908 # DEPENDENCYPART_ARC
(9,16),-0.424539 # DEPENDENCYPART_ARC
(9,17),0.206991 # DEPENDENCYPART_ARC
(9,18),-0.324831 # DEPENDENCYPART_ARC
(9,19),-0.0417869 # DEPENDENCYPART_ARC
(9,20),-0.455488 # DEPENDENCYPART_ARC
(9,21),-0.430452 # DEPENDENCYPART_ARC
(9,22),-0.640325 # DEPENDENCYPART_ARC
(9,23),0.147283 # DEPENDENCYPART_ARC
(9,24),-0.451864 # DEPENDENCYPART_ARC
(9,25),-0.816564 # DEPENDENCYPART_ARC
(9,26),-0.510274 # DEPENDENCYPART_ARC
(9,27),-1.28595 # DEPENDENCYPART_ARC
(9,28),-2.00045 # DEPENDENCYPART_ARC
(9,29),-1.46018 # DEPENDENCYPART_ARC
(9,30),-1.19811 # DEPENDENCYPART_ARC
(9,31),-1.43652 # DEPENDENCYPART_ARC
(9,32),-2.34163 # DEPENDENCYPART_ARC
(9,33),-0.831875 # DEPENDENCYPART_ARC
(10,1),-0.702211 # DEPENDENCYPART_ARC
(10,2),-2.15879 # DEPENDENCYPART_ARC
(10,3),-0.799634 # DEPENDENCYPART_ARC
(10,4),-1.83439 # DEPENDENCYPART_ARC
(10,5),-1.47732 # DEPENDENCYPART_ARC
(10,6),-0.466991 # DEPENDENCYPART_ARC
(10,7),-1.53119 # DEPENDENCYPART_ARC
(10,8),-0.0744432 # DEPENDENCYPART_ARC
(10,9),0.456294 # DEPENDENCYPART_ARC
(10,11),2.05553 # DEPENDENCYPART_ARC
(10,12),0.654191 # DEPENDENCYPART_ARC
(10,13),0.116423 # DEPENDENCYPART_ARC
(10,14),-0.218665 # DEPENDENCYPART_ARC
(10,15),-0.315851 # DEPENDENCYPART_ARC
(10,16),-0.286298 # DEPENDENCYPART_ARC
(10,17),-0.250305 # DEPENDENCYPART_ARC
(10,18),-0.432665 # DEPENDENCYPART_ARC
(10,19),-0.0853192 # DEPENDENCYPART_ARC
(10,20),-0.329934 # DEPENDENCYPART_ARC
(10,21),-1.17119 # DEPENDENCYPART_ARC
(10,22),-1.86135 # DEPENDENCYPART_ARC
(10,23),-0.554978 # DEPENDENCYPART_ARC
(10,24),-0.845805 # DEPENDENCYPART_ARC
(10,25),-0.921462 # DEPENDENCYPART_ARC
(10,26),-2.10623 # DEPENDENCYPART_ARC
(10,27),-0.981251 # DEPENDENCYPART_ARC
(10,28),-3.21253 # DEPENDENCYPART_ARC
(10,29),-1.54503 # DEPENDENCYPART_ARC
(10,30),-3.2763 # DEPENDENCYPART_ARC
(10,31),-1.23171 # DEPENDENCYPART_ARC
(10,32),-4.74994 # DEPENDENCYPART_ARC
(10,33),-1.55496 # DEPENDENCYPART_ARC
(11,1),-1.20033 # DEPENDENCYPART_ARC
(11,2),-1.50193 # DEPENDENCYPART_ARC
(11,3),-0.680445 # DEPENDENCYPART_ARC
(11,4),-1.42244 # DEPENDENCYPART_ARC
(11,5),-1.26617 # DEPENDENCYPART_ARC
(11,6),-1.02758 # DEPENDENCYPART_ARC
(11,7),-1.03531 # DEPENDENCYPART_ARC
(11,8),-0.491578 # DEPENDENCYPART_ARC
(11,9),-0.101139 # DEPENDENCYPART_ARC
(11,10),0.136207 # DEPENDENCYPART_ARC
(11,12),0.425449 # DEPENDENCYPART_ARC
(11,13),0.140044 # DEPENDENCYPART_ARC
(11,14),-0.0128826 # DEPENDENCYPART_ARC
(11,15),-0.681546 # DEPENDENCYPART_ARC
(11,16),-0.390576 # DEPENDENCYPART_ARC
(11,17),-0.181892 # DEPENDENCYPART_ARC
(11,18),-0.375713 # DEPENDENCYPART_ARC
(11,19),-0.670151 # DEPENDENCYPART_ARC
(11,20),-0.769041 # DEPENDENCYPART_ARC
(11,21),-0.929594 # DEPENDENCYPART_ARC
(11,22),-0.790878 # DEPENDENCYPART_ARC
(11,23),-0.358357 # DEPENDENCYPART_ARC
(11,24),-0.726786 # DEPENDENCYPART_ARC
(11,25),-0.737262 # DEPENDENCYPART_ARC
(11,26),-0.906659 # DEPENDENCYPART_ARC
(11,27),-1.65234 # DEPENDENCYPART_ARC
(11,28),-1.30812 # DEPENDENCYPART_ARC
(11,29),-1.55112 # DEPENDENCYPART_ARC
(11,30),-1.31792 # DEPENDENCYPART_ARC
(11,31),-1.66719 # DEPENDENCYPART_ARC
(11,32),-1.45775 # DEPENDENCYPART_ARC
(11,33),-0.800447 # DEPENDENCYPART_ARC
(12,1),-0.602363 # DEPENDENCYPART_ARC
(12,2),-0.27447 # DEPENDENCYPART_ARC
(12,3),-0.579523 # DEPENDENCYPART_ARC
(12,4),-0.947442 # DEPENDENCYPART_ARC
(12,5),-0.535997 # DEPENDENCYPART_ARC
(12,6),-0.29501 # DEPENDENCYPART_ARC
(12,7),-0.236172 # DEPENDENCYPART_ARC
(12,8),-0.0580061 # DEPENDENCYPART_ARC
(12,9),0.0492086 # DEPENDENCYPART_ARC
(12,10),0.238527 # DEPENDENCYPART_ARC
(12,11),0.349313 # DEPENDENCYPART_ARC
(12,13),0.787522 # DEPENDENCYPART_ARC
(12,14),0.0716889 # DEPENDENCYPART_ARC
(12,15),-0.264522 # DEPENDENCYPART_ARC
(12,16),-0.0922846 # DEPENDENCYPART_ARC
(12,17),0.240037 # DEPENDENCYPART_ARC
(12,18),-0.0775796 # DEPENDENCYPART_ARC
(12,19),-0.269835 # DEPENDENCYPART_ARC
(12,20),-0.436647 # DEPENDENCYPART_ARC
(12,21),-0.724206 # DEPENDENCYPART_ARC
(12,22),-0.397108 # DEPENDENCYPART_ARC
(12,23),0.210794 # DEPENDENCYPART_ARC
(12,24),-0.540082 # DEPENDENCYPART_ARC
(12,25),-0.622085 # DEPENDENCYPART_ARC
(12,26),-0.35349 # DEPENDENCYPART_ARC
(12,27),-1.12185 # DEPENDENCYPART_ARC
(12,28),-1.36863 # DEPENDENCYPART_ARC
(12,29),-1.81366 # DEPENDENCYPART_ARC
(12,30),-0.771264 # DEPENDENCYPART_ARC
(12,31),-1.32403 # DEPENDENCYPART_ARC
(12,32),-1.53182 # DEPENDENCYPART_ARC
(12,33),-0.677302 # DEPENDENCYPART_ARC
(13,1),-0.852641 # DEPENDENCYPART_ARC
(13,2),-1.92335 # DEPENDENCYPART_ARC
(13,3),-0.467262 # DEPENDENCYPART_ARC
(13,4),-1.14834 # DEPENDENCYPART_ARC
(13,5),-0.932846 # DEPENDENCYPART_ARC
(13,6),-0.265713 # DEPENDENCYPART_ARC
(13,7),-1.65707 # DEPENDENCYPART_ARC
(13,8),0.256282 # DEPENDENCYPART_ARC
(13,9),0.298695 # DEPENDENCYPART_ARC
(13,10),-0.00462866 # DEPENDENCYPART_ARC
(13,11),0.358553 # DEPENDENCYPART_ARC
(13,12),0.465464 # DEPENDENCYPART_ARC
(13,14),2.43155 # DEPENDENCYPART_ARC
(13,15),0.646186 # DEPENDENCYPART_ARC
(13,16),0.619957 # DEPENDENCYPART_ARC
(13,17),0.397591 # DEPENDENCYPART_ARC
(13,18),0.464353 # DEPENDENCYPART_ARC
(13,19),0.0853547 # DEPENDENCYPART_ARC
(13,20),-0.443093 # DEPENDENCYPART_ARC
(13,21),0.142823 # DEPENDENCYPART_ARC
(13,22),0.156581 # DEPENDENCYPART_ARC
(13,23),0.215885 # DEPENDENCYPART_ARC
(13,24),0.435616 # DEPENDENCYPART_ARC
(13,25),-0.0344856 # DEPENDENCYPART_ARC
(13,26),-1.34124 # DEPENDENCYPART_ARC
(13,27),-0.507588 # DEPENDENCYPART_ARC
(13,28),-0.666123 # DEPENDENCYPART_ARC
(13,29),-1.13471 # DEPENDENCYPART_ARC
(13,30),-1.12413 # DEPENDENCYPART_ARC
(13,31),-0.727275 # DEPENDENCYPART_ARC
(13,32),-1.10549 # DEPENDENCYPART_ARC
(13,33),-0.582962 # DEPENDENCYPART_ARC
(14,1),-0.908457 # DEPENDENCYPART_ARC
(14,2),-1.49652 # DEPENDENCYPART_ARC
(14,3),-1.25348 # DEPENDENCYPART_ARC
(14,4),-1.79068 # DEPENDENCYPART_ARC
(14,5),-1.42954 # DEPENDENCYPART_ARC
(14,6),-0.73262 # DEPENDENCYPART_ARC
(14,7),-1.24567 # DEPENDENCYPART_ARC
(14,8),-0.747595 # DEPENDENCYPART_ARC
(14,9),-0.723516 # DEPENDENCYPART_ARC
(14,10),-0.451657 # DEPENDENCYPART_ARC
(14,11),-0.748396 # DEPENDENCYPART_ARC
(14,12),0.193917 # DEPENDENCYPART_ARC
(14,13),0.193778 # DEPENDENCYPART_ARC
(14,15),0.510566 # DEPENDENCYPART_ARC
(14,16),1.46434 # DEPENDENCYPART_ARC
(14,17),0.373492 # DEPENDENCYPART_ARC
(14,18),0.217412 # DEPENDENCYPART_ARC
(14,19),0.533351 # DEPENDENCYPART_ARC
(14,20),1.05478 # DEPENDENCYPART_ARC
(14,21),-0.914738 # DEPENDENCYPART_ARC
(14,22),-0.387562 # DEPENDENCYPART_ARC
(14,23),0.184832 # DEPENDENCYPART_ARC
(14,24),-0.301839 # DEPENDENCYPART_ARC
(14,25),-0.565014 # DEPENDENCYPART_ARC
(14,26),-0.521611 # DEPENDENCYPART_ARC
(14,27),-1.50127 # DEPENDENCYPART_ARC
(14,28),-2.48684 # DEPENDENCYPART_ARC
(14,29),-1.15448 # DEPENDENCYPART_ARC
(14,30),-1.73315 # DEPENDENCYPART_ARC
(14,31),-1.54489 # DEPENDENCYPART_ARC
(14,32),-3.74741 # DEPENDENCYPART_ARC
(14,33),-1.05353 # DEPENDENCYPART_ARC
(15,1),-2.36322 # DEPENDENCYPART_ARC
(15,2),-3.17568 # DEPENDENCYPART_ARC
(15,3),-2.03651 # DEPENDENCYPART_ARC
(15,4),-2.68005 # DEPENDENCYPART_ARC
(15,5),-2.66273 # DEPENDENCYPART_ARC
(15,6),-1.95475 # DEPENDENCYPART_ARC
(15,7),-2.87378 # DEPENDENCYPART_ARC
(15,8),-1.71056 # DEPENDENCYPART_ARC
(15,9),-1.6935 # DEPENDENCYPART_ARC
(15,10),-2.16022 # DEPENDENCYPART_ARC
(15,11),-1.74862 # DEPENDENCYPART_ARC
(15,12),-1.51712 # DEPENDENCYPART_ARC
(15,13),-1.27871 # DEPENDENCYPART_ARC
(15,14),-0.719926 # DEPENDENCYPART_ARC
(15,16),-0.272092 # DEPENDENCYPART_ARC
(15,17),0.171648 # DEPENDENCYPART_ARC
(15,18),-0.291164 # DEPENDENCYPART_ARC
(15,19),-0.705971 # DEPENDENCYPART_ARC
(15,20),-1.08811 # DEPENDENCYPART_ARC
(15,21),-1.11979 # DEPENDENCYPART_ARC
(15,22),-1.14007 # DEPENDENCYPART_ARC
