# _root_ Ανησυχώ μήπως η διακρατική συνεργασία στον τομέα της εκπαίδευσης , δηλαδή η διακυβερνητική πτυχή , παραγκωνίσει την κοινοτική προσέγγιση .
#goldHeads=0,1,5,5,11,5,6,9,7,11,16,14,14,11,16,2,19,19,16,0,
#predictedHeads=0,1,5,5,1,5,6,9,7,11,16,14,14,16,16,7,19,19,16,0,
(8,18),-2.71995 # DEPENDENCYPART_ARC
(8,19),-2.28635 # DEPENDENCYPART_ARC
(8,20),-1.23602 # DEPENDENCYPART_ARC
(9,1),-1.97588 # DEPENDENCYPART_ARC
(9,2),-0.880662 # DEPENDENCYPART_ARC
(9,3),-0.493145 # DEPENDENCYPART_ARC
(9,4),-1.01726 # DEPENDENCYPART_ARC
(9,5),-1.67279 # DEPENDENCYPART_ARC
(9,6),-1.00499 # DEPENDENCYPART_ARC
(9,7),-0.746202 # DEPENDENCYPART_ARC
(9,8),3.6846 # DEPENDENCYPART_ARC
(9,10),0.221861 # DEPENDENCYPART_ARC
(9,11),-0.0175649 # DEPENDENCYPART_ARC
(9,12),-0.588466 # DEPENDENCYPART_ARC
(9,13),-0.558057 # DEPENDENCYPART_ARC
(9,14),-0.607768 # DEPENDENCYPART_ARC
(9,15),-0.493715 # DEPENDENCYPART_ARC
(9,16),-1.14917 # DEPENDENCYPART_ARC
(9,17),-1.58499 # DEPENDENCYPART_ARC
(9,18),-2.08954 # DEPENDENCYPART_ARC
(9,19),-2.31732 # DEPENDENCYPART_ARC
(9,20),-1.00357 # DEPENDENCYPART_ARC
(10,1),-0.0780656 # DEPENDENCYPART_ARC
(10,2),-0.0478844 # DEPENDENCYPART_ARC
(10,3),-0.241099 # DEPENDENCYPART_ARC
(10,4),-0.0892363 # DEPENDENCYPART_ARC
(10,5),0.0740904 # DEPENDENCYPART_ARC
(10,6),0.520048 # DEPENDENCYPART_ARC
(10,7),0.378813 # DEPENDENCYPART_ARC
(10,8),0.244349 # DEPENDENCYPART_ARC
(10,9),0.229729 # DEPENDENCYPART_ARC
(10,11),0.155236 # DEPENDENCYPART_ARC
(10,12),-0.381028 # DEPENDENCYPART_ARC
(10,13),0.039372 # DEPENDENCYPART_ARC
(10,14),0.300756 # DEPENDENCYPART_ARC
(10,15),0.319902 # DEPENDENCYPART_ARC
(10,16),-0.37284 # DEPENDENCYPART_ARC
(10,17),-1.21763 # DEPENDENCYPART_ARC
(10,18),-0.87909 # DEPENDENCYPART_ARC
(10,19),-0.888914 # DEPENDENCYPART_ARC
(10,20),-0.235309 # DEPENDENCYPART_ARC
(11,1),-0.131128 # DEPENDENCYPART_ARC
(11,2),0.499462 # DEPENDENCYPART_ARC
(11,3),0.00944874 # DEPENDENCYPART_ARC
(11,4),-0.172568 # DEPENDENCYPART_ARC
(11,5),0.181367 # DEPENDENCYPART_ARC
(11,6),0.724912 # DEPENDENCYPART_ARC
(11,7),0.204096 # DEPENDENCYPART_ARC
(11,8),0.582304 # DEPENDENCYPART_ARC
(11,9),0.489139 # DEPENDENCYPART_ARC
(11,10),1.53355 # DEPENDENCYPART_ARC
(11,12),0.552287 # DEPENDENCYPART_ARC
(11,13),0.369777 # DEPENDENCYPART_ARC
(11,14),0.504006 # DEPENDENCYPART_ARC
(11,15),0.46248 # DEPENDENCYPART_ARC
(11,16),-0.100994 # DEPENDENCYPART_ARC
(11,17),-1.14203 # DEPENDENCYPART_ARC
(11,18),-1.26346 # DEPENDENCYPART_ARC
(11,19),-1.23679 # DEPENDENCYPART_ARC
(11,20),-0.299005 # DEPENDENCYPART_ARC
(12,1),-3.36553 # DEPENDENCYPART_ARC
(12,2),-1.51434 # DEPENDENCYPART_ARC
(12,3),-0.937452 # DEPENDENCYPART_ARC
(12,4),-1.84443 # DEPENDENCYPART_ARC
(12,5),-1.85419 # DEPENDENCYPART_ARC
(12,6),-1.60876 # DEPENDENCYPART_ARC
(12,7),-2.0756 # DEPENDENCYPART_ARC
(12,8),-0.921391 # DEPENDENCYPART_ARC
(12,9),-1.67892 # DEPENDENCYPART_ARC
(12,10),-0.874493 # DEPENDENCYPART_ARC
(12,11),-0.298344 # DEPENDENCYPART_ARC
(12,13),-0.750011 # DEPENDENCYPART_ARC
(12,14),-0.534703 # DEPENDENCYPART_ARC
(12,15),-0.14508 # DEPENDENCYPART_ARC
(12,16),-2.1028 # DEPENDENCYPART_ARC
(12,17),-1.62562 # DEPENDENCYPART_ARC
(12,18),-2.66024 # DEPENDENCYPART_ARC
(12,19),-2.01781 # DEPENDENCYPART_ARC
(12,20),-0.840109 # DEPENDENCYPART_ARC
(13,1),-4.38749 # DEPENDENCYPART_ARC
(13,2),-1.46247 # DEPENDENCYPART_ARC
(13,3),-1.0055 # DEPENDENCYPART_ARC
(13,4),-1.56959 # DEPENDENCYPART_ARC
(13,5),-2.11314 # DEPENDENCYPART_ARC
(13,6),-1.37068 # DEPENDENCYPART_ARC
(13,7),-1.70584 # DEPENDENCYPART_ARC
(13,8),-0.902347 # DEPENDENCYPART_ARC
(13,9),-2.21399 # DEPENDENCYPART_ARC
(13,10),-0.641894 # DEPENDENCYPART_ARC
(13,11),-0.159721 # DEPENDENCYPART_ARC
(13,12),1.15786 # DEPENDENCYPART_ARC
(13,14),0.0773714 # DEPENDENCYPART_ARC
(13,15),-0.17649 # DEPENDENCYPART_ARC
(13,16),-1.22194 # DEPENDENCYPART_ARC
(13,17),-1.68523 # DEPENDENCYPART_ARC
(13,18),-2.54657 # DEPENDENCYPART_ARC
(13,19),-2.20083 # DEPENDENCYPART_ARC
(13,20),-0.803909 # DEPENDENCYPART_ARC
(14,1),-2.29222 # DEPENDENCYPART_ARC
(14,2),-0.561065 # DEPENDENCYPART_ARC
(14,3),0.0413917 # DEPENDENCYPART_ARC
(14,4),0.22324 # DEPENDENCYPART_ARC
(14,5),-1.23259 # DEPENDENCYPART_ARC
(14,6),-1.18311 # DEPENDENCYPART_ARC
(14,7),-1.32384 # DEPENDENCYPART_ARC
(14,8),0.316882 # DEPENDENCYPART_ARC
(14,9),-0.731911 # DEPENDENCYPART_ARC
(14,10),0.203201 # DEPENDENCYPART_ARC
(14,11),0.220486 # DEPENDENCYPART_ARC
(14,12),3.84251 # DEPENDENCYPART_ARC
(14,13),3.74143 # DEPENDENCYPART_ARC
(14,15),0.513737 # DEPENDENCYPART_ARC
(14,16),0.576514 # DEPENDENCYPART_ARC
(14,17),-1.30536 # DEPENDENCYPART_ARC
(14,18),-1.85952 # DEPENDENCYPART_ARC
(14,19),-1.32227 # DEPENDENCYPART_ARC
(14,20),-0.490787 # DEPENDENCYPART_ARC
(15,1),-0.571774 # DEPENDENCYPART_ARC
(15,2),-0.394441 # DEPENDENCYPART_ARC
(15,3),-0.787281 # DEPENDENCYPART_ARC
(15,4),-0.656228 # DEPENDENCYPART_ARC
(15,5),-0.567801 # DEPENDENCYPART_ARC
(15,6),0.262506 # DEPENDENCYPART_ARC
(15,7),-0.400027 # DEPENDENCYPART_ARC
(15,8),-0.577046 # DEPENDENCYPART_ARC
(15,9),-0.569217 # DEPENDENCYPART_ARC
(15,10),-0.231446 # DEPENDENCYPART_ARC
(15,11),-0.255008 # DEPENDENCYPART_ARC
(15,12),-0.131697 # DEPENDENCYPART_ARC
(15,13),-0.0784709 # DEPENDENCYPART_ARC
(15,14),-0.0357291 # DEPENDENCYPART_ARC
(15,16),-0.00349502 # DEPENDENCYPART_ARC
(15,17),-1.13638 # DEPENDENCYPART_ARC
(15,18),-0.762 # DEPENDENCYPART_ARC
(15,19),-0.623352 # DEPENDENCYPART_ARC
(15,20),-0.557864 # DEPENDENCYPART_ARC
(16,1),1.293 # DEPENDENCYPART_ARC
(16,2),0.560559 # DEPENDENCYPART_ARC
(16,3),-1.11408 # DEPENDENCYPART_ARC
(16,4),-2.43396 # DEPENDENCYPART_ARC
(16,5),0.224416 # DEPENDENCYPART_ARC
(16,6),-0.79806 # DEPENDENCYPART_ARC
(16,7),-1.1942 # DEPENDENCYPART_ARC
(16,8),-1.23199 # DEPENDENCYPART_ARC
(16,9),-1.9898 # DEPENDENCYPART_ARC
(16,10),0.986438 # DEPENDENCYPART_ARC
(16,11),1.42795 # DEPENDENCYPART_ARC
(16,12),-0.356328 # DEPENDENCYPART_ARC
(16,13),-1.29944 # DEPENDENCYPART_ARC
(16,14),1.47365 # DEPENDENCYPART_ARC
(16,15),1.4088 # DEPENDENCYPART_ARC
(16,17),-0.103988 # DEPENDENCYPART_ARC
(16,18),0.148359 # DEPENDENCYPART_ARC
(16,19),2.54054 # DEPENDENCYPART_ARC
(16,20),1.05732 # DEPENDENCYPART_ARC
(17,1),-3.30777 # DEPENDENCYPART_ARC
(17,2),-1.39231 # DEPENDENCYPART_ARC
(17,3),-1.51272 # DEPENDENCYPART_ARC
(17,4),-2.69798 # DEPENDENCYPART_ARC
(17,5),-2.26052 # DEPENDENCYPART_ARC
(17,6),-1.77784 # DEPENDENCYPART_ARC
(17,7),-2.21254 # DEPENDENCYPART_ARC
(17,8),-1.24841 # DEPENDENCYPART_ARC
(17,9),-2.12917 # DEPENDENCYPART_ARC
(17,10),-1.43358 # DEPENDENCYPART_ARC
(17,11),-1.26146 # DEPENDENCYPART_ARC
(17,12),-1.0262 # DEPENDENCYPART_ARC
(17,13),-2.1699 # DEPENDENCYPART_ARC
(17,14),-1.65375 # DEPENDENCYPART_ARC
(17,15),-0.860878 # DEPENDENCYPART_ARC
(17,16),-1.66459 # DEPENDENCYPART_ARC
(17,18),-0.619388 # DEPENDENCYPART_ARC
(17,19),-0.404216 # DEPENDENCYPART_ARC
(17,20),-0.196873 # DEPENDENCYPART_ARC
(18,1),-5.36205 # DEPENDENCYPART_ARC
(18,2),-1.74695 # DEPENDENCYPART_ARC
(18,3),-1.59838 # DEPENDENCYPART_ARC
(18,4),-1.85545 # DEPENDENCYPART_ARC
(18,5),-2.57365 # DEPENDENCYPART_ARC
(18,6),-1.7261 # DEPENDENCYPART_ARC
(18,7),-2.028 # DEPENDENCYPART_ARC
(18,8),-1.96879 # DEPENDENCYPART_ARC
(18,9),-2.81145 # DEPENDENCYPART_ARC
(18,10),-1.28738 # DEPENDENCYPART_ARC
(18,11),-1.27191 # DEPENDENCYPART_ARC
(18,12),-0.993782 # DEPENDENCYPART_ARC
(18,13),-0.907738 # DEPENDENCYPART_ARC
(18,14),-1.7913 # DEPENDENCYPART_ARC
(18,15),-0.710112 # DEPENDENCYPART_ARC
(18,16),-2.96382 # DEPENDENCYPART_ARC
(18,17),0.801603 # DEPENDENCYPART_ARC
(18,19),0.302123 # DEPENDENCYPART_ARC
(18,20),-0.130751 # DEPENDENCYPART_ARC
(19,1),-2.71764 # DEPENDENCYPART_ARC
(19,2),-1.21816 # DEPENDENCYPART_ARC
(19,3),-2.01496 # DEPENDENCYPART_ARC
(19,4),-1.64941 # DEPENDENCYPART_ARC
(19,5),-2.59503 # DEPENDENCYPART_ARC
(19,6),-1.59226 # DEPENDENCYPART_ARC
(19,7),-1.904 # DEPENDENCYPART_ARC
(19,8),-1.22941 # DEPENDENCYPART_ARC
(19,9),-1.78804 # DEPENDENCYPART_ARC
(19,10),-0.481118 # DEPENDENCYPART_ARC
(19,11),-1.04308 # DEPENDENCYPART_ARC
(19,12),0.11899 # DEPENDENCYPART_ARC
(19,13),-0.58018 # DEPENDENCYPART_ARC
(19,14),-1.26523 # DEPENDENCYPART_ARC
(19,15),-0.245514 # DEPENDENCYPART_ARC
(19,16),-2.08921 # DEPENDENCYPART_ARC
(19,17),3.46519 # DEPENDENCYPART_ARC
(19,18),3.65266 # DEPENDENCYPART_ARC
(19,20),0.56442 # DEPENDENCYPART_ARC
(20,1),-2.40249 # DEPENDENCYPART_ARC
(20,2),-1.75376 # DEPENDENCYPART_ARC
(20,3),-2.3543 # DEPENDENCYPART_ARC
(20,4),-2.31074 # DEPENDENCYPART_ARC
(20,5),-2.7366 # DEPENDENCYPART_ARC
(20,6),-2.25069 # DEPENDENCYPART_ARC
(20,7),-2.63045 # DEPENDENCYPART_ARC
(20,8),-2.27875 # DEPENDENCYPART_ARC
(20,9),-2.80701 # DEPENDENCYPART_ARC
(20,10),-1.97892 # DEPENDENCYPART_ARC
(20,11),-1.7217 # DEPENDENCYPART_ARC
(20,12),-2.14849 # DEPENDENCYPART_ARC
(20,13),-2.15334 # DEPENDENCYPART_ARC
(20,14),-2.35566 # DEPENDENCYPART_ARC
(20,15),-1.79612 # DEPENDENCYPART_ARC
(20,16),-1.87675 # DEPENDENCYPART_ARC
(20,17),-1.48001 # DEPENDENCYPART_ARC
(20,18),-1.50199 # DEPENDENCYPART_ARC
(20,19),-1.7139 # DEPENDENCYPART_ARC
