# _root_ Από τότε , η Κέρκυρα έχει γεννήσει δύο Έλληνες πρωθυπουργούς και διάφορους άλλους πρωταγωνιστές της πολιτικής , κοινωνικής και πολιτιστικής ζωής της χώρας .
#goldHeads=7,1,7,5,7,7,0,10,10,11,7,14,14,11,16,19,19,19,21,19,14,23,21,0,
#predictedHeads=7,1,7,5,7,7,0,9,7,11,7,14,14,11,16,14,19,19,21,19,16,23,21,0,
(3,4),-0.0668768 # DEPENDENCYPART_ARC
(3,5),0.0460785 # DEPENDENCYPART_ARC
(3,6),0.00115833 # DEPENDENCYPART_ARC
(3,7),-0.69044 # DEPENDENCYPART_ARC
(3,8),-0.9081 # DEPENDENCYPART_ARC
(3,9),-1.23547 # DEPENDENCYPART_ARC
(3,10),-1.21019 # DEPENDENCYPART_ARC
(3,11),-0.509538 # DEPENDENCYPART_ARC
(3,12),-1.24613 # DEPENDENCYPART_ARC
(3,13),-1.6379 # DEPENDENCYPART_ARC
(3,14),-1.67817 # DEPENDENCYPART_ARC
(3,15),-1.418 # DEPENDENCYPART_ARC
(3,16),-1.70432 # DEPENDENCYPART_ARC
(3,17),-0.492953 # DEPENDENCYPART_ARC
(3,18),-1.18254 # DEPENDENCYPART_ARC
(3,19),-1.0256 # DEPENDENCYPART_ARC
(3,20),-1.18269 # DEPENDENCYPART_ARC
(3,21),-1.77064 # DEPENDENCYPART_ARC
(3,22),-1.52712 # DEPENDENCYPART_ARC
(3,23),-1.77935 # DEPENDENCYPART_ARC
(3,24),-0.68016 # DEPENDENCYPART_ARC
(4,1),-1.19536 # DEPENDENCYPART_ARC
(4,2),-0.96694 # DEPENDENCYPART_ARC
(4,3),-0.695734 # DEPENDENCYPART_ARC
(4,5),-0.191216 # DEPENDENCYPART_ARC
(4,6),-1.87605 # DEPENDENCYPART_ARC
(4,7),-2.33885 # DEPENDENCYPART_ARC
(4,8),-1.65827 # DEPENDENCYPART_ARC
(4,9),-2.13689 # DEPENDENCYPART_ARC
(4,10),-2.03112 # DEPENDENCYPART_ARC
(4,11),-0.680257 # DEPENDENCYPART_ARC
(4,12),-2.853 # DEPENDENCYPART_ARC
(4,13),-2.88144 # DEPENDENCYPART_ARC
(4,14),-2.56554 # DEPENDENCYPART_ARC
(4,15),-1.90359 # DEPENDENCYPART_ARC
(4,16),-2.03582 # DEPENDENCYPART_ARC
(4,17),-1.14968 # DEPENDENCYPART_ARC
(4,18),-2.7431 # DEPENDENCYPART_ARC
(4,19),-0.834823 # DEPENDENCYPART_ARC
(4,20),-2.93139 # DEPENDENCYPART_ARC
(4,21),-2.06074 # DEPENDENCYPART_ARC
(4,22),-1.91796 # DEPENDENCYPART_ARC
(4,23),-2.14485 # DEPENDENCYPART_ARC
(4,24),-1.23057 # DEPENDENCYPART_ARC
(5,1),-0.941594 # DEPENDENCYPART_ARC
(5,2),-0.528701 # DEPENDENCYPART_ARC
(5,3),-0.218414 # DEPENDENCYPART_ARC
(5,4),3.17028 # DEPENDENCYPART_ARC
(5,6),-1.02951 # DEPENDENCYPART_ARC
(5,7),-1.11461 # DEPENDENCYPART_ARC
(5,8),-1.68401 # DEPENDENCYPART_ARC
(5,9),-2.10318 # DEPENDENCYPART_ARC
(5,10),-1.9491 # DEPENDENCYPART_ARC
(5,11),-0.896204 # DEPENDENCYPART_ARC
(5,12),-3.26137 # DEPENDENCYPART_ARC
(5,13),-2.86541 # DEPENDENCYPART_ARC
(5,14),-3.35378 # DEPENDENCYPART_ARC
(5,15),-2.47533 # DEPENDENCYPART_ARC
(5,16),-2.04392 # DEPENDENCYPART_ARC
(5,17),-1.44815 # DEPENDENCYPART_ARC
(5,18),-2.6493 # DEPENDENCYPART_ARC
(5,19),-1.5544 # DEPENDENCYPART_ARC
(5,20),-2.6424 # DEPENDENCYPART_ARC
(5,21),-2.88073 # DEPENDENCYPART_ARC
(5,22),-2.78091 # DEPENDENCYPART_ARC
(5,23),-2.92222 # DEPENDENCYPART_ARC
(5,24),-1.09409 # DEPENDENCYPART_ARC
(6,1),0.702563 # DEPENDENCYPART_ARC
(6,2),0.122979 # DEPENDENCYPART_ARC
(6,3),0.982341 # DEPENDENCYPART_ARC
(6,4),-1.0156 # DEPENDENCYPART_ARC
(6,5),1.42715 # DEPENDENCYPART_ARC
(6,7),-0.465507 # DEPENDENCYPART_ARC
(6,8),-1.24423 # DEPENDENCYPART_ARC
(6,9),-0.366645 # DEPENDENCYPART_ARC
(6,10),-0.254459 # DEPENDENCYPART_ARC
(6,11),-0.823331 # DEPENDENCYPART_ARC
(6,12),-3.04959 # DEPENDENCYPART_ARC
(6,13),-2.97994 # DEPENDENCYPART_ARC
(6,14),-1.57403 # DEPENDENCYPART_ARC
(6,15),-3.81278 # DEPENDENCYPART_ARC
(6,16),-2.97439 # DEPENDENCYPART_ARC
(6,17),-0.634001 # DEPENDENCYPART_ARC
(6,18),-4.33296 # DEPENDENCYPART_ARC
(6,19),-1.2261 # DEPENDENCYPART_ARC
(6,20),-4.94774 # DEPENDENCYPART_ARC
(6,21),-3.04243 # DEPENDENCYPART_ARC
(6,22),-4.07316 # DEPENDENCYPART_ARC
(6,23),-3.40467 # DEPENDENCYPART_ARC
(6,24),-0.655854 # DEPENDENCYPART_ARC
(7,1),1.50204 # DEPENDENCYPART_ARC
(7,2),1.0315 # DEPENDENCYPART_ARC
(7,3),1.42845 # DEPENDENCYPART_ARC
(7,4),-0.139822 # DEPENDENCYPART_ARC
(7,5),2.64842 # DEPENDENCYPART_ARC
(7,6),4.80252 # DEPENDENCYPART_ARC
(7,8),1.55278 # DEPENDENCYPART_ARC
(7,9),2.19575 # DEPENDENCYPART_ARC
(7,10),1.92331 # DEPENDENCYPART_ARC
(7,11),0.628031 # DEPENDENCYPART_ARC
(7,12),-0.757816 # DEPENDENCYPART_ARC
(7,13),-1.14034 # DEPENDENCYPART_ARC
(7,14),0.0603801 # DEPENDENCYPART_ARC
(7,15),-2.79855 # DEPENDENCYPART_ARC
(7,16),-2.07655 # DEPENDENCYPART_ARC
(7,17),0.667655 # DEPENDENCYPART_ARC
(7,18),-3.19625 # DEPENDENCYPART_ARC
(7,19),0.255478 # DEPENDENCYPART_ARC
(7,20),-3.78025 # DEPENDENCYPART_ARC
(7,21),-2.31106 # DEPENDENCYPART_ARC
(7,22),-2.88346 # DEPENDENCYPART_ARC
(7,23),-2.86562 # DEPENDENCYPART_ARC
(7,24),0.348058 # DEPENDENCYPART_ARC
(8,1),-0.595621 # DEPENDENCYPART_ARC
(8,2),-0.496976 # DEPENDENCYPART_ARC
(8,3),-0.965443 # DEPENDENCYPART_ARC
(8,4),-0.52718 # DEPENDENCYPART_ARC
(8,5),-1.25631 # DEPENDENCYPART_ARC
(8,6),-1.63743 # DEPENDENCYPART_ARC
(8,7),-0.795586 # DEPENDENCYPART_ARC
(8,9),-0.649905 # DEPENDENCYPART_ARC
(8,10),-0.315577 # DEPENDENCYPART_ARC
(8,11),-0.193272 # DEPENDENCYPART_ARC
(8,12),-1.08969 # DEPENDENCYPART_ARC
(8,13),-0.83941 # DEPENDENCYPART_ARC
(8,14),-2.29807 # DEPENDENCYPART_ARC
(8,15),-0.786984 # DEPENDENCYPART_ARC
(8,16),-0.872283 # DEPENDENCYPART_ARC
(8,17),-0.553496 # DEPENDENCYPART_ARC
(8,18),-1.61465 # DEPENDENCYPART_ARC
(8,19),-0.692121 # DEPENDENCYPART_ARC
(8,20),-1.74164 # DEPENDENCYPART_ARC
(8,21),-1.07054 # DEPENDENCYPART_ARC
(8,22),-0.900298 # DEPENDENCYPART_ARC
(8,23),-0.952412 # DEPENDENCYPART_ARC
(8,24),-0.775136 # DEPENDENCYPART_ARC
(9,1),-0.752566 # DEPENDENCYPART_ARC
(9,2),-0.6195 # DEPENDENCYPART_ARC
(9,3),-0.9735 # DEPENDENCYPART_ARC
(9,4),0.333707 # DEPENDENCYPART_ARC
(9,5),-1.4414 # DEPENDENCYPART_ARC
(9,6),-1.94533 # DEPENDENCYPART_ARC
(9,7),-0.655459 # DEPENDENCYPART_ARC
(9,8),2.43623 # DEPENDENCYPART_ARC
(9,10),0.443331 # DEPENDENCYPART_ARC
(9,11),0.587611 # DEPENDENCYPART_ARC
(9,12),-0.758276 # DEPENDENCYPART_ARC
(9,13),-1.69336 # DEPENDENCYPART_ARC
(9,14),-1.17859 # DEPENDENCYPART_ARC
(9,15),-2.27451 # DEPENDENCYPART_ARC
(9,16),-0.585324 # DEPENDENCYPART_ARC
(9,17),-0.5798 # DEPENDENCYPART_ARC
(9,18),-1.34348 # DEPENDENCYPART_ARC
(9,19),-0.260418 # DEPENDENCYPART_ARC
(9,20),-1.46666 # DEPENDENCYPART_ARC
(9,21),-1.21242 # DEPENDENCYPART_ARC
(9,22),-2.66113 # DEPENDENCYPART_ARC
(9,23),-1.53999 # DEPENDENCYPART_ARC
(9,24),-0.381663 # DEPENDENCYPART_ARC
(10,1),-0.556082 # DEPENDENCYPART_ARC
(10,2),-0.895414 # DEPENDENCYPART_ARC
(10,3),-0.949164 # DEPENDENCYPART_ARC
(10,4),-0.921086 # DEPENDENCYPART_ARC
(10,5),-1.4704 # DEPENDENCYPART_ARC
(10,6),-2.32417 # DEPENDENCYPART_ARC
(10,7),-2.08793 # DEPENDENCYPART_ARC
(10,8),2.26421 # DEPENDENCYPART_ARC
(10,9),1.26974 # DEPENDENCYPART_ARC
(10,11),0.642432 # DEPENDENCYPART_ARC
(10,12),-0.118484 # DEPENDENCYPART_ARC
(10,13),-0.836466 # DEPENDENCYPART_ARC
(10,14),-1.56582 # DEPENDENCYPART_ARC
(10,15),-1.22524 # DEPENDENCYPART_ARC
(10,16),-0.5918 # DEPENDENCYPART_ARC
(10,17),-0.51305 # DEPENDENCYPART_ARC
(10,18),-1.31594 # DEPENDENCYPART_ARC
(10,19),-0.570682 # DEPENDENCYPART_ARC
(10,20),-1.2898 # DEPENDENCYPART_ARC
(10,21),-1.24068 # DEPENDENCYPART_ARC
(10,22),-1.67934 # DEPENDENCYPART_ARC
(10,23),-1.69428 # DEPENDENCYPART_ARC
(10,24),-0.427685 # DEPENDENCYPART_ARC
(11,1),-0.0607722 # DEPENDENCYPART_ARC
(11,2),-0.0344701 # DEPENDENCYPART_ARC
(11,3),0.335328 # DEPENDENCYPART_ARC
(11,4),0.0365017 # DEPENDENCYPART_ARC
(11,5),0.23948 # DEPENDENCYPART_ARC
(11,6),0.965094 # DEPENDENCYPART_ARC
(11,7),0.935292 # DEPENDENCYPART_ARC
(11,8),1.06331 # DEPENDENCYPART_ARC
(11,9),0.971055 # DEPENDENCYPART_ARC
(11,10),3.09071 # DEPENDENCYPART_ARC
(11,12),1.62579 # DEPENDENCYPART_ARC
(11,13),0.633581 # DEPENDENCYPART_ARC
(11,14),1.10579 # DEPENDENCYPART_ARC
(11,15),-0.508461 # DEPENDENCYPART_ARC
(11,16),0.634443 # DEPENDENCYPART_ARC
(11,17),0.196804 # DEPENDENCYPART_ARC
(11,18),-0.018906 # DEPENDENCYPART_ARC
(11,19),-0.235118 # DEPENDENCYPART_ARC
(11,20),0.0480027 # DEPENDENCYPART_ARC
(11,21),-0.55132 # DEPENDENCYPART_ARC
(11,22),-0.751603 # DEPENDENCYPART_ARC
(11,23),-1.17516 # DEPENDENCYPART_ARC
(11,24),-0.170773 # DEPENDENCYPART_ARC
(12,1),-0.935336 # DEPENDENCYPART_ARC
(12,2),-1.11456 # DEPENDENCYPART_ARC
(12,3),-0.907769 # DEPENDENCYPART_ARC
(12,4),-1.20108 # DEPENDENCYPART_ARC
(12,5),-1.82083 # DEPENDENCYPART_ARC
(12,6),-4.12931 # DEPENDENCYPART_ARC
(12,7),-2.55961 # DEPENDENCYPART_ARC
(12,8),0.345414 # DEPENDENCYPART_ARC
(12,9),-0.124017 # DEPENDENCYPART_ARC
(12,10),-0.575786 # DEPENDENCYPART_ARC
(12,11),0.620036 # DEPENDENCYPART_ARC
(12,13),0.655341 # DEPENDENCYPART_ARC
(12,14),0.0191693 # DEPENDENCYPART_ARC
(12,15),-0.698439 # DEPENDENCYPART_ARC
(12,16),0.623772 # DEPENDENCYPART_ARC
(12,17),-0.0775589 # DEPENDENCYPART_ARC
(12,18),-1.65358 # DEPENDENCYPART_ARC
(12,19),0.0384507 # DEPENDENCYPART_ARC
(12,20),-1.75983 # DEPENDENCYPART_ARC
(12,21),-0.129811 # DEPENDENCYPART_ARC
(12,22),-1.25525 # DEPENDENCYPART_ARC
(12,23),-0.411538 # DEPENDENCYPART_ARC
(12,24),-0.189027 # DEPENDENCYPART_ARC
(13,1),-1.18151 # DEPENDENCYPART_ARC
(13,2),-0.889103 # DEPENDENCYPART_ARC
(13,3),-1.0871 # DEPENDENCYPART_ARC
(13,4),-1.38861 # DEPENDENCYPART_ARC
(13,5),-2.48533 # DEPENDENCYPART_ARC
(13,6),-3.36135 # DEPENDENCYPART_ARC
(13,7),-2.95499 # DEPENDENCYPART_ARC
(13,8),-1.55756 # DEPENDENCYPART_ARC
(13,9),-1.18342 # DEPENDENCYPART_ARC
(13,10),-1.51857 # DEPENDENCYPART_ARC
(13,11),0.0447661 # DEPENDENCYPART_ARC
(13,12),-0.0200518 # DEPENDENCYPART_ARC
(13,14),0.586111 # DEPENDENCYPART_ARC
(13,15),-1.16815 # DEPENDENCYPART_ARC
(13,16),-0.0684205 # DEPENDENCYPART_ARC
(13,17),-0.193637 # DEPENDENCYPART_ARC
(13,18),-1.77345 # DEPENDENCYPART_ARC
(13,19),-0.127335 # DEPENDENCYPART_ARC
(13,20),-2.11846 # DEPENDENCYPART_ARC
(13,21),-0.96995 # DEPENDENCYPART_ARC
(13,22),-1.96984 # DEPENDENCYPART_ARC
(13,23),-0.97304 # DEPENDENCYPART_ARC
(13,24),-0.473268 # DEPENDENCYPART_ARC
(14,1),-0.98109 # DEPENDENCYPART_ARC
(14,2),-0.687983 # DEPENDENCYPART_ARC
(14,3),-1.08422 # DEPENDENCYPART_ARC
(14,4),-0.564824 # DEPENDENCYPART_ARC
(14,5),-1.8321 # DEPENDENCYPART_ARC
(14,6),-2.66996 # DEPENDENCYPART_ARC
(14,7),-2.17788 # DEPENDENCYPART_ARC
(14,8),0.584484 # DEPENDENCYPART_ARC
(14,9),0.722501 # DEPENDENCYPART_ARC
(14,10),-0.727757 # DEPENDENCYPART_ARC
(14,11),0.429185 # DEPENDENCYPART_ARC
(14,12),2.56746 # DEPENDENCYPART_ARC
(14,13),3.512 # DEPENDENCYPART_ARC
(14,15),-0.362824 # DEPENDENCYPART_ARC
(14,16),2.43731 # DEPENDENCYPART_ARC
(14,17),0.34041 # DEPENDENCYPART_ARC
(14,18),-0.00414626 # DEPENDENCYPART_ARC
(14,19),0.0681103 # DEPENDENCYPART_ARC
(14,20),-0.490194 # DEPENDENCYPART_ARC
(14,21),0.516175 # DEPENDENCYPART_ARC
(14,22),-1.72826 # DEPENDENCYPART_ARC
(14,23),-0.120115 # DEPENDENCYPART_ARC
(14,24),0.177873 # DEPENDENCYPART_ARC
(15,1),-1.60056 # DEPENDENCYPART_ARC
(15,2),-1.58481 # DEPENDENCYPART_ARC
(15,3),-1.73175 # DEPENDENCYPART_ARC
(15,4),-1.74607 # DEPENDENCYPART_ARC
(15,5),-2.61285 # DEPENDENCYPART_ARC
(15,6),-2.86083 # DEPENDENCYPART_ARC
(15,7),-2.60584 # DEPENDENCYPART_ARC
(15,8),-1.31519 # DEPENDENCYPART_ARC
(15,9),-2.50025 # DEPENDENCYPART_ARC
(15,10),-2.38773 # DEPENDENCYPART_ARC
(15,11),-1.06124 # DEPENDENCYPART_ARC
(15,12),-2.64996 # DEPENDENCYPART_ARC
(15,13),-1.39428 # DEPENDENCYPART_ARC
(15,14),-1.40261 # DEPENDENCYPART_ARC
(15,16),0.145781 # DEPENDENCYPART_ARC
(15,17),-0.491278 # DEPENDENCYPART_ARC
(15,18),-1.51308 # DEPENDENCYPART_ARC
(15,19),-0.272801 # DEPENDENCYPART_ARC
(15,20),-1.84343 # DEPENDENCYPART_ARC
(15,21),-1.41987 # DEPENDENCYPART_ARC
(15,22),-1.26906 # DEPENDENCYPART_ARC
(15,23),-1.54803 # DEPENDENCYPART_ARC
(15,24),-0.750307 # DEPENDENCYPART_ARC
(16,1),-1.20187 # DEPENDENCYPART_ARC
(16,2),-1.26538 # DEPENDENCYPART_ARC
(16,3),-1.34342 # DEPENDENCYPART_ARC
(16,4),-2.00697 # DEPENDENCYPART_ARC
(16,5),-2.95375 # DEPENDENCYPART_ARC
(16,6),-2.77292 # DEPENDENCYPART_ARC
(16,7),-2.67926 # DEPENDENCYPART_ARC
(16,8),-0.625593 # DEPENDENCYPART_ARC
(16,9),-2.52492 # DEPENDENCYPART_ARC
(16,10),-3.32684 # DEPENDENCYPART_ARC
(16,11),-0.220506 # DEPENDENCYPART_ARC
(16,12),-2.09002 # DEPENDENCYPART_ARC
(16,13),-0.560784 # DEPENDENCYPART_ARC
(16,14),-1.22676 # DEPENDENCYPART_ARC
(16,15),3.54312 # DEPENDENCYPART_ARC
(16,17),0.151857 # DEPENDENCYPART_ARC
(16,18),0.457641 # DEPENDENCYPART_ARC
(16,19),0.160678 # DEPENDENCYPART_ARC
(16,20),-0.19381 # DEPENDENCYPART_ARC
(16,21),0.651417 # DEPENDENCYPART_ARC
(16,22),-0.779228 # DEPENDENCYPART_ARC
(16,23),-0.10826 # DEPENDENCYPART_ARC
(16,24),-0.495745 # DEPENDENCYPART_ARC
(17,1),-0.518801 # DEPENDENCYPART_ARC
(17,2),-0.574134 # DEPENDENCYPART_ARC
(17,3),-0.545821 # DEPENDENCYPART_ARC
(17,4),-0.765369 # DEPENDENCYPART_ARC
(17,5),-0.264453 # DEPENDENCYPART_ARC
(17,6),-0.355602 # DEPENDENCYPART_ARC
(17,7),-0.363436 # DEPENDENCYPART_ARC
(17,8),0.0618975 # DEPENDENCYPART_ARC
(17,9),0.461556 # DEPENDENCYPART_ARC
(17,10),0.467221 # DEPENDENCYPART_ARC
(17,11),0.211622 # DEPENDENCYPART_ARC
(17,12),-0.0146691 # DEPENDENCYPART_ARC
(17,13),-0.215011 # DEPENDENCYPART_ARC
(17,14),0.413866 # DEPENDENCYPART_ARC
(17,15),0.248282 # DEPENDENCYPART_ARC
(17,16),0.527153 # DEPENDENCYPART_ARC
(17,18),0.404298 # DEPENDENCYPART_ARC
(17,19),0.144584 # DEPENDENCYPART_ARC
(17,20),0.188519 # DEPENDENCYPART_ARC
(17,21),0.110032 # DEPENDENCYPART_ARC
(17,22),-0.710629 # DEPENDENCYPART_ARC
(17,23),-0.191152 # DEPENDENCYPART_ARC
(17,24),0.334231 # DEPENDENCYPART_ARC
(18,1),-1.19568 # DEPENDENCYPART_ARC
(18,2),-1.89219 # DEPENDENCYPART_ARC
(18,3),-1.30296 # DEPENDENCYPART_ARC
(18,4),-1.27463 # DEPENDENCYPART_ARC
(18,5),-2.81731 # DEPENDENCYPART_ARC
(18,6),-3.67389 # DEPENDENCYPART_ARC
(18,7),-2.32988 # DEPENDENCYPART_ARC
(18,8),-0.928976 # DEPENDENCYPART_ARC
(18,9),-1.50546 # DEPENDENCYPART_ARC
(18,10),-2.79035 # DEPENDENCYPART_ARC
(18,11),-0.720499 # DEPENDENCYPART_ARC
(18,12),-2.10602 # DEPENDENCYPART_ARC
(18,13),-0.073028 # DEPENDENCYPART_ARC
(18,14),-1.11251 # DEPENDENCYPART_ARC
(18,15),-0.184584 # DEPENDENCYPART_ARC
(18,16),-1.80775 # DEPENDENCYPART_ARC
(18,17),0.412498 # DEPENDENCYPART_ARC
(18,19),0.182519 # DEPENDENCYPART_ARC
(18,20),-0.916511 # DEPENDENCYPART_ARC
(18,21),-0.0356214 # DEPENDENCYPART_ARC
(18,22),-0.983837 # DEPENDENCYPART_ARC
(18,23),-0.660804 # DEPENDENCYPART_ARC
(18,24),-0.294133 # DEPENDENCYPART_ARC
(19,1),-0.244469 # DEPENDENCYPART_ARC
(19,2),-0.180824 # DEPENDENCYPART_ARC
(19,3),-0.173151 # DEPENDENCYPART_ARC
(19,4),-0.506504 # DEPENDENCYPART_ARC
(19,5),-0.597203 # DEPENDENCYPART_ARC
(19,6),0.797008 # DEPENDENCYPART_ARC
(19,7),0.423715 # DEPENDENCYPART_ARC
(19,8),0.303745 # DEPENDENCYPART_ARC
(19,9),0.454377 # DEPENDENCYPART_ARC
(19,10),1.2284 # DEPENDENCYPART_ARC
(19,11),0.254825 # DEPENDENCYPART_ARC
(19,12),0.691091 # DEPENDENCYPART_ARC
(19,13),0.524685 # DEPENDENCYPART_ARC
(19,14),0.804692 # DEPENDENCYPART_ARC
(19,15),0.291135 # DEPENDENCYPART_ARC
(19,16),1.1982 # DEPENDENCYPART_ARC
(19,17),1.35284 # DEPENDENCYPART_ARC
(19,18),2.74997 # DEPENDENCYPART_ARC
(19,20),4.09702 # DEPENDENCYPART_ARC
(19,21),0.625403 # DEPENDENCYPART_ARC
(19,22),-0.381135 # DEPENDENCYPART_ARC
(19,23),-0.2384 # DEPENDENCYPART_ARC
(19,24),-0.0168546 # DEPENDENCYPART_ARC
(20,1),-1.24566 # DEPENDENCYPART_ARC
(20,2),-2.00524 # DEPENDENCYPART_ARC
(20,3),-1.45416 # DEPENDENCYPART_ARC
(20,4),-1.60426 # DEPENDENCYPART_ARC
(20,5),-2.86738 # DEPENDENCYPART_ARC
(20,6),-3.8356 # DEPENDENCYPART_ARC
(20,7),-2.51322 # DEPENDENCYPART_ARC
(20,8),-1.08183 # DEPENDENCYPART_ARC
(20,9),-1.79359 # DEPENDENCYPART_ARC
(20,10),-2.9704 # DEPENDENCYPART_ARC
(20,11),-0.794459 # DEPENDENCYPART_ARC
(20,12),-2.28424 # DEPENDENCYPART_ARC
(20,13),-0.449391 # DEPENDENCYPART_ARC
(20,14),-1.49377 # DEPENDENCYPART_ARC
(20,15),-0.791236 # DEPENDENCYPART_ARC
(20,16),-2.47593 # DEPENDENCYPART_ARC
(20,17),-0.501141 # DEPENDENCYPART_ARC
(20,18),0.0348808 # DEPENDENCYPART_ARC
(20,19),0.672581 # DEPENDENCYPART_ARC
(20,21),0.556057 # DEPENDENCYPART_ARC
(20,22),-0.701481 # DEPENDENCYPART_ARC
(20,23),-0.749268 # DEPENDENCYPART_ARC
(20,24),-0.574651 # DEPENDENCYPART_ARC
(21,1),-0.927501 # DEPENDENCYPART_ARC
(21,2),-0.958621 # DEPENDENCYPART_ARC
(21,3),-0.887741 # DEPENDENCYPART_ARC
(21,4),-1.69246 # DEPENDENCYPART_ARC
(21,5),-2.8338 # DEPENDENCYPART_ARC
(21,6),-2.71894 # DEPENDENCYPART_ARC
(21,7),-2.79108 # DEPENDENCYPART_ARC
(21,8),-0.444469 # DEPENDENCYPART_ARC
(21,9),-2.72228 # DEPENDENCYPART_ARC
(21,10),-3.42167 # DEPENDENCYPART_ARC
(21,11),-0.283083 # DEPENDENCYPART_ARC
(21,12),-2.62531 # DEPENDENCYPART_ARC
(21,13),-1.40865 # DEPENDENCYPART_ARC
(21,14),-2.40627 # DEPENDENCYPART_ARC
(21,15),1.49383 # DEPENDENCYPART_ARC
(21,16),-0.529711 # DEPENDENCYPART_ARC
(21,17),-0.00632943 # DEPENDENCYPART_ARC
(21,18),0.633538 # DEPENDENCYPART_ARC
(21,19),2.18062 # DEPENDENCYPART_ARC
(21,20),2.76122 # DEPENDENCYPART_ARC
(21,22),0.700749 # DEPENDENCYPART_ARC
