# _root_ Οι βακτηριακές αποικίες , που παραμένουν στο ίζημα εκατομμύρια χρόνια , φαίνονται μάλιστα να αναπτύσσονται με ρυθμό παρόμοιο με των βακτηρίων της επιφάνειας .
#goldHeads=3,3,12,6,6,3,6,7,10,6,6,0,12,15,12,15,16,17,18,21,19,23,21,0,
#predictedHeads=3,3,12,6,6,3,6,7,10,6,12,0,12,15,13,15,16,17,18,21,19,23,21,0,
(4,14),-0.738092 # DEPENDENCYPART_ARC
(4,15),-1.00572 # DEPENDENCYPART_ARC
(4,16),-0.638145 # DEPENDENCYPART_ARC
(4,17),-1.36642 # DEPENDENCYPART_ARC
(4,18),-0.947392 # DEPENDENCYPART_ARC
(4,19),-0.497596 # DEPENDENCYPART_ARC
(4,20),-1.30617 # DEPENDENCYPART_ARC
(4,21),-1.44294 # DEPENDENCYPART_ARC
(4,22),-1.15484 # DEPENDENCYPART_ARC
(4,23),-1.46574 # DEPENDENCYPART_ARC
(4,24),-0.306986 # DEPENDENCYPART_ARC
(5,1),0.298949 # DEPENDENCYPART_ARC
(5,2),-0.978578 # DEPENDENCYPART_ARC
(5,3),-1.10366 # DEPENDENCYPART_ARC
(5,4),0.1878 # DEPENDENCYPART_ARC
(5,6),-0.255233 # DEPENDENCYPART_ARC
(5,7),-1.48488 # DEPENDENCYPART_ARC
(5,8),-1.61097 # DEPENDENCYPART_ARC
(5,9),-0.761367 # DEPENDENCYPART_ARC
(5,10),-1.99628 # DEPENDENCYPART_ARC
(5,11),-1.00884 # DEPENDENCYPART_ARC
(5,12),-2.28128 # DEPENDENCYPART_ARC
(5,13),-1.44683 # DEPENDENCYPART_ARC
(5,14),-1.56918 # DEPENDENCYPART_ARC
(5,15),-2.49628 # DEPENDENCYPART_ARC
(5,16),-1.58408 # DEPENDENCYPART_ARC
(5,17),-2.74385 # DEPENDENCYPART_ARC
(5,18),-2.21579 # DEPENDENCYPART_ARC
(5,19),-1.51973 # DEPENDENCYPART_ARC
(5,20),-2.7413 # DEPENDENCYPART_ARC
(5,21),-2.35865 # DEPENDENCYPART_ARC
(5,22),-2.82151 # DEPENDENCYPART_ARC
(5,23),-2.06207 # DEPENDENCYPART_ARC
(5,24),-1.48216 # DEPENDENCYPART_ARC
(6,1),-1.53089 # DEPENDENCYPART_ARC
(6,2),-0.634591 # DEPENDENCYPART_ARC
(6,3),0.421932 # DEPENDENCYPART_ARC
(6,4),1.3539 # DEPENDENCYPART_ARC
(6,5),3.84057 # DEPENDENCYPART_ARC
(6,7),2.57196 # DEPENDENCYPART_ARC
(6,8),1.11608 # DEPENDENCYPART_ARC
(6,9),-0.606173 # DEPENDENCYPART_ARC
(6,10),0.864948 # DEPENDENCYPART_ARC
(6,11),1.03955 # DEPENDENCYPART_ARC
(6,12),-2.0253 # DEPENDENCYPART_ARC
(6,13),-0.0752596 # DEPENDENCYPART_ARC
(6,14),-0.696501 # DEPENDENCYPART_ARC
(6,15),-2.62716 # DEPENDENCYPART_ARC
(6,16),0.0130002 # DEPENDENCYPART_ARC
(6,17),-2.41988 # DEPENDENCYPART_ARC
(6,18),-2.815 # DEPENDENCYPART_ARC
(6,19),-0.827363 # DEPENDENCYPART_ARC
(6,20),-3.12415 # DEPENDENCYPART_ARC
(6,21),-3.72469 # DEPENDENCYPART_ARC
(6,22),-3.63289 # DEPENDENCYPART_ARC
(6,23),-4.48346 # DEPENDENCYPART_ARC
(6,24),0.434259 # DEPENDENCYPART_ARC
(7,1),-1.73391 # DEPENDENCYPART_ARC
(7,2),-2.39434 # DEPENDENCYPART_ARC
(7,3),-2.57255 # DEPENDENCYPART_ARC
(7,4),-0.520279 # DEPENDENCYPART_ARC
(7,5),-1.35644 # DEPENDENCYPART_ARC
(7,6),-1.23292 # DEPENDENCYPART_ARC
(7,8),3.54415 # DEPENDENCYPART_ARC
(7,9),0.718606 # DEPENDENCYPART_ARC
(7,10),0.687316 # DEPENDENCYPART_ARC
(7,11),-0.0618712 # DEPENDENCYPART_ARC
(7,12),-1.94363 # DEPENDENCYPART_ARC
(7,13),-1.20134 # DEPENDENCYPART_ARC
(7,14),-1.63372 # DEPENDENCYPART_ARC
(7,15),-2.75504 # DEPENDENCYPART_ARC
(7,16),-1.55328 # DEPENDENCYPART_ARC
(7,17),-1.67634 # DEPENDENCYPART_ARC
(7,18),-1.51936 # DEPENDENCYPART_ARC
(7,19),-1.74716 # DEPENDENCYPART_ARC
(7,20),-2.57012 # DEPENDENCYPART_ARC
(7,21),-4.47509 # DEPENDENCYPART_ARC
(7,22),-2.00641 # DEPENDENCYPART_ARC
(7,23),-5.26537 # DEPENDENCYPART_ARC
(7,24),-1.31216 # DEPENDENCYPART_ARC
(8,1),-2.75009 # DEPENDENCYPART_ARC
(8,2),-3.53732 # DEPENDENCYPART_ARC
(8,3),-4.02769 # DEPENDENCYPART_ARC
(8,4),-1.7534 # DEPENDENCYPART_ARC
(8,5),-2.97712 # DEPENDENCYPART_ARC
(8,6),-2.42679 # DEPENDENCYPART_ARC
(8,7),-0.0429061 # DEPENDENCYPART_ARC
(8,9),0.761401 # DEPENDENCYPART_ARC
(8,10),0.683929 # DEPENDENCYPART_ARC
(8,11),0.0450151 # DEPENDENCYPART_ARC
(8,12),-1.23228 # DEPENDENCYPART_ARC
(8,13),-0.889348 # DEPENDENCYPART_ARC
(8,14),-1.20397 # DEPENDENCYPART_ARC
(8,15),-2.26252 # DEPENDENCYPART_ARC
(8,16),-1.0221 # DEPENDENCYPART_ARC
(8,17),-1.94747 # DEPENDENCYPART_ARC
(8,18),-1.13866 # DEPENDENCYPART_ARC
(8,19),-1.30152 # DEPENDENCYPART_ARC
(8,20),-1.77975 # DEPENDENCYPART_ARC
(8,21),-1.61271 # DEPENDENCYPART_ARC
(8,22),-1.73007 # DEPENDENCYPART_ARC
(8,23),-1.52465 # DEPENDENCYPART_ARC
(8,24),-0.632307 # DEPENDENCYPART_ARC
(9,1),-0.220838 # DEPENDENCYPART_ARC
(9,2),-0.706317 # DEPENDENCYPART_ARC
(9,3),-1.26756 # DEPENDENCYPART_ARC
(9,4),-0.263579 # DEPENDENCYPART_ARC
(9,5),-0.478553 # DEPENDENCYPART_ARC
(9,6),-3.21234 # DEPENDENCYPART_ARC
(9,7),0.00130911 # DEPENDENCYPART_ARC
(9,8),1.58105 # DEPENDENCYPART_ARC
(9,10),0.338823 # DEPENDENCYPART_ARC
(9,11),-0.138442 # DEPENDENCYPART_ARC
(9,12),-0.939474 # DEPENDENCYPART_ARC
(9,13),-0.889517 # DEPENDENCYPART_ARC
(9,14),-1.16826 # DEPENDENCYPART_ARC
(9,15),-2.03882 # DEPENDENCYPART_ARC
(9,16),-0.990454 # DEPENDENCYPART_ARC
(9,17),-1.55281 # DEPENDENCYPART_ARC
(9,18),-2.34509 # DEPENDENCYPART_ARC
(9,19),-0.931321 # DEPENDENCYPART_ARC
(9,20),-1.69312 # DEPENDENCYPART_ARC
(9,21),-1.93031 # DEPENDENCYPART_ARC
(9,22),-2.3032 # DEPENDENCYPART_ARC
(9,23),-1.59983 # DEPENDENCYPART_ARC
(9,24),-0.879677 # DEPENDENCYPART_ARC
(10,1),0.422338 # DEPENDENCYPART_ARC
(10,2),-0.0565002 # DEPENDENCYPART_ARC
(10,3),-1.82559 # DEPENDENCYPART_ARC
(10,4),-0.271643 # DEPENDENCYPART_ARC
(10,5),-0.616765 # DEPENDENCYPART_ARC
(10,6),-1.44526 # DEPENDENCYPART_ARC
(10,7),-0.399853 # DEPENDENCYPART_ARC
(10,8),1.48761 # DEPENDENCYPART_ARC
(10,9),4.16936 # DEPENDENCYPART_ARC
(10,11),0.079911 # DEPENDENCYPART_ARC
(10,12),-0.302254 # DEPENDENCYPART_ARC
(10,13),-0.915871 # DEPENDENCYPART_ARC
(10,14),-1.36589 # DEPENDENCYPART_ARC
(10,15),-1.08544 # DEPENDENCYPART_ARC
(10,16),-1.37367 # DEPENDENCYPART_ARC
(10,17),-2.28401 # DEPENDENCYPART_ARC
(10,18),-1.54221 # DEPENDENCYPART_ARC
(10,19),-1.68927 # DEPENDENCYPART_ARC
(10,20),-2.29679 # DEPENDENCYPART_ARC
(10,21),-2.02315 # DEPENDENCYPART_ARC
(10,22),-2.38839 # DEPENDENCYPART_ARC
(10,23),-1.77907 # DEPENDENCYPART_ARC
(10,24),-0.562853 # DEPENDENCYPART_ARC
(11,1),-0.892051 # DEPENDENCYPART_ARC
(11,2),-0.778768 # DEPENDENCYPART_ARC
(11,3),-0.572726 # DEPENDENCYPART_ARC
(11,4),-0.269937 # DEPENDENCYPART_ARC
(11,5),-0.699248 # DEPENDENCYPART_ARC
(11,6),-0.651604 # DEPENDENCYPART_ARC
(11,7),0.134358 # DEPENDENCYPART_ARC
(11,8),0.169325 # DEPENDENCYPART_ARC
(11,9),-0.0375731 # DEPENDENCYPART_ARC
(11,10),-0.0481247 # DEPENDENCYPART_ARC
(11,12),-0.0601645 # DEPENDENCYPART_ARC
(11,13),-0.813527 # DEPENDENCYPART_ARC
(11,14),-0.958607 # DEPENDENCYPART_ARC
(11,15),-1.29284 # DEPENDENCYPART_ARC
(11,16),-1.05396 # DEPENDENCYPART_ARC
(11,17),-1.32235 # DEPENDENCYPART_ARC
(11,18),-1.4287 # DEPENDENCYPART_ARC
(11,19),-1.02009 # DEPENDENCYPART_ARC
(11,20),-1.63389 # DEPENDENCYPART_ARC
(11,21),-1.4717 # DEPENDENCYPART_ARC
(11,22),-1.69024 # DEPENDENCYPART_ARC
(11,23),-1.56178 # DEPENDENCYPART_ARC
(11,24),-0.803449 # DEPENDENCYPART_ARC
(12,1),-1.71708 # DEPENDENCYPART_ARC
(12,2),-0.416768 # DEPENDENCYPART_ARC
(12,3),0.42654 # DEPENDENCYPART_ARC
(12,4),0.202214 # DEPENDENCYPART_ARC
(12,5),1.63403 # DEPENDENCYPART_ARC
(12,6),-1.37155 # DEPENDENCYPART_ARC
(12,7),0.689329 # DEPENDENCYPART_ARC
(12,8),-0.9455 # DEPENDENCYPART_ARC
(12,9),0.387387 # DEPENDENCYPART_ARC
(12,10),0.235053 # DEPENDENCYPART_ARC
(12,11),1.10078 # DEPENDENCYPART_ARC
(12,13),2.09791 # DEPENDENCYPART_ARC
(12,14),0.949567 # DEPENDENCYPART_ARC
(12,15),0.328006 # DEPENDENCYPART_ARC
(12,16),0.342969 # DEPENDENCYPART_ARC
(12,17),-0.945258 # DEPENDENCYPART_ARC
(12,18),-1.35502 # DEPENDENCYPART_ARC
(12,19),-0.182069 # DEPENDENCYPART_ARC
(12,20),-2.56658 # DEPENDENCYPART_ARC
(12,21),-2.77736 # DEPENDENCYPART_ARC
(12,22),-2.71178 # DEPENDENCYPART_ARC
(12,23),-3.47594 # DEPENDENCYPART_ARC
(12,24),0.497491 # DEPENDENCYPART_ARC
(13,1),-0.529891 # DEPENDENCYPART_ARC
(13,2),-1.39766 # DEPENDENCYPART_ARC
(13,3),-0.789341 # DEPENDENCYPART_ARC
(13,4),-0.419242 # DEPENDENCYPART_ARC
(13,5),-1.30165 # DEPENDENCYPART_ARC
(13,6),-0.820555 # DEPENDENCYPART_ARC
(13,7),0.216713 # DEPENDENCYPART_ARC
(13,8),-0.712876 # DEPENDENCYPART_ARC
(13,9),-0.501381 # DEPENDENCYPART_ARC
(13,10),-0.145429 # DEPENDENCYPART_ARC
(13,11),0.194672 # DEPENDENCYPART_ARC
(13,12),0.186091 # DEPENDENCYPART_ARC
(13,14),0.306642 # DEPENDENCYPART_ARC
(13,15),0.563801 # DEPENDENCYPART_ARC
(13,16),-0.00648887 # DEPENDENCYPART_ARC
(13,17),-0.812736 # DEPENDENCYPART_ARC
(13,18),-0.727163 # DEPENDENCYPART_ARC
(13,19),-0.549554 # DEPENDENCYPART_ARC
(13,20),-1.06338 # DEPENDENCYPART_ARC
(13,21),-1.3171 # DEPENDENCYPART_ARC
(13,22),-1.16017 # DEPENDENCYPART_ARC
(13,23),-1.32798 # DEPENDENCYPART_ARC
(13,24),-0.58889 # DEPENDENCYPART_ARC
(14,1),-1.47783 # DEPENDENCYPART_ARC
(14,2),-2.00011 # DEPENDENCYPART_ARC
(14,3),-1.90246 # DEPENDENCYPART_ARC
(14,4),-1.46005 # DEPENDENCYPART_ARC
(14,5),-1.68114 # DEPENDENCYPART_ARC
(14,6),-1.72678 # DEPENDENCYPART_ARC
(14,7),-1.14948 # DEPENDENCYPART_ARC
(14,8),-1.61497 # DEPENDENCYPART_ARC
(14,9),-1.53858 # DEPENDENCYPART_ARC
(14,10),-1.45169 # DEPENDENCYPART_ARC
(14,11),-0.849033 # DEPENDENCYPART_ARC
(14,12),-0.761174 # DEPENDENCYPART_ARC
(14,13),-0.0588665 # DEPENDENCYPART_ARC
(14,15),0.322104 # DEPENDENCYPART_ARC
(14,16),-0.596267 # DEPENDENCYPART_ARC
(14,17),-0.696246 # DEPENDENCYPART_ARC
(14,18),-1.04496 # DEPENDENCYPART_ARC
(14,19),-1.0318 # DEPENDENCYPART_ARC
(14,20),-1.39284 # DEPENDENCYPART_ARC
(14,21),-1.4034 # DEPENDENCYPART_ARC
(14,22),-1.48438 # DEPENDENCYPART_ARC
(14,23),-1.48157 # DEPENDENCYPART_ARC
(14,24),-0.525193 # DEPENDENCYPART_ARC
(15,1),-2.42307 # DEPENDENCYPART_ARC
(15,2),-1.38218 # DEPENDENCYPART_ARC
(15,3),-0.237714 # DEPENDENCYPART_ARC
(15,4),-0.221447 # DEPENDENCYPART_ARC
(15,5),0.719118 # DEPENDENCYPART_ARC
(15,6),-3.34135 # DEPENDENCYPART_ARC
(15,7),-0.344426 # DEPENDENCYPART_ARC
(15,8),-1.60693 # DEPENDENCYPART_ARC
(15,9),-1.14323 # DEPENDENCYPART_ARC
(15,10),-0.454001 # DEPENDENCYPART_ARC
(15,11),-0.112925 # DEPENDENCYPART_ARC
(15,12),-3.23955 # DEPENDENCYPART_ARC
(15,13),0.833004 # DEPENDENCYPART_ARC
(15,14),2.53425 # DEPENDENCYPART_ARC
(15,16),2.15862 # DEPENDENCYPART_ARC
(15,17),0.541092 # DEPENDENCYPART_ARC
(15,18),-0.542333 # DEPENDENCYPART_ARC
(15,19),0.756705 # DEPENDENCYPART_ARC
(15,20),-2.14887 # DEPENDENCYPART_ARC
(15,21),-1.67435 # DEPENDENCYPART_ARC
(15,22),-2.60594 # DEPENDENCYPART_ARC
(15,23),-2.57661 # DEPENDENCYPART_ARC
(15,24),0.513636 # DEPENDENCYPART_ARC
(16,1),-1.42824 # DEPENDENCYPART_ARC
(16,2),-1.84337 # DEPENDENCYPART_ARC
(16,3),-2.00171 # DEPENDENCYPART_ARC
(16,4),-0.911069 # DEPENDENCYPART_ARC
(16,5),-1.5724 # DEPENDENCYPART_ARC
(16,6),-1.67457 # DEPENDENCYPART_ARC
(16,7),-0.919188 # DEPENDENCYPART_ARC
(16,8),-1.77518 # DEPENDENCYPART_ARC
(16,9),-1.53745 # DEPENDENCYPART_ARC
(16,10),-1.72455 # DEPENDENCYPART_ARC
(16,11),-0.563746 # DEPENDENCYPART_ARC
(16,12),-1.22997 # DEPENDENCYPART_ARC
(16,13),-0.480927 # DEPENDENCYPART_ARC
(16,14),-0.190954 # DEPENDENCYPART_ARC
(16,15),-0.122689 # DEPENDENCYPART_ARC
(16,17),3.20035 # DEPENDENCYPART_ARC
(16,18),0.598293 # DEPENDENCYPART_ARC
(16,19),-0.317404 # DEPENDENCYPART_ARC
(16,20),-1.20917 # DEPENDENCYPART_ARC
(16,21),0.240042 # DEPENDENCYPART_ARC
(16,22),-1.47388 # DEPENDENCYPART_ARC
(16,23),-1.30426 # DEPENDENCYPART_ARC
(16,24),-0.329835 # DEPENDENCYPART_ARC
(17,1),-3.20647 # DEPENDENCYPART_ARC
(17,2),-4.17561 # DEPENDENCYPART_ARC
(17,3),-4.46548 # DEPENDENCYPART_ARC
(17,4),-2.29303 # DEPENDENCYPART_ARC
(17,5),-4.13878 # DEPENDENCYPART_ARC
(17,6),-4.20081 # DEPENDENCYPART_ARC
(17,7),-2.31583 # DEPENDENCYPART_ARC
(17,8),-1.97994 # DEPENDENCYPART_ARC
(17,9),-2.60346 # DEPENDENCYPART_ARC
(17,10),-3.29493 # DEPENDENCYPART_ARC
(17,11),-1.88603 # DEPENDENCYPART_ARC
(17,12),-2.88088 # DEPENDENCYPART_ARC
(17,13),-1.13912 # DEPENDENCYPART_ARC
(17,14),-0.817737 # DEPENDENCYPART_ARC
(17,15),-1.5012 # DEPENDENCYPART_ARC
(17,16),0.382506 # DEPENDENCYPART_ARC
(17,18),1.16049 # DEPENDENCYPART_ARC
(17,19),0.852656 # DEPENDENCYPART_ARC
(17,20),-0.593705 # DEPENDENCYPART_ARC
(17,21),0.63778 # DEPENDENCYPART_ARC
(17,22),-0.790886 # DEPENDENCYPART_ARC
(17,23),0.0955896 # DEPENDENCYPART_ARC
(17,24),-0.0150246 # DEPENDENCYPART_ARC
(18,1),-1.01842 # DEPENDENCYPART_ARC
(18,2),-1.21706 # DEPENDENCYPART_ARC
(18,3),-2.05133 # DEPENDENCYPART_ARC
(18,4),-0.794664 # DEPENDENCYPART_ARC
(18,5),-0.767604 # DEPENDENCYPART_ARC
(18,6),-4.88451 # DEPENDENCYPART_ARC
(18,7),-1.00118 # DEPENDENCYPART_ARC
(18,8),-0.533995 # DEPENDENCYPART_ARC
(18,9),-0.86775 # DEPENDENCYPART_ARC
(18,10),-0.691291 # DEPENDENCYPART_ARC
(18,11),-0.511339 # DEPENDENCYPART_ARC
(18,12),-4.20727 # DEPENDENCYPART_ARC
(18,13),0.128827 # DEPENDENCYPART_ARC
(18,14),-0.0002515 # DEPENDENCYPART_ARC
(18,15),-3.53869 # DEPENDENCYPART_ARC
(18,16),0.63893 # DEPENDENCYPART_ARC
(18,17),1.09954 # DEPENDENCYPART_ARC
(18,19),1.86015 # DEPENDENCYPART_ARC
(18,20),0.581652 # DEPENDENCYPART_ARC
(18,21),0.97485 # DEPENDENCYPART_ARC
(18,22),-0.545363 # DEPENDENCYPART_ARC
(18,23),0.460539 # DEPENDENCYPART_ARC
(18,24),0.452602 # DEPENDENCYPART_ARC
(19,1),-1.26796 # DEPENDENCYPART_ARC
(19,2),-1.69657 # DEPENDENCYPART_ARC
(19,3),-1.79791 # DEPENDENCYPART_ARC
(19,4),-0.790165 # DEPENDENCYPART_ARC
(19,5),-1.46955 # DEPENDENCYPART_ARC
(19,6),-1.43013 # DEPENDENCYPART_ARC
(19,7),-0.849893 # DEPENDENCYPART_ARC
(19,8),-1.66504 # DEPENDENCYPART_ARC
(19,9),-1.50126 # DEPENDENCYPART_ARC
(19,10),-1.5929 # DEPENDENCYPART_ARC
(19,11),-0.556319 # DEPENDENCYPART_ARC
(19,12),-1.17017 # DEPENDENCYPART_ARC
(19,13),-0.63971 # DEPENDENCYPART_ARC
(19,14),-0.606108 # DEPENDENCYPART_ARC
(19,15),-0.873603 # DEPENDENCYPART_ARC
(19,16),0.0419589 # DEPENDENCYPART_ARC
(19,17),-0.753334 # DEPENDENCYPART_ARC
(19,18),0.267705 # DEPENDENCYPART_ARC
(19,20),0.54629 # DEPENDENCYPART_ARC
(19,21),3.04383 # DEPENDENCYPART_ARC
(19,22),-0.36868 # DEPENDENCYPART_ARC
(19,23),0.916876 # DEPENDENCYPART_ARC
(19,24),0.165417 # DEPENDENCYPART_ARC
(20,1),-2.25549 # DEPENDENCYPART_ARC
(20,2),-3.38266 # DEPENDENCYPART_ARC
(20,3),-3.03876 # DEPENDENCYPART_ARC
(20,4),-2.41171 # DEPENDENCYPART_ARC
(20,5),-2.71225 # DEPENDENCYPART_ARC
(20,6),-3.25255 # DEPENDENCYPART_ARC
(20,7),-3.09952 # DEPENDENCYPART_ARC
(20,8),-3.69991 # DEPENDENCYPART_ARC
(20,9),-3.81903 # DEPENDENCYPART_ARC
(20,10),-3.12917 # DEPENDENCYPART_ARC
(20,11),-2.19656 # DEPENDENCYPART_ARC
(20,12),-2.99416 # DEPENDENCYPART_ARC
(20,13),-2.07484 # DEPENDENCYPART_ARC
(20,14),-2.00072 # DEPENDENCYPART_ARC
(20,15),-2.66575 # DEPENDENCYPART_ARC
(20,16),-1.64574 # DEPENDENCYPART_ARC
(20,17),-2.8846 # DEPENDENCYPART_ARC
(20,18),-2.8367 # DEPENDENCYPART_ARC
(20,19),-0.728283 # DEPENDENCYPART_ARC
(20,21),0.372269 # DEPENDENCYPART_ARC
(20,22),-0.617993 # DEPENDENCYPART_ARC
(20,23),-0.60145 # DEPENDENCYPART_ARC
(20,24),-0.452446 # DEPENDENCYPART_ARC
(21,1),-2.53745 # DEPENDENCYPART_ARC
(21,2),-2.99515 # DEPENDENCYPART_ARC
(21,3),-4.08001 # DEPENDENCYPART_ARC
(21,4),-2.052 # DEPENDENCYPART_ARC
(21,5),-2.58655 # DEPENDENCYPART_ARC
(21,6),-3.68779 # DEPENDENCYPART_ARC
(21,7),-3.76079 # DEPENDENCYPART_ARC
(21,8),-4.64373 # DEPENDENCYPART_ARC
(21,9),-3.90834 # DEPENDENCYPART_ARC
(21,10),-4.21745 # DEPENDENCYPART_ARC
(21,11),-1.8152 # DEPENDENCYPART_ARC
(21,12),-2.75201 # DEPENDENCYPART_ARC
(21,13),-1.7057 # DEPENDENCYPART_ARC
(21,14),-1.28035 # DEPENDENCYPART_ARC
(21,15),-2.51484 # DEPENDENCYPART_ARC
(21,16),-1.06691 # DEPENDENCYPART_ARC
(21,17),-2.92521 # DEPENDENCYPART_ARC
(21,18),-3.39285 # DEPENDENCYPART_ARC
(21,19),0.00907473 # DEPENDENCYPART_ARC
(21,20),3.47028 # DEPENDENCYPART_ARC
(21,22),0.474689 # DEPENDENCYPART_ARC
