# _root_ Τελικά , το 1576 μετά από αίτημα της Κέρκυρας , το νησί περιήλθε υπό την προστασία της Βενετίας .
#goldHeads=13,13,4,13,13,5,6,9,7,13,12,13,0,13,16,14,18,16,0,
#predictedHeads=13,13,4,13,13,5,6,9,7,13,12,13,0,13,16,14,18,16,0,
(2,18),-1.69953 # DEPENDENCYPART_ARC
(2,19),-1.16375 # DEPENDENCYPART_ARC
(3,1),-0.530293 # DEPENDENCYPART_ARC
(3,5),0.0213336 # DEPENDENCYPART_ARC
(3,7),-0.633823 # DEPENDENCYPART_ARC
(3,12),-1.42564 # DEPENDENCYPART_ARC
(3,16),-1.98937 # DEPENDENCYPART_ARC
(4,1),0.448865 # DEPENDENCYPART_ARC
(4,2),0.246374 # DEPENDENCYPART_ARC
(4,3),2.17805 # DEPENDENCYPART_ARC
(4,5),0.972885 # DEPENDENCYPART_ARC
(4,6),0.21744 # DEPENDENCYPART_ARC
(4,7),0.238915 # DEPENDENCYPART_ARC
(4,8),-0.362019 # DEPENDENCYPART_ARC
(4,9),0.143239 # DEPENDENCYPART_ARC
(4,10),-0.104616 # DEPENDENCYPART_ARC
(4,11),-0.661811 # DEPENDENCYPART_ARC
(4,12),-0.337822 # DEPENDENCYPART_ARC
(4,13),-0.779824 # DEPENDENCYPART_ARC
(4,14),-0.816235 # DEPENDENCYPART_ARC
(4,15),-1.19015 # DEPENDENCYPART_ARC
(4,16),-0.860199 # DEPENDENCYPART_ARC
(4,17),-1.23842 # DEPENDENCYPART_ARC
(4,18),-0.730379 # DEPENDENCYPART_ARC
(4,19),-0.746458 # DEPENDENCYPART_ARC
(5,1),0.0939032 # DEPENDENCYPART_ARC
(5,2),0.0577941 # DEPENDENCYPART_ARC
(5,3),0.560773 # DEPENDENCYPART_ARC
(5,4),0.445395 # DEPENDENCYPART_ARC
(5,6),1.59705 # DEPENDENCYPART_ARC
(5,7),0.798351 # DEPENDENCYPART_ARC
(5,8),-0.242059 # DEPENDENCYPART_ARC
(5,9),0.092661 # DEPENDENCYPART_ARC
(5,10),0.35415 # DEPENDENCYPART_ARC
(5,11),-0.832992 # DEPENDENCYPART_ARC
(5,12),-1.02223 # DEPENDENCYPART_ARC
(5,13),-0.56149 # DEPENDENCYPART_ARC
(5,14),-0.759432 # DEPENDENCYPART_ARC
(5,15),-1.60406 # DEPENDENCYPART_ARC
(5,16),-2.35338 # DEPENDENCYPART_ARC
(5,17),-1.41432 # DEPENDENCYPART_ARC
(5,18),-1.9839 # DEPENDENCYPART_ARC
(5,19),-0.577591 # DEPENDENCYPART_ARC
(6,1),-0.772536 # DEPENDENCYPART_ARC
(6,2),-0.263378 # DEPENDENCYPART_ARC
(6,3),-0.376303 # DEPENDENCYPART_ARC
(6,4),-0.320081 # DEPENDENCYPART_ARC
(6,5),0.229389 # DEPENDENCYPART_ARC
(6,7),3.34936 # DEPENDENCYPART_ARC
(6,8),-0.256221 # DEPENDENCYPART_ARC
(6,9),0.286218 # DEPENDENCYPART_ARC
(6,10),0.151229 # DEPENDENCYPART_ARC
(6,11),-1.3861 # DEPENDENCYPART_ARC
(6,12),-1.86365 # DEPENDENCYPART_ARC
(6,13),-1.21485 # DEPENDENCYPART_ARC
(6,14),-1.32021 # DEPENDENCYPART_ARC
(6,15),-2.02617 # DEPENDENCYPART_ARC
(6,16),-3.65339 # DEPENDENCYPART_ARC
(6,17),-2.13103 # DEPENDENCYPART_ARC
(6,18),-4.73075 # DEPENDENCYPART_ARC
(6,19),-1.4493 # DEPENDENCYPART_ARC
(7,1),-1.62886 # DEPENDENCYPART_ARC
(7,2),-1.22046 # DEPENDENCYPART_ARC
(7,3),0.344776 # DEPENDENCYPART_ARC
(7,4),-0.771847 # DEPENDENCYPART_ARC
(7,5),-0.214752 # DEPENDENCYPART_ARC
(7,6),0.018345 # DEPENDENCYPART_ARC
(7,8),0.552533 # DEPENDENCYPART_ARC
(7,9),2.76062 # DEPENDENCYPART_ARC
(7,10),0.246386 # DEPENDENCYPART_ARC
(7,11),-0.652732 # DEPENDENCYPART_ARC
(7,12),-0.453741 # DEPENDENCYPART_ARC
(7,13),-0.270949 # DEPENDENCYPART_ARC
(7,14),-0.654661 # DEPENDENCYPART_ARC
(7,15),-1.44061 # DEPENDENCYPART_ARC
(7,16),-2.05205 # DEPENDENCYPART_ARC
(7,17),-1.34055 # DEPENDENCYPART_ARC
(7,18),-1.16458 # DEPENDENCYPART_ARC
(7,19),-0.290379 # DEPENDENCYPART_ARC
(8,1),-1.55136 # DEPENDENCYPART_ARC
(8,5),-1.14635 # DEPENDENCYPART_ARC
(8,7),-1.48811 # DEPENDENCYPART_ARC
(8,12),-1.3249 # DEPENDENCYPART_ARC
(8,16),-2.26415 # DEPENDENCYPART_ARC
(9,1),-1.30158 # DEPENDENCYPART_ARC
(9,2),-0.923273 # DEPENDENCYPART_ARC
(9,3),-2.51744 # DEPENDENCYPART_ARC
(9,4),-0.610341 # DEPENDENCYPART_ARC
(9,5),-0.694817 # DEPENDENCYPART_ARC
(9,6),-0.578299 # DEPENDENCYPART_ARC
(9,7),-1.13957 # DEPENDENCYPART_ARC
(9,8),3.18504 # DEPENDENCYPART_ARC
(9,10),-0.650502 # DEPENDENCYPART_ARC
(9,11),-1.40224 # DEPENDENCYPART_ARC
(9,12),-1.49892 # DEPENDENCYPART_ARC
(9,13),-1.55569 # DEPENDENCYPART_ARC
(9,14),-1.78915 # DEPENDENCYPART_ARC
(9,15),-2.38113 # DEPENDENCYPART_ARC
(9,16),-3.48644 # DEPENDENCYPART_ARC
(9,17),-2.26334 # DEPENDENCYPART_ARC
(9,18),-2.23047 # DEPENDENCYPART_ARC
(9,19),-1.44495 # DEPENDENCYPART_ARC
(10,1),-0.156521 # DEPENDENCYPART_ARC
(10,2),-0.584288 # DEPENDENCYPART_ARC
(10,4),-0.159131 # DEPENDENCYPART_ARC
(10,5),-0.0473902 # DEPENDENCYPART_ARC
(10,6),0.243663 # DEPENDENCYPART_ARC
(10,7),0.619109 # DEPENDENCYPART_ARC
(10,9),0.837913 # DEPENDENCYPART_ARC
(10,12),0.273167 # DEPENDENCYPART_ARC
(10,13),-0.0484012 # DEPENDENCYPART_ARC
(10,14),-0.590669 # DEPENDENCYPART_ARC
(10,16),-0.978685 # DEPENDENCYPART_ARC
(10,18),-0.963337 # DEPENDENCYPART_ARC
(10,19),-0.483905 # DEPENDENCYPART_ARC
(11,1),-1.58752 # DEPENDENCYPART_ARC
(11,5),-1.38308 # DEPENDENCYPART_ARC
(11,7),-1.56099 # DEPENDENCYPART_ARC
(11,12),0.253312 # DEPENDENCYPART_ARC
(11,16),-1.69903 # DEPENDENCYPART_ARC
(12,1),-1.1904 # DEPENDENCYPART_ARC
(12,2),-1.18407 # DEPENDENCYPART_ARC
(12,3),-1.63161 # DEPENDENCYPART_ARC
(12,4),-1.29323 # DEPENDENCYPART_ARC
(12,5),-0.931413 # DEPENDENCYPART_ARC
(12,6),-1.05396 # DEPENDENCYPART_ARC
(12,7),-1.14211 # DEPENDENCYPART_ARC
(12,8),-0.788881 # DEPENDENCYPART_ARC
(12,9),-1.39295 # DEPENDENCYPART_ARC
(12,10),-0.10079 # DEPENDENCYPART_ARC
(12,11),3.42491 # DEPENDENCYPART_ARC
(12,13),-0.2602 # DEPENDENCYPART_ARC
(12,14),-0.694286 # DEPENDENCYPART_ARC
(12,15),-1.82261 # DEPENDENCYPART_ARC
(12,16),-1.22877 # DEPENDENCYPART_ARC
(12,17),-2.11636 # DEPENDENCYPART_ARC
(12,18),-0.895408 # DEPENDENCYPART_ARC
(12,19),-0.938847 # DEPENDENCYPART_ARC
(13,1),1.39311 # DEPENDENCYPART_ARC
(13,2),1.18639 # DEPENDENCYPART_ARC
(13,3),-1.69213 # DEPENDENCYPART_ARC
(13,4),0.758668 # DEPENDENCYPART_ARC
(13,5),1.29876 # DEPENDENCYPART_ARC
(13,6),-0.126396 # DEPENDENCYPART_ARC
(13,7),-0.372722 # DEPENDENCYPART_ARC
(13,8),-1.86006 # DEPENDENCYPART_ARC
(13,9),-1.22486 # DEPENDENCYPART_ARC
(13,10),1.58868 # DEPENDENCYPART_ARC
(13,11),-0.169486 # DEPENDENCYPART_ARC
(13,12),2.74722 # DEPENDENCYPART_ARC
(13,14),1.76925 # DEPENDENCYPART_ARC
(13,15),-0.912802 # DEPENDENCYPART_ARC
(13,16),0.142527 # DEPENDENCYPART_ARC
(13,17),-2.05086 # DEPENDENCYPART_ARC
(13,18),-1.4844 # DEPENDENCYPART_ARC
(13,19),0.428072 # DEPENDENCYPART_ARC
(14,1),-1.09229 # DEPENDENCYPART_ARC
(14,2),-0.998525 # DEPENDENCYPART_ARC
(14,3),-1.2201 # DEPENDENCYPART_ARC
(14,4),-1.24629 # DEPENDENCYPART_ARC
(14,5),-0.920677 # DEPENDENCYPART_ARC
(14,6),-0.820556 # DEPENDENCYPART_ARC
(14,7),-1.63368 # DEPENDENCYPART_ARC
(14,8),-1.06864 # DEPENDENCYPART_ARC
(14,9),-1.51227 # DEPENDENCYPART_ARC
(14,10),-0.606575 # DEPENDENCYPART_ARC
(14,11),-0.531438 # DEPENDENCYPART_ARC
(14,12),-1.05513 # DEPENDENCYPART_ARC
(14,13),-0.11895 # DEPENDENCYPART_ARC
(14,15),0.171745 # DEPENDENCYPART_ARC
(14,16),2.65449 # DEPENDENCYPART_ARC
(14,17),-0.757038 # DEPENDENCYPART_ARC
(14,18),0.608811 # DEPENDENCYPART_ARC
(14,19),-0.257313 # DEPENDENCYPART_ARC
(15,1),-2.06385 # DEPENDENCYPART_ARC
(15,5),-2.03822 # DEPENDENCYPART_ARC
(15,7),-2.60242 # DEPENDENCYPART_ARC
(15,12),-2.32001 # DEPENDENCYPART_ARC
(15,16),-0.0888629 # DEPENDENCYPART_ARC
(16,1),-1.74949 # DEPENDENCYPART_ARC
(16,2),-1.55119 # DEPENDENCYPART_ARC
(16,3),-4.03701 # DEPENDENCYPART_ARC
(16,4),-1.92763 # DEPENDENCYPART_ARC
(16,5),-1.5654 # DEPENDENCYPART_ARC
(16,6),-1.48147 # DEPENDENCYPART_ARC
(16,7),-2.19128 # DEPENDENCYPART_ARC
(16,8),-2.05208 # DEPENDENCYPART_ARC
(16,9),-2.34025 # DEPENDENCYPART_ARC
(16,10),-1.58909 # DEPENDENCYPART_ARC
(16,11),-1.51992 # DEPENDENCYPART_ARC
(16,12),-2.02765 # DEPENDENCYPART_ARC
(16,13),-2.12968 # DEPENDENCYPART_ARC
(16,14),0.055645 # DEPENDENCYPART_ARC
(16,15),3.18019 # DEPENDENCYPART_ARC
(16,17),0.648104 # DEPENDENCYPART_ARC
(16,18),2.74875 # DEPENDENCYPART_ARC
(16,19),0.351418 # DEPENDENCYPART_ARC
(17,1),-1.86802 # DEPENDENCYPART_ARC
(17,5),-1.82475 # DEPENDENCYPART_ARC
(17,7),-2.99923 # DEPENDENCYPART_ARC
(17,12),-2.45243 # DEPENDENCYPART_ARC
(17,16),-1.52119 # DEPENDENCYPART_ARC
(18,1),-1.6575 # DEPENDENCYPART_ARC
(18,2),-1.23571 # DEPENDENCYPART_ARC
(18,3),-5.75551 # DEPENDENCYPART_ARC
(18,4),-1.78821 # DEPENDENCYPART_ARC
(18,5),-1.55766 # DEPENDENCYPART_ARC
(18,6),-1.37866 # DEPENDENCYPART_ARC
(18,7),-3.87169 # DEPENDENCYPART_ARC
(18,8),-2.28445 # DEPENDENCYPART_ARC
(18,9),-2.47093 # DEPENDENCYPART_ARC
(18,10),-1.44501 # DEPENDENCYPART_ARC
(18,11),-2.92196 # DEPENDENCYPART_ARC
(18,12),-2.81481 # DEPENDENCYPART_ARC
(18,13),-1.63783 # DEPENDENCYPART_ARC
(18,14),-0.597002 # DEPENDENCYPART_ARC
(18,15),-0.225378 # DEPENDENCYPART_ARC
(18,16),-1.20346 # DEPENDENCYPART_ARC
(18,17),3.26708 # DEPENDENCYPART_ARC
(18,19),-0.43642 # DEPENDENCYPART_ARC
(19,1),-2.0212 # DEPENDENCYPART_ARC
(19,2),-2.80773 # DEPENDENCYPART_ARC
(19,4),-2.35086 # DEPENDENCYPART_ARC
(19,5),-1.79631 # DEPENDENCYPART_ARC
(19,6),-2.97825 # DEPENDENCYPART_ARC
(19,7),-2.56126 # DEPENDENCYPART_ARC
(19,9),-2.79889 # DEPENDENCYPART_ARC
(19,10),-2.19282 # DEPENDENCYPART_ARC
(19,12),-2.54672 # DEPENDENCYPART_ARC
(19,13),-2.17119 # DEPENDENCYPART_ARC
(19,14),-2.03 # DEPENDENCYPART_ARC
(19,16),-1.78636 # DEPENDENCYPART_ARC
(19,18),-1.76098 # DEPENDENCYPART_ARC
