# _root_ Η Κέρκυρα , το βορειότερο νησί της Ελλάδος , είναι ένας υπέροχος τόπος .
#goldHeads=2,3,10,5,6,3,8,6,3,0,13,13,10,0,
#predictedHeads=2,10,10,6,6,10,8,6,10,0,13,13,10,0,
(7,3),-1.29628 # DEPENDENCYPART_ARC
(7,4),-1.1437 # DEPENDENCYPART_ARC
(7,5),-1.67907 # DEPENDENCYPART_ARC
(7,6),-1.24971 # DEPENDENCYPART_ARC
(7,8),0.308089 # DEPENDENCYPART_ARC
(7,9),-0.32897 # DEPENDENCYPART_ARC
(7,10),-1.95086 # DEPENDENCYPART_ARC
(7,11),-1.62698 # DEPENDENCYPART_ARC
(7,12),-2.30404 # DEPENDENCYPART_ARC
(7,13),-2.47541 # DEPENDENCYPART_ARC
(7,14),-0.935443 # DEPENDENCYPART_ARC
(8,1),-0.573194 # DEPENDENCYPART_ARC
(8,2),-2.2674 # DEPENDENCYPART_ARC
(8,3),-0.494767 # DEPENDENCYPART_ARC
(8,4),-0.245344 # DEPENDENCYPART_ARC
(8,5),-1.28135 # DEPENDENCYPART_ARC
(8,6),-0.635589 # DEPENDENCYPART_ARC
(8,7),3.63135 # DEPENDENCYPART_ARC
(8,9),-0.689782 # DEPENDENCYPART_ARC
(8,10),-1.42884 # DEPENDENCYPART_ARC
(8,11),-1.97241 # DEPENDENCYPART_ARC
(8,12),-2.20419 # DEPENDENCYPART_ARC
(8,13),-2.49457 # DEPENDENCYPART_ARC
(8,14),-1.61081 # DEPENDENCYPART_ARC
(9,1),-0.581122 # DEPENDENCYPART_ARC
(9,2),-0.257392 # DEPENDENCYPART_ARC
(9,3),-0.128978 # DEPENDENCYPART_ARC
(9,4),-0.348183 # DEPENDENCYPART_ARC
(9,5),-0.247829 # DEPENDENCYPART_ARC
(9,6),0.0169292 # DEPENDENCYPART_ARC
(9,7),0.0174221 # DEPENDENCYPART_ARC
(9,8),0.00408051 # DEPENDENCYPART_ARC
(9,10),-0.117102 # DEPENDENCYPART_ARC
(9,11),-1.20169 # DEPENDENCYPART_ARC
(9,12),-0.847589 # DEPENDENCYPART_ARC
(9,13),-0.453257 # DEPENDENCYPART_ARC
(9,14),-0.643454 # DEPENDENCYPART_ARC
(10,1),-1.05422 # DEPENDENCYPART_ARC
(10,2),1.07056 # DEPENDENCYPART_ARC
(10,3),1.22996 # DEPENDENCYPART_ARC
(10,4),-0.355735 # DEPENDENCYPART_ARC
(10,5),1.06108 # DEPENDENCYPART_ARC
(10,6),1.70804 # DEPENDENCYPART_ARC
(10,7),-0.80911 # DEPENDENCYPART_ARC
(10,8),-0.364998 # DEPENDENCYPART_ARC
(10,9),1.72027 # DEPENDENCYPART_ARC
(10,11),-1.57695 # DEPENDENCYPART_ARC
(10,12),0.823049 # DEPENDENCYPART_ARC
(10,13),1.87397 # DEPENDENCYPART_ARC
(10,14),0.646573 # DEPENDENCYPART_ARC
(11,1),-1.23914 # DEPENDENCYPART_ARC
(11,2),-1.77316 # DEPENDENCYPART_ARC
(11,3),-1.45034 # DEPENDENCYPART_ARC
(11,4),-0.890279 # DEPENDENCYPART_ARC
(11,5),-1.7468 # DEPENDENCYPART_ARC
(11,6),-1.45637 # DEPENDENCYPART_ARC
(11,7),-1.19961 # DEPENDENCYPART_ARC
(11,8),-1.54238 # DEPENDENCYPART_ARC
(11,9),-0.788557 # DEPENDENCYPART_ARC
(11,10),-1.98123 # DEPENDENCYPART_ARC
(11,12),-0.210433 # DEPENDENCYPART_ARC
(11,13),-0.0275017 # DEPENDENCYPART_ARC
(11,14),0.194317 # DEPENDENCYPART_ARC
(12,1),-1.46745 # DEPENDENCYPART_ARC
(12,2),-2.21349 # DEPENDENCYPART_ARC
(12,3),-1.26961 # DEPENDENCYPART_ARC
(12,4),-0.963234 # DEPENDENCYPART_ARC
(12,5),-0.947199 # DEPENDENCYPART_ARC
(12,6),-1.43379 # DEPENDENCYPART_ARC
(12,7),-1.13323 # DEPENDENCYPART_ARC
(12,8),-2.37363 # DEPENDENCYPART_ARC
(12,9),-0.696527 # DEPENDENCYPART_ARC
(12,10),-2.71837 # DEPENDENCYPART_ARC
(12,11),1.42268 # DEPENDENCYPART_ARC
(12,13),0.36704 # DEPENDENCYPART_ARC
(12,14),0.00730194 # DEPENDENCYPART_ARC
(13,1),-0.980062 # DEPENDENCYPART_ARC
(13,2),-2.17383 # DEPENDENCYPART_ARC
(13,3),-0.968459 # DEPENDENCYPART_ARC
(13,4),-0.205875 # DEPENDENCYPART_ARC
(13,5),-0.847299 # DEPENDENCYPART_ARC
(13,6),-1.17528 # DEPENDENCYPART_ARC
(13,7),-0.805636 # DEPENDENCYPART_ARC
(13,8),-1.23458 # DEPENDENCYPART_ARC
(13,9),-0.41595 # DEPENDENCYPART_ARC
(13,10),-1.04704 # DEPENDENCYPART_ARC
(13,11),3.36921 # DEPENDENCYPART_ARC
(13,12),3.41256 # DEPENDENCYPART_ARC
(13,14),0.514453 # DEPENDENCYPART_ARC
(14,1),-2.36356 # DEPENDENCYPART_ARC
(14,2),-2.77221 # DEPENDENCYPART_ARC
(14,3),-2.0675 # DEPENDENCYPART_ARC
(14,4),-2.24851 # DEPENDENCYPART_ARC
(14,5),-2.14479 # DEPENDENCYPART_ARC
(14,6),-2.47925 # DEPENDENCYPART_ARC
(14,7),-2.09007 # DEPENDENCYPART_ARC
(14,8),-2.43958 # DEPENDENCYPART_ARC
(14,9),-1.80281 # DEPENDENCYPART_ARC
(14,10),-1.76373 # DEPENDENCYPART_ARC
(14,11),-1.49008 # DEPENDENCYPART_ARC
(14,12),-1.50868 # DEPENDENCYPART_ARC
(14,13),-1.72059 # DEPENDENCYPART_ARC
