# _root_ Απλουστευτικές ενιαίες λύσεις , όπως η περικοπή του χρόνου εργασίας σε ευρωπαϊκό επίπεδο , είναι άνευ σημαντικής ουσίας .
#goldHeads=3,3,5,5,15,7,5,9,7,9,7,13,11,15,0,15,18,16,0,
#predictedHeads=3,3,0,15,15,7,15,9,7,9,7,13,11,15,0,15,18,16,0,
(4,7),0.321933 # DEPENDENCYPART_ARC
(4,8),-0.647744 # DEPENDENCYPART_ARC
(4,9),-0.103513 # DEPENDENCYPART_ARC
(4,10),-0.485538 # DEPENDENCYPART_ARC
(4,11),0.0224129 # DEPENDENCYPART_ARC
(4,12),-0.639499 # DEPENDENCYPART_ARC
(4,13),-0.456759 # DEPENDENCYPART_ARC
(4,14),0.183693 # DEPENDENCYPART_ARC
(4,15),-0.609556 # DEPENDENCYPART_ARC
(4,16),-0.597067 # DEPENDENCYPART_ARC
(4,17),-1.15513 # DEPENDENCYPART_ARC
(4,18),-1.14666 # DEPENDENCYPART_ARC
(4,19),-0.34691 # DEPENDENCYPART_ARC
(5,1),-0.683233 # DEPENDENCYPART_ARC
(5,2),-0.426921 # DEPENDENCYPART_ARC
(5,3),0.146434 # DEPENDENCYPART_ARC
(5,4),0.371097 # DEPENDENCYPART_ARC
(5,6),0.0255716 # DEPENDENCYPART_ARC
(5,7),0.232151 # DEPENDENCYPART_ARC
(5,8),-0.280906 # DEPENDENCYPART_ARC
(5,9),-0.439909 # DEPENDENCYPART_ARC
(5,10),-0.505937 # DEPENDENCYPART_ARC
(5,11),-0.322177 # DEPENDENCYPART_ARC
(5,12),-0.954573 # DEPENDENCYPART_ARC
(5,13),-1.68756 # DEPENDENCYPART_ARC
(5,14),0.293071 # DEPENDENCYPART_ARC
(5,15),-0.80292 # DEPENDENCYPART_ARC
(5,16),-1.16396 # DEPENDENCYPART_ARC
(5,17),-1.61311 # DEPENDENCYPART_ARC
(5,18),-2.12488 # DEPENDENCYPART_ARC
(5,19),-0.438559 # DEPENDENCYPART_ARC
(6,1),-2.28967 # DEPENDENCYPART_ARC
(6,2),-2.19426 # DEPENDENCYPART_ARC
(6,3),-1.81616 # DEPENDENCYPART_ARC
(6,4),-0.998753 # DEPENDENCYPART_ARC
(6,5),-0.371569 # DEPENDENCYPART_ARC
(6,7),-0.26546 # DEPENDENCYPART_ARC
(6,8),-0.961157 # DEPENDENCYPART_ARC
(6,9),-1.04758 # DEPENDENCYPART_ARC
(6,10),-0.949881 # DEPENDENCYPART_ARC
(6,11),-0.693884 # DEPENDENCYPART_ARC
(6,12),-2.46969 # DEPENDENCYPART_ARC
(6,13),-1.66306 # DEPENDENCYPART_ARC
(6,14),-0.597921 # DEPENDENCYPART_ARC
(6,15),-2.89063 # DEPENDENCYPART_ARC
(6,16),-1.23583 # DEPENDENCYPART_ARC
(6,17),-2.84715 # DEPENDENCYPART_ARC
(6,18),-2.06993 # DEPENDENCYPART_ARC
(6,19),-1.1949 # DEPENDENCYPART_ARC
(7,1),-1.35327 # DEPENDENCYPART_ARC
(7,2),-0.975503 # DEPENDENCYPART_ARC
(7,3),-2.48803 # DEPENDENCYPART_ARC
(7,4),-0.6572 # DEPENDENCYPART_ARC
(7,5),-0.158534 # DEPENDENCYPART_ARC
(7,6),3.31956 # DEPENDENCYPART_ARC
(7,8),0.149456 # DEPENDENCYPART_ARC
(7,9),2.4752 # DEPENDENCYPART_ARC
(7,10),1.50153 # DEPENDENCYPART_ARC
(7,11),1.16928 # DEPENDENCYPART_ARC
(7,12),-1.10155 # DEPENDENCYPART_ARC
(7,13),-0.490052 # DEPENDENCYPART_ARC
(7,14),0.446581 # DEPENDENCYPART_ARC
(7,15),-1.06303 # DEPENDENCYPART_ARC
(7,16),-0.365529 # DEPENDENCYPART_ARC
(7,17),-1.17603 # DEPENDENCYPART_ARC
(7,18),-0.299132 # DEPENDENCYPART_ARC
(7,19),0.255804 # DEPENDENCYPART_ARC
(8,1),-2.99277 # DEPENDENCYPART_ARC
(8,2),-2.95815 # DEPENDENCYPART_ARC
(8,3),-2.54044 # DEPENDENCYPART_ARC
(8,4),-1.00625 # DEPENDENCYPART_ARC
(8,5),-0.745946 # DEPENDENCYPART_ARC
(8,6),-0.542165 # DEPENDENCYPART_ARC
(8,7),-0.919741 # DEPENDENCYPART_ARC
(8,9),0.153442 # DEPENDENCYPART_ARC
(8,10),-0.273981 # DEPENDENCYPART_ARC
(8,11),-0.489937 # DEPENDENCYPART_ARC
(8,12),-1.75355 # DEPENDENCYPART_ARC
(8,13),-0.950256 # DEPENDENCYPART_ARC
(8,14),-0.618314 # DEPENDENCYPART_ARC
(8,15),-2.97209 # DEPENDENCYPART_ARC
(8,16),-1.38978 # DEPENDENCYPART_ARC
(8,17),-2.33234 # DEPENDENCYPART_ARC
(8,18),-1.96023 # DEPENDENCYPART_ARC
(8,19),-1.2543 # DEPENDENCYPART_ARC
(9,1),-3.24119 # DEPENDENCYPART_ARC
(9,2),-3.24054 # DEPENDENCYPART_ARC
(9,3),-4.53899 # DEPENDENCYPART_ARC
(9,4),-0.783895 # DEPENDENCYPART_ARC
(9,5),-0.859044 # DEPENDENCYPART_ARC
(9,6),0.0456391 # DEPENDENCYPART_ARC
(9,7),-0.968958 # DEPENDENCYPART_ARC
(9,8),2.96269 # DEPENDENCYPART_ARC
(9,10),3.01881 # DEPENDENCYPART_ARC
(9,11),0.905231 # DEPENDENCYPART_ARC
(9,12),-0.428354 # DEPENDENCYPART_ARC
(9,13),0.197244 # DEPENDENCYPART_ARC
(9,14),0.0444664 # DEPENDENCYPART_ARC
(9,15),-1.45476 # DEPENDENCYPART_ARC
(9,16),-0.857977 # DEPENDENCYPART_ARC
(9,17),-0.771926 # DEPENDENCYPART_ARC
(9,18),-0.463698 # DEPENDENCYPART_ARC
(9,19),-0.103644 # DEPENDENCYPART_ARC
(10,1),-2.51347 # DEPENDENCYPART_ARC
(10,2),-2.63913 # DEPENDENCYPART_ARC
(10,3),-3.99207 # DEPENDENCYPART_ARC
(10,4),-1.11354 # DEPENDENCYPART_ARC
(10,5),-0.982828 # DEPENDENCYPART_ARC
(10,6),-0.368497 # DEPENDENCYPART_ARC
(10,7),-1.45635 # DEPENDENCYPART_ARC
(10,8),0.955855 # DEPENDENCYPART_ARC
(10,9),1.10986 # DEPENDENCYPART_ARC
(10,11),1.08342 # DEPENDENCYPART_ARC
(10,12),-0.631736 # DEPENDENCYPART_ARC
(10,13),-0.431432 # DEPENDENCYPART_ARC
(10,14),0.225292 # DEPENDENCYPART_ARC
(10,15),-1.1934 # DEPENDENCYPART_ARC
(10,16),-0.921335 # DEPENDENCYPART_ARC
(10,17),-1.16153 # DEPENDENCYPART_ARC
(10,18),-0.820979 # DEPENDENCYPART_ARC
(10,19),-0.170017 # DEPENDENCYPART_ARC
(11,1),-1.22403 # DEPENDENCYPART_ARC
(11,2),-1.10134 # DEPENDENCYPART_ARC
(11,3),-1.47133 # DEPENDENCYPART_ARC
(11,4),-0.413294 # DEPENDENCYPART_ARC
(11,5),-0.454023 # DEPENDENCYPART_ARC
(11,6),-0.446978 # DEPENDENCYPART_ARC
(11,7),-1.15619 # DEPENDENCYPART_ARC
(11,8),-0.133522 # DEPENDENCYPART_ARC
(11,9),-0.815148 # DEPENDENCYPART_ARC
(11,10),-0.409404 # DEPENDENCYPART_ARC
(11,12),1.39345 # DEPENDENCYPART_ARC
(11,13),2.82625 # DEPENDENCYPART_ARC
(11,14),0.534484 # DEPENDENCYPART_ARC
(11,15),-0.259291 # DEPENDENCYPART_ARC
(11,16),-0.860466 # DEPENDENCYPART_ARC
(11,17),-0.947683 # DEPENDENCYPART_ARC
(11,18),-0.957569 # DEPENDENCYPART_ARC
(11,19),-0.398252 # DEPENDENCYPART_ARC
(12,1),-2.10659 # DEPENDENCYPART_ARC
(12,2),-2.08909 # DEPENDENCYPART_ARC
(12,3),-2.64767 # DEPENDENCYPART_ARC
(12,4),-1.61868 # DEPENDENCYPART_ARC
(12,5),-1.29 # DEPENDENCYPART_ARC
(12,6),-2.00607 # DEPENDENCYPART_ARC
(12,7),-2.04963 # DEPENDENCYPART_ARC
(12,8),-1.28087 # DEPENDENCYPART_ARC
(12,9),-1.63899 # DEPENDENCYPART_ARC
(12,10),-2.0196 # DEPENDENCYPART_ARC
(12,11),-0.151215 # DEPENDENCYPART_ARC
(12,13),0.822263 # DEPENDENCYPART_ARC
(12,14),-0.0638868 # DEPENDENCYPART_ARC
(12,15),-1.0916 # DEPENDENCYPART_ARC
(12,16),-0.734864 # DEPENDENCYPART_ARC
(12,17),-0.779081 # DEPENDENCYPART_ARC
(12,18),-0.57431 # DEPENDENCYPART_ARC
(12,19),-0.665726 # DEPENDENCYPART_ARC
(13,1),-1.34643 # DEPENDENCYPART_ARC
(13,2),-1.47699 # DEPENDENCYPART_ARC
(13,3),-2.92619 # DEPENDENCYPART_ARC
(13,4),-0.265996 # DEPENDENCYPART_ARC
(13,5),-0.705624 # DEPENDENCYPART_ARC
(13,6),-0.879509 # DEPENDENCYPART_ARC
(13,7),-1.45929 # DEPENDENCYPART_ARC
(13,8),0.239194 # DEPENDENCYPART_ARC
(13,9),0.745402 # DEPENDENCYPART_ARC
(13,10),-0.291498 # DEPENDENCYPART_ARC
(13,11),0.752957 # DEPENDENCYPART_ARC
(13,12),4.08573 # DEPENDENCYPART_ARC
(13,14),0.104243 # DEPENDENCYPART_ARC
(13,15),-0.451126 # DEPENDENCYPART_ARC
(13,16),-0.837085 # DEPENDENCYPART_ARC
(13,17),-1.22229 # DEPENDENCYPART_ARC
(13,18),0.0776189 # DEPENDENCYPART_ARC
(13,19),-0.811404 # DEPENDENCYPART_ARC
(14,1),-0.793477 # DEPENDENCYPART_ARC
(14,2),-0.675018 # DEPENDENCYPART_ARC
(14,3),-0.731712 # DEPENDENCYPART_ARC
(14,4),-0.606275 # DEPENDENCYPART_ARC
(14,5),-0.670635 # DEPENDENCYPART_ARC
(14,6),-0.709873 # DEPENDENCYPART_ARC
(14,7),-0.326556 # DEPENDENCYPART_ARC
(14,8),-0.627584 # DEPENDENCYPART_ARC
(14,9),-0.226608 # DEPENDENCYPART_ARC
(14,10),-0.0701015 # DEPENDENCYPART_ARC
(14,11),0.14602 # DEPENDENCYPART_ARC
(14,12),-0.0583387 # DEPENDENCYPART_ARC
(14,13),-0.0883488 # DEPENDENCYPART_ARC
(14,15),-0.272744 # DEPENDENCYPART_ARC
(14,16),-0.8608 # DEPENDENCYPART_ARC
(14,17),-0.894388 # DEPENDENCYPART_ARC
(14,18),-0.826124 # DEPENDENCYPART_ARC
(14,19),-0.652915 # DEPENDENCYPART_ARC
(15,1),-0.574629 # DEPENDENCYPART_ARC
(15,2),-0.630896 # DEPENDENCYPART_ARC
(15,3),-1.62434 # DEPENDENCYPART_ARC
(15,4),1.04781 # DEPENDENCYPART_ARC
(15,5),0.563086 # DEPENDENCYPART_ARC
(15,6),-1.22881 # DEPENDENCYPART_ARC
(15,7),1.86062 # DEPENDENCYPART_ARC
(15,8),-1.87423 # DEPENDENCYPART_ARC
(15,9),-0.669105 # DEPENDENCYPART_ARC
(15,10),-1.04043 # DEPENDENCYPART_ARC
(15,11),0.903384 # DEPENDENCYPART_ARC
(15,12),0.674175 # DEPENDENCYPART_ARC
(15,13),0.339029 # DEPENDENCYPART_ARC
(15,14),1.63937 # DEPENDENCYPART_ARC
(15,16),1.81376 # DEPENDENCYPART_ARC
(15,17),-0.419946 # DEPENDENCYPART_ARC
(15,18),-0.349989 # DEPENDENCYPART_ARC
(15,19),0.727488 # DEPENDENCYPART_ARC
(16,1),-1.57218 # DEPENDENCYPART_ARC
(16,2),-1.59349 # DEPENDENCYPART_ARC
(16,3),-1.73817 # DEPENDENCYPART_ARC
(16,4),-0.751898 # DEPENDENCYPART_ARC
(16,5),-0.788709 # DEPENDENCYPART_ARC
(16,6),-1.1031 # DEPENDENCYPART_ARC
(16,7),-1.51421 # DEPENDENCYPART_ARC
(16,8),-1.01909 # DEPENDENCYPART_ARC
(16,9),-1.49826 # DEPENDENCYPART_ARC
(16,10),-1.53241 # DEPENDENCYPART_ARC
(16,11),-0.687717 # DEPENDENCYPART_ARC
(16,12),-1.05931 # DEPENDENCYPART_ARC
(16,13),-1.09529 # DEPENDENCYPART_ARC
(16,14),0.0258555 # DEPENDENCYPART_ARC
(16,15),0.0335671 # DEPENDENCYPART_ARC
(16,17),1.62486 # DEPENDENCYPART_ARC
(16,18),2.95989 # DEPENDENCYPART_ARC
(16,19),0.627906 # DEPENDENCYPART_ARC
(17,1),-3.18721 # DEPENDENCYPART_ARC
(17,2),-3.25591 # DEPENDENCYPART_ARC
(17,3),-3.94369 # DEPENDENCYPART_ARC
(17,4),-1.86112 # DEPENDENCYPART_ARC
(17,5),-2.24201 # DEPENDENCYPART_ARC
(17,6),-1.7789 # DEPENDENCYPART_ARC
(17,7),-3.03501 # DEPENDENCYPART_ARC
(17,8),-1.36598 # DEPENDENCYPART_ARC
(17,9),-2.90283 # DEPENDENCYPART_ARC
(17,10),-3.63618 # DEPENDENCYPART_ARC
(17,11),-1.43222 # DEPENDENCYPART_ARC
(17,12),-2.32332 # DEPENDENCYPART_ARC
(17,13),-2.35332 # DEPENDENCYPART_ARC
(17,14),-1.08008 # DEPENDENCYPART_ARC
(17,15),-2.36871 # DEPENDENCYPART_ARC
(17,16),0.0480756 # DEPENDENCYPART_ARC
(17,18),0.957565 # DEPENDENCYPART_ARC
(17,19),-0.329437 # DEPENDENCYPART_ARC
(18,1),-3.2609 # DEPENDENCYPART_ARC
(18,2),-3.39152 # DEPENDENCYPART_ARC
(18,3),-4.65399 # DEPENDENCYPART_ARC
(18,4),-0.977009 # DEPENDENCYPART_ARC
(18,5),-1.56776 # DEPENDENCYPART_ARC
(18,6),-1.96904 # DEPENDENCYPART_ARC
(18,7),-2.81984 # DEPENDENCYPART_ARC
(18,8),-1.52043 # DEPENDENCYPART_ARC
(18,9),-1.36479 # DEPENDENCYPART_ARC
(18,10),-1.74738 # DEPENDENCYPART_ARC
(18,11),-0.888664 # DEPENDENCYPART_ARC
(18,12),-2.1543 # DEPENDENCYPART_ARC
(18,13),-2.50999 # DEPENDENCYPART_ARC
(18,14),-0.374239 # DEPENDENCYPART_ARC
(18,15),-0.827525 # DEPENDENCYPART_ARC
(18,16),0.721007 # DEPENDENCYPART_ARC
(18,17),3.26592 # DEPENDENCYPART_ARC
(18,19),0.220617 # DEPENDENCYPART_ARC
(19,1),-2.36098 # DEPENDENCYPART_ARC
(19,2),-2.29526 # DEPENDENCYPART_ARC
(19,3),-2.93512 # DEPENDENCYPART_ARC
(19,4),-2.12741 # DEPENDENCYPART_ARC
(19,5),-1.9699 # DEPENDENCYPART_ARC
(19,6),-2.33941 # DEPENDENCYPART_ARC
(19,7),-2.62818 # DEPENDENCYPART_ARC
(19,8),-2.27858 # DEPENDENCYPART_ARC
(19,9),-2.45063 # DEPENDENCYPART_ARC
(19,10),-2.13336 # DEPENDENCYPART_ARC
(19,11),-2.06858 # DEPENDENCYPART_ARC
(19,12),-2.09508 # DEPENDENCYPART_ARC
(19,13),-2.32827 # DEPENDENCYPART_ARC
(19,14),-1.72737 # DEPENDENCYPART_ARC
(19,15),-1.82591 # DEPENDENCYPART_ARC
(19,16),-1.38042 # DEPENDENCYPART_ARC
(19,17),-1.43251 # DEPENDENCYPART_ARC
(19,18),-1.71086 # DEPENDENCYPART_ARC
