# _root_ Τα νέα στοιχεία υποδεικνύουν μάλιστα ότι οι ιζηματογενείς αποθέσεις των ωκεανών , οι οποίες καλύπτουν το 70% της επιφάνειας της Γης , περιέχουν περίπου τους μισούς μικροοργανισμούς του πλανήτη .
#goldHeads=3,3,4,0,4,4,9,9,23,11,9,15,14,15,9,17,15,19,17,21,19,15,6,26,27,27,23,29,27,0,
#predictedHeads=3,3,4,0,4,4,9,9,4,11,9,15,14,15,6,17,15,19,17,21,19,23,6,23,27,27,23,29,27,0,
(0,28),-2.61735 # DEPENDENCYPART_ARC
(0,29),-3.2158 # DEPENDENCYPART_ARC
(0,30),4.81522 # DEPENDENCYPART_ARC
(1,2),-0.939714 # DEPENDENCYPART_ARC
(1,3),-0.365185 # DEPENDENCYPART_ARC
(1,4),-1.90741 # DEPENDENCYPART_ARC
(1,5),-0.964395 # DEPENDENCYPART_ARC
(1,6),-0.919804 # DEPENDENCYPART_ARC
(1,7),-2.07042 # DEPENDENCYPART_ARC
(1,8),-2.5852 # DEPENDENCYPART_ARC
(1,9),-2.25016 # DEPENDENCYPART_ARC
(1,10),-2.16395 # DEPENDENCYPART_ARC
(1,11),-2.00397 # DEPENDENCYPART_ARC
(1,12),-1.1225 # DEPENDENCYPART_ARC
(1,13),-2.24807 # DEPENDENCYPART_ARC
(1,14),-2.10955 # DEPENDENCYPART_ARC
(1,15),-2.99621 # DEPENDENCYPART_ARC
(1,16),-2.10115 # DEPENDENCYPART_ARC
(1,17),-1.73326 # DEPENDENCYPART_ARC
(1,18),-2.29384 # DEPENDENCYPART_ARC
(1,19),-2.04233 # DEPENDENCYPART_ARC
(1,20),-2.35284 # DEPENDENCYPART_ARC
(1,21),-2.1957 # DEPENDENCYPART_ARC
(1,22),-1.40418 # DEPENDENCYPART_ARC
(1,23),-3.34096 # DEPENDENCYPART_ARC
(1,24),-1.73057 # DEPENDENCYPART_ARC
(1,25),-2.59408 # DEPENDENCYPART_ARC
(1,26),-3.17472 # DEPENDENCYPART_ARC
(1,27),-2.76565 # DEPENDENCYPART_ARC
(1,28),-2.63275 # DEPENDENCYPART_ARC
(1,29),-2.50906 # DEPENDENCYPART_ARC
(1,30),-1.62875 # DEPENDENCYPART_ARC
(2,1),1.84984 # DEPENDENCYPART_ARC
(2,3),-0.0162397 # DEPENDENCYPART_ARC
(2,4),-0.835173 # DEPENDENCYPART_ARC
(2,5),-0.802986 # DEPENDENCYPART_ARC
(2,6),-0.696286 # DEPENDENCYPART_ARC
(2,7),-1.77646 # DEPENDENCYPART_ARC
(2,8),-2.0657 # DEPENDENCYPART_ARC
(2,9),-2.68352 # DEPENDENCYPART_ARC
(2,10),-1.43949 # DEPENDENCYPART_ARC
(2,11),-1.83581 # DEPENDENCYPART_ARC
(2,12),-0.961149 # DEPENDENCYPART_ARC
(2,13),-2.10999 # DEPENDENCYPART_ARC
(2,14),-2.10235 # DEPENDENCYPART_ARC
(2,15),-2.37874 # DEPENDENCYPART_ARC
(2,16),-2.59893 # DEPENDENCYPART_ARC
(2,17),-1.13834 # DEPENDENCYPART_ARC
(2,18),-2.46232 # DEPENDENCYPART_ARC
(2,19),-1.80539 # DEPENDENCYPART_ARC
(2,20),-2.37504 # DEPENDENCYPART_ARC
(2,21),-2.08046 # DEPENDENCYPART_ARC
(2,22),-1.36183 # DEPENDENCYPART_ARC
(2,23),-2.90306 # DEPENDENCYPART_ARC
(2,24),-2.01515 # DEPENDENCYPART_ARC
(2,25),-1.951 # DEPENDENCYPART_ARC
(2,26),-2.82355 # DEPENDENCYPART_ARC
(2,27),-3.63749 # DEPENDENCYPART_ARC
(2,28),-2.72172 # DEPENDENCYPART_ARC
(2,29),-2.63884 # DEPENDENCYPART_ARC
(2,30),-1.66811 # DEPENDENCYPART_ARC
(3,1),4.08792 # DEPENDENCYPART_ARC
(3,2),4.32731 # DEPENDENCYPART_ARC
(3,4),-0.487673 # DEPENDENCYPART_ARC
(3,5),-0.439743 # DEPENDENCYPART_ARC
(3,6),-0.127466 # DEPENDENCYPART_ARC
(3,7),-2.16078 # DEPENDENCYPART_ARC
(3,8),-0.96432 # DEPENDENCYPART_ARC
(3,9),-2.39768 # DEPENDENCYPART_ARC
(3,10),-2.66891 # DEPENDENCYPART_ARC
(3,11),-2.02391 # DEPENDENCYPART_ARC
(3,12),-1.05403 # DEPENDENCYPART_ARC
(3,13),-2.44007 # DEPENDENCYPART_ARC
(3,14),-2.52153 # DEPENDENCYPART_ARC
(3,15),-1.53437 # DEPENDENCYPART_ARC
(3,16),-3.06234 # DEPENDENCYPART_ARC
(3,17),-1.38015 # DEPENDENCYPART_ARC
(3,18),-2.78987 # DEPENDENCYPART_ARC
(3,19),-2.55361 # DEPENDENCYPART_ARC
(3,20),-2.96014 # DEPENDENCYPART_ARC
(3,21),-2.78994 # DEPENDENCYPART_ARC
(3,22),-1.60682 # DEPENDENCYPART_ARC
(3,23),-3.43827 # DEPENDENCYPART_ARC
(3,24),-2.18434 # DEPENDENCYPART_ARC
(3,25),-3.30312 # DEPENDENCYPART_ARC
(3,26),-2.76234 # DEPENDENCYPART_ARC
(3,27),-6.04369 # DEPENDENCYPART_ARC
(3,28),-3.5478 # DEPENDENCYPART_ARC
(3,29),-4.42593 # DEPENDENCYPART_ARC
(3,30),-1.38422 # DEPENDENCYPART_ARC
(4,1),0.653985 # DEPENDENCYPART_ARC
(4,2),0.107027 # DEPENDENCYPART_ARC
(4,3),2.40673 # DEPENDENCYPART_ARC
(4,5),1.79071 # DEPENDENCYPART_ARC
(4,6),1.95879 # DEPENDENCYPART_ARC
(4,7),-2.10637 # DEPENDENCYPART_ARC
(4,8),-0.372066 # DEPENDENCYPART_ARC
(4,9),1.21234 # DEPENDENCYPART_ARC
(4,10),-2.63483 # DEPENDENCYPART_ARC
(4,11),-1.63379 # DEPENDENCYPART_ARC
(4,12),0.46641 # DEPENDENCYPART_ARC
(4,13),-2.79903 # DEPENDENCYPART_ARC
(4,14),-1.90329 # DEPENDENCYPART_ARC
(4,15),-2.42937 # DEPENDENCYPART_ARC
(4,16),-2.88507 # DEPENDENCYPART_ARC
(4,17),-0.108261 # DEPENDENCYPART_ARC
(4,18),-3.21324 # DEPENDENCYPART_ARC
(4,19),-3.03428 # DEPENDENCYPART_ARC
(4,20),-3.40764 # DEPENDENCYPART_ARC
(4,21),-3.36461 # DEPENDENCYPART_ARC
(4,22),0.0796958 # DEPENDENCYPART_ARC
(4,23),-4.59112 # DEPENDENCYPART_ARC
(4,24),-1.17829 # DEPENDENCYPART_ARC
(4,25),-2.74102 # DEPENDENCYPART_ARC
(4,26),-3.39273 # DEPENDENCYPART_ARC
(4,27),-1.71946 # DEPENDENCYPART_ARC
(4,28),-3.94796 # DEPENDENCYPART_ARC
(4,29),-4.21484 # DEPENDENCYPART_ARC
(4,30),0.0965792 # DEPENDENCYPART_ARC
(5,1),0.386589 # DEPENDENCYPART_ARC
(5,2),-0.444924 # DEPENDENCYPART_ARC
(5,3),-0.0340888 # DEPENDENCYPART_ARC
(5,4),0.270804 # DEPENDENCYPART_ARC
(5,6),0.39528 # DEPENDENCYPART_ARC
(5,7),-0.53668 # DEPENDENCYPART_ARC
(5,8),-0.713983 # DEPENDENCYPART_ARC
(5,9),-0.743184 # DEPENDENCYPART_ARC
(5,10),-0.8606 # DEPENDENCYPART_ARC
(5,11),-1.21396 # DEPENDENCYPART_ARC
(5,12),-0.607713 # DEPENDENCYPART_ARC
(5,13),-1.43976 # DEPENDENCYPART_ARC
(5,14),-1.46572 # DEPENDENCYPART_ARC
(5,15),-1.16868 # DEPENDENCYPART_ARC
(5,16),-1.97384 # DEPENDENCYPART_ARC
(5,17),-1.50698 # DEPENDENCYPART_ARC
(5,18),-1.79394 # DEPENDENCYPART_ARC
(5,19),-2.07299 # DEPENDENCYPART_ARC
(5,20),-1.69217 # DEPENDENCYPART_ARC
(5,21),-2.4458 # DEPENDENCYPART_ARC
(5,22),-1.48879 # DEPENDENCYPART_ARC
(5,23),-1.63915 # DEPENDENCYPART_ARC
(5,24),-1.62235 # DEPENDENCYPART_ARC
(5,25),-2.05081 # DEPENDENCYPART_ARC
(5,26),-2.32356 # DEPENDENCYPART_ARC
(5,27),-3.553 # DEPENDENCYPART_ARC
(5,28),-1.88443 # DEPENDENCYPART_ARC
(5,29),-3.06042 # DEPENDENCYPART_ARC
(5,30),-1.91496 # DEPENDENCYPART_ARC
(6,1),-1.22252 # DEPENDENCYPART_ARC
(6,2),-1.30777 # DEPENDENCYPART_ARC
(6,3),-0.882817 # DEPENDENCYPART_ARC
(6,4),-0.916126 # DEPENDENCYPART_ARC
(6,5),-0.353835 # DEPENDENCYPART_ARC
(6,7),-0.195964 # DEPENDENCYPART_ARC
(6,8),0.460622 # DEPENDENCYPART_ARC
(6,9),-0.302446 # DEPENDENCYPART_ARC
(6,10),-0.855329 # DEPENDENCYPART_ARC
(6,11),-1.15336 # DEPENDENCYPART_ARC
(6,12),-0.0759663 # DEPENDENCYPART_ARC
(6,13),-1.11695 # DEPENDENCYPART_ARC
(6,14),-0.665356 # DEPENDENCYPART_ARC
(6,15),1.6211 # DEPENDENCYPART_ARC
(6,16),-1.47762 # DEPENDENCYPART_ARC
(6,17),-1.17179 # DEPENDENCYPART_ARC
(6,18),-1.57126 # DEPENDENCYPART_ARC
(6,19),-3.17342 # DEPENDENCYPART_ARC
(6,20),-1.56313 # DEPENDENCYPART_ARC
(6,21),-3.42008 # DEPENDENCYPART_ARC
(6,22),-1.04295 # DEPENDENCYPART_ARC
(6,23),0.817416 # DEPENDENCYPART_ARC
(6,24),-0.860989 # DEPENDENCYPART_ARC
(6,25),-1.83564 # DEPENDENCYPART_ARC
(6,26),-2.12508 # DEPENDENCYPART_ARC
(6,27),-4.17816 # DEPENDENCYPART_ARC
(6,28),-2.01533 # DEPENDENCYPART_ARC
(6,29),-4.82604 # DEPENDENCYPART_ARC
(6,30),-1.5046 # DEPENDENCYPART_ARC
(7,1),-1.46405 # DEPENDENCYPART_ARC
(7,2),-2.44007 # DEPENDENCYPART_ARC
(7,3),-1.98438 # DEPENDENCYPART_ARC
(7,4),-2.83661 # DEPENDENCYPART_ARC
(7,5),-1.11617 # DEPENDENCYPART_ARC
(7,6),-0.733432 # DEPENDENCYPART_ARC
(7,8),-0.575918 # DEPENDENCYPART_ARC
(7,9),-0.350453 # DEPENDENCYPART_ARC
(7,10),-0.984357 # DEPENDENCYPART_ARC
(7,11),-0.846643 # DEPENDENCYPART_ARC
(7,12),-0.347169 # DEPENDENCYPART_ARC
(7,13),-1.33032 # DEPENDENCYPART_ARC
(7,14),-1.34159 # DEPENDENCYPART_ARC
(7,15),-2.04298 # DEPENDENCYPART_ARC
(7,16),-2.0295 # DEPENDENCYPART_ARC
(7,17),-1.12173 # DEPENDENCYPART_ARC
(7,18),-1.92753 # DEPENDENCYPART_ARC
(7,19),-1.81016 # DEPENDENCYPART_ARC
(7,20),-1.98471 # DEPENDENCYPART_ARC
(7,21),-1.81727 # DEPENDENCYPART_ARC
(7,22),-0.833459 # DEPENDENCYPART_ARC
(7,23),-2.70595 # DEPENDENCYPART_ARC
(7,24),-1.32623 # DEPENDENCYPART_ARC
(7,25),-2.08571 # DEPENDENCYPART_ARC
(7,26),-2.81873 # DEPENDENCYPART_ARC
(7,27),-2.43813 # DEPENDENCYPART_ARC
(7,28),-2.29311 # DEPENDENCYPART_ARC
(7,29),-2.31205 # DEPENDENCYPART_ARC
(7,30),-1.24716 # DEPENDENCYPART_ARC
(8,1),-0.145046 # DEPENDENCYPART_ARC
(8,2),-0.655616 # DEPENDENCYPART_ARC
(8,3),-1.08332 # DEPENDENCYPART_ARC
(8,4),-2.54977 # DEPENDENCYPART_ARC
(8,5),-0.388894 # DEPENDENCYPART_ARC
(8,6),-0.160667 # DEPENDENCYPART_ARC
(8,7),2.33776 # DEPENDENCYPART_ARC
(8,9),-0.391456 # DEPENDENCYPART_ARC
(8,10),0.0457224 # DEPENDENCYPART_ARC
(8,11),-0.289204 # DEPENDENCYPART_ARC
(8,12),-0.399986 # DEPENDENCYPART_ARC
(8,13),-1.26579 # DEPENDENCYPART_ARC
(8,14),-1.45308 # DEPENDENCYPART_ARC
(8,15),-1.43698 # DEPENDENCYPART_ARC
(8,16),-2.32045 # DEPENDENCYPART_ARC
(8,17),-1.02843 # DEPENDENCYPART_ARC
(8,18),-1.79632 # DEPENDENCYPART_ARC
(8,19),-1.66865 # DEPENDENCYPART_ARC
(8,20),-1.97564 # DEPENDENCYPART_ARC
(8,21),-1.93819 # DEPENDENCYPART_ARC
(8,22),-1.07057 # DEPENDENCYPART_ARC
(8,23),-2.20608 # DEPENDENCYPART_ARC
(8,24),-1.92471 # DEPENDENCYPART_ARC
(8,25),-1.46724 # DEPENDENCYPART_ARC
(8,26),-2.90095 # DEPENDENCYPART_ARC
(8,27),-3.40653 # DEPENDENCYPART_ARC
(8,28),-2.14366 # DEPENDENCYPART_ARC
(8,29),-2.33483 # DEPENDENCYPART_ARC
(8,30),-1.40327 # DEPENDENCYPART_ARC
(9,1),0.197666 # DEPENDENCYPART_ARC
(9,2),-0.128228 # DEPENDENCYPART_ARC
(9,3),-1.525 # DEPENDENCYPART_ARC
(9,4),-2.51162 # DEPENDENCYPART_ARC
(9,5),0.0430882 # DEPENDENCYPART_ARC
(9,6),0.153464 # DEPENDENCYPART_ARC
(9,7),4.11644 # DEPENDENCYPART_ARC
(9,8),4.96205 # DEPENDENCYPART_ARC
(9,10),0.0499741 # DEPENDENCYPART_ARC
(9,11),2.34182 # DEPENDENCYPART_ARC
(9,12),0.544717 # DEPENDENCYPART_ARC
(9,13),-0.63656 # DEPENDENCYPART_ARC
(9,14),-0.302281 # DEPENDENCYPART_ARC
(9,15),1.32507 # DEPENDENCYPART_ARC
(9,16),-1.98321 # DEPENDENCYPART_ARC
(9,17),-0.235266 # DEPENDENCYPART_ARC
(9,18),-1.54961 # DEPENDENCYPART_ARC
(9,19),-0.540761 # DEPENDENCYPART_ARC
(9,20),-1.73482 # DEPENDENCYPART_ARC
(9,21),-0.940807 # DEPENDENCYPART_ARC
(9,22),-0.618483 # DEPENDENCYPART_ARC
(9,23),-1.16054 # DEPENDENCYPART_ARC
(9,24),-0.713903 # DEPENDENCYPART_ARC
(9,25),-2.07143 # DEPENDENCYPART_ARC
(9,26),-1.69819 # DEPENDENCYPART_ARC
(9,27),-3.67865 # DEPENDENCYPART_ARC
(9,28),-2.29488 # DEPENDENCYPART_ARC
(9,29),-2.32288 # DEPENDENCYPART_ARC
(9,30),-0.444258 # DEPENDENCYPART_ARC
(10,1),-1.45045 # DEPENDENCYPART_ARC
(10,2),-2.55689 # DEPENDENCYPART_ARC
(10,3),-1.9933 # DEPENDENCYPART_ARC
(10,4),-2.26782 # DEPENDENCYPART_ARC
(10,5),-1.11352 # DEPENDENCYPART_ARC
(10,6),-1.00627 # DEPENDENCYPART_ARC
(10,7),-0.888277 # DEPENDENCYPART_ARC
(10,8),-1.3052 # DEPENDENCYPART_ARC
(10,9),-0.748872 # DEPENDENCYPART_ARC
(10,11),0.128704 # DEPENDENCYPART_ARC
(10,12),-0.458266 # DEPENDENCYPART_ARC
(10,13),-1.26604 # DEPENDENCYPART_ARC
(10,14),-2.29888 # DEPENDENCYPART_ARC
(10,15),-2.29736 # DEPENDENCYPART_ARC
(10,16),-1.9845 # DEPENDENCYPART_ARC
(10,17),-1.52818 # DEPENDENCYPART_ARC
(10,18),-2.15559 # DEPENDENCYPART_ARC
(10,19),-2.09625 # DEPENDENCYPART_ARC
(10,20),-2.12896 # DEPENDENCYPART_ARC
(10,21),-2.16256 # DEPENDENCYPART_ARC
(10,22),-1.24446 # DEPENDENCYPART_ARC
(10,23),-3.12406 # DEPENDENCYPART_ARC
(10,24),-1.56121 # DEPENDENCYPART_ARC
(10,25),-2.082 # DEPENDENCYPART_ARC
(10,26),-2.71809 # DEPENDENCYPART_ARC
(10,27),-2.41357 # DEPENDENCYPART_ARC
(10,28),-2.12959 # DEPENDENCYPART_ARC
(10,29),-2.18599 # DEPENDENCYPART_ARC
(10,30),-1.44869 # DEPENDENCYPART_ARC
(11,1),-1.5967 # DEPENDENCYPART_ARC
(11,2),-1.97581 # DEPENDENCYPART_ARC
(11,3),-2.76303 # DEPENDENCYPART_ARC
(11,4),-2.35553 # DEPENDENCYPART_ARC
(11,5),-0.677535 # DEPENDENCYPART_ARC
(11,6),-0.535707 # DEPENDENCYPART_ARC
(11,7),0.156157 # DEPENDENCYPART_ARC
(11,8),-0.0837706 # DEPENDENCYPART_ARC
(11,9),-0.799013 # DEPENDENCYPART_ARC
(11,10),3.64917 # DEPENDENCYPART_ARC
(11,12),0.0408422 # DEPENDENCYPART_ARC
(11,13),-0.647687 # DEPENDENCYPART_ARC
(11,14),-2.24048 # DEPENDENCYPART_ARC
(11,15),1.00375 # DEPENDENCYPART_ARC
(11,16),-1.91751 # DEPENDENCYPART_ARC
(11,17),-0.760225 # DEPENDENCYPART_ARC
(11,18),-1.94384 # DEPENDENCYPART_ARC
(11,19),-1.13621 # DEPENDENCYPART_ARC
(11,20),-2.07353 # DEPENDENCYPART_ARC
(11,21),-1.28558 # DEPENDENCYPART_ARC
(11,22),-1.41988 # DEPENDENCYPART_ARC
(11,23),-2.17646 # DEPENDENCYPART_ARC
(11,24),-1.54472 # DEPENDENCYPART_ARC
(11,25),-2.02443 # DEPENDENCYPART_ARC
(11,26),-1.65547 # DEPENDENCYPART_ARC
(11,27),-4.32357 # DEPENDENCYPART_ARC
(11,28),-2.18083 # DEPENDENCYPART_ARC
(11,29),-2.39549 # DEPENDENCYPART_ARC
(11,30),-1.20797 # DEPENDENCYPART_ARC
(12,1),-0.811464 # DEPENDENCYPART_ARC
(12,2),-0.753427 # DEPENDENCYPART_ARC
(12,3),-0.59595 # DEPENDENCYPART_ARC
(12,4),-0.326129 # DEPENDENCYPART_ARC
(12,5),-0.208654 # DEPENDENCYPART_ARC
(12,6),-0.0514596 # DEPENDENCYPART_ARC
(12,7),-0.346719 # DEPENDENCYPART_ARC
(12,8),-0.296872 # DEPENDENCYPART_ARC
(12,9),0.367424 # DEPENDENCYPART_ARC
(12,10),0.000197738 # DEPENDENCYPART_ARC
(12,11),0.617239 # DEPENDENCYPART_ARC
(12,13),-0.0244155 # DEPENDENCYPART_ARC
(12,14),-0.377605 # DEPENDENCYPART_ARC
(12,15),-0.00777207 # DEPENDENCYPART_ARC
(12,16),-1.08484 # DEPENDENCYPART_ARC
(12,17),-0.58333 # DEPENDENCYPART_ARC
(12,18),-1.14042 # DEPENDENCYPART_ARC
(12,19),-0.908131 # DEPENDENCYPART_ARC
(12,20),-1.23195 # DEPENDENCYPART_ARC
(12,21),-0.924795 # DEPENDENCYPART_ARC
(12,22),-0.360049 # DEPENDENCYPART_ARC
(12,23),-0.936678 # DEPENDENCYPART_ARC
(12,24),-0.730557 # DEPENDENCYPART_ARC
(12,25),-1.42142 # DEPENDENCYPART_ARC
(12,26),-1.21142 # DEPENDENCYPART_ARC
(12,27),-0.915458 # DEPENDENCYPART_ARC
(12,28),-1.57348 # DEPENDENCYPART_ARC
(12,29),-1.15311 # DEPENDENCYPART_ARC
(12,30),-0.789009 # DEPENDENCYPART_ARC
(13,1),-1.29605 # DEPENDENCYPART_ARC
(13,2),-2.40723 # DEPENDENCYPART_ARC
(13,3),-1.95504 # DEPENDENCYPART_ARC
(13,4),-2.84905 # DEPENDENCYPART_ARC
(13,5),-1.39255 # DEPENDENCYPART_ARC
(13,6),-1.24131 # DEPENDENCYPART_ARC
(13,7),-0.501998 # DEPENDENCYPART_ARC
(13,8),-1.23522 # DEPENDENCYPART_ARC
(13,9),-1.22544 # DEPENDENCYPART_ARC
(13,10),-0.679545 # DEPENDENCYPART_ARC
(13,11),-1.19956 # DEPENDENCYPART_ARC
(13,12),-0.35545 # DEPENDENCYPART_ARC
(13,14),0.401368 # DEPENDENCYPART_ARC
(13,15),-0.895837 # DEPENDENCYPART_ARC
(13,16),-1.27832 # DEPENDENCYPART_ARC
(13,17),-0.668089 # DEPENDENCYPART_ARC
(13,18),-1.45194 # DEPENDENCYPART_ARC
(13,19),-1.41995 # DEPENDENCYPART_ARC
(13,20),-1.56706 # DEPENDENCYPART_ARC
(13,21),-1.52361 # DEPENDENCYPART_ARC
(13,22),-0.517082 # DEPENDENCYPART_ARC
(13,23),-2.20639 # DEPENDENCYPART_ARC
(13,24),-1.00799 # DEPENDENCYPART_ARC
(13,25),-1.82493 # DEPENDENCYPART_ARC
(13,26),-2.51535 # DEPENDENCYPART_ARC
(13,27),-2.04068 # DEPENDENCYPART_ARC
(13,28),-1.86235 # DEPENDENCYPART_ARC
(13,29),-2.03989 # DEPENDENCYPART_ARC
(13,30),-0.694863 # DEPENDENCYPART_ARC
(14,1),-0.806938 # DEPENDENCYPART_ARC
(14,2),-0.573236 # DEPENDENCYPART_ARC
(14,3),-1.83772 # DEPENDENCYPART_ARC
(14,4),-2.62315 # DEPENDENCYPART_ARC
(14,5),-0.352422 # DEPENDENCYPART_ARC
(14,6),-0.346849 # DEPENDENCYPART_ARC
(14,7),0.771097 # DEPENDENCYPART_ARC
(14,8),-0.72194 # DEPENDENCYPART_ARC
(14,9),-0.963027 # DEPENDENCYPART_ARC
(14,10),1.12946 # DEPENDENCYPART_ARC
(14,11),-0.750078 # DEPENDENCYPART_ARC
(14,12),0.400813 # DEPENDENCYPART_ARC
(14,13),3.39187 # DEPENDENCYPART_ARC
(14,15),-0.368144 # DEPENDENCYPART_ARC
(14,16),-2.02659 # DEPENDENCYPART_ARC
(14,17),-0.501692 # DEPENDENCYPART_ARC
(14,18),-2.3236 # DEPENDENCYPART_ARC
(14,19),-1.30993 # DEPENDENCYPART_ARC
(14,20),-2.54529 # DEPENDENCYPART_ARC
(14,21),-1.79667 # DEPENDENCYPART_ARC
(14,22),-1.2543 # DEPENDENCYPART_ARC
(14,23),-2.50237 # DEPENDENCYPART_ARC
(14,24),-1.5089 # DEPENDENCYPART_ARC
(14,25),-2.87086 # DEPENDENCYPART_ARC
(14,26),-1.89985 # DEPENDENCYPART_ARC
(14,27),-2.99417 # DEPENDENCYPART_ARC
(14,28),-2.46873 # DEPENDENCYPART_ARC
(14,29),-1.73676 # DEPENDENCYPART_ARC
(14,30),-1.58631 # DEPENDENCYPART_ARC
(15,1),-0.855682 # DEPENDENCYPART_ARC
(15,2),-1.94923 # DEPENDENCYPART_ARC
(15,3),0.187939 # DEPENDENCYPART_ARC
(15,4),-2.70476 # DEPENDENCYPART_ARC
(15,5),-0.493878 # DEPENDENCYPART_ARC
(15,6),-0.339939 # DEPENDENCYPART_ARC
(15,7),-1.4979 # DEPENDENCYPART_ARC
(15,8),-0.582429 # DEPENDENCYPART_ARC
(15,9),0.669554 # DEPENDENCYPART_ARC
(15,10),-1.69985 # DEPENDENCYPART_ARC
(15,11),-1.8337 # DEPENDENCYPART_ARC
(15,12),1.38335 # DEPENDENCYPART_ARC
(15,13),-0.406771 # DEPENDENCYPART_ARC
(15,14),3.16216 # DEPENDENCYPART_ARC
(15,16),-0.954288 # DEPENDENCYPART_ARC
(15,17),1.05091 # DEPENDENCYPART_ARC
(15,18),-2.13256 # DEPENDENCYPART_ARC
(15,19),-0.293723 # DEPENDENCYPART_ARC
(15,20),-2.46963 # DEPENDENCYPART_ARC
(15,21),-1.61482 # DEPENDENCYPART_ARC
(15,22),0.991446 # DEPENDENCYPART_ARC
(15,23),-2.26858 # DEPENDENCYPART_ARC
(15,24),-0.498178 # DEPENDENCYPART_ARC
(15,25),-2.46127 # DEPENDENCYPART_ARC
(15,26),-2.49229 # DEPENDENCYPART_ARC
(15,27),-0.274896 # DEPENDENCYPART_ARC
(15,28),-3.77076 # DEPENDENCYPART_ARC
(15,29),-3.04635 # DEPENDENCYPART_ARC
(15,30),0.350774 # DEPENDENCYPART_ARC
(16,1),-1.71835 # DEPENDENCYPART_ARC
(16,2),-3.27378 # DEPENDENCYPART_ARC
(16,3),-2.48516 # DEPENDENCYPART_ARC
(16,4),-3.17175 # DEPENDENCYPART_ARC
(16,5),-1.22574 # DEPENDENCYPART_ARC
(16,6),-1.39923 # DEPENDENCYPART_ARC
(16,7),-1.92845 # DEPENDENCYPART_ARC
(16,8),-3.34064 # DEPENDENCYPART_ARC
(16,9),-2.52937 # DEPENDENCYPART_ARC
(16,10),-1.74531 # DEPENDENCYPART_ARC
(16,11),-2.09011 # DEPENDENCYPART_ARC
(16,12),-1.23352 # DEPENDENCYPART_ARC
(16,13),-1.36472 # DEPENDENCYPART_ARC
(16,14),-1.2777 # DEPENDENCYPART_ARC
(16,15),-1.6357 # DEPENDENCYPART_ARC
(16,17),0.0391438 # DEPENDENCYPART_ARC
(16,18),-0.513592 # DEPENDENCYPART_ARC
(16,19),-0.676114 # DEPENDENCYPART_ARC
(16,20),-0.986262 # DEPENDENCYPART_ARC
(16,21),-1.01562 # DEPENDENCYPART_ARC
(16,22),-0.521694 # DEPENDENCYPART_ARC
(16,23),-3.01077 # DEPENDENCYPART_ARC
(16,24),-1.02669 # DEPENDENCYPART_ARC
(16,25),-1.99574 # DEPENDENCYPART_ARC
(16,26),-2.49966 # DEPENDENCYPART_ARC
(16,27),-2.35125 # DEPENDENCYPART_ARC
(16,28),-1.77993 # DEPENDENCYPART_ARC
(16,29),-1.98022 # DEPENDENCYPART_ARC
(16,30),-1.1585 # DEPENDENCYPART_ARC
(17,1),-0.167332 # DEPENDENCYPART_ARC
(17,2),-0.899895 # DEPENDENCYPART_ARC
(17,3),-1.21401 # DEPENDENCYPART_ARC
(17,4),-0.785254 # DEPENDENCYPART_ARC
(17,5),-0.157882 # DEPENDENCYPART_ARC
(17,6),-0.20465 # DEPENDENCYPART_ARC
