# _root_ Θα ήθελα , τέλος , για άλλη μία φορά να αναφέρω αυτό που είπα στην αρχή της παρέμβασής μου .
#goldHeads=2,0,2,2,2,2,9,9,6,11,2,11,14,12,14,15,18,16,18,0,
#predictedHeads=2,0,2,2,4,2,9,9,6,11,6,11,14,12,14,15,18,16,18,0,
(2,16),-2.14479 # DEPENDENCYPART_ARC
(2,17),-2.56357 # DEPENDENCYPART_ARC
(2,18),-3.8973 # DEPENDENCYPART_ARC
(2,19),-3.88257 # DEPENDENCYPART_ARC
(2,20),0.667127 # DEPENDENCYPART_ARC
(3,1),0.473799 # DEPENDENCYPART_ARC
(3,2),0.199435 # DEPENDENCYPART_ARC
(3,4),0.19057 # DEPENDENCYPART_ARC
(3,5),0.0863524 # DEPENDENCYPART_ARC
(3,6),-0.428109 # DEPENDENCYPART_ARC
(3,7),-1.30721 # DEPENDENCYPART_ARC
(3,8),-1.07986 # DEPENDENCYPART_ARC
(3,9),-1.24144 # DEPENDENCYPART_ARC
(3,10),-0.986708 # DEPENDENCYPART_ARC
(3,11),-0.844622 # DEPENDENCYPART_ARC
(3,12),-2.01098 # DEPENDENCYPART_ARC
(3,13),-2.16663 # DEPENDENCYPART_ARC
(3,14),-1.30694 # DEPENDENCYPART_ARC
(3,15),-1.49487 # DEPENDENCYPART_ARC
(3,16),-2.32437 # DEPENDENCYPART_ARC
(3,17),-1.75226 # DEPENDENCYPART_ARC
(3,18),-2.33014 # DEPENDENCYPART_ARC
(3,19),-2.29341 # DEPENDENCYPART_ARC
(3,20),-1.01319 # DEPENDENCYPART_ARC
(4,1),-0.197694 # DEPENDENCYPART_ARC
(4,2),-0.626661 # DEPENDENCYPART_ARC
(4,3),0.90972 # DEPENDENCYPART_ARC
(4,5),0.828337 # DEPENDENCYPART_ARC
(4,6),0.740394 # DEPENDENCYPART_ARC
(4,7),-0.507443 # DEPENDENCYPART_ARC
(4,8),-0.828436 # DEPENDENCYPART_ARC
(4,9),-0.487298 # DEPENDENCYPART_ARC
(4,10),-0.705623 # DEPENDENCYPART_ARC
(4,11),-0.624276 # DEPENDENCYPART_ARC
(4,12),-1.47361 # DEPENDENCYPART_ARC
(4,13),-3.3974 # DEPENDENCYPART_ARC
(4,14),0.477829 # DEPENDENCYPART_ARC
(4,15),-1.65031 # DEPENDENCYPART_ARC
(4,16),-2.0806 # DEPENDENCYPART_ARC
(4,17),-1.64557 # DEPENDENCYPART_ARC
(4,18),-1.33896 # DEPENDENCYPART_ARC
(4,19),-1.3783 # DEPENDENCYPART_ARC
(4,20),-0.542168 # DEPENDENCYPART_ARC
(5,1),0.153003 # DEPENDENCYPART_ARC
(5,2),-0.29484 # DEPENDENCYPART_ARC
(5,3),0.436081 # DEPENDENCYPART_ARC
(5,4),0.356688 # DEPENDENCYPART_ARC
(5,6),0.234248 # DEPENDENCYPART_ARC
(5,7),-0.399612 # DEPENDENCYPART_ARC
(5,8),-0.418139 # DEPENDENCYPART_ARC
(5,9),-0.244373 # DEPENDENCYPART_ARC
(5,10),-0.611653 # DEPENDENCYPART_ARC
(5,11),-0.517644 # DEPENDENCYPART_ARC
(5,12),-1.6117 # DEPENDENCYPART_ARC
(5,13),-1.88806 # DEPENDENCYPART_ARC
(5,14),-1.08997 # DEPENDENCYPART_ARC
(5,15),-0.976186 # DEPENDENCYPART_ARC
(5,16),-1.69505 # DEPENDENCYPART_ARC
(5,17),-1.42413 # DEPENDENCYPART_ARC
(5,18),-1.88178 # DEPENDENCYPART_ARC
(5,19),-1.76021 # DEPENDENCYPART_ARC
(5,20),-0.583962 # DEPENDENCYPART_ARC
(6,1),-0.625112 # DEPENDENCYPART_ARC
(6,2),-0.785763 # DEPENDENCYPART_ARC
(6,3),0.189673 # DEPENDENCYPART_ARC
(6,4),-0.783501 # DEPENDENCYPART_ARC
(6,5),0.744756 # DEPENDENCYPART_ARC
(6,7),1.95203 # DEPENDENCYPART_ARC
(6,8),0.285035 # DEPENDENCYPART_ARC
(6,9),1.43975 # DEPENDENCYPART_ARC
(6,10),-0.221659 # DEPENDENCYPART_ARC
(6,11),0.616952 # DEPENDENCYPART_ARC
(6,12),-0.540436 # DEPENDENCYPART_ARC
(6,13),-0.499834 # DEPENDENCYPART_ARC
(6,14),-0.652461 # DEPENDENCYPART_ARC
(6,15),-0.880862 # DEPENDENCYPART_ARC
(6,16),-1.68801 # DEPENDENCYPART_ARC
(6,17),-1.59325 # DEPENDENCYPART_ARC
(6,18),-3.07596 # DEPENDENCYPART_ARC
(6,19),-1.36291 # DEPENDENCYPART_ARC
(6,20),-0.341662 # DEPENDENCYPART_ARC
(7,1),-1.60845 # DEPENDENCYPART_ARC
(7,2),-3.48722 # DEPENDENCYPART_ARC
(7,3),-1.15436 # DEPENDENCYPART_ARC
(7,4),-2.71857 # DEPENDENCYPART_ARC
(7,5),-0.676015 # DEPENDENCYPART_ARC
(7,6),-0.23092 # DEPENDENCYPART_ARC
(7,8),-0.535973 # DEPENDENCYPART_ARC
(7,9),-0.111763 # DEPENDENCYPART_ARC
(7,10),0.115213 # DEPENDENCYPART_ARC
(7,11),-0.613185 # DEPENDENCYPART_ARC
(7,12),-1.53724 # DEPENDENCYPART_ARC
(7,13),-2.4362 # DEPENDENCYPART_ARC
(7,14),-0.997579 # DEPENDENCYPART_ARC
(7,15),-1.43423 # DEPENDENCYPART_ARC
(7,16),-1.88478 # DEPENDENCYPART_ARC
(7,17),-1.61804 # DEPENDENCYPART_ARC
(7,18),-0.897621 # DEPENDENCYPART_ARC
(7,19),-1.79671 # DEPENDENCYPART_ARC
(7,20),-0.707948 # DEPENDENCYPART_ARC
(8,1),-0.868881 # DEPENDENCYPART_ARC
(8,2),-2.47906 # DEPENDENCYPART_ARC
(8,3),-0.695584 # DEPENDENCYPART_ARC
(8,4),-0.940041 # DEPENDENCYPART_ARC
(8,5),-0.398669 # DEPENDENCYPART_ARC
(8,6),-0.0660665 # DEPENDENCYPART_ARC
(8,7),0.956069 # DEPENDENCYPART_ARC
(8,9),0.294351 # DEPENDENCYPART_ARC
(8,10),-0.052819 # DEPENDENCYPART_ARC
(8,11),-1.64969 # DEPENDENCYPART_ARC
(8,12),-2.12746 # DEPENDENCYPART_ARC
(8,13),-2.43476 # DEPENDENCYPART_ARC
(8,14),-2.62374 # DEPENDENCYPART_ARC
(8,15),-0.846892 # DEPENDENCYPART_ARC
(8,16),-1.85623 # DEPENDENCYPART_ARC
(8,17),-1.30911 # DEPENDENCYPART_ARC
(8,18),-1.61805 # DEPENDENCYPART_ARC
(8,19),-2.65295 # DEPENDENCYPART_ARC
(8,20),-0.801814 # DEPENDENCYPART_ARC
(9,1),-0.658822 # DEPENDENCYPART_ARC
(9,2),-2.21569 # DEPENDENCYPART_ARC
(9,3),-0.587764 # DEPENDENCYPART_ARC
(9,4),-0.726232 # DEPENDENCYPART_ARC
(9,5),-0.282118 # DEPENDENCYPART_ARC
(9,6),0.173809 # DEPENDENCYPART_ARC
(9,7),3.21506 # DEPENDENCYPART_ARC
(9,8),3.59907 # DEPENDENCYPART_ARC
(9,10),0.613991 # DEPENDENCYPART_ARC
(9,11),0.341646 # DEPENDENCYPART_ARC
(9,12),-0.399777 # DEPENDENCYPART_ARC
(9,13),-2.0948 # DEPENDENCYPART_ARC
(9,14),0.727134 # DEPENDENCYPART_ARC
(9,15),-0.23817 # DEPENDENCYPART_ARC
(9,16),-1.51907 # DEPENDENCYPART_ARC
(9,17),-0.846962 # DEPENDENCYPART_ARC
(9,18),-0.447818 # DEPENDENCYPART_ARC
(9,19),0.144174 # DEPENDENCYPART_ARC
(9,20),-0.107799 # DEPENDENCYPART_ARC
(10,1),-1.08693 # DEPENDENCYPART_ARC
(10,2),-1.38956 # DEPENDENCYPART_ARC
(10,3),-0.864618 # DEPENDENCYPART_ARC
(10,4),-1.29336 # DEPENDENCYPART_ARC
(10,5),-0.782724 # DEPENDENCYPART_ARC
(10,6),-0.658127 # DEPENDENCYPART_ARC
(10,7),-0.78701 # DEPENDENCYPART_ARC
(10,8),0.0967691 # DEPENDENCYPART_ARC
(10,9),-0.311088 # DEPENDENCYPART_ARC
(10,11),0.417706 # DEPENDENCYPART_ARC
(10,12),-0.587522 # DEPENDENCYPART_ARC
(10,13),-1.14614 # DEPENDENCYPART_ARC
(10,14),-0.862191 # DEPENDENCYPART_ARC
(10,15),-1.03102 # DEPENDENCYPART_ARC
(10,16),-1.39621 # DEPENDENCYPART_ARC
(10,17),-1.46158 # DEPENDENCYPART_ARC
(10,18),-1.46166 # DEPENDENCYPART_ARC
(10,19),-1.79361 # DEPENDENCYPART_ARC
(10,20),-0.52944 # DEPENDENCYPART_ARC
(11,1),0.00803601 # DEPENDENCYPART_ARC
(11,2),-1.51891 # DEPENDENCYPART_ARC
(11,3),-0.134397 # DEPENDENCYPART_ARC
(11,4),-1.71323 # DEPENDENCYPART_ARC
(11,5),0.393484 # DEPENDENCYPART_ARC
(11,6),0.780064 # DEPENDENCYPART_ARC
(11,7),-1.26039 # DEPENDENCYPART_ARC
(11,8),-0.774287 # DEPENDENCYPART_ARC
(11,9),0.38989 # DEPENDENCYPART_ARC
(11,10),2.61973 # DEPENDENCYPART_ARC
(11,12),1.39514 # DEPENDENCYPART_ARC
(11,13),0.849504 # DEPENDENCYPART_ARC
(11,14),-0.0103652 # DEPENDENCYPART_ARC
(11,15),0.18958 # DEPENDENCYPART_ARC
(11,16),0.228998 # DEPENDENCYPART_ARC
(11,17),-2.44167 # DEPENDENCYPART_ARC
(11,18),-2.1898 # DEPENDENCYPART_ARC
(11,19),-2.52029 # DEPENDENCYPART_ARC
(11,20),0.459896 # DEPENDENCYPART_ARC
(12,1),-1.33398 # DEPENDENCYPART_ARC
(12,2),-3.26407 # DEPENDENCYPART_ARC
(12,3),-1.03919 # DEPENDENCYPART_ARC
(12,4),-2.60258 # DEPENDENCYPART_ARC
(12,5),-1.00962 # DEPENDENCYPART_ARC
(12,6),-1.02636 # DEPENDENCYPART_ARC
(12,7),-1.26798 # DEPENDENCYPART_ARC
(12,8),-0.860397 # DEPENDENCYPART_ARC
(12,9),-2.34103 # DEPENDENCYPART_ARC
(12,10),-0.249683 # DEPENDENCYPART_ARC
(12,11),-1.69105 # DEPENDENCYPART_ARC
(12,13),0.635833 # DEPENDENCYPART_ARC
(12,14),1.45432 # DEPENDENCYPART_ARC
(12,15),-0.666721 # DEPENDENCYPART_ARC
(12,16),-0.608651 # DEPENDENCYPART_ARC
(12,17),-0.941362 # DEPENDENCYPART_ARC
(12,18),-0.146376 # DEPENDENCYPART_ARC
(12,19),-0.633285 # DEPENDENCYPART_ARC
(12,20),0.0513094 # DEPENDENCYPART_ARC
(13,1),-1.45255 # DEPENDENCYPART_ARC
(13,2),-3.0934 # DEPENDENCYPART_ARC
(13,3),-1.17444 # DEPENDENCYPART_ARC
(13,4),-2.81735 # DEPENDENCYPART_ARC
(13,5),-1.07906 # DEPENDENCYPART_ARC
(13,6),-1.15136 # DEPENDENCYPART_ARC
(13,7),-2.13482 # DEPENDENCYPART_ARC
(13,8),-1.01794 # DEPENDENCYPART_ARC
(13,9),-2.8025 # DEPENDENCYPART_ARC
(13,10),-0.793701 # DEPENDENCYPART_ARC
(13,11),-2.10677 # DEPENDENCYPART_ARC
(13,12),-0.2333 # DEPENDENCYPART_ARC
(13,14),0.344987 # DEPENDENCYPART_ARC
(13,15),-1.99543 # DEPENDENCYPART_ARC
(13,16),-1.73639 # DEPENDENCYPART_ARC
(13,17),-2.16354 # DEPENDENCYPART_ARC
(13,18),-1.13353 # DEPENDENCYPART_ARC
(13,19),-1.61498 # DEPENDENCYPART_ARC
(13,20),-1.18286 # DEPENDENCYPART_ARC
(14,1),-0.848336 # DEPENDENCYPART_ARC
(14,2),-1.65574 # DEPENDENCYPART_ARC
(14,3),-0.925486 # DEPENDENCYPART_ARC
(14,4),-2.56572 # DEPENDENCYPART_ARC
(14,5),-0.377174 # DEPENDENCYPART_ARC
(14,6),0.084739 # DEPENDENCYPART_ARC
(14,7),-1.80861 # DEPENDENCYPART_ARC
(14,8),-2.78565 # DEPENDENCYPART_ARC
(14,9),-0.6377 # DEPENDENCYPART_ARC
(14,10),0.444992 # DEPENDENCYPART_ARC
(14,11),-0.414964 # DEPENDENCYPART_ARC
(14,12),0.166108 # DEPENDENCYPART_ARC
(14,13),3.61132 # DEPENDENCYPART_ARC
(14,15),2.94682 # DEPENDENCYPART_ARC
(14,16),0.998056 # DEPENDENCYPART_ARC
(14,17),-1.59177 # DEPENDENCYPART_ARC
(14,18),-1.08186 # DEPENDENCYPART_ARC
(14,19),-1.77663 # DEPENDENCYPART_ARC
(14,20),0.695665 # DEPENDENCYPART_ARC
(15,1),-1.3404 # DEPENDENCYPART_ARC
(15,2),-2.42761 # DEPENDENCYPART_ARC
(15,3),-1.08014 # DEPENDENCYPART_ARC
(15,4),-2.48368 # DEPENDENCYPART_ARC
(15,5),-1.10373 # DEPENDENCYPART_ARC
(15,6),-0.976545 # DEPENDENCYPART_ARC
(15,7),-1.32878 # DEPENDENCYPART_ARC
(15,8),-0.937234 # DEPENDENCYPART_ARC
(15,9),-2.23516 # DEPENDENCYPART_ARC
(15,10),-0.975887 # DEPENDENCYPART_ARC
(15,11),-2.03486 # DEPENDENCYPART_ARC
(15,12),-0.935816 # DEPENDENCYPART_ARC
(15,13),-0.858384 # DEPENDENCYPART_ARC
(15,14),-0.974453 # DEPENDENCYPART_ARC
(15,16),4.21437 # DEPENDENCYPART_ARC
(15,17),-0.158106 # DEPENDENCYPART_ARC
(15,18),-0.203018 # DEPENDENCYPART_ARC
(15,19),-1.37797 # DEPENDENCYPART_ARC
(15,20),-0.297179 # DEPENDENCYPART_ARC
(16,1),-1.98642 # DEPENDENCYPART_ARC
(16,2),-3.75331 # DEPENDENCYPART_ARC
(16,3),-2.23041 # DEPENDENCYPART_ARC
(16,4),-2.96851 # DEPENDENCYPART_ARC
(16,5),-2.24843 # DEPENDENCYPART_ARC
(16,6),-1.60559 # DEPENDENCYPART_ARC
(16,7),-0.966009 # DEPENDENCYPART_ARC
(16,8),-0.92523 # DEPENDENCYPART_ARC
(16,9),-2.14673 # DEPENDENCYPART_ARC
(16,10),-1.63938 # DEPENDENCYPART_ARC
(16,11),-3.13453 # DEPENDENCYPART_ARC
(16,12),-0.919321 # DEPENDENCYPART_ARC
(16,13),-1.70329 # DEPENDENCYPART_ARC
(16,14),-1.77858 # DEPENDENCYPART_ARC
(16,15),0.337918 # DEPENDENCYPART_ARC
(16,17),0.619541 # DEPENDENCYPART_ARC
(16,18),1.94955 # DEPENDENCYPART_ARC
(16,19),1.37728 # DEPENDENCYPART_ARC
(16,20),0.051191 # DEPENDENCYPART_ARC
(17,1),-1.62945 # DEPENDENCYPART_ARC
(17,2),-3.02896 # DEPENDENCYPART_ARC
(17,3),-1.68824 # DEPENDENCYPART_ARC
(17,4),-2.80152 # DEPENDENCYPART_ARC
(17,5),-1.63639 # DEPENDENCYPART_ARC
(17,6),-1.45171 # DEPENDENCYPART_ARC
(17,7),-1.81975 # DEPENDENCYPART_ARC
(17,8),-1.67983 # DEPENDENCYPART_ARC
(17,9),-2.59519 # DEPENDENCYPART_ARC
(17,10),-1.40227 # DEPENDENCYPART_ARC
(17,11),-2.6965 # DEPENDENCYPART_ARC
(17,12),-1.66639 # DEPENDENCYPART_ARC
(17,13),-1.61067 # DEPENDENCYPART_ARC
(17,14),-2.30186 # DEPENDENCYPART_ARC
(17,15),-0.843464 # DEPENDENCYPART_ARC
(17,16),-1.12284 # DEPENDENCYPART_ARC
(17,18),0.176657 # DEPENDENCYPART_ARC
(17,19),-1.65356 # DEPENDENCYPART_ARC
(17,20),-0.370758 # DEPENDENCYPART_ARC
(18,1),-1.36873 # DEPENDENCYPART_ARC
(18,2),-2.80507 # DEPENDENCYPART_ARC
(18,3),-1.60548 # DEPENDENCYPART_ARC
(18,4),-4.04695 # DEPENDENCYPART_ARC
(18,5),-1.70076 # DEPENDENCYPART_ARC
(18,6),-1.02517 # DEPENDENCYPART_ARC
(18,7),-1.35443 # DEPENDENCYPART_ARC
(18,8),-2.43849 # DEPENDENCYPART_ARC
(18,9),-3.27774 # DEPENDENCYPART_ARC
(18,10),-1.08299 # DEPENDENCYPART_ARC
(18,11),-2.47745 # DEPENDENCYPART_ARC
(18,12),-1.7443 # DEPENDENCYPART_ARC
(18,13),-1.59552 # DEPENDENCYPART_ARC
(18,14),-1.90542 # DEPENDENCYPART_ARC
(18,15),-0.797447 # DEPENDENCYPART_ARC
(18,16),-1.06259 # DEPENDENCYPART_ARC
(18,17),3.36764 # DEPENDENCYPART_ARC
(18,19),3.86122 # DEPENDENCYPART_ARC
(18,20),0.180042 # DEPENDENCYPART_ARC
(19,1),-1.15532 # DEPENDENCYPART_ARC
(19,2),-3.1345 # DEPENDENCYPART_ARC
(19,3),-0.968022 # DEPENDENCYPART_ARC
(19,4),-3.18516 # DEPENDENCYPART_ARC
(19,5),-0.991662 # DEPENDENCYPART_ARC
(19,6),-1.07614 # DEPENDENCYPART_ARC
(19,7),-1.51476 # DEPENDENCYPART_ARC
(19,8),-2.0264 # DEPENDENCYPART_ARC
(19,9),-3.07021 # DEPENDENCYPART_ARC
(19,10),-0.915389 # DEPENDENCYPART_ARC
(19,11),-3.01572 # DEPENDENCYPART_ARC
(19,12),-1.30603 # DEPENDENCYPART_ARC
(19,13),-0.802878 # DEPENDENCYPART_ARC
(19,14),-2.65175 # DEPENDENCYPART_ARC
(19,15),-1.27949 # DEPENDENCYPART_ARC
(19,16),-2.2181 # DEPENDENCYPART_ARC
(19,17),0.243325 # DEPENDENCYPART_ARC
(19,18),-0.821436 # DEPENDENCYPART_ARC
(19,20),0.0897166 # DEPENDENCYPART_ARC
(20,1),-1.6431 # DEPENDENCYPART_ARC
(20,2),-2.57383 # DEPENDENCYPART_ARC
(20,3),-2.23668 # DEPENDENCYPART_ARC
(20,4),-2.6949 # DEPENDENCYPART_ARC
(20,5),-2.32713 # DEPENDENCYPART_ARC
(20,6),-2.46495 # DEPENDENCYPART_ARC
(20,7),-1.85565 # DEPENDENCYPART_ARC
(20,8),-2.05942 # DEPENDENCYPART_ARC
(20,9),-2.44567 # DEPENDENCYPART_ARC
(20,10),-1.48406 # DEPENDENCYPART_ARC
(20,11),-1.88879 # DEPENDENCYPART_ARC
(20,12),-1.79928 # DEPENDENCYPART_ARC
(20,13),-1.77555 # DEPENDENCYPART_ARC
(20,14),-1.75388 # DEPENDENCYPART_ARC
(20,15),-1.75209 # DEPENDENCYPART_ARC
(20,16),-1.5391 # DEPENDENCYPART_ARC
(20,17),-1.20803 # DEPENDENCYPART_ARC
(20,18),-1.58033 # DEPENDENCYPART_ARC
(20,19),-0.955565 # DEPENDENCYPART_ARC
