# _root_ Υποστήριξη στις ΗΠΑ ως προς την πρόταση παραπομπής του Ιράν στο Συμβούλιο Ασφαλείας , εφόσον επαναληφθεί ο εμπλουτισμός ουρανίου ή παραβιαστούν καίριες δεσμεύσεις , πρόκειται να παράσχει η ΕΕ.
#goldHeads=27,1,2,1,4,7,5,7,10,8,8,11,12,15,27,20,18,16,18,15,20,23,21,25,0,27,25,29,27,
#predictedHeads=0,1,2,1,4,7,5,7,10,8,8,11,12,15,0,15,18,16,18,18,20,23,21,25,15,27,25,29,27,
(1,14),-0.00980815 # DEPENDENCYPART_ARC
(1,15),-0.0900588 # DEPENDENCYPART_ARC
(1,16),-1.26488 # DEPENDENCYPART_ARC
(1,17),-2.45206 # DEPENDENCYPART_ARC
(1,18),-4.41969 # DEPENDENCYPART_ARC
(1,19),-2.84878 # DEPENDENCYPART_ARC
(1,20),-0.234905 # DEPENDENCYPART_ARC
(1,21),-3.16516 # DEPENDENCYPART_ARC
(1,22),-2.33822 # DEPENDENCYPART_ARC
(1,23),-4.94919 # DEPENDENCYPART_ARC
(1,24),-0.848574 # DEPENDENCYPART_ARC
(1,25),-4.25388 # DEPENDENCYPART_ARC
(1,26),-1.79306 # DEPENDENCYPART_ARC
(1,27),-4.11642 # DEPENDENCYPART_ARC
(1,28),-2.41992 # DEPENDENCYPART_ARC
(1,29),-2.04995 # DEPENDENCYPART_ARC
(2,1),-1.23894 # DEPENDENCYPART_ARC
(2,3),1.7172 # DEPENDENCYPART_ARC
(2,4),0.212836 # DEPENDENCYPART_ARC
(2,5),-0.171836 # DEPENDENCYPART_ARC
(2,7),0.27003 # DEPENDENCYPART_ARC
(2,8),-1.28017 # DEPENDENCYPART_ARC
(2,10),-0.66497 # DEPENDENCYPART_ARC
(2,12),-2.63254 # DEPENDENCYPART_ARC
(2,13),-3.04098 # DEPENDENCYPART_ARC
(2,14),-0.582198 # DEPENDENCYPART_ARC
(2,15),-0.884019 # DEPENDENCYPART_ARC
(2,16),-2.23716 # DEPENDENCYPART_ARC
(2,18),-5.93774 # DEPENDENCYPART_ARC
(2,19),-6.43395 # DEPENDENCYPART_ARC
(2,20),-1.21822 # DEPENDENCYPART_ARC
(2,21),-2.53047 # DEPENDENCYPART_ARC
(2,22),-1.81348 # DEPENDENCYPART_ARC
(2,23),-6.37098 # DEPENDENCYPART_ARC
(2,24),-1.5156 # DEPENDENCYPART_ARC
(2,25),-3.93111 # DEPENDENCYPART_ARC
(2,27),-3.98759 # DEPENDENCYPART_ARC
(2,29),-2.6256 # DEPENDENCYPART_ARC
(3,1),-0.326454 # DEPENDENCYPART_ARC
(3,6),-0.675022 # DEPENDENCYPART_ARC
(3,7),-0.137042 # DEPENDENCYPART_ARC
(3,8),-0.339693 # DEPENDENCYPART_ARC
(3,9),-1.06663 # DEPENDENCYPART_ARC
(3,12),-0.747026 # DEPENDENCYPART_ARC
(3,13),-0.759389 # DEPENDENCYPART_ARC
(3,14),-0.571779 # DEPENDENCYPART_ARC
(3,16),-1.148 # DEPENDENCYPART_ARC
(3,17),-1.64652 # DEPENDENCYPART_ARC
(3,18),-1.23092 # DEPENDENCYPART_ARC
(3,19),-1.46733 # DEPENDENCYPART_ARC
(3,20),-0.852754 # DEPENDENCYPART_ARC
(3,21),-1.53933 # DEPENDENCYPART_ARC
(3,22),-1.47867 # DEPENDENCYPART_ARC
(3,23),-1.58724 # DEPENDENCYPART_ARC
(3,24),-1.41624 # DEPENDENCYPART_ARC
(3,25),-1.88953 # DEPENDENCYPART_ARC
(3,26),-1.72821 # DEPENDENCYPART_ARC
(3,27),-2.01149 # DEPENDENCYPART_ARC
(3,28),-1.97283 # DEPENDENCYPART_ARC
(3,29),-1.5033 # DEPENDENCYPART_ARC
(4,1),-0.418428 # DEPENDENCYPART_ARC
(4,2),0.488927 # DEPENDENCYPART_ARC
(4,3),0.695525 # DEPENDENCYPART_ARC
(4,5),1.80916 # DEPENDENCYPART_ARC
(4,6),0.284315 # DEPENDENCYPART_ARC
(4,7),0.690303 # DEPENDENCYPART_ARC
(4,8),0.899656 # DEPENDENCYPART_ARC
(4,9),0.0572162 # DEPENDENCYPART_ARC
(4,10),0.00231391 # DEPENDENCYPART_ARC
(4,11),0.14242 # DEPENDENCYPART_ARC
(4,12),-0.502365 # DEPENDENCYPART_ARC
(4,13),-0.374125 # DEPENDENCYPART_ARC
(4,14),0.475219 # DEPENDENCYPART_ARC
(4,15),0.0408735 # DEPENDENCYPART_ARC
(4,16),-0.166694 # DEPENDENCYPART_ARC
(4,17),-1.09961 # DEPENDENCYPART_ARC
(4,18),-1.7708 # DEPENDENCYPART_ARC
(4,19),-1.20267 # DEPENDENCYPART_ARC
(4,20),-1.34244 # DEPENDENCYPART_ARC
(4,21),-0.627977 # DEPENDENCYPART_ARC
(4,22),-1.17184 # DEPENDENCYPART_ARC
(4,23),-2.30681 # DEPENDENCYPART_ARC
(4,24),-0.52651 # DEPENDENCYPART_ARC
(4,25),-1.24158 # DEPENDENCYPART_ARC
(4,27),-1.46083 # DEPENDENCYPART_ARC
(4,28),-1.54109 # DEPENDENCYPART_ARC
(4,29),-0.880205 # DEPENDENCYPART_ARC
(5,1),-1.70035 # DEPENDENCYPART_ARC
(5,3),-0.898352 # DEPENDENCYPART_ARC
(5,4),0.167723 # DEPENDENCYPART_ARC
(5,6),0.404882 # DEPENDENCYPART_ARC
(5,7),2.34153 # DEPENDENCYPART_ARC
(5,8),1.02322 # DEPENDENCYPART_ARC
(5,9),-0.881345 # DEPENDENCYPART_ARC
(5,10),-0.0190302 # DEPENDENCYPART_ARC
(5,12),-1.24387 # DEPENDENCYPART_ARC
(5,13),-1.68325 # DEPENDENCYPART_ARC
(5,14),-0.105676 # DEPENDENCYPART_ARC
(5,15),-0.490006 # DEPENDENCYPART_ARC
(5,16),-1.22911 # DEPENDENCYPART_ARC
(5,17),-1.69116 # DEPENDENCYPART_ARC
(5,18),-4.0704 # DEPENDENCYPART_ARC
(5,19),-4.53383 # DEPENDENCYPART_ARC
(5,20),-0.642489 # DEPENDENCYPART_ARC
(5,21),-2.35032 # DEPENDENCYPART_ARC
(5,22),-1.68324 # DEPENDENCYPART_ARC
(5,23),-4.79043 # DEPENDENCYPART_ARC
(5,24),-1.01969 # DEPENDENCYPART_ARC
(5,25),-2.66678 # DEPENDENCYPART_ARC
(5,26),-1.92137 # DEPENDENCYPART_ARC
(5,27),-2.65632 # DEPENDENCYPART_ARC
(5,28),-2.14795 # DEPENDENCYPART_ARC
(5,29),-2.32779 # DEPENDENCYPART_ARC
(6,1),-2.36158 # DEPENDENCYPART_ARC
(6,4),-1.09799 # DEPENDENCYPART_ARC
(6,7),-0.240885 # DEPENDENCYPART_ARC
(6,8),-0.25611 # DEPENDENCYPART_ARC
(6,12),-1.88984 # DEPENDENCYPART_ARC
(6,13),-1.59268 # DEPENDENCYPART_ARC
(6,18),-2.67799 # DEPENDENCYPART_ARC
(6,19),-2.13094 # DEPENDENCYPART_ARC
(6,20),-1.03567 # DEPENDENCYPART_ARC
(6,23),-2.94682 # DEPENDENCYPART_ARC
(7,1),-2.27382 # DEPENDENCYPART_ARC
(7,2),-1.40554 # DEPENDENCYPART_ARC
(7,3),-1.13577 # DEPENDENCYPART_ARC
(7,4),-0.837441 # DEPENDENCYPART_ARC
(7,5),-0.0571859 # DEPENDENCYPART_ARC
(7,6),2.81066 # DEPENDENCYPART_ARC
(7,8),3.06738 # DEPENDENCYPART_ARC
(7,9),0.1295 # DEPENDENCYPART_ARC
(7,10),0.843188 # DEPENDENCYPART_ARC
(7,11),0.782193 # DEPENDENCYPART_ARC
(7,12),-0.905611 # DEPENDENCYPART_ARC
(7,13),0.365433 # DEPENDENCYPART_ARC
(7,14),0.157689 # DEPENDENCYPART_ARC
(7,15),0.399516 # DEPENDENCYPART_ARC
(7,16),-0.657296 # DEPENDENCYPART_ARC
(7,17),-1.55635 # DEPENDENCYPART_ARC
(7,18),-2.97242 # DEPENDENCYPART_ARC
(7,19),-1.56088 # DEPENDENCYPART_ARC
(7,20),0.359575 # DEPENDENCYPART_ARC
(7,21),-2.87509 # DEPENDENCYPART_ARC
(7,22),-1.46356 # DEPENDENCYPART_ARC
(7,23),-3.72436 # DEPENDENCYPART_ARC
(7,24),-0.611022 # DEPENDENCYPART_ARC
(7,25),-4.04114 # DEPENDENCYPART_ARC
(7,26),-1.39365 # DEPENDENCYPART_ARC
(7,27),-3.55408 # DEPENDENCYPART_ARC
(7,28),-1.73679 # DEPENDENCYPART_ARC
(7,29),-1.21548 # DEPENDENCYPART_ARC
(8,1),-2.15823 # DEPENDENCYPART_ARC
(8,2),-1.55305 # DEPENDENCYPART_ARC
(8,3),-0.707202 # DEPENDENCYPART_ARC
(8,4),-0.610676 # DEPENDENCYPART_ARC
(8,5),-0.192494 # DEPENDENCYPART_ARC
(8,6),1.18737 # DEPENDENCYPART_ARC
(8,7),0.356999 # DEPENDENCYPART_ARC
(8,9),0.624232 # DEPENDENCYPART_ARC
(8,10),1.19922 # DEPENDENCYPART_ARC
(8,11),1.00314 # DEPENDENCYPART_ARC
(8,12),-0.465474 # DEPENDENCYPART_ARC
(8,13),1.03543 # DEPENDENCYPART_ARC
(8,14),0.251581 # DEPENDENCYPART_ARC
(8,15),0.0292527 # DEPENDENCYPART_ARC
(8,16),-1.36101 # DEPENDENCYPART_ARC
(8,17),-1.53833 # DEPENDENCYPART_ARC
(8,18),-3.01007 # DEPENDENCYPART_ARC
(8,19),-1.18174 # DEPENDENCYPART_ARC
(8,20),-0.102195 # DEPENDENCYPART_ARC
(8,21),-3.2904 # DEPENDENCYPART_ARC
(8,22),-1.38969 # DEPENDENCYPART_ARC
(8,23),-2.88381 # DEPENDENCYPART_ARC
(8,24),-0.675741 # DEPENDENCYPART_ARC
(8,25),-4.10669 # DEPENDENCYPART_ARC
(8,26),-1.49719 # DEPENDENCYPART_ARC
(8,27),-4.06127 # DEPENDENCYPART_ARC
(8,28),-1.7082 # DEPENDENCYPART_ARC
(8,29),-1.52357 # DEPENDENCYPART_ARC
(9,1),-1.84338 # DEPENDENCYPART_ARC
(9,4),-1.05165 # DEPENDENCYPART_ARC
(9,7),-1.56909 # DEPENDENCYPART_ARC
(9,8),-0.441729 # DEPENDENCYPART_ARC
(9,12),-0.58541 # DEPENDENCYPART_ARC
(9,13),-0.765946 # DEPENDENCYPART_ARC
(9,18),-1.91366 # DEPENDENCYPART_ARC
(9,19),-1.42877 # DEPENDENCYPART_ARC
(9,20),-0.653663 # DEPENDENCYPART_ARC
(9,23),-2.27895 # DEPENDENCYPART_ARC
(10,1),-0.89439 # DEPENDENCYPART_ARC
(10,2),-0.699925 # DEPENDENCYPART_ARC
(10,3),-0.281004 # DEPENDENCYPART_ARC
(10,4),-0.304076 # DEPENDENCYPART_ARC
(10,5),-0.544209 # DEPENDENCYPART_ARC
(10,6),0.459554 # DEPENDENCYPART_ARC
(10,7),-0.258908 # DEPENDENCYPART_ARC
(10,8),-0.0407159 # DEPENDENCYPART_ARC
(10,9),2.54118 # DEPENDENCYPART_ARC
(10,11),0.786941 # DEPENDENCYPART_ARC
(10,12),0.902841 # DEPENDENCYPART_ARC
(10,13),0.238932 # DEPENDENCYPART_ARC
(10,14),-0.0772937 # DEPENDENCYPART_ARC
(10,16),-0.785428 # DEPENDENCYPART_ARC
(10,17),-1.35296 # DEPENDENCYPART_ARC
(10,18),-0.98001 # DEPENDENCYPART_ARC
(10,19),-0.993539 # DEPENDENCYPART_ARC
(10,20),-0.545657 # DEPENDENCYPART_ARC
(10,21),-1.37112 # DEPENDENCYPART_ARC
(10,22),-1.155 # DEPENDENCYPART_ARC
(10,23),-1.23552 # DEPENDENCYPART_ARC
(10,24),-0.869462 # DEPENDENCYPART_ARC
(10,25),-1.44261 # DEPENDENCYPART_ARC
(10,27),-1.62833 # DEPENDENCYPART_ARC
(10,28),-1.54709 # DEPENDENCYPART_ARC
(10,29),-1.24161 # DEPENDENCYPART_ARC
(11,1),-2.71128 # DEPENDENCYPART_ARC
(11,3),-1.58591 # DEPENDENCYPART_ARC
(11,4),-0.960698 # DEPENDENCYPART_ARC
(11,5),-0.757371 # DEPENDENCYPART_ARC
(11,7),-2.29071 # DEPENDENCYPART_ARC
(11,8),-2.11618 # DEPENDENCYPART_ARC
(11,10),-0.448161 # DEPENDENCYPART_ARC
(11,12),2.93643 # DEPENDENCYPART_ARC
(11,13),0.383316 # DEPENDENCYPART_ARC
(11,14),0.0303666 # DEPENDENCYPART_ARC
(11,15),-0.767573 # DEPENDENCYPART_ARC
(11,16),-2.25148 # DEPENDENCYPART_ARC
(11,18),-3.61875 # DEPENDENCYPART_ARC
(11,19),-4.17041 # DEPENDENCYPART_ARC
(11,20),-1.4229 # DEPENDENCYPART_ARC
(11,21),-3.43719 # DEPENDENCYPART_ARC
(11,22),-2.30771 # DEPENDENCYPART_ARC
(11,23),-5.3444 # DEPENDENCYPART_ARC
(11,24),-1.37728 # DEPENDENCYPART_ARC
(11,25),-4.31445 # DEPENDENCYPART_ARC
(11,27),-4.32862 # DEPENDENCYPART_ARC
(11,29),-2.50494 # DEPENDENCYPART_ARC
(12,1),-3.81026 # DEPENDENCYPART_ARC
(12,2),-3.02555 # DEPENDENCYPART_ARC
(12,3),-2.00896 # DEPENDENCYPART_ARC
(12,4),-1.97243 # DEPENDENCYPART_ARC
(12,5),-1.68362 # DEPENDENCYPART_ARC
(12,6),-1.80553 # DEPENDENCYPART_ARC
(12,7),-2.22977 # DEPENDENCYPART_ARC
(12,8),-2.21204 # DEPENDENCYPART_ARC
(12,9),-0.924556 # DEPENDENCYPART_ARC
(12,10),-0.578015 # DEPENDENCYPART_ARC
(12,11),-0.122376 # DEPENDENCYPART_ARC
(12,13),2.81105 # DEPENDENCYPART_ARC
(12,14),-0.0136911 # DEPENDENCYPART_ARC
(12,15),0.172352 # DEPENDENCYPART_ARC
(12,16),0.0222657 # DEPENDENCYPART_ARC
(12,17),-1.60383 # DEPENDENCYPART_ARC
(12,18),-1.94337 # DEPENDENCYPART_ARC
(12,19),-1.06997 # DEPENDENCYPART_ARC
(12,20),-0.0689912 # DEPENDENCYPART_ARC
(12,21),-2.6487 # DEPENDENCYPART_ARC
(12,22),-1.6328 # DEPENDENCYPART_ARC
(12,23),-2.98817 # DEPENDENCYPART_ARC
(12,24),-0.998312 # DEPENDENCYPART_ARC
(12,25),-3.66853 # DEPENDENCYPART_ARC
(12,26),-1.79108 # DEPENDENCYPART_ARC
(12,27),-3.03141 # DEPENDENCYPART_ARC
(12,28),-2.08209 # DEPENDENCYPART_ARC
(12,29),-1.55581 # DEPENDENCYPART_ARC
(13,1),-2.54187 # DEPENDENCYPART_ARC
(13,2),-1.53058 # DEPENDENCYPART_ARC
(13,3),-0.869831 # DEPENDENCYPART_ARC
(13,4),-0.884937 # DEPENDENCYPART_ARC
(13,5),-0.549401 # DEPENDENCYPART_ARC
(13,6),-1.50096 # DEPENDENCYPART_ARC
(13,7),-1.56965 # DEPENDENCYPART_ARC
(13,8),-0.62635 # DEPENDENCYPART_ARC
(13,9),-0.0630095 # DEPENDENCYPART_ARC
(13,10),-0.0873059 # DEPENDENCYPART_ARC
(13,11),-0.136202 # DEPENDENCYPART_ARC
(13,12),0.881449 # DEPENDENCYPART_ARC
(13,14),-0.00628731 # DEPENDENCYPART_ARC
(13,15),-0.17783 # DEPENDENCYPART_ARC
(13,16),-1.03707 # DEPENDENCYPART_ARC
(13,17),-1.978 # DEPENDENCYPART_ARC
(13,18),-2.95638 # DEPENDENCYPART_ARC
(13,19),-1.63553 # DEPENDENCYPART_ARC
(13,20),-0.552534 # DEPENDENCYPART_ARC
(13,21),-3.53028 # DEPENDENCYPART_ARC
(13,22),-2.15898 # DEPENDENCYPART_ARC
(13,23),-3.31208 # DEPENDENCYPART_ARC
(13,24),-1.47636 # DEPENDENCYPART_ARC
(13,25),-4.57467 # DEPENDENCYPART_ARC
(13,26),-2.45521 # DEPENDENCYPART_ARC
(13,27),-4.4418 # DEPENDENCYPART_ARC
(13,28),-2.40196 # DEPENDENCYPART_ARC
(13,29),-2.55349 # DEPENDENCYPART_ARC
(14,1),-1.25484 # DEPENDENCYPART_ARC
(14,2),-0.718666 # DEPENDENCYPART_ARC
(14,3),-0.614233 # DEPENDENCYPART_ARC
(14,4),-0.714117 # DEPENDENCYPART_ARC
(14,5),-0.366714 # DEPENDENCYPART_ARC
(14,7),-0.438125 # DEPENDENCYPART_ARC
(14,8),-0.292158 # DEPENDENCYPART_ARC
(14,10),-0.610803 # DEPENDENCYPART_ARC
(14,11),0.102255 # DEPENDENCYPART_ARC
(14,12),0.0031777 # DEPENDENCYPART_ARC
(14,13),0.167613 # DEPENDENCYPART_ARC
(14,15),0.0835969 # DEPENDENCYPART_ARC
(14,16),-0.210796 # DEPENDENCYPART_ARC
(14,18),-0.726813 # DEPENDENCYPART_ARC
(14,19),-0.742278 # DEPENDENCYPART_ARC
(14,20),-0.282944 # DEPENDENCYPART_ARC
(14,21),-0.922207 # DEPENDENCYPART_ARC
(14,22),-1.45394 # DEPENDENCYPART_ARC
(14,23),-1.28241 # DEPENDENCYPART_ARC
(14,24),-0.188122 # DEPENDENCYPART_ARC
(14,25),-1.11678 # DEPENDENCYPART_ARC
(14,26),-1.62498 # DEPENDENCYPART_ARC
(14,27),-1.48509 # DEPENDENCYPART_ARC
(14,29),-1.51378 # DEPENDENCYPART_ARC
(15,4),-0.052625 # DEPENDENCYPART_ARC
(15,6),-0.315755 # DEPENDENCYPART_ARC
(15,9),-0.372573 # DEPENDENCYPART_ARC
(15,14),1.61636 # DEPENDENCYPART_ARC
(15,16),3.13893 # DEPENDENCYPART_ARC
(15,17),-0.140771 # DEPENDENCYPART_ARC
(15,20),0.246328 # DEPENDENCYPART_ARC
(15,21),1.08675 # DEPENDENCYPART_ARC
(15,22),-0.721544 # DEPENDENCYPART_ARC
(15,24),1.67848 # DEPENDENCYPART_ARC
(15,25),0.289563 # DEPENDENCYPART_ARC
(15,27),-0.6078 # DEPENDENCYPART_ARC
(15,28),-1.17096 # DEPENDENCYPART_ARC
(16,1),-0.372788 # DEPENDENCYPART_ARC
(16,2),-1.85227 # DEPENDENCYPART_ARC
(16,3),-1.45687 # DEPENDENCYPART_ARC
(16,4),-0.722363 # DEPENDENCYPART_ARC
(16,5),-1.34873 # DEPENDENCYPART_ARC
(16,6),-2.57119 # DEPENDENCYPART_ARC
(16,7),-1.85365 # DEPENDENCYPART_ARC
(16,8),-3.24512 # DEPENDENCYPART_ARC
(16,9),-3.03035 # DEPENDENCYPART_ARC
(16,10),-1.0871 # DEPENDENCYPART_ARC
(16,11),-1.18585 # DEPENDENCYPART_ARC
(16,12),-2.04762 # DEPENDENCYPART_ARC
(16,13),-3.05419 # DEPENDENCYPART_ARC
(16,14),0.172598 # DEPENDENCYPART_ARC
(16,15),0.270901 # DEPENDENCYPART_ARC
(16,17),-1.45069 # DEPENDENCYPART_ARC
(16,18),1.80943 # DEPENDENCYPART_ARC
(16,19),-0.483562 # DEPENDENCYPART_ARC
(16,20),0.429447 # DEPENDENCYPART_ARC
(16,21),-1.1517 # DEPENDENCYPART_ARC
(16,22),-1.21937 # DEPENDENCYPART_ARC
(16,23),-0.918229 # DEPENDENCYPART_ARC
(16,24),0.0761901 # DEPENDENCYPART_ARC
(16,25),-4.60716 # DEPENDENCYPART_ARC
(16,26),-1.29431 # DEPENDENCYPART_ARC
(16,27),-3.35256 # DEPENDENCYPART_ARC
(16,28),-3.48656 # DEPENDENCYPART_ARC
(16,29),-1.21758 # DEPENDENCYPART_ARC
(17,1),-1.9755 # DEPENDENCYPART_ARC
(17,4),-1.69377 # DEPENDENCYPART_ARC
(17,7),-2.24868 # DEPENDENCYPART_ARC
(17,8),-2.08667 # DEPENDENCYPART_ARC
(17,12),-1.80347 # DEPENDENCYPART_ARC
(17,13),-1.84264 # DEPENDENCYPART_ARC
(17,18),-0.0933535 # DEPENDENCYPART_ARC
(17,19),-0.183691 # DEPENDENCYPART_ARC
(17,20),-0.126345 # DEPENDENCYPART_ARC
(17,23),-2.54271 # DEPENDENCYPART_ARC
(18,1),-3.40842 # DEPENDENCYPART_ARC
(18,2),-2.69496 # DEPENDENCYPART_ARC
(18,3),-2.09487 # DEPENDENCYPART_ARC
(18,4),-1.78758 # DEPENDENCYPART_ARC
(18,5),-1.65667 # DEPENDENCYPART_ARC
(18,6),-3.2051 # DEPENDENCYPART_ARC
(18,7),-3.39776 # DEPENDENCYPART_ARC
(18,8),-2.96857 # DEPENDENCYPART_ARC
(18,9),-2.75565 # DEPENDENCYPART_ARC
(18,10),-1.94199 # DEPENDENCYPART_ARC
(18,11),-2.06918 # DEPENDENCYPART_ARC
(18,12),-2.19008 # DEPENDENCYPART_ARC
(18,13),-2.14228 # DEPENDENCYPART_ARC
(18,14),-1.26648 # DEPENDENCYPART_ARC
(18,15),-0.494063 # DEPENDENCYPART_ARC
(18,16),-0.692944 # DEPENDENCYPART_ARC
(18,17),3.07617 # DEPENDENCYPART_ARC
(18,19),2.61275 # DEPENDENCYPART_ARC
(18,20),0.947122 # DEPENDENCYPART_ARC
(18,21),-0.366894 # DEPENDENCYPART_ARC
(18,22),-0.999314 # DEPENDENCYPART_ARC
(18,23),-0.933109 # DEPENDENCYPART_ARC
(18,24),-0.360994 # DEPENDENCYPART_ARC
(18,25),-2.67944 # DEPENDENCYPART_ARC
(18,26),-1.33312 # DEPENDENCYPART_ARC
(18,27),-2.47407 # DEPENDENCYPART_ARC
(18,28),-1.97997 # DEPENDENCYPART_ARC
(18,29),-0.931056 # DEPENDENCYPART_ARC
(19,1),-4.0626 # DEPENDENCYPART_ARC
(19,2),-2.7182 # DEPENDENCYPART_ARC
(19,3),-1.57988 # DEPENDENCYPART_ARC
(19,4),-1.5319 # DEPENDENCYPART_ARC
(19,5),-1.03311 # DEPENDENCYPART_ARC
(19,6),-4.45486 # DEPENDENCYPART_ARC
(19,7),-3.68043 # DEPENDENCYPART_ARC
(19,8),-2.66289 # DEPENDENCYPART_ARC
(19,9),-2.30805 # DEPENDENCYPART_ARC
(19,10),-1.40608 # DEPENDENCYPART_ARC
(19,11),-1.3833 # DEPENDENCYPART_ARC
(19,12),-1.98459 # DEPENDENCYPART_ARC
(19,13),-2.12575 # DEPENDENCYPART_ARC
(19,14),-1.0406 # DEPENDENCYPART_ARC
(19,15),-0.464076 # DEPENDENCYPART_ARC
(19,16),-1.08215 # DEPENDENCYPART_ARC
(19,17),1.43174 # DEPENDENCYPART_ARC
(19,18),1.67969 # DEPENDENCYPART_ARC
(19,20),0.235587 # DEPENDENCYPART_ARC
(19,21),-1.71101 # DEPENDENCYPART_ARC
(19,22),-1.33838 # DEPENDENCYPART_ARC
(19,23),-1.73471 # DEPENDENCYPART_ARC
(19,24),-1.20146 # DEPENDENCYPART_ARC
(19,25),-3.5586 # DEPENDENCYPART_ARC
(19,26),-2.3284 # DEPENDENCYPART_ARC
(19,27),-3.69453 # DEPENDENCYPART_ARC
(19,28),-2.52209 # DEPENDENCYPART_ARC
(19,29),-2.06206 # DEPENDENCYPART_ARC
(20,1),-0.265437 # DEPENDENCYPART_ARC
(20,2),-0.382644 # DEPENDENCYPART_ARC
(20,3),0.029771 # DEPENDENCYPART_ARC
(20,4),0.119865 # DEPENDENCYPART_ARC
(20,5),0.0929642 # DEPENDENCYPART_ARC
(20,6),-0.0935081 # DEPENDENCYPART_ARC
(20,7),0.212341 # DEPENDENCYPART_ARC
(20,8),0.380991 # DEPENDENCYPART_ARC
(20,9),-0.146383 # DEPENDENCYPART_ARC
(20,10),0.0544385 # DEPENDENCYPART_ARC
(20,11),-0.0967384 # DEPENDENCYPART_ARC
(20,12),0.942985 # DEPENDENCYPART_ARC
(20,13),0.903265 # DEPENDENCYPART_ARC
(20,14),0.831953 # DEPENDENCYPART_ARC
(20,15),0.847245 # DEPENDENCYPART_ARC
(20,16),1.75578 # DEPENDENCYPART_ARC
(20,17),0.94526 # DEPENDENCYPART_ARC
(20,18),1.1259 # DEPENDENCYPART_ARC
(20,19),1.49943 # DEPENDENCYPART_ARC
(20,21),2.82902 # DEPENDENCYPART_ARC
(20,22),0.196758 # DEPENDENCYPART_ARC
(20,23),0.619237 # DEPENDENCYPART_ARC
(20,24),0.490549 # DEPENDENCYPART_ARC
(20,25),-0.0214768 # DEPENDENCYPART_ARC
(20,26),-0.88063 # DEPENDENCYPART_ARC
(20,27),-1.11575 # DEPENDENCYPART_ARC
(20,28),-1.36781 # DEPENDENCYPART_ARC
(20,29),-0.887434 # DEPENDENCYPART_ARC
(21,1),-1.40223 # DEPENDENCYPART_ARC
(21,2),-1.51544 # DEPENDENCYPART_ARC
(21,3),-1.51817 # DEPENDENCYPART_ARC
(21,4),-1.19543 # DEPENDENCYPART_ARC
(21,5),-1.79374 # DEPENDENCYPART_ARC
(21,6),-2.65121 # DEPENDENCYPART_ARC
(21,7),-2.55975 # DEPENDENCYPART_ARC
(21,8),-4.61966 # DEPENDENCYPART_ARC
(21,9),-3.3512 # DEPENDENCYPART_ARC
(21,10),-1.387 # DEPENDENCYPART_ARC
(21,11),-1.26384 # DEPENDENCYPART_ARC
(21,12),-3.11442 # DEPENDENCYPART_ARC
