# _root_ Έτσι απαγορεύουμε με κοινοτικό νόμο σε ένα δημοκρατικά εκλεγμένο όργανο , σε έναν δήμο ή μια κοινότητα , να αποφασίσει τη συνέχιση ή την καθιέρωση μιας πολιτικής προμηθειών φιλικής προς το περιβάλλον .
#goldHeads=2,0,2,5,3,11,10,9,10,6,2,11,14,15,12,17,15,20,20,2,22,23,20,25,23,27,25,27,27,29,32,30,0,
#predictedHeads=2,0,2,5,3,2,10,9,10,15,2,2,14,15,12,17,15,23,20,15,22,23,20,25,23,28,28,25,28,29,32,30,0,
(1,24),-2.68358 # DEPENDENCYPART_ARC
(1,25),-3.56296 # DEPENDENCYPART_ARC
(1,27),-2.34698 # DEPENDENCYPART_ARC
(1,28),-3.24389 # DEPENDENCYPART_ARC
(1,29),-2.44176 # DEPENDENCYPART_ARC
(1,30),-2.08928 # DEPENDENCYPART_ARC
(1,31),-2.70471 # DEPENDENCYPART_ARC
(1,32),-4.01043 # DEPENDENCYPART_ARC
(1,33),-2.12071 # DEPENDENCYPART_ARC
(2,1),2.38263 # DEPENDENCYPART_ARC
(2,3),2.02385 # DEPENDENCYPART_ARC
(2,4),-0.551566 # DEPENDENCYPART_ARC
(2,5),1.23025 # DEPENDENCYPART_ARC
(2,6),1.22496 # DEPENDENCYPART_ARC
(2,7),-3.45513 # DEPENDENCYPART_ARC
(2,8),-1.65064 # DEPENDENCYPART_ARC
(2,9),-1.07152 # DEPENDENCYPART_ARC
(2,10),-1.64848 # DEPENDENCYPART_ARC
(2,11),0.94097 # DEPENDENCYPART_ARC
(2,12),0.982561 # DEPENDENCYPART_ARC
(2,13),-2.35026 # DEPENDENCYPART_ARC
(2,14),-1.99134 # DEPENDENCYPART_ARC
(2,15),0.768067 # DEPENDENCYPART_ARC
(2,16),-2.27663 # DEPENDENCYPART_ARC
(2,17),-2.73958 # DEPENDENCYPART_ARC
(2,18),0.374182 # DEPENDENCYPART_ARC
(2,19),-0.463474 # DEPENDENCYPART_ARC
(2,20),-2.84807 # DEPENDENCYPART_ARC
(2,21),-2.85489 # DEPENDENCYPART_ARC
(2,22),-3.69415 # DEPENDENCYPART_ARC
(2,23),-0.0619416 # DEPENDENCYPART_ARC
(2,24),-3.03428 # DEPENDENCYPART_ARC
(2,25),-4.4171 # DEPENDENCYPART_ARC
(2,26),-3.95573 # DEPENDENCYPART_ARC
(2,27),-6.00815 # DEPENDENCYPART_ARC
(2,28),-6.53941 # DEPENDENCYPART_ARC
(2,29),-5.54872 # DEPENDENCYPART_ARC
(2,30),-3.11886 # DEPENDENCYPART_ARC
(2,31),-3.41052 # DEPENDENCYPART_ARC
(2,32),-5.69629 # DEPENDENCYPART_ARC
(2,33),-0.532615 # DEPENDENCYPART_ARC
(3,1),-0.242044 # DEPENDENCYPART_ARC
(3,2),-0.0422098 # DEPENDENCYPART_ARC
(3,4),1.32314 # DEPENDENCYPART_ARC
(3,5),2.68891 # DEPENDENCYPART_ARC
(3,6),-0.0247082 # DEPENDENCYPART_ARC
(3,7),-1.09596 # DEPENDENCYPART_ARC
(3,8),-0.236795 # DEPENDENCYPART_ARC
(3,9),-0.183427 # DEPENDENCYPART_ARC
(3,10),-0.653319 # DEPENDENCYPART_ARC
(3,11),0.00628107 # DEPENDENCYPART_ARC
(3,12),-0.688458 # DEPENDENCYPART_ARC
(3,13),-1.50478 # DEPENDENCYPART_ARC
(3,14),-1.53221 # DEPENDENCYPART_ARC
(3,15),-0.917844 # DEPENDENCYPART_ARC
(3,16),-1.58304 # DEPENDENCYPART_ARC
(3,17),-2.05002 # DEPENDENCYPART_ARC
(3,18),-0.173601 # DEPENDENCYPART_ARC
(3,19),-1.52429 # DEPENDENCYPART_ARC
(3,20),-1.9645 # DEPENDENCYPART_ARC
(3,21),-1.93123 # DEPENDENCYPART_ARC
(3,22),-3.99435 # DEPENDENCYPART_ARC
(3,23),-2.17692 # DEPENDENCYPART_ARC
(3,24),-2.11799 # DEPENDENCYPART_ARC
(3,25),-4.77183 # DEPENDENCYPART_ARC
(3,26),-2.26077 # DEPENDENCYPART_ARC
(3,27),-2.43539 # DEPENDENCYPART_ARC
(3,28),-5.60588 # DEPENDENCYPART_ARC
(3,29),-2.68541 # DEPENDENCYPART_ARC
(3,30),-1.79526 # DEPENDENCYPART_ARC
(3,31),-2.5505 # DEPENDENCYPART_ARC
(3,32),-6.18557 # DEPENDENCYPART_ARC
(3,33),-1.66178 # DEPENDENCYPART_ARC
(4,1),-1.16783 # DEPENDENCYPART_ARC
(4,2),-2.88415 # DEPENDENCYPART_ARC
(4,3),-0.179743 # DEPENDENCYPART_ARC
(4,5),0.506372 # DEPENDENCYPART_ARC
(4,6),-0.0637959 # DEPENDENCYPART_ARC
(4,7),-1.62157 # DEPENDENCYPART_ARC
(4,8),-1.35602 # DEPENDENCYPART_ARC
(4,9),-1.15325 # DEPENDENCYPART_ARC
(4,10),-1.805 # DEPENDENCYPART_ARC
(4,11),-0.447302 # DEPENDENCYPART_ARC
(4,12),-0.946645 # DEPENDENCYPART_ARC
(4,13),-1.7336 # DEPENDENCYPART_ARC
(4,14),-2.23759 # DEPENDENCYPART_ARC
(4,15),-0.161317 # DEPENDENCYPART_ARC
(4,16),-1.90136 # DEPENDENCYPART_ARC
(4,17),-2.60702 # DEPENDENCYPART_ARC
(4,18),-0.662464 # DEPENDENCYPART_ARC
(4,20),-2.88103 # DEPENDENCYPART_ARC
(4,21),-2.4435 # DEPENDENCYPART_ARC
(4,22),-3.22181 # DEPENDENCYPART_ARC
(4,23),-0.634898 # DEPENDENCYPART_ARC
(4,24),-2.55298 # DEPENDENCYPART_ARC
(4,25),-3.56933 # DEPENDENCYPART_ARC
(4,26),-2.37081 # DEPENDENCYPART_ARC
(4,27),-2.69671 # DEPENDENCYPART_ARC
(4,28),-2.19007 # DEPENDENCYPART_ARC
(4,29),-2.73397 # DEPENDENCYPART_ARC
(4,30),-2.01699 # DEPENDENCYPART_ARC
(4,31),-3.06265 # DEPENDENCYPART_ARC
(4,32),-4.28799 # DEPENDENCYPART_ARC
(4,33),-1.58443 # DEPENDENCYPART_ARC
(5,1),-0.528927 # DEPENDENCYPART_ARC
(5,2),-2.10647 # DEPENDENCYPART_ARC
(5,3),0.349352 # DEPENDENCYPART_ARC
(5,4),3.01399 # DEPENDENCYPART_ARC
(5,6),0.736863 # DEPENDENCYPART_ARC
(5,7),-0.657642 # DEPENDENCYPART_ARC
(5,8),-0.516559 # DEPENDENCYPART_ARC
(5,9),-0.463894 # DEPENDENCYPART_ARC
(5,10),-0.975031 # DEPENDENCYPART_ARC
(5,11),-0.115467 # DEPENDENCYPART_ARC
(5,12),-0.466827 # DEPENDENCYPART_ARC
(5,13),-1.69096 # DEPENDENCYPART_ARC
(5,14),-1.91447 # DEPENDENCYPART_ARC
(5,15),-0.0388493 # DEPENDENCYPART_ARC
(5,16),-1.86167 # DEPENDENCYPART_ARC
(5,17),-2.83751 # DEPENDENCYPART_ARC
(5,18),-0.689651 # DEPENDENCYPART_ARC
(5,19),-1.35427 # DEPENDENCYPART_ARC
(5,20),-1.10323 # DEPENDENCYPART_ARC
(5,21),-2.44887 # DEPENDENCYPART_ARC
(5,22),-4.10557 # DEPENDENCYPART_ARC
(5,23),-0.641777 # DEPENDENCYPART_ARC
(5,24),-2.40439 # DEPENDENCYPART_ARC
(5,25),-4.90216 # DEPENDENCYPART_ARC
(5,26),-2.41111 # DEPENDENCYPART_ARC
(5,27),-2.23241 # DEPENDENCYPART_ARC
(5,28),-4.88847 # DEPENDENCYPART_ARC
(5,29),-2.22387 # DEPENDENCYPART_ARC
(5,30),-1.29676 # DEPENDENCYPART_ARC
(5,31),-2.60333 # DEPENDENCYPART_ARC
(5,32),-6.03554 # DEPENDENCYPART_ARC
(5,33),-0.724194 # DEPENDENCYPART_ARC
(6,1),-0.879127 # DEPENDENCYPART_ARC
(6,2),-1.06817 # DEPENDENCYPART_ARC
(6,3),-0.0922114 # DEPENDENCYPART_ARC
(6,4),-0.401211 # DEPENDENCYPART_ARC
(6,5),-0.770237 # DEPENDENCYPART_ARC
(6,7),0.235955 # DEPENDENCYPART_ARC
(6,8),0.960264 # DEPENDENCYPART_ARC
(6,9),1.59667 # DEPENDENCYPART_ARC
(6,10),1.06397 # DEPENDENCYPART_ARC
(6,11),-0.0145284 # DEPENDENCYPART_ARC
(6,12),-0.466269 # DEPENDENCYPART_ARC
(6,13),-1.43708 # DEPENDENCYPART_ARC
(6,14),-1.30537 # DEPENDENCYPART_ARC
(6,15),1.18727 # DEPENDENCYPART_ARC
(6,16),-1.19063 # DEPENDENCYPART_ARC
(6,17),-1.8565 # DEPENDENCYPART_ARC
(6,18),-0.384802 # DEPENDENCYPART_ARC
(6,19),-1.20951 # DEPENDENCYPART_ARC
(6,20),-1.32628 # DEPENDENCYPART_ARC
(6,21),-1.6984 # DEPENDENCYPART_ARC
(6,22),-4.37377 # DEPENDENCYPART_ARC
(6,23),0.384816 # DEPENDENCYPART_ARC
(6,24),-1.76968 # DEPENDENCYPART_ARC
(6,25),-4.98597 # DEPENDENCYPART_ARC
(6,26),-1.94974 # DEPENDENCYPART_ARC
(6,27),-2.03894 # DEPENDENCYPART_ARC
(6,28),-5.84872 # DEPENDENCYPART_ARC
(6,29),-2.23637 # DEPENDENCYPART_ARC
(6,30),-1.72921 # DEPENDENCYPART_ARC
(6,31),-2.33623 # DEPENDENCYPART_ARC
(6,32),-6.72508 # DEPENDENCYPART_ARC
(6,33),-1.76704 # DEPENDENCYPART_ARC
(7,1),-1.68159 # DEPENDENCYPART_ARC
(7,3),-1.06522 # DEPENDENCYPART_ARC
(7,6),-0.130104 # DEPENDENCYPART_ARC
(7,12),-0.0417439 # DEPENDENCYPART_ARC
(7,30),-1.31887 # DEPENDENCYPART_ARC
(8,1),-1.61972 # DEPENDENCYPART_ARC
(8,2),-3.88932 # DEPENDENCYPART_ARC
(8,3),-1.28856 # DEPENDENCYPART_ARC
(8,4),-2.19845 # DEPENDENCYPART_ARC
(8,5),-1.17872 # DEPENDENCYPART_ARC
(8,6),-0.649876 # DEPENDENCYPART_ARC
(8,7),-0.00194904 # DEPENDENCYPART_ARC
(8,9),1.11257 # DEPENDENCYPART_ARC
(8,10),0.0338997 # DEPENDENCYPART_ARC
(8,11),-0.170246 # DEPENDENCYPART_ARC
(8,12),-0.412375 # DEPENDENCYPART_ARC
(8,13),-0.8537 # DEPENDENCYPART_ARC
(8,14),-1.05027 # DEPENDENCYPART_ARC
(8,15),-0.140858 # DEPENDENCYPART_ARC
(8,16),-1.42474 # DEPENDENCYPART_ARC
(8,17),-1.86446 # DEPENDENCYPART_ARC
(8,18),-0.523159 # DEPENDENCYPART_ARC
(8,20),-2.07492 # DEPENDENCYPART_ARC
(8,21),-2.01814 # DEPENDENCYPART_ARC
(8,22),-2.43286 # DEPENDENCYPART_ARC
(8,23),-0.558945 # DEPENDENCYPART_ARC
(8,24),-2.19889 # DEPENDENCYPART_ARC
(8,25),-2.82669 # DEPENDENCYPART_ARC
(8,26),-2.14581 # DEPENDENCYPART_ARC
(8,27),-1.98668 # DEPENDENCYPART_ARC
(8,28),-2.34747 # DEPENDENCYPART_ARC
(8,29),-2.10924 # DEPENDENCYPART_ARC
(8,30),-1.67428 # DEPENDENCYPART_ARC
(8,31),-2.65664 # DEPENDENCYPART_ARC
(8,32),-3.30777 # DEPENDENCYPART_ARC
(8,33),-1.51191 # DEPENDENCYPART_ARC
(9,1),-1.04712 # DEPENDENCYPART_ARC
(9,2),-2.75227 # DEPENDENCYPART_ARC
(9,3),-0.85225 # DEPENDENCYPART_ARC
(9,4),0.490709 # DEPENDENCYPART_ARC
(9,5),0.0333566 # DEPENDENCYPART_ARC
(9,6),-0.216672 # DEPENDENCYPART_ARC
(9,7),2.79884 # DEPENDENCYPART_ARC
(9,8),2.4515 # DEPENDENCYPART_ARC
(9,10),1.18336 # DEPENDENCYPART_ARC
(9,11),-0.318838 # DEPENDENCYPART_ARC
(9,12),-0.416287 # DEPENDENCYPART_ARC
(9,13),-1.48827 # DEPENDENCYPART_ARC
(9,14),-0.725932 # DEPENDENCYPART_ARC
(9,15),0.110362 # DEPENDENCYPART_ARC
(9,16),-1.86608 # DEPENDENCYPART_ARC
(9,17),-2.17737 # DEPENDENCYPART_ARC
(9,18),-0.898818 # DEPENDENCYPART_ARC
(9,20),-1.34162 # DEPENDENCYPART_ARC
(9,21),-2.41085 # DEPENDENCYPART_ARC
(9,22),-3.48441 # DEPENDENCYPART_ARC
(9,23),-0.519951 # DEPENDENCYPART_ARC
(9,24),-2.41859 # DEPENDENCYPART_ARC
(9,25),-4.20088 # DEPENDENCYPART_ARC
(9,26),-2.42131 # DEPENDENCYPART_ARC
(9,27),-2.09062 # DEPENDENCYPART_ARC
(9,28),-4.13948 # DEPENDENCYPART_ARC
(9,29),-2.16019 # DEPENDENCYPART_ARC
(9,30),-1.72505 # DEPENDENCYPART_ARC
(9,31),-2.68525 # DEPENDENCYPART_ARC
(9,32),-5.36876 # DEPENDENCYPART_ARC
(9,33),-1.07291 # DEPENDENCYPART_ARC
(10,1),-0.828052 # DEPENDENCYPART_ARC
(10,2),-2.79678 # DEPENDENCYPART_ARC
(10,3),-0.729557 # DEPENDENCYPART_ARC
(10,4),-0.625652 # DEPENDENCYPART_ARC
(10,5),-0.618652 # DEPENDENCYPART_ARC
(10,6),-0.323005 # DEPENDENCYPART_ARC
(10,7),2.86432 # DEPENDENCYPART_ARC
(10,8),1.43466 # DEPENDENCYPART_ARC
(10,9),1.92986 # DEPENDENCYPART_ARC
(10,11),0.50291 # DEPENDENCYPART_ARC
(10,12),0.150167 # DEPENDENCYPART_ARC
(10,13),-1.15938 # DEPENDENCYPART_ARC
(10,14),-0.85368 # DEPENDENCYPART_ARC
(10,15),0.423486 # DEPENDENCYPART_ARC
(10,16),-1.53323 # DEPENDENCYPART_ARC
(10,17),-1.64038 # DEPENDENCYPART_ARC
(10,18),-0.364139 # DEPENDENCYPART_ARC
(10,19),-1.13908 # DEPENDENCYPART_ARC
(10,20),-1.18092 # DEPENDENCYPART_ARC
(10,21),-2.15779 # DEPENDENCYPART_ARC
(10,22),-3.13929 # DEPENDENCYPART_ARC
(10,23),-0.0876602 # DEPENDENCYPART_ARC
(10,24),-2.17323 # DEPENDENCYPART_ARC
(10,25),-3.68887 # DEPENDENCYPART_ARC
(10,26),-2.37993 # DEPENDENCYPART_ARC
(10,27),-1.98064 # DEPENDENCYPART_ARC
(10,28),-3.34534 # DEPENDENCYPART_ARC
(10,29),-1.95779 # DEPENDENCYPART_ARC
(10,30),-1.04419 # DEPENDENCYPART_ARC
(10,31),-2.52234 # DEPENDENCYPART_ARC
(10,32),-5.06156 # DEPENDENCYPART_ARC
(10,33),-0.781132 # DEPENDENCYPART_ARC
(11,1),-1.0783 # DEPENDENCYPART_ARC
(11,2),-0.883809 # DEPENDENCYPART_ARC
(11,3),-0.245509 # DEPENDENCYPART_ARC
(11,4),-0.693399 # DEPENDENCYPART_ARC
(11,5),-0.325 # DEPENDENCYPART_ARC
(11,6),-0.0795691 # DEPENDENCYPART_ARC
(11,7),-0.321956 # DEPENDENCYPART_ARC
(11,8),-0.407799 # DEPENDENCYPART_ARC
(11,9),-0.310061 # DEPENDENCYPART_ARC
(11,10),-0.120421 # DEPENDENCYPART_ARC
(11,12),-0.207655 # DEPENDENCYPART_ARC
(11,13),-0.438474 # DEPENDENCYPART_ARC
(11,14),-0.015038 # DEPENDENCYPART_ARC
(11,15),-0.188013 # DEPENDENCYPART_ARC
(11,16),-0.871908 # DEPENDENCYPART_ARC
(11,17),-0.656504 # DEPENDENCYPART_ARC
(11,18),-0.300332 # DEPENDENCYPART_ARC
(11,19),-1.01911 # DEPENDENCYPART_ARC
(11,20),-0.911357 # DEPENDENCYPART_ARC
(11,22),-1.48854 # DEPENDENCYPART_ARC
(11,23),-0.577421 # DEPENDENCYPART_ARC
(11,25),-1.53583 # DEPENDENCYPART_ARC
(11,26),-1.50473 # DEPENDENCYPART_ARC
(11,27),-1.8906 # DEPENDENCYPART_ARC
(11,28),-1.55429 # DEPENDENCYPART_ARC
(11,29),-1.78526 # DEPENDENCYPART_ARC
(11,30),-1.43812 # DEPENDENCYPART_ARC
(11,32),-1.65832 # DEPENDENCYPART_ARC
(11,33),-1.31096 # DEPENDENCYPART_ARC
(12,1),-1.10578 # DEPENDENCYPART_ARC
(12,2),-1.38942 # DEPENDENCYPART_ARC
(12,3),-0.387922 # DEPENDENCYPART_ARC
(12,4),-1.43817 # DEPENDENCYPART_ARC
(12,5),-1.67456 # DEPENDENCYPART_ARC
(12,6),-0.510387 # DEPENDENCYPART_ARC
(12,7),-0.691886 # DEPENDENCYPART_ARC
(12,8),-1.09397 # DEPENDENCYPART_ARC
(12,9),-1.1266 # DEPENDENCYPART_ARC
(12,10),-0.921596 # DEPENDENCYPART_ARC
(12,11),0.433181 # DEPENDENCYPART_ARC
(12,13),0.160718 # DEPENDENCYPART_ARC
(12,14),2.31253 # DEPENDENCYPART_ARC
(12,15),1.29789 # DEPENDENCYPART_ARC
(12,16),-0.891818 # DEPENDENCYPART_ARC
(12,17),0.224439 # DEPENDENCYPART_ARC
(12,18),0.357203 # DEPENDENCYPART_ARC
(12,19),-1.10661 # DEPENDENCYPART_ARC
(12,20),-0.808935 # DEPENDENCYPART_ARC
(12,21),-1.73754 # DEPENDENCYPART_ARC
(12,22),-2.54082 # DEPENDENCYPART_ARC
(12,23),0.0911793 # DEPENDENCYPART_ARC
(12,24),-1.83439 # DEPENDENCYPART_ARC
(12,25),-3.40456 # DEPENDENCYPART_ARC
(12,26),-1.89201 # DEPENDENCYPART_ARC
(12,27),-1.77866 # DEPENDENCYPART_ARC
(12,28),-4.30485 # DEPENDENCYPART_ARC
(12,29),-1.93627 # DEPENDENCYPART_ARC
(12,30),-1.42033 # DEPENDENCYPART_ARC
(12,31),-2.26516 # DEPENDENCYPART_ARC
(12,32),-5.26175 # DEPENDENCYPART_ARC
(12,33),-1.217 # DEPENDENCYPART_ARC
(13,1),-1.64957 # DEPENDENCYPART_ARC
(13,3),-1.20025 # DEPENDENCYPART_ARC
(13,6),-1.07311 # DEPENDENCYPART_ARC
(13,12),0.00980767 # DEPENDENCYPART_ARC
(13,30),-1.32396 # DEPENDENCYPART_ARC
(14,1),-1.7889 # DEPENDENCYPART_ARC
(14,2),-3.42422 # DEPENDENCYPART_ARC
(14,3),-1.59599 # DEPENDENCYPART_ARC
(14,4),-1.40378 # DEPENDENCYPART_ARC
(14,5),-1.47577 # DEPENDENCYPART_ARC
(14,6),-1.359 # DEPENDENCYPART_ARC
(14,7),-0.466586 # DEPENDENCYPART_ARC
(14,8),-1.76285 # DEPENDENCYPART_ARC
(14,9),-0.542673 # DEPENDENCYPART_ARC
(14,10),-1.29688 # DEPENDENCYPART_ARC
(14,11),-0.825673 # DEPENDENCYPART_ARC
(14,12),0.0350908 # DEPENDENCYPART_ARC
(14,13),2.74385 # DEPENDENCYPART_ARC
(14,15),0.464686 # DEPENDENCYPART_ARC
(14,16),-1.05727 # DEPENDENCYPART_ARC
(14,17),-0.587628 # DEPENDENCYPART_ARC
(14,18),-0.795738 # DEPENDENCYPART_ARC
(14,19),-1.34743 # DEPENDENCYPART_ARC
(14,20),-1.15511 # DEPENDENCYPART_ARC
(14,21),-2.3573 # DEPENDENCYPART_ARC
(14,22),-2.64678 # DEPENDENCYPART_ARC
(14,23),-0.77323 # DEPENDENCYPART_ARC
(14,24),-2.37828 # DEPENDENCYPART_ARC
(14,25),-3.54093 # DEPENDENCYPART_ARC
(14,26),-2.42414 # DEPENDENCYPART_ARC
(14,27),-2.07191 # DEPENDENCYPART_ARC
(14,28),-3.21149 # DEPENDENCYPART_ARC
(14,29),-1.95524 # DEPENDENCYPART_ARC
(14,30),-1.44711 # DEPENDENCYPART_ARC
(14,31),-2.54599 # DEPENDENCYPART_ARC
(14,32),-4.35765 # DEPENDENCYPART_ARC
(14,33),-1.10469 # DEPENDENCYPART_ARC
(15,1),0.206834 # DEPENDENCYPART_ARC
(15,2),-0.392012 # DEPENDENCYPART_ARC
(15,3),0.0198982 # DEPENDENCYPART_ARC
(15,4),-0.367933 # DEPENDENCYPART_ARC
(15,5),0.306376 # DEPENDENCYPART_ARC
(15,6),0.361585 # DEPENDENCYPART_ARC
(15,7),0.280732 # DEPENDENCYPART_ARC
(15,8),0.0390959 # DEPENDENCYPART_ARC
(15,9),0.626782 # DEPENDENCYPART_ARC
(15,10),1.15808 # DEPENDENCYPART_ARC
(15,11),0.821199 # DEPENDENCYPART_ARC
(15,12),0.678409 # DEPENDENCYPART_ARC
(15,13),0.90442 # DEPENDENCYPART_ARC
(15,14),2.79775 # DEPENDENCYPART_ARC
(15,16),0.513658 # DEPENDENCYPART_ARC
(15,17),2.06343 # DEPENDENCYPART_ARC
(15,18),0.74578 # DEPENDENCYPART_ARC
(15,19),0.0667046 # DEPENDENCYPART_ARC
(15,20),1.09346 # DEPENDENCYPART_ARC
(15,21),-0.859428 # DEPENDENCYPART_ARC
(15,22),-0.347101 # DEPENDENCYPART_ARC
(15,23),-0.232186 # DEPENDENCYPART_ARC
(15,24),-1.16315 # DEPENDENCYPART_ARC
(15,25),-0.646893 # DEPENDENCYPART_ARC
(15,26),-1.21214 # DEPENDENCYPART_ARC
(15,27),-0.721744 # DEPENDENCYPART_ARC
(15,28),-0.708817 # DEPENDENCYPART_ARC
(15,29),-0.930565 # DEPENDENCYPART_ARC
(15,30),-0.204062 # DEPENDENCYPART_ARC
(15,31),-1.30108 # DEPENDENCYPART_ARC
(15,32),-1.14817 # DEPENDENCYPART_ARC
(15,33),-0.20937 # DEPENDENCYPART_ARC
(16,1),-1.50216 # DEPENDENCYPART_ARC
(16,3),-1.11745 # DEPENDENCYPART_ARC
(16,6),-1.00954 # DEPENDENCYPART_ARC
(16,12),-0.742627 # DEPENDENCYPART_ARC
(16,30),-1.35338 # DEPENDENCYPART_ARC
(17,1),-1.64033 # DEPENDENCYPART_ARC
(17,2),-3.99682 # DEPENDENCYPART_ARC
(17,3),-1.53124 # DEPENDENCYPART_ARC
(17,4),-2.21784 # DEPENDENCYPART_ARC
(17,5),-2.76274 # DEPENDENCYPART_ARC
(17,6),-1.4439 # DEPENDENCYPART_ARC
(17,7),-1.86249 # DEPENDENCYPART_ARC
(17,8),-2.3665 # DEPENDENCYPART_ARC
(17,9),-1.88302 # DEPENDENCYPART_ARC
(17,10),-2.37104 # DEPENDENCYPART_ARC
(17,11),-1.19663 # DEPENDENCYPART_ARC
(17,12),-0.878515 # DEPENDENCYPART_ARC
(17,13),-0.173322 # DEPENDENCYPART_ARC
(17,14),-1.01123 # DEPENDENCYPART_ARC
(17,15),0.116855 # DEPENDENCYPART_ARC
(17,16),2.88369 # DEPENDENCYPART_ARC
(17,18),0.455299 # DEPENDENCYPART_ARC
(17,19),-0.223286 # DEPENDENCYPART_ARC
(17,20),0.593887 # DEPENDENCYPART_ARC
(17,21),-1.25945 # DEPENDENCYPART_ARC
(17,22),-1.34832 # DEPENDENCYPART_ARC
(17,23),0.125139 # DEPENDENCYPART_ARC
(17,24),-1.61189 # DEPENDENCYPART_ARC
(17,25),-2.70947 # DEPENDENCYPART_ARC
(17,26),-1.42703 # DEPENDENCYPART_ARC
(17,27),-1.4819 # DEPENDENCYPART_ARC
(17,28),-1.62774 # DEPENDENCYPART_ARC
(17,29),-1.56387 # DEPENDENCYPART_ARC
(17,30),-0.764888 # DEPENDENCYPART_ARC
(17,31),-2.07506 # DEPENDENCYPART_ARC
(17,32),-3.52951 # DEPENDENCYPART_ARC
(17,33),-0.714957 # DEPENDENCYPART_ARC
(18,1),-0.970827 # DEPENDENCYPART_ARC
(18,2),-0.991404 # DEPENDENCYPART_ARC
(18,3),-0.586129 # DEPENDENCYPART_ARC
(18,4),-0.660709 # DEPENDENCYPART_ARC
(18,5),-0.547231 # DEPENDENCYPART_ARC
(18,6),-0.547185 # DEPENDENCYPART_ARC
(18,7),-0.546966 # DEPENDENCYPART_ARC
(18,8),-0.627448 # DEPENDENCYPART_ARC
(18,9),-0.136985 # DEPENDENCYPART_ARC
(18,10),-0.39851 # DEPENDENCYPART_ARC
(18,11),-0.575049 # DEPENDENCYPART_ARC
(18,12),-0.290453 # DEPENDENCYPART_ARC
(18,13),-0.014774 # DEPENDENCYPART_ARC
(18,14),-0.370966 # DEPENDENCYPART_ARC
(18,15),0.0268764 # DEPENDENCYPART_ARC
(18,16),0.100478 # DEPENDENCYPART_ARC
(18,17),0.0661042 # DEPENDENCYPART_ARC
(18,19),0.344063 # DEPENDENCYPART_ARC
(18,20),0.0386319 # DEPENDENCYPART_ARC
(18,22),-0.194784 # DEPENDENCYPART_ARC
(18,23),-0.167332 # DEPENDENCYPART_ARC
(18,25),-0.763504 # DEPENDENCYPART_ARC
