# _root_ Αφού έλαβαν υπόψη και άλλους παράγοντες επικινδυνότητας για την ασθένεια , όπως η ηλικία και το φύλο , οι επιστήμονες βρήκαν ότι ο διαβήτης αυξάνει τις πιθανότητες ανάπτυξης καρκίνου του ήπατος .
#goldHeads=21,1,2,6,6,2,6,7,10,8,6,6,14,15,6,17,15,6,20,21,0,21,24,25,22,27,25,27,28,29,29,0,
#predictedHeads=25,1,2,2,6,4,6,7,10,8,1,21,14,15,8,17,15,21,20,21,0,21,24,25,22,27,25,27,28,31,29,0,
(14,28),-3.00167 # DEPENDENCYPART_ARC
(14,29),-3.44517 # DEPENDENCYPART_ARC
(14,30),-2.88858 # DEPENDENCYPART_ARC
(14,31),-3.52491 # DEPENDENCYPART_ARC
(14,32),-0.641944 # DEPENDENCYPART_ARC
(15,1),-0.0215942 # DEPENDENCYPART_ARC
(15,2),0.357195 # DEPENDENCYPART_ARC
(15,3),-0.199281 # DEPENDENCYPART_ARC
(15,4),-0.109017 # DEPENDENCYPART_ARC
(15,5),0.153944 # DEPENDENCYPART_ARC
(15,6),0.157323 # DEPENDENCYPART_ARC
(15,7),0.332457 # DEPENDENCYPART_ARC
(15,8),0.285851 # DEPENDENCYPART_ARC
(15,9),0.324409 # DEPENDENCYPART_ARC
(15,10),1.55931 # DEPENDENCYPART_ARC
(15,11),0.726344 # DEPENDENCYPART_ARC
(15,12),0.219026 # DEPENDENCYPART_ARC
(15,13),0.877606 # DEPENDENCYPART_ARC
(15,14),2.82187 # DEPENDENCYPART_ARC
(15,16),0.262275 # DEPENDENCYPART_ARC
(15,17),2.19712 # DEPENDENCYPART_ARC
(15,18),0.416469 # DEPENDENCYPART_ARC
(15,19),-0.528492 # DEPENDENCYPART_ARC
(15,20),0.862501 # DEPENDENCYPART_ARC
(15,21),0.727947 # DEPENDENCYPART_ARC
(15,22),-0.14167 # DEPENDENCYPART_ARC
(15,23),-1.32801 # DEPENDENCYPART_ARC
(15,24),-0.507501 # DEPENDENCYPART_ARC
(15,25),-0.687957 # DEPENDENCYPART_ARC
(15,26),-1.33253 # DEPENDENCYPART_ARC
(15,27),-1.27284 # DEPENDENCYPART_ARC
(15,28),-1.64625 # DEPENDENCYPART_ARC
(15,29),-1.86663 # DEPENDENCYPART_ARC
(15,30),-1.52029 # DEPENDENCYPART_ARC
(15,31),-2.15239 # DEPENDENCYPART_ARC
(15,32),-0.430795 # DEPENDENCYPART_ARC
(16,3),-1.65768 # DEPENDENCYPART_ARC
(16,4),-1.26943 # DEPENDENCYPART_ARC
(16,6),-2.43053 # DEPENDENCYPART_ARC
(16,7),-2.28316 # DEPENDENCYPART_ARC
(16,10),-2.211 # DEPENDENCYPART_ARC
(16,12),-1.36169 # DEPENDENCYPART_ARC
(16,14),-1.33976 # DEPENDENCYPART_ARC
(16,15),-0.236905 # DEPENDENCYPART_ARC
(16,17),0.0830844 # DEPENDENCYPART_ARC
(16,20),-1.47255 # DEPENDENCYPART_ARC
(16,24),-2.32037 # DEPENDENCYPART_ARC
(16,27),-2.6924 # DEPENDENCYPART_ARC
(16,28),-2.19201 # DEPENDENCYPART_ARC
(16,29),-2.15553 # DEPENDENCYPART_ARC
(16,31),-1.92777 # DEPENDENCYPART_ARC
(17,1),-1.58242 # DEPENDENCYPART_ARC
(17,2),-3.76294 # DEPENDENCYPART_ARC
(17,3),-0.886597 # DEPENDENCYPART_ARC
(17,4),-1.36862 # DEPENDENCYPART_ARC
(17,5),-2.3893 # DEPENDENCYPART_ARC
(17,6),-2.79743 # DEPENDENCYPART_ARC
(17,7),-2.78648 # DEPENDENCYPART_ARC
(17,8),-0.914559 # DEPENDENCYPART_ARC
(17,9),-1.87019 # DEPENDENCYPART_ARC
(17,10),-2.74098 # DEPENDENCYPART_ARC
(17,11),-0.980252 # DEPENDENCYPART_ARC
(17,12),-0.89058 # DEPENDENCYPART_ARC
(17,13),0.17135 # DEPENDENCYPART_ARC
(17,14),-1.13439 # DEPENDENCYPART_ARC
(17,15),0.40891 # DEPENDENCYPART_ARC
(17,16),3.15442 # DEPENDENCYPART_ARC
(17,18),0.0178882 # DEPENDENCYPART_ARC
(17,19),-0.808427 # DEPENDENCYPART_ARC
(17,20),-0.547984 # DEPENDENCYPART_ARC
(17,21),-1.17477 # DEPENDENCYPART_ARC
(17,22),-0.590628 # DEPENDENCYPART_ARC
(17,23),-2.17796 # DEPENDENCYPART_ARC
(17,24),-2.41666 # DEPENDENCYPART_ARC
(17,25),-2.54443 # DEPENDENCYPART_ARC
(17,26),-2.26568 # DEPENDENCYPART_ARC
(17,27),-3.21622 # DEPENDENCYPART_ARC
(17,28),-2.22932 # DEPENDENCYPART_ARC
(17,29),-2.64464 # DEPENDENCYPART_ARC
(17,30),-2.70301 # DEPENDENCYPART_ARC
(17,31),-2.77433 # DEPENDENCYPART_ARC
(17,32),-0.760498 # DEPENDENCYPART_ARC
(18,1),-0.496535 # DEPENDENCYPART_ARC
(18,2),-0.376732 # DEPENDENCYPART_ARC
(18,3),-0.338531 # DEPENDENCYPART_ARC
(18,4),-0.450942 # DEPENDENCYPART_ARC
(18,5),-0.708055 # DEPENDENCYPART_ARC
(18,6),-0.391141 # DEPENDENCYPART_ARC
(18,7),-0.431813 # DEPENDENCYPART_ARC
(18,8),-0.0200295 # DEPENDENCYPART_ARC
(18,10),-0.163439 # DEPENDENCYPART_ARC
(18,11),-0.394269 # DEPENDENCYPART_ARC
(18,12),-0.223048 # DEPENDENCYPART_ARC
(18,14),0.056753 # DEPENDENCYPART_ARC
(18,15),0.154008 # DEPENDENCYPART_ARC
(18,17),0.705306 # DEPENDENCYPART_ARC
(18,20),0.222886 # DEPENDENCYPART_ARC
(18,21),0.0126525 # DEPENDENCYPART_ARC
(18,22),-0.316681 # DEPENDENCYPART_ARC
