# _root_ Εκτός από την σωρεία καταχρήσεων μεγάλης κλίμακας , διαπράττονται και πολλές καταχρήσεις σε μικρή κλίμακα , διότι ο τομέας των μεταφορών χαρακτηρίζεται σε μεγάλο βαθμό από καταχρήσεις .
#goldHeads=9,1,5,5,2,7,5,9,0,12,12,9,9,15,13,17,9,19,22,21,19,17,22,25,23,22,26,0,
#predictedHeads=9,1,4,2,4,7,5,9,0,12,12,9,12,15,13,17,9,19,22,21,19,17,22,25,23,22,26,0,
(1,11),-1.51865 # DEPENDENCYPART_ARC
(1,12),-2.13357 # DEPENDENCYPART_ARC
(1,13),-0.750361 # DEPENDENCYPART_ARC
(1,14),-1.88184 # DEPENDENCYPART_ARC
(1,15),-2.18095 # DEPENDENCYPART_ARC
(1,16),-0.30391 # DEPENDENCYPART_ARC
(1,17),-0.944984 # DEPENDENCYPART_ARC
(1,18),-1.71748 # DEPENDENCYPART_ARC
(1,19),-2.44538 # DEPENDENCYPART_ARC
(1,20),-1.66479 # DEPENDENCYPART_ARC
(1,21),-2.38916 # DEPENDENCYPART_ARC
(1,22),-1.22949 # DEPENDENCYPART_ARC
(1,23),-1.15444 # DEPENDENCYPART_ARC
(1,24),-2.16186 # DEPENDENCYPART_ARC
(1,25),-3.08554 # DEPENDENCYPART_ARC
(1,26),-1.41527 # DEPENDENCYPART_ARC
(1,27),-3.42757 # DEPENDENCYPART_ARC
(1,28),-1.24436 # DEPENDENCYPART_ARC
(2,1),0.0639391 # DEPENDENCYPART_ARC
(2,3),0.335288 # DEPENDENCYPART_ARC
(2,4),2.43926 # DEPENDENCYPART_ARC
(2,5),0.963491 # DEPENDENCYPART_ARC
(2,6),0.0580363 # DEPENDENCYPART_ARC
(2,7),0.427758 # DEPENDENCYPART_ARC
(2,8),0.0921334 # DEPENDENCYPART_ARC
(2,9),-1.0261 # DEPENDENCYPART_ARC
(2,10),-0.69095 # DEPENDENCYPART_ARC
(2,11),-1.0391 # DEPENDENCYPART_ARC
(2,12),-1.97166 # DEPENDENCYPART_ARC
(2,13),-1.11384 # DEPENDENCYPART_ARC
(2,14),-1.2418 # DEPENDENCYPART_ARC
(2,15),-2.72871 # DEPENDENCYPART_ARC
(2,16),-0.656735 # DEPENDENCYPART_ARC
(2,17),-0.844711 # DEPENDENCYPART_ARC
(2,18),-1.93623 # DEPENDENCYPART_ARC
(2,19),-4.18573 # DEPENDENCYPART_ARC
(2,20),-1.78817 # DEPENDENCYPART_ARC
(2,21),-5.27855 # DEPENDENCYPART_ARC
(2,22),-2.59473 # DEPENDENCYPART_ARC
(2,23),-1.51947 # DEPENDENCYPART_ARC
(2,24),-1.85951 # DEPENDENCYPART_ARC
(2,25),-5.76197 # DEPENDENCYPART_ARC
(2,26),-1.85141 # DEPENDENCYPART_ARC
(2,27),-6.52943 # DEPENDENCYPART_ARC
(2,28),-1.84304 # DEPENDENCYPART_ARC
(3,1),-1.28158 # DEPENDENCYPART_ARC
(3,4),0.0620946 # DEPENDENCYPART_ARC
(3,5),-0.0690724 # DEPENDENCYPART_ARC
(3,7),-0.722878 # DEPENDENCYPART_ARC
(3,10),-0.464646 # DEPENDENCYPART_ARC
(3,12),-2.27291 # DEPENDENCYPART_ARC
(3,15),-2.1858 # DEPENDENCYPART_ARC
(3,19),-2.56699 # DEPENDENCYPART_ARC
(3,21),-1.96889 # DEPENDENCYPART_ARC
(3,25),-2.44474 # DEPENDENCYPART_ARC
(3,27),-2.58922 # DEPENDENCYPART_ARC
(4,1),-0.71206 # DEPENDENCYPART_ARC
(4,2),-0.0896154 # DEPENDENCYPART_ARC
(4,3),2.80394 # DEPENDENCYPART_ARC
(4,5),2.51557 # DEPENDENCYPART_ARC
(4,6),0.237142 # DEPENDENCYPART_ARC
(4,7),1.50563 # DEPENDENCYPART_ARC
(4,8),0.0741364 # DEPENDENCYPART_ARC
(4,9),-1.11154 # DEPENDENCYPART_ARC
(4,10),0.176093 # DEPENDENCYPART_ARC
(4,11),-1.60071 # DEPENDENCYPART_ARC
(4,12),-2.23427 # DEPENDENCYPART_ARC
(4,13),-0.755629 # DEPENDENCYPART_ARC
(4,14),-1.6371 # DEPENDENCYPART_ARC
(4,15),-2.50885 # DEPENDENCYPART_ARC
(4,16),-0.344471 # DEPENDENCYPART_ARC
(4,17),-0.844279 # DEPENDENCYPART_ARC
(4,18),-2.00592 # DEPENDENCYPART_ARC
(4,19),-3.50433 # DEPENDENCYPART_ARC
(4,20),-1.5297 # DEPENDENCYPART_ARC
(4,21),-2.3277 # DEPENDENCYPART_ARC
(4,22),-3.39131 # DEPENDENCYPART_ARC
(4,23),-1.45534 # DEPENDENCYPART_ARC
(4,24),-2.48816 # DEPENDENCYPART_ARC
(4,25),-4.38387 # DEPENDENCYPART_ARC
(4,26),-1.39639 # DEPENDENCYPART_ARC
(4,27),-5.02556 # DEPENDENCYPART_ARC
(4,28),-0.273473 # DEPENDENCYPART_ARC
(5,1),-0.468756 # DEPENDENCYPART_ARC
(5,2),-0.227865 # DEPENDENCYPART_ARC
(5,3),0.476637 # DEPENDENCYPART_ARC
(5,4),-0.00904618 # DEPENDENCYPART_ARC
(5,6),1.38333 # DEPENDENCYPART_ARC
(5,7),2.40236 # DEPENDENCYPART_ARC
(5,8),0.419684 # DEPENDENCYPART_ARC
(5,9),-0.175047 # DEPENDENCYPART_ARC
(5,10),-0.139006 # DEPENDENCYPART_ARC
(5,11),-1.11321 # DEPENDENCYPART_ARC
(5,12),-2.44953 # DEPENDENCYPART_ARC
(5,13),-0.822727 # DEPENDENCYPART_ARC
(5,14),-1.57132 # DEPENDENCYPART_ARC
(5,15),-2.48185 # DEPENDENCYPART_ARC
(5,16),-0.243241 # DEPENDENCYPART_ARC
(5,17),-0.630852 # DEPENDENCYPART_ARC
(5,18),-1.99308 # DEPENDENCYPART_ARC
(5,19),-3.86914 # DEPENDENCYPART_ARC
(5,20),-1.28736 # DEPENDENCYPART_ARC
(5,21),-2.74138 # DEPENDENCYPART_ARC
(5,22),-3.61844 # DEPENDENCYPART_ARC
(5,23),-1.38712 # DEPENDENCYPART_ARC
(5,24),-2.34947 # DEPENDENCYPART_ARC
(5,25),-4.72722 # DEPENDENCYPART_ARC
(5,26),-1.21708 # DEPENDENCYPART_ARC
(5,27),-5.1644 # DEPENDENCYPART_ARC
(5,28),-0.224751 # DEPENDENCYPART_ARC
(6,1),-0.824096 # DEPENDENCYPART_ARC
(6,2),-0.323271 # DEPENDENCYPART_ARC
(6,3),-0.452364 # DEPENDENCYPART_ARC
(6,4),-1.40308 # DEPENDENCYPART_ARC
(6,5),-1.12879 # DEPENDENCYPART_ARC
(6,7),0.540546 # DEPENDENCYPART_ARC
(6,8),-0.407928 # DEPENDENCYPART_ARC
(6,9),-1.6388 # DEPENDENCYPART_ARC
(6,10),-0.918692 # DEPENDENCYPART_ARC
(6,11),-2.47486 # DEPENDENCYPART_ARC
(6,12),-2.4028 # DEPENDENCYPART_ARC
(6,13),-1.42567 # DEPENDENCYPART_ARC
(6,14),-2.99946 # DEPENDENCYPART_ARC
(6,15),-3.13124 # DEPENDENCYPART_ARC
(6,16),-1.14711 # DEPENDENCYPART_ARC
(6,17),-1.15819 # DEPENDENCYPART_ARC
(6,18),-2.58609 # DEPENDENCYPART_ARC
(6,19),-3.4663 # DEPENDENCYPART_ARC
(6,20),-1.7533 # DEPENDENCYPART_ARC
(6,21),-2.25714 # DEPENDENCYPART_ARC
(6,22),-3.29216 # DEPENDENCYPART_ARC
(6,23),-1.94734 # DEPENDENCYPART_ARC
(6,24),-2.73458 # DEPENDENCYPART_ARC
(6,25),-3.71206 # DEPENDENCYPART_ARC
(6,26),-1.81776 # DEPENDENCYPART_ARC
(6,27),-3.97709 # DEPENDENCYPART_ARC
(6,28),-1.71531 # DEPENDENCYPART_ARC
(7,1),-0.301234 # DEPENDENCYPART_ARC
(7,2),0.0664224 # DEPENDENCYPART_ARC
(7,3),0.684385 # DEPENDENCYPART_ARC
(7,4),-0.719836 # DEPENDENCYPART_ARC
(7,5),0.395896 # DEPENDENCYPART_ARC
(7,6),3.45741 # DEPENDENCYPART_ARC
(7,8),0.0309539 # DEPENDENCYPART_ARC
(7,9),-0.985767 # DEPENDENCYPART_ARC
(7,10),-0.348408 # DEPENDENCYPART_ARC
(7,11),-1.88113 # DEPENDENCYPART_ARC
(7,12),-1.80657 # DEPENDENCYPART_ARC
(7,13),-1.31283 # DEPENDENCYPART_ARC
(7,14),-2.43615 # DEPENDENCYPART_ARC
(7,15),-2.61808 # DEPENDENCYPART_ARC
(7,16),-0.90106 # DEPENDENCYPART_ARC
(7,17),-0.918192 # DEPENDENCYPART_ARC
(7,18),-2.28882 # DEPENDENCYPART_ARC
(7,19),-3.94782 # DEPENDENCYPART_ARC
(7,20),-1.70864 # DEPENDENCYPART_ARC
(7,21),-2.40784 # DEPENDENCYPART_ARC
(7,22),-3.53514 # DEPENDENCYPART_ARC
(7,23),-2.18868 # DEPENDENCYPART_ARC
(7,24),-3.16495 # DEPENDENCYPART_ARC
(7,25),-4.81382 # DEPENDENCYPART_ARC
(7,26),-1.80479 # DEPENDENCYPART_ARC
(7,27),-4.88843 # DEPENDENCYPART_ARC
(7,28),-0.958269 # DEPENDENCYPART_ARC
(8,1),-0.692415 # DEPENDENCYPART_ARC
(8,2),-0.105316 # DEPENDENCYPART_ARC
(8,4),-0.0964367 # DEPENDENCYPART_ARC
(8,5),0.0492566 # DEPENDENCYPART_ARC
(8,6),-0.150457 # DEPENDENCYPART_ARC
(8,7),-0.111083 # DEPENDENCYPART_ARC
(8,9),-0.113364 # DEPENDENCYPART_ARC
(8,10),-0.64559 # DEPENDENCYPART_ARC
(8,11),-0.956903 # DEPENDENCYPART_ARC
(8,12),-1.00916 # DEPENDENCYPART_ARC
(8,13),-1.06203 # DEPENDENCYPART_ARC
(8,14),-1.36733 # DEPENDENCYPART_ARC
(8,15),-1.31187 # DEPENDENCYPART_ARC
(8,16),-0.336699 # DEPENDENCYPART_ARC
(8,17),-0.874682 # DEPENDENCYPART_ARC
(8,19),-1.62056 # DEPENDENCYPART_ARC
(8,21),-1.84486 # DEPENDENCYPART_ARC
(8,22),-1.26813 # DEPENDENCYPART_ARC
(8,23),-1.59303 # DEPENDENCYPART_ARC
(8,24),-1.83766 # DEPENDENCYPART_ARC
(8,25),-1.96166 # DEPENDENCYPART_ARC
(8,26),-0.867089 # DEPENDENCYPART_ARC
(8,27),-1.89037 # DEPENDENCYPART_ARC
(8,28),-0.870483 # DEPENDENCYPART_ARC
(9,1),1.18232 # DEPENDENCYPART_ARC
(9,2),-0.050812 # DEPENDENCYPART_ARC
(9,3),-1.24509 # DEPENDENCYPART_ARC
(9,4),-0.709065 # DEPENDENCYPART_ARC
(9,5),-1.92911 # DEPENDENCYPART_ARC
(9,6),-1.55106 # DEPENDENCYPART_ARC
(9,7),-2.2132 # DEPENDENCYPART_ARC
(9,8),1.23947 # DEPENDENCYPART_ARC
(9,10),0.58087 # DEPENDENCYPART_ARC
(9,11),-0.000834847 # DEPENDENCYPART_ARC
(9,12),1.19493 # DEPENDENCYPART_ARC
(9,13),0.731445 # DEPENDENCYPART_ARC
(9,14),-2.08207 # DEPENDENCYPART_ARC
(9,15),-1.003 # DEPENDENCYPART_ARC
(9,16),0.583073 # DEPENDENCYPART_ARC
(9,17),0.775747 # DEPENDENCYPART_ARC
(9,18),-3.78344 # DEPENDENCYPART_ARC
(9,19),-1.95151 # DEPENDENCYPART_ARC
(9,20),-3.01705 # DEPENDENCYPART_ARC
(9,21),-3.42349 # DEPENDENCYPART_ARC
(9,22),-4.86747 # DEPENDENCYPART_ARC
(9,23),-0.673356 # DEPENDENCYPART_ARC
(9,24),-4.23296 # DEPENDENCYPART_ARC
(9,25),-3.38972 # DEPENDENCYPART_ARC
(9,26),-1.45028 # DEPENDENCYPART_ARC
(9,27),-4.14084 # DEPENDENCYPART_ARC
(9,28),-0.412428 # DEPENDENCYPART_ARC
(10,1),0.245548 # DEPENDENCYPART_ARC
(10,2),-0.275193 # DEPENDENCYPART_ARC
(10,3),0.0723203 # DEPENDENCYPART_ARC
(10,4),0.440442 # DEPENDENCYPART_ARC
(10,5),0.942977 # DEPENDENCYPART_ARC
(10,6),0.693798 # DEPENDENCYPART_ARC
(10,7),1.02834 # DEPENDENCYPART_ARC
(10,8),0.943647 # DEPENDENCYPART_ARC
(10,9),1.76598 # DEPENDENCYPART_ARC
(10,11),1.66706 # DEPENDENCYPART_ARC
(10,12),0.467292 # DEPENDENCYPART_ARC
(10,13),-0.13415 # DEPENDENCYPART_ARC
(10,14),-0.08667 # DEPENDENCYPART_ARC
(10,15),-0.860346 # DEPENDENCYPART_ARC
(10,16),-0.0094438 # DEPENDENCYPART_ARC
(10,17),-0.442428 # DEPENDENCYPART_ARC
(10,18),-1.44772 # DEPENDENCYPART_ARC
(10,19),-2.02412 # DEPENDENCYPART_ARC
(10,20),-1.35043 # DEPENDENCYPART_ARC
(10,21),-2.17573 # DEPENDENCYPART_ARC
(10,22),-0.695364 # DEPENDENCYPART_ARC
(10,23),-1.43947 # DEPENDENCYPART_ARC
(10,24),-1.68535 # DEPENDENCYPART_ARC
(10,25),-3.36712 # DEPENDENCYPART_ARC
(10,26),-1.69387 # DEPENDENCYPART_ARC
(10,27),-3.69582 # DEPENDENCYPART_ARC
(10,28),-0.662913 # DEPENDENCYPART_ARC
(11,1),-1.41538 # DEPENDENCYPART_ARC
(11,2),-0.963754 # DEPENDENCYPART_ARC
(11,3),-1.76288 # DEPENDENCYPART_ARC
(11,4),-2.33493 # DEPENDENCYPART_ARC
(11,5),-2.68891 # DEPENDENCYPART_ARC
(11,6),-1.66847 # DEPENDENCYPART_ARC
(11,7),-2.56892 # DEPENDENCYPART_ARC
(11,8),-0.746207 # DEPENDENCYPART_ARC
(11,9),-1.80774 # DEPENDENCYPART_ARC
(11,10),0.553441 # DEPENDENCYPART_ARC
(11,12),-0.325512 # DEPENDENCYPART_ARC
(11,13),-0.255027 # DEPENDENCYPART_ARC
(11,14),-2.19559 # DEPENDENCYPART_ARC
(11,15),-1.38823 # DEPENDENCYPART_ARC
(11,16),-0.665984 # DEPENDENCYPART_ARC
(11,17),-0.528984 # DEPENDENCYPART_ARC
(11,18),-1.50299 # DEPENDENCYPART_ARC
(11,19),-1.96901 # DEPENDENCYPART_ARC
(11,20),-1.30536 # DEPENDENCYPART_ARC
(11,21),-1.47586 # DEPENDENCYPART_ARC
(11,22),-2.34555 # DEPENDENCYPART_ARC
(11,23),-1.80055 # DEPENDENCYPART_ARC
(11,24),-2.90329 # DEPENDENCYPART_ARC
(11,25),-2.73721 # DEPENDENCYPART_ARC
(11,26),-1.58672 # DEPENDENCYPART_ARC
(11,27),-3.98688 # DEPENDENCYPART_ARC
(11,28),-1.31643 # DEPENDENCYPART_ARC
(12,1),-1.1481 # DEPENDENCYPART_ARC
(12,2),-0.948155 # DEPENDENCYPART_ARC
(12,3),-0.485944 # DEPENDENCYPART_ARC
(12,4),-1.72954 # DEPENDENCYPART_ARC
(12,5),-0.744299 # DEPENDENCYPART_ARC
(12,6),-1.47778 # DEPENDENCYPART_ARC
(12,7),-1.31322 # DEPENDENCYPART_ARC
(12,8),-0.681064 # DEPENDENCYPART_ARC
(12,9),-2.02156 # DEPENDENCYPART_ARC
(12,10),1.39242 # DEPENDENCYPART_ARC
(12,11),3.05204 # DEPENDENCYPART_ARC
(12,13),1.27017 # DEPENDENCYPART_ARC
(12,14),0.149283 # DEPENDENCYPART_ARC
(12,15),-0.547612 # DEPENDENCYPART_ARC
(12,16),0.237823 # DEPENDENCYPART_ARC
(12,17),-0.0937042 # DEPENDENCYPART_ARC
(12,18),-1.6844 # DEPENDENCYPART_ARC
(12,19),-2.24179 # DEPENDENCYPART_ARC
(12,20),-1.16831 # DEPENDENCYPART_ARC
(12,21),-1.13136 # DEPENDENCYPART_ARC
(12,22),-1.18935 # DEPENDENCYPART_ARC
(12,23),-1.04582 # DEPENDENCYPART_ARC
(12,24),-2.11213 # DEPENDENCYPART_ARC
(12,25),-3.72 # DEPENDENCYPART_ARC
(12,26),-0.892521 # DEPENDENCYPART_ARC
(12,27),-4.48186 # DEPENDENCYPART_ARC
(12,28),-0.234086 # DEPENDENCYPART_ARC
(13,1),-0.946756 # DEPENDENCYPART_ARC
(13,2),-0.785059 # DEPENDENCYPART_ARC
(13,3),-1.18828 # DEPENDENCYPART_ARC
(13,4),-1.64331 # DEPENDENCYPART_ARC
(13,5),-1.65655 # DEPENDENCYPART_ARC
(13,6),-1.41491 # DEPENDENCYPART_ARC
(13,7),-1.63086 # DEPENDENCYPART_ARC
(13,8),-0.614506 # DEPENDENCYPART_ARC
(13,9),-0.936183 # DEPENDENCYPART_ARC
(13,10),0.0168997 # DEPENDENCYPART_ARC
(13,11),-0.288189 # DEPENDENCYPART_ARC
(13,12),-0.555276 # DEPENDENCYPART_ARC
(13,14),1.19782 # DEPENDENCYPART_ARC
(13,15),2.56216 # DEPENDENCYPART_ARC
(13,16),0.365652 # DEPENDENCYPART_ARC
(13,17),0.262081 # DEPENDENCYPART_ARC
(13,18),-1.17329 # DEPENDENCYPART_ARC
(13,19),-0.61159 # DEPENDENCYPART_ARC
(13,20),-1.45816 # DEPENDENCYPART_ARC
(13,21),-1.45079 # DEPENDENCYPART_ARC
(13,22),-1.42344 # DEPENDENCYPART_ARC
(13,23),-1.25387 # DEPENDENCYPART_ARC
(13,24),-1.6364 # DEPENDENCYPART_ARC
(13,25),-3.14747 # DEPENDENCYPART_ARC
(13,26),-1.66555 # DEPENDENCYPART_ARC
(13,27),-3.66515 # DEPENDENCYPART_ARC
(13,28),-0.897586 # DEPENDENCYPART_ARC
(14,1),-2.1868 # DEPENDENCYPART_ARC
(14,2),-1.80973 # DEPENDENCYPART_ARC
(14,3),-2.18163 # DEPENDENCYPART_ARC
(14,4),-3.18274 # DEPENDENCYPART_ARC
(14,5),-3.792 # DEPENDENCYPART_ARC
(14,6),-2.08294 # DEPENDENCYPART_ARC
(14,7),-3.67423 # DEPENDENCYPART_ARC
(14,8),-1.76229 # DEPENDENCYPART_ARC
(14,9),-3.97021 # DEPENDENCYPART_ARC
(14,10),-1.24187 # DEPENDENCYPART_ARC
(14,11),-1.16281 # DEPENDENCYPART_ARC
(14,12),-2.08169 # DEPENDENCYPART_ARC
(14,13),-0.275052 # DEPENDENCYPART_ARC
(14,15),0.323669 # DEPENDENCYPART_ARC
(14,16),-0.242087 # DEPENDENCYPART_ARC
(14,17),-0.138382 # DEPENDENCYPART_ARC
(14,18),-1.22799 # DEPENDENCYPART_ARC
(14,19),-1.28498 # DEPENDENCYPART_ARC
(14,20),-0.714251 # DEPENDENCYPART_ARC
(14,21),-0.609247 # DEPENDENCYPART_ARC
(14,22),-1.96991 # DEPENDENCYPART_ARC
(14,23),-1.36308 # DEPENDENCYPART_ARC
(14,24),-1.86606 # DEPENDENCYPART_ARC
(14,25),-2.41192 # DEPENDENCYPART_ARC
(14,26),-1.33966 # DEPENDENCYPART_ARC
(14,27),-2.98423 # DEPENDENCYPART_ARC
(14,28),-1.03361 # DEPENDENCYPART_ARC
(15,1),-1.09651 # DEPENDENCYPART_ARC
(15,2),-1.00882 # DEPENDENCYPART_ARC
(15,3),-0.300464 # DEPENDENCYPART_ARC
(15,4),-1.18413 # DEPENDENCYPART_ARC
(15,5),-2.14549 # DEPENDENCYPART_ARC
(15,6),-0.855867 # DEPENDENCYPART_ARC
(15,7),-1.53834 # DEPENDENCYPART_ARC
(15,8),-0.776088 # DEPENDENCYPART_ARC
(15,9),-2.80719 # DEPENDENCYPART_ARC
(15,10),0.501042 # DEPENDENCYPART_ARC
(15,11),-0.113921 # DEPENDENCYPART_ARC
(15,12),-0.917723 # DEPENDENCYPART_ARC
(15,13),0.449447 # DEPENDENCYPART_ARC
(15,14),3.48535 # DEPENDENCYPART_ARC
(15,16),0.18477 # DEPENDENCYPART_ARC
(15,17),0.0609322 # DEPENDENCYPART_ARC
(15,18),-1.36803 # DEPENDENCYPART_ARC
(15,19),-1.38853 # DEPENDENCYPART_ARC
(15,20),-1.06106 # DEPENDENCYPART_ARC
(15,21),-0.706477 # DEPENDENCYPART_ARC
(15,22),-1.47161 # DEPENDENCYPART_ARC
(15,23),-1.36059 # DEPENDENCYPART_ARC
(15,24),-2.60685 # DEPENDENCYPART_ARC
(15,25),-3.37824 # DEPENDENCYPART_ARC
(15,26),-1.4401 # DEPENDENCYPART_ARC
(15,27),-3.86243 # DEPENDENCYPART_ARC
(15,28),-0.81728 # DEPENDENCYPART_ARC
(16,1),-1.06718 # DEPENDENCYPART_ARC
(16,2),-0.536039 # DEPENDENCYPART_ARC
(16,4),-0.382117 # DEPENDENCYPART_ARC
(16,5),-0.40428 # DEPENDENCYPART_ARC
(16,6),-0.993098 # DEPENDENCYPART_ARC
(16,7),-0.530235 # DEPENDENCYPART_ARC
(16,8),-0.256657 # DEPENDENCYPART_ARC
(16,9),-0.576233 # DEPENDENCYPART_ARC
(16,10),-0.253391 # DEPENDENCYPART_ARC
(16,11),-0.603463 # DEPENDENCYPART_ARC
(16,12),-0.203803 # DEPENDENCYPART_ARC
(16,13),0.0669213 # DEPENDENCYPART_ARC
(16,14),-0.141977 # DEPENDENCYPART_ARC
(16,15),-0.0331197 # DEPENDENCYPART_ARC
(16,17),-0.103929 # DEPENDENCYPART_ARC
(16,19),-0.0113872 # DEPENDENCYPART_ARC
(16,21),-0.544732 # DEPENDENCYPART_ARC
(16,22),-0.649886 # DEPENDENCYPART_ARC
(16,23),-1.3279 # DEPENDENCYPART_ARC
(16,24),-1.55519 # DEPENDENCYPART_ARC
(16,25),-1.54847 # DEPENDENCYPART_ARC
(16,26),-0.781641 # DEPENDENCYPART_ARC
(16,27),-1.45187 # DEPENDENCYPART_ARC
(16,28),-0.708068 # DEPENDENCYPART_ARC
(17,1),-0.541847 # DEPENDENCYPART_ARC
(17,3),-0.899213 # DEPENDENCYPART_ARC
(17,6),-1.17877 # DEPENDENCYPART_ARC
(17,8),0.110821 # DEPENDENCYPART_ARC
(17,9),0.192894 # DEPENDENCYPART_ARC
(17,10),-0.261326 # DEPENDENCYPART_ARC
(17,11),-0.572442 # DEPENDENCYPART_ARC
(17,14),-0.0297994 # DEPENDENCYPART_ARC
(17,16),1.73976 # DEPENDENCYPART_ARC
(17,18),0.567046 # DEPENDENCYPART_ARC
(17,20),-0.0937711 # DEPENDENCYPART_ARC
(17,22),2.21925 # DEPENDENCYPART_ARC
(17,24),-0.593784 # DEPENDENCYPART_ARC
(17,28),0.282439 # DEPENDENCYPART_ARC
(18,1),-2.06876 # DEPENDENCYPART_ARC
(18,4),-2.7153 # DEPENDENCYPART_ARC
(18,5),-2.99404 # DEPENDENCYPART_ARC
(18,7),-2.61006 # DEPENDENCYPART_ARC
(18,10),-1.43911 # DEPENDENCYPART_ARC
(18,12),-2.53971 # DEPENDENCYPART_ARC
(18,15),-1.86307 # DEPENDENCYPART_ARC
(18,19),-0.0745754 # DEPENDENCYPART_ARC
(18,21),-1.18412 # DEPENDENCYPART_ARC
(18,25),-2.32819 # DEPENDENCYPART_ARC
(18,27),-2.73425 # DEPENDENCYPART_ARC
(19,1),-1.63437 # DEPENDENCYPART_ARC
(19,2),-1.77293 # DEPENDENCYPART_ARC
(19,3),-2.63775 # DEPENDENCYPART_ARC
(19,4),-3.26895 # DEPENDENCYPART_ARC
(19,5),-3.795 # DEPENDENCYPART_ARC
(19,6),-2.60419 # DEPENDENCYPART_ARC
(19,7),-2.98948 # DEPENDENCYPART_ARC
(19,8),-1.77081 # DEPENDENCYPART_ARC
(19,9),-3.09355 # DEPENDENCYPART_ARC
(19,10),-0.709904 # DEPENDENCYPART_ARC
(19,11),-2.38819 # DEPENDENCYPART_ARC
(19,12),-3.6035 # DEPENDENCYPART_ARC
(19,13),-1.41251 # DEPENDENCYPART_ARC
(19,14),-0.981648 # DEPENDENCYPART_ARC
(19,15),-2.04899 # DEPENDENCYPART_ARC
(19,16),-0.805099 # DEPENDENCYPART_ARC
(19,17),0.251792 # DEPENDENCYPART_ARC
(19,18),2.90741 # DEPENDENCYPART_ARC
(19,20),-0.151063 # DEPENDENCYPART_ARC
(19,21),2.29974 # DEPENDENCYPART_ARC
(19,22),0.0645054 # DEPENDENCYPART_ARC
(19,23),-0.136571 # DEPENDENCYPART_ARC
(19,24),-1.52582 # DEPENDENCYPART_ARC
(19,25),-1.11981 # DEPENDENCYPART_ARC
(19,26),-0.301204 # DEPENDENCYPART_ARC
(19,27),-2.03598 # DEPENDENCYPART_ARC
(19,28),0.013866 # DEPENDENCYPART_ARC
(20,1),-1.66578 # DEPENDENCYPART_ARC
(20,4),-2.87483 # DEPENDENCYPART_ARC
(20,5),-1.76058 # DEPENDENCYPART_ARC
(20,7),-2.35263 # DEPENDENCYPART_ARC
(20,10),-0.992865 # DEPENDENCYPART_ARC
(20,12),-1.99233 # DEPENDENCYPART_ARC
(20,15),-2.35281 # DEPENDENCYPART_ARC
(20,19),-1.47656 # DEPENDENCYPART_ARC
(20,21),0.360637 # DEPENDENCYPART_ARC
(20,25),-1.94204 # DEPENDENCYPART_ARC
(20,27),-2.30299 # DEPENDENCYPART_ARC
(21,1),-1.8111 # DEPENDENCYPART_ARC
(21,2),-1.66699 # DEPENDENCYPART_ARC
(21,3),-4.58018 # DEPENDENCYPART_ARC
