# _root_ Οι επεμβατική αντιμετώπιση της διέγερσης των πυρήνων , που γίνεται και στην Ελλάδα , γίνεται στις περιπτώσεις που οι ασθενείς έχουν κορεστεί από τα φάρμακα .
#goldHeads=3,3,15,5,3,7,5,10,10,3,13,10,12,10,0,15,16,22,20,22,22,17,22,25,23,0,
#predictedHeads=3,3,0,5,3,7,5,10,10,7,12,10,12,15,11,15,16,22,20,21,22,17,22,25,23,0,
(14,23),-1.39589 # DEPENDENCYPART_ARC
(14,25),-1.83896 # DEPENDENCYPART_ARC
(14,26),-1.06889 # DEPENDENCYPART_ARC
(15,1),-2.27743 # DEPENDENCYPART_ARC
(15,2),-1.10994 # DEPENDENCYPART_ARC
(15,3),-1.11696 # DEPENDENCYPART_ARC
(15,4),-2.21209 # DEPENDENCYPART_ARC
(15,5),-1.82821 # DEPENDENCYPART_ARC
(15,6),-2.56754 # DEPENDENCYPART_ARC
(15,7),-2.73524 # DEPENDENCYPART_ARC
(15,8),0.654909 # DEPENDENCYPART_ARC
(15,9),1.68974 # DEPENDENCYPART_ARC
(15,10),-1.93387 # DEPENDENCYPART_ARC
(15,11),0.613638 # DEPENDENCYPART_ARC
(15,12),0.788583 # DEPENDENCYPART_ARC
(15,13),0.0333701 # DEPENDENCYPART_ARC
(15,14),1.27318 # DEPENDENCYPART_ARC
(15,16),2.21078 # DEPENDENCYPART_ARC
(15,17),0.541649 # DEPENDENCYPART_ARC
(15,18),1.00729 # DEPENDENCYPART_ARC
(15,19),-2.50254 # DEPENDENCYPART_ARC
(15,20),0.106574 # DEPENDENCYPART_ARC
(15,21),-1.57472 # DEPENDENCYPART_ARC
(15,22),-3.10576 # DEPENDENCYPART_ARC
(15,23),-0.570947 # DEPENDENCYPART_ARC
(15,24),-2.64669 # DEPENDENCYPART_ARC
(15,25),-2.34977 # DEPENDENCYPART_ARC
(15,26),0.706181 # DEPENDENCYPART_ARC
(16,2),-1.87565 # DEPENDENCYPART_ARC
(16,3),-2.79618 # DEPENDENCYPART_ARC
(16,5),-2.70153 # DEPENDENCYPART_ARC
(16,7),-2.17369 # DEPENDENCYPART_ARC
(16,8),-0.948784 # DEPENDENCYPART_ARC
(16,9),-2.16807 # DEPENDENCYPART_ARC
(16,10),-2.625 # DEPENDENCYPART_ARC
(16,11),-0.53783 # DEPENDENCYPART_ARC
(16,13),-1.97904 # DEPENDENCYPART_ARC
(16,14),-0.327468 # DEPENDENCYPART_ARC
(16,15),-1.31981 # DEPENDENCYPART_ARC
(16,17),3.35182 # DEPENDENCYPART_ARC
(16,18),-0.0794104 # DEPENDENCYPART_ARC
(16,20),-0.694984 # DEPENDENCYPART_ARC
(16,21),-1.01468 # DEPENDENCYPART_ARC
(16,22),-2.57804 # DEPENDENCYPART_ARC
(16,23),-1.68263 # DEPENDENCYPART_ARC
(16,25),-2.75477 # DEPENDENCYPART_ARC
(16,26),-1.24841 # DEPENDENCYPART_ARC
(17,1),-2.82886 # DEPENDENCYPART_ARC
(17,2),-3.09708 # DEPENDENCYPART_ARC
(17,3),-3.78826 # DEPENDENCYPART_ARC
(17,4),-3.96065 # DEPENDENCYPART_ARC
(17,5),-3.35918 # DEPENDENCYPART_ARC
(17,6),-3.06604 # DEPENDENCYPART_ARC
(17,7),-2.93126 # DEPENDENCYPART_ARC
(17,8),-2.05599 # DEPENDENCYPART_ARC
(17,9),-3.25622 # DEPENDENCYPART_ARC
(17,10),-3.36381 # DEPENDENCYPART_ARC
(17,11),-1.51466 # DEPENDENCYPART_ARC
(17,12),-2.01738 # DEPENDENCYPART_ARC
(17,13),-2.17193 # DEPENDENCYPART_ARC
(17,14),-1.36165 # DEPENDENCYPART_ARC
(17,15),-1.55585 # DEPENDENCYPART_ARC
(17,16),0.28885 # DEPENDENCYPART_ARC
(17,18),1.08881 # DEPENDENCYPART_ARC
(17,19),-0.401443 # DEPENDENCYPART_ARC
(17,20),0.52439 # DEPENDENCYPART_ARC
(17,21),0.561258 # DEPENDENCYPART_ARC
(17,22),0.301031 # DEPENDENCYPART_ARC
(17,23),-0.693505 # DEPENDENCYPART_ARC
(17,24),-1.75259 # DEPENDENCYPART_ARC
(17,25),-2.87669 # DEPENDENCYPART_ARC
(17,26),-0.177894 # DEPENDENCYPART_ARC
(18,1),-1.38592 # DEPENDENCYPART_ARC
(18,2),-1.73596 # DEPENDENCYPART_ARC
(18,3),-1.7789 # DEPENDENCYPART_ARC
(18,4),-1.81301 # DEPENDENCYPART_ARC
(18,5),-1.81259 # DEPENDENCYPART_ARC
(18,6),-1.04986 # DEPENDENCYPART_ARC
(18,7),-1.53448 # DEPENDENCYPART_ARC
(18,8),-1.12027 # DEPENDENCYPART_ARC
(18,9),-1.83003 # DEPENDENCYPART_ARC
(18,10),-1.27456 # DEPENDENCYPART_ARC
(18,11),-0.667538 # DEPENDENCYPART_ARC
(18,12),-0.829562 # DEPENDENCYPART_ARC
(18,13),-1.38209 # DEPENDENCYPART_ARC
(18,14),-0.833981 # DEPENDENCYPART_ARC
(18,15),-0.848761 # DEPENDENCYPART_ARC
(18,16),-0.0127691 # DEPENDENCYPART_ARC
(18,17),-0.0488566 # DEPENDENCYPART_ARC
(18,19),0.117193 # DEPENDENCYPART_ARC
(18,20),0.0919161 # DEPENDENCYPART_ARC
(18,21),0.103765 # DEPENDENCYPART_ARC
(18,22),-1.01663 # DEPENDENCYPART_ARC
(18,23),-0.445796 # DEPENDENCYPART_ARC
(18,24),-1.61047 # DEPENDENCYPART_ARC
(18,25),-1.62972 # DEPENDENCYPART_ARC
(18,26),-0.907073 # DEPENDENCYPART_ARC
(19,3),-2.80818 # DEPENDENCYPART_ARC
(19,5),-2.63364 # DEPENDENCYPART_ARC
(19,7),-1.96968 # DEPENDENCYPART_ARC
(19,11),-1.50466 # DEPENDENCYPART_ARC
(19,17),-1.2474 # DEPENDENCYPART_ARC
(19,18),-0.616719 # DEPENDENCYPART_ARC
(19,25),-2.28313 # DEPENDENCYPART_ARC
(20,1),-0.285488 # DEPENDENCYPART_ARC
(20,2),-3.14334 # DEPENDENCYPART_ARC
(20,3),-3.16316 # DEPENDENCYPART_ARC
(20,4),-1.9159 # DEPENDENCYPART_ARC
(20,5),-3.08206 # DEPENDENCYPART_ARC
(20,6),-0.38434 # DEPENDENCYPART_ARC
(20,7),-1.98064 # DEPENDENCYPART_ARC
(20,8),-1.21451 # DEPENDENCYPART_ARC
(20,9),-2.88681 # DEPENDENCYPART_ARC
(20,10),-3.11251 # DEPENDENCYPART_ARC
(20,11),-0.964211 # DEPENDENCYPART_ARC
(20,12),-1.81903 # DEPENDENCYPART_ARC
(20,13),-2.54408 # DEPENDENCYPART_ARC
(20,14),-0.96703 # DEPENDENCYPART_ARC
(20,15),-2.5916 # DEPENDENCYPART_ARC
(20,16),-0.850898 # DEPENDENCYPART_ARC
(20,17),-1.22816 # DEPENDENCYPART_ARC
(20,18),0.12625 # DEPENDENCYPART_ARC
(20,19),2.82825 # DEPENDENCYPART_ARC
(20,21),-0.475033 # DEPENDENCYPART_ARC
(20,22),-1.06087 # DEPENDENCYPART_ARC
(20,23),-0.188381 # DEPENDENCYPART_ARC
(20,24),-1.70892 # DEPENDENCYPART_ARC
(20,25),-1.98095 # DEPENDENCYPART_ARC
(20,26),-0.630968 # DEPENDENCYPART_ARC
(21,1),-2.69239 # DEPENDENCYPART_ARC
(21,2),-2.71239 # DEPENDENCYPART_ARC
(21,3),-3.13823 # DEPENDENCYPART_ARC
(21,4),-3.32732 # DEPENDENCYPART_ARC
(21,5),-4.41292 # DEPENDENCYPART_ARC
(21,6),-3.15375 # DEPENDENCYPART_ARC
(21,7),-3.8 # DEPENDENCYPART_ARC
(21,8),-0.669656 # DEPENDENCYPART_ARC
(21,9),-0.853712 # DEPENDENCYPART_ARC
(21,10),-4.22926 # DEPENDENCYPART_ARC
(21,11),-0.234801 # DEPENDENCYPART_ARC
(21,12),-0.955114 # DEPENDENCYPART_ARC
(21,13),-2.36031 # DEPENDENCYPART_ARC
(21,14),-0.656077 # DEPENDENCYPART_ARC
(21,15),-3.49285 # DEPENDENCYPART_ARC
(21,16),-0.465636 # DEPENDENCYPART_ARC
(21,17),-0.906973 # DEPENDENCYPART_ARC
(21,18),0.144814 # DEPENDENCYPART_ARC
(21,19),-0.931689 # DEPENDENCYPART_ARC
(21,20),0.731212 # DEPENDENCYPART_ARC
(21,22),-1.63737 # DEPENDENCYPART_ARC
(21,23),-0.515914 # DEPENDENCYPART_ARC
(21,24),-2.85275 # DEPENDENCYPART_ARC
(21,25),-0.712139 # DEPENDENCYPART_ARC
(21,26),-0.887157 # DEPENDENCYPART_ARC
(22,1),-1.3234 # DEPENDENCYPART_ARC
(22,2),-2.6788 # DEPENDENCYPART_ARC
(22,3),-0.950696 # DEPENDENCYPART_ARC
(22,4),-2.01291 # DEPENDENCYPART_ARC
(22,5),-2.24611 # DEPENDENCYPART_ARC
(22,6),-2.22498 # DEPENDENCYPART_ARC
(22,7),-2.74727 # DEPENDENCYPART_ARC
(22,8),0.445707 # DEPENDENCYPART_ARC
(22,9),0.78133 # DEPENDENCYPART_ARC
(22,10),-1.7629 # DEPENDENCYPART_ARC
(22,11),0.0219542 # DEPENDENCYPART_ARC
(22,12),-0.442905 # DEPENDENCYPART_ARC
(22,13),-0.61438 # DEPENDENCYPART_ARC
(22,14),0.324658 # DEPENDENCYPART_ARC
(22,15),-1.49321 # DEPENDENCYPART_ARC
(22,16),0.86206 # DEPENDENCYPART_ARC
(22,17),0.55212 # DEPENDENCYPART_ARC
(22,18),1.14373 # DEPENDENCYPART_ARC
(22,19),-0.537315 # DEPENDENCYPART_ARC
(22,20),0.30819 # DEPENDENCYPART_ARC
(22,21),4.7724 # DEPENDENCYPART_ARC
(22,23),2.0946 # DEPENDENCYPART_ARC
(22,24),-1.0299 # DEPENDENCYPART_ARC
(22,25),1.19301 # DEPENDENCYPART_ARC
(22,26),0.628578 # DEPENDENCYPART_ARC
(23,1),-1.90927 # DEPENDENCYPART_ARC
(23,2),-2.36782 # DEPENDENCYPART_ARC
(23,3),-2.27231 # DEPENDENCYPART_ARC
(23,4),-1.71984 # DEPENDENCYPART_ARC
(23,5),-2.28675 # DEPENDENCYPART_ARC
(23,6),-1.74248 # DEPENDENCYPART_ARC
(23,7),-2.23529 # DEPENDENCYPART_ARC
(23,8),-1.1763 # DEPENDENCYPART_ARC
(23,9),-2.03606 # DEPENDENCYPART_ARC
(23,10),-2.08368 # DEPENDENCYPART_ARC
(23,11),-1.03276 # DEPENDENCYPART_ARC
(23,13),-2.22031 # DEPENDENCYPART_ARC
(23,14),-1.13603 # DEPENDENCYPART_ARC
(23,15),-1.96375 # DEPENDENCYPART_ARC
(23,17),-1.98265 # DEPENDENCYPART_ARC
(23,18),-1.23804 # DEPENDENCYPART_ARC
(23,19),-1.15072 # DEPENDENCYPART_ARC
(23,20),-1.45903 # DEPENDENCYPART_ARC
(23,21),-1.0639 # DEPENDENCYPART_ARC
(23,22),-0.478671 # DEPENDENCYPART_ARC
(23,24),0.194277 # DEPENDENCYPART_ARC
(23,25),2.86757 # DEPENDENCYPART_ARC
(23,26),0.078751 # DEPENDENCYPART_ARC
(24,3),-3.22444 # DEPENDENCYPART_ARC
(24,5),-3.10217 # DEPENDENCYPART_ARC
(24,7),-2.53029 # DEPENDENCYPART_ARC
(24,11),-2.05067 # DEPENDENCYPART_ARC
(24,17),-2.46508 # DEPENDENCYPART_ARC
(24,18),-2.07493 # DEPENDENCYPART_ARC
(24,25),-0.0389569 # DEPENDENCYPART_ARC
(25,1),-4.8959 # DEPENDENCYPART_ARC
(25,2),-4.01026 # DEPENDENCYPART_ARC
(25,3),-4.67671 # DEPENDENCYPART_ARC
(25,4),-5.87478 # DEPENDENCYPART_ARC
(25,5),-3.8567 # DEPENDENCYPART_ARC
(25,6),-3.26644 # DEPENDENCYPART_ARC
(25,7),-2.6217 # DEPENDENCYPART_ARC
(25,8),-1.75567 # DEPENDENCYPART_ARC
(25,9),-3.56552 # DEPENDENCYPART_ARC
(25,10),-3.21115 # DEPENDENCYPART_ARC
